類別,建築物名稱,電腦編號,村里別,地址,緯經度,地下樓層數,可容納人數,備考
學校,東榮國小（一）,1-01-016,頂崙村,嘉義縣民雄鄉頂崙村12鄰崙仔頂105號,"23.55760, 120.43562",地下1層,233.0,
學校,東榮國小(二),1-01-017,頂崙村,嘉義縣民雄鄉頂崙村12鄰崙仔頂105號,"23.55801, 120.43509",地下1層,314.0,
電力公司,民雄台電服務所,1-01-018,東湖村,嘉義縣民雄鄉東湖村東勢湖86號之8,"23.55405, 120.43511",地下1層,150.0,不對外開放
學校,協志工商,1-01-019,東榮村,嘉義縣民雄東榮村建國路2段285巷11號,"23.54815, 120.43045",地下1層,518.0,
政府機關,民雄分局(靶場),1-01-020,東榮村,嘉義縣民雄鄉東榮村民族路21號,"23.55466, 120.4303",地下1層,154.0,不對外開放
電信公司,中華電信民雄服務處-舊址,1-01-021,東榮村,嘉義縣民雄鄉東榮村24鄰文化路30號,"23.55338, 120.43051",地下1層,203.0,不對外開放
大樓,國泰人壽,1-01-022,東榮村,嘉義縣民雄鄉東榮村建國路1段211號,"23.55862, 120.43353",地下1層,339.0,
大樓,嘉銓建設公司,1-01-023,東榮村,嘉義縣民雄鄉東榮村文化路30號之3,"23.5527, 120.43036",地下1層,1543.0,
大樓,鴻磊建設公司,1-01-024,東榮村,嘉義縣民雄鄉東榮村中庄108號,"23.55701, 120.43422",地下1層,610.0,
學校,興中國小1,1-02-001,興中村,嘉義縣民雄鄉興中村12鄰江厝店30號,"23.52676, 120.41998",地下1層,393.0,
學校,協同中學（幼稚園一）1,1-02-002,文隆村,嘉義縣民雄鄉文隆村建國路二段31號,"23.53297, 120.43406",地下1層,125.0,
學校,吳鳳科技大學(一)宿舍,1-02-003,文隆村,嘉義縣民雄鄉文隆村建國路二段27號,"23.53669, 120.43540",地下1層,2304.0,
學校,協同中學（信義齋）2,1-02-004,文隆村,嘉義縣民雄鄉文隆村建國路二段31號,"23.53251, 120.43402",地下1層,143.0,
學校,嘉義大學民雄校區（一）男女宿舍,1-02-005,文隆村,嘉義縣民雄鄉文隆村鴨母坔85號,"23.54273, 120.42506",地下1層,3508.0,
學校,嘉義大學民雄校區（二）人文館,1-02-006,中和村,嘉義縣民雄鄉中和村5鄰社溝130號,"23.54288, 120.42199",地下1層,400.0,
學校,嘉義大學民雄校區（三）文薈廳,1-02-007,文隆村,嘉義縣民雄鄉文隆村鴨母坔85號,"23.54413, 120.42090",地下1層,278.0,
學校,民雄農工(一)行政大樓,1-02-008,文隆村,嘉義縣民雄鄉文隆村鴨母坔81號,"23.53948, 120.42578",地下1層,598.0,
學校,民雄農工(二)圖書館,1-02-009,文隆村,嘉義縣民雄鄉文隆村鴨母坔81號,"23.54159, 120.42531",地下1層,277.0,
工廠行號,信欣塑膠公司,1-02-010,中央村,嘉義縣民雄鄉中央村17-2號,"23.53416, 120.40569",地下1層,153.0,
工廠行號,大同鋁業三協廠(一),1-02-011,興南村,嘉義縣民雄鄉興南村工業三路2號,"23.52025, 120.43798",地下1層,276.0,
工廠行號,遠東機械公司,1-02-012,興南村,嘉義縣民雄鄉興南村工業一路1號,"23.51962, 120.43720",地下1層,470.0,
工廠行號,乾佑公司（一）,1-02-013,興南村,嘉義縣民雄鄉興南村工業三路13號,"23.52368, 120.43047",地下1層,85.0,
工廠行號,興聯公司,1-02-014,興南村,嘉義縣民雄鄉興南村工業一路4號,"23.51996, 120.43542",地下1層,186.0,
工廠行號,宏美公司,1-02-015,興南村,嘉義縣民雄鄉興南村工業三路1號,"23.52031, 120.43601",地下1層,164.0,
工廠行號,袋寶公司,1-02-017,興南村,嘉義縣民雄鄉興南村工業三路24號,"23.52090, 120.42959",地下1層,170.0,
工廠行號,冠圓實業公司,1-02-018,興南村,嘉義縣民雄鄉興南村工業三路18號,"23.52449, 120.43071",地下1層,62.0,
工廠行號,愛之味公司（一）,1-02-019,興南村,嘉義縣民雄鄉興南村工業二路11號,"23.52142, 120.43242",地下1層,339.0,
工廠行號,世華能源,1-02-020,興南村,嘉義縣民雄鄉興南村工業二路7-1號,"23.52134, 120.43326",地下1層,45.0,
工廠行號,蒳夏國際公司,1-02-021,興南村,嘉義縣民雄鄉興南村工業五路7-1號,"23.52056, 120.43293",地下1層,55.0,
工廠行號,聚陽公司,1-02-022,興南村,嘉義縣民雄鄉興南村工業二路20號,"23.52255, 120.42976",地下1層,48.0,
工廠行號,名洋公司,1-02-023,興南村,嘉義縣民雄鄉興南村工業三路15號,"23.51903, 120.43032",地下1層,33.0,
工廠行號,春元機械公司,1-02-025,興南村,嘉義縣民雄鄉興南村工業三路9號,"23.52353, 120.43221",地下1層,78.0,
工廠行號,興華火柴廠,1-02-027,興南村,嘉義縣民雄鄉興南村工業一路15號,"23.51792, 120.42885",地下1層,139.0,
工廠行號,大同鋁業三協廠(二),1-02-028,興南村,嘉義縣民雄鄉興南村工業三路2號,"23.52070, 120.43800",地下1層,281.0,
工廠行號,永勝藥品公司,1-02-029,興南村,嘉義縣民雄鄉興南村工業三路6-3號,"23.52116, 120.43606",地下1層,170.0,
工廠行號,乾佑公司（二）,1-02-031,興南村,嘉義縣民雄鄉興南村工業三路7號,"23.52354, 120.43302",地下1層,145.0,
工廠行號,愛之味公司(二),1-02-032,興南村,嘉義縣民雄鄉興南村工業二路11號,"23.52137, 120.43115",地下1層,1060.0,
學校,興中國小2圖書館,1-02-033,興中村,嘉義縣民雄鄉興中村江厝店30號,"23.52737, 120.42049",地下1層,426.0,
集合式住宅,森林建設新故鄉社區,1-02-034,興南村,嘉義縣民雄鄉興南村頭橋751號(工業五路),"23.51659, 120.43262",地下1層,1113.0,
工廠行號,昭源興業公司,1-02-035,興南村,嘉義縣民雄鄉興南村工業二路2號,"23.52313, 120.43651",地下1層,334.0,
工廠行號,國際通企業,1-02-036,興南村,嘉義縣民雄鄉興南村工業五路8號,"23.52060, 120.43369",地下1層,47.0,
工廠行號,益達利鋼鐵實業,1-02-037,興南村,嘉義縣民雄鄉興南村工業三路20-4號,"23.52374, 120.42959",地下1層,55.0,
金融機構,台灣企業銀行,1-02-038,興南村,嘉義縣民雄鄉興南村建國路三段83號,"23.52146, 120.43967",地下1層,590.0,不對外開放
學校,民雄農工（三）體育館,1-02-039,文隆村,嘉義縣民雄鄉文隆村鴨母坔81號,"23.54003, 120.42544",地下1層,1201.0,
工廠行號,東信生物科技股份有限公司,1-02-040,興南村,嘉義縣民雄鄉興南村工業三路6-7號,"23.52379, 120.43451",地下1層,570.0,
學校,協同中學(路德樓)3,1-02-041,文隆村,嘉義縣民雄鄉文隆村建國路二段31號,"23.53204, 120.43531",地下1層,963.0,
工廠行號,超速冷凍工業有限公司,1-02-042,興南村,嘉義縣民雄鄉興南村工業三路8號,"23.52414, 120.43394",地下1層,151.0,
工廠行號,世達食品股份有限公司,1-02-043,興南村,嘉義縣民雄鄉興南村工業二路14-2號,"23.52226, 120.43016",地下1層,81.0,
工廠行號,嘉利食品公司,1-02-044,興南村,嘉義縣民雄鄉興南村工業一路8-1號,"23.51907, 120.43050",地下1層,134.0,
工廠行號,愛之味公司（三）,1-02-045,興南村,嘉義縣民雄鄉興南村工業二路11號,"23.52040, 120.43223",地下1層,63.0,
學校,協同中學（喚原樓）4,1-02-046,文隆村,嘉義縣民雄鄉文隆村建國路二段31號,"23.53240, 120.43480",地下1層,356.0,
文化中心,嘉義縣文化中心,1-02-047,文隆村,嘉義縣民雄鄉文隆村建國路二段265號,"23.54383, 120.43185",地下1層,9488.0,
工廠行號,大榮汽車貨運公司,1-02-048,福興村,嘉義縣民雄鄉福興村牛稠溪1-69號,"23.51967, 120.42422",地下1層,3078.0,
工廠行號,勝昱科技股份有限公司,1-02-049,興南村,嘉義縣民雄鄉興南村工業二路5號,"23.52132, 120.43400",地下1層,289.0,
學校,吳鳳科技大學（二）文鴻樓,1-02-050,文隆村,嘉義縣民雄鄉文隆村建國路二段27號,"23.53528, 120.43457",地下1層,1245.0,
學校,吳鳳科技大學（三）生有樓,1-02-051,文隆村,嘉義縣民雄鄉文隆村建國路二段27號,"23.53471, 120.43420",地下1層,1077.0,
工廠行號,兆赫電子公司,1-02-052,福興村,嘉義縣民雄鄉福興村牛稠溪1-61號,"23.51980, 120.42468",地下1層,747.0,
學校,協同中學（幼稚園二）5,1-02-053,文隆村,嘉義縣民雄鄉文隆村建國路二段31號,"23.53312, 120.43406",地下1層,125.0,
工廠行號,財億製鏡,1-02-016,興南村,嘉義縣民雄鄉興南村工業一路13號,"23.51777, 120.42987",地下1層,114.0,
工廠行號,台灣蠟品,1-03-001,北斗村,嘉義縣民雄鄉北斗村民雄工業區中正路1號,"23.52108, 120.46216",地下1層,158.0,
工廠行號,佑螢紙業公司2,1-03-002,北斗村,嘉義縣民雄鄉北斗村民雄工業區中正路2號,"23.52177, 120.46182",地下1層,101.0,
工廠行號,三岳化成,1-03-003,北斗村,嘉義縣民雄鄉北斗村民雄工業區中正路5號,"23.52087, 120.46088",地下1層,43.0,
工廠行號,樺正實業公司2,1-03-004,北斗村,嘉義縣民雄鄉北斗村民雄工業區中正路6號,"23.52140, 120.46140",地下1層,89.0,
工廠行號,尚宏化工公司,1-03-005,北斗村,嘉義縣民雄鄉北斗村民雄工業區中正路7號,"23.52081, 120.46063",地下1層,57.0,
工廠行號,億承興業公司,1-03-006,北斗村,嘉義縣民雄鄉北斗村民雄工業區中正路9號,"23.52065, 120.46005",地下1層,62.0,
工廠行號,福年企業,1-03-007,北斗村,嘉義縣民雄鄉北斗村民雄工業區中正路10號,"23.52113, 120.46045",地下1層,160.0,
工廠行號,貝捷工業1,1-03-008,北斗村,嘉義縣民雄鄉北斗村民雄工業區中正路11號,"23.52055, 120.45980",地下1層,77.0,
工廠行號,凱琪紙器公司,1-03-009,北斗村,嘉義縣民雄鄉北斗村民雄工業區中正路12號,"23.52096, 120.45983",地下1層,13.0,
工廠行號,台灣日邦樹脂公司,1-03-010,北斗村,嘉義縣民雄鄉北斗村民雄工業區中正路13號,"23.52052, 120.45943",地下1層,57.0,
工廠行號,日立公司,1-03-011,北斗村,嘉義縣民雄鄉北斗村民雄工業區中正路14號,"23.52088, 120.45957",地下1層,40.0,
工廠行號,高益公司1,1-03-012,北斗村,嘉義縣民雄鄉北斗村民雄工業區中正路18號,"23.52070, 120.45889",地下1層,115.0,
工廠行號,貝捷工業2,1-03-114,北斗村,嘉義縣民雄鄉北斗村民雄工業區中正路19號,"23.52018, 120.45838",地下1層,112.0,
工廠行號,花果樁妝公司,1-03-013,北斗村,嘉義縣民雄鄉北斗村民雄工業區中正路25號,"23.51920, 120.45496",地下1層,39.0,
工廠行號,世昌電機,1-03-015,北斗村,嘉義縣民雄鄉北斗村民雄工業區中正路26號,"23.52034, 120.45766",地下1層,54.0,
工廠行號,金龍冠公司,1-03-014,北斗村,嘉義縣民雄鄉北斗村民雄工業區中正路30號,"23.52009, 120.45659",地下1層,40.0,
工廠行號,伯崇科技公司,1-03-016,北斗村,嘉義縣民雄鄉北斗村民雄工業區中正路33號,"23.51873, 120.45330",地下1層,222.0,
工廠行號,啟成有限公司,1-03-017,北斗村,嘉義縣民雄鄉北斗村民雄工業區中正路35號,"23.51860, 120.45305",地下1層,135.0,
工廠行號,穀盛食品公司1,1-03-018,北斗村,嘉義縣民雄鄉北斗村民雄工業區中正路36號,"23.51982, 120.45552",地下1層,161.0,
工廠行號,意山公司,1-03-019,北斗村,嘉義縣民雄鄉北斗村民雄工業區中正路37號,"23.51859, 120.45279",地下1層,123.0,
工廠行號,穀盛食品公司2,1-03-020,北斗村,嘉義縣民雄鄉北斗村民雄工業區中正路38號,"23.51985, 120.45516",地下1層,145.0,
工廠行號,中大公司,1-03-022,北斗村,嘉義縣民雄鄉北斗村民雄工業區中正路41號,"23.51819, 120.45189",地下1層,24.0,
工廠行號,宗進金屬公司,1-03-024,北斗村,嘉義縣民雄鄉北斗村民雄工業區中正路46號,"23.51924, 120.45355",地下1層,72.0,
工廠行號,傑竣機械公司,1-03-026,北斗村,嘉義縣民雄鄉北斗村民雄工業區中正路48號,"23.51918, 120.45340",地下1層,43.0,
工廠行號,鴻升食品公司,1-03-027,北斗村,嘉義縣民雄鄉北斗村民雄工業區中正路52號,"23.51891, 120.45264",地下1層,227.0,
工廠行號,好合發食品,1-03-028,北斗村,嘉義縣民雄鄉北斗村民雄工業區中正路54號,"23.51884, 120.45207",地下1層,99.0,
工廠行號,三菱電梯,1-03-041,北斗村,嘉義縣民雄鄉北斗村民雄工業區中正路58號,"23.51860, 120.45130",地下1層,99.0,
工廠行號,碧綺公司,1-03-043,北斗村,嘉義縣民雄鄉北斗村民雄工業區中正路60號,"23.51876, 120.45016",地下1層,68.0,
政府機關,民雄工業區管理中心,1-03-029,北斗村,嘉義縣民雄鄉福樂村民雄工業區中正路68號,"23.52278, 120.44781",地下1層,383.0,
工廠行號,光泉公司,1-03-030,北斗村,嘉義縣民雄鄉北斗村民雄工業區成功街1號,"23.52077, 120.45123",地下1層,855.0,
工廠行號,佑螢紙業公司1,1-03-031,北斗村,嘉義縣民雄鄉北斗村民雄工業區成功街7號,"23.52101, 120.45359",地下1層,204.0,
工廠行號,嘉碁科技公司1,1-03-032,北斗村,嘉義縣民雄鄉北斗村民雄工業區成功街20號,"23.52094, 120.45495",地下1層,135.0,
工廠行號,欣業企業公司,1-03-033,北斗村,嘉義縣民雄鄉北斗村民雄工業區成功街23-33號,"23.52189, 120.45604",地下1層,510.0,
工廠行號,詳連工業公司,1-03-034,北斗村,嘉義縣民雄鄉北斗村民雄工業區成功街32號,"23.52138, 120.45656",地下1層,51.0,
工廠行號,帝屋鑄造工廠1,1-03-035,北斗村,嘉義縣民雄鄉北斗村民雄工業區成功街35號,"23.52201, 120.45774",地下1層,57.0,
工廠行號,共輪鑄造工廠,1-03-040,北斗村,嘉義縣民雄鄉北斗村民雄工業區成功街36號,"23.52154, 120.45712",地下1層,67.0,
工廠行號,欽裕鋼鐵有限公司,1-03-036,北斗村,嘉義縣民雄鄉北斗村民雄工業區成功街38號,"23.52177, 120.45784",地下1層,54.0,
工廠行號,三詰公司2,1-03-037,北斗村,嘉義縣民雄鄉北斗村民雄工業區成功街41號,"23.52230, 120.45872",地下1層,130.0,
工廠行號,三詰公司1,1-03-038,北斗村,嘉義縣民雄鄉北斗村民雄工業區成功街45號,"23.52252, 120.45926",地下1層,72.0,
工廠行號,品宗化工公司,1-03-039,北斗村,嘉義縣民雄鄉北斗村民雄工業區成功街45-1號,"23.52264, 120.45956",地下1層,269.0,
工廠行號,東隆五金,1-03-116,北斗村,嘉義縣民雄鄉北斗村民雄工業中華路82號,"23.52658, 120.45560",地下1層,231.0,
工廠行號,春木機械,1-03-042,北斗村,嘉義縣民雄鄉北斗村民雄工業中華路86號,"23.52535, 120.45589",地下1層,201.0,
工廠行號,福隆玻璃公司,1-03-044,北斗村,嘉義縣民雄鄉北斗村民雄工業區中華路89號,"23.52731, 120.45765",地下1層,607.0,
工廠行號,翰陽開發公司1,1-03-046,北斗村,嘉義縣民雄鄉北斗村民雄工業區中華路92號,"23.52362, 120.45660",地下1層,313.0,
工廠行號,谷統食品公司,1-03-048,北斗村,嘉義縣民雄鄉北斗村民雄工業區成功一街7號,"23.52245, 120.45408",地下1層,196.0,
工廠行號,三朋行公司,1-03-049,北斗村,嘉義縣民雄鄉北斗村民雄工業區成功一街11號,"23.52257, 120.45465",地下1層,144.0,
工廠行號,高頻企業公司,1-03-050,北斗村,嘉義縣民雄鄉北斗村民雄工業區成功一街19號,"23.52292, 120.45569",地下1層,54.0,
工廠行號,富翔光學公司,1-03-051,北斗村,嘉義縣民雄鄉北斗村民雄工業區成功一街27號,"23.52329, 120.45721",地下1層,53.0,
工廠行號,富本橡膠公司2,1-03-053,北斗村,嘉義縣民雄鄉北斗村民雄工業區成功一街31號,"23.52341, 120.45761",地下1層,35.0,
工廠行號,日升美公司,1-03-054,北斗村,嘉義縣民雄鄉北斗村民雄工業區成功一街33號,"23.52356, 120.45785",地下1層,39.0,
工廠行號,亞竹企業,1-03-055,北斗村,嘉義縣民雄鄉北斗村民雄工業區成功一街34號,"23.52313, 120.45757",地下1層,60.0,
工廠行號,富本橡膠公司3,1-03-056,北斗村,嘉義縣民雄鄉北斗村民雄工業區成功一街35號,"23.52359, 120.45804",地下1層,40.0,
工廠行號,上好輪胎公司,1-03-057,北斗村,嘉義縣民雄鄉北斗村民雄工業區成功一街38號,"23.52319, 120.45794",地下1層,30.0,
工廠行號,皇星公司,1-03-058,北斗村,嘉義縣民雄鄉北斗村民雄工業區成功一街40號,"23.52341, 120.45847",地下1層,38.0,
工廠行號,嘉堡食品公司,1-03-059,北斗村,嘉義縣民雄鄉北斗村民雄工業區成功一街47號,"23.52397, 120.45959",地下1層,58.0,
工廠行號,竇氏實業公司,1-03-060,北斗村,嘉義縣民雄鄉北斗村民雄工業區成功一街49號,"23.52413, 120.46004",地下1層,97.0,
工廠行號,瑞達汽車公司(MAZDA),1-03-062,福樂村,嘉義縣民雄鄉福樂村民雄工業區中山路2號,"23.51997, 120.44060",地下1層,117.0,
工廠行號,南都汽車公司（二）TOYOTA,1-03-062,福樂村,嘉義縣民雄鄉福樂村民雄工業區中山路2之2號,"23.51895, 120.44089",地下1層,199.0,
工廠行號,嘉義酒廠1,1-03-063,福樂村,嘉義縣民雄鄉福樂村民雄工業區中山路3號,"23.52207, 120.44377",地下2層,17358.0,
工廠行號,嘉義酒廠2,1-03-066,福樂村,嘉義縣民雄鄉福樂村民雄工業區中山路4號,"23.51998, 120.44399",地下1層,73.0,
電信公司,中華電信公司,1-03-064,福樂村,嘉義縣民雄鄉福樂村民雄工業區中山路5號,"23.52342, 120.44704",地下1層,547.0,不對外開放
工廠行號,霖宏科技公司1,1-03-065,福樂村,嘉義縣民雄鄉福樂村民雄工業區中山路6號,"23.52344, 120.44807",地下1層,99.0,
工廠行號,霖宏科技公司2,1-03-067,福樂村,嘉義縣民雄鄉福樂村民雄工業區中山路9號,"23.52380, 120.44766",地下1層,88.0,
工廠行號,鈺昌企業公司,1-03-068,福樂村,嘉義縣民雄鄉福樂村民雄工業區中山路11號,"23.52418, 120.44818",地下1層,113.0,
工廠行號,中台興化學公司,1-03-069,福樂村,嘉義縣民雄鄉福樂村民雄工業區中山路12號,"23.52411, 120.44908",地下1層,120.0,
工廠行號,富本橡膠公司1,1-03-070,福樂村,嘉義縣民雄鄉福樂村民雄工業區中山路15號,"23.52476, 120.44937",地下1層,107.0,
工廠行號,千程汽車公司,1-03-071,福樂村,嘉義縣民雄鄉福樂村民雄工業區中山路16號,"23.52445, 120.44963",地下1層,63.0,
工廠行號,東昱貨運,1-03-073,福樂村,嘉義縣民雄鄉福樂村民雄工業區中山路19號,"23.52536, 120.45010",地下1層,194.0,
工廠行號,福興製罐公司,1-03-074,福樂村,嘉義縣民雄鄉福樂村民雄工業區中山路20號,"23.52474, 120.45050",地下1層,203.0,
工廠行號,發得科技,1-03-075,福樂村,嘉義縣民雄鄉福樂村民雄工業中山路26號,"23.52572, 120.45200",地下1層,183.0,
工廠行號,鼎坤塑膠機械,1-03-076,福樂村,嘉義縣民雄鄉福樂村民雄工業區中山路32號,"23.52704, 120.45375",地下1層,81.0,
工廠行號,興造機械公司,1-03-077,福樂村,嘉義縣民雄鄉福樂村民雄工業區中山路34號,"23.52725, 120.45412",地下1層,148.0,
工廠行號,泰威興業,1-03-078,福樂村,嘉義縣民雄鄉福樂村民雄工業區中山路36號,"23.52740, 120.45425",地下1層,164.0,
工廠行號,德山製藥公司,1-03-079,福樂村,嘉義縣民雄鄉福樂村民雄工業區中山路38號,"23.52772, 120.45472",地下1層,181.0,
工廠行號,首龍工業公司,1-03-080,北斗村,嘉義縣民雄鄉北斗村民雄工業區中山路40號,"23.52790, 120.45548",地下1層,153.0,
工廠行號,佛大公司,1-03-082,北斗村,嘉義縣民雄鄉北斗村民雄工業區中山路48號,"23.52923, 120.45717",地下1層,76.0,
工廠行號,大豊塑膠,1-03-083,北斗村,嘉義縣民雄鄉北斗村民雄工業區中山路49號,"23.52997, 120.45748",地下1層,120.0,
工廠行號,中華工程公司,1-03-085,北斗村,嘉義縣民雄鄉北斗村民雄工業區中山路52號,"23.53056, 120.45926",地下1層,117.0,
工廠行號,光泉食品公司,1-03-086,北斗村,嘉義縣民雄鄉北斗村民雄工業區成功二街8號,"23.52220, 120.45196",地下1層,156.0,
工廠行號,陸功工業公司1,1-03-087,北斗村,嘉義縣民雄鄉北斗村民雄工業區成功二街9號,"23.52414, 120.45507",地下1層,56.0,
工廠行號,新鈺生技2,1-03-088,北斗村,嘉義縣民雄鄉北斗村民雄工業區成功二街10號,"23.52307, 120.45274",地下1層,62.0,
工廠行號,新鈺生技3,1-03-045,北斗村,嘉義縣民雄鄉北斗村民雄工業區成功二街12號,"23.52317, 120.45358",地下1層,290.0,
工廠行號,鼎坤食品公司,1-03-090,北斗村,嘉義縣民雄鄉北斗村民雄工業區成功二街18號,"23.52347, 120.45410",地下1層,49.0,
工廠行號,協興公司,1-03-072,北斗村,嘉義縣民雄鄉北斗村民雄工業區成功二街23號,"23.52476, 120.45744",地下1層,42.0,
工廠行號,豐欣木業公司,1-03-091,北斗村,嘉義縣民雄鄉北斗村民雄工業區成功二街25號,"23.52487, 120.45782",地下1層,30.0,
工廠行號,興冠工業,1-03-092,北斗村,嘉義縣民雄鄉北斗村民雄工業區成功二街26號,"23.52401, 120.45550",地下1層,44.0,
工廠行號,宥勝金屬工業有限公司,1-03-093,北斗村,嘉義縣民雄鄉北斗村民雄工業區成功二街27號,"23.52493, 120.45805",地下1層,54.0,
工廠行號,嘉碁科技公司2,1-03-081,北斗村,嘉義縣民雄鄉北斗村民雄工業區成功二街30號,"23.52413, 120.45614",地下1層,93.0,
工廠行號,倉佑公司,1-03-094,北斗村,嘉義縣民雄鄉北斗村民雄工業區成功二街38號,"23.52428, 120.45684",地下1層,464.0,
工廠行號,宏裕工業社公司,1-03-095,北斗村,嘉義縣民雄鄉北斗村民雄工業區成功二街39號,"23.52553, 120.45931",地下1層,43.0,
工廠行號,久久機械公司,1-03-096,北斗村,嘉義縣民雄鄉北斗村民雄工業區成功二街40號,"23.52457, 120.45753",地下1層,150.0,
工廠行號,台灣富士精密公司,1-03-098,北斗村,嘉義縣民雄鄉北斗村民雄工業區中興街2號,"23.51979, 120.45950",地下1層,129.0,
工廠行號,晶工森泉公司,1-03-084,北斗村,嘉義縣民雄鄉北斗村民雄工業區中興街10號,"23.51989, 120.46125",地下1層,45.0,
工廠行號,台灣羅門哈斯,1-03-100,北斗村,嘉義縣民雄鄉北斗村民雄工業區中興一街1號,"23.51688, 120.45283",地下1層,78.0,
工廠行號,義豐包裝,1-03-097,北斗村,嘉義縣民雄鄉北斗村民雄工業區中興一街2號,"23.51803, 120.45517",地下1層,57.0,
工廠行號,偉詳工業1,1-03-099,北斗村,嘉義縣民雄鄉北斗村民雄工業區中興一街6號,"23.51801, 120.45503",地下1層,58.0,
工廠行號,偉詳工業2,1-03-108,北斗村,嘉義縣民雄鄉北斗村民雄工業區中興一街6號,"23.51776, 120.45412",地下1層,36.0,
工廠行號,耐斯企業公司民雄二廠(二),1-03-101,北斗村,嘉義縣民雄鄉北斗村民雄工業區中興一街7號,"23.51765, 120.45183",地下1層,115.0,
工廠行號,任佑員公司,1-03-102,北斗村,嘉義縣民雄鄉北斗村民雄工業區中興一街10號,"23.51760, 120.45370",地下1層,65.0,
工廠行號,三太造機廠,1-03-103,福樂村,嘉義縣民雄鄉福樂村民雄工業區成功三街3號,"23.52046, 120.44972",地下1層,368.0,
工廠行號,春億彩藝公司,1-03-105,福樂村,嘉義縣民雄鄉福樂村民雄工業區成功三街19號,"23.52375, 120.45215",地下1層,84.0,
工廠行號,進興精密(三普窯業公司),1-03-106,福樂村,嘉義縣民雄鄉福樂村民雄工業區成功三街21號,"23.52392, 120.45252",地下1層,439.0,
工廠行號,中興鐵櫃,1-03-107,福樂村,嘉義縣民雄鄉福樂村民雄工業區成功三街29號,"23.52521, 120.45541",地下1層,48.0,
工廠行號,晉安製藥公司,1-03-110,福樂村,嘉義縣民雄鄉福樂村建國路三段260巷9號,"23.52756, 120.43989",地下1層,216.0,
工廠行號,東和鍍金,1-03-111,福樂村,嘉義縣民雄鄉福樂村建國路三段260巷11號,"23.52772, 120.44091",地下1層,104.0,
工廠行號,大欣弘運公司,1-03-112,福樂村,嘉義縣民雄鄉福樂村建國路三段260巷15號,"23.52849, 120.44050",地下1層,234.0,
工廠行號,慶豐工業,1-03-115,福樂村,嘉義縣民雄鄉福樂村建國路三段260巷33號,"23.52786, 120.44163",地下1層,63.0,
工廠行號,洸洋製藥公司,1-03-118,北斗村,嘉義縣民雄鄉北斗村民雄工業區新生街10之1號,"23.52591, 120.46059",地下1層,38.0,
工廠行號,台灣水泥公司,1-03-119,北斗村,嘉義縣民雄鄉北斗村民雄工業區新生街8號,"23.52703, 120.45948",地下1層,248.0,
工廠行號,上來新科化公司,1-03-123,福樂村,嘉義縣民雄鄉福樂村民雄工業區成功五街2號,"23.52173, 120.44892",地下1層,214.0,
工廠行號,高益公司3,1-03-124,福樂村,嘉義縣民雄鄉福樂村民雄工業區成功五街2之1號,"23.52256, 120.44925",地下1層,26.0,
工廠行號,卡普秀觀光工廠,1-03-125,福樂村,嘉義縣民雄鄉福樂村民雄工業區成功五街3號,"23.52266, 120.44891",地下1層,159.0,
工廠行號,亮赫工業公司,1-03-126,福樂村,嘉義縣民雄鄉福樂村民雄工業區成功五街5-1號,"23.52281, 120.44924",地下1層,100.0,
