類別,村里別,地址,緯經度,地下樓層數,可容納人數,轄管分局,placemark_address
民宅,八德里,基隆市七堵區大華一路63之1號,"25.10067, 121.71059",1.0,387,第三分局,"民宅 八德010 八德里 基隆市七堵區大華一路63之1號 387 第三分局"
民宅,八德里,基隆市七堵區大華一路33號,"25.09837, 121.71527",1.0,69,第三分局,"民宅 八德011 八德里 基隆市七堵區大華一路33號 69 第三分局"
民宅,六堵里,基隆市七堵區工建西路8號,"25.09315, 121.7002",1.0,429,第三分局,"民宅 六堵001 六堵里 基隆市七堵區工建西路8號 429 第三分局"
民宅,六堵里,基隆市七堵區工建路196號,"25.09064, 121.7018",1.0,345,第三分局,"民宅 六堵002 六堵里 基隆市七堵區工建路196號 345 第三分局"
民宅,六堵里,基隆市七堵區工東街54號,"25.08846, 121.70364",1.0,172,第三分局,"民宅 六堵003 六堵里 基隆市七堵區工東街54號 172 第三分局"
耐力中端電機,六堵里,基隆市七堵區工建北路3號,"25.08776, 121.70319",1.0,276,第三分局,"耐力中端電機 六堵004 六堵里 基隆市七堵區工建北路3號 276 第三分局"
民宅,六堵里,基隆市七堵區工東街20號,"25.08784, 121.70462",1.0,1911,第三分局,"民宅 六堵005 六堵里 基隆市七堵區工東街20號 1911 第三分局"
民宅,六堵里,基隆市七堵區工建路114號,"25.09058, 121.70145",1.0,692,第三分局,"民宅 六堵006 六堵里 基隆市七堵區工建路114號 692 第三分局"
溢彩生技,六堵里,基隆市七堵區工建南路21號,"25.08344, 121.70285",1.0,1360,第三分局,"溢彩生技 六堵007 六堵里 基隆市七堵區工建南路21號 1360 第三分局"
裕隆工程股份有限公司,六堵里,基隆市七堵區工建北路9號,"25.08622, 121.70423",1.0,1820,第三分局,"裕隆工程股份有限公司 六堵008 六堵里 基隆市七堵區工建北路9號 1820 第三分局"
溢彩生技,六堵里,基隆市七堵區工建南路21號,"25.08344, 121.70285",1.0,1354,第三分局,"溢彩生技 六堵009 六堵里 基隆市七堵區工建南路21號 1354 第三分局"
公元有限公司,六堵里,基隆市七堵區工建南路5之1號,"25.08659, 121.70205",1.0,382,第三分局,"公元有限公司 六堵010 六堵里 基隆市七堵區工建南路5之1號 382 第三分局"
QNAP工廠與產品送修中心,六堵里,基隆市七堵區工建北路22號,"25.08455, 121.70448",1.0,1578,第三分局,"QNAP工廠與產品送修中心 六堵011 六堵里 基隆市七堵區工建北路22號 1578 第三分局"
杭特電子,六堵里,基隆市七堵區工建路15號,"25.09111, 121.70074",1.0,1954,第三分局,"杭特電子 六堵012 六堵里 基隆市七堵區工建路15號 1954 第三分局"
六堵首席大廈,六堵里,基隆市七堵區工建路72號,"25.09084, 121.70229",1.0,642,第三分局,"六堵首席大廈 六堵013 六堵里 基隆市七堵區工建路72號 642 第三分局"
南京資訊科技大樓,六堵里,基隆市七堵區明德二路24之1號,"25.08689, 121.70503",1.0,3400,第三分局,"南京資訊科技大樓 六堵014 六堵里 基隆市七堵區明德二路24之1號 3400 第三分局"
QNAP工廠與產品送修中心,六堵里,基隆市七堵區工建北路26號,"25.09084, 121.70229",1.0,3266,第三分局,"QNAP工廠與產品送修中心 六堵015 六堵里 基隆市七堵區工建北路26號 3266 第三分局"
啟信汽車,六堵里,基隆市七堵區工建北路6之3號,"25.09084, 121.70229",1.0,1142,第三分局,"啟信汽車 六堵016 六堵里 基隆市七堵區工建北路6之3號 1142 第三分局"
綠葉社區,友一里,基隆市七堵區綠葉街63巷1號,"25.0913, 121.66469",1.0,3450,第三分局,"綠葉社區 友一001 友一里 基隆市七堵區綠葉街63巷1號 3450 第三分局"
優泉社區,友一里,基隆市七堵區綠葉街128號,"25.09029, 121.66484",1.0,1267,第三分局,"優泉社區 友一002 友一里 基隆市七堵區綠葉街128號 1267 第三分局"
同樂山莊,友二里,基隆市七堵區華新二路121之1號,"25.09982, 121.66627",1.0,477,第三分局,"同樂山莊 友二001 友二里 基隆市七堵區華新二路121之1號 477 第三分局"
民宅,正光里,基隆市七堵區明德一路41之4號,"25.09837, 121.71527",1.0,58,第三分局,"民宅 正光002 正光里 基隆市七堵區明德一路41之4號 58 第三分局"
民宅,正光里,基隆市七堵區崇禮街23號,"25.09809, 121.71535",1.0,49,第三分局,"民宅 正光003 正光里 基隆市七堵區崇禮街23號 49 第三分局"
基隆市衛生局,正光里,基隆市七堵區明德一路169號,"25.09837, 121.71527",1.0,95,第三分局,"基隆市衛生局 正光004 正光里 基隆市七堵區明德一路169號 95 第三分局"
民宅,正光里,基隆市七堵區明德一路157之3號,"25.09837, 121.71527",1.0,95,第三分局,"民宅 正光005 正光里 基隆市七堵區明德一路157之3號 95 第三分局"
民宅,正光里,基隆市七堵區崇禮街29號,"25.09783, 121.71522",1.0,22,第三分局,"民宅 正光006 正光里 基隆市七堵區崇禮街29號 22 第三分局"
民宅,正光里,基隆市七堵區南興路23號,"25.09751, 121.71488",1.0,53,第三分局,"民宅 正光007 正光里 基隆市七堵區南興路23號 53 第三分局"
民宅,正光里,基隆市七堵區崇義街1號,"25.0977, 121.71574",1.0,151,第三分局,"民宅 正光008 正光里 基隆市七堵區崇義街1號 151 第三分局"
東固建設,正光里,基隆市七堵區明德一路13號,"25.09913, 121.71752",1.0,216,第三分局,"東固建設 正光009 正光里 基隆市七堵區明德一路13號 216 第三分局"
民宅,正光里,基隆市七堵區明德一路85號,"25.09837, 121.71527",1.0,809,第三分局,"民宅 正光010 正光里 基隆市七堵區明德一路85號 809 第三分局"
民宅,正光里,基隆市七堵區光明路118號,"25.09482, 121.71283",1.0,138,第三分局,"民宅 正光011 正光里 基隆市七堵區光明路118號 138 第三分局"
民宅,正光里,基隆市七堵區崇智街5號,"25.09695, 121.71476",1.0,65,第三分局,"民宅 正光012 正光里 基隆市七堵區崇智街5號 65 第三分局"
交通部鐵路改建工程局,正光里,基隆市七堵區崇禮街1之4號,"25.0974, 121.71571",1.0,1201,第三分局,"交通部鐵路改建工程局 正光013 正光里 基隆市七堵區崇禮街1之4號 1201 第三分局"
七堵區公所,正光里,基隆市七堵區光明路21號,"25.09764, 121.7165",1.0,1189,第三分局,"七堵區公所 正光014 正光里 基隆市七堵區光明路21號 1189 第三分局"
民宅(松鼎苑),正光里,基隆市七堵區光明路15號,"25.09852, 121.717",1.0,2671,第三分局,"民宅(松鼎苑) 正光015 正光里 基隆市七堵區光明路15號 2671 第三分局"
民宅,正光里,基隆市七堵區光明路26號,"25.09852, 121.717",1.0,96,第三分局,"民宅 正光016 正光里 基隆市七堵區光明路26號 96 第三分局"
民宅,正明里,基隆市七堵區南光街17號,"25.09482, 121.71283",1.0,79,第三分局,"民宅 正明001 正明里 基隆市七堵區南光街17號 79 第三分局"
民宅,正明里,基隆市七堵區南光街1巷1號,"25.09462, 121.71139",1.0,106,第三分局
民宅,正明里,基隆市七堵區南興路102號,"25.09672, 121.71222",1.0,406,第三分局
財政部基隆關稅局,正明里,基隆市七堵區南光街21號,"25.09472, 121.71246",1.0,459,第三分局
陽明海運股份有限公司,正明里,基隆市七堵區明德一路271號,"25.09445, 121.71093",1.0,1720,第三分局
民宅,正明里,基隆市七堵區南興路90號,"25.09666, 121.7125",1.0,181,第三分局
民宅,正明里,基隆市七堵區明德一路235號,"25.0962, 121.71101",1.0,258,第三分局,"民宅 正明009 正明里 基隆市七堵區明德一路235號 258 第三分局"
民宅,正明里,基隆市七堵區自治街28巷48號,"25.09578, 121.71118",1.0,635,第三分局,"民宅 正明010 正明里 基隆市七堵區自治街28巷48號 635 第三分局"
財盛營造股份有限公司,正明里,基隆市七堵區開元路114號,"25.09572, 121.71188",1.0,1794,第三分局,"財盛營造股份有限公司 正明011 正明里 基隆市七堵區開元路114號 1794 第三分局"
民宅,永平里,基隆市七堵區崇信街41巷19號,"25.09945, 121.71144",1.0,52,第三分局,"民宅 永平001 永平里 基隆市七堵區崇信街41巷19號 52 第三分局"
七堵國小,永平里,基隆市七堵區明德一路184號,"25.09797, 121.7144",1.0,285,第三分局,"七堵國小 永平002 永平里 基隆市七堵區明德一路184號 285 第三分局"
民宅,永平里,基隆市七堵區明德一路190號,"25.09755, 121.71293",1.0,246,第三分局,"民宅 永平003 永平里 基隆市七堵區明德一路190號 246 第三分局"
民宅,永平里,基隆市七堵區崇智街11巷13號,"25.09945, 121.71338",1.0,931,第三分局,"民宅 永平004 永平里 基隆市七堵區崇智街11巷13號 931 第三分局"
民宅,永平里,基隆市七堵區崇智街37號,"25.09945, 121.71338",1.0,276,第三分局,"民宅 永平005 永平里 基隆市七堵區崇智街37號 276 第三分局"
民宅,永平里,基隆市七堵區崇智街25號,"25.0997, 121.71325",1.0,103,第三分局,"民宅 永平006 永平里 基隆市七堵區崇智街25號 103 第三分局"
民宅,永平里,基隆市七堵區明德一路186號,"25.09797, 121.7144",1.0,322,第三分局,"民宅 永平007 永平里 基隆市七堵區明德一路186號 322 第三分局"
七堵國小,永平里,基隆市七堵區明德一路184號,"25.09797, 121.7144",1.0,630,第三分局,"七堵國小 永平008 永平里 基隆市七堵區明德一路184號 630 第三分局"
民宅,永安里,基隆市七堵區崇孝街21號,"25.09795, 121.70961",1.0,315,第三分局,"民宅 永安001 永安里 基隆市七堵區崇孝街21號 315 第三分局"
民宅,永安里,基隆市七堵區崇信街37巷20號,"25.09889, 121.7115",1.0,341,第三分局,"民宅 永安002 永安里 基隆市七堵區崇信街37巷20號 341 第三分局"
永富之星,永安里,基隆市七堵區永富路212之2號,"25.09815, 121.71098",1.0,1102,第三分局,"永富之星 永安004 永安里 基隆市七堵區永富路212之2號 1102 第三分局"
永富之星,永安里,基隆市七堵區永富路238號,"25.09833, 121.70933",1.0,695,第三分局,"永富之星 永安005 永安里 基隆市七堵區永富路238號 695 第三分局"
永富之星,永安里,基隆市七堵區永富路220號,"25.09816, 121.71062",1.0,1464,第三分局,"永富之星 永安006 永安里 基隆市七堵區永富路220號 1464 第三分局"
民宅,永安里,基隆市七堵區崇孝街42巷47號,"25.09873, 121.70943",1.0,723,第三分局,"民宅 永安007 永安里 基隆市七堵區崇孝街42巷47號 723 第三分局"
經濟部標準檢驗局,百福里,基隆市七堵區福五街85巷3號,"25.08546, 121.6978",3.0,315,第三分局,"經濟部標準檢驗局 百福002 百福里 基隆市七堵區福五街85巷3號 315 第三分局"
民宅,百福里,基隆市七堵區百七街66號,"25.08546, 121.6978",1.0,2928,第三分局,"民宅 百福003 百福里 基隆市七堵區百七街66號 2928 第三分局"
民宅,百福里,基隆市七堵區百五街51號,"25.08395, 121.69661",1.0,272,第三分局,"民宅 百福004 百福里 基隆市七堵區百五街51號 272 第三分局"
民宅,百福里,基隆市七堵區福六街51號,"25.08546, 121.6978",1.0,368,第三分局,"民宅 百福005 百福里 基隆市七堵區福六街51號 368 第三分局"
民宅,百福里,基隆市七堵區福五街8巷17號,"25.086, 121.69695",1.0,486,第三分局,"民宅 百福006 百福里 基隆市七堵區福五街8巷17號 486 第三分局"
民宅,百福里,基隆市七堵區福二街210號,"25.086, 121.69695",1.0,300,第三分局,"民宅 百福007 百福里 基隆市七堵區福二街210號 300 第三分局"
民宅,百福里,基隆市七堵區百六街106號,"25.08529, 121.69702",1.0,420,第三分局,"民宅 百福008 百福里 基隆市七堵區百六街106號 420 第三分局"
民宅,百福里,基隆市七堵區福二街228號,"25.086, 121.69695",1.0,410,第三分局,"民宅 百福009 百福里 基隆市七堵區福二街228號 410 第三分局"
民宅,百福里,基隆市七堵區福五街38號,"25.08546, 121.6978",1.0,631,第三分局,"民宅 百福010 百福里 基隆市七堵區福五街38號 631 第三分局"
民宅,百福里,基隆市七堵區百六街100巷23號,"25.086, 121.69695",1.0,1031,第三分局,"民宅 百福011 百福里 基隆市七堵區百六街100巷23號 1031 第三分局"
民宅,百福里,基隆市七堵區福六街125號,"25.08515, 121.69891",1.0,649,第三分局,"民宅 百福012 百福里 基隆市七堵區福六街125號 649 第三分局"
民宅,百福里,基隆市七堵區福五街174號,"25.08767, 121.69789",1.0,495,第三分局,"民宅 百福013 百福里 基隆市七堵區福五街174號 495 第三分局"
民宅,百福里,基隆市七堵區福五街171號,"25.08546, 121.6978",1.0,293,第三分局,"民宅 百福014 百福里 基隆市七堵區福五街171號 293 第三分局"
民宅,百福里,基隆市七堵區福六街65號,"25.086, 121.69695",1.0,437,第三分局,"民宅 百福015 百福里 基隆市七堵區福六街65號 437 第三分局"
民宅,百福里,基隆市七堵區福五街76之1號,"25.08546, 121.6978",1.0,840,第三分局,"民宅 百福016 百福里 基隆市七堵區福五街76之1號 840 第三分局"
消防局百福分隊,百福里,基隆市七堵區百六街116號,"25.086, 121.69695",1.0,3311,第三分局,"消防局百福分隊 百福018 百福里 基隆市七堵區百六街116號 3311 第三分局"
民宅,百福里,基隆市七堵區福五街137號,"25.08529, 121.69701",1.0,888,第三分局,"民宅 百福019 百福里 基隆市七堵區福五街137號 888 第三分局"
民宅,百福里,基隆市七堵區百七街56號,"25.08546, 121.6978",1.0,336,第三分局,"民宅 百福020 百福里 基隆市七堵區百七街56號 336 第三分局"
民宅,百福里,基隆市七堵區百七街69號,"25.08681, 121.69608",1.0,150,第三分局,"民宅 百福021 百福里 基隆市七堵區百七街69號 150 第三分局"
民宅,百福里,基隆市七堵區百七街101巷22號,"25.08529, 121.69701",1.0,1099,第三分局,"民宅 百福022 百福里 基隆市七堵區百七街101巷22號 1099 第三分局"
民宅,百福里,基隆市七堵區福五街80號,"25.08546, 121.6978",1.0,346,第三分局,"民宅 百福023 百福里 基隆市七堵區福五街80號 346 第三分局"
民宅,百福里,基隆市七堵區福六街113號,"25.08522, 121.69888",1.0,1104,第三分局,"民宅 百福024 百福里 基隆市七堵區福六街113號 1104 第三分局"
民宅,百福里,基隆市七堵區百六街136號,"25.086, 121.69695",1.0,856,第三分局,"民宅 百福025 百福里 基隆市七堵區百六街136號 856 第三分局"
民宅,百福里,基隆市七堵區福六街61號,"25.08346, 121.69978",1.0,1010,第三分局,"民宅 百福026 百福里 基隆市七堵區福六街61號 1010 第三分局"
民宅,百福里,基隆市七堵區福五街26號,"25.08546, 121.6978",1.0,566,第三分局,"民宅 百福027 百福里 基隆市七堵區福五街26號 566 第三分局"
民宅,百福里,基隆市七堵區福二街328號,"25.08529, 121.69701",1.0,1071,第三分局,"民宅 百福028 百福里 基隆市七堵區福二街328號 1071 第三分局"
民宅,百福里,基隆市七堵區福二街300號,"25.0855, 121.69514",1.0,759,第三分局,"民宅 百福029 百福里 基隆市七堵區福二街300號 759 第三分局"
民宅,百福里,基隆市七堵區百六街107巷11號,"25.086, 121.69695",1.0,904,第三分局,"民宅 百福030 百福里 基隆市七堵區百六街107巷11號 904 第三分局"
民宅,百福里,基隆市七堵區百五街78號,"25.08427, 121.69909",2.0,223,第三分局,"民宅 百福031 百福里 基隆市七堵區百五街78號 223 第三分局"
民宅,百福里,基隆市七堵區福六街49號,"25.08309, 121.69995",2.0,253,第三分局,"民宅 百福032 百福里 基隆市七堵區福六街49號 253 第三分局"
民宅,自強里,基隆市七堵區大華一路46號,"25.09837, 121.71527",1.0,66,第三分局,"民宅 自強001 自強里 基隆市七堵區大華一路46號 66 第三分局"
民宅,自強里,基隆市七堵區自強路59號,"25.11193, 121.71289",1.0,410,第三分局,"民宅 自強002 自強里 基隆市七堵區自強路59號 410 第三分局"
民宅,自強里,基隆市七堵區大華一路129之6號,"25.10147, 121.71292",1.0,2755,第三分局,"民宅 自強003 自強里 基隆市七堵區大華一路129之6號 2755 第三分局"
民宅,自強里,基隆市七堵區大華一路125巷29號,"25.10081, 121.712",1.0,85,第三分局,"民宅 自強004 自強里 基隆市七堵區大華一路125巷29號 85 第三分局"
大樓-里山居,長安里,基隆市七堵區長安街233巷50號,"25.07571, 121.69617",1.0,136,第三分局,"大樓-里山居 長安001 長安里 基隆市七堵區長安街233巷50號 136 第三分局"
民宅,長興里,基隆市七堵區東新街6巷47號,"25.09199, 121.71584",1.0,71,第三分局
蘇州庭院,長興里,基隆市七堵區東新街89巷36號,"25.09458, 121.72123",1.0,183,第三分局,"蘇州庭院 長興002 長興里 基隆市七堵區東新街89巷36號 183 第三分局"
僑盈皮包廠,長興里,基隆市七堵區東新街91號,"25.09458, 121.72123",1.0,360,第三分局,"僑盈皮包廠 長興003 長興里 基隆市七堵區東新街91號 360 第三分局"
民宅,長興里,基隆市七堵區東新街4巷39號,"25.09264, 121.71438",1.0,165,第三分局,"民宅 長興004 長興里 基隆市七堵區東新街4巷39號 165 第三分局"
民宅,長興里,基隆市七堵區東新街79巷1號,"25.09503, 121.72091",1.0,142,第三分局,"民宅 長興005 長興里 基隆市七堵區東新街79巷1號 142 第三分局"
長興國小,長興里,基隆市七堵區東新街3號,"25.09458, 121.72123",1.0,410,第三分局,"長興國小 長興006 長興里 基隆市七堵區東新街3號 410 第三分局"
民宅,長興里,基隆市七堵區東新街6巷20號,"25.09254, 121.71544",1.0,130,第三分局
聯成食品,長興里,基隆市七堵區東新街83之3號,"25.09434, 121.72179",1.0,3297,第三分局,"聯成食品 長興008 長興里 基隆市七堵區東新街83之3號 3297 第三分局"
基隆商工,長興里,基隆市七堵區東新街22號,"25.09458, 121.72123",1.0,330,第三分局,"基隆商工 長興009 長興里 基隆市七堵區東新街22號 330 第三分局"
明德國中,長興里,基隆市七堵區東新街20號,"25.09369, 121.7155",1.0,462,第三分局,"明德國中 長興010 長興里 基隆市七堵區東新街20號 462 第三分局"
民宅,長興里,基隆市七堵區東新街82之11號,"25.09427, 121.71987",1.0,747,第三分局
民宅,泰安里,基隆市七堵區明德二路1巷100號,"25.08962, 121.70645",1.0,483,第三分局,"民宅 泰安001 泰安里 基隆市七堵區明德二路1巷100號 483 第三分局"
民宅,泰安里,基隆市七堵區泰和街67號,"25.08616, 121.7114",1.0,138,第三分局,"民宅 泰安002 泰安里 基隆市七堵區泰和街67號 138 第三分局"
綠園新廈,泰安里,基隆市七堵區泰安路20號,"25.08856, 121.70821",1.0,914,第三分局,"綠園新廈 泰安003 泰安里 基隆市七堵區泰安路20號 914 第三分局"
幸福人生,泰安里,基隆市七堵區明德二路15之33號,"25.08933, 121.70544",1.0,7017,第三分局,"幸福人生 泰安004 泰安里 基隆市七堵區明德二路15之33號 7017 第三分局"
民宅,泰安里,基隆市七堵區明德二路1之4號,"25.08871, 121.70604",1.0,350,第三分局,"民宅 泰安005 泰安里 基隆市七堵區明德二路1之4號 350 第三分局"
名軒新天地社區,泰安里,基隆市七堵區泰安路21之12號,"25.0893, 121.70847",1.0,2144,第三分局,"名軒新天地社區 泰安006 泰安里 基隆市七堵區泰安路21之12號 2144 第三分局"
公寓,泰安里,基隆市七堵區泰安路34號,"25.08786, 121.70807",1.0,677,第三分局,"公寓 泰安007 泰安里 基隆市七堵區泰安路34號 677 第三分局"
上品硯,泰安里,基隆市七堵區明德二路15之9號,"25.08933, 121.70544",1.0,298,第三分局,"上品硯 泰安008 泰安里 基隆市七堵區明德二路15之9號 298 第三分局"
民宅,泰安里,基隆市七堵區泰安路111之1號,"25.08539, 121.71021",1.0,137,第三分局,"民宅 泰安009 泰安里 基隆市七堵區泰安路111之1號 137 第三分局"
民宅,泰安里,基隆市七堵區泰和街88號,"25.08856, 121.70821",1.0,715,第三分局,"民宅 泰安010 泰安里 基隆市七堵區泰和街88號 715 第三分局"
民宅,泰安里,基隆市七堵區泰安路1之2號,"25.08531, 121.7094",1.0,379,第三分局,"民宅 泰安011 泰安里 基隆市七堵區泰安路1之2號 379 第三分局"
綠意東居,泰安里,基隆市七堵區泰安路1之8號,"25.08531, 121.7094",1.0,523,第三分局,"綠意東居 泰安012 泰安里 基隆市七堵區泰安路1之8號 523 第三分局"
民宅,堵北里,基隆市七堵區福一街208號,"25.08599, 121.69456",1.0,369,第三分局,"民宅 堵北001 堵北里 基隆市七堵區福一街208號 369 第三分局"
民宅,堵北里,基隆市七堵區福二街215號,"25.08666, 121.69532",1.0,394,第三分局,"民宅 堵北002 堵北里 基隆市七堵區福二街215號 394 第三分局"
民宅,堵北里,基隆市七堵區福一街110巷9號,"25.08546, 121.6978",1.0,444,第三分局,"民宅 堵北003 堵北里 基隆市七堵區福一街110巷9號 444 第三分局"
民宅,堵北里,基隆市七堵區福一街114號,"25.08269, 121.69519",1.0,315,第三分局,"民宅 堵北004 堵北里 基隆市七堵區福一街114號 315 第三分局"
民宅,堵北里,基隆市七堵區實踐路176號,"25.08451, 121.69406",1.0,1096,第三分局,"民宅 堵北005 堵北里 基隆市七堵區實踐路176號 1096 第三分局"
民宅,堵北里,基隆市七堵區百六街86號,"25.08506, 121.69505",1.0,1316,第三分局,"民宅 堵北006 堵北里 基隆市七堵區百六街86號 1316 第三分局"
民宅,堵北里,基隆市七堵區實踐路286號,"25.08642, 121.69356",1.0,1745,第三分局,"民宅 堵北007 堵北里 基隆市七堵區實踐路286號 1745 第三分局"
民宅,堵北里,基隆市七堵區福一街105號,"25.08346, 121.69481",1.0,161,第三分局,"民宅 堵北008 堵北里 基隆市七堵區福一街105號 161 第三分局"
民宅,堵北里,基隆市七堵區福一街167號,"25.08528, 121.69446",1.0,168,第三分局,"民宅 堵北009 堵北里 基隆市七堵區福一街167號 168 第三分局"
民宅,堵北里,基隆市七堵區福一街192號,"25.0858, 121.69454",1.0,749,第三分局,"民宅 堵北010 堵北里 基隆市七堵區福一街192號 749 第三分局"
民宅,堵北里,基隆市七堵區福一街202號,"25.0859, 121.69454",1.0,577,第三分局,"民宅 堵北011 堵北里 基隆市七堵區福一街202號 577 第三分局"
民宅,堵北里,基隆市七堵區福一街179號,"25.0856, 121.69437",1.0,483,第三分局,"民宅 堵北012 堵北里 基隆市七堵區福一街179號 483 第三分局"
民宅,堵北里,基隆市七堵區福一街133號,"25.08409, 121.69466",1.0,166,第三分局,"民宅 堵北013 堵北里 基隆市七堵區福一街133號 166 第三分局"
民宅,堵北里,基隆市七堵區實踐路240號,"25.08642, 121.69356",1.0,1445,第三分局,"民宅 堵北014 堵北里 基隆市七堵區實踐路240號 1445 第三分局"
偉鉅,堵南里,基隆市七堵區堵南街44之1號,"25.08217, 121.68948",1.0,25,第三分局,"偉鉅 堵南001 堵南里 基隆市七堵區堵南街44之1號 25 第三分局"
堵南國小,堵南里,基隆市七堵區大德路120號,"25.08329, 121.69211",1.0,775,第三分局,"堵南國小 堵南002 堵南里 基隆市七堵區大德路120號 775 第三分局"
芳丹詩郡,堵南里,基隆市七堵區堵南街12號,"25.08335, 121.68901",1.0,7,第三分局,"芳丹詩郡 堵南003 堵南里 基隆市七堵區堵南街12號 7 第三分局"
民宅,堵南里,基隆市七堵區明德三路101之1號,"25.09837, 121.71527",1.0,161,第三分局,"民宅 堵南004 堵南里 基隆市七堵區明德三路101之1號 161 第三分局"
民宅,堵南里,基隆市七堵區大德路32號,"25.08329, 121.69211",1.0,136,第三分局,"民宅 堵南005 堵南里 基隆市七堵區大德路32號 136 第三分局"
民宅,堵南里,基隆市七堵區堵南街51號,"25.08227, 121.68517",1.0,339,第三分局,"民宅 堵南006 堵南里 基隆市七堵區堵南街51號 339 第三分局"
民宅,堵南里,基隆市七堵區大德路24號,"25.08129, 121.68947",1.0,120,第三分局,"民宅 堵南007 堵南里 基隆市七堵區大德路24號 120 第三分局"
堵南國小,堵南里,基隆市七堵區大德路120號,"25.08333, 121.69207",1.0,300,第三分局,"堵南國小 堵南008 堵南里 基隆市七堵區大德路120號 300 第三分局"
民宅,堵南里,基隆市七堵區堵南街48號,"25.08234, 121.68385",1.0,313,第三分局,"民宅 堵南009 堵南里 基隆市七堵區堵南街48號 313 第三分局"
新發製鋼,堵南里,基隆市七堵區明德三路111之2號,"25.09837, 121.71527",1.0,20,第三分局,"新發製鋼 堵南010 堵南里 基隆市七堵區明德三路111之2號 20 第三分局"
民宅,堵南里,基隆市七堵區大德路85之2號,"25.08385, 121.69245",1.0,577,第三分局,"民宅 堵南011 堵南里 基隆市七堵區大德路85之2號 577 第三分局"
民宅,堵南里,基隆市七堵區大德路35之8號,"25.08174, 121.68923",1.0,367,第三分局,"民宅 堵南012 堵南里 基隆市七堵區大德路35之8號 367 第三分局"
民宅,堵南里,基隆市七堵區大德路132號,"25.08398, 121.69215",1.0,1090,第三分局,"民宅 堵南013 堵南里 基隆市七堵區大德路132號 1090 第三分局"
合邦,堵南里,基隆市七堵區大德路131號,"25.08469, 121.69219",1.0,15,第三分局,"合邦 堵南014 堵南里 基隆市七堵區大德路131號 15 第三分局"
民宅,堵南里,基隆市七堵區大德路77號,"25.08385, 121.69245",1.0,113,第三分局,"民宅 堵南015 堵南里 基隆市七堵區大德路77號 113 第三分局"
民宅,堵南里,基隆市七堵區堵南街46號,"25.08227, 121.68517",1.0,1087,第三分局,"民宅 堵南016 堵南里 基隆市七堵區堵南街46號 1087 第三分局"
民宅,堵南里,基隆市七堵區堵南街20號,"25.08227, 121.68517",1.0,170,第三分局,"民宅 堵南017 堵南里 基隆市七堵區堵南街20號 170 第三分局"
富源鑫,堵南里,基隆市七堵區大德路166號,"25.08391, 121.6922",1.0,689,第三分局,"富源鑫 堵南018 堵南里 基隆市七堵區大德路166號 689 第三分局"
民宅,堵南里,基隆市七堵區堵南街20號,"25.08335, 121.68901",1.0,395,第三分局,"民宅 堵南019 堵南里 基隆市七堵區堵南街20號 395 第三分局"
