類別,電腦編號,村里別,地址,地下層數,可容納數人,備註,placemark_address
大樓,21.0,東門里,"24.43022615260253, 118.32130025668225",2.0,32人,"金門縣金城鎮東門里環島西路一段26號 ","24.43022615260253, 118.32130025668225"
公寓,22.0,東門里,"24.431633010360493, 118.3202504615139",1.0,4人,"金門縣金城鎮東門里珠浦東路4巷13弄19之2號 ","24.431633010360493, 118.3202504615139"
公寓,23.0,東門里,"24.43160859004053, 118.3202437559916",1.0,4人,"金門縣金城鎮東門里珠浦東路4巷13弄19之1號 ","24.43160859004053, 118.3202437559916"
公寓,24.0,東門里,"24.431664756769383, 118.32025582593172",1.0,4人,"金門縣金城鎮東門里珠浦東路4巷13弄19號 ","24.431664756769383, 118.32025582593172"
公寓,25.0,東門里,"金門縣金城鎮東門里莒光路5號 ",1.0,4人,,金門縣金城鎮東門里莒光路5號
公寓,26.0,東門里,"24.430340678482874, 118.32129684110413 ",1.0,10人,"金門縣金城鎮東門里環島西路一段22號 ","24.430340678482874, 118.32129684110413"
公寓,27.0,東門里,金門縣金城鎮東門里民族路31之9號,1.0,7人,,金門縣金城鎮東門里民族路31之9號
公寓,28.0,東門里,"24.430943388045872, 118.32047753564576",1.0,3人,金門縣金城鎮東門里珠浦東路1之1號,"24.430943388045872, 118.32047753564576"
公寓,29.0,東門里,金門縣金城鎮東門里民族路10之11號,1.0,7人,,金門縣金城鎮東門里民族路10之11號
公寓,30.0,東門里,"金門縣金城鎮東門里民族路10-13號 ",1.0,7人,,金門縣金城鎮東門里民族路10-13號
公寓,31.0,東門里,金門縣金城鎮東門里珠浦東路4巷28號,1.0,7人,,金門縣金城鎮東門里珠浦東路4巷28號
公寓,32.0,東門里,"24.431600575566353, 118.31877460716004",1.0,7人,金門縣金城鎮菜市場路19號,"24.431600575566353, 118.31877460716004"
公寓,33.0,東門里,"24.431290221257097, 118.3201046524386",1.0,10人,金門縣金城鎮東門里珠浦東路4巷6-2號,"24.431290221257097, 118.3201046524386"
公寓,34.0,東門里,"24.43211546886419, 118.31933334944276",1.0,7人,金門縣金城鎮東門里模範街4號,"24.43211546886419, 118.31933334944276"
公寓,35.0,東門里,"24.43160724971143, 118.31878978008864",1.0,7人,金門縣金城鎮菜市場路21號,"24.43160724971143, 118.31878978008864"
公寓,36.0,東門里,金門縣金城鎮民族路114號,1.0,27人,,金門縣金城鎮民族路114號
公寓,37.0,東門里,金門縣金城鎮莒光路33號,1.0,4人,,金門縣金城鎮莒光路33號
公寓,38.0,東門里,"24.430822678082112, 118.31824870076495",1.0,12人,金門縣金城鎮珠浦東路21巷9號,"24.430822678082112, 118.31824870076495"
公寓,39.0,東門里,金門縣金城鎮民族路153號,1.0,5人,,金門縣金城鎮民族路153號
公寓,40.0,東門里,金門縣金城鎮莒光路59號,1.0,4人,,金門縣金城鎮莒光路59號
公寓,41.0,東門里,金門縣金城鎮民族路159號,1.0,5人,,金門縣金城鎮民族路159號
公寓,42.0,東門里,"金門縣金城鎮莒光路 39號",1.0,4人,,"金門縣金城鎮莒光路 39號"
公寓,43.0,東門里,"24.42968920607577, 118.3198527265648",1.0,16人,金門縣金城鎮民族路93巷6弄11號,"24.42968920607577, 118.3198527265648"
公寓,44.0,西門里,"24.437562995877443, 118.31997712580052",1.0,22人,金門縣金城鎮民權路173號,"24.437562995877443, 118.31997712580052"
公寓,45.0,西門里,"24.4401225664843, 118.32114975698109",1.0,26人,金門縣金城鎮環島北路1號,"24.4401225664843, 118.32114975698109"
大樓,46.0,西門里,金門縣金城鎮民生路45巷18.20號,1.0,253人,,金門縣金城鎮民生路45巷18.20號
公寓,47.0,西門里,金門縣金城鎮環島北路27號,1.0,22人,,金門縣金城鎮環島北路27號
公寓,48.0,西門里,金門縣金城鎮民權路174號,1.0,26人,,金門縣金城鎮民權路174號
大樓,49.0,西門里,"24.43969436229703, 118.31932086293139",1.0,53人,金門縣金城鎮民權路226巷4弄11號,"24.43969436229703, 118.31932086293139"
公寓,50.0,西門里,金門縣金城鎮珠浦西路50號,1.0,9人,,金門縣金城鎮珠浦西路50號
公寓,51.0,西門里,金門縣金城鎮珠浦西路58號,1.0,9人,,金門縣金城鎮珠浦西路58號
公寓,52.0,西門里,金門縣金城鎮珠浦西路60號,1.0,9人,,金門縣金城鎮珠浦西路60號
公寓,53.0,西門里,金門縣金城鎮珠浦西路62號,1.0,9人,,金門縣金城鎮珠浦西路62號
公寓,54.0,西門里,金門縣金城鎮珠浦西路64號,1.0,9人,,金門縣金城鎮珠浦西路64號
公寓,55.0,西門里,金門縣金城鎮珠浦西路66號,1.0,9人,,金門縣金城鎮珠浦西路66號
公寓,56.0,西門里,金門縣金城鎮珠浦西路70號,1.0,9人,,金門縣金城鎮珠浦西路70號
公寓,57.0,西門里,金門縣金城鎮珠浦西路72號,1.0,9人,,金門縣金城鎮珠浦西路72號
公寓,58.0,西門里,金門縣金城鎮珠浦西路74號,1.0,9人,,金門縣金城鎮珠浦西路74號
公寓,59.0,西門里,"24.436947715923008, 118.31502749292797",1.0,9人,金門縣金城鎮珠浦西路50巷1弄1號,"24.436947715923008, 118.31502749292797"
公寓,60.0,西門里,"24.43700110455121, 118.31499366103006",1.0,9人,金門縣金城鎮珠浦西路50巷1弄2號,"24.43700110455121, 118.31499366103006"
公寓,61.0,西門里,"24.437140736241155, 118.31491133674517",1.0,9人,金門縣金城鎮珠浦西路50巷1弄4號,"24.437140736241155, 118.31491133674517"
公寓,62.0,西門里,"24.437218765647614, 118.3148605888983",1.0,9人,金門縣金城鎮珠浦西路50巷1弄5號,"24.437218765647614, 118.3148605888983"
公寓,63.0,西門里,"24.43727112745908, 118.31482562927047",1.0,9人,金門縣金城鎮珠浦西路50巷1弄6號,"24.43727112745908, 118.31482562927047"
公寓,64.0,西門里,"24.43735121018749, 118.31477375369369",1.0,9人,金門縣金城鎮珠浦西路50巷1弄8號,"24.43735121018749, 118.31477375369369"
公寓,65.0,西門里,"24.437469280784047, 118.31469819578838",1.0,9人,金門縣金城鎮珠浦西路50巷1弄10號,"24.437469280784047, 118.31469819578838"
公寓,66.0,西門里,"24.437564763881266, 118.31463617064223",1.0,9人,金門縣金城鎮珠浦西路50巷1弄11號,"24.437564763881266, 118.31463617064223"
公寓,67.0,西門里,"24.43701342499981, 118.3151977801483",1.0,9人,金門縣金城鎮珠浦西路50巷2弄1號,"24.43701342499981, 118.3151977801483"
公寓,68.0,西門里,"24.437052439748467, 118.31517071462996",1.0,9人,金門縣金城鎮珠浦西路50巷2弄2號,"24.437052439748467, 118.31517071462996"
公寓,69.0,西門里,"24.437113015255356, 118.3151425213817",1.0,9人,金門縣金城鎮珠浦西路50巷2弄3號,"24.437113015255356, 118.3151425213817"
公寓,70.0,西門里,"24.437188991273686, 118.31511094494368",1.0,9人,金門縣金城鎮珠浦西路50巷2弄4號,"24.437188991273686, 118.31511094494368"
公寓,71.0,西門里,"24.437507268690762, 118.3149169753957",1.0,9人,金門縣金城鎮珠浦西路50巷2弄8號,"24.437507268690762, 118.3149169753957"
公寓,72.0,西門里,"24.43754936338576, 118.31488427122771",1.0,9人,金門縣金城鎮珠浦西路50巷2弄9號,"24.43754936338576, 118.31488427122771"
公寓,73.0,西門里,"24.437589404667968, 118.31485382251964",1.0,9人,金門縣金城鎮珠浦西路50巷2弄10號,"24.437589404667968, 118.31485382251964"
公寓,74.0,西門里,"24.437631499335563, 118.31481209651223",1.0,9人,金門縣金城鎮珠浦西路50巷2弄11號,"24.437631499335563, 118.31481209651223"
公寓,75.0,西門里,金門縣金城鎮珠浦西路50巷3弄4號,1.0,9人,,金門縣金城鎮珠浦西路50巷3弄4號
公寓,76.0,西門里,金門縣金城鎮珠浦西路50巷3弄6號,1.0,9人,,金門縣金城鎮珠浦西路50巷3弄6號
公寓,77.0,西門里,"24.4374682540835, 118.31517973647676",1.0,9人,金門縣金城鎮珠浦西路50巷3弄7號,"24.4374682540835, 118.31517973647676"
公寓,78.0,西門里,金門縣金城鎮珠浦西路50巷3弄8號,1.0,9人,,金門縣金城鎮珠浦西路50巷3弄8號
公寓,79.0,西門里,"24.437572977477476, 118.31511771133061",1.0,9人,金門縣金城鎮珠浦西路50巷3弄9號,"24.437572977477476, 118.31511771133061"
公寓,80.0,西門里,金門縣金城鎮珠浦西路50巷3弄10號,1.0,9人,,金門縣金城鎮珠浦西路50巷3弄10號
公寓,81.0,西門里,"24.437283447884514, 118.31555639828183",1.0,9人,金門縣金城鎮珠浦西路50巷4弄3號,"24.437283447884514, 118.31555639828183"
公寓,82.0,西門里,"24.437283447884514, 118.31555639828183",1.0,9人,金門縣金城鎮珠浦西路50巷4弄3號,"24.437283447884514, 118.31555639828183"
公寓,83.0,西門里,"24.437283447884514, 118.31555639828183",1.0,9人,金門縣金城鎮珠浦西路50巷4弄3號,"24.437283447884514, 118.31555639828183"
公寓,84.0,西門里,"24.437390224834, 118.31548873448601",1.0,9人,金門縣金城鎮珠浦西路50巷4弄5號,"24.437390224834, 118.31548873448601"
公寓,85.0,西門里,"24.437444639975404, 118.3154470084786",1.0,9人,金門縣金城鎮珠浦西路50巷4弄6號,"24.437444639975404, 118.3154470084786"
公寓,86.0,西門里,"24.43749084149212, 118.31541317658069",1.0,9人,金門縣金城鎮珠浦西路50巷4弄7號,"24.43749084149212, 118.31541317658069"
公寓,87.0,西門里,"24.43753967984917, 118.31537361399924",1.0,9人,金門縣金城鎮珠浦西路50巷4弄8號,"24.43753967984917, 118.31537361399924"
公寓,88.0,西門里,"24.437591570582832, 118.3153374041789",1.0,9人,金門縣金城鎮珠浦西路50巷4弄9號,"24.437591570582832, 118.3153374041789"
公寓,89.0,西門里,"24.43764529273163, 118.31529918270188",1.0,9人,金門縣金城鎮珠浦西路50巷4弄10號,"24.43764529273163, 118.31529918270188"
公寓,90.0,西門里,"24.437915589383977, 118.31470914684257",1.0,9人,金門縣金城鎮珠浦西路80巷2號,"24.437915589383977, 118.31470914684257"
公寓,91.0,西門里,"24.43801573743326, 118.31461147152487",1.0,9人,金門縣金城鎮珠浦西路80巷4號,"24.43801573743326, 118.31461147152487"
公寓,92.0,西門里,"24.438339491358704, 118.31426439224055",1.0,9人,金門縣金城鎮珠浦西路80巷9號,"24.438339491358704, 118.31426439224055"
公寓,93.0,西門里,"24.438054587948212, 118.31491872203887",1.0,9人,金門縣金城鎮珠浦西路82巷3-1號,"24.438054587948212, 118.31491872203887"
公寓,94.0,西門里,"24.43810207189466, 118.31485803057933",1.0,9人,金門縣金城鎮珠浦西路82巷5號,"24.43810207189466, 118.31485803057933"
公寓,95.0,西門里,"24.438143512415152, 118.31480492555221",1.0,9人,金門縣金城鎮珠浦西路82巷6號,"24.438143512415152, 118.31480492555221"
公寓,96.0,西門里,"24.438184952921997, 118.31474897561293",1.0,9人,金門縣金城鎮珠浦西路82巷7號,"24.438184952921997, 118.31474897561293"
公寓,97.0,西門里,"24.43833085793149, 118.31457828088293",1.0,9人,金門縣金城鎮珠浦西路82巷9號,"24.43833085793149, 118.31457828088293"
公寓,98.0,西門里,"24.43799415381006, 118.31533407923209",1.0,9人,金門縣金城鎮珠浦西路84巷1號,"24.43799415381006, 118.31533407923209"
公寓,99.0,西門里,"24.438029550952447, 118.3152951987658",1.0,9人,金門縣金城鎮珠浦西路84巷2號,"24.438029550952447, 118.3152951987658"
公寓,100.0,西門里,"24.438073581530325, 118.31524399034681",1.0,9人,金門縣金城鎮珠浦西路84巷3號,"24.438073581530325, 118.31524399034681"
公寓,101.0,西門里,"24.438119338781235, 118.3151870921035",1.0,9人,金門縣金城鎮珠浦西路84巷4號,"24.438119338781235, 118.3151870921035"
公寓,102.0,西門里,"24.438204809828093, 118.31508846848169",1.0,9人,金門縣金城鎮珠浦西路84巷6號,"24.438204809828093, 118.31508846848169"
公寓,103.0,西門里,"24.438244523628136, 118.3150372600627",1.0,9人,金門縣金城鎮珠浦西路84巷7號,"24.438244523628136, 118.3150372600627"
公寓,104.0,西門里,"24.43828164738641, 118.31498889655586",1.0,9人,金門縣金城鎮珠浦西路84巷8號,"24.43828164738641, 118.31498889655586"
公寓,105.0,西門里,"24.438323087847877, 118.31493768813688",1.0,9人,金門縣金城鎮珠浦西路84巷9號,"24.438323087847877, 118.31493768813688"
公寓,106.0,西門里,"24.43837316172062, 118.31487415176512",1.0,9人,金門縣金城鎮珠浦西路84巷10號,"24.43837316172062, 118.31487415176512"
公寓,107.0,西門里,"24.43834035470857, 118.31556925865424",1.0,9人,金門縣金城鎮珠浦西路88巷2號,"24.43834035470857, 118.31556925865424"
公寓,108.0,西門里,"24.438386111862677, 118.31550667058657",1.0,9人,金門縣金城鎮珠浦西路88巷3號,"24.438386111862677, 118.31550667058657"
公寓,109.0,西門里,"24.438431005658103, 118.31545166895135",1.0,9人,金門縣金城鎮珠浦西路88巷4號,"24.438431005658103, 118.31545166895135"
公寓,110.0,西門里,"24.438472446070474, 118.31539382240396",1.0,9人,金門縣金城鎮珠浦西路88巷5號,"24.438472446070474, 118.31539382240396"
公寓,111.0,西門里,"24.438505253053936, 118.31535304532959",1.0,9人,金門縣金城鎮珠浦西路88巷6號,"24.438505253053936, 118.31535304532959"
公寓,112.0,西門里,"24.43854755678317, 118.31529045726191",1.0,9人,金門縣金城鎮珠浦西路88巷7號,"24.43854755678317, 118.31529045726191"
公寓,113.0,西門里,"24.438373161726407, 118.31579590332352",1.0,9人,金門縣金城鎮珠浦西路90巷1-1號,"24.438373161726407, 118.31579590332352"
公寓,114.0,西門里,"24.4384025153667, 118.31576460928969",1.0,9人,金門縣金城鎮珠浦西路90巷1-2號,"24.4384025153667, 118.31576460928969"
公寓,115.0,西門里,"24.43851215978621, 118.31564607128274",1.0,9人,金門縣金城鎮珠浦西路90巷2號,"24.43851215978621, 118.31564607128274"
公寓,116.0,西門里,"24.4385613702427, 118.31558443151914",1.0,9人,金門縣金城鎮珠浦西路90巷3號,"24.4385613702427, 118.31558443151914"
公寓,117.0,西門里,"24.438601947271312, 118.3155360680123",1.0,9人,金門縣金城鎮珠浦西路90巷4號,"24.438601947271312, 118.3155360680123"
公寓,118.0,西門里,"24.43865115769277, 118.31547158333653",1.0,9人,金門縣金城鎮珠浦西路90巷5號,"24.43865115769277, 118.31547158333653"
公寓,119.0,西門里,"24.4376314771868, 118.32023918208378",1.0,15人,金門縣金城鎮西門里金城新莊1巷1號,"24.4376314771868, 118.32023918208378"
公寓,120.0,西門里,"24.437653637881148, 118.32023184956854",1.0,15人,金門縣金城鎮西門里金城新莊1巷2號
公寓,121.0,西門里,"24.437715691967867, 118.320142289587",1.0,15人,金門縣金城鎮西門里金城新莊1巷3號
公寓,122.0,西門里,"24.437747635319973, 118.32010560801646",1.0,15人,金門縣金城鎮西門里金城新莊1巷4號
公寓,123.0,西門里,"24.43779871175925, 118.32006347064618",1.0,15人,金門縣金城鎮西門里金城新莊1巷5號
公寓,124.0,西門里,"24.437846716877267, 118.3200300654988",1.0,15人,金門縣金城鎮西門里金城新莊1巷6號
公寓,125.0,西門里,"24.43789067127541, 118.31997910353165",1.0,15人,金門縣金城鎮西門里金城新莊1巷7號
公寓,126.0,西門里,"24.437949277115777, 118.31991473052052",1.0,15人,金門縣金城鎮西門里金城新莊1巷8號
公寓,127.0,西門里,"24.438009278382616, 118.31986168908637",1.0,15人,金門縣金城鎮西門里金城新莊1巷10號
公寓,128.0,西門里,"24.43809639639374, 118.31976918773458",1.0,15人,金門縣金城鎮西門里金城新莊1巷11號
公寓,129.0,西門里,"24.43809639639374, 118.31976918773458",1.0,15人,金門縣金城鎮西門里金城新莊1巷12號
公寓,130.0,西門里,金門縣金城鎮西門里金城新莊1巷14號,1.0,15人,,金門縣金城鎮西門里金城新莊1巷14號
公寓,131.0,西門里,"24.43808648360233, 118.32005527411364",1.0,15人,金門縣金城鎮西門里金城新莊2巷8號,"24.43808648360233, 118.32005527411364"
公寓,132.0,西門里,"24.43779771079827, 118.32037937106307",1.0,15人,金門縣金城鎮金城新莊2巷2號
公寓,133.0,西門里,"24.437858273687414, 118.32030505763453",1.0,15人,金門縣金城鎮金城新莊2巷3號
公寓,134.0,西門里,"24.43790764062689, 118.32023488419524",1.0,15人,金門縣金城鎮金城新莊2巷4號
公寓,135.0,西門里,"24.437989406871445, 118.32015610107224",1.0,15人,金門縣金城鎮金城新莊2巷5號
公寓,136.0,西門里,"24.438077505169257, 118.32004860021657",1.0,15人,金門縣金城鎮西門里金城新莊2巷6號
公寓,138.0,西門里,"24.43808648360233, 118.32005527411364",1.0,15人,金門縣金城鎮西門里金城新莊2巷8號,"24.43808648360233, 118.32005527411364"
公寓,139.0,西門里,"24.43821425188509, 118.31992253640314",1.0,15人,金門縣金城鎮西門里金城新莊2巷9號
公寓,140.0,西門里,"24.438224420341005, 118.31991014267612",1.0,15人,金門縣金城鎮西門里金城新莊2巷10號,"24.438224420341005, 118.31991014267612"
公寓,141.0,西門里,"24.438275239101433, 118.31986867655111",1.0,15人,金門縣金城鎮西門里金城新莊2巷11號,"24.438275239101433, 118.31986867655111"
公寓,142.0,西門里,"24.43793831639547, 118.3204831180417",1.0,15人,金門縣金城鎮金城新莊3巷1號
公寓,143.0,西門里,"24.43799149637309, 118.32042609964677",1.0,15人,金門縣金城鎮西門里金城新莊3巷2號
公寓,144.0,西門里,"24.438060033233597, 118.32034483909541",1.0,15人,金門縣金城鎮西門里金城新莊3巷4號
公寓,145.0,西門里,"24.43816886291478, 118.32024785432561",1.0,15人,金門縣金城鎮西門里金城新莊3巷5號
公寓,146.0,西門里,"24.438207739377393, 118.32019920792186",1.0,15人,金門縣金城鎮西門里金城新莊3巷6號
公寓,147.0,西門里,"24.438206996761284, 118.32019243129635",1.0,15人,金門縣金城鎮西門里金城新莊3巷7號,"24.438206996761284, 118.32019243129635"
公寓,148.0,西門里,"24.438254911599714, 118.32014618061847",1.0,15人,金門縣金城鎮西門里金城新莊3巷8號,"24.438254911599714, 118.32014618061847"
公寓,149.0,西門里,"24.438302826419932, 118.32009036083481",1.0,15人,金門縣金城鎮西門里金城新莊3巷9號
公寓,150.0,西門里,"24.438350741221956, 118.32005367926268",1.0,15人,金門縣金城鎮西門里金城新莊3巷10號
公寓,151.0,西門里,"24.438394300117068, 118.3200074285848",1.0,15人,金門縣金城鎮西門里金城新莊3巷11號
公寓,152.0,西門里,"24.438571439468845, 118.31982083102227",1.0,15人,金門縣金城鎮西門里金城新莊3巷15號
公寓,153.0,西門里,"24.438045287159675, 118.32063390795958",1.0,15人,金門縣金城鎮金城新莊4巷1號
公寓,154.0,西門里,"24.438074034635118, 118.32059330968384",1.0,15人,金門縣金城鎮西門里金城新莊4巷2號
公寓,155.0,西門里,"24.43811715583599, 118.32056398870694",1.0,15人,金門縣金城鎮西門里金城新莊4巷3號
公寓,156.0,西門里,"24.43822012629992, 118.32045105507369",1.0,15人,金門縣金城鎮西門里金城新莊4巷4號
公寓,157.0,西門里,"24.438267354226337, 118.32039241311988",1.0,15人,金門縣金城鎮西門里金城新莊4巷5號
公寓,158.0,西門里,"24.43830636858699, 118.32034955938441",1.0,15人,金門縣金城鎮西門里金城新莊4巷6號
公寓,159.0,西門里,"24.438396717586365, 118.32027512921225",1.0,15人,金門縣金城鎮西門里金城新莊4巷8號
公寓,160.0,西門里,"24.438443945446643, 118.32022776455723",1.0,15人,金門縣金城鎮西門里金城新莊4巷9號
公寓,161.0,西門里,金門縣金城鎮西門里金城新莊4巷10號,1.0,15人,金門縣金城鎮西門里金城新莊4巷10號,金門縣金城鎮西門里金城新莊4巷10號
公寓,162.0,西門里,"24.438556881562533, 118.32011048064959",1.0,15人,金門縣金城鎮西門里金城新莊4巷11號
公寓,163.0,西門里,"24.438618483037633, 118.32005860507505",1.0,15人,金門縣金城鎮西門里金城新莊4巷12號
公寓,164.0,西門里,"24.438174951745037, 118.32077133035996",1.0,15人,金門縣金城鎮金城新莊5巷1號
公寓,165.0,西門里,"24.438205752579666, 118.32072622116472",1.0,15人,金門縣金城鎮西門里金城新莊5巷2號
公寓,166.0,西門里,"24.43825298051148, 118.32068111196945",1.0,15人,金門縣金城鎮西門里金城新莊5巷3號
公寓,167.0,西門里,"24.438308421974057, 118.32061795909614",1.0,15人,金門縣金城鎮西門里金城新莊5巷4號
公寓,168.0,西門里,"24.438365916798404, 118.32056833898136",1.0,15人,金門縣金城鎮西門里金城新莊5巷5號
公寓,169.0,西門里,"24.43841930482611, 118.32050067518847",1.0,15人,金門縣金城鎮西門里金城新莊5巷6號
公寓,170.0,西門里,"24.438825532372686, 118.32005527412484",1.0,15人,金門縣金城鎮金城新莊5巷15號,"24.438825532372686, 118.32005527412484"
公寓,171.0,西門里,"24.438523675132682, 118.3204001546999",1.0,15人,金門縣金城鎮西門里金城新莊5巷8號
公寓,172.0,西門里,"24.438540385397705, 118.32036986480236",1.0,15人,金門縣金城鎮西門里金城新莊5巷9號
公寓,173.0,西門里,"24.438575792913728, 118.3203323138792",1.0,15人,金門縣金城鎮西門里金城新莊5巷10號
公寓,174.0,西門里,"24.438672247820715, 118.32023173104932",1.0,15人,金門縣金城鎮西門里金城新莊5巷11號
公寓,175.0,西門里,"24.438744283719704, 118.32016065251194",1.0,15人,金門縣金城鎮西門里金城新莊5巷12號
公寓,176.0,西門里,"24.43879358929366, 118.32009514539887",1.0,15人,金門縣金城鎮西門里金城新莊5巷13號,"24.43879358929366, 118.32009514539887"
公寓,177.0,西門里,"24.438340577483483, 118.32087423009371",1.0,15人,金門縣金城鎮西門里金城新莊6巷2號,"24.438340577483483, 118.32087423009371"
公寓,178.0,西門里,"24.438385483376038, 118.32079734201214",1.0,15人,金門縣金城鎮西門里金城新莊6巷3號
公寓,179.0,西門里,"24.43842552439272, 118.32076125465593",1.0,15人,金門縣金城鎮西門里金城新莊6巷4號
公寓,180.0,西門里,"24.438478912395183, 118.32070374043201",1.0,15人,金門縣金城鎮西門里金城新莊6巷5號
公寓,181.0,西門里,"24.438534353758428, 118.32064735393793",1.0,15人,金門縣金城鎮西門里金城新莊6巷6號
公寓,182.0,西門里,"24.438568234579513, 118.32061803296104",1.0,15人,金門縣金城鎮西門里金城新莊6巷7號
公寓,183.0,西門里,"24.43867090367874, 118.32053119776018",1.0,15人,金門縣金城鎮西門里金城新莊6巷9號
公寓,184.0,西門里,"24.43875509227772, 118.32044097936969",1.0,15人,金門縣金城鎮西門里金城新莊6巷10號
公寓,185.0,西門里,"24.438808480140633, 118.32039587017445",1.0,15人,金門縣金城鎮金城新莊6巷11號
公寓,186.0,西門里,金門縣金城鎮西門里金城新莊6巷12號,1.0,15人,,金門縣金城鎮西門里金城新莊6巷12號
公寓,187.0,西門里,"24.43891525579862, 118.32027858626678",1.0,15人,金門縣金城鎮金城新莊6巷13號
公寓,188.0,西門里,"24.438577618520235, 118.32104781633332",1.0,15人,金門縣金城鎮金城新莊7巷1號,"24.438577618520235, 118.32104781633332"
公寓,189.0,西門里,"24.438628953076478, 118.32098466345724",1.0,15人,金門縣金城鎮金城新莊7巷2號,"24.438628953076478, 118.32098466345724"
公寓,190.0,西門里,"24.438678234230814, 118.32093053242059",1.0,15人,金門縣金城鎮金城新莊7巷3號,"24.438678234230814, 118.32093053242059"
公寓,191.0,西門里,"24.438715195083915, 118.3208865509533",1.0,15人,金門縣金城鎮金城新莊7巷5號,"24.438715195083915, 118.3208865509533"
公寓,192.0,西門里,"24.43865770041885, 118.32081212077792",1.0,15人,金門縣金城鎮西門里金城新莊7巷6號,"24.43865770041885, 118.32081212077792"
公寓,193.0,西門里,"24.43878090324046, 118.32084256948605",1.0,15人,金門縣金城鎮金城新莊7巷7號,"24.43878090324046, 118.32084256948605"
公寓,194.0,西門里,"24.438758316065517, 118.32068694275571",1.0,15人,金門縣金城鎮金城新莊7巷9號,"24.438758316065517, 118.32068694275571"
公寓,195.0,西門里,"24.4387778231714, 118.32065536631765",1.0,15人,金門縣金城鎮金城新莊7巷10號,"24.4387778231714, 118.32065536631765"
公寓,196.0,西門里,"24.43881478399529, 118.3206158957701",1.0,15人,金門縣金城鎮金城新莊7巷11號
公寓,197.0,西門里,"24.43893695997501, 118.3204850790982",1.0,15人,金門縣金城鎮西門里金城新莊7巷15號,"24.43893695997501, 118.3204850790982"
公寓,198.0,西門里,"24.438979054192696, 118.32042643714185",1.0,15人,金門縣金城鎮西門里金城新莊7巷16號,"24.438979054192696, 118.32042643714185"
公寓,199.0,西門里,"24.436676892414717, 118.32067155888762",1.0,15人,金門縣金城鎮北門里富康一村1巷1號,"24.436676892414717, 118.32067155888762"
公寓,200.0,西門里,"24.436754594257696, 118.3205994877794",1.0,15人,金門縣金城鎮北門里富康一村1巷2號,"24.436754594257696, 118.3205994877794"
公寓,201.0,西門里,"24.436825389228503, 118.32052172684685",1.0,15人,金門縣金城鎮北門里富康一村1巷3號,"24.436825389228503, 118.32052172684685"
