"建築物名稱the names of the buildings","電腦編號 serial number",村里別village,"地址 address","緯經度 latitude and longitude","地下樓層數number of basement levels",可容納人數capacity,轄管分局jurisdiction,"備駐 notes"
上盟皇家公園大樓,QPA00005,三星里,屏東縣潮州鎮三星里02鄰三星路20號,"22.54468842072653, 120.55184133174079",1.0,525.0,潮州分局,
潮州鎮圖書館,QPA00030,三星里,屏東縣潮州鎮三星里05鄰三星路39號,"22.546680666361127, 120.54911533758859",1.0,134.0,潮州分局,
精忠育幼院,QPA00026,三星里,屏東縣潮州鎮三星里03鄰三城路314號,"22.54505371930752, 120.54935558833448",1.0,62.0,潮州分局,
公園傳奇大樓,QPA00062,三星里,屏東縣潮州鎮三星里03鄰吉星路102巷1號,"22.546303180680184, 120.55231252887658",1.0,1036.0,潮州分局,
大順醫院,QPA00004,彭城里,屏東縣潮州鎮彭城里07鄰三城路111號,"22.541746694584234, 120.54965130248749",1.0,2000.0,潮州分局,
慶盛有限公司,QPA00005,九塊里,屏東縣潮州鎮九塊里02鄰復興路94號,"22.523532255628645, 120.55982382490937",1.0,214.0,潮州分局,
—,QPA00019,同榮里,屏東縣潮州鎮同榮里18鄰中山路92號,"22.54978131474086, 120.5408353621606",1.0,28.0,潮州分局,
—,QPA00056,同榮里,屏東縣潮州鎮同榮里18鄰中山路94號,"22.5497939180118, 120.5408111516262",1.0,42.0,潮州分局,
第一銀行/潮州分行,QQA00003,同榮里,屏東縣潮州鎮同榮里07鄰中山路109號,"22.5494572888614, 120.53988520979917",1.0,38.0,潮州分局,
—,QPA00021,同榮里,屏東縣潮州鎮同榮里17鄰中山路112號,"22.549732083882507, 120.54042446223231",1.0,25.0,潮州分局,
—,QPA00017,同榮里,屏東縣潮州鎮同榮里17鄰中山路114號,"22.549681748962904, 120.54033919180138",1.0,28.0,潮州分局,
—,QQA00022,同榮里,屏東縣潮州鎮同榮里09鄰民生路3號,"22.54906495353795, 120.54165134430127",1.0,25.0,潮州分局,
—,QQA00002,同榮里,屏東縣潮州鎮同榮里09鄰民生路15號,"22.549353423288327, 120.54160577311613",1.0,30.0,潮州分局,
—,QPA00003,同榮里,屏東縣潮州鎮同榮里09鄰民生路17號,"22.54936799249775, 120.54165041654836",1.0,45.0,潮州分局,
伯奇種子行,QPA00006,同榮里,屏東縣潮州鎮同榮里09鄰民生路19號,"22.549420523805864, 120.54162675235268",1.0,43.0,潮州分局,
潮州國小/教學樓,QPA00009,同榮里,屏東縣潮州鎮同榮里08鄰育英路31號,"22.548124274753917, 120.54133135938713",1.0,91.0,潮州分局,共有2處、總計可容納人數1148人
潮州國小/勤學樓,QPA00064,同榮里,屏東縣潮州鎮同榮里08鄰育英路31號,"22.548743624544166, 120.54115736134682",1.0,1057.0,潮州分局,共有2處、總計可容納人數1148人
潮州福安宮管委會/同榮里活動中心,QPA00069,同榮里,屏東縣潮州鎮同榮里08鄰西市路2號,"22.54917438861793, 120.54126425928663",1.0,35.0,潮州分局,
—,QPA00061,同榮里,屏東縣潮州鎮同榮里08鄰西市路2-1號,"22.549139752281015, 120.54128699186735",1.0,25.0,潮州分局,
—,QPA00007,同榮里,屏東縣潮州鎮同榮里08鄰西市路2-2號,"22.549188164616176, 120.54136621943836",1.0,25.0,潮州分局,
—,QQA00021,同榮里,屏東縣潮州鎮同榮里08鄰西市路2-3號,"22.549210378258003, 120.54140566543244",1.0,25.0,潮州分局,
—,QQA00023,同榮里,屏東縣潮州鎮同榮里08鄰西市路2-4號,"22.5492517049738, 120.54140972600948",1.0,25.0,潮州分局,
—,QPA00033,同榮里,屏東縣潮州鎮同榮里08鄰西市路4號,"22.549415684462453, 120.54121790343339",1.0,35.0,潮州分局,
公寓華廈,QPA00102,同榮里,屏東縣潮州鎮同榮里13鄰清水路25號,"22.551034044909727, 120.53987388978253",1.0,111.0,潮州分局,
—,QPA00003,三和里,屏東縣潮州鎮三和里08鄰自強路7號,"22.55381498117613, 120.53885959220214",1.0,60.0,潮州分局,
—,QPA00011,三和里,屏東縣潮州鎮三和里03鄰延平路51號,"22.552783939375335, 120.54008035588907",1.0,77.0,潮州分局,
彰化銀行/潮州分行,QPA00010,三和里,屏東縣潮州鎮三和里11鄰延平路115號,"22.55450925954825, 120.54021733458697",1.0,699.0,潮州分局,
公寓華廈,QPA00032,三和里,屏東縣潮州鎮三和里15鄰龍巖路31號,"22.556608036577913, 120.53902842751343",1.0,136.0,潮州分局,
茂隆醫院,QPA00031,三和里,屏東縣潮州鎮三和里15鄰朝昇路322號,"22.556212783074056, 120.53926511142691",1.0,156.0,潮州分局,
安家建設大樓,QQA00019,三和里,屏東縣潮州鎮三和里15鄰和興街6號,"22.558615042673708, 120.53909932855376",1.0,211.0,潮州分局,
潮和國小/南棟,QPA00199,三和里,屏東縣潮州鎮三和里15鄰華巖街1號,"22.556840524779126, 120.5380849179059",1.0,833.0,潮州分局,共有3處、總計可容納人數2811人
潮和國小/北棟,QPA00200,三和里,屏東縣潮州鎮三和里15鄰華巖街1號,"22.55720952105996, 120.53791782767382",1.0,651.0,潮州分局,共有3處、總計可容納人數2811人
潮和國小/東棟,QPA00201,三和里,屏東縣潮州鎮三和里15鄰華巖街1號,"22.556323928327604, 120.53787423891761",1.0,1327.0,潮州分局,共有3處、總計可容納人數2811人
潮州國中/學生活動中心,QPA00008,三共里,屏東縣潮州鎮三共里01鄰文化路66號,"22.553933352091057, 120.54290942052361",1.0,140.0,潮州分局,共有4處、總計可容納人數2863人
潮州國中/行政樓,QPA00004,三共里,屏東縣潮州鎮三共里01鄰文化路66號,"22.55418494587363, 120.54302928960317",1.0,1326.0,潮州分局,共有4處、總計可容納人數2863人
潮州國中/北棟教學樓,QQA00007,三共里,屏東縣潮州鎮三共里01鄰文化路66號,"22.5533798441543, 120.54349060393962",1.0,671.0,潮州分局,共有4處、總計可容納人數2863人
潮州國中/南棟教學樓,QQA00001,三共里,屏東縣潮州鎮三共里01鄰文化路66號,"22.554456666643453, 120.54327629255496",1.0,726.0,潮州分局,共有4處、總計可容納人數2863人
三共里活動中心,QPA00037,三共里,屏東縣潮州鎮三共里24鄰文化路189號,"22.557506486128922, 120.54343972172151",1.0,102.0,潮州分局,
潮州消防分隊,QPA00024,三共里,屏東縣潮州鎮三共里24鄰文化路191號,"22.55777884301884, 120.5434535563727",1.0,208.0,潮州分局,
—,QPA00002,三共里,屏東縣潮州鎮三共里17鄰文化路214號,"22.559323505431365, 120.54409550129014",1.0,22.0,潮州分局,
—,QQA00005,三共里,屏東縣潮州鎮三共里17鄰文化路215號,"22.55842928267539, 120.54368860185824",1.0,23.0,潮州分局,
—,QPA00013,三共里,屏東縣潮州鎮三共里17鄰文化路222號,"22.559437546590356, 120.54423964100671",1.0,20.0,潮州分局,
潮州之聲廣播電台,QQA00030,三共里,屏東縣潮州鎮三共里05鄰朝昇路2號,"22.554673868323047, 120.54714902198229",1.0,496.0,潮州分局,
—,QQA00026,三共里,屏東縣潮州鎮三共里05鄰朝昇路8號,"22.554755797335396, 120.54703366952373",1.0,28.0,潮州分局,
—,QPA00002,三共里,屏東縣潮州鎮三共里02鄰朝昇路43號,"22.555065551759395, 120.54617522263905",1.0,28.0,潮州分局,
公寓華廈,QPA000018,三共里,屏東縣潮州鎮三共里01鄰永坤路2巷55弄2號,"22.553390957981573, 120.54491349250598",1.0,106.0,潮州分局,
孝愛仁愛之家,QPA00057,三共里,屏東縣潮州鎮三共里01鄰永坤路87巷115號,"22.554247719721047, 120.54597158896152",1.0,852.0,潮州分局,
潮州鎮衛生所,QQA00006,三共里,屏東縣潮州鎮三共里38鄰永坤路107號,"22.553308209870835, 120.54237679010191",1.0,217.0,潮州分局,
—,QPA00035,三共里,屏東縣潮州鎮三共里18鄰永坤路136號,"22.553543836883055, 120.54173438035245",1.0,45.0,潮州分局,
—,QQA00032,三共里,屏東縣潮州鎮三共里23鄰延平路92號,"22.553872564592286, 120.54038425639718",1.0,18.0,潮州分局,
國泰人壽/A棟,QQA00004,三共里,屏東縣潮州鎮三共里23鄰延平路142號,"22.555052220041595, 120.54040407075135",1.0,301.0,潮州分局,共有2處、總計可容納人數545人
國泰人壽/B棟,QPA00014,三共里,屏東縣潮州鎮三共里23鄰延平路142號,"22.55505345856688, 120.54054220450662",1.0,244.0,潮州分局,共有2處、總計可容納人數545人
山海觀大樓,QPA00103,三共里,屏東縣潮州鎮三共里23鄰明義路8號,"22.554547265508646, 120.54250551017282",1.0,631.0,潮州分局,
潮昇國小,QPA00104,三共里,屏東縣潮州鎮三共里09鄰北門路25號,"22.556786297759583, 120.54725071160763",1.0,1041.0,潮州分局,
—,QQA00025,三共里,屏東縣潮州鎮三共里01鄰豐年街5號,"22.553546652128322, 120.54553236464406",1.0,33.0,潮州分局,
—,QPA00029,三共里,屏東縣潮州鎮三共里15鄰海康街110號,"22.558719130635552, 120.54676516967791",1.0,42.0,潮州分局,
—,QPA00036,三共里,屏東縣潮州鎮三共里15鄰海康街112號,"22.558688499074446, 120.54666900201104",1.0,42.0,潮州分局,
太武建設大樓/A棟,QPA00092,三共里,屏東縣潮州鎮三共里33鄰海康街212號,"22.55933371862093, 120.54389127677518",1.0,1028.0,潮州分局,共有2處、總計可容納人數1056人
太武建設大樓/B棟,QQA00016,三共里,屏東縣潮州鎮三共里33鄰海康街212號,"22.559357949865444, 120.54375191850181",1.0,1028.0,潮州分局,共有2處、總計可容納人數1056人
晴慧幼兒園,QQA00009,三共里,屏東縣潮州鎮三共里11鄰曲江街20巷1號,"22.557577680994704, 120.54647688740367",1.0,74.0,潮州分局,
—,QPA00012,三共里,屏東縣潮州鎮三共里16鄰曲江街31號,"22.55879803234192, 120.54628229400906",1.0,402.0,潮州分局,
御庭大樓公司,QPA00025,三共里,屏東縣潮州鎮三共里11鄰瑞昌街47號,"22.557845904384298, 120.54441727143647",1.0,441.0,潮州分局,
中山路派出所,QQA00187,新生里,屏東縣潮州鎮新生里05鄰中山路81號,"22.549805103748497, 120.5384144199456",1.0,352.0,潮州分局,
玉山銀行/潮州分行,QPA00198,新生里,屏東縣潮州鎮新生里05鄰中山路158號,"22.54959461621674, 120.53903051816769",1.0,43.0,潮州分局,
六愛醫院,QQA00106,新生里,屏東縣潮州鎮新生里02鄰中山路172號,"22.549633678638042, 120.53868612884109",1.0,508.0,潮州分局,
—,QQA00110,新生里,屏東縣潮州鎮新生里02鄰新生路74號,"22.549812005741554, 120.53867141142877",1.0,168.0,潮州分局,
—,QQA00113,新生里,屏東縣潮州鎮新生里02鄰新生路74-1號,"22.549821426939165, 120.53867994642313",1.0,130.0,潮州分局,
—,QQA00128,新生里,屏東縣潮州鎮新生里19鄰新生路106號,"22.551329380149344, 120.53902983015375",1.0,41.0,潮州分局,
電信公司/潮州服務中心,QQA00112,新生里,屏東縣潮州鎮新生里13鄰新生路123號,"22.55156604760609, 120.53883516265715",1.0,113.0,潮州分局,
—,QQA00122,新生里,屏東縣潮州鎮新生里14鄰六合路47號,"22.55120011988496, 120.53736420251937",1.0,63.0,潮州分局,
鳳宮大旅社,QQA00123,新生里,屏東縣潮州鎮新生里16鄰平安路32-4號,"22.552565109410622, 120.53694539820418",1.0,11.0,潮州分局,
—,QQA00155,新生里,屏東縣潮州鎮新生里17鄰中正路25號,"22.55233219994783, 120.53852163524056",1.0,251.0,潮州分局,
—,QQA00115,新榮里,屏東縣潮州鎮新榮里15鄰新生路8號,"22.547110341835033, 120.53770194512015",1.0,38.0,潮州分局,
土地銀行/潮州分行,QQA00139,新榮里,屏東縣潮州鎮新榮里15鄰新生路12號,"22.547250351437338, 120.53782779682182",1.0,303.0,潮州分局,
台灣銀行/潮州分行,QQA00180,新榮里,屏東縣潮州鎮新榮里13鄰新生路13號,"22.54739979814561, 120.5375724323863",1.0,513.0,潮州分局,
—,QQA00125,新榮里,屏東縣潮州鎮新榮里06鄰新生路46號,"22.548455108403147, 120.53827782402142",1.0,40.0,潮州分局,
華南銀行/潮州分行,QPA00194,新榮里,屏東縣潮州鎮新榮里13鄰新生路71號,"22.54916533420065, 120.53828920276138",1.0,508.0,潮州分局,
—,QQA00119,新榮里,屏東縣潮州鎮新榮里07鄰清水南路47號,"22.548625555737903, 120.54010325642768",1.0,76.0,潮州分局,
第一銀行/潮州分行,QQA00181,新榮里,屏東縣潮州鎮新榮里01鄰中山路117號,"22.549390907683936, 120.53986168198944",1.0,224.0,潮州分局,
—,QQA00130,新榮里,屏東縣潮州鎮新榮里02鄰中山路133號,"22.5492856426088, 120.53935311457994",1.0,50.0,潮州分局,
—,QQA00127,新榮里,屏東縣潮州鎮新榮里03鄰育英路59號,"22.548296404301897, 120.5391386250779",1.0,80.0,潮州分局,
—,QQA00126,新榮里,屏東縣潮州鎮新榮里08鄰育英路63號,"22.55214747351088, 120.54047726686152",1.0,86.0,潮州分局,
萬寶祿大樓,QPA00202,新榮里,屏東縣潮州鎮新榮里18鄰和平路28號,"22.548133864944205, 120.53686307115572",1.0,906.0,潮州分局,
綿繡榮城大樓,QQA00105,新榮里,屏東縣潮州鎮新榮里07鄰民榮街20-4號,"22.54799767530246, 120.53961910490075",1.0,296.0,潮州分局,
—,QQA00103,蓬萊里,屏東縣潮州鎮蓬萊里07鄰榮祥路32號,"22.549215469000597, 120.53413731206209",1.0,30.0,潮州分局,
交通部鐵路管理局/潮州分站,QQA00189,蓬萊里,屏東縣潮州鎮蓬萊里05鄰榮吉街115號,"22.551701314564596, 120.53561951966118",1.0,385.0,潮州分局,
皇德建設大樓,QQA00015,蓬萊里,屏東縣潮州鎮蓬萊里02鄰榮田路123號,"22.551856557830977, 120.53338528833449",1.0,456.0,潮州分局,
日新花園廣場大樓,QQA00107,五魁里,屏東縣潮州鎮五魁里01鄰太平路232號,"22.55732124656642, 120.53568432933429",1.0,417.0,潮州分局,
中華電信/潮州工務段,QQA00140,五魁里,屏東縣潮州鎮五魁里01鄰太平路477號,"22.56129170775446, 120.53198955030284",1.0,446.0,潮州分局,
百洲生活家大樓,QQA00191,五魁里,屏東縣潮州鎮五魁里01鄰杭州街122巷1號,"22.556522791918407, 120.53463159839313",1.0,681.0,潮州分局,
百耕建設大樓,QQA00108,五魁里,屏東縣潮州鎮五魁里01鄰杭州街175號,"22.556935135339003, 120.53454151022471",1.0,481.0,潮州分局,
潮州大亨大樓,QQA00109,永春里,屏東縣潮州鎮永春里06鄰光輪路155號,"22.54322976481459, 120.54177920720717",1.0,1454.0,潮州分局,
—,QQA00133,永春里,屏東縣潮州鎮永春里14鄰興隆路155號,"22.543667909901245, 120.53986509156154",1.0,67.0,潮州分局,
—,QQA00117,永春里,屏東縣潮州鎮永春里30鄰五福路45號,"22.545322718120826, 120.53488710431442",1.0,25.0,潮州分局,
—,QQA00118,永春里,屏東縣潮州鎮永春里28鄰介壽路108號,"22.543899450048634, 120.53597607700739",1.0,43.0,潮州分局,
—,QQA00129,永春里,屏東縣潮州鎮永春里39鄰大同路22號,"22.542798737713216, 120.53439154802363",1.0,72.0,潮州分局,
潮農果菜市場,QQA00131,永春里,屏東縣潮州鎮永春里37鄰大同路200號,"22.541812472235073, 120.5259036264511",1.0,90.0,潮州分局,
一般廠房,QQA00132,永春里,屏東縣潮州鎮永春里37鄰大同路256號,"22.54158663922481, 120.52392883291841",1.0,175.0,潮州分局,
狄斯耐大樓,QQA00111,永春里,屏東縣潮州鎮永春里24鄰永昌路45號,"22.544563011032796, 120.53778165254052",1.0,629.0,潮州分局,
潮州郵局,QQA00136,永春里,屏東縣潮州鎮永春里24鄰光春路13號,"22.54473011663511, 120.53713516980218",1.0,446.0,潮州分局,
大安藥局,QQA00150,永春里,屏東縣潮州鎮永春里20鄰光春路71號,"22.54360298932455, 120.53745281816816",1.0,63.0,潮州分局,
華一旅社,QQA00142,永春里,屏東縣潮州鎮永春里20鄰永康街308號,"22.543982743596718, 120.53780689759779",1.0,92.0,潮州分局,
—,QQA00144,永春里,屏東縣潮州鎮永春里20鄰永康街319號,"22.543817131359123, 120.53777397652381",1.0,60.0,潮州分局,
—,QQA00146,永春里,屏東縣潮州鎮永春里20鄰永康街321號,"22.543726569712643, 120.53779031851779",1.0,60.0,潮州分局,
—,QQA00149,永春里,屏東縣潮州鎮永春里20鄰永康街323號,"22.54378591145764, 120.53770284984583",1.0,60.0,潮州分局,
潮州鎮公有市場,QQA00151,永春里,屏東縣潮州鎮永春里20鄰永康街325號,"22.543700261169732, 120.53769400065055",1.0,60.0,潮州分局,
—,QQA00147,永春里,屏東縣潮州鎮永春里20鄰永康街327號,"22.543686628382183, 120.53767217513469",1.0,60.0,潮州分局,
—,QQA00148,永春里,屏東縣潮州鎮永春里20鄰永康街329號,"22.54375256901286, 120.53759465152334",1.0,60.0,潮州分局,
—,QQA00145,永春里,屏東縣潮州鎮永春里20鄰永康街331號,"22.54374384610706, 120.53756634831095",1.0,60.0,潮州分局,
覺慧寺,QPA00200,富春里,屏東縣潮州鎮富春里05鄰田單路15號,"22.538405997657833, 120.54368764045071",1.0,968.0,潮州分局,
潮州鎮農會糧倉,QQA00138,光春里,屏東縣潮州鎮光春里08鄰光復路255號,"22.53453242274362, 120.53551485356702",1.0,78.0,潮州分局,
公路局第三工程處,QQA00104,光春里,屏東縣潮州鎮光春里08鄰光復路259號,"22.534034175697105, 120.53511863629043",1.0,216.0,潮州分局,
基督長老教會/光春教會,QQA00134,光春里,屏東縣潮州鎮光春里17鄰光春路140-10號,"22.54163563654456, 120.53751467062035",1.0,163.0,潮州分局,
光春國中/東棟,QQA00121,光春里,屏東縣潮州鎮光春里07鄰光春路290號,"22.534406240527094, 120.54067336454148",1.0,145.0,潮州分局,共有3處、總計可容納人數503人
光春國中2,QQA00137,光春里,屏東縣潮州鎮光春里07鄰光春路290號,"22.534487995400458, 120.54055802956135",1.0,126.0,潮州分局,共有3處、總計可容納人數503人
光春國中3,QQA00141,光春里,屏東縣潮州鎮光春里07鄰光春路290號,"22.534395046891717, 120.5400662199241",1.0,232.0,潮州分局,共有3處、總計可容納人數503人
屏東地方方院/潮州簡易庭,QPA00179,光春里,屏東縣潮州鎮光春里07鄰光春路300號,"22.53308347581064, 120.54089849358223",1.0,381.0,潮州分局,
屏東特殊教育學校,QPA00180,光春里,屏東縣潮州鎮光春里07鄰光春路311號,"22.534230170944124, 120.54321438057463",1.0,471.0,潮州分局,
光春國小,QQA00188,光春里,屏東縣潮州鎮光春里11鄰志成路201號,"22.540641025162262, 120.53678247789645",1.0,1273.0,潮州分局,
聯夏食品公司,QQA00143,八爺里,屏東縣潮州鎮八爺里01鄰介壽路255號,"22.537973808688086, 120.53362591465913",1.0,53.0,潮州分局,
中華食品實業公司,QQA00120,八爺里,屏東縣潮州鎮八爺里10鄰介壽路468號,"22.52903932522495, 120.528128405092",1.0,297.0,潮州分局,
永慶旅社,QQA00164,檨子里,屏東縣潮州鎮檨子里01鄰光復路31號,"22.509211145554506, 120.53186516754509",1.0,75.0,潮州分局,
環球水泥公司/潮州預拌場,QQA00114,檨子里,屏東縣潮州鎮檨子里01鄰光復路一段53號,"22.509913548788504, 120.5314817433441",1.0,108.0,潮州分局,
達和實業公司,QQA00075,四林里,屏東縣潮州鎮四林里07鄰通潮路152號,"22.550036767834843, 120.56362900612562",1.0,56.0,潮州分局,
竹田鄉公所,QPA00190,竹田村,屏東縣竹田鄉竹田村01鄰中正路123號,"22.58472267726117, 120.54398953767915",1.0,334.0,潮州分局,
屏東縣肉品市場股份有限公司,QPA00169,永豐村,屏東縣竹田鄉永豐村07鄰永豐路14巷35號,"22.636277670137876, 120.53839223306925",1.0,240.0,潮州分局,
內埔工業區污水處理場,QPA00197,永豐村,屏東縣竹田鄉永豊村07鄰永豊路120號,"22.629490374726398, 120.52859367938603",1.0,191.0,潮州分局,
屏東看守所,QPA00171,永豐村,屏東縣竹田鄉永豐村07鄰永豐路130號,"22.63140020067546, 120.53077042069063",1.0,692.0,潮州分局,
屏東監獄/管教樓,QPA00170,永豐村,屏東縣竹田鄉永豐村07鄰永豐路132號,"22.632706905715516, 120.53231496361802",1.0,1022.0,潮州分局,
台灣創價學會/屏東會館,QPA00195,大湖村,屏東縣竹田鄉大湖村07鄰大成路46號,"22.57456249319998, 120.5168216150496",1.0,542.0,潮州分局,
力泰公司/辦公室,QPA00191,大湖村,屏東縣竹田鄉大湖村08鄰大成路57號,"22.5767816692577, 120.51270647556753",1.0,31.0,潮州分局,共有2處、總計可容納人數204人
力泰公司/工廠,QPA00192,大湖村,屏東縣竹田鄉大湖村08鄰大成路57號,"22.576867059629713, 120.51222591028228",1.0,173.0,潮州分局,共有2處、總計可容納人數204人
新埤鄉公所,QQA00175,新埤村,屏東縣新埤鄉新埤村10鄰中正路40號,"22.470190249722997, 120.54987293096781",1.0,161.0,潮州分局,
台電公司/新埤服務所,QQA00177,新埤村,屏東縣新埤鄉新埤村10鄰中正路62號,"22.470196106638173, 120.54895797243984",1.0,151.0,潮州分局,
