電腦編號,類別,村里別,地址,地下樓層數,可容納人數,備註,placemark_address
SQA00017,台灣糖業公司花蓮區處(花蓮光復糖廠),大進村,花蓮縣光復鄉糖廠街12號,1.0,172人,,花蓮縣光復鄉糖廠街12號
SQA00018,台灣糖業公司花蓮區處(花蓮光復糖廠),大進村,花蓮縣光復鄉糖廠街12號,1.0,320人,,花蓮縣光復鄉糖廠街12號
SQA00024,東美旅社,大華村,花蓮縣光復鄉中山路二段322號,1.0,66人,,花蓮縣光復鄉中山路二段322號
SQA00025,光豐農會,大華村,花蓮縣光復鄉中華路193號,1.0,50人,,花蓮縣光復鄉中華路193號
SQA00026,光復郵局,大安村,花蓮縣光復鄉中正路一段124號,1.0,30人,,花蓮縣光復鄉中正路一段124號
SQA00028,光復國中,大馬村,花蓮縣光復鄉林森路200號,1.0,133人,,花蓮縣光復鄉林森路200號
SQA00029,光復分駐所,大華村,花蓮縣光復鄉中正路一段127號,1.0,66人,,花蓮縣光復鄉中正路一段127號
SQA00030,民眾服務社,大華村,花蓮縣光復鄉中正路一段131號,1.0,40人,,花蓮縣光復鄉中正路一段131號
SQA00031,光復電信機房,大同村,花蓮縣光復鄉中正路一段293號,1.0,22人,,花蓮縣光復鄉中正路一段293號
SQA00032,台電光復服務所,大華村,花蓮縣光復鄉中華路360號,1.0,30人,,花蓮縣光復鄉中華路360號
SQA00034,台灣糖業公司花蓮區處(花蓮光復糖廠),大華村,花蓮縣光復鄉糖廠街19號,1.0,130人,,花蓮縣光復鄉糖廠街19號
SQA00035,光復儲金互助會,大安村,花蓮縣光復鄉中山路三段41號,1.0,13人,,花蓮縣光復鄉中山路三段41號
SQA00053,國立光復高職,大同村,花蓮縣光復鄉林森路100號,1.0,692人,,花蓮縣光復鄉林森路100號
SQA00036,華榮旅社,瑞穗村,花蓮縣瑞穗鄉中山路一段28號,1.0,20人,,花蓮縣瑞穗鄉中山路一段28號
SQA00037,秀山園旅社,瑞穗村,花蓮縣瑞穗鄉中正北路13號,1.0,20人,,花蓮縣瑞穗鄉中正北路13號
SQA00038,高賓旅社,瑞穗村,花蓮縣瑞穗鄉中正北路90號,1.0,20人,,花蓮縣瑞穗鄉中正北路90號
SQA00039,瑞穗鄉老人會,瑞穗村,花蓮縣瑞穗鄉民生街63巷42號,1.0,26人,,花蓮縣瑞穗鄉民生街63巷42號
SQA00040,瑞穗泛舟旅遊中心,瑞良村,花蓮縣瑞穗鄉中山路三段215號,1.0,300人,,花蓮縣瑞穗鄉中山路三段215號
SQA00041,瑞穗鄉圖書館,瑞美村,花蓮縣瑞穗鄉中山路二段377號,1.0,100人,,花蓮縣瑞穗鄉中山路二段377號
SQA00042,瑞穗鄉民代表會,瑞穗村,花蓮縣瑞穗鄉成功南路23號,1.0,30人,,花蓮縣瑞穗鄉成功南路23號
SQA00043,國賓旅社,豐濱村,花蓮縣豐濱鄉光豐路30號,1.0,26人,,花蓮縣豐濱鄉光豐路30號
SQA00044,署立醫院原住民豐濱分院,豐濱村,花蓮縣豐濱鄉光豐路41號,1.0,250人,,花蓮縣豐濱鄉光豐路41號
SQA00046,瑞穗溫泉旅社,紅葉村,花蓮縣萬榮鄉紅葉23號,1.0,13人,,花蓮縣萬榮鄉紅葉23號
SQA00052,瑞穗火車站,瑞穗村,花蓮縣瑞穗鄉四維街13號,1.0,100人,,花蓮縣瑞穗鄉四維街13號
