類別,村里,地址,緯經度,地下樓層數,可容納人數,轄管分局,轄管所別,備註
公寓,青苗里,苗栗縣苗栗市中正路615號,"24.556602911290057, 120.8206687954517",1.0,26,苗栗分局,南苗所,
大樓,青苗里,苗栗縣苗栗市中正路617號,"24.556497877671408, 120.82089582984328",2.0,598,苗栗分局,南苗所,
大樓,青苗里,苗栗縣苗栗市中山路608號,"24.55739875972877, 120.82007676238302",1.0,98,苗栗分局,南苗所,
公寓,青苗里,苗栗縣苗栗市維新街32號,"24.556727977366982, 120.81975379545175",1.0,25,苗栗分局,南苗所,
公寓,青苗里,苗栗縣苗栗市中山路625號,"24.557138352852434, 120.81985204148344",1.0,128,苗栗分局,南苗所,
苗栗市農會,青苗里,苗栗縣苗栗市中正路611號,"24.556600635973858, 120.82109410100736",1.0,565,苗栗分局,南苗所,
大樓,青苗里,苗栗縣苗栗市中正路691號,"24.555100938075306, 120.81975318195984",3.0,3446,苗栗分局,南苗所,
大樓,青苗里,苗栗縣苗栗市至公路53號之2,"24.557754042621873, 120.81923935682754",1.0,500,苗栗分局,南苗所,
大樓,青苗里,苗栗縣苗栗市維新街6號,"24.5562864287401, 120.8206252703194",1.0,297,苗栗分局,南苗所,
大樓,青苗里,苗栗縣苗栗市至公路48號,"24.55757845951882, 120.81911428248858",1.0,1349,苗栗分局,南苗所,
公寓,青苗里,苗栗縣苗栗市中正路609號,"24.556774152582932, 120.82019481317646",1.0,40,苗栗分局,南苗所,
公寓,青苗里,苗栗縣苗栗市至公路29號,"24.557203668702584, 120.81962445550468",1.0,133,苗栗分局,南苗所,
公寓,青苗里,苗栗縣苗栗市中正路621號,"24.556399277801923, 120.82079669545172",1.0,94,苗栗分局,南苗所,
大樓,青苗里,苗栗縣苗栗市中正路586號,"24.55732150955008, 120.82068236476401",1.0,26,苗栗分局,南苗所,
公寓,青苗里,苗栗縣苗栗市中正路584號,"24.55744670130245, 120.82063172243586",1.0,26,苗栗分局,南苗所,
公寓,青苗里,苗栗縣苗栗市中正路657號,"24.555661371343746, 120.8200489340761",1.0,125,苗栗分局,南苗所,
公寓,青苗里,苗栗縣苗栗市中正路631號,"24.55606232738181, 120.82051489730358",1.0,20,苗栗分局,南苗所,
公寓,青苗里,苗栗縣苗栗市建台街25號,"24.55798445904572, 120.8206171512719",1.0,26,苗栗分局,南苗所,
公寓,青苗里,苗栗縣苗栗市至公路56巷13號,"24.558418050023427, 120.82006155867934",1.0,40,苗栗分局,南苗所,
公寓,青苗里,苗栗縣苗栗市至公路56巷11號,"24.558338158631734, 120.81992385497571",1.0,40,苗栗分局,南苗所,
公寓,青苗里,苗栗縣苗栗市至公路56巷17號,"24.558340175233194, 120.81965488195968",1.0,25,苗栗分局,南苗所,
公寓,青苗里,苗栗縣苗栗市至公路56巷5號,"24.55816030874404, 120.81969013592801",1.0,53,苗栗分局,南苗所,
公寓,高苗里,苗栗縣苗栗市中正路810號,"24.553260575454885, 120.81791731079564",1.0,26,苗栗分局,南苗所,
公寓,高苗里,苗栗縣苗栗市中正路816號,"24.55310744732469, 120.81774432428773",1.0,104,苗栗分局,南苗所,
公寓,高苗里,苗栗縣苗栗市中正路934號,"24.550886585096737, 120.81640062984326",1.0,45,苗栗分局,南苗所,
公寓,高苗里,苗栗縣苗栗市中正路844號,"24.552697947739116, 120.81726663777965",1.0,40,苗栗分局,南苗所,
公寓,高苗里,苗栗縣苗栗市日新街35巷3弄4號,"24.553531898951725, 120.81679795365265",1.0,36,苗栗分局,南苗所,
公寓,高苗里,苗栗縣苗栗市光復路38號,"24.553002641015212, 120.81701833777959",1.0,25,苗栗分局,南苗所,
公寓,高苗里,苗栗縣苗栗市光復路46號,"24.553194012442646, 120.81713443777964",1.0,36,苗栗分局,南苗所,
公寓,高苗里,苗栗縣苗栗市日新街49號,"24.5535991922273, 120.81664242243569",2.0,856,苗栗分局,南苗所,
公寓,高苗里,苗栗縣苗栗市日新街83號,"24.55377298522931, 120.81580264201243",1.0,16,苗栗分局,南苗所,
公寓,高苗里,苗栗縣苗栗市日新街85號,"24.553751798626475, 120.81615910894375",1.0,214,苗栗分局,南苗所,
公寓,高苗里,苗栗縣苗栗市光復路25號,"24.553030304357055, 120.81669469545172",1.0,20,苗栗分局,南苗所,
公寓,高苗里,苗栗縣苗栗市天雲街33號,"24.552722670103584, 120.81638563777987",1.0,33,苗栗分局,南苗所,
公寓,高苗里,苗栗縣苗栗市天雲街51號,"24.552737865171363, 120.81628305682746",1.0,17,苗栗分局,南苗所,
公寓,高苗里,苗栗縣苗栗市天雲街56號,"24.55300091257806, 120.81636248566346",1.0,540,苗栗分局,南苗所,
公寓,高苗里,苗栗縣苗栗市大同路99號,"24.552670435213475, 120.81615362613945",1.0,20,苗栗分局,南苗所,
公寓,高苗里,苗栗縣苗栗市光復路11號,"24.55252096542473, 120.81655870894377",1.0,165,苗栗分局,南苗所,
公寓,高苗里,苗栗縣苗栗市中正路886號,"24.552165224622208, 120.8166406414834",1.0,30,苗栗分局,南苗所,
公寓,高苗里,苗栗縣苗栗市大同路103號,"24.552580241607092, 120.8160968856634",1.0,37,苗栗分局,南苗所,
公寓,高苗里,苗栗縣苗栗市大同路105號,"24.55241331298976, 120.81610828566333",1.0,38,苗栗分局,南苗所,
公寓,高苗里,苗栗縣苗栗市大同路105號,"24.55241331298976, 120.81610828566333",1.0,45,苗栗分局,南苗所,
公寓,高苗里,苗栗縣苗栗市大同路115號,"24.552308589364497, 120.81615021449932",1.0,30,苗栗分局,南苗所,
公寓,高苗里,苗栗縣苗栗市大同路120號,"24.552088065930175, 120.8158987568275",1.0,100,苗栗分局,南苗所,
公寓,高苗里,苗栗縣苗栗市大同路133號,"24.55187092498847, 120.81557731317633",1.0,390,苗栗分局,南苗所,
大樓,高苗里,苗栗縣苗栗市大同路133號,"24.55187092498847, 120.81557731317633",1.0,194,苗栗分局,南苗所,
公寓,高苗里,苗栗縣苗栗市大同路148號,"24.55153799008439, 120.81547503222417",1.0,66,苗栗分局,南苗所,
公寓,高苗里,苗栗縣苗栗市大同路152號,"24.551451607836352, 120.81579502613945",1.0,66,苗栗分局,南苗所,
公寓,高苗里,苗栗縣苗栗市大同路61號,"24.5537756399323, 120.81621755867931",1.0,318,苗栗分局,南苗所,
大樓,高苗里,苗栗縣苗栗市信義街36號,"24.55096340836843, 120.81547080100738",4.0,2943,苗栗分局,南苗所,
公寓,勝利里,苗栗縣苗栗市中正路957號,"24.550500439097767, 120.81670943963145",1.0,22,苗栗分局,南苗所,
公寓,勝利里,苗栗縣苗栗市中正路959號,"24.55043016245873, 120.81677781264752",1.0,26,苗栗分局,南苗所,
公寓,勝利里,苗栗縣苗栗市中正路961號,"24.550308091233212, 120.81679081264747",1.0,53,苗栗分局,南苗所,
公寓,勝利里,苗栗縣苗栗市福德一巷3號,"24.54846600181504, 120.81836825365244",1.0,40,苗栗分局,南苗所,
公寓,勝利里,苗栗縣苗栗市福德巷1號,"24.549817271085356, 120.8173174740232",1.0,33,苗栗分局,南苗所,
公寓,勝利里,苗栗縣苗栗市中正路1013號,"24.54937159210802, 120.81669692428756",1.0,25,苗栗分局,南苗所,
公寓,勝利里,苗栗縣苗栗市中正路1063號,"24.54817954777211, 120.81697549915533",1.0,26,苗栗分局,南苗所,
公寓,勝利里,苗栗縣苗栗市中正路1065號,"24.54809207511207, 120.81711817402316",1.0,26,苗栗分局,南苗所,
公寓,勝利里,苗栗縣苗栗市中正路1097號,"24.547432089667367, 120.81699106661573",1.0,82,苗栗分局,南苗所,
公寓,勝利里,苗栗縣苗栗市新東街50巷2號,"24.55179804270299, 120.81878452666845",1.0,108,苗栗分局,南苗所,
公寓,勝利里,苗栗縣苗栗市新東街190巷3號,"24.55072484973579, 120.82229659174786",1.0,50,苗栗分局,南苗所,
公寓,勝利里,苗栗縣苗栗市新東街136巷15之1號,"24.546007132290477, 120.82020927031931",1.0,80,苗栗分局,南苗所,
弘大醫院,維新里,苗栗縣苗栗市新東街125號,"24.5517857662831, 120.82171468751514",1.0,940,苗栗分局,南苗所,
公寓,恭敬里,苗栗縣苗栗市恭敬路49號,"24.549409928053404, 120.8158826856633",1.0,126,苗栗分局,南苗所,
大千醫院,恭敬里,苗栗縣苗栗市信義街23號,"24.550942902780456, 120.81590051264736",1.0,1540,苗栗分局,南苗所,
大樓,恭敬里,苗栗縣苗栗市恭敬路106號,"24.54843298372043, 120.81538737402298",1.0,1274,苗栗分局,南苗所,
公寓,恭敬里,苗栗縣苗栗市恭敬路68號,"24.549644684468486, 120.81588774703908",1.0,40,苗栗分局,南苗所,
聯合大學,恭敬里,苗栗縣苗栗市聯大1號,"24.545983432320043, 120.81278332243568",1.0,1292,苗栗分局,南苗所,
聯合大學,恭敬里,苗栗縣苗栗市聯大1號,"24.545983432320043, 120.81278332243568",1.0,2165,苗栗分局,南苗所,
聯合大學,恭敬里,苗栗縣苗栗市聯大1號,"24.545983432320043, 120.81278332243568",2.0,1449,苗栗分局,南苗所,
聯合大學,恭敬里,苗栗縣苗栗市聯大1號,"24.545983432320043, 120.81278332243568",2.0,1698,苗栗分局,南苗所,
公寓,恭敬里,苗栗縣苗栗市中正路1000號,"24.549548199793836, 120.81616532058385",1.0,22,苗栗分局,南苗所,
公寓,恭敬里,苗栗縣苗栗市信義街49巷6號,"24.55018788071595, 120.81534664703891",1.0,34,苗栗分局,南苗所,
公寓,恭敬里,苗栗縣苗栗市信義街19巷1之1號,"24.550940843903838, 120.81610874314995",1.0,146,苗栗分局,南苗所,
公寓,恭敬里,苗栗縣苗栗市信義街29巷5之2號,"24.550868644005032, 120.81511284001836",1.0,66,苗栗分局,南苗所,
公寓,恭敬里,苗栗縣苗栗市恭敬路88號,"24.548740692697294, 120.81544393576071",1.0,109,苗栗分局,南苗所,
公寓,恭敬里,苗栗縣苗栗市中正路934號,"24.5508768262266, 120.81620751061998",1.0,20,苗栗分局,南苗所,
公寓,恭敬里,苗栗縣苗栗市中正路926號,"24.55096554386924, 120.81603975110212",1.0,80,苗栗分局,南苗所,
公寓,恭敬里,苗栗縣苗栗市中正路972號,"24.550026268337444, 120.81638442780861",1.0,34,苗栗分局,南苗所,
公寓,恭敬里,苗栗縣苗栗市中正路934號,"24.55096465603063, 120.81650791800917",1.0,30,苗栗分局,南苗所,
公寓,恭敬里,苗栗縣苗栗市中正路1014號,"24.549115374315484, 120.81643525664393",1.0,18,苗栗分局,南苗所,
公寓,恭敬里,苗栗縣苗栗市中正路1002號,"24.5493042611837, 120.81660820266778",1.0,33,苗栗分局,南苗所,
公寓,恭敬里,苗栗縣苗栗市中正路978號,"24.55000960416042, 120.81641915664382",1.0,46,苗栗分局,南苗所,
聯合大學,恭敬里,苗栗縣苗栗市聯大1號,"24.546002950820885, 120.8132017468444",1.0,500,苗栗分局,南苗所,
聯合大學,恭敬里,苗栗縣苗栗市聯大1號,"24.546002950820885, 120.8132017468444",1.0,1148,苗栗分局,南苗所,
聯合大學,恭敬里,苗栗縣苗栗市聯大1號,"24.546002950820885, 120.8132017468444",1.0,280,苗栗分局,南苗所,
聯合大學,恭敬里,苗栗縣苗栗市聯大1號,"24.546002950820885, 120.8132017468444",1.0,1177,苗栗分局,南苗所,
聯合大學,恭敬里,苗栗縣苗栗市聯大1號,"24.546002950820885, 120.8132017468444",1.0,1400,苗栗分局,南苗所,
聯合大學,恭敬里,苗栗縣苗栗市聯大1號,"24.546002950820885, 120.8132017468444",1.0,1333,苗栗分局,南苗所,
公寓,水源里,苗栗縣苗栗市中正路1270號,"24.54358399751353, 120.81724824130252",1.0,145,苗栗分局,南苗所,
公寓,水源里,苗栗縣苗栗市中正路1266號,"24.543725354011023, 120.81724841431453",1.0,33,苗栗分局,南苗所,
公寓,水源里,苗栗縣苗栗市中正路1264號,"24.543914682973234, 120.81699340877253",1.0,20,苗栗分局,南苗所,
公寓,水源里,苗栗縣苗栗市中正路1338號,"24.542214217901098, 120.81679729768867",1.0,66,苗栗分局,南苗所,
公寓,水源里,苗栗縣苗栗市中正路1280號,"24.543454654390086, 120.81704013760793",1.0,21,苗栗分局,南苗所,
公寓,水源里,苗栗縣苗栗市中正路1278號,"24.543452116552583, 120.81683454740731",1.0,21,苗栗分局,南苗所,
公寓,水源里,苗栗縣苗栗市中正路1282號,"24.543497392169403, 120.81717128363184",1.0,37,苗栗分局,南苗所,
公寓,水源里,苗栗縣苗栗市中正路1282號,"24.543497392169403, 120.81717128363184",1.0,21,苗栗分局,南苗所,
公寓,水源里,苗栗縣苗栗市中正路1338巷6號之1,"24.542159898843316, 120.81689949286839",1.0,36,苗栗分局,南苗所,
公寓,水源里,苗栗縣苗栗市育民街32號,"24.540716998550025, 120.81702119897314",1.0,33,苗栗分局,南苗所,
公寓,水源里,苗栗縣苗栗市中正路1338巷10號之1,"24.542041335087443, 120.81652108547914",1.0,42,苗栗分局,南苗所,
公寓,水源里,苗栗縣苗栗市育民街34號,"24.540509082600458, 120.81686914130262",1.0,33,苗栗分局,南苗所,
公寓,水源里,苗栗縣苗栗市育民街30號,"24.539568921988398, 120.81556765664385",1.0,33,苗栗分局,南苗所,
公寓,水源里,苗栗縣苗栗市育民街6號,"24.541297895934154, 120.81734139343122",1.0,25,苗栗分局,南苗所,
公寓,水源里,苗栗縣苗栗市中正路1378號,"24.541418718767822, 120.81763695664382",1.0,42,苗栗分局,南苗所,
公寓,水源里,苗栗縣苗栗市中正路1374號,"24.541339416979064, 120.81748335479647",1.0,33,苗栗分局,南苗所,
公寓,水源里,苗栗縣苗栗市中正路1376號,"24.541368738065337, 120.81761994130255",1.0,131,苗栗分局,南苗所,
公寓,水源里,苗栗縣苗栗市中正路1338巷2號,"24.542255056070225, 120.81655442780843",1.0,78,苗栗分局,南苗所,
公寓,大同里,苗栗縣苗栗市博愛街90號,"24.55479612846633, 120.81698666644343",1.0,345,苗栗分局,南苗所,
公寓,大同里,苗栗縣苗栗市光復路127號,"24.554962913970876, 120.81676206644347",1.0,73,苗栗分局,南苗所,
公寓,大同里,苗栗縣苗栗市中山路787號,"24.555192120852116, 120.81652051062008",1.0,21,苗栗分局,南苗所,
公寓,大同里,苗栗縣苗栗市中山路789號,"24.55520793792534, 120.81650396829075",1.0,60,苗栗分局,南苗所,
公寓,大同里,苗栗縣苗栗市中山路785號,"24.555147120908224, 120.81687617383263",1.0,21,苗栗分局,南苗所,
公寓,大同里,苗栗縣苗栗市大同路4號,"24.555096438081534, 120.8159103376081",1.0,21,苗栗分局,南苗所,
公寓,大同里,苗栗縣苗栗市公園路26號,"24.55537177916173, 120.81483064186563",1.0,22,苗栗分局,南苗所,
公寓,大同里,苗栗縣苗栗市公園路28號,"24.555342503595988, 120.81479845535965",1.0,20,苗栗分局,南苗所,
公寓,新苗里,苗栗縣苗栗市新東街65號,"24.552050389605785, 120.8201931584914",1.0,89,苗栗分局,南苗所,
公寓,新苗里,苗栗縣苗栗市新東街22號,"24.55222330699542, 120.81841679768897",1.0,344,苗栗分局,南苗所,
公寓,新苗里,苗栗縣苗栗市新東街69號,"24.551987913287988, 120.81948141118306",1.0,120,苗栗分局,南苗所,
公寓,新苗里,苗栗縣苗栗市新東街6號之1,"24.55235327798794, 120.81816134001832",1.0,1101,苗栗分局,南苗所,
公寓,新苗里,苗栗縣苗栗市新東街37號,"24.552223154350752, 120.81871669768881",1.0,66,苗栗分局,南苗所,
公寓,新苗里,苗栗縣苗栗市新苗街36號,"24.553115471201313, 120.81807009768902",1.0,29,苗栗分局,南苗所,
大樓,新苗里,苗栗縣苗栗市中正路889號,"24.551846836984488, 120.81614144001817",1.0,133,苗栗分局,南苗所,
公寓,新苗里,苗栗縣苗栗市新苗街45號,"24.552738777837902, 120.81801869768896",2.0,120,苗栗分局,南苗所,
公寓,新苗里,苗栗縣苗栗市新苗街12號,"24.55341621889755, 120.81846146885361",1.0,61,苗栗分局,南苗所,
公寓,新苗里,苗栗縣苗栗市中正路831號,"24.55259253663602, 120.8171320976889",1.0,117,苗栗分局,南苗所,
公寓,新苗里,苗栗縣苗栗市新苗街78號,"24.552435584200158, 120.8174118976889",1.0,45,苗栗分局,南苗所,
公寓,新苗里,苗栗縣苗栗市中正路855巷11號,"24.552293678011164, 120.81677216885355",1.0,97,苗栗分局,南苗所,
公寓,新苗里,苗栗縣苗栗市新苗街76號,"24.552477960441433, 120.81747865535948",1.0,28,苗栗分局,南苗所,
公寓,新苗里,苗栗縣苗栗市新苗街74號,"24.552514460432786, 120.81747249768887",1.0,28,苗栗分局,南苗所,
公寓,新苗里,苗栗縣苗栗市中正路905號,"24.551656501821654, 120.81608226885356",1.0,16,苗栗分局,南苗所,
公寓,新苗里,苗栗縣苗栗市新東街6號,"24.552334860474772, 120.81815906885355",1.0,988,苗栗分局,南苗所,
公寓,玉苗里,苗栗縣苗栗市米市街12號,"24.555542201215218, 120.81777955535972",1.0,33,苗栗分局,南苗所,
公寓,玉苗里,苗栗縣苗栗市中山路76號,"24.56810301431802, 120.82318709768919",1.0,42,苗栗分局,南苗所,
公寓,玉苗里,苗栗縣苗栗市光復路172號,"24.556072751952467, 120.81635796885362",1.0,28,苗栗分局,南苗所,
公寓,玉苗里,苗栗縣苗栗市米市街10號,"24.55562253521983, 120.81781305535965",1.0,49,苗栗分局,南苗所,
公寓,玉苗里,苗栗縣苗栗市光復路174號,"24.556138818048826, 120.81634235535964",1.0,41,苗栗分局,南苗所,
公寓,玉苗里,苗栗縣苗栗市中山路673號,"24.55624433492935, 120.81856474001842",1.0,30,苗栗分局,南苗所,
公寓,玉苗里,苗栗縣苗栗市光復路178號,"24.556191259572778, 120.81628066885358",1.0,34,苗栗分局,南苗所,
公寓,玉苗里,苗栗縣苗栗市光復路168巷7號,"24.555997276568515, 120.81638549768903",1.0,266,苗栗分局,南苗所,
公寓,玉苗里,苗栗縣苗栗市中山路726巷1號,"24.555836659655853, 120.81725774001848",1.0,24,苗栗分局,南苗所,
公寓,玉苗里,苗栗縣苗栗市中山路694號,"24.556182776496158, 120.81785399768901",1.0,22,苗栗分局,南苗所,
公寓,玉苗里,苗栗縣苗栗市光復路152號,"24.5554258767911, 120.81664951118307",1.0,50,苗栗分局,南苗所,
公寓,玉苗里,苗栗縣苗栗市中山路687號,"24.555979359622345, 120.81806979768909",1.0,17,苗栗分局,南苗所,
公寓,玉苗里,苗栗縣苗栗市博愛街12號,"24.55489725987549, 120.81846936885351",1.0,90,苗栗分局,南苗所,
公寓,玉苗里,苗栗縣苗栗市中山路726巷2-1號,"24.55585617662353, 120.81724701118313",1.0,20,苗栗分局,南苗所,
公寓,玉苗里,苗栗縣苗栗市光復路198巷4號,"24.556952934598048, 120.81599792652436",1.0,45,苗栗分局,南苗所,
大同國小,高苗里,苗栗縣苗栗市大同路80號,"24.551996742984088, 120.81482972652434",1.0,400,苗栗分局,南苗所,
苗栗市立圖書館,高苗里,苗栗縣苗栗市大同路82號,"24.552420366700893, 120.81508846885366",1.0,144,苗栗分局,南苗所,
公寓,高苗里,苗栗縣苗栗市中山路991號,"24.551449060682124, 120.8141493688536",1.0,52,苗栗分局,南苗所,
公寓,高苗里,苗栗縣苗栗市中山路993號,"24.551552360657883, 120.81431894001835",1.0,65,苗栗分局,南苗所,
公寓,高苗里,苗栗縣苗栗市中山路995號,"24.551537960661197, 120.81415629768884",1.0,52,苗栗分局,南苗所,
公寓,高苗里,苗栗縣苗栗市中山路997號,"24.55141811952033, 120.81415222652423",1.0,53,苗栗分局,南苗所,
公寓,高苗里,苗栗縣苗栗市中山路999號,"24.551320666530184, 120.81413416885349",1.0,93,苗栗分局,南苗所,
苗栗國中,高苗里,苗栗縣苗栗市木鐸山18號,"24.554254500184793, 120.8124990939359",1.0,756,苗栗分局,南苗所,
公寓,水源里,苗栗縣苗栗市中正路1401巷17號,"24.540591522894474, 120.81745172652414",1.0,30,苗栗分局,南苗所,
公寓,水源里,苗栗縣苗栗市中正路1401巷18號,"24.54053296485713, 120.81745172652414",1.0,24,苗栗分局,南苗所,
公寓,水源里,苗栗縣苗栗市中正路1401巷19號,"24.540572003551723, 120.81741954001818",1.0,30,苗栗分局,南苗所,
公寓,水源里,苗栗縣苗栗市中正路1401巷20號,"24.540513445505276, 120.81740881118283",1.0,16,苗栗分局,南苗所,
公寓,水源里,苗栗縣苗栗市中正路1337號,"24.542138543755716, 120.81714231118275",1.0,29,苗栗分局,南苗所,
公寓,水源里,苗栗縣苗栗市中正路1345號,"24.54191456291169, 120.81753312652418",1.0,29,苗栗分局,南苗所,
公寓,水源里,苗栗縣苗栗市中正路1357號,"24.541536384205244, 120.81722145535925",1.0,33,苗栗分局,南苗所,
公寓,水源里,苗栗縣苗栗市中正路1319巷19號,"24.542563624688007, 120.81802835535933",1.0,28,苗栗分局,南苗所,
公寓,恭敬里,苗栗縣苗栗市中正路1132號,"24.546453984202998, 120.81610699768888",1.0,89,苗栗分局,南苗所,
大樓,恭敬里,苗栗縣苗栗市中正路1170巷12號,"24.54576106201234, 120.81561522652405",1.0,208,苗栗分局,南苗所,
公寓,恭敬里,苗栗縣苗栗市中正路1212巷1-1號,"24.54485576222401, 120.81642602652414",1.0,25,苗栗分局,南苗所,
公寓,恭敬里,苗栗縣苗栗市中正路1054號,"24.5480627432921, 120.81592172652421",1.0,69,苗栗分局,南苗所,
公寓,恭敬里,苗栗縣苗栗市中正路1150號,"24.54605386194382, 120.81629759768886",1.0,48,苗栗分局,南苗所,
公寓,恭敬里,苗栗縣苗栗市中正路1146號,"24.546182121152306, 120.81625119768887",1.0,40,苗栗分局,南苗所,
大樓,恭敬里,苗栗縣苗栗市中正路1170巷3號,"24.54559284348539, 120.81617816885347",1.0,200,苗栗分局,南苗所,
大樓,恭敬里,苗栗縣苗栗市恭敬路161號,"24.545845084203325, 120.81502029768885",1.0,73,苗栗分局,南苗所,
公寓,恭敬里,苗栗縣苗栗市恭敬路151號,"24.546231080372397, 120.81496094001818",1.0,40,苗栗分局,南苗所,
大樓,恭敬里,苗栗縣苗栗市中正路1154號,"24.545955984203207, 120.8161655400181",1.0,906,苗栗分局,南苗所,
大樓,恭敬里,苗栗縣苗栗市中正路1102號,"24.54712064336581, 120.8160624976889",1.0,46,苗栗分局,南苗所,
公寓,恭敬里,苗栗縣苗栗市中正路1100號,"24.547180020841292, 120.81606099768885",1.0,46,苗栗分局,南苗所,
公寓,恭敬里,苗栗縣苗栗市中正路1218巷1號,"24.544831902886802, 120.81609506885341",1.0,97,苗栗分局,南苗所,
苗栗地方法院,恭敬里,苗栗縣苗栗市中正路1149號,"24.54640314342204, 120.81647696885354",1.0,7333,苗栗分局,南苗所,
苗栗地方法院,恭敬里,苗栗縣苗栗市中正路1149-8號,"24.54639338420308, 120.81647696885358",1.0,512,苗栗分局,南苗所,
苗栗地方法院,恭敬里,苗栗縣苗栗市中正路1149-8號,"24.54639338420308, 120.81647696885358",1.0,655,苗栗分局,南苗所,
大樓,恭敬里,苗栗縣苗栗市中正路1096號,"24.54718652504541, 120.8160835265243",2.0,4317,苗栗分局,南苗所,
公寓,勝利里,苗栗縣苗栗市國福路2號,"24.541717782129805, 120.82022869768875",1.0,174,苗栗分局,南苗所,
大樓,勝利里,苗栗縣苗栗市金陽街30號,"24.54090362279708, 120.81905169768864",1.0,176,苗栗分局,南苗所,
大樓,勝利里,"苗栗縣苗栗市金陽街30號  ","24.54090362279708, 120.81905169768864",1.0,1082,苗栗分局,南苗所,
苗栗家畜防治所,勝利里,"苗栗縣苗栗市國福路10號 ","24.54153732460873, 120.82069516885339",1.0,160,苗栗分局,南苗所,
苗栗分局,勝利里,苗栗縣苗栗市金鳳街109號,"24.54176280336583, 120.82111229768881",1.0,330,苗栗分局,南苗所,
公寓,水源里,苗栗縣苗栗市龜山橋30之2號,"24.539334283057865, 120.8149977688534",1.0,174,苗栗分局,南苗所,
