電腦編號,村里別,地址,緯度,經度,避難樓層,容量,轄管分局,備註,placemark_address
SNA00022,仁里村,花蓮縣吉安鄉東里一街36號,23.967731,121.594179,B1,554.0,吉安分局,,花蓮縣吉安鄉東里一街36號
SNA00023,仁和村,花蓮縣吉安鄉南海八街205號,23.946411,121.585694,B1,154.0,吉安分局,,花蓮縣吉安鄉南海八街205號
SNA00024,仁安村,花蓮縣吉安鄉海濱1號,23.953744,121.603567,B1,177.0,吉安分局,,花蓮縣吉安鄉海濱1號
SNA00025,仁安村,花蓮縣吉安鄉南海十街164號,23.942246,121.587601,B1,76.0,吉安分局,,花蓮縣吉安鄉南海十街164號
SNA00026,光華村,花蓮縣吉安鄉華工四路6號,23.930589,121.591623,B1,1936.0,吉安分局,,花蓮縣吉安鄉華工四路6號
SNA00027,光華村,花蓮縣吉安鄉南濱路一段521號,23.935828,121.594748,B1,23.0,吉安分局,,花蓮縣吉安鄉南濱路一段521號
SNA00028,光華村,花蓮縣吉安鄉南濱路一段558號,23.929856,121.593031,B1,55.0,吉安分局,,花蓮縣吉安鄉南濱路一段558號
SNA00029,光華村,花蓮縣吉安鄉南濱路一段536號,23.935212,121.59379,B1,22.0,吉安分局,,花蓮縣吉安鄉南濱路一段536號
SNA00030,光華村,花蓮縣吉安鄉華工四路9號,23.930866,121.591342,B1,41.0,吉安分局,,花蓮縣吉安鄉華工四路9號
SNA00031,光華村,花蓮縣吉安鄉南濱路一段544號,23.93302,121.59458,B1,21.0,吉安分局,,花蓮縣吉安鄉南濱路一段544號
SNA00032,光華村,花蓮縣吉安鄉華工四路20號,23.933495,121.593655,B1,34.0,吉安分局,,花蓮縣吉安鄉華工四路20號
SNA00033,光華村,花蓮縣吉安鄉南濱路一段529號,23.93344,121.595023,B1,32.0,吉安分局,,花蓮縣吉安鄉南濱路一段529號
SNA00034,光華村,花蓮縣吉安鄉南濱路一段560號,23.92958,121.592414,B1,33.0,吉安分局,,花蓮縣吉安鄉南濱路一段560號
SNA00036,光華村,花蓮縣吉安鄉華工四路14號,23.931909,121.592448,B1,34.0,吉安分局,,花蓮縣吉安鄉華工四路14號
SNA00037,光華村,花蓮縣吉安鄉華工三路5號,23.935229,121.595491,B1,22.0,吉安分局,,花蓮縣吉安鄉華工三路5號
SNA00038,光華村,花蓮縣吉安鄉華工三路3號,23.934816,121.595533,B1,68.0,吉安分局,,花蓮縣吉安鄉華工三路3號
SNA00039,光華村,花蓮縣吉安鄉南濱路一段554號,23.930517,121.593318,B1,126.0,吉安分局,,花蓮縣吉安鄉南濱路一段554號
SNA00040,光華村,花蓮縣吉安鄉華南二路7號,23.928758,121.590588,B1,52.0,吉安分局,,花蓮縣吉安鄉華南二路7號
SNA00041,光華村,花蓮縣吉安鄉華工四路4號,23.929808,121.591496,B1,197.0,吉安分局,,花蓮縣吉安鄉華工四路4號
SNA00042,光華村,花蓮縣吉安鄉南濱路一段521號,23.935828,121.594748,B1,73.0,吉安分局,,花蓮縣吉安鄉南濱路一段521號
SNA00043,仁和村,花蓮縣吉安鄉南海四街296號,23.955017,121.586919,B1,136.0,吉安分局,,花蓮縣吉安鄉南海四街296號
SNA00044,光華村,花蓮縣吉安鄉光華街100號,23.931335,121.583845,B1,358.0,吉安分局,,花蓮縣吉安鄉光華街100號
SNA00045,光華村,花蓮縣吉安鄉華中路12號,23.937017,121.596301,B1,248.0,吉安分局,,花蓮縣吉安鄉華中路12號
SNA00046,光華村,花蓮縣吉安鄉南濱路一段534號,23.935721,121.593528,B1,415.0,吉安分局,,花蓮縣吉安鄉南濱路一段534號
SNA00047,勝安村,花蓮縣吉安鄉民治路182號,23.980217,121.590536,B1,57.0,吉安分局,,花蓮縣吉安鄉民治路182號
SNA00048,勝安村,花蓮縣吉安鄉自強路101號,23.97851,121.5858,B1,33.0,吉安分局,,花蓮縣吉安鄉自強路101號
SNA00049,北昌村,花蓮縣吉安鄉自立路54號,23.986193,121.595816,B1,75.0,吉安分局,,花蓮縣吉安鄉自立路54號
SNA00050,北昌村,花蓮縣吉安鄉建國路一段189號,23.986362,121.589465,B1,90.0,吉安分局,,花蓮縣吉安鄉建國路一段189號
SNA00051,勝安村,花蓮縣吉安鄉自強路282號,23.98169,121.58853,B1,28.0,吉安分局,,花蓮縣吉安鄉自強路282號
SNA00052,勝安村,花蓮縣吉安鄉自強路284號,23.981725,121.588556,B1,28.0,吉安分局,,花蓮縣吉安鄉自強路284號
SNA00053,勝安村,花蓮縣吉安鄉自強路286號,23.98176,121.588581,B1,28.0,吉安分局,,花蓮縣吉安鄉自強路286號
SNA00054,勝安村,花蓮縣吉安鄉自強路288號,23.981795,121.588601,B1,28.0,吉安分局,,花蓮縣吉安鄉自強路288號
SNA00055,北昌村,花蓮縣吉安鄉建國路一段117號,23.985285,121.593002,B1,45.0,吉安分局,,花蓮縣吉安鄉建國路一段117號
SNA00056,勝安村,花蓮縣吉安鄉自強路298號,23.981985,121.588708,B1,26.0,吉安分局,,花蓮縣吉安鄉自強路298號
SNA00057,勝安村,花蓮縣吉安鄉民治路357號,23.982332,121.586059,B1,52.0,吉安分局,,花蓮縣吉安鄉民治路357號
SNA00058,勝安村,花蓮縣吉安鄉自強路218號,23.980637,121.587783,B1,25.0,吉安分局,,花蓮縣吉安鄉自強路218號
SNA00059,勝安村,花蓮縣吉安鄉自強路214號,23.980573,121.587734,B1,57.0,吉安分局,,花蓮縣吉安鄉自強路214號
SNA00060,勝安村,花蓮縣吉安鄉自強路226號,23.980777,121.58788,B1,24.0,吉安分局,,花蓮縣吉安鄉自強路226號
SNA00061,勝安村,花蓮縣吉安鄉自強路224號,23.98074,121.587855,B1,25.0,吉安分局,,花蓮縣吉安鄉自強路224號
SNA00062,勝安村,花蓮縣吉安鄉自強路210號,23.980499,121.587688,B1,32.0,吉安分局,,花蓮縣吉安鄉自強路210號
SNA00063,勝安村,花蓮縣吉安鄉自強路208號,23.980464,121.587665,B1,32.0,吉安分局,,花蓮縣吉安鄉自強路208號
SNA00064,勝安村,花蓮縣吉安鄉自強路206號,23.980432,121.587646,B1,32.0,吉安分局,,花蓮縣吉安鄉自強路206號
SNA00065,北昌村,花蓮縣吉安鄉中央路三段424號,23.985486,121.58726,B1,146.0,吉安分局,,花蓮縣吉安鄉中央路三段424號
SNA00066,北昌村,花蓮縣吉安鄉建國路一段39號,23.984822,121.595512,B1,17.0,吉安分局,,花蓮縣吉安鄉建國路一段39號
SNA00067,北昌村,花蓮縣吉安鄉建國路一段43號,23.984836,121.595419,B1,17.0,吉安分局,,花蓮縣吉安鄉建國路一段43號
SNA00068,北昌村,花蓮縣吉安鄉建國路一段41號,23.984829,121.595464,B1,17.0,吉安分局,,花蓮縣吉安鄉建國路一段41號
SNA00069,北昌村,花蓮縣吉安鄉建國路一段37號,23.984814,121.59556,B1,20.0,吉安分局,,花蓮縣吉安鄉建國路一段37號
SNA00070,北昌村,花蓮縣吉安鄉建國路一段45號,23.984846,121.595371,B1,17.0,吉安分局,,花蓮縣吉安鄉建國路一段45號
SNA00071,北昌村,花蓮縣吉安鄉建國路一段51號,23.98487,121.595235,B1,17.0,吉安分局,,花蓮縣吉安鄉建國路一段51號
SNA00072,北昌村,花蓮縣吉安鄉建國路一段49號,23.984864,121.595282,B1,17.0,吉安分局,,花蓮縣吉安鄉建國路一段49號
SNA00073,北昌村,花蓮縣吉安鄉建國路一段47號,23.984856,121.595327,B1,17.0,吉安分局,,花蓮縣吉安鄉建國路一段47號
SNA00074,北昌村,花蓮縣吉安鄉建國路一段191號,23.986464,121.589296,B1,50.0,吉安分局,,花蓮縣吉安鄉建國路一段191號
SNA00075,北昌村,花蓮縣吉安鄉建國路一段1號,23.98466,121.596428,B1,158.0,吉安分局,,花蓮縣吉安鄉建國路一段1號
SNA00076,北昌村,花蓮縣吉安鄉建國路一段3號,23.984677,121.59638,B1,158.0,吉安分局,,花蓮縣吉安鄉建國路一段3號
SNA00077,北昌村,花蓮縣吉安鄉建國路一段5號,23.984683,121.596338,B1,75.0,吉安分局,,花蓮縣吉安鄉建國路一段5號
SNA00078,北昌村,花蓮縣吉安鄉建國路一段15號,23.984698,121.596113,B1,48.0,吉安分局,,花蓮縣吉安鄉建國路一段15號
SNA00079,北昌村,花蓮縣吉安鄉建國路一段13號,23.98469,121.596155,B1,160.0,吉安分局,,花蓮縣吉安鄉建國路一段13號
SNA00080,北昌村,花蓮縣吉安鄉建國路一段7號,23.98469,121.596293,B1,46.0,吉安分局,,花蓮縣吉安鄉建國路一段7號
SNA00081,北昌村,花蓮縣吉安鄉建國路一段9號,23.984698,121.596251,B1,46.0,吉安分局,,花蓮縣吉安鄉建國路一段9號
SNA00082,北昌村,花蓮縣吉安鄉建國路一段225號,23.986757,121.588407,B1,41.0,吉安分局,,花蓮縣吉安鄉建國路一段225號
SNA00083,勝安村,花蓮縣吉安鄉自強路248號,23.981166,121.588142,B1,70.0,吉安分局,,花蓮縣吉安鄉自強路248號
SNA00084,勝安村,花蓮縣吉安鄉中原路一段268號,23.980654,121.585451,B1,28.0,吉安分局,,花蓮縣吉安鄉中原路一段268號
SNA00085,勝安村,花蓮縣吉安鄉中央路三段238號,23.981473,121.584902,B1,52.0,吉安分局,,花蓮縣吉安鄉中央路三段238號
SNA00086,勝安村,花蓮縣吉安鄉中央路三段250號,23.98165,121.585005,B1,52.0,吉安分局,,花蓮縣吉安鄉中央路三段250號
SNA00087,勝安村,花蓮縣吉安鄉中央路三段256號,23.981728,121.585049,B1,52.0,吉安分局,,花蓮縣吉安鄉中央路三段256號
SNA00090,勝安村,花蓮縣吉安鄉自強路300巷40號,23.981493,121.589546,B1,28.0,吉安分局,,花蓮縣吉安鄉自強路300巷40號
SNA00091,北昌村,花蓮縣吉安鄉建國路一段197號,23.986488,121.588966,B1,44.0,吉安分局,,花蓮縣吉安鄉建國路一段197號
SNA00092,勝安村,花蓮縣吉安鄉自強路133號,23.979899,121.586833,B1,30.0,吉安分局,,花蓮縣吉安鄉自強路133號
SNA00093,勝安村,花蓮縣吉安鄉和平路一段1號,23.980546,121.594151,B1,54.0,吉安分局,,花蓮縣吉安鄉和平路一段1號
SNA00094,勝安村,花蓮縣吉安鄉自強路131號,23.979869,121.586813,B1,52.0,吉安分局,,花蓮縣吉安鄉自強路131號
SNA00095,勝安村,花蓮縣吉安鄉自強路356號,23.982195,121.588866,B1,36.0,吉安分局,,花蓮縣吉安鄉自強路356號
SNA00096,勝安村,花蓮縣吉安鄉自強路135號,23.979932,121.586861,B1,30.0,吉安分局,,花蓮縣吉安鄉自強路135號
SNA00097,勝安村,花蓮縣吉安鄉自強路137號,23.979966,121.586881,B1,30.0,吉安分局,,花蓮縣吉安鄉自強路137號
SNA00098,勝安村,花蓮縣吉安鄉自強路300巷30號,23.98178,121.58936,B1,38.0,吉安分局,,花蓮縣吉安鄉自強路300巷30號
SNA00099,勝安村,花蓮縣吉安鄉民治路267號,23.980571,121.589133,B1,14.0,吉安分局,,花蓮縣吉安鄉民治路267號
SNA00100,勝安村,花蓮縣吉安鄉民治路290號,23.981963,121.587346,B1,34.0,吉安分局,,花蓮縣吉安鄉民治路290號
SNA00101,北昌村,花蓮縣吉安鄉建國路一段60號,23.985295,121.594695,B1,293.0,吉安分局,,花蓮縣吉安鄉建國路一段60號
SNA00102,勝安村,花蓮縣吉安鄉慈惠二街122號,23.977162,121.584197,B1,305.0,吉安分局,,花蓮縣吉安鄉慈惠二街122號
SNA00103,勝安村,花蓮縣吉安鄉中央路三段308號,23.982547,121.585536,B1,33.0,吉安分局,,花蓮縣吉安鄉中央路三段308號
SNA00104,北昌村,花蓮縣吉安鄉中央路三段609號,23.990248,121.589594,B1,72.0,吉安分局,,花蓮縣吉安鄉中央路三段609號
SNA00105,北昌村,花蓮縣吉安鄉北昌五街52號,23.988047,121.590208,B1,295.0,吉安分局,,花蓮縣吉安鄉北昌五街52號
SNA00106,北昌村,花蓮縣吉安鄉自立路34巷8號,23.985499,121.596181,B1,17.0,吉安分局,,花蓮縣吉安鄉自立路34巷8號
SNA00107,北昌村,花蓮縣吉安鄉北昌三街54巷10號,23.986889,121.594318,B1,482.0,吉安分局,,花蓮縣吉安鄉北昌三街54巷10號
SNA00108,永安村,花蓮縣吉安鄉吉安路一段35號,23.990795,121.57467,B1,187.0,吉安分局,,花蓮縣吉安鄉吉安路一段35號
SNA00109,太昌村,花蓮縣吉安鄉建國路二段880號,23.989592,121.583675,B1,1911.0,吉安分局,,花蓮縣吉安鄉建國路二段880號
SNA00110,太昌村,花蓮縣吉安鄉建國路二段882號,23.989592,121.583675,B1,1060.0,吉安分局,,花蓮縣吉安鄉建國路二段882號
SNA00111,國興里,花蓮市介仁街67號,23.999652,121.573369,B1,1640.0,吉安分局,,花蓮市介仁街67號
SNA00112,太昌村,花蓮縣吉安鄉建國路二段880之5號,23.989592,121.583675,B1,1792.0,吉安分局,,花蓮縣吉安鄉建國路二段880之5號
SNA00113,國興里,花蓮市介仁街178號,23.999908,121.574203,B1,3960.0,吉安分局,,花蓮市介仁街178號
SNA00114,吉安村,花蓮縣吉安鄉中興路121號,23.970685,121.57057,B1,30.0,吉安分局,,花蓮縣吉安鄉中興路121號
SNA00115,吉安村,花蓮縣吉安鄉吉安路二段90號,23.971905,121.562866,B1,682.0,吉安分局,,花蓮縣吉安鄉吉安路二段90號
SNA00116,吉安村,花蓮縣吉安鄉吉興四街101號,23.972107,121.55865,B1,282.0,吉安分局,,花蓮縣吉安鄉吉興四街101號
SNA00117,稻香村,花蓮縣吉安鄉香源路65號,23.963578,121.574658,B1,106.0,吉安分局,,花蓮縣吉安鄉香源路65號
SNA00118,永興村,花蓮縣吉安鄉吉豐路三段495號,23.946753,121.554908,B1,38.0,吉安分局,,花蓮縣吉安鄉吉豐路三段495號
SNA00119,永興村,花蓮縣吉安鄉吉豐路三段495號,23.946753,121.554908,B1,104.0,吉安分局,,花蓮縣吉安鄉吉豐路三段495號
SNA00120,永興村,花蓮縣吉安鄉吉豐路三段495號,23.946753,121.554908,B1,104.0,吉安分局,,花蓮縣吉安鄉吉豐路三段495號
SNA00121,永興村,花蓮縣吉安鄉吉豐路三段495號,23.946753,121.554908,B1,104.0,吉安分局,,花蓮縣吉安鄉吉豐路三段495號
SNA00122,稻香村,花蓮縣吉安鄉香源路20號,23.96282,121.573164,B1,263.0,吉安分局,,花蓮縣吉安鄉香源路20號
SNA00123,稻香村,花蓮縣吉安鄉吉興路一段231號,23.96468,121.573696,B1,76.0,吉安分局,,花蓮縣吉安鄉吉興路一段231號
SNA00124,志學村,花蓮縣壽豐鄉中山路二段202號,23.905676,121.529816,B1,141.0,吉安分局,,花蓮縣壽豐鄉中山路二段202號
SNA00125,志學村,花蓮縣壽豐鄉志學新邨68號,23.900181,121.526658,B1,1327.0,吉安分局,,花蓮縣壽豐鄉志學新邨68號
SNA00126,平和村,花蓮縣壽豐鄉吳全129號,23.895631,121.554463,B1,554.0,吉安分局,,花蓮縣壽豐鄉吳全129號
SNA00127,平和村,花蓮縣壽豐鄉吳全129之1號,23.895416,121.55465,B1,850.0,吉安分局,,花蓮縣壽豐鄉吳全129之1號
SNA00128,平和村,花蓮縣壽豐鄉吳全131號,23.895989,121.553934,B1,690.0,吉安分局,,花蓮縣壽豐鄉吳全131號
SNA00129,壽豐村,花蓮縣壽豐鄉公園路42號,23.871388,121.507955,B1,221.0,吉安分局,,花蓮縣壽豐鄉公園路42號
SNA00130,壽豐村,花蓮縣壽豐鄉壽興街21號,23.87124,121.508858,B1,277.0,吉安分局,,花蓮縣壽豐鄉壽興街21號
SNA00131,壽豐村,花蓮縣壽豐鄉壽山路17號,23.869505,121.509569,B1,348.0,吉安分局,,花蓮縣壽豐鄉壽山路17號
SNA00132,東昌村,花蓮縣吉安鄉東海六街76號,23.965769,121.595885,B1,108.0,吉安分局,,花蓮縣吉安鄉東海六街76號
SNA00133,宜昌村,花蓮縣吉安鄉宜昌一街41號,23.972895,121.587153,B1,1095.0,吉安分局,,花蓮縣吉安鄉宜昌一街41號
SNA00134,宜昌村,花蓮縣吉安鄉宜昌一街43巷15號,23.97092,121.586747,B1,377.0,吉安分局,
SNA00135,宜昌村,花蓮縣吉安鄉宜昌一街45號,23.971077,121.585515,B1,78.0,吉安分局,,花蓮縣吉安鄉宜昌一街45號
SNA00136,東昌村,花蓮縣吉安鄉東海十街3號,23.965509,121.593222,B1,292.0,吉安分局,,花蓮縣吉安鄉東海十街3號
SNA00137,東昌村,花蓮縣吉安鄉東里十一街83號,23.963218,121.595875,B1,577.0,吉安分局,,花蓮縣吉安鄉東里十一街83號
SNA00138,南昌村,花蓮縣吉安鄉南昌街200號,23.969199,121.581446,B1,177.0,吉安分局,,花蓮縣吉安鄉南昌街200號
SNA00139,仁里村,花蓮縣吉安鄉仁里三街11-1號,23.969016,121.592419,B1,172.0,吉安分局,,花蓮縣吉安鄉仁里三街11-1號
SNA00142,宜昌村,花蓮縣吉安鄉中山路二段2號,23.970935,121.584134,B1,218.0,吉安分局,,花蓮縣吉安鄉中山路二段2號
SNA00143,仁里村,花蓮縣吉安鄉中正路一段151號,23.965993,121.592275,B1,1238.0,吉安分局,,花蓮縣吉安鄉中正路一段151號
SNA00144,仁和村,花蓮縣吉安鄉中正路二段152號,23.96103,121.586697,B1,233.0,吉安分局,,花蓮縣吉安鄉中正路二段152號
SNA00145,北昌村,花蓮縣吉安鄉自強路533號,23.987103,121.592085,B1,828.0,吉安分局,,花蓮縣吉安鄉自強路533號
SNA00146,太昌村,花蓮縣吉安鄉明義五街1號,23.99518,121.565122,B1,696.0,吉安分局,,花蓮縣吉安鄉明義五街1號
SNA00147,吉安村,花蓮縣吉安鄉中山路三段3號,23.972966,121.57798,B1,132.0,吉安分局,,花蓮縣吉安鄉中山路三段3號
SNA00148,福興村,花蓮縣吉安鄉福德街1號,23.969214,121.562485,B1,108.0,吉安分局,,花蓮縣吉安鄉福德街1號
SNA00149,吉安村,花蓮縣吉安鄉吉安路二段150號,23.974554,121.564293,B1,213.0,吉安分局,,花蓮縣吉安鄉吉安路二段150號
SNA00150,吉安村,花蓮縣吉安鄉吉安路二段97號,23.973416,121.56281,B1,2170.0,吉安分局,,花蓮縣吉安鄉吉安路二段97號
SNA00151,慶豐村,花蓮縣吉安鄉中山路三段662號,23.983468,121.561244,B1,854.0,吉安分局,,花蓮縣吉安鄉中山路三段662號
SNA00152,干城村,花蓮縣吉安鄉吉安路六段60號,23.948409,121.547487,B1,132.0,吉安分局,,花蓮縣吉安鄉吉安路六段60號
SNA00153,干城村,花蓮縣吉安鄉吉安路六段700號,23.948229,121.527393,B1,38.0,吉安分局,,花蓮縣吉安鄉吉安路六段700號
SNA00154,干城村,花蓮縣吉安鄉吉安路六段700號,23.948229,121.527393,B1,130.0,吉安分局,,花蓮縣吉安鄉吉安路六段700號
SNA00155,干城村,花蓮縣吉安鄉吉安路六段700號,23.948229,121.527393,B1,183.0,吉安分局,,花蓮縣吉安鄉吉安路六段700號
SNA00156,干城村,花蓮縣吉安鄉吉安路六段700號,23.948229,121.527393,B1,1166.0,吉安分局,,花蓮縣吉安鄉吉安路六段700號
SNA00157,南華村,花蓮縣吉安鄉南華四街123號,23.952855,121.551349,B1,108.0,吉安分局,,花蓮縣吉安鄉南華四街123號
SNA00158,志學村,花蓮縣壽豐鄉大學路二段1號,23.894245,121.543423,B1,1086.0,吉安分局,,花蓮縣壽豐鄉大學路二段1號
SNA00159,志學村,花蓮縣壽豐鄉仰山莊1號,23.895979,121.535244,B1,3346.0,吉安分局,,花蓮縣壽豐鄉仰山莊1號
SNA00160,志學村,花蓮縣壽豐鄉大學路二段1號,23.894245,121.543423,B1,1393.0,吉安分局,,花蓮縣壽豐鄉大學路二段1號
SNA00161,平和村,花蓮縣壽豐鄉平和路48號,23.885695,121.518663,B1,314.0,吉安分局,,花蓮縣壽豐鄉平和路48號
SNA00162,壽豐村,花蓮縣壽豐鄉壽山路62號,23.871089,121.507755,B1,135.0,吉安分局,,花蓮縣壽豐鄉壽山路62號
SNA00163,壽豐村,花蓮縣壽豐鄉壽山路52號,23.870881,121.508005,B1,222.0,吉安分局,,花蓮縣壽豐鄉壽山路52號
SNA00164,水璉村,花蓮縣壽豐鄉水璉路6號,23.788069,121.563187,B1,756.0,吉安分局,,花蓮縣壽豐鄉水璉路6號
SNA00165,宜昌村,花蓮縣吉安鄉宜昌一街2-3號,23.973094,121.586789,B1,495.0,吉安分局,,花蓮縣吉安鄉宜昌一街2-3號
SNA00166,宜昌村,花蓮縣吉安鄉中華路二段11號,23.973576,121.587084,B1,4626.0,吉安分局,,花蓮縣吉安鄉中華路二段11號
SNA00167,南昌村,花蓮縣吉安鄉南昌北路34號,23.970002,121.582871,B1,166.0,吉安分局,,花蓮縣吉安鄉南昌北路34號
SNA00168,宜昌村,花蓮縣吉安鄉宜昌六街11號,23.972784,121.583115,B1,330.0,吉安分局,,花蓮縣吉安鄉宜昌六街11號
SNA00169,宜昌村,花蓮縣吉安鄉宜昌一街2-2號,23.973094,121.586789,B1,494.0,吉安分局,,花蓮縣吉安鄉宜昌一街2-2號
SNA00170,東昌村,花蓮縣吉安鄉東海一街100號,23.96646,121.596652,B1,1121.0,吉安分局,,花蓮縣吉安鄉東海一街100號
SNA00171,勝安村,花蓮縣吉安鄉自強路25號,23.97718,121.58507,B1,166.0,吉安分局,,花蓮縣吉安鄉自強路25號
SNA00172,勝安村,花蓮縣吉安鄉慈惠三街114號,23.97736,121.58721,B1,155.0,吉安分局,,花蓮縣吉安鄉慈惠三街114號
SNA00173,勝安村,花蓮縣吉安鄉慈惠三街136號,23.977958,121.586018,B1,272.0,吉安分局,,花蓮縣吉安鄉慈惠三街136號
SNA00174,勝安村,花蓮縣吉安鄉慈惠三街118號,23.977727,121.586708,B1,173.0,吉安分局,,花蓮縣吉安鄉慈惠三街118號
SNA00175,鹽寮村,花蓮縣壽豐鄉山嶺路18號,23.908074,121.596984,B1,7217.0,吉安分局,,花蓮縣壽豐鄉山嶺路18號
SNA00176,國興里,花蓮市國興里建德街3巷2號,23.995253,121.570333,B1,197.0,吉安分局,,花蓮市國興里建德街3巷2號
SNA00177,仁里村,花蓮縣吉安鄉仁里九街23號,23.966009,121.591171,B1,534.0,吉安分局,,花蓮縣吉安鄉仁里九街23號
SNA00178,勝安村,花蓮縣吉安鄉北安街85號,23.985102,121.582113,B1,616.0,吉安分局,,花蓮縣吉安鄉北安街85號
SNA00179,宜昌村,花蓮縣吉安鄉吉祥四街41之1號,23.974976,121.583872,B1,559.0,吉安分局,,花蓮縣吉安鄉吉祥四街41之1號
SNA00180,北昌村,花蓮縣吉安鄉建昌路38號,23.987051,121.595796,B1,406.0,吉安分局,,花蓮縣吉安鄉建昌路38號
SNA00181,太昌村,花蓮縣吉安鄉建國路二段405號,23.995844,121.563571,B1,1911.0,吉安分局,,花蓮縣吉安鄉建國路二段405號
SNA00182,南華村,花蓮縣吉安鄉華興一街268號,23.952234,121.555496,B1,314.0,吉安分局,,花蓮縣吉安鄉華興一街268號
