電腦編號,座落,緯度,經度,地下樓層數,可容納人數,管轄分局,placemark_address
TOA0026,宜蘭縣礁溪鄉玉石村礁溪路5段121號,24.8293544,121.7765162,1.0,320,礁溪分局,"天隆飯店 TOA0026 宜蘭縣礁溪鄉玉石村礁溪路5段121號 320"
TOA0027,宜蘭縣礁溪鄉玉石村公園路25號 ,24.8302212,121.7759213,1.0,190,礁溪分局,"華閣飯店 TOA0027 宜蘭縣礁溪鄉玉石村公園路25號  190"
TOA0028,宜蘭縣礁溪鄉六結村中山路1段175之1號,24.8210374,121.7707213,1.0,583,礁溪分局,"礁溪鄉農會 TOA0028 宜蘭縣礁溪鄉六結村中山路1段175之1號 583"
TOA0029,宜蘭縣礁溪鄉六結村礁溪路4段130號 ,24.8216061,121.769908,1.0,648,礁溪分局,"礁溪郵局 TOA0029 宜蘭縣礁溪鄉六結村礁溪路4段130號  648"
TOA0030,宜蘭縣礁溪鄉德陽村礁溪路5段112號 ,24.8273933,121.7722638,4.0,2241,礁溪分局,"麒麟大飯店 TOA0030 宜蘭縣礁溪鄉德陽村礁溪路5段112號  2241"
TOA0031,宜蘭縣礁溪鄉德陽村礁溪路5段156號,24.8285331,121.7738388,1.0,723,礁溪分局,"帝王飯店 TOA0031 宜蘭縣礁溪鄉德陽村礁溪路5段156號 723"
TOA0033,宜蘭縣礁溪鄉德陽村仁愛路26號 ,24.8283129,121.7705068,1.0,387,礁溪分局,"春和山莊 TOA0033 宜蘭縣礁溪鄉德陽村仁愛路26號  387"
TOA0034,宜蘭縣礁溪鄉德陽村礁溪路5段92號 ,24.826875,121.77188,1.0,828,礁溪分局,"全福巴黎大樓 TOA0034 宜蘭縣礁溪鄉德陽村礁溪路5段92號  828"
TOA0035,宜蘭縣礁溪鄉德陽村中山路2段187號,24.828246,121.775055,1.0,1496,礁溪分局,"山形閣 TOA0035 宜蘭縣礁溪鄉德陽村中山路2段187號 1496"
TOA0036,宜蘭縣礁溪鄉德陽村德陽路43號,24.8282884,121.7719988,1.0,482,礁溪分局,"川湯春天二館 TOA0036 宜蘭縣礁溪鄉德陽村德陽路43號 482"
TOA0037,宜蘭縣礁溪鄉德陽村德陽路65號,24.8286092,121.771498,1.0,197,礁溪分局,"每日溫泉旅店 TOA0037 宜蘭縣礁溪鄉德陽村德陽路65號 197"
TOA0038,宜蘭縣礁溪鄉德陽村中山路2段159號,24.8273211,121.774083,1.0,584,礁溪分局,"雪山溫泉會館 TOA0038 宜蘭縣礁溪鄉德陽村中山路2段159號 584"
TOA0039,宜蘭縣礁溪鄉德陽村仁愛路64號,24.8269051,121.769653,2.0,921,礁溪分局,"溫泉藝術廣場 TOA0039 宜蘭縣礁溪鄉德陽村仁愛路64號 921"
TOA0040,宜蘭縣礁溪鄉德陽村德陽路24巷8號,24.8287589,121.7724817,1.0,1288,礁溪分局,"捷絲旅溫泉飯店 TOA0040 宜蘭縣礁溪鄉德陽村德陽路24巷8號 1288"
TOA0041,宜蘭縣礁溪鄉德陽村德陽路16號,24.8281997,121.772356,1.0,477,礁溪分局,"嘉一飯店 TOA0041 宜蘭縣礁溪鄉德陽村德陽路16號 477"
TOA0042,宜蘭縣礁溪鄉大忠村和平路85號 ,24.8230156,121.7674741,1.0,619,礁溪分局,"莆陽建設公司 TOA0042 宜蘭縣礁溪鄉大忠村和平路85號  619"
TOA0043,宜蘭縣礁溪鄉大忠村大忠路118號,24.8253401,121.7640055,1.0,1797,礁溪分局,"溫泉世家第三期 TOA0043 宜蘭縣礁溪鄉大忠村大忠路118號 1797"
TOA0044,宜蘭縣礁溪鄉大忠村大忠路142號,24.8258231,121.7636415,1.0,341,礁溪分局,"福岡7號溫泉飯店 TOA0044 宜蘭縣礁溪鄉大忠村大忠路142號 341"
TOA0045,宜蘭縣礁溪鄉德陽村溫泉路37號,24.8277366,121.7741065,1.0,1153,礁溪分局,"溫泉至尊大廈 TOA0045 宜蘭縣礁溪鄉德陽村溫泉路37號 1153"
TOA0046,宜蘭縣礁溪鄉德陽村仁愛路110號 ,24.8259396,121.7684077,1.0,732,礁溪分局,"溫泉世家第二期 TOA0046 宜蘭縣礁溪鄉德陽村仁愛路110號  732"
TOA0047,宜蘭縣礁溪鄉德陽村仁愛路156巷1號,24.825054,121.7673414,3.0,5986,礁溪分局,"凱悅1期大廈 TOA0047 宜蘭縣礁溪鄉德陽村仁愛路156巷1號 5986"
TOA0048,宜蘭縣礁溪鄉德陽村德陽路176號,24.8289392,121.7686331,1.0,2552,礁溪分局,"龍之泉大廈 TOA0048 宜蘭縣礁溪鄉德陽村德陽路176號 2552"
TOA0049,宜蘭縣礁溪鄉德陽村大忠路187號 ,24.8235177,121.7646226,1.0,572,礁溪分局,"皇家溫泉假期渡假中心 TOA0049 宜蘭縣礁溪鄉德陽村大忠路187號  572"
TOA0050,宜蘭縣礁溪鄉德陽村德陽路200之1號 ,24.8272147,121.7650298,1.0,1597,礁溪分局,"群大湯田 TOA0050 宜蘭縣礁溪鄉德陽村德陽路200之1號  1597"
TOA0051,宜蘭縣礁溪鄉德陽村德陽路150號,24.8288597,121.7672528,1.0,261,礁溪分局,"美嘉美飯店 TOA0051 宜蘭縣礁溪鄉德陽村德陽路150號 261"
TOA0052,宜蘭縣礁溪鄉大忠村大忠路100號 ,24.824672,121.764493,1.0,1161,礁溪分局,"溫泉世家第六期 TOA0052 宜蘭縣礁溪鄉大忠村大忠路100號  1161"
TOA0053,宜蘭縣礁溪鄉大忠村大忠路98號 ,24.823859,121.7647644,1.0,353,礁溪分局,"溫泉世家第六期 TOA0053 宜蘭縣礁溪鄉大忠村大忠路98號  353"
TOA0054,宜蘭縣礁溪鄉大忠村大忠路96號,24.8241644,121.7645771,1.0,2061,礁溪分局,"溫泉世家第六期 TOA0054 宜蘭縣礁溪鄉大忠村大忠路96號 2061"
TOA0055,宜蘭縣礁溪鄉德陽村德陽路243號,24.8264311,121.7642689,1.0,493,礁溪分局,"長琦飯店 TOA0055 宜蘭縣礁溪鄉德陽村德陽路243號 493"
TOA0056,宜蘭縣礁溪鄉玉石村礁溪路六段6號,24.8293636,121.7770252,1.0,615,礁溪分局,"麗翔飯店 TOA0056 宜蘭縣礁溪鄉玉石村礁溪路六段6號 615"
TOA0057,宜蘭縣礁溪鄉大忠村大忠路209號,24.8251193,121.7637913,2.0,4486,礁溪分局,"凱悅二期 TOA0057 宜蘭縣礁溪鄉大忠村大忠路209號 4486"
TOA0058,宜蘭縣礁溪鄉玉石村公園路70巷39弄9號 ,24.8332862,121.7755947,1.0,2245,礁溪分局,"德宏建設 閑閑 TOA0058 宜蘭縣礁溪鄉玉石村公園路70巷39弄9號  2245"
TOA0059,宜蘭縣礁溪鄉德陽村德陽路62巷11號 ,24.829878,121.769586,1.0,1461,礁溪分局,"風和山林湯宸會館 TOA0059 宜蘭縣礁溪鄉德陽村德陽路62巷11號  1461"
TOA0060,宜蘭縣礁溪鄉玉石村健康一街56號 ,24.8298037,121.7746051,2.0,2529,礁溪分局,"誠峰裸泉 TOA0060 宜蘭縣礁溪鄉玉石村健康一街56號  2529"
TOA0061,宜蘭縣礁溪鄉德陽村忠孝路1巷1-3號 ,24.830205,121.7707852,1.0,703,礁溪分局,"昭曲川 TOA0061 宜蘭縣礁溪鄉德陽村忠孝路1巷1-3號  703"
TOA0100,宜蘭縣礁溪鄉六結村中山路一段241巷20號,24.823028,121.771095,1.0,167,礁溪分局,"中華電信 TOA0100 宜蘭縣礁溪鄉六結村中山路一段241巷20號 167"
TOA0101,宜蘭縣礁溪鄉玉石村公園路86巷21號,24.832941,121.77452,1.0,877,礁溪分局,"香格里拉溫泉華廈 TOA0101 宜蘭縣礁溪鄉玉石村公園路86巷21號 877"
TOA0102,宜蘭縣礁溪鄉德陽村德陽路173號 ,24.8284047,121.7670145,1.0,836,礁溪分局,"峰之泉 TOA0102 宜蘭縣礁溪鄉德陽村德陽路173號  836"
TOA0103,宜蘭縣礁溪鄉德陽村德陽路174號 ,24.827915,121.765231,1.0,572,礁溪分局,"富士花鄉 TOA0103 宜蘭縣礁溪鄉德陽村德陽路174號  572"
TOA0104,宜蘭縣礁溪鄉大忠村礁溪路四段78號,24.8196982,121.7691944,1.0,632,礁溪分局,"新光大樓 TOA0104 宜蘭縣礁溪鄉大忠村礁溪路四段78號 632"
TOA0105,宜蘭縣礁溪鄉玉石村公園路89號 ,24.8322816,121.7745806,1.0,291,礁溪分局,"湯泉山林 TOA0105 宜蘭縣礁溪鄉玉石村公園路89號  291"
TOA0106,宜蘭縣礁溪鄉玉石村忠孝路27巷8弄1號 ,24.8303506,121.7716319,1.0,1916,礁溪分局,"比佛利山莊 TOA0106 宜蘭縣礁溪鄉玉石村忠孝路27巷8弄1號  1916"
TOA0107,宜蘭縣礁溪鄉大忠村和平路91號 ,24.8230907,121.7671969,1.0,263,礁溪分局,"常青墅 TOA0107 宜蘭縣礁溪鄉大忠村和平路91號  263"
TOA0108,宜蘭縣礁溪鄉德陽村中山路二段136巷2號 ,24.8257969,121.773305,1.0,508,礁溪分局,"公寓 TOA0108 宜蘭縣礁溪鄉德陽村中山路二段136巷2號  508"
TOA0109,宜蘭縣礁溪鄉時潮村塭底路107號 ,24.814949,121.812726,1.0,2250,礁溪分局,"朝陽美地 TOA0109 宜蘭縣礁溪鄉時潮村塭底路107號  2250"
TOA0110,宜蘭縣礁溪鄉大忠村礁溪路四段73號 ,24.819413,121.7687995,1.0,433,礁溪分局,"大樓 TOA0110 宜蘭縣礁溪鄉大忠村礁溪路四段73號  433"
TOA0111,宜蘭縣礁溪鄉大忠村和平路32號,24.822697,121.7689342,1.0,848,礁溪分局,"閣樓華廈 TOA0111 宜蘭縣礁溪鄉大忠村和平路32號 848"
TOA0112,宜蘭縣礁溪鄉德陽村興農路291巷1號,24.817626,121.7810256,1.0,807,礁溪分局,"山多利大飯店 TOA0112 宜蘭縣礁溪鄉德陽村興農路291巷1號 807"
TOA0113,宜蘭縣礁溪鄉德陽村礁溪路五段118號,24.8274963,121.7723803,1.0,1527,礁溪分局,"鳳凰德陽川 TOA0113 宜蘭縣礁溪鄉德陽村礁溪路五段118號 1527"
TOA0079,宜蘭縣頭城鎮新建里新興路111號 ,24.8508625,121.816746,1.0,530,礁溪分局,"頭城家商 勤毅樓 TOA0079 宜蘭縣頭城鎮新建里新興路111號  530"
TOA0080,宜蘭縣頭城鎮拔雅里復興路61巷21弄2號 ,24.8632139,121.817111,1.0,585,礁溪分局,"復興大廈 TOA0080 宜蘭縣頭城鎮拔雅里復興路61巷21弄2號  585"
TOA0081,宜蘭縣頭城鎮拔雅里公園路136號 ,24.86189,121.82175,1.0,609,礁溪分局,"海杏樓 TOA0081 宜蘭縣頭城鎮拔雅里公園路136號  609"
TOA0082,宜蘭縣頭城鎮城北里西五巷3之1號,24.859545,121.824273,1.0,1741,礁溪分局,"頭城鎮農會 TOA0082 宜蘭縣頭城鎮城北里西五巷3之1號 1741"
TOA0083,宜蘭縣頭城鎮武營里開蘭路369號 ,24.8646209,121.828268,1.0,845,礁溪分局,"大樓 TOA0083 宜蘭縣頭城鎮武營里開蘭路369號  845"
TOA0084,宜蘭縣頭城鎮拔雅里吉祥路236巷1號,24.861942,121.814445,1.0,94,礁溪分局,"名牌食品股份有限公司 TOA0084 宜蘭縣頭城鎮拔雅里吉祥路236巷1號 94"
TOA0085,宜蘭縣頭城鎮城南里青雲路3段40號 ,24.854963,121.823368,1.0,638,礁溪分局,"祥雲大樓 TOA0085 宜蘭縣頭城鎮城南里青雲路3段40號  638"
TOA0086,宜蘭縣頭城鎮拔雅里吉祥路105號,24.8631292,121.80952,1.0,121,礁溪分局,"工廠 TOA0086 宜蘭縣頭城鎮拔雅里吉祥路105號 121"
TOA0087,宜蘭縣頭城鎮拔雅里吉祥路97號,24.861006,121.812724,1.0,208,礁溪分局,"工廠 TOA0087 宜蘭縣頭城鎮拔雅里吉祥路97號 208"
TOA0089,宜蘭縣頭城鎮拔雅里復興路79號,24.864118,121.8180393,1.0,694,礁溪分局,"蘭陽技術學院 TOA0089 宜蘭縣頭城鎮拔雅里復興路79號 694"
TOA0090,宜蘭縣頭城鎮武營里開蘭路283號,24.86262,121.82669,1.0,179,礁溪分局,"頭城分駐所 TOA0090 宜蘭縣頭城鎮武營里開蘭路283號 179"
TOA0091,宜蘭縣頭城鎮武營里開蘭路279巷8號 ,24.8629589,121.826094,1.0,632,礁溪分局,"頭城電信局 TOA0091 宜蘭縣頭城鎮武營里開蘭路279巷8號  632"
TOA0093,宜蘭縣頭城鎮新建里新忠路20號 ,24.855691,121.818829,1.0,936,礁溪分局,"山海關 TOA0093 宜蘭縣頭城鎮新建里新忠路20號  936"
TOA0094,宜蘭縣頭城鎮新建里新興路111號 ,24.8508625,121.816746,1.0,2124,礁溪分局,"頭城家商 活動中心 TOA0094 宜蘭縣頭城鎮新建里新興路111號  2124"
TOA0095,宜蘭縣頭城鎮拔雅里復興路87號 ,24.864032,121.818324,1.0,661,礁溪分局,"大樓 TOA0095 宜蘭縣頭城鎮拔雅里復興路87號  661"
TOA0096,宜蘭縣頭城鎮城西里南門路2號,24.8560168,121.8229432,1.0,310,礁溪分局,"吳書大廈 TOA0096 宜蘭縣頭城鎮城西里南門路2號 310"
TOA0098,宜蘭縣頭城鎮大坑里協天路676號 ,24.857726,121.8321161,1.0,872,礁溪分局,"藍灣渡假村 TOA0098 宜蘭縣頭城鎮大坑里協天路676號  872"
TOA0114,宜蘭縣頭城鎮新建里新興路111號 ,24.8508625,121.816746,1.0,530,礁溪分局,"頭城家商圖書館 TOA0114 宜蘭縣頭城鎮新建里新興路111號  530"
TOA0115,宜蘭縣頭城鎮新建里新忠路47號 ,24.855387,121.818277,1.0,1003,礁溪分局,"頭城第一家 TOA0115 宜蘭縣頭城鎮新建里新忠路47號  1003"
TOA0116,宜蘭縣頭城鎮武營里青雲路三段515巷2號 ,24.866193,121.829079,1.0,1207,礁溪分局,"梵玄居 TOA0116 宜蘭縣頭城鎮武營里青雲路三段515巷2號  1207"
TOA0099,宜蘭縣頭城鎮石城里濱海路7段33號,24.9696319,121.9252862,1.0,253,礁溪分局,"草嶺慶雲宮 TOA0099 宜蘭縣頭城鎮石城里濱海路7段33號 253"
TOA0062,宜蘭縣礁溪鄉林美村林尾路160-1號 ,24.8162257,121.7220999,1.0,5728,礁溪分局,"私立佛光人文社會學院 TOA0062 宜蘭縣礁溪鄉林美村林尾路160-1號  5728"
TOA0063,宜蘭縣礁溪鄉林美村林尾路180-11號,24.8218937,121.7290246,1.0,893,礁溪分局,"淡江大學蘭陽校區 TOA0063 宜蘭縣礁溪鄉林美村林尾路180-11號 893"
TOA0119,宜蘭縣礁溪鄉三民村十六結路100號,24.8130527,121.7599778,1.0,1135,礁溪分局,"三民國小 TOA0119 宜蘭縣礁溪鄉三民村十六結路100號 1135"
TOA0064,宜蘭縣礁溪鄉吳沙村育英路79號,24.7860524,121.7590951,1.0,122,礁溪分局,"吳沙國中 TOA0064 宜蘭縣礁溪鄉吳沙村育英路79號 122"
TOA0065,宜蘭縣礁溪鄉玉光村瑪僯路26-3號 ,24.793754,121.7667676,1.0,221,礁溪分局,"千旺海產有限公司 TOA0065 宜蘭縣礁溪鄉玉光村瑪僯路26-3號  221"
TOA0066,宜蘭縣礁溪鄉光武村武暖路80之8號 ,24.7821716,121.7775994,1.0,1430,礁溪分局,"康橋花園 TOA0066 宜蘭縣礁溪鄉光武村武暖路80之8號  1430"
TOA0067,宜蘭縣礁溪鄉龍潭村漳福路155號,24.7909114,121.7400195,1.0,1269,礁溪分局,"臺灣化學纖維股份有限公司 TOA0067 宜蘭縣礁溪鄉龍潭村漳福路155號 1269"
TOA0068,宜蘭縣礁溪鄉龍潭村漳福路155號,24.7905081,121.7400897,1.0,641,礁溪分局,"臺灣化學纖維股份有限公司 TOA0068 宜蘭縣礁溪鄉龍潭村漳福路155號 641"
TOA0072,宜蘭縣礁溪鄉龍潭村龍泉路189號,24.787497,121.745865,1.0,1908,礁溪分局,"元耀科技股份有限公司 TOA0072 宜蘭縣礁溪鄉龍潭村龍泉路189號 1908"
TOA0118,宜蘭縣礁溪鄉龍潭村育龍路71號,24.7794243,121.7449665,1.0,641,礁溪分局,"龍潭國小 TOA0118 宜蘭縣礁溪鄉龍潭村育龍路71號 641"
TOA0073,宜蘭縣壯圍鄉吉祥村壯五路130號 ,24.7457631,121.7876659,1.0,229,礁溪分局,"同昌辦公大樓 TOA0073 宜蘭縣壯圍鄉吉祥村壯五路130號  229"
TOA0074,宜蘭縣壯圍鄉吉祥村壯志路1號,24.746832,121.785759,1.0,126,礁溪分局,"壯圍鄉公所 TOA0074 宜蘭縣壯圍鄉吉祥村壯志路1號 126"
TOA0075,宜蘭縣壯圍鄉永鎮村永鎮路1號,24.7640631,121.815656,1.0,125,礁溪分局,"台電過嶺服務所 TOA0075 宜蘭縣壯圍鄉永鎮村永鎮路1號 125"
TQA0001,宜蘭縣蘇澳鎮蘇北里中原路200號 ,24.5994757,121.8479743,1.0,129,蘇澳分局,"公寓 TQA0001 宜蘭縣蘇澳鎮蘇北里中原路200號  129"
TQA0002,宜蘭縣蘇澳鎮蘇東里蘇東路6號 ,24.5956534,121.8556543,1.0,1616,蘇澳分局,"蘇澳港裝卸股份有限公司 TQA0002 宜蘭縣蘇澳鎮蘇東里蘇東路6號  1616"
TQA0010,宜蘭縣蘇澳鎮蘇東里蘇東中路10號 ,24.5964188,121.8550084,1.0,1033,蘇澳分局,"國際大樓 TQA0010 宜蘭縣蘇澳鎮蘇東里蘇東中路10號  1033"
TQA0016,宜蘭縣蘇澳鎮長安里成功路53號 ,24.5932863,121.8521765,1.0,37,蘇澳分局,"公寓 TQA0016 宜蘭縣蘇澳鎮長安里成功路53號  37"
TQA0019,宜蘭縣蘇澳鎮蘇北里太平路17號,24.5955728,121.8513324,1.0,212,蘇澳分局,"台灣土地銀行 TQA0019 宜蘭縣蘇澳鎮蘇北里太平路17號 212"
TQA0022,宜蘭縣蘇澳鎮蘇西里蘇港路195號,24.5940881,121.8464549,1.0,797,蘇澳分局,"國泰人壽大樓 TQA0022 宜蘭縣蘇澳鎮蘇西里蘇港路195號 797"
TQA0024,宜蘭縣蘇澳鎮蘇西里中山路一段252號,24.596412,121.844551,1.0,183,蘇澳分局,"宜蘭縣警察局蘇澳分局 TQA0024 宜蘭縣蘇澳鎮蘇西里中山路一段252號 183"
TQA0025,宜蘭縣蘇澳鎮蘇北里中山路96號之1 ,24.5959569,121.8505713,1.0,311,蘇澳分局,"台灣企銀 TQA0025 宜蘭縣蘇澳鎮蘇北里中山路96號之1  311"
TQA0026,宜蘭縣蘇澳鎮蘇北里冷泉路30號 ,24.5991318,121.8468361,1.0,83,蘇澳分局,"公寓 TQA0026 宜蘭縣蘇澳鎮蘇北里冷泉路30號  83"
TQA0027,宜蘭縣蘇澳鎮蘇西里志成路15巷15號,24.593029,121.8421854,1.0,165,蘇澳分局,"惠幼幼兒園 TQA0027 宜蘭縣蘇澳鎮蘇西里志成路15巷15號 165"
TQA0059,宜蘭縣蘇澳鎮聖湖里中山路一段427號,24.5959303,121.8398977,1.0,128,蘇澳分局,"基督長老教會 TQA0059 宜蘭縣蘇澳鎮聖湖里中山路一段427號 128"
TQA0060,宜蘭縣蘇澳鎮聖湖里聖愛路12號 ,24.5970802,121.8360624,1.0,47,蘇澳分局,"公寓 TQA0060 宜蘭縣蘇澳鎮聖湖里聖愛路12號  47"
TQA0061,宜蘭縣蘇澳鎮聖湖里中山路二段1號,24.5963579,121.8354638,1.0,247,蘇澳分局,"蘇澳國中 TQA0061 宜蘭縣蘇澳鎮聖湖里中山路二段1號 247"
TQA0062,宜蘭縣蘇澳鎮聖湖里25鄰中山路二段1號,24.5963579,121.8354638,1.0,940,蘇澳分局,"蘇澳國中 TQA0062 宜蘭縣蘇澳鎮聖湖里25鄰中山路二段1號 940"
TQA0063,宜蘭縣蘇澳鎮聖湖里中山路二段235號,24.6095265,121.8262585,1.0,1423,蘇澳分局,"信大水泥股份有限公司 TQA0063 宜蘭縣蘇澳鎮聖湖里中山路二段235號 1423"
TQA0073,宜蘭縣蘇澳鎮蘇西里中山路1段220號,24.595725,121.835978,1.0,580,蘇澳分局,"中華電信 TQA0073 宜蘭縣蘇澳鎮蘇西里中山路1段220號 580"
TQA0074,宜蘭縣蘇澳鎮蘇西里中山路1段252號,24.595725,121.835978,1.0,306,蘇澳分局,"宜蘭縣政府警察局蘇澳分局 TQA0074 宜蘭縣蘇澳鎮蘇西里中山路1段252號 306"
TQA0079,宜蘭縣蘇澳鎮蘇西里蘇港路213號,24.5943508,121.8446197,1.0,1859,蘇澳分局,"蘇澳海事學校 TQA0079 宜蘭縣蘇澳鎮蘇西里蘇港路213號 1859"
TQA0080,宜蘭縣蘇澳鎮蘇西里中原路301-1號 ,24.596501,121.8473294,2.0,2626,蘇澳分局,"瓏山林蘇澳冷熱泉度假飯店 TQA0080 宜蘭縣蘇澳鎮蘇西里中原路301-1號  2626"
TQA0081,宜蘭縣蘇澳鎮蘇南里中正路38號,24.5979255,121.8532652,2.0,3718,蘇澳分局,"煙波飯店 TQA0081 宜蘭縣蘇澳鎮蘇南里中正路38號 3718"
TQA0083,宜蘭縣蘇澳鎮蘇西里蘇港路193號 ,24.5941644,121.8465318,1.0,1379,蘇澳分局,"首席皇家 TQA0083 宜蘭縣蘇澳鎮蘇西里蘇港路193號  1379"
TQA0084,宜蘭縣蘇澳鎮聖愛里中山路二段235號 ,24.6097827,121.8261511,3.0,461,蘇澳分局,"信大水泥股份有限公司 TQA0084 宜蘭縣蘇澳鎮聖愛里中山路二段235號  461"
TQA0085,宜蘭縣蘇澳鎮蘇西里中山路一段308巷46號,24.5970186,121.8407833,1.0,233,蘇澳分局,"環球化粧品廠股份有限公司 TQA0085 宜蘭縣蘇澳鎮蘇西里中山路一段308巷46號 233"
