地址,經度,緯度,編號,里別,避難所在之地下樓層數,可容納人數,轄管分局
臺中市梧棲區中央路二段316號之1,"120.541815 ","24.257975 ",JC00007,南簡里,1.0,22.0,清水分局
臺中市梧棲區中央路二段316號,"120.541772 ","24.257955 ",JC00008,南簡里,1.0,22.0,清水分局
臺中市梧棲區港埠路二段158號,"120.538590 ","24.254791 ",JC00018,福德里,1.0,45.0,清水分局
臺中市梧棲區港埠路二段156號,"120.538341 ","24.254620 ",JC00019,福德里,1.0,45.0,清水分局
臺中市梧棲區港埠路二段154號,"120.538388 ","24.254583 ",JC00020,福德里,1.0,48.0,清水分局
臺中市梧棲區港埠路二段152號,"120.538462 ","24.254637 ",JC00021,福德里,1.0,70.0,清水分局
臺中市梧棲區港埠路二段150號,"120.538435 ","24.254527 ",JC00022,福德里,1.0,45.0,清水分局
臺中市梧棲區港埠路二段148號,"120.538320 ","24.254624 ",JC00023,福德里,1.0,48.0,清水分局
臺中市梧棲區港埠路二段276號,"120.539216 ","24.256290 ",JC00025,福德里,1.0,33.0,清水分局
臺中市梧棲區港埠路二段272號,"120.539120 ","24.256226 ",JC00027,福德里,1.0,33.0,清水分局
臺中市梧棲區港埠路二段270號,"120.539087 ","24.256038 ",JC00028,福德里,1.0,38.0,清水分局
臺中市梧棲區港埠路二段268號,"120.539080 ","24.256029 ",JC00029,福德里,1.0,27.0,清水分局
臺中市梧棲區港埠路二段266號,"120.539095 ","24.256011 ",JC00030,福德里,1.0,27.0,清水分局
臺中市梧棲區港埠路二段262號,"120.539095 ","24.256011 ",JC00031,福德里,1.0,30.0,清水分局
臺中市梧棲區港埠路二段162號,"120.538515 ","24.254800 ",JC00038,福德里,1.0,45.0,清水分局
臺中市梧棲區中央路二段291號,"120.540424 ","24.255585 ",JC00040,福德里,1.0,23.0,清水分局
臺中市梧棲區港埠路二段272號,"120.539077 ","24.256187 ",JC00044,福德里,1.0,33.0,清水分局
臺中市梧棲區港埠路二段270號,"120.539087 ","24.256087 ",JC00045,福德里,1.0,33.0,清水分局
臺中市梧棲區港埠路二段146號,"120.538431 ","24.254558 ",JC00047,福德里,1.0,33.0,清水分局
臺中市梧棲區港埠路二段148號,"120.538438 ","24.254555 ",JC00048,福德里,1.0,33.0,清水分局
臺中市梧棲區臺灣大道八段740號,"120.542875 ","24.248096 ",JC00049,大庄里,1.0,20.0,清水分局
臺中市梧棲區港埠路二段276號,"120.539140 ","24.256310 ",JC00050,福德里,1.0,33.0,清水分局
臺中市梧棲區港埠路二段280號,"120.539279 ","24.256342 ",JC00051,福德里,1.0,33.0,清水分局
臺中市梧棲區臺灣大道八段756號,"120.542569 ","24.248172 ",JC00053,大庄里,1.0,103.0,清水分局
臺中市梧棲區台灣大道八段760號,"120.542538 ","24.248229 ",JC00054,大庄里,1.0,25.0,清水分局
臺中市梧棲區臺灣大道八段750號,"120.542707 ","24.248103 ",JC00055,大庄里,1.0,103.0,清水分局
臺中市梧棲區台灣大道八段742號,"120.542835 ","24.248088 ",JC00056,大庄里,1.0,105.0,清水分局
臺中市梧棲區台灣大道八段746號,"120.542811 ","24.248136 ",JC00057,大庄里,1.0,103.0,清水分局
臺中市梧棲區台灣大道八段776號,"120.542197 ","24.248290 ",JC00058,大庄里,1.0,16.0,清水分局
臺中市梧棲區台灣大道八段768號,"120.542371 ","24.248281 ",JC00061,大庄里,1.0,103.0,清水分局
臺中市梧棲區台灣大道八段770號,"120.542325 ","24.248315 ",JC00062,大庄里,1.0,103.0,清水分局
臺中市梧棲區台灣大道八段752號,"120.542636 ","24.248115 ",JC00065,大庄里,1.0,103.0,清水分局
臺中市梧棲區台灣大道八段758號,"120.542536 ","24.248243 ",JC00066,大庄里,1.0,103.0,清水分局
臺中市梧棲區文昌路400號,"120.542026 ","24.244395 ",JC00067,大村里,1.0,1466.0,清水分局
臺中市梧棲區文華街235巷15號,"120.541098 ","24.246319 ",JC00068,大庄里,1.0,553.0,清水分局
臺中市梧棲區中央路一段679號,"120.536980 ","24.243991 ",JC00070,大村里,1.0,88.0,清水分局
臺中市梧棲區中央路一段677號,"120.537001 ","24.244069 ",JC00071,大村里,1.0,88.0,清水分局
臺中市梧棲區中央路一段675號,"120.537203 ","24.244011 ",JC00072,大村里,1.0,88.0,清水分局
臺中市梧棲區中央路一段669號,"120.537134 ","24.243909 ",JC00074,大村里,1.0,88.0,清水分局
臺中市梧棲區中央路一段687號,"120.537153 ","24.244353 ",JC00076,大村里,1.0,18.0,清水分局
臺中市梧棲區中央路一段451號,"120.535690 ","24.238072 ",JC00077,興農里,1.0,66.0,清水分局
臺中市梧棲區文昌路447號,"120.538551 ","24.244924 ",JC00081,大村里,1.0,66.0,清水分局
臺中市梧棲區中央路一段64號,"120.528465 ","24.221354 ",JC00085,大村里,1.0,66.0,清水分局
臺中市梧棲區臺灣大道8段762號,"120.542493 ","24.248217 ",JC00096,大庄里,1.0,103.0,清水分局
臺中市梧棲區文昌路453號,"120.538411 ","24.244984 ",JC00101,大村里,1.0,14.0,清水分局
臺中市梧棲區文昌路445號,"120.538563 ","24.244910 ",JC00102,大村里,1.0,14.0,清水分局
臺中市梧棲區中央路一段645號,"120.537040 ","24.243382 ",JC00103,大村里,1.0,20.0,清水分局
臺中市梧棲區中央路一段919巷1號之1,"120.537949 ","24.248181 ",JC00105,大庄里,1.0,19.0,清水分局
臺中市梧棲區中央路一段917號,"120.538159 ","24.248149 ",JC00106,大庄里,1.0,22.0,清水分局
臺中市梧棲區中央路一段917號之3,"120.538213 ","24.248061 ",JC00107,大庄里,1.0,22.0,清水分局
臺中市梧棲區中央路一段917號之2,"120.538191 ","24.248158 ",JC00108,大庄里,1.0,22.0,清水分局
臺中市梧棲區文華街335巷24號,"120.539456 ","24.246646 ",JC00110,大庄里,1.0,19.0,清水分局
臺中市梧棲區文華街335巷22號,"120.539434 ","24.246765 ",JC00111,大庄里,1.0,19.0,清水分局
臺中市梧棲區文華街335巷20號,"120.539392 ","24.246738 ",JC00112,大庄里,1.0,19.0,清水分局
臺中市梧棲區文華街335巷16號,"120.539881 ","24.247105 ",JC00113,大庄里,1.0,19.0,清水分局
臺中市梧棲區中央路一段899號,"120.538017 ","24.247527 ",JC00114,大庄里,1.0,35.0,清水分局
臺中市梧棲區中央路一段914號之2,"120.538117 ","24.247301 ",JC00115,大庄里,1.0,28.0,清水分局
臺中市梧棲區文華街335巷14號,"120.539849 ","24.247134 ",JC00118,大庄里,1.0,19.0,清水分局
臺中市梧棲區中央路一段919巷37號,"120.537378 ","24.248573 ",JC00121,大庄里,1.0,19.0,清水分局
臺中市梧棲區中央路一段919巷35號,"120.537375 ","24.248543 ",JC00122,大庄里,1.0,19.0,清水分局
臺中市梧棲區中央路一段919巷33號,"120.537399 ","24.248390 ",JC00123,大庄里,1.0,19.0,清水分局
臺中市梧棲區中央路一段919巷31號,"120.537428 ","24.248337 ",JC00124,大庄里,1.0,19.0,清水分局
臺中市梧棲區中央路一段919巷29號,"120.537441 ","24.248329 ",JC00125,大庄里,1.0,19.0,清水分局
臺中市梧棲區中央路一段919巷27號,"120.537516 ","24.248281 ",JC00126,大庄里,1.0,19.0,清水分局
臺中市梧棲區中央路一段919巷25號,"120.537566 ","24.248423 ",JC00127,大庄里,1.0,19.0,清水分局
臺中市梧棲區中央路一段919巷23號,"120.537570 ","24.248322 ",JC00128,大庄里,1.0,19.0,清水分局
臺中市梧棲區中央路一段919巷21號,"120.537574 ","24.248248 ",JC00129,大庄里,1.0,19.0,清水分局
臺中市梧棲區中央路一段919巷15號,"120.537780 ","24.248255 ",JC00132,大庄里,1.0,19.0,清水分局
臺中市梧棲區中央路一段919巷13號,"120.537755 ","24.248244 ",JC00133,福德里,1.0,19.0,清水分局
臺中市梧棲區中央路一段919巷11號,"120.537795 ","24.248224 ",JC00134,福德里,1.0,19.0,清水分局
臺中市梧棲區中央路一段919巷9號,"120.537840 ","24.248224 ",JC00136,福德里,1.0,25.0,清水分局
臺中市梧棲區中央路二段8號,"120.539154 ","24.250048 ",JC00141,福德里,1.0,30.0,清水分局
臺中市梧棲區中央路二段8號之1,"120.539036 ","24.250107 ",JC00142,福德里,1.0,21.0,清水分局
臺中市梧棲區中央路二段6巷9號,"120.539017 ","24.250220 ",JC00143,福德里,1.0,20.0,清水分局
臺中市梧棲區中央路二段15號,"120.538850 ","24.250564 ",JC00144,福德里,1.0,252.0,清水分局
臺中市梧棲區臺灣大道八段847巷28號,"120.539379 ","24.248472 ",JC00145,福德里,1.0,17.0,清水分局
臺中市梧棲區福德街196號,"120.537929 ","24.253186 ",JC00147,福德里,1.0,21.0,清水分局
臺中市梧棲區福德街194號,"120.538094 ","24.253127 ",JC00148,福德里,1.0,21.0,清水分局
臺中市梧棲區福德街192號,"120.538152 ","24.253214 ",JC00149,福德里,1.0,21.0,清水分局
臺中市梧棲區福德街190號,"120.538160 ","24.253169 ",JC00150,福德里,1.0,21.0,清水分局
臺中市梧棲區福德街188號,"120.538143 ","24.253138 ",JC00151,福德里,1.0,21.0,清水分局
臺中市梧棲區福德街184號,"120.538379 ","24.253167 ",JC00152,福德里,1.0,21.0,清水分局
臺中市梧棲區福德街182號,"120.538311 ","24.253000 ",JC00153,福德里,1.0,21.0,清水分局
臺中市梧棲區福德街180號,"120.538405 ","24.253014 ",JC00154,福德里,1.0,21.0,清水分局
臺中市梧棲區港埠路二段74號,"120.537906 ","24.253145 ",JC00155,福德里,1.0,17.0,清水分局
臺中市梧棲區福德街178號,"120.538369 ","24.253010 ",JC00162,福德里,1.0,21.0,清水分局
臺中市梧棲區福德街176號,"120.538434 ","24.253022 ",JC00163,福德里,1.0,21.0,清水分局
臺中市梧棲區福德街174號,"120.538524 ","24.253012 ",JC00164,福德里,1.0,25.0,清水分局
臺中市梧棲區福德街172號,"120.538611 ","24.253033 ",JC00165,福德里,1.0,21.0,清水分局
臺中市梧棲區福德街170號,"120.538639 ","24.253010 ",JC00166,福德里,1.0,21.0,清水分局
臺中市梧棲區中央路二段6巷5號,"120.540037 ","24.252960 ",JC00169,福德里,1.0,17.0,清水分局
臺中市梧棲區文昌路343號,"120.542602 ","24.243782 ",JC00170,大村里,1.0,808.0,清水分局
臺中市梧棲區文昌路343號,"120.542602 ","24.243782 ",JC00171,大村里,1.0,924.0,清水分局
臺中市梧棲區文昌路343號,"120.542602 ","24.243782 ",JC00172,大村里,1.0,673.0,清水分局
臺中市梧棲區文昌路551號,"120.537361 ","24.245453 ",JC00177,大庄里,1.0,53.0,清水分局
臺中市梧棲區中央路一段813號,"120.537187 ","24.245145 ",JC00178,大庄里,1.0,41.0,清水分局
臺中市梧棲區中央路一段815號,"120.537225 ","24.245149 ",JC00179,大庄里,1.0,53.0,清水分局
臺中市梧棲區文昌路614號,"120.536149 ","24.246329 ",JC00180,大庄里,1.0,38.0,清水分局
臺中市梧棲區文華街194巷2號,"120.542124 ","24.246678 ",JC00181,大庄里,1.0,546.0,清水分局
臺中市梧棲區臺灣大道8段699號,"120.542407 ","24.247205 ",JC00182,大庄里,1.0,5085.0,清水分局
臺中市梧棲區文華街28巷48號,"120.545729 ","24.246020 ",JC00184,大庄里,1.0,103.0,清水分局
臺中市梧棲區港埠路二段408巷1號,"120.540997 ","24.259973 ",JC00189,南簡里,1.0,20.0,清水分局
臺中市梧棲區港埠路二段416號,"120.540824 ","24.260124 ",JC00190,南簡里,1.0,19.0,清水分局
臺中市梧棲區港埠路二段414號,"120.540798 ","24.260074 ",JC00191,南簡里,1.0,19.0,清水分局
臺中市梧棲區港埠路二段412號,"120.540890 ","24.259968 ",JC00192,南簡里,1.0,19.0,清水分局
臺中市梧棲區港埠路二段374號,"120.540652 ","24.259357 ",JC00193,南簡里,1.0,19.0,清水分局
臺中市梧棲區港埠路二段376巷2號,"120.540723 ","24.259328 ",JC00195,南簡里,1.0,20.0,清水分局
臺中市梧棲區大仁路二段44/46號,"120.541751 ","24.261138 ",JC00196,南簡里,1.0,125.0,清水分局
臺中市梧棲區南簡路7號,"120.542098 ","24.261229 ",JC00198,南簡里,1.0,20.0,清水分局
臺中市梧棲區大仁路二段30巷133號,"120.539512 ","24.261285 ",JC00199,南簡里,1.0,20.0,清水分局
臺中市梧棲區港埠路二段370號,"120.540660 ","24.259287 ",JC00200,南簡里,1.0,39.0,清水分局
臺中市梧棲區港埠路二段372號,"120.540466 ","24.259394 ",JC00201,南簡里,1.0,19.0,清水分局
臺中市梧棲區港埠路二段488號,"120.541511 ","24.261430 ",JC00202,南簡里,1.0,31.0,清水分局
臺中市梧棲區港埠路二段486號,"120.541506 ","24.261448 ",JC00203,南簡里,1.0,20.0,清水分局
臺中市梧棲區大智路二段30巷85號,"120.541012 ","24.259248 ",JC00204,南簡里,1.0,20.0,清水分局
臺中市梧棲區大智路二段30巷83號,"120.541033 ","24.259172 ",JC00205,南簡里,1.0,20.0,清水分局
臺中市梧棲區港埠路二段376巷10號,"120.540818 ","24.259272 ",JC00206,南簡里,1.0,20.0,清水分局
臺中市梧棲區港埠路二段376巷12號,"120.540875 ","24.259299 ",JC00207,南簡里,1.0,20.0,清水分局
臺中市梧棲區港埠路二段376巷14號,"120.541095 ","24.259394 ",JC00208,南簡里,1.0,22.0,清水分局
臺中市梧棲區港埠路二段336號,"120.540249 ","24.258789 ",JC00209,南簡里,1.0,42.0,清水分局
臺中市梧棲區港埠路二段376巷8號,"120.540857 ","24.259342 ",JC00212,南簡里,1.0,20.0,清水分局
臺中市梧棲區港埠路二段376巷6號,"120.540646 ","24.259376 ",JC00213,南簡里,1.0,20.0,清水分局
臺中市梧棲區大智路二段30巷87號,"120.540998 ","24.259221 ",JC00214,南簡里,1.0,20.0,清水分局
臺中市梧棲區港埠路二段408巷9號,"120.541157 ","24.259924 ",JC00221,南簡里,1.0,22.0,清水分局
臺中市梧棲區港埠路二段410號,"120.540716 ","24.259945 ",JC00225,南簡里,1.0,21.0,清水分局
臺中市梧棲區南簡路24號,"120.542310 ","24.261473 ",JC00226,南簡里,1.0,60.0,清水分局
臺中市梧棲區南簡路22號,"120.542336 ","24.261479 ",JC00227,南簡里,1.0,42.0,清水分局
臺中市梧棲區永興路二段161巷73號,"120.526896 ","24.226892 ",JC00233,永安里,1.0,103.0,清水分局
臺中市梧棲區永興路二段335巷20號,"120.524213 ","24.226521 ",JC00236,永安里,1.0,57.0,清水分局
臺中市梧棲區向上路九段467號,"120.518238 ","24.225153 ",JC00237,永安里,1.0,15.0,清水分局
臺中市梧棲區港埠路一段5巷255號,"120.524076 ","24.222018 ",JC00239,永安里,1.0,20.0,清水分局
臺中市梧棲區永興路二段335巷2號,"120.522315 ","24.227932 ",JC00240,永安里,1.0,33.0,清水分局
臺中市梧棲區文明街31巷91號,"120.556503 ","24.240826 ",JC00241,大村里,1.0,141.0,清水分局
臺中市梧棲區文明街31巷70號,"120.556694 ","24.241316 ",JC00242,大村里,1.0,20.0,清水分局
臺中市梧棲區文明街31巷68號,"120.556704 ","24.241299 ",JC00243,大村里,1.0,17.0,清水分局
臺中市梧棲區文明街31巷66號,"120.556729 ","24.241362 ",JC00244,大村里,1.0,20.0,清水分局
臺中市梧棲區文明街31巷67號,"120.556906 ","24.241235 ",JC00245,大村里,1.0,20.0,清水分局
臺中市梧棲區文明街31巷69號,"120.556902 ","24.241162 ",JC00246,大村里,1.0,20.0,清水分局
臺中市梧棲區文明街31巷65號,"120.556922 ","24.241189 ",JC00247,大村里,1.0,68.0,清水分局
臺中市梧棲區文明街69號,"120.556121 ","24.241308 ",JC00249,大村里,1.0,20.0,清水分局
臺中市梧棲區文明街67號,"120.556061 ","24.241410 ",JC00250,大村里,1.0,20.0,清水分局
臺中市梧棲區文明街65號,"120.556233 ","24.241419 ",JC00251,大村里,1.0,17.0,清水分局
臺中市梧棲區三條圳一街131號,"120.557047 ","24.241114 ",JC00252,大村里,1.0,20.0,清水分局
臺中市梧棲區三條圳一街135號,"120.557029 ","24.241162 ",JC00254,大村里,1.0,68.0,清水分局
臺中市梧棲區三條圳一街139號,"120.557038 ","24.241234 ",JC00255,大村里,1.0,20.0,清水分局
臺中市梧棲區文明街71巷9號,"120.556587 ","24.241341 ",JC00259,大村里,1.0,20.0,清水分局
臺中市梧棲區文明街71巷4號,"120.556321 ","24.241163 ",JC00261,大村里,1.0,100.0,清水分局
臺中市梧棲區文明街71巷11號,"120.556589 ","24.241307 ",JC00262,大村里,1.0,20.0,清水分局
臺中市梧棲區文明街71巷7號,"120.556541 ","24.241298 ",JC00263,大村里,1.0,17.0,清水分局
臺中市梧棲區文明街71巷5號,"120.556362 ","24.241391 ",JC00264,大村里,1.0,17.0,清水分局
臺中市梧棲區文明街71巷3號,"120.556342 ","24.241294 ",JC00265,大村里,1.0,17.0,清水分局
臺中市梧棲區文明街71巷1號,"120.556284 ","24.241382 ",JC00266,大村里,1.0,119.0,清水分局
臺中市梧棲區博愛路51巷57號,"120.554650 ","24.250361 ",JC00269,福德里,1.0,427.0,清水分局
臺中市梧棲區中正路101號,"120.546843 ","24.250086 ",JC00270,福德里,1.0,811.0,清水分局
臺中市梧棲區大仁路一段61巷50號,"120.550557 ","24.256757 ",JC00271,南簡里,1.0,535.0,清水分局
臺中市梧棲區民和路一段145號,"120.548677 ","24.248836 ",JC00272,大庄里,1.0,151.0,清水分局
臺中市梧棲區臺灣大道8段938巷81號,"120.540301 ","24.250190 ",JC00273,福德里,1.0,353.0,清水分局
臺中市梧棲區中華路二段128號之1,"120.553994 ","24.248066 ",JC00274,大庄里,1.0,546.0,清水分局
臺中市梧棲區光華西街55號,"120.549215 ","24.247567 ",JC00275,大庄里,1.0,902.0,清水分局
臺中市梧棲區永寧路67巷58號,"120.548687 ","24.231147 ",JC00276,興農里,1.0,1025.0,清水分局
臺中市梧棲區文明街100號,"120.555665 ","24.241085 ",JC00277,大村里,1.0,696.0,清水分局
臺中市梧棲區文雅街28巷88號,"120.550265 ","24.243767 ",JC00278,大庄里,1.0,1231.0,清水分局
臺中市梧棲區中華路一段826巷35號,"120.548208 ","24.234910 ",JC00279,興農里,1.0,949.0,清水分局
臺中市梧棲區興農路285巷61弄16號,"120.550478 ","24.237001 ",JC00280,興農里,1.0,932.0,清水分局
臺中市梧棲區大村里立德街143巷28號,"120.539739 ","24.242476 ",JC00281,大村里,1.0,1686.0,清水分局
臺中市梧棲區大庄里中華路127號,"120.552955 ","24.247102 ",JC00282,大庄里,1.0,512.0,清水分局
臺中市梧棲區民族路777號,"120.561953 ","24.256628 ",JC00283,南簡里,1.0,421.0,清水分局
臺中市梧棲區中華路一段773巷828號,120.547299,24.233656,JC00284,興農里,1.0,1158.0,清水分局
臺中市清水區護岸路37號,"120.562490 ","24.312247 ",JD00001,高美里,1.0,325.0,清水分局
臺中市清水區護岸路37號,"120.562490 ","24.312247 ",JD00002,高美里,1.0,971.0,清水分局
臺中市沙鹿區鎮南路二段61號,"120.569930 ","24.218400 ",JE00001,南勢里,1.0,146.0,清水分局
臺中市沙鹿區臺灣大道六段960號,"120.580890 ","24.215510 ",JE00003,六路里,1.0,40.0,清水分局
臺中市沙鹿區臺灣大道六段966號,"120.580890 ","24.215620 ",JE00006,六路里,1.0,40.0,清水分局
臺中市沙鹿區臺灣大道六段1025號,"120.580170 ","24.217370 ",JE00007,六路里,1.0,53.0,清水分局
臺中市沙鹿區臺灣大道六段926巷9號,"120.581680 ","24.214740 ",JE00008,六路里,1.0,53.0,清水分局
臺中市沙鹿區南陽路376號,"120.571909 ","24.216369 ",JE00009,六路里,1.0,570.0,清水分局
臺中市沙鹿區平等三街68號,"120.571980 ","24.218060 ",JE00010,六路里,1.0,46.0,清水分局
臺中市沙鹿區平等三街66號,"120.572020 ","24.218090 ",JE00011,六路里,1.0,46.0,清水分局
臺中市沙鹿區平等三街62號,"120.572040 ","24.218150 ",JE00012,六路里,1.0,46.0,清水分局
臺中市沙鹿區平等三街60號,"120.572050 ","24.218190 ",JE00013,六路里,1.0,46.0,清水分局
臺中市沙鹿區臺灣大道六段399號,"120.580462 ","24.201418 ",JE00014,埔子里,1.0,808.0,清水分局
臺中市沙鹿區自強路196號,"120.569340 ","24.200490 ",JE00015,三鹿里,1.0,45.0,清水分局
臺中市沙鹿區向上路七段12號,"120.566220 ","24.204870 ",JE00016,三鹿里,1.0,1207.0,清水分局
臺中市沙鹿區國昌一街48號,"120.567670 ","24.198777 ",JE00017,三鹿里,1.0,141.0,清水分局
臺中市沙鹿區國昌一街46號,"120.567830 ","24.198772 ",JE00018,三鹿里,1.0,141.0,清水分局
臺中市沙鹿區國昌一街19號,"120.568490 ","24.198070 ",JE00019,三鹿里,1.0,211.0,清水分局
臺中市沙鹿區中樂街107之3,"120.568400 ","24.198933 ",JE00020,三鹿里,1.0,63.0,清水分局
臺中市沙鹿區臺灣大道六段1018號,"120.580820 ","24.217330 ",JE00021,晉江里,1.0,2201.0,清水分局
臺中市沙鹿區臺灣大道七段200號,"120.577200 ","24.225860 ",JE00022,晉江里,1.0,490.0,清水分局
臺中市沙鹿區臺灣大道七段200號,"120.577200 ","24.225860 ",JE00023,晉江里,1.0,1087.0,清水分局
臺中市沙鹿區臺灣大道七段200號,"120.577200 ","24.225860 ",JE00024,晉江里,1.0,1505.0,清水分局
