類別,建築物名稱,電腦編號,村里別,緯、經度,地下樓層數,可容納人數,轄管分局,停車場坡道,備註,"unnamed (1)"
透天,,EPA00310,明德里,"24.950033,121.233085",1.0,35,中壢分局,,普仁所,
透天,,EPA00311,正義里,"24.952577,121.230127",1.0,28,中壢分局,,普仁所,
透天,,EPA00312,正義里,"24.953527,121.230266",1.0,38,中壢分局,,普仁所,
透天,,EPA00315,普忠里,"24.959653,121.243815",1.0,38,中壢分局,,普仁所,
透天,,EPA00319,正義里,"24.953147,121.232767",1.0,25,中壢分局,,普仁所,
透天,中原豪景,EPA00323,仁義里,"24.958723,121.236746",1.0,79,中壢分局,V,普仁所,
透天,中原豪景,EPA00326,仁義里,"24.959415,121.237338",1.0,27,中壢分局,V,普仁所,
透天,中原豪景,EPA00327,仁義里,"24.95859,121.23655",1.0,52,中壢分局,V,普仁所,
透天,中原豪景,EPA00328,仁義里,"24.958678,121.236625",1.0,52,中壢分局,V,普仁所,
透天,中原豪景,EPA00329,仁義里,"24.958581,121.237194",1.0,76,中壢分局,V,普仁所,
透天,中原豪景,EPA00331,仁義里,"24.958762,121.236634",1.0,52,中壢分局,V,普仁所,
透天,中原豪景,EPA00332,仁義里,"24.958684,121.236988",1.0,52,中壢分局,V,普仁所,
透天,中原豪景,EPA00333,仁義里,"24.958751,121.236979",1.0,52,中壢分局,V,普仁所,
透天,,EPA00335,正義里,"24.955118,121.231627",1.0,55,中壢分局,,普仁所,
透天,,EPA00336,信義里,"24.951154,121.231092",1.0,65,中壢分局,,普仁所,
透天,,EPA00342,信義里,"24.95058,121.231654",1.0,31,中壢分局,,普仁所,
透天,,EPA00345,正義里,"24.953691,121.231026",1.0,35,中壢分局,,普仁所,
透天,,EPA00346,普慶里,"24.949194,121.24798",1.0,222,中壢分局,,普仁所,
透天,,EPA00352,信義里,"24.952876,121.234227",1.0,51,中壢分局,,普仁所,
透天,,EPA00353,普強里,"24.951717,121.240357",1.0,33,中壢分局,,普仁所,
透天,,EPA00357,普強里,"24.951683,121.239333",1.0,20,中壢分局,V,普仁所,
透天,,EPA00361,正義里,"24.95485,121.233655",1.0,200,中壢分局,,普仁所,
透天,,EPA00362,信義里,"24.952475,121.231681",1.0,37,中壢分局,,普仁所,
透天,,EPA00363,信義里,"24.952484,121.23347",1.0,52,中壢分局,,普仁所,
透天,,EPA00364,正義里,"24.951575,121.229618",1.0,34,中壢分局,,普仁所,
公寓,伯爵商務旅館,EPA00367,正義里,"24.954914,121.232201",1.0,333,中壢分局,,普仁所,
教育機構,內定國小,EPA00373,內定里,"24.99343,121.250116",1.0,557,中壢分局,,文化所,
公寓,恆業電子,EPA00374,內定里,"24.989103,121.240124",1.0,377,中壢分局,,文化所,
工廠,永兆電子,EPA00377,復華里,"24.972392,121.241104",1.0,304,中壢分局,,文化所,
工廠,清三電子,EPA00378,文化里,"24.983865,121.24692",1.0,4554,中壢分局,,文化所,
工廠,佳茂化學,EPA00379,內定里,"24.98793,121.244248",1.0,344,中壢分局,,文化所,
工廠,台北化工,EPA00381,內定里,"24.987603,121.240628",1.0,205,中壢分局,,文化所,
工廠,養樂多公司,EPA00382,復興里,"24.969133,121.244711",1.0,793,中壢分局,,文化所,
透天,,EPA00383,信義里,"24.950939,121.233419",1.0,21,中壢分局,,普仁所,
透天,,EPA00384,信義里,"24.951009,121.233223",1.0,26,中壢分局,,普仁所,
透天,家樂福中壢店,EPA00391,後寮里,"24.946691,121.244701",1.0,13,中壢分局,V,普仁所,
透天,陳宅,EPA00392,中建里,"24.9568,121.221427",1.0,48,中壢分局,,中壢所,
透天,劉宅,EPA00396,中建里,"24.956611,121.221561",1.0,57,中壢分局,,中壢所,
透天,大春藥粧健康廣場,EPA00397,中建里,"24.956673,121.220995",1.0,46,中壢分局,,中壢所,
透天,許宅,EPA00398,中建里,"24.956707,121.221314",1.0,53,中壢分局,,中壢所,
透天,曾宅,EPA00400,中建里,"24.956566,121.221516",1.0,171,中壢分局,,中壢所,
透天,黃宅,EPA00404,中建里,"24.955862,121.2219",1.0,46,中壢分局,,中壢所,
透天,陳劉宅,EPA00405,中建里,"24.956798,121.221187",1.0,54,中壢分局,,中壢所,
透天,銘家建設,EPA00406,振興里,"24.936264,121.233351",1.0,188,中壢分局,,龍興所,
公寓,智竹工業社,EPA00407,振興里,"24.927182,121.243575",1.0,344,中壢分局,,龍興所,
電力,台灣電力公司中壢服務所,EPA00411,中央里,"24.957145,121.223697",2.0,1304,中壢分局,,中壢所,機敏單位
公寓,大正電子遊藝場,EPA00412,石頭里,"24.954033,121.22441",1.0,381,中壢分局,,中壢所,
公寓,益家建設,EPA00414,興南里,"24.958275,121.223767",2.0,513,中壢分局,,中壢所,
大樓,,EPA00415,普義里,"24.960775,121.23169",2.0,987,中壢分局,V,普仁所,
大樓,歡喜中原,EPA00416,普仁里,"24.958889,121.238265",2.0,929,中壢分局,V,普仁所,
公寓,湖映左岸,EPA00417,仁福里,"24.941079,121.255339",1.0,490,中壢分局,,仁愛所,
透天,學府吉第,EPA00418,林森里,"24.944711,121.226683",1.0,317,中壢分局,,龍興所,
透天,葉宅,EPA00419,東興里,"24.951493,121.224369",1.0,147,中壢分局,,中壢所,
大樓,北帝國逢甲社區,EPA00420,新興里,"24.945527,121.223925",1.0,1353,中壢分局,,龍興所,
公寓,凱悅KTV,EPA00421,中建里,"24.957157,121.221768",3.0,400,中壢分局,V,中壢所,
透天,藝田攝影沖印,EPA00422,中建里,"24.957057,121.222715",1.0,160,中壢分局,,中壢所,
透天,高橋證公司,EPA00423,中建里,"24.956834,121.22247",1.0,135,中壢分局,,中壢所,
教育機構,普仁國小,EPA00425,普慶里,"24.948608,121.244492",1.0,550,中壢分局,V,普仁所,
大樓,太子國寶,EPA00426,龍慈里,"24.94118,121.245818",2.0,3567,中壢分局,V,龍興所,
透天,,EPA00428,信義里,"24.952292,121.234278",1.0,204,中壢分局,V,普仁所,
華廈,新津和府,EPA00429,中興里,"24.962219,121.258158",2.0,796,中壢分局,,自強所,
金融機構,台灣銀行,EPA00430,中原里,"24.973783,121.257886",2.0,1443,中壢分局,,內壢所,
華廈,校園芳鄰,EPA00431,莊敬里,"24.968364,121.257249",1.0,1202,中壢分局,V,自強所,
工廠,商昶公司,EPA00433,內定里,"24.989442,121.24213",1.0,123,中壢分局,,文化所,
工廠,川樂公司,EPA00434,內定里,"24.989291,121.247267",1.0,98,中壢分局,,文化所,
大樓,賀立安老人長期照顧中心,EPA00435,山東里,"24.993824,121.168701",1.0,1327,中壢分局,,大崙所,
大樓,富貴天下,EPA00437,中央里,"24.958962,121.224478",3.0,1018,中壢分局,,中壢所,
大樓,中國龍,EPA00438,林森里,"24.945063,121.226392",1.0,1352,中壢分局,,龍興所,
大樓,中原大學,EPA00440,普忠里,"24.957606,121.240754",1.0,2437,中壢分局,,普仁所,
透天,中庚診所,EPA00441,忠孝里,"24.976624,121.25527",1.0,270,中壢分局,,內壢所,
工廠,麥瑟半導體,EPA00442,內定里,"24.991341,121.241357",1.0,98,中壢分局,,文化所,
透天,尚智運動世界,EPA00443,中榮里,"24.987966,121.222098",2.0,291,中壢分局,,中壢所,
金融機構,合作金庫壢新分行,EPA00444,石頭里,"24.956694,121.227058",2.0,316,中壢分局,V,中壢所,機敏單位
公寓,,EPA00445,信義里,"24.950085,121.234275",1.0,254,中壢分局,V,普仁所,
透天,鍾宅,EPA00446,龍德里,"24.938935,121.23147",1.0,69,中壢分局,V,龍興所,
大賣場,家樂福中壢店,EPA00447,後寮里,"24.946837,121.244583",2.0,13945,中壢分局,V,普仁所,
工廠,源興科技,EPA00449,文化里,"24.981265,121.242672",1.0,1181,中壢分局,V,文化所,
工廠,祥裕電子,EPA00450,復興里,"24.97816,121.244396",1.0,961,中壢分局,V,文化所,
大樓,何嘉仁,EPA00451,興平里,"24.963433,121.220349",1.0,917,中壢分局,,興國所,
公家機構,行政院環保署環境檢驗所,EPA00452,五權里,"24.960783,121.192286",1.0,7284,中壢分局,,興國所,
教育機構,中央大學,EPA00453,五權里,"24.965733,121.195863",1.0,2296,中壢分局,,興國所,
大樓,大學市二期,EPA00454,自強里,"24.969496,121.257366",3.0,4088,中壢分局,,自強所,
大樓,博士的家,EPA00455,成功里,"24.98205,121.256608",2.0,5271,中壢分局,,內壢所,
透天,"台灣山葉機車公司 ",EPA00456,過嶺里,"24.973616,121.175401",1.0,122,中壢分局,,大崙所,
大樓,SOGO百貨中壢店,EPA00457,金華里,"24.962475,121.223559",4.0,6180,中壢分局,,中福所,
大樓,上海銀行中壢分行,EPA00458,興南里,"24.959959,121.223546",3.0,2900,中壢分局,,中壢所,
教育機構,中壢高中,EPA00459,光明里,"24.96229,121.21127",1.0,1562,中壢分局,V,興國所,
透天,科聚實業公司,EPA00460,永光里,"24.977928,121.214066",1.0,226,中壢分局,,興國所,
教育機構,新明國小,EPA00461,光明里,"24.960083,121.216561",1.0,166,中壢分局,V,興國所,
公寓,業昇建設,EPA00462,光明里,"24.96101,121.213816",1.0,598,中壢分局,,興國所,
大樓,雅銘建設,EPA00463,三民里,"24.960965,121.210708",3.0,918,中壢分局,,興國所,
透天,財團法人中華基督教中壢浸信會,EPA00464,舊明里,"24.956046,121.213732",1.0,321,中壢分局,,興國所,
教育機構,啟英高中,EPA00465,永福里,"24.972386,121.234552",1.0,1977,中壢分局,,中福所,
大樓,鶴之屋,EPA00466,興福里,"24.9689,121.232069",2.0,968,中壢分局,V,中福所,
透天,鄭宅,EPA00467,永光里,"24.967474,121.216535",1.0,107,中壢分局,,興國所,
透天,劉宅,EPA00468,永光里,"24.965005,121.214233",1.0,100,中壢分局,,興國所,
大樓,張宅,EPA00470,永光里,"24.964469,121.214237",1.0,1562,中壢分局,V,興國所,
公寓,黃宅,EPA00472,新明里,"24.96117,121.211349",1.0,515,中壢分局,,興國所,
教育機構,新明國小,EPA00473,光明里,"24.959419,121.215792",1.0,397,中壢分局,,興國所,
大樓,李宅,EPA00475,光明里,"24.964751,121.218469",1.0,531,中壢分局,V,興國所,
透天,陳宅,EPA00476,永光里,"24.966428,121.217767",1.0,56,中壢分局,,興國所,
透天,許宅,EPA00477,光明里,"24.962582,121.212314",1.0,41,中壢分局,,興國所,
教育機構,中央大學,EPA00479,五權里,"24.96835,121.195226",1.0,795,中壢分局,,興國所,
教育機構,中央大學,EPA00482,五權里,"24.968213,121.187136",1.0,1685,中壢分局,,興國所,
透天,黃宅,EPA00486,五福里,"24.957839,121.2083",1.0,46,中壢分局,,興國所,
透天,莊宅,EPA00491,五福里,"24.958493,121.20746",1.0,44,中壢分局,,興國所,
透天,陳宅,EPA00492,五福里,"24.958296,121.207135",1.0,36,中壢分局,,興國所,
透天,程王宅,EPA00508,五福里,"24.958038,121.207971",1.0,30,中壢分局,,興國所,
透天,程王宅,EPA00509,五福里,"24.95801,121.207887",1.0,30,中壢分局,,興國所,
透天,楊宅,EPA00511,五福里,"24.958356,121.208082",1.0,40,中壢分局,,興國所,
透天,林宅,EPA00513,五權里,"24.959819,121.206599",1.0,186,中壢分局,,興國所,
透天,黃宅,EPA00514,五福里,"24.958084,121.20844",1.0,62,中壢分局,,興國所,
透天,黃宅,EPA00518,光明里,"24.961535,121.214594",1.0,65,中壢分局,V,興國所,
大樓,喜林莊建設,EPA00519,光明里,"24.962008,121.213051",1.0,2113,中壢分局,V,興國所,
公寓,黃宅,EPA00525,光明里,"24.961683,121.214097",1.0,617,中壢分局,,興國所,
公寓,陳宅,EPA00526,光明里,"24.961631,121.214142",1.0,623,中壢分局,,興國所,
透天,楊姚宅,EPA00528,光明里,"24.962739,121.212788",1.0,43,中壢分局,,興國所,
公寓,賴宅,EPA00529,光明里,"24.962177,121.21463",1.0,667,中壢分局,,興國所,
透天,莊宅,EPA00532,光明里,"24.962705,121.211889",1.0,44,中壢分局,,興國所,
透天,游宅,EPA00533,興平里,"24.963682,121.223131",1.0,30,中壢分局,,興國所,
透天,劉宅,EPA00534,五權里,"24.95785,121.203992",1.0,54,中壢分局,,興國所,
透天,銘升建設,EPA00537,五權里,"24.958624,121.203045",1.0,150,中壢分局,,興國所,
透天,,EPA00540,仁義里,"24.961056,121.231932",1.0,55,中壢分局,,普仁所,
透天,,EPA00541,正義里,"24.954695,121.230328",1.0,231,中壢分局,,普仁所,
公寓,,EPA00543,普仁里,"24.955031,121.241248",1.0,466,中壢分局,,普仁所,
透天,,EPA00545,普仁里,"24.954683,121.239089",1.0,44,中壢分局,,普仁所,
透天,,EPA00546,普仁里,"24.954602,121.23895",1.0,44,中壢分局,,普仁所,
透天,,EPA00548,普仁里,"24.9541,121.242015",1.0,77,中壢分局,,普仁所,
透天,,EPA00549,普仁里,"24.954903,121.239811",1.0,133,中壢分局,,普仁所,
透天,,EPA00551,信義里,"24.950225,121.232166",1.0,32,中壢分局,,普仁所,
透天,,EPA00552,明德里,"24.947403,121.228262",1.0,9,中壢分局,V,普仁所,
公寓,,EPA00563,明德里,"24.946481,121.229575",1.0,140,中壢分局,,普仁所,
大樓,,EPA00573,後寮里,"24.940134,121.245349",1.0,406,中壢分局,V,普仁所,
大樓,翰林華城,EPA00574,後寮里,"24.9442,121.244669",1.0,2440,中壢分局,V,普仁所,
大樓,,EPA00577,德義里,"24.957443,121.231654",1.0,645,中壢分局,V,普仁所,
