建築物名稱,村里別,地址,經緯度,地下樓層數,可容納人數,轄管分局,編號,placemark_address
西螺地政所,中和里,"西螺鎮中和里中山路66號  ","23.80024, 120.46242",1.0,132.0,西螺分局,571.0,西螺鎮中和里中山路66號
國光客運西螺站,中和里,西螺鎮中和里中山路70號,"23.80012, 120.46221",1.0,221.0,西螺分局,572.0,西螺鎮中和里中山路70號
,中興里,"西螺鎮中興里西興南路13號  ","23.8001, 120.45544",1.0,687.0,西螺分局,573.0,西螺鎮中興里西興南路13號
東南國中,中興里,"西螺鎮中興里東南路326號  ","23.80278, 120.45182",1.0,290.0,西螺分局,574.0,西螺鎮中興里東南路326號
文昌國小,中興里,"西螺鎮中興里延平路504號  ","23.80023, 120.45208",1.0,200.0,西螺分局,575.0,西螺鎮中興里延平路504號
東南國中(中興樓),中興里,"西螺鎮中興里東南路326號  ","23.80278, 120.45182",1.0,1412.0,西螺分局,576.0,西螺鎮中興里東南路326號
東南國中(大仁樓),中興里,"西螺鎮中興里東南路326號  ","23.80278, 120.45182",1.0,289.0,西螺分局,577.0,西螺鎮中興里東南路326號
東南國中(大智樓),中興里,"西螺鎮中興里東南路326號  ","23.80278, 120.45182",1.0,150.0,西螺分局,578.0,西螺鎮中興里東南路326號
東南國中(治寰樓),中興里,"西螺鎮中興里東南路326號  ","23.80278, 120.45182",1.0,398.0,西螺分局,579.0,西螺鎮中興里東南路326號
東南國中(餐廳),中興里,"西螺鎮中興里東南路326號  ","23.80278, 120.45182",1.0,26.0,西螺分局,580.0,西螺鎮中興里東南路326號
東南國中(光華樓),中興里,"西螺鎮中興里東南路326號  ","23.80278, 120.45182",1.0,467.0,西螺分局,581.0,西螺鎮中興里東南路326號
報恩寺,中興里,"西螺鎮新興路160巷4號 ","23.79576, 120.45212",1.0,305.0,西螺分局,582.0,西螺鎮新興路160巷4號
,正興里,"西螺鎮光復西路180巷2號 ","23.79685, 120.46017",1.0,408.0,西螺分局,583.0,西螺鎮光復西路180巷2號
西螺國中,正興里,"西螺鎮正興里興農西路217號  ","23.7923, 120.46054",1.0,744.0,西螺分局,584.0,西螺鎮正興里興農西路217號
,光華里,"西螺鎮光華里延平路209號  ","23.80084, 120.45851",1.0,408.0,西螺分局,585.0,西螺鎮光華里延平路209號
和心農會倉庫,安定里,西螺鎮安定里堤防路2號,"23.77552, 120.44728",1.0,86.0,西螺分局,586.0,西螺鎮安定里堤防路2號
富國大旅社,東明村,"崙背鄉東明村正義路179號  ","23.76113, 120.35738",1.0,33.0,西螺分局,587.0,崙背鄉東明村正義路179號
安定國小,河南里,西螺鎮河南里埔心路210號,"23.80127, 120.44057",1.0,444.0,西螺分局,588.0,西螺鎮河南里埔心路210號
崙背國中,南陽村,"崙背鄉南陽村大城路91號  ","23.75793, 120.3491",1.0,1826.0,西螺分局,589.0,崙背鄉南陽村大城路91號
二崙鄉公所,崙西村,"二崙鄉崙西村中興路5號 ","23.77152, 120.41292",1.0,222.0,西螺分局,590.0,二崙鄉崙西村中興路5號
二崙鄉圖書館,崙西村,"二崙鄉崙西村中興路5號之1  ","23.77113, 120.41298",1.0,151.0,西螺分局,591.0,二崙鄉崙西村中興路5號之1
大發市場,崙西村,"二崙鄉崙西村民生路145號  ","23.76832, 120.40985",1.0,148.0,西螺分局,592.0,二崙鄉崙西村民生路145號
匯豐糧食加工廠,崙西村,"二崙鄉崙西村中山路392號  ","23.76679, 120.40507",1.0,106.0,西螺分局,593.0,二崙鄉崙西村中山路392號
億東企業股份有限公司,崙西村,"二崙鄉崙西村中山路357號  ","23.76704, 120.40701",1.0,198.0,西螺分局,594.0,二崙鄉崙西村中山路357號
東遠碾米工廠,崙西村,"二崙鄉崙西村中山路369號  ","23.76689, 120.4068",1.0,66.0,西螺分局,595.0,二崙鄉崙西村中山路369號
崙背鄉公所清潔隊,崙前村,"崙背鄉崙前村南光路5號  ","23.75902, 120.3532",1.0,110.0,西螺分局,596.0,崙背鄉崙前村南光路5號
東元塑膠工廠,崙前村,"崙背鄉崙前村大利街28號  ","23.75208, 120.34807",1.0,175.0,西螺分局,597.0,崙背鄉崙前村大利街28號
金樹塑膠工業公司,崙前村,"崙背鄉崙前村大利街29號  ","23.75247, 120.34834",1.0,78.0,西螺分局,598.0,崙背鄉崙前村大利街29號
雲林縣政府,港後村,二崙鄉港後村太平路1-31號,"23.81396, 120.39501",1.0,224.0,西螺分局,599.0,二崙鄉港後村太平路1-31號
文興國小,新豐里,"西螺鎮新豐里新社路259號  ","23.78363, 120.44621",1.0,375.0,西螺分局,600.0,西螺鎮新豐里新社路259號
彰基雲林分院,新豐里,"西螺鎮新豐里市場南路375號  ","23.78363, 120.44633",1.0,1797.0,西螺分局,601.0,西螺鎮新豐里市場南路375號
文興國小,新豐里,"西螺鎮新豐里新社路257號  ","23.78801, 120.44463",1.0,259.0,西螺分局,602.0,西螺鎮新豐里新社路257號
彰基雲林分院,新豐里,"西螺鎮新豐里市場南路375號 ","23.78615, 120.44705",1.0,284.0,西螺分局,603.0,西螺鎮新豐里市場南路375號
彰基雲林分院總務樓,新豐里,西螺鎮新豐里市場南路371號,"23.78716, 120.44544",1.0,1849.0,西螺分局,604.0,西螺鎮新豐里市場南路371號
西螺鎮果菜市場,漢光里,"西螺鎮漢光里建興路101號  ","23.79609, 120.45887",1.0,152.0,西螺分局,605.0,西螺鎮漢光里建興路101號
滿固泠藏工廠,福田里,西螺鎮福田里社口68-21號,"23.78913, 120.4336",1.0,36.0,西螺分局,606.0,西螺鎮福田里社口68-21號
金農米公司,福田里,西螺鎮福田里社口68-20號,"23.78913, 120.4336",1.0,84.0,西螺分局,607.0,西螺鎮福田里社口68-20號
鋐嶸金屬工業公司,福田里,西螺鎮福田里社口68-18號,"23.78913, 120.4336",1.0,111.0,西螺分局,608.0,西螺鎮福田里社口68-18號
,福興里,"西螺鎮福興里修文路87巷3號  ","23.80308, 120.46312",1.0,209.0,西螺分局,609.0,西螺鎮福興里修文路87巷3號
,福興里,"西螺鎮福興里修文路87巷5號  ","23.80308, 120.46312",1.0,209.0,西螺分局,610.0,西螺鎮福興里修文路87巷5號
西螺中央市場,福興里,"西螺鎮福興里建興路248號  ","23.80045, 120.45937",1.0,1284.0,西螺分局,611.0,西螺鎮福興里建興路248號
育仁醫院,福興里,"西螺鎮福興里延平路162號  ","23.80139, 120.46095",1.0,418.0,西螺分局,612.0,西螺鎮福興里延平路162號
,廣福里,西螺鎮廣福里廣興路180號,"23.79387, 120.46522",1.0,937.0,西螺分局,613.0,西螺鎮廣福里廣興路180號
西螺鎮公所,廣福里,"西螺鎮廣福里光復西路20號  ","23.79793, 120.4655",1.0,620.0,西螺分局,614.0,西螺鎮廣福里光復西路20號
中山國小,廣福里,"西螺鎮廣福里新街路2號  ","23.79464, 120.46534",1.0,1318.0,西螺分局,615.0,西螺鎮廣福里新街路2號
廣興國小,廣興里,西螺鎮廣興里廣興59號,"23.7664, 120.45867",1.0,81.0,西螺分局,616.0,西螺鎮廣興里廣興59號
慈惠寺,港尾村,"崙背鄉港尾村港尾48號  ","23.74847, 120.37528",1.0,421.0,西螺分局,617.0,崙背鄉港尾村港尾48號
皇宮大旅社,羅厝村,"崙背鄉羅厝村東興247號  ","23.75673, 120.36906",1.0,41.0,西螺分局,618.0,崙背鄉羅厝村東興247號
