類別,建築物名稱,電腦編號,村里別,地址,"地下 樓層數","可容納 人數",派出所,備註,經度,緯度
大樓,香榭麗池社區,DA02000047,壽南里,新北市中和區壽南里南山路258號,1、2,1930.0,南勢派出所,,121.507678,24.988449
大樓,達永沐夏社區,DA02000048,華新里,新北市中和區華新里工專路66號,1,1290.0,南勢派出所,,121.507621,24.980137
大樓,漢寶之丘社區,DA02000049,華新里,新北市中和區華新里工專路126號,4,811.0,南勢派出所,,121.507972,24.979617
大樓,京雅集社區,DA02000050,崇南里,新北市中和區崇南里7鄰景新街450號,1,642.0,南勢派出所,,121.513289,24.987878
大樓,企業天下,DA04000001,枋寮里,新北市中和區枋寮里中和路59號,3,327.0,中和派出所,,121.500518,25.001199
大樓,四季花香,DA04000002,南山里,新北市中和區南山里南華路26號,2,1737.0,中和派出所,,121.503122,24.995864
大樓,華磘新貴,DA04000003,福和里,新北市中和區福和里廣福路12號,2,211.0,中和派出所,,121.505607,25.002984
中和區衛生所,中和區衛生所,DA04000004,漳和里,新北市中和區漳和里南山路4巷3號,1,538.0,中和派出所,,121.501638,24.998692
大樓,第王社區,DA04000005,佳和里,新北市中和區佳和里中山路二段30號,1,777.0,中和派出所,,121.504552,25.005274
大樓,左岸社區,DA04000007,福美里,新北市中和區福美里福祥路127號,1,510.0,中和派出所,,121.498581,25.006947
大樓,凱國御花園,DA04000008,瓦?里,新北市中和區瓦?里保平路285號,2,579.0,中和派出所,,121.506662,25.003814
大樓,双喜園,DA04000009,福祥里,新北市中和區福祥里福祥路123號,1,134.0,中和派出所,,121.498633,25.006747
大樓,日光大道,DA04000010,新南里,新北市中和區新南里中正路78號,3,2438.0,中和派出所,,121.500497,24.993822
大樓,圓泰花園,DA04000011,新南里,新北市中和區新南里圓通路25號,2,797.0,中和派出所,,121.501258,24.997832
大樓,微風villa,DA04000015,瓦?里,新北市中和區瓦?里保平路326巷15號,1,93.0,中和派出所,,121.506517,25.004664
公寓,公寓,DA04000017,福美里,新北市中和區福美里勝利路35巷1弄24號,1,193.0,中和派出所,,,
公寓,和美吉地,DA04000018,廟美里,新北市中和區廟美里廟美街1號,1,494.0,中和派出所,,121.50072,25.001641
公寓,金玉南山,DA04000019,南山里,新北市中和區南山里南山路119號,1,500.0,中和派出所,,121.502153,24.997317
大樓,惜福b坐,DA04000020,福祥里,新北市中和區福祥里永和路8巷7號,2,1464.0,中和派出所,,121.500296,25.003141
公寓,好厝壹佰,DA04000021,南山里,新北市中和區南山里南山路89號,1,265.0,中和派出所,,121.502124,24.997957
大樓,景新雅苑,DA04000022,漳和里,新北市中和區漳和里景新街71號,1,98.0,中和派出所,,121.504917,24.998777
大樓,宏璽新世界社區,DA04000023,新南里,新北市中和區新南里景平路433號,2,4744.0,中和派出所,,121.50098,24.9957
漳和國中,漳和國中,DA04000024,枋寮里,新北市中和區枋寮里廣福路39號,1,533.0,中和派出所,,121.505531,25.002673
公寓,公寓,DA04000025,瓦?里,新北市中和區瓦?里水源路119號,1,63.0,中和派出所,,121.508164,25.003699
公寓,謙禧補習班,DA04000026,佳和里,新北市中和區佳和里中山路二段64巷12弄1號,1,24.0,中和派出所,,121.503668,25.005255
公寓,水源星座,DA04000027,瓦?里,新北市中和區瓦?里水源路93號,1,121.0,中和派出所,,121.507107,25.003523
公寓,桔第大樓,DA04000028,南山里,新北市中和區南山里南山路81巷58號,1,663.0,中和派出所,,121.503925,24.998047
大樓,華南名人巷,DA04000029,新南里,新北市中和區新南里景平路429號,2,3205.0,中和派出所,,121.50139,24.995369
大樓,裕豐大樓,DA04000030,福祥里,新北市中和區福祥里永和路16號,2,1504.0,中和派出所,,121.499728,25.003363
大樓,霧之橘,DA04000031,新南里,新北市中和區新南里南山路72號,2,2350.0,中和派出所,,121.502349,24.995922
大樓,CYMOTO,DA04000032,新南里,新北市中和區新南里圓通路57號,1,82.0,中和派出所,,121.500677,24.997421
公寓,桔第大樓,DA04000034,南山里,新北市中和區南山里南山路81巷50號,1,347.0,中和派出所,,121.503656,24.998286
大樓,金合美,DA04000036,漳和里,新北市中和區漳和里中和路170號,2,468.0,中和派出所,,121.504519,24.999638
大樓,都會大亨,DA04000037,佳和里,新北市中和區佳和里中山路二段98號,2,426.0,中和派出所,,121.503305,25.004263
大樓,中福傑坐,DA04000038,廟美里,新北市中和區廟美里景平路666號,3,1026.0,中和派出所,,121.497453,25.000782
大樓,富貴有緣,DA04000041,福祥里,新北市中和區福祥里永和路90巷3號,1,2027.0,中和派出所,,121.497314,25.005937
中和國小,中和國小,DA04000042,漳和里,新北市中和區漳和里中和路100號,2,1504.0,中和派出所,,121.501611,24.99986
大樓,台北新廈,DA04000043,枋寮里,新北市中和區枋寮里中和路281號,1,233.0,中和派出所,,121.505857,24.99981
大樓,公寓,DA04000046,佳和里,新北市中和區佳和里中山路二段2巷45弄5號,1,173.0,中和派出所,,121.502243,25.006777
大樓,日麗華廈,DA04000047,南山里,新北市中和區南山里南華路17號,3,5211.0,中和派出所,,121.502585,24.995772
公寓,廟子尾鶴齡交誼中心,DA04000048,廟美里,新北市中和區廟美里廟美街6巷3號,1,225.0,中和派出所,,121.501207,25.001522
大樓,皇樓,DA04000049,枋寮里,新北市中和區枋寮里廣福路53巷2號,2,3703.0,中和派出所,,121.502975,25.001337
大樓,台北NEWS,DA04000050,南山里,新北市中和區南山里南華路16號,1,5131.0,中和派出所,,121.502707,24.995629
大樓,泰和街1號,DA04000051,廟美里,新北市中和區廟美里泰和街1號,1,1597.0,中和派出所,,121.499899,25.000877
大樓,陽光四季,DA04000052,瓦?里,新北市中和區瓦?里光華街81號,1,1106.0,中和派出所,,121.507227,25.002663
大樓,陽光四季,DA04000053,瓦?里,新北市中和區瓦?里光華街86號,1,2020.0,中和派出所,,121.50705,25.002496
大樓,c22商業廣場,DA04000054,漳和里,新北市中和區漳和里中和路100號,1,2377.0,中和派出所,,121.501611,24.99986
大樓,旺角華廈,DA04000055,漳和里,新北市中和區漳和里中和路42號,1,356.0,中和派出所,,121.500244,25.001139
大樓,御藏,DA04000056,瓦?里,新北市中和區瓦?里保平路326巷7號,1,412.0,中和派出所,,121.506963,25.004513
大樓,捷運華格納,DA04000057,南山里,新北市中和區南山里南山路81巷61號,1,351.0,中和派出所,,121.504286,24.998069
大樓,双和星,DA04000058,漳和里,新北市中和區漳和里中和路210號,2,533.0,中和派出所,,121.505595,24.99961
大樓,頂高,DA04000059,廟美里,新北市中和區廟美里連城路71號,2,277.0,中和派出所,,121.49744,25.001083
大樓,美麗時代,DA04000060,福祥里,新北市中和區福祥里福祥路68號,3,2077.0,中和派出所,,121.499351,25.005175
大樓,馥御,DA04000061,新南里,新北市中和區新南里圓通路69號,3,1160.0,中和派出所,,121.500085,24.996971
大樓,愛丁寶,DA04000062,瓦?里,新北市中和區瓦?里南工路124號,1,2022.0,中和派出所,,121.507409,25.003979
大樓,弘暉首富,DA04000063,漳和里,新北市中和區漳和里中和路128號,1,752.0,中和派出所,,121.503558,24.999617
大樓,御璽,DA04000064,枋寮里,新北市中和區枋寮里廣福路73號,1,1139.0,中和派出所,,121.502437,25.00085
南山高中,南山高中,DA04000065,枋寮里,新北市中和區枋寮里廣福路41號,2,1840.0,中和派出所,,121.503448,25.001629
大樓,新富邑,DA04000066,漳和里,新北市中和區漳和里景新街34巷2弄5號,1,104.0,中和派出所,,121.503005,24.999065
大樓,新富雅,DA04000067,漳和里,新北市中和區漳和里景新街34巷2弄9號,1,106.0,中和派出所,,121.502756,24.999039
中和區公所,中和區公所,DA04000068,漳和里,新北市中和區漳和里景平路634號之2,1,1269.0,中和派出所,,121.500735,24.998545
大樓,翔之譽,DA04000069,瓦?里,新北市中和區瓦?里水源路132巷7號,1,441.0,中和派出所,,121.507857,25.002721
大樓,仁愛好樣,DA04000070,佳和里,新北市中和區佳和里中山路二段64巷30號,1,833.0,中和派出所,,121.50248,25.006221
大樓,雙禧園,DA04000071,景文里,新北市中和區景文里南華路67號,1,916.0,中和派出所,,121.504669,24.997404
大樓,喜硯,DA04000072,新南里,新北市中和區新南里景平路431巷120號,1,107.0,中和派出所,,121.500397,24.994859
大樓,勝興漾之華,DA04000073,漳和里,新北市中和區漳和里南山路27號,1,239.0,中和派出所,,121.502141,24.999028
大樓,三豐雙匯,DA04000074,廟美里,新北市中和區廟美里景平路658號,1,277.0,中和派出所,,121.497597,25.00063
大樓,福璽景安,DA04000075,新南里,新北市中和區新南里景平路431巷29號,1,511.0,中和派出所,,121.500543,24.99467
大樓,捷運瀞,DA04000076,廟美里,新北市中和區廟美里廟美街8號,1,265.0,中和派出所,,121.501029,25.001524
大樓,肯佳馥喆,DA04000077,佳和里,新北市中和區佳和里中山路二段158號,1,148.0,中和派出所,,121.501409,25.002967
大樓,向陽光晴,DA04000078,枋寮里,新北市中和區枋寮里中和路229號,1,367.0,中和派出所,,121.504461,24.999858
大樓,浦陽雙和,DA04000079,漳和里,新北市中和區漳和里中和路142號,1,781.0,中和派出所,,121.50387,24.999614
公寓,中和消防分隊,DA04000080,佳和里,新北市中和區佳和里中山路二段64巷11號,1,505.0,中和派出所,,121.503306,25.005547
大樓,忻揚馥群,DA04000081,南山里,新北市中和區南山里8鄰南山路235號,1,552.0,中和派出所,,121.503666,24.993117
大樓,雙和聚富,DA04000082,瓦?里,新北市中和區瓦?里18鄰南工路113號,1,216.0,中和派出所,,121.507234,25.003932
大樓,世紀公園,DA05000001,中安里,新北市中和區中安里中安街80號,3,819.0,安平派出所,,121.512106,25.001848
大樓,新時代,DA05000002,景平里,新北市中和區景平里安樂路18號,2,131.0,安平派出所,,121.511832,24.99203
大樓,站前儷晶大廈,DA05000003,中安里,新北市中和區中安里永貞路249巷10號,2,497.0,安平派出所,,121.512633,25.003783
大樓,大樓,DA05000004,中安里,新北市中和區中安里中安街106號,2,99.0,安平派出所,,121.511384,25.000997
大樓,泰安大廈,DA05000005,泰安里,新北市中和區泰安里中和路252巷1號,1,220.0,安平派出所,,121.507606,24.999331
大樓,太陽花,DA05000006,中安里,新北市中和區中安里永貞路239巷20號,1,557.0,安平派出所,,121.512438,25.003103
大樓,得意歐邸,DA05000007,景平里,新北市中和區景平里景平路159巷19號,1,147.0,安平派出所,,121.5129,24.991525
大樓,大樓,DA05000008,中安里,新北市中和區中安里永貞路280號,2,191.0,安平派出所,,121.513263,25.004006
大樓,雙和邑,DA05000009,泰安里,新北市中和區泰安里景安路10號,2,1064.0,安平派出所,,121.507599,24.998913
大樓,宜安吉立,DA05000010,宜安里,新北市中和區宜安里宜安路32號,1,188.0,安平派出所,,121.51282,24.996212
大樓,松廈大樓,DA05000011,安平里,新北市中和區安平里中和路324巷3弄1號,3,1040.0,安平派出所,,121.509945,25.000887
大樓,八方美地,DA05000012,中安里,新北市中和區中安里中安街122號,2,421.0,安平派出所,,121.511018,25.000591
公寓,澄品華廈,DA05000013,安樂里,新北市中和區安樂里安樂路217巷20弄16號,1,198.0,安平派出所,,121.513523,24.998966
大樓,森林公園,DA05000014,中安里,新北市中和區中安里中安街228巷1號,3,582.0,安平派出所,,121.510868,25.000406
大樓,大樓,DA05000017,宜安里,新北市中和區宜安里安樂路191巷1號,1,423.0,安平派出所,,121.514568,24.998053
大樓,公園尊邸社區,DA05000018,中安里,新北市中和區中安里中安街112號,2,461.0,安平派出所,,121.511249,25.000836
公寓,冠倫天地,DA05000019,安樂里,新北市中和區安樂里安平路216號,2,718.0,安平派出所,,121.513918,24.999954
大樓,無,DA05000020,中安里,新北市中和區中安里永貞路239巷16號,1,480.0,安平派出所,,121.512615,25.003313
大樓,華泰椰泉區,DA05000021,安和里,新北市中和區安和里安平路77號,4,6590.0,安平派出所,,121.510141,24.995971
公寓,森堡幼兒園,DA05000022,安順里,新北市中和區安順里保健路123號,1,162.0,安平派出所,,121.512369,24.995956
大樓,吉第財星,DA05000023,景平里,新北市中和區景平里安樂路1號,2,354.0,安平派出所,,121.511585,24.991895
大樓,大樓,DA05000024,宜安里,新北市中和區宜安里安樂路217巷27號,1,123.0,安平派出所,,121.513667,24.99819
公寓,公寓,DA05000025,安和里,新北市中和區安和里保健路46巷25號,1,605.0,安平派出所,,121.508994,24.996035
公寓,福華名廈,DA05000026,宜安里,新北市中和區宜安里安樂路191巷9號,1,188.0,安平派出所,,121.51451,24.99793
大樓,春池幼兒園,DA05000027,宜安里,新北市中和區宜安里宜安路112號,2,1691.0,安平派出所,,121.512131,24.996823
大樓,甜蕃茄,DA05000028,安順里,新北市中和區安順里安平路36巷1號,2,3234.0,安平派出所,,121.510177,24.995036
公寓,公寓,DA05000029,安平里,新北市中和區安平里中安街178巷13弄2號,1,173.0,安平派出所,,121.510138,24.9986
大樓,捷運首府,DA05000030,中安里,新北市中和區中安里中和路456號,3,777.0,安平派出所,,121.512179,25.00373
大樓,美術館A區,DA05000031,安樂里,新北市中和區安樂里宜安路118巷26號,3,1249.0,安平派出所,,121.51118,24.998761
大樓,宜家花園,DA05000032,安順里,新北市中和區安順里宜安路49號,1,836.0,安平派出所,,121.51178,24.996689
大樓,中安大樓,DA05000033,中安里,新北市中和區中安里中安街40巷2號,2,582.0,安平派出所,,121.51279,25.002993
大樓,公園7-11大廈,DA05000034,中安里,新北市中和區中安里新興街17巷1號,1,22.0,安平派出所,,121.512292,25.002578
大樓,四季公園,DA05000035,中安里,新北市中和區中安里中安街96號,2,771.0,安平派出所,,121.511729,25.001401
大樓,中安華夏,DA05000036,中安里,新北市中和區中安里中安街16號,1,206.0,安平派出所,,121.51332,25.003208
大樓,捷運洋洋,DA05000037,中安里,新北市中和區中安里中和路386號,1,72.0,安平派出所,,121.510799,25.002175
公寓,六合家園,DA05000038,宜安里,新北市中和區宜安里安樂路143巷20號,2,1130.0,安平派出所,,121.513089,24.996722
大樓,皇家豪景,DA05000039,安樂里,新北市中和區安樂里中安街200號,3,714.0,安平派出所,,121.5116,24.998944
大樓,捷運旺角,DA05000040,景平里,新北市中和區景平里景平路396號,3,447.0,安平派出所,,121.509859,24.993076
大樓,時代金融中心大樓,DA05000041,中安里,新北市中和區中安里中和路366號,3,945.0,安平派出所,,121.510559,25.001908
大樓,川螢商業大樓,DA05000042,景平里,新北市中和區景平里景新街347號,1,428.0,安平派出所,,121.512059,24.990981
公寓,公寓,DA05000043,安平里,新北市中和區安平里中和路262巷24弄17號,1,81.0,安平派出所,,121.510131,24.99887
大樓,快易居,DA05000044,景平里,新北市中和區景平里景平路288號,3,1811.0,安平派出所,,121.513354,24.992921
大樓,黃金傳奇A、B棟,DA05000045,中安里,新北市中和區中安里永貞路262巷5號,2,425.0,安平派出所,,121.51353,25.003978
大樓,千禧歐邸,DA05000047,景平里,新北市中和區景平里景平路159巷31號,1,30.0,安平派出所,,121.513071,24.991085
大樓,黃金傳奇C棟,DA05000048,中安里,新北市中和區中安里永貞路274號,2,311.0,安平派出所,,121.51341,25.00388
國立臺灣圖書館,國立臺灣圖書館,DA05000049,中安里,新北市中和區中安里中安街85號,1,6560.0,安平派出所,,121.512296,25.001618
大樓,宜家樓,DA05000050,安順里,新北市中和區安順里宜安路3號,1,402.0,安平派出所,,121.513376,24.995446
大樓,安家樓,DA05000051,安順里,新北市中和區安順里宜安路15號,1,194.0,安平派出所,,121.513123,24.995674
大樓,台北MRT花園,DA05000053,景平里,新北市中和區景平里景平路296號,1,952.0,安平派出所,,121.512532,24.992932
大樓,君子集大廈,DA05000054,安順里,新北市中和區安順里安樂路69號,1,568.0,安平派出所,,121.512438,24.993914
大樓,美麗永安社區(一期),DA05000055,中安里,新北市中和區中安里中和路390號,4,1011.0,安平派出所,,121.511013,25.002397
大樓,大樓,DA05000056,景平里,新北市中和區景平里景平路169巷22號,1,204.0,安平派出所,,121.512346,24.991958
大樓,中和之星,DA05000057,景平里,新北市中和區景平里景平路392號,3,573.0,安平派出所,,121.510263,24.993072
大樓,美麗永安社區(二期),DA05000058,中安里,新北市中和區中安里中和路402號,4,854.0,安平派出所,,121.511247,25.002666
大樓,捷韻麗境,DA05000059,景平里,新北市中和區景平里景平路402號,1,111.0,安平派出所,,121.50921,24.993192
大樓,宜安100,DA05000060,安樂里,新北市中和區安樂里宜安路98號,1,163.0,安平派出所,,121.510703,24.997746
大樓,冠德新世界,DA05000061,景平里,新北市中和區景平里景平151號,1,1738.0,安平派出所,,121.513538,24.991982
大樓,景安居易,DA05000062,景平里,新北市中和區景平里安平路1號,1,74.0,安平派出所,,121.508846,24.99343
大樓,永安麗苑,DA05000063,安平里,新北市中和區安平里中和路350巷8弄26號,1,130.0,安平派出所,,121.51017,25.000377
大樓,輕鬆go,DA05000064,景平里,新北市中和區景平里景平路151巷24號,2,206.0,安平派出所,,121.514122,24.991105
大樓,一品花園,DA05000065,宜安里,新北市中和區宜安里安樂路211號,1,178.0,安平派出所,,121.514251,24.998735
大樓,攬翠大樓,DA05000066,景平里,新北市中和區景平里安平路5巷2號,1,184.0,安平派出所,,121.508632,24.993849
大樓,名城商業大樓,DA05000067,安平里,新北市中和區安平里景安路1號,2,369.0,安平派出所,,121.50825,24.999302
大樓,協合紀-森活館,DA05000068,安平里,新北市中和區安平里宜安路168巷6號,1,294.0,安平派出所,,121.50923,24.9993
大樓,香里園,DA05000069,安樂里,新北市中和區安樂里宜安路92巷16號,1,348.0,安平派出所,,121.5112,24.99807
大樓,協和紀-樂活館,DA05000070,安平里,新北市中和區安平里宜安路168巷19號,1,1150.0,安平派出所,,121.50911,24.99948
大樓,勝興采悅,DA05000071,景平里,新北市中和區景平里景平路159巷24號,1,155.0,安平派出所,,121.51258,24.99177
大樓,齊家一品苑,DA05000072,宜安里,新北市中和區宜安里宜安路38-6號,2,653.0,安平派出所,,121.51229,24.996607
大樓,華鋐菁美,DA05000073,安樂里,新北市中和區安樂里安平路156巷8號,1,59.0,安平派出所,,121.513036,24.997921
大樓,晶悅,DA05000074,景平里,新北市中和區景平里景平路159巷28號,1,162.0,安平派出所,,121.512625,24.99168
大樓,大樓,DA05000075,泰安里,新北市中和區泰安里景安路58號,1,128.0,安平派出所,,121.506648,24.997805
大樓,大樓,DA05000076,宜安里,新北市中和區宜安里宜安路50號,1,140.0,安平派出所,,121.512131,24.996823
大樓,和和砌,DA05000077,宜安里,新北市中和區宜安里安樂路217巷1號,1,249.0,安平派出所,,121.514077,24.998686
大樓,双捷一品,DA05000078,景平里,新北市中和區景平里景平路402之2號,1,207.0,安平派出所,,121.50912,24.993222
大樓,宜安君品,DA05000079,宜安里,新北市中和區宜安里1鄰宜安路18巷22號,1,135.0,安平派出所,,121.513847,24.996469
大樓,綠inn,DA05000080,中安里,新北市中和區中安里16鄰中安街88號,1,343.0,安平派出所,,121.511915,25.001684
大樓,太陽帝國,DA05000081,景平里,新北市中和區景平里17鄰安樂路2巷18號,1,1700.0,安平派出所,,121.512217,24.991671
大樓,大樓,DA05000082,安樂里,新北市中和區安樂里安平路178號,1,69.0,安平派出所,,121.512945,24.998809
大樓,領世館,DA06000001,明穗里,新北市中和區明穗里民享街116號,1,256.0,國光派出所,,121.474434,24.99896
大樓,領世館,DA06000002,明穗里,新北市中和區明穗里民享街116巷1號,1,645.0,國光派出所,,121.474239,24.998717
大樓,華福凱旋門,DA06000003,壽德里,新北市中和區壽德里華福街4巷16號,1,196.0,國光派出所,,121.465619,24.996358
大樓,海山龍珠二期,DA06000004,明德里,新北市中和區明德里華安街16號,2,1011.0,國光派出所,,121.466118,24.997985
大樓,大樓,DA06000005,明德里,新北市中和區明德里華安街16巷1號,2,447.0,國光派出所,,121.466145,24.998266
大樓,壽德新村甲區,DA06000006,壽德里,新北市中和區壽德里壽德街25號,1,8342.0,國光派出所,,121.46618,24.995064
大樓,壽德新村丁區,DA06000007,壽德里,新北市中和區壽德里華順街135巷5號,1,742.0,國光派出所,,121.46573,24.996202
民德停車場,民德停車場,DA06000008,清穗里,新北市中和區清穗里民德路188號,1,2140.0,國光派出所,,121.468229,24.999014
大樓,天下第一家,DA06000009,民生里,新北市中和區民生里德光路104號,1,365.0,國光派出所,,121.46829,25.003441
大樓,書香園,DA06000010,自強里,新北市中和區自強里民德路148號,1,184.0,國光派出所,,121.468554,25.00033
大樓,滿堂彩大廈,DA06000011,瑞穗里,新北市中和區瑞穗里莒光路47號,1,397.0,國光派出所,,121.472219,25.004693
自強國中,自強國中,DA06000012,明穗里,新北市中和區明穗里莒光路191號,1,407.0,國光派出所,,121.472635,24.998838
大樓,大樓,DA06000013,壽德里,新北市中和區壽德里華順街120號,1,105.0,國光派出所,,121.465085,24.996559
大樓,綠大郡,DA06000014,民生里,新北市中和區民生里德光路38號,3,2554.0,國光派出所,,121.470357,25.004325
大樓,喜來登,DA06000015,自強里,新北市中和區自強里民德路171巷2號,3,1229.0,國光派出所,,121.46879,24.999466
大樓,大樓,DA06000016,壽德里,新北市中和區壽德里華福街4巷6號,1,525.0,國光派出所,,121.46548,24.996539
大樓,海山大地,DA06000017,民生里,新北市中和區民生里德光路114號,2,1097.0,國光派出所,,121.46799,25.003642
公寓,公寓,DA06000018,冠穗里,新北市中和區冠穗里民享街36巷5號,1,128.0,國光派出所,,121.473242,25.002949
大樓,海山龍珠,DA06000020,明德里,新北市中和區明德里華安街16巷5號,1,2300.0,國光派出所,,121.466264,24.997802
大樓,中山學府,DA06000021,瑞穗里,新北市中和區瑞穗里中山路三段183號,2,714.0,國光派出所,,121.47259,25.006108
大樓,櫻花公園,DA06000022,清穗里,新北市中和區清穗里華順街30巷16號,2,2578.0,國光派出所,,121.466853,24.999182
自強國中,自強國中,DA06000023,明穗里,新北市中和區明穗里莒光路191號,1,893.0,國光派出所,,121.472635,24.998838
大樓,壽德乙區,DA06000024,壽德里,新北市中和區壽德里壽德街12號,1,4375.0,國光派出所,,121.465175,24.995355
大樓,壽德丙區,DA06000025,壽德里,新北市中和區壽德里華順街136號,1,1908.0,國光派出所,,121.464786,24.996073
民德公園,華福活動中心,DA06000026,明德里,新北市中和區明德里民德路311號,1,444.0,國光派出所,,121.467347,24.994784
大樓,合康愛琴,DA06000027,民生里,新北市中和區民生里德光路96巷33號,2,700.0,國光派出所,,121.468007,25.004231
大樓,民德麗境,DA06000028,自強里,新北市中和區自強里民德路140號,1,156.0,國光派出所,,121.468621,25.000552
