類別,電腦編號,村里別,經緯度,地下層數位址,可容納人數,轄管分局,備註
透天,EPA00097,德義里,"24.955626,121.228278",1,30.0,中壢分局,
公寓,EPA00098,德義里,"24.956170,121.224888",1,446.0,中壢分局,
透天,EPA00100,正義里,"24.953113,121.231527",1,40.0,中壢分局,
透天,EPA00101,信義里,"24.952730,121.232600",1,32.0,中壢分局,
透天,EPA00102,信義里,"24.951442,121.233111",1,17.0,中壢分局,
透天,EPA00104,明德里,"24.949262,121.232447",1,64.0,中壢分局,
透天,EPA00105,信義里,"24.949829,121.233623",1,40.0,中壢分局,
透天,EPA00107,普仁里,"24.954775,121.238856",1,33.0,中壢分局,
透天,EPA00109,普強里,"24.952742,121.237685",1,45.0,中壢分局,
透天,EPA00111,普忠里,"24.956017,121.240277",1,160.0,中壢分局,
透天,EPA00112,後寮里,"24.942642,121.236817",1,82.0,中壢分局,
透天,EPA00123,正義里,"24.953919,121.230508",1,22.0,中壢分局,
透天,EPA00124,正義里,"24.953934,121.230898",1,22.0,中壢分局,
透天,EPA00127,健行里,"24.949517,121.224175",1,181.0,中壢分局,
透天,EPA00128,普仁里,"24.955357,121.240077",1,166.0,中壢分局,
公寓,EPA00129,普義里,"24.961060,121.231085",1,400.0,中壢分局,
透天,EPA00130,信義里,"24.952124,121.232604",1,34.0,中壢分局,
透天,EPA00132,信義里,"24.952386,121.231402",1,32.0,中壢分局,
透天,EPA00134,普忠里,"24.954746,121.242498",1,77.0,中壢分局,
透天,EPA00135,明德里,"24.948839,121.229917",1,60.0,中壢分局,
透天,EPA00136,普仁里,"24.954259,121.239036",1,136.0,中壢分局,
透天,EPA00138,正義里,"24.951746,121.228863",1,98.0,中壢分局,
透天,EPA00141,普仁里,"24.954167,121.242211",1,153.0,中壢分局,
透天,EPA00142,信義里,"24.952380,121.233363",1,38.0,中壢分局,
透天,EPA00143,普仁里,"24.953372,121.242414",1,160.0,中壢分局,
透天,EPA00149,龍平里,"24.929247,121.253253",1,25.0,中壢分局,
透天,EPA00151,普仁里,"24.954256,121.239903",1,86.0,中壢分局,
透天,EPA00152,普仁里,"24.955282,121.240689",1,80.0,中壢分局,
透天,EPA00153,普忠里,"24.956113,121.240814",1,120.0,中壢分局,
透天,EPA00154,明德里,"24.947898,121.234231",1,49.0,中壢分局,
透天,EPA00155,普義里,"24.960332,121.231067",1,82.0,中壢分局,
透天,EPA00156,明德里,"24.945843,121.229604",1,46.0,中壢分局,
透天,EPA00158,正義里,"24.951491259328883, 121.2295828",1,34.0,中壢分局,
透天,EPA00159,信義里,"24.952379,121.232624",1,58.0,中壢分局,
透天,EPA00160,普仁里,"24.955236,121.240728",1,133.0,中壢分局,
透天,EPA00162,信義里,"24.952818,121.234184",1,32.0,中壢分局,
透天,EPA00163,仁義里,"24.958693,121.236547",1,113.0,中壢分局,
公寓,EPA00164,普強里,"24.953792,121.236661",1,889.0,中壢分局,
公寓,EPA00165,普仁里,"24.954460,121.239344",1,740.0,中壢分局,
透天,EPA00166,普仁里,"24.954388,121.239485",1,113.0,中壢分局,
透天,EPA00168,明德里,"24.945087,121.229910",1,37.0,中壢分局,
透天,EPA00170,仁義里,"24.960220,121.232502",1,42.0,中壢分局,
透天,EPA00171,後寮里,"24.942819,121.248309",1,133.0,中壢分局,
公寓,EPA00172,明德里,"24.946524,121.230056",1,400.0,中壢分局,
透天,EPA00173,信義里,"24.951428,121.233776",1,34.0,中壢分局,
透天,EPA00176,龍興里,"24.934299,121.236232",1,26.0,中壢分局,
透天,EPA00177,龍興里,"24.934268,121.236344",1,53.0,中壢分局,
透天,EPA00179,普強里,"24.952091,121.236559",1,26.0,中壢分局,
透天,EPA00180,普忠里,"24.955246,121.243490",1,306.0,中壢分局,
透天,EPA00182,普忠里,"24.954581,121.242540",1,80.0,中壢分局,
透天,EPA00184,龍興里,"24.934382,121.236084",1,26.0,中壢分局,
透天,EPA00185,龍興里,"24.934242,121.236226",1,70.0,中壢分局,
透天,EPA00186,龍興里,"24.934403,121.236272",1,24.0,中壢分局,
透天,EPA00187,龍興里,"24.934387,121.236225",1,25.0,中壢分局,
透天,EPA00189,龍平里,"24.930132,121.253737",1,48.0,中壢分局,
透天,EPA00190,正義里,"24.953999,121.231445",1,34.0,中壢分局,
透天,EPA00193,明德里,"24.950365,121.230803",1,41.0,中壢分局,
透天,EPA00194,明德里,"24.945138,121.229874",1,33.0,中壢分局,
透天,EPA00197,明德里,"24.950492,121.230781",1,30.0,中壢分局,
教育機構,EPA00198,明德里,"24.950079,121.229969",1,474.0,中壢分局,
透天,EPA00200,普仁里,"24.956269,121.235698",1,106.0,中壢分局,
大樓,EPA00201,普仁里,"24.953249,121.240689",1,1360.0,中壢分局,
透天,EPA00203,普強里,"24.950703,121.237941",1,37.0,中壢分局,
透天,EPA00206,信義里,"24.950884,121.235013",1,202.0,中壢分局,
透天,EPA00207,普仁里,"24.955775,121.238296",1,73.0,中壢分局,
透天,EPA00208,普強里,"24.954350,121.236935",1,44.0,中壢分局,
透天,EPA00209,普仁里,"24.953485,121.239982",1,73.0,中壢分局,
透天,EPA00210,普強里,"24.954526,121.236883",1,32.0,中壢分局,
透天,EPA00211,仁義里,"24.964004,121.232939",1,202.0,中壢分局,
透天,EPA00213,普仁里,"24.954867,121.237360",1,56.0,中壢分局,
透天,EPA00215,普仁里,"24.954886,121.237325",1,53.0,中壢分局,
透天,EPA00217,普強里,"24.954593,121.237007",1,30.0,中壢分局,
透天,EPA00219,普忠里,"24.956268,121.240544",1,60.0,中壢分局,
透天,EPA00221,普強里,"24.953570,121.237747",1,41.0,中壢分局,
透天,EPA00222,普強里,"24.953586,121.237698",1,34.0,中壢分局,
透天,EPA00224,信義里,"24.952406,121.232698",1,133.0,中壢分局,
透天,EPA00225,正義里,"24.953547,121.230309",1,44.0,中壢分局,
透天,EPA00226,正義里,"24.952577,121.230062",1,32.0,中壢分局,
透天,EPA00228,信義里,"24.951164,121.231025",1,72.0,中壢分局,
透天,EPA00229,信義里,"24.953078,121.232724",1,32.0,中壢分局,
透天,EPA00235,明德里,"24.949171,121.231221",1,45.0,中壢分局,
透天,EPA00237,龍平里,"24.928698,121.251216",1,34.0,中壢分局,
透天,EPA00239,信義里,"24.953755,121.233308",1,57.0,中壢分局,
透天,EPA00240,信義里,"24.952212,121.231744",1,33.0,中壢分局,
大樓,EPA00241,德義里,"24.956979,121.232064",1,1333.0,中壢分局,
透天,EPA00246,普仁里,"24.954192,121.240655",1,60.0,中壢分局,
透天,EPA00248,普仁里,"24.953818,121.240764",1,113.0,中壢分局,
透天,EPA00253,普仁里,"24.952479,121.241133",1,46.0,中壢分局,
透天,EPA00254,普仁里,"24.952703,121.241463",1,42.0,中壢分局,
透天,EPA00255,普強里,"24.953589,121.237672",1,44.0,中壢分局,
透天,EPA00258,普仁里,"24.953536,121.240257",1,46.0,中壢分局,
透天,EPA00259,正義里,"24.954345,121.231217",1,77.0,中壢分局,
透天,EPA00264,信義里,"24.951946,121.231374",1,40.0,中壢分局,
透天,EPA00267,正義里,"24.951350,121.229607",1,45.0,中壢分局,
大樓,EPA00271,龍平里,"24.931872,121.257198",1,2080.0,中壢分局,
透天,EPA00272,新興里,"24.943840,121.223086",1,146.0,中壢分局,
電信,EPA00275,至善里,"24.944760,121.248459",1,1734.0,中壢分局,機敏單位
教育機構,EPA00283,普忠里,"24.957731,121.240549",1,2658.0,中壢分局,
透天,EPA00287,明德里,"24.949818,121.232799",1,117.0,中壢分局,
透天,EPA00288,明德里,"24.948496,121.232597",1,80.0,中壢分局,
透天,EPA00294,明德里,"24.946551,121.231298",1,53.0,中壢分局,
透天,EPA00295,新興里,"24.953175,121.231588",1,36.0,中壢分局,
透天,EPA00296,信義里,"24.950923,121.233787",1,32.0,中壢分局,
透天,EPA00298,明德里,"24.947759,121.233246",1,54.0,中壢分局,
透天,EPA00300,德義里,"24.958406,121.232192",1,178.0,中壢分局,
透天,EPA00303,普仁里,"24.952553,121.241311",1,33.0,中壢分局,
公寓,EPA00307,德義里,"24.957607,121.231677",1,544.0,中壢分局,
透天,EPA00309,明德里,"24.949932,121.233050",1,96.0,中壢分局,
透天,EPA00310,明德里,"24.950033,121.233085",1,42.0,中壢分局,
透天,EPA00311,正義里,"24.952577,121.230127",1,34.0,中壢分局,
透天,EPA00312,正義里,"24.953527,121.230266",1,46.0,中壢分局,
透天,EPA00315,普忠里,"24.959653,121.243815",1,46.0,中壢分局,
透天,EPA00319,正義里,"24.953147,121.232767",1,30.0,中壢分局,
透天,EPA00323,仁義里,"24.958723,121.236746",1,153.0,中壢分局,
透天,EPA00326,仁義里,"24.959415,121.237338",1,52.0,中壢分局,
透天,EPA00327,仁義里,"24.958590,121.236550",1,101.0,中壢分局,
透天,EPA00328,仁義里,"24.958678,121.236625",1,101.0,中壢分局,
透天,EPA00329,仁義里,"24.958581,121.237194",1,146.0,中壢分局,
透天,EPA00331,仁義里,"24.958762,121.236634",1,101.0,中壢分局,
透天,EPA00332,仁義里,"24.958684,121.236988",1,101.0,中壢分局,
透天,EPA00333,仁義里,"24.958751,121.236979",1,101.0,中壢分局,
透天,EPA00335,正義里,"24.955118,121.231627",1,66.0,中壢分局,
透天,EPA00336,信義里,"24.951154,121.231092",1,78.0,中壢分局,
透天,EPA00342,信義里,"24.950580,121.231654",1,37.0,中壢分局,
透天,EPA00345,正義里,"24.953691,121.231026",1,42.0,中壢分局,
透天,EPA00346,普慶里,"24.949194,121.247980",1,266.0,中壢分局,
透天,EPA00352,信義里,"24.952876,121.234227",1,61.0,中壢分局,
透天,EPA00353,普強里,"24.951717,121.240357",1,40.0,中壢分局,
透天,EPA00357,普強里,"24.951683,121.239333",1,40.0,中壢分局,
透天,EPA00361,正義里,"24.954850,121.233655",1,240.0,中壢分局,
透天,EPA00362,信義里,"24.952475,121.231681",1,45.0,中壢分局,
透天,EPA00363,信義里,"24.952484,121.233470",1,62.0,中壢分局,
透天,EPA00364,正義里,"24.951575,121.229618",1,41.0,中壢分局,
公寓,EPA00367,正義里,"24.954914,121.232201",1,400.0,中壢分局,
教育機構,EPA00373,內定里,"24.994873,121.245208",1,669.0,中壢分局,
公寓,EPA00374,內定里,"24.989095,121.240415",1,453.0,中壢分局,
透天,EPA00377,復華里,"24.972392,121.241104",1,365.0,中壢分局,
大樓,EPA00378,文化里,"24.983865,121.246920",1,5465.0,中壢分局,
公寓,EPA00379,內定里,"24.987930,121.244248",1,413.0,中壢分局,
透天,EPA00381,內定里,"24.987564,121.240639",1,246.0,中壢分局,
公寓,EPA00382,復興里,"24.969133,121.244711",1,952.0,中壢分局,
透天,EPA00383,信義里,"24.950939,121.233419",1,25.0,中壢分局,
透天,EPA00384,信義里,"24.951009,121.233223",1,32.0,中壢分局,
透天,EPA00391,後寮里,"24.946691,121.244701",1,25.0,中壢分局,
透天,EPA00392,中建里,"24.956800,121.221427",1,58.0,中壢分局,
透天,EPA00396,中建里,"24.956611,121.221561",1,69.0,中壢分局,
透天,EPA00397,中建里,"24.956673,121.220995",1,56.0,中壢分局,
透天,EPA00398,中建里,"24.956707,121.221314",1,64.0,中壢分局,
透天,EPA00400,中建里,"24.956566,121.221516",1,205.0,中壢分局,
透天,EPA00404,中建里,"24.955862,121.221900",1,56.0,中壢分局,
透天,EPA00405,中建里,"24.955485,121.224384",1,65.0,中壢分局,
透天,EPA00406,振興里,"24.936264,121.233351",1,226.0,中壢分局,
公寓,EPA00407,振興里,"24.927182,121.243575",1、2,413.0,中壢分局,
電力,EPA00411,中央里,"24.957145,121.223697",1,1565.0,中壢分局,機敏單位
公寓,EPA00412,石頭里,"24.954033,121.224410",1、2,457.0,中壢分局,
公寓,EPA00414,興南里,"24.958275,121.223767",1、2,616.0,中壢分局,
大樓,EPA00415,普義里,"24.960775,121.231690",1、2,1896.0,中壢分局,
大樓,EPA00416,普仁里,"24.958889,121.238265",1,1785.0,中壢分局,
公寓,EPA00417,仁福里,"24.941079,121.255339",1,588.0,中壢分局,
透天,EPA00418,林森里,"24.944711,121.226683",1,381.0,中壢分局,
透天,EPA00419,東興里,"24.951493,121.224369",1,177.0,中壢分局,
大樓,EPA00420,新興里,"24.945527,121.223925",1、2,1624.0,中壢分局,
公寓,EPA00421,中建里,"24.957157,121.221768",1,769.0,中壢分局,
透天,EPA00422,中建里,"24.957057,121.222715",1,192.0,中壢分局,
透天,EPA00423,中建里,"24.962588,121.230246",1,162.0,中壢分局,
教育機構,EPA00425,普慶里,"24.948608,121.244492",1、2,1057.0,中壢分局,
大樓,EPA00426,龍慈里,"24.941180,121.245818",1,6849.0,中壢分局,
透天,EPA00428,信義里,"24.952292,121.234278",1、2,392.0,中壢分局,
公寓,EPA00429,中興里,"24.962219,121.258158",1、2,956.0,中壢分局,
大樓,EPA00430,中原里,"24.973783,121.257886",1,1732.0,中壢分局,
大樓,EPA00431,莊敬里,"24.968364,121.257249",1,2309.0,中壢分局,
透天,EPA00433,內定里,"24.989442,121.242130",1,148.0,中壢分局,
透天,EPA00434,內定里,"24.989291,121.247267",1,118.0,中壢分局,
大樓,EPA00435,山東里,"24.993824,121.168701",1、2,1593.0,中壢分局,
大樓,EPA00437,中央里,"24.958962,121.224478",1,1222.0,中壢分局,
大樓,EPA00438,林森里,"24.945063,121.226392",1,1622.0,中壢分局,
大樓,EPA00440,普忠里,"24.957606,121.240754",1,2925.0,中壢分局,
透天,EPA00441,忠孝里,"24.976624,121.255270",1,324.0,中壢分局,
透天,EPA00442,內定里,"24.991341,121.241357",1、2,118.0,中壢分局,
透天,EPA00443,中榮里,"24.987966,121.222098",1、2,349.0,中壢分局,
金融機構,EPA00444,石頭里,"24.956694,121.227058",1,608.0,中壢分局,機敏單位
公寓,EPA00445,信義里,"24.950085,121.234275",1,488.0,中壢分局,
透天,EPA00446,龍德里,"24.938935,121.231470",1、2,133.0,中壢分局,
大賣場,EPA00447,後寮里,"24.946837,121.244583",1,26776.0,中壢分局,
大樓,EPA00449,文化里,"24.981265,121.242672",1,2268.0,中壢分局,
大樓,EPA00450,復興里,"24.978160,121.244396",1,1845.0,中壢分局,
大樓,EPA00451,興平里,"24.963433,121.220349",1,1101.0,中壢分局,
公家機構,EPA00452,五權里,"24.960783,121.192286",1,8741.0,中壢分局,
教育機構,EPA00453,五權里,"24.965733,121.195863",1、2,2756.0,中壢分局,
大樓,EPA00454,自強里,"24.969496,121.257366",1、2,4906.0,中壢分局,
大樓,EPA00455,成功里,"24.982050,121.256608",1,6325.0,中壢分局,
透天,EPA00456,過嶺里,"24.973616,121.175401",1、2,146.0,中壢分局,
大樓,EPA00457,金華里,"24.962475,121.223559",1、2,7416.0,中壢分局,
大樓,EPA00458,興南里,"24.959959,121.223546",1,3480.0,中壢分局,
教育機構,EPA00459,光明里,"24.962378,121.211029",1,1853.0,中壢分局,
透天,EPA00460,永光里,"24.977928,121.214066",1,272.0,中壢分局,
教育機構,EPA00461,光明里,"24.959390,121.215707",1,2796.0,中壢分局,
公寓,EPA00462,光明里,"24.961010,121.213816",1、2,718.0,中壢分局,
大樓,EPA00463,三民里,"24.960965,121.210708",1,1102.0,中壢分局,
透天,EPA00464,舊明里,"24.956046,121.213732",1,385.0,中壢分局,
教育機構,EPA00465,永福里,"24.972386,121.234552",1、2,2373.0,中壢分局,
大樓,EPA00466,興福里,"24.968900,121.232069",1,1860.0,中壢分局,
透天,EPA00467,永光里,"24.967474,121.216535",1,129.0,中壢分局,
透天,EPA00468,永光里,"24.965005,121.214233",1,120.0,中壢分局,
大樓,EPA00470,永光里,"24.964469,121.214237",1,3000.0,中壢分局,
公寓,EPA00472,新明里,"24.961170,121.211349",1,618.0,中壢分局,
教育機構,EPA00473,光明里,"24.959419,121.215792",1,477.0,中壢分局,
大樓,EPA00475,光明里,"24.964751,121.218469",1,1021.0,中壢分局,
透天,EPA00476,永光里,"24.966428,121.217767",1,68.0,中壢分局,
透天,EPA00477,光明里,"24.962582,121.212314",1,49.0,中壢分局,
教育機構,EPA00479,五權里,"24.968350,121.195226",1,954.0,中壢分局,
教育機構,EPA00482,五權里,"24.968213,121.187136",1,2022.0,中壢分局,
透天,EPA00486,五福里,"24.957839,121.208300",1,56.0,中壢分局,
透天,EPA00491,五福里,"24.958493,121.207460",1,53.0,中壢分局,
透天,EPA00492,五福里,"24.958296,121.207135",1,44.0,中壢分局,
透天,EPA00508,五福里,"24.958038,121.207971",1,36.0,中壢分局,
透天,EPA00509,五福里,"24.958010,121.207887",1,36.0,中壢分局,
透天,EPA00511,五福里,"24.958356,121.208082",1,48.0,中壢分局,
透天,EPA00513,五權里,"24.959819,121.206599",1,224.0,中壢分局,
透天,EPA00514,五福里,"24.958084,121.208440",1,74.0,中壢分局,
透天,EPA00518,光明里,"24.961535,121.214594",1,126.0,中壢分局,
大樓,EPA00519,光明里,"24.962008,121.213051",1,4057.0,中壢分局,
公寓,EPA00525,光明里,"24.961683,121.214097",1,741.0,中壢分局,
公寓,EPA00526,光明里,"24.961631,121.214142",1,748.0,中壢分局,
透天,EPA00528,光明里,"24.962739,121.212788",1,52.0,中壢分局,
公寓,EPA00529,光明里,"24.962177,121.214630",1,801.0,中壢分局,
透天,EPA00532,光明里,"24.962705,121.211889",1,53.0,中壢分局,
透天,EPA00533,興平里,"24.963682,121.223131",1,36.0,中壢分局,
透天,EPA00534,五權里,"24.957850,121.203992",1,65.0,中壢分局,
透天,EPA00537,五權里,"24.958624,121.203045",1,180.0,中壢分局,
透天,EPA00540,仁義里,"24.961056,121.231932",1,66.0,中壢分局,
透天,EPA00541,正義里,"24.954695,121.230328",1,277.0,中壢分局,
公寓,EPA00543,普仁里,"24.955031,121.241248",1,560.0,中壢分局,
透天,EPA00545,普仁里,"24.954683,121.239089",1,53.0,中壢分局,
透天,EPA00546,普仁里,"24.954602,121.238950",1,53.0,中壢分局,
透天,EPA00548,普仁里,"24.954100,121.242015",1,93.0,中壢分局,
透天,EPA00549,普仁里,"24.954903,121.239811",1,160.0,中壢分局,
透天,EPA00551,信義里,"24.950225,121.232166",1,38.0,中壢分局,
教育機構,EPA00552,明德里,"24.947403,121.228262",1,18.0,中壢分局,
透天,EPA00563,明德里,"24.946481,121.229575",1,168.0,中壢分局,
公寓,EPA00573,後寮里,"24.940134,121.245349",1,780.0,中壢分局,
大樓,EPA00574,後寮里,"24.944200,121.244669",1,4685.0,中壢分局,
大樓,EPA00577,德義里,"24.957443,121.231654",1,1240.0,中壢分局,
大樓,EPA00578,信義里,"24.953121,121.234413",1,4284.0,中壢分局,
公寓,EPA00579,普義里,"24.960471,121.231750",1,650.0,中壢分局,
大樓,EPA00582,信義里,"24.953319,121.232226",1,1158.0,中壢分局,
透天,EPA00583,普強里,"24.950647,121.238552",1,146.0,中壢分局,
公寓,EPA00584,明德里,"24.946369,121.230313",1,613.0,中壢分局,
大樓,EPA00589,普義里,"24.960790,121.231749",1,1040.0,中壢分局,
透天,EPA00591,後寮里,"24.940499,121.242423",1,234.0,中壢分局,
透天,EPA00594,仁義里,"24.959104,121.236206",1,53.0,中壢分局,
透天,EPA00596,仁義里,"24.959114,121.238689",1,132.0,中壢分局,
大樓,EPA00599,普仁里,"24.955785,121.237963",1,2000.0,中壢分局,
透天,EPA00601,仁義里,"24.959327,121.236247",1,100.0,中壢分局,
透天,EPA00602,仁義里,"24.959011,121.236436",1,52.0,中壢分局,
透天,EPA00603,仁義里,"24.959280,121.236242",1,120.0,中壢分局,
透天,EPA00604,仁義里,"24.959221,121.235909",1,52.0,中壢分局,
透天,EPA00607,仁義里,"24.959179,121.236095",1,100.0,中壢分局,
透天,EPA00608,仁義里,"24.959335,121.235988",1,106.0,中壢分局,
透天,EPA00610,仁義里,"24.958970,121.237289",1,196.0,中壢分局,
透天,EPA00611,仁義里,"24.958941,121.237311",1,106.0,中壢分局,
透天,EPA00612,仁義里,"24.959019,121.237139",1,108.0,中壢分局,
透天,EPA00614,普仁里,"24.955809,121.237102",1,80.0,中壢分局,
透天,EPA00615,正義里,"24.955164,121.231215",1,26.0,中壢分局,
透天,EPA00619,信義里,"24.950419,121.231637",1,318.0,中壢分局,
透天,EPA00620,信義里,"24.950419,121.230738",1,356.0,中壢分局,
公寓,EPA00622,普強里,"24.954229,121.237248",1,796.0,中壢分局,
透天,EPA00623,普強里,"24.954665,121.237033",1,297.0,中壢分局,
公寓,EPA00624,普忠里,"24.959609,121.243886",1,608.0,中壢分局,
大樓,EPA00625,信義里,"24.953019,121.233630",1,1269.0,中壢分局,
透天,EPA00626,明德里,"24.948264,121.233544",1,34.0,中壢分局,
透天,EPA00628,明德里,"24.948470,121.233942",1,86.0,中壢分局,
公寓,EPA00629,正義里,"24.953403,121.230250",1,713.0,中壢分局,
透天,EPA00630,信義里,"24.950544,121.234379",1,312.0,中壢分局,
公寓,EPA00631,信義里,"24.954727,121.235622",1,420.0,中壢分局,
透天,EPA00632,仁義里,"24.960000,121.232642",1,38.0,中壢分局,
透天,EPA00636,普強里,"24.952832,121.238321",1、2,390.0,中壢分局,
公寓,EPA00637,普強里,"24.958657,121.243859",1,534.0,中壢分局,
透天,EPA00638,普忠里,"24.956623,121.241058",1,80.0,中壢分局,
透天,EPA00640,正義里,"24.953791,121.232334",1,22.0,中壢分局,
透天,EPA00641,正義里,"24.953712,121.232251",1,22.0,中壢分局,
透天,EPA00642,正義里,"24.954944,121.230603",1,25.0,中壢分局,
透天,EPA00643,正義里,"24.955056,121.230601",1,24.0,中壢分局,
透天,EPA00645,普強里,"24.951827,121.237705",1,72.0,中壢分局,
大樓,EPA00650,德義里,"24.956877,121.232711",1,1276.0,中壢分局,
透天,EPA00652,普仁里,"24.955298,121.237248",1,46.0,中壢分局,
透天,EPA00653,普仁里,"24.955540,121.241422",1,46.0,中壢分局,
透天,EPA00654,普仁里,"24.956232,121.236547",1,80.0,中壢分局,
透天,EPA00656,信義里,"24.950909,121.231066",1,58.0,中壢分局,
透天,EPA00657,普仁里,"24.954544,121.238827",1,66.0,中壢分局,
透天,EPA00662,普強里,"24.950381,121.236522",1,26.0,中壢分局,
透天,EPA00664,信義里,"24.950741,121.234230",1,44.0,中壢分局,
透天,EPA00665,正義里,"24.953847,121.230697",1,21.0,中壢分局,
透天,EPA00666,正義里,"24.953985,121.231139",1,21.0,中壢分局,
透天,EPA00670,興平里,"24.960873,121.219638",1,20.0,中壢分局,
透天,EPA00671,興國里,"24.960289,121.221352",1,49.0,中壢分局,
透天,EPA00672,興國里,"24.964339,121.220350",1,52.0,中壢分局,
透天,EPA00673,興平里,"24.960532,121.219605",1,56.0,中壢分局,
透天,EPA00676,舊明里,"24.956264,121.217263",1,73.0,中壢分局,
透天,EPA00678,舊明里,"24.957975,121.207135",1,33.0,中壢分局,
透天,EPA00680,舊明里,"24.954104,121.216657",1,68.0,中壢分局,
透天,EPA00682,五福里,"24.957730,121.208135",1,88.0,中壢分局,
透天,EPA00685,五福里,"24.956423,121.210947",1,302.0,中壢分局,
透天,EPA00686,五福里,"24.957432,121.208842",1,114.0,中壢分局,
透天,EPA00689,五權里,"24.957621,121.204305",1,33.0,中壢分局,
透天,EPA00690,五權里,"24.957704,121.204275",1,77.0,中壢分局,
公寓,EPA00691,光明里,"24.964009,121.217344",1,472.0,中壢分局,
公寓,EPA00694,光明里,"24.961884,121.217241",1,737.0,中壢分局,
透天,EPA00695,光明里,"24.958849,121.216933",1,65.0,中壢分局,
公寓,EPA00698,光明里,"24.959344,121.217102",1,689.0,中壢分局,
公寓,EPA00701,光明里,"24.960417,121.215136",1、2,509.0,中壢分局,
大樓,EPA00702,光明里,"24.960954,121.217827",1,1344.0,中壢分局,
透天,EPA00703,三民里,"24.963733,121.208450",1,82.0,中壢分局,
透天,EPA00707,三民里,"24.955743,121.216315",1,100.0,中壢分局,
透天,EPA00708,三民里,"24.962264,121.207951",1,53.0,中壢分局,
大樓,EPA00711,永光里,"24.966514,121.218687",1,4014.0,中壢分局,
透天,EPA00712,永光里,"24.964500,121.229314",1,40.0,中壢分局,
透天,EPA00716,三民里,"24.959938,121.210773",1,86.0,中壢分局,
教育機構,EPA00718,三民里,"24.958607,121.218078",1,1938.0,中壢分局,
