編號,里別,地址,可容納人數,經度,緯度,轄管分局,避難所在之地下樓層數
46.0,長榮里,臺中市大里區長榮里5鄰益民路2段60號,11.0,120.686091,24.106873,霧峰分局,1.0
47.0,長榮里,臺中市大里區長榮里5鄰益民路2段58號,11.0,120.686041,24.106873,霧峰分局,1.0
48.0,長榮里,臺中市大里區長榮里5鄰益民路2段64號,18.0,120.686192,24.106865,霧峰分局,1.0
49.0,永隆里,臺中市大里區永隆里6鄰永隆8街166號,547.0,120.675626,24.114309,霧峰分局,1.0
50.0,永隆里,臺中市大里區永隆里6鄰東榮路602號,108.0,120.67807,24.109449,霧峰分局,1.0
51.0,長榮里,臺中市大里區長榮里7鄰新芳路55號,746.0,120.686492,24.103748,霧峰分局,1.0
52.0,長榮里,臺中市大里區長榮里3鄰東明路520號,347.0,120.677656,24.112156,霧峰分局,1.0
53.0,永隆里,臺中市大里區永隆里4鄰永隆八街102號,451.0,120.676904,24.114292,霧峰分局,1.0
54.0,永隆里,臺中市大里區永隆里14鄰永隆五街2號,798.0,120.677613,24.111184,霧峰分局,1.0
55.0,國光里,臺中市大里區國光里8鄰東榮路369號,6108.0,120.683474,24.109529,霧峰分局,2.0
56.0,永隆里,臺中市大里區永隆里5鄰國光路2段779號,236.0,120.679187,24.116477,霧峰分局,2.0
57.0,永隆里,臺中市大里區永隆里15鄰永隆三街1號,1281.0,120.678418,24.107658,霧峰分局,1.0
58.0,永隆里,臺中市大里區永隆里3鄰大明路448號,571.0,120.676944,24.115178,霧峰分局,2.0
59.0,永隆里,臺中市大里區永隆里3鄰大明路460號,614.0,120.676519,24.115163,霧峰分局,2.0
60.0,國光里,臺中市大里區國光里7鄰永興路7號,614.0,120.682776,24.106079,霧峰分局,1.0
61.0,長榮里,臺中市大里區長榮里5鄰德芳南路296號,1625.0,120.68612,24.103036,霧峰分局,2.0
62.0,永隆里,臺中市大里區永隆里11鄰國光路2段481號,569.0,120.679053,24.110955,霧峰分局,2.0
63.0,永隆里,臺中市大里區永隆里5鄰永隆五街3號,245.0,120.678272,24.110739,霧峰分局,1.0
64.0,永隆里,臺中市大里區永隆里5鄰永大街377號,490.0,120.677733,24.113889,霧峰分局,2.0
65.0,永隆里,臺中市大里區永隆里3鄰大明路410號,2034.0,120.677452,24.115232,霧峰分局,2.0
66.0,長榮里,臺中市大里區長榮里8鄰德芳南路292號,2801.0,120.686217,24.103001,霧峰分局,3.0
67.0,長榮里,臺中市大里區長榮里5鄰益民路2段62號,17.0,120.686137,24.10686,霧峰分局,1.0
68.0,永隆里,臺中市大里區永隆里3鄰大明路486號,1092.0,120.67466,24.115125,霧峰分局,4.0
69.0,東興里,臺中市大里區東興里16鄰爽文路955號,409.0,120.674501,24.110657,霧峰分局,3.0
70.0,東興里,臺中市大里區東興里30鄰新生西路199號,849.0,120.685129,24.10531,霧峰分局,3.0
71.0,國光里,臺中市大里區國光里12德芳南路478號,584.0,120.682145,24.104928,霧峰分局,1.0
72.0,長榮里,臺中市大里區長榮里27鄰中興路二段119號,566.0,120.688759,24.104107,霧峰分局,2.0
73.0,永隆里,臺中市大里區永隆里3鄰爽文路1222號,354.0,120.674454,24.11605,霧峰分局,3.0
74.0,永隆里,臺中市大里區永隆里6鄰爽文路1090號,647.0,120.674687,24.113856,霧峰分局,5.0
75.0,永隆里,臺中市大里區永隆里27鄰大明路398號,309.0,120.677794,24.11517,霧峰分局,3.0
76.0,東興里,臺中市大里區東興里29鄰國光路2段398號,1400.0,120.679758,24.1097409,霧峰分局,4.0
77.0,大明里,臺中市大里區大明里20鄰東興路66號之1,313.0,120.681436,24.116179,霧峰分局,1.0
78.0,永隆里,臺中市大里區永隆里13鄰東榮路652號,533.0,120.67678,24.109517,霧峰分局,1.0
79.0,永隆里,臺中市大里區永隆里6鄰永隆八街172號,336.0,120.675487,24.114305,霧峰分局,1.0
80.0,國光里,臺中市大里區國光里2鄰東榮路483號,1466.0,120.680431,24.109265,霧峰分局,2.0
81.0,長榮里,臺中市大里市長榮里1鄰中興路2段153巷6號,2390.0,120.688784,24.105401,霧峰分局,1.0
82.0,永隆里,臺中市大里區永隆里29鄰永隆九街65號,1369.0,120.676575,24.115757,霧峰分局,1.0
83.0,永隆里,臺中市大里區永隆里31鄰大明路569號,562.0,120.672508,24.114726,霧峰分局,3.0
84.0,永隆里,臺中市大里區永隆里3鄰環河路107號,764.0,120.674738,24.116285,霧峰分局,3.0
85.0,東興里,臺中市大里市東興里8鄰大明路135號,2545.0,120.685474,24.115165,霧峰分局,1.0
86.0,東興里,臺中市大里區東興里29鄰國光路二段500號,924.0,120.6796309,24.1102287,霧峰分局,3.0
87.0,國光里,臺中市大里區國光里9鄰永興路16號,232.0,120.682891,24.106227,霧峰分局,1.0
88.0,東興里,臺中市大里區東興里29鄰大德街20號,937.0,120.67978,24.111817,霧峰分局,1.0
89.0,東興里,臺中市大里區東興里17鄰東明路347號,545.0,120.680935,24.112655,霧峰分局,1.0
90.0,永隆里,臺中市大里市永隆里5鄰永隆八街92巷2號,702.0,120.677125,24.114453,霧峰分局,2.0
91.0,永隆里,臺中市大里區永隆里5鄰永隆八街80號,466.0,120.677355,24.114487,霧峰分局,2.0
92.0,永隆里,臺中市大里區永隆里12鄰永隆五街39號,1391.0,120.677417,24.110745,霧峰分局,2.0
93.0,立仁里,臺中市大里區立仁里20鄰立新街338號,793.0,120.699392,24.105169,霧峰分局,1.0
94.0,立仁里,臺中市大里區立仁里20鄰甲堤路236號,946.0,120.696282,24.104632,霧峰分局,1.0
95.0,立德里,臺中市大里區立德里26鄰自強街291號,936.0,120.697693,24.101869,霧峰分局,1.0
96.0,立德里,臺中市大里區立德里22鄰立中街96號,335.0,120.697281,24.103022,霧峰分局,1.0
97.0,立仁里,臺中市大里區立仁里20鄰立新街338號,386.0,120.699397,24.105174,霧峰分局,1.0
98.0,立仁里,臺中市大里區立仁里22立新二街85號,184.0,120.69754,24.104124,霧峰分局,1.0
99.0,立仁里,臺中市大里區立仁里22鄰立新二街87號,89.0,120.697471,24.10412,霧峰分局,1.0
100.0,立德里,臺中市大里區立德里22鄰立新二街89號,90.0,120.697427,24.10412,霧峰分局,1.0
101.0,立德里,臺中市大里區立德里22鄰立新二街91號,90.0,120.697381,24.104107,霧峰分局,1.0
102.0,立德里,臺中市大里區立德里22新甲路56號,1672.0,120.697653,24.102578,霧峰分局,2.0
103.0,立德里,臺中市大里區立德里28鄰甲堤南路70號,1642.0,120.695215,24.102336,霧峰分局,2.0
104.0,立德里,臺中市大里區立德里23鄰新甲路92號,224.0,120.696479,24.102541,霧峰分局,1.0
105.0,新仁里,臺中市大里區新仁里5鄰新仁路一段71之3號,1773.0,120.707425,24.111659,霧峰分局,1.0
106.0,立仁里,臺中市大里區立仁里1鄰甲堤路328號,370.0,120.698464,24.109331,霧峰分局,2.0
107.0,立德里,臺中市大里區立德里26鄰自強街33號,230.0,120.697685,24.102253,霧峰分局,2.0
108.0,立仁里,臺中市大里區立仁里3鄰甲興路100號,357.0,120.69806,24.106756,霧峰分局,1.0
109.0,立德里,臺中市大里區立德里31鄰立新2街83號,168.0,"120.697748850624 ","24.104383998248 ",霧峰分局,1.0
110.0,立德里,臺中市大里區立德里22鄰立新二街57號,707.0,120.698196,24.1041,霧峰分局,2.0
111.0,中正里,臺中市霧峰區中正里1鄰民生路58號,40.0,120.70042,24.065529,霧峰分局,1.0
112.0,中正里,臺中市霧峰區中正里10鄰中正路933號,1638.0,120.69846,24.065384,霧峰分局,1.0
113.0,中正里,臺中市霧峰區中正里5鄰民生路46巷2號,429.0,120.700475,24.064962,霧峰分局,1.0
114.0,中正里,臺中市霧峰區中正里13鄰林森路767號,120.0,120.695806,24.066212,霧峰分局,1.0
115.0,本鄉里,臺中市霧峰區本鄉里5鄰民權街37號,5.0,120.700394,24.06687,霧峰分局,1.0
116.0,坑口里,臺中市霧峰區坑口里31鄰中正路557巷18號,112.0,120.691832,24.047017,霧峰分局,1.0
117.0,坑口里,臺中市霧峰區坑口里31鄰中正路561號,154.0,120.691414,24.045309,霧峰分局,1.0
118.0,中正里,臺中市霧峰區中正里9鄰四德路10號,1118.0,120.698059,24.06488,霧峰分局,2.0
119.0,本鄉里,臺中市霧峰區本鄉里1鄰民生路66號,23.0,120.700493,24.065936,霧峰分局,1.0
120.0,本堂里,臺中市霧峰區本堂里23鄰樹仁六街88號,55.0,120.695738,24.05989,霧峰分局,1.0
121.0,萊園里,臺中市霧峰區萊園里8鄰萊園路91號,962.0,120.702989,24.06176,霧峰分局,1.0
122.0,本堂里,臺中市霧峰區本堂里19鄰樹仁路194號,325.0,120.6962,24.058293,霧峰分局,1.0
123.0,本堂里,臺中市霧峰區本堂里9鄰中正路736號,485.0,120.699388,24.057574,霧峰分局,1.0
124.0,本堂里,臺中市霧峰區本堂里13鄰蘭生街61號,1903.0,120.696793,24.056564,霧峰分局,1.0
125.0,中正里,臺中市霧峰區中正里14鄰振德街29巷1號,2490.0,120.697722,24.065858,霧峰分局,2.0
126.0,本堂里,臺中市霧峰區本堂里23鄰樹仁六街68號,151.0,120.695682,24.060306,霧峰分局,1.0
127.0,本堂里,臺中市霧峰區本堂里13鄰蘭生街48號,812.0,120.696831,24.056085,霧峰分局,1.0
128.0,本堂里,臺中市霧峰區本堂里29鄰樹仁五街17號,667.0,120.696244,24.062466,霧峰分局,1.0
129.0,坑口里,臺中市霧峰區坑口里31鄰中正路523號,583.0,120.692064,24.045218,霧峰分局,1.0
130.0,本鄉里,臺中市霧峰區本鄉里1鄰民生路78號,629.0,120.700788,24.066449,霧峰分局,1.0
131.0,本堂里,臺中市霧峰區本堂里21鄰中正路737號,213.0,120.697777,24.059573,霧峰分局,1.0
132.0,本堂里,臺中市霧峰區本堂里23鄰樹仁路130號,248.0,120.696378,24.060554,霧峰分局,1.0
133.0,坑口里,臺中市霧峰區坑口里3鄰新生路5號,536.0,120.692624,24.045089,霧峰分局,1.0
134.0,本堂里,臺中市霧峰區本堂里14鄰樹仁路239號,276.0,120.697063,24.057375,霧峰分局,2.0
135.0,坑口里,臺中市霧峰區坑口里2鄰中正路706巷17號,1506.0,120.694865,24.050052,霧峰分局,1.0
136.0,本堂里,臺中市霧峰區本堂里9鄰中正路738-2號,788.0,120.699347,24.058987,霧峰分局,1.0
137.0,本堂里,臺中市霧峰區本堂里9鄰中正路738-4號,2657.0,120.698565,24.058959,霧峰分局,2.0
138.0,萬豐里,臺中市霧峰區萬豐里16鄰中正路189號,255.0,120.688006,24.031375,霧峰分局,1.0
139.0,舊正里,臺中市霧峰區舊正里20鄰中正路91巷5號,958.0,120.695387,24.018698,霧峰分局,1.0
140.0,南勢里,臺中市霧峰區南勢里02鄰豐正路工業巷9號,240.0,120.676823,24.030281,霧峰分局,1.0
141.0,丁台里,臺中市霧峰區丁台里06鄰丁台路537號,93.0,120.674682,24.045966,霧峰分局,1.0
142.0,南勢里,臺中市霧峰區南勢里02鄰豐正路566號,120.0,120.669547,24.03568,霧峰分局,1.0
143.0,六股里,臺中市霧峰區六股里11鄰六股路73巷18號,611.0,120.689116,24.036993,霧峰分局,1.0
144.0,大里里,臺中市大里區大里里15鄰長興一街79號,897.0,120.680276,24.098152,霧峰分局,1.0
145.0,大里里,臺中市大里區大里里16鄰長興一街80號,807.0,120.68035,24.098077,霧峰分局,1.0
146.0,大里里,臺中市大里區大里里16鄰長興三街18號,33.0,120.679735,24.097977,霧峰分局,1.0
147.0,大里里,臺中市大里區大里里8鄰大里路461號,23.0,120.671415,24.096922,霧峰分局,1.0
148.0,大里里,臺中市大里區大里里8鄰大里路441號,23.0,120.67405,24.097574,霧峰分局,1.0
149.0,新里里,臺中市大里區新里里19鄰愛心一街18號,42.0,120.681045,24.10083,霧峰分局,1.0
150.0,新里里,臺中市大里區新里里34鄰青松街172號,42.0,120.681671,24.100829,霧峰分局,1.0
151.0,新里里,臺中市大里區新里里34鄰青松街112號,42.0,120.681451,24.101979,霧峰分局,1.0
152.0,新里里,臺中市大里區新里里14鄰新興路將軍二巷8號,26.0,120.677747,24.098726,霧峰分局,1.0
153.0,新里里,臺中市大里區新里里18鄰新興路99巷16弄56號,16.0,120.676092,24.100629,霧峰分局,1.0
154.0,大元里,臺中市大里區大元里17鄰國中一路25巷17號,104.0,120.685088,24.093893,霧峰分局,1.0
155.0,大元里,臺中市大里區大元里7鄰大衛路38號,34.0,120.68205,24.093716,霧峰分局,1.0
156.0,大元里,臺中市大里區大元里7鄰大衛路46號,126.0,120.681286,24.094676,霧峰分局,1.0
157.0,大元里,臺中市大里區大元里7鄰國中二路2號,34.0,120.683855,24.095319,霧峰分局,1.0
158.0,大元里,臺中市大里區大元里7鄰大衛路34號,151.0,120.682493,24.093664,霧峰分局,1.0
159.0,大元里,臺中市大里區大元里7鄰大衛路37巷3號,120.0,120.681127,24.093834,霧峰分局,1.0
160.0,大元里,臺中市大里區大元里7鄰國中二路16號,350.0,120.682937,24.09488,霧峰分局,1.0
161.0,大元里,臺中市大里區大元里21鄰國中路292號,63.0,120.679684,24.095577,霧峰分局,1.0
162.0,大元里,臺中市大里區大元里18鄰中興路二段73-15號,24.0,120.685907,24.099023,霧峰分局,1.0
163.0,大元里,臺中市大里區大元里18鄰中興路二段73-16號,26.0,120.685555,24.099033,霧峰分局,1.0
164.0,大元里,臺中市大里區大元里16鄰大衛路37巷6號,24.0,120.68092,24.093901,霧峰分局,1.0
165.0,大元里,臺中市大里區大元里21鄰國中路30號,33.0,120.685246,24.095854,霧峰分局,1.0
166.0,大元里,臺中市大里區大元里18鄰中興路二段73-11號,66.0,120.686291,24.099075,霧峰分局,1.0
167.0,大元里,臺中市大里區大元里16鄰大衛路29號,72.0,120.68223,24.093193,霧峰分局,1.0
168.0,大元里,臺中市大里區大元里16鄰大衛路31巷11號,34.0,120.680591,24.093706,霧峰分局,1.0
169.0,大元里,臺中市大里區大元里8鄰夏元路6號,173.0,120.678234,24.09052,霧峰分局,1.0
170.0,大元里,臺中市大里區大元里21鄰國中路186號,128.0,120.682199,24.096237,霧峰分局,1.0
171.0,大元里,臺中市大里區大元里11鄰國光路一段74號,30.0,120.684428,24.097401,霧峰分局,1.0
172.0,大元里,臺中市大里區大元里15鄰國光路一段121號,75.0,120.683738,24.097389,霧峰分局,1.0
173.0,大元里,臺中市大里區大元里22鄰國中路365號,528.0,120.678576,24.094521,霧峰分局,1.0
174.0,大元里,臺中市大里區大元里11鄰國光路一段16號,275.0,120.685775,24.096409,霧峰分局,1.0
175.0,大元里,臺中市大里區大元里11鄰國光路一段82號,177.0,120.684239,24.097986,霧峰分局,1.0
176.0,大元里,臺中市大里區大元里11鄰中興路二段69號之10,78.0,120.686861,24.098045,霧峰分局,1.0
177.0,樹王里,臺中市大里區樹王里12鄰東興路537號,53.0,120.661954,24.102045,霧峰分局,1.0
178.0,樹王里,臺中市大里區樹王里12鄰東興路506號,58.0,120.665559,24.10453,霧峰分局,1.0
179.0,樹王里,臺中市大里區樹王里14鄰樹王路342號,500.0,120.666982,24.111825,霧峰分局,1.0
180.0,國光里,臺中市大里區國光里15鄰大里二街86號,585.0,120.685917,24.102062,霧峰分局,2.0
181.0,樹王里,臺中市大里區樹王里14鄰樹王路342號,738.0,120.666985,24.111829,霧峰分局,1.0
182.0,新里里,臺中市大里區新里里5鄰新興路97號,661.0,120.676841,24.100226,霧峰分局,1.0
183.0,新里里,臺中市大里區新里里29鄰德芳路二段105號,1750.0,120.678146,24.103668,霧峰分局,3.0
184.0,新里里,臺中市大里區新里里14鄰長興一街2號,3450.0,120.678135,24.098906,霧峰分局,4.0
185.0,大里里,臺中市大里區大里里12鄰瓦瑤路16號,260.0,120.668637,24.096274,霧峰分局,2.0
186.0,大里里,臺中市大里區大里里3鄰大里路320號,790.0,120.678124,24.097751,霧峰分局,4.0
187.0,樹王里,臺中市大里區樹王里14鄰樹王路425號,697.0,120.665684,24.111244,霧峰分局,1.0
188.0,新里里,臺中市大里區新里里29鄰德芳路2段145號,732.0,120.677118,24.103333,霧峰分局,3.0
189.0,國光里,臺中市大里區國光里16鄰國光路1段258號,2071.0,120.683251,24.099986,霧峰分局,1.0
190.0,大里里,臺中市大里區大里里17鄰勝利二路11號,2529.0,120.6834941,24.1007007,霧峰分局,3.0
191.0,新里里,臺中市大里區新里里30鄰大新街34之6號,732.0,120.678719,24.099876,霧峰分局,1.0
192.0,新里里,臺中市大里區新里里1鄰上田街46之1號2樓之2,1147.0,120.679755,24.102987,霧峰分局,2.0
193.0,國光里,臺中市大里區國光里16鄰德芳南路201號,1768.0,120.687602,24.101843,霧峰分局,4.0
194.0,甲寅里,臺中市霧峰區甲寅里4鄰中正路1222號,561.0,120.702434,24.072468,霧峰分局,1.0
195.0,甲寅里,臺中市霧峰區甲寅里4鄰中正路1208號,761.0,120.699739,24.071889,霧峰分局,1.0
196.0,甲寅里,臺中市霧峰區甲寅里17鄰中正路1070號,441.0,120.699323,24.068386,霧峰分局,1.0
197.0,甲寅里,臺中市霧峰區甲寅里17鄰中正路1056巷29號,35.0,120.699849,24.0679,霧峰分局,1.0
198.0,甲寅里,臺中市霧峰區甲寅里17鄰德泰街103號,24.0,120.701794,24.068279,霧峰分局,1.0
199.0,甲寅里,臺中市霧峰區甲寅里16鄰民生路193號,823.0,120.702298,24.069524,霧峰分局,1.0
200.0,甲寅里,臺中市霧峰區甲寅里17鄰民生路156號,1148.0,120.703154,24.070314,霧峰分局,1.0
201.0,甲寅里,臺中市霧峰區甲寅里23鄰民生路172號之48,127.0,120.704001,24.071262,霧峰分局,1.0
202.0,吉峰里,臺中市霧峰區吉峰里2鄰吉峰西路35號,42.0,120.713044,24.07958,霧峰分局,1.0
203.0,吉峰里,臺中市霧峰區吉峰里2鄰吉峰西路68號,341.0,120.711263,24.079446,霧峰分局,1.0
204.0,吉峰里,臺中市霧峰區吉峰里23鄰民生路349號,1297.0,120.719166,24.079746,霧峰分局,1.0
205.0,吉峰里,臺中市霧峰區吉峰里23鄰民生路391巷54號,156.0,120.720117,24.078897,霧峰分局,1.0
206.0,吉峰里,臺中市霧峰區吉峰里23鄰民生路396號,521.0,120.720592,24.077988,霧峰分局,1.0
207.0,吉峰里,臺中市霧峰區吉峰里11鄰吉峰東路168號,1592.0,120.715998,24.069148,霧峰分局,1.0
208.0,吉峰里,臺中市霧峰區吉峰里32鄰吉峰東路60號,367.0,120.714327,24.074265,霧峰分局,1.0
209.0,吉峰里,臺中市霧峰區吉峰里32鄰民生路216號,102.0,120.71291,24.075023,霧峰分局,1.0
210.0,吉峰里,臺中市霧峰區吉峰里12鄰中正路1065巷18號,124.0,120.698966,24.068076,霧峰分局,1.0
211.0,吉峰里,臺中市霧峰區吉峰里12鄰中正路1291號,116.0,120.699277,24.076693,霧峰分局,1.0
212.0,吉峰里,臺中市霧峰區吉峰里12鄰中正路1293號,116.0,120.699309,24.076674,霧峰分局,1.0
213.0,吉峰里,臺中市霧峰區吉峰里12鄰中正路1295號,116.0,120.699275,24.076819,霧峰分局,1.0
214.0,吉峰里,臺中市霧峰區吉峰里14鄰吉峰路74號,50.0,120.703995,24.075794,霧峰分局,1.0
215.0,吉峰里,臺中市霧峰區吉峰里12鄰中正路1236號,415.0,120.700167,24.075299,霧峰分局,1.0
216.0,甲寅里,臺中市霧峰區甲寅里20鄰草湖路22號,26.0,120.698451,24.068167,霧峰分局,1.0
217.0,甲寅里,臺中市霧峰區甲寅里28鄰中正路1109號,181.0,120.699109,24.069248,霧峰分局,1.0
218.0,甲寅里,臺中市霧峰區甲寅里27鄰林森路947號,1352.0,120.69601,24.069983,霧峰分局,1.0
219.0,甲寅里,臺中市霧峰區甲寅里27鄰林森路976號,491.0,120.697821,24.071138,霧峰分局,1.0
220.0,甲寅里,臺中市霧峰區甲寅里20鄰草湖路62號,11724.0,120.697893,24.068818,霧峰分局,1.0
221.0,吉峰里,臺中市霧峰區吉峰里22鄰民生路296巷51號,30.0,120.718032,24.075835,霧峰分局,1.0
222.0,吉峰里,臺中市霧峰區吉峰里22鄰民生路296巷49號,30.0,120.718026,24.075784,霧峰分局,1.0
223.0,吉峰里,臺中市霧峰區吉峰里22鄰民生路296巷47號,34.0,120.718034,24.075751,霧峰分局,1.0
224.0,吉峰里,臺中市霧峰區吉峰里22鄰民生路296巷57號,34.0,120.718034,24.075989,霧峰分局,1.0
225.0,吉峰里,臺中市霧峰區吉峰里22鄰民生路296巷55號,30.0,120.718034,24.075942,霧峰分局,1.0
226.0,吉峰里,臺中市霧峰區吉峰里22鄰民生路296巷53號,30.0,120.718028,24.075879,霧峰分局,1.0
227.0,吉峰里,臺中市霧峰區吉峰里22鄰民生路312號,221.0,120.718217,24.077731,霧峰分局,1.0
228.0,吉峰里,臺中市霧峰區吉峰里1鄰吉峰路101號,555.0,120.710946,24.077451,霧峰分局,1.0
229.0,吉峰里,臺中市霧峰區吉峰里15鄰吉峰路61號,42.0,120.703414,24.076576,霧峰分局,1.0
230.0,吉峰里,臺中市霧峰區吉峰里15鄰吉峰路31號,175.0,120.70246,24.076279,霧峰分局,1.0
231.0,吉峰里,臺中市霧峰區吉峰里15鄰吉峰路21號,62.0,120.701549,24.076288,霧峰分局,1.0
232.0,吉峰里,臺中市霧峰區吉峰里15鄰吉峰路71號,994.0,120.705377,24.076442,霧峰分局,1.0
233.0,吉峰里,臺中市霧峰區吉峰里10鄰自強路201號,375.0,120.711797,24.071406,霧峰分局,1.0
234.0,吉峰里,臺中市霧峰區吉峰里39鄰錦州路499號,551.0,120.70919,24.080352,霧峰分局,1.0
235.0,甲寅里,臺中市霧峰區甲寅里3鄰德維西街19號,1483.0,120.698798,24.071423,霧峰分局,1.0
236.0,祥興里,臺中市大里區祥興里26鄰亞洲街147巷1號,26.0,120.6886,24.124205,霧峰分局,1.0
237.0,祥興里,臺中市大里區祥興里26鄰亞洲街147巷2號,37.0,120.688422,24.124122,霧峰分局,1.0
238.0,祥興里,臺中市大里區祥興里26鄰亞洲街147巷3號,26.0,120.688554,24.124139,霧峰分局,1.0
239.0,祥興里,臺中市大里區祥興里26鄰亞洲街147巷4號,28.0,120.688384,24.124065,霧峰分局,1.0
240.0,祥興里,臺中市大里區祥興里26鄰亞洲街147巷5號,26.0,120.688511,24.124079,霧峰分局,1.0
241.0,祥興里,臺中市大里區祥興里26鄰亞洲街147巷6號,28.0,120.688341,24.124014,霧峰分局,1.0
