類別,建築物名稱,電腦編號,村里別,地址,緯經度,地下樓層數,可容納人數,備註
一般建築,,MMA0047,慶安里,嘉義市西區慶安里博愛路一段393號之1,"23.48488,120.44253",1.0,26.0,
一般建築,,MMA0048,慶安里,嘉義市西區慶安里博愛路一段393號,"23.48491,120.44255",1.0,30.0,
一般建築,,MMA0049,慶安里,嘉義市西區慶安里博愛路一段391號,"23.48494,120.44258",1.0,25.0,
一般建築,,MMA0050,慶安里,嘉義市西區慶安里博愛路一段357號,"23.48548,120.44304",1.0,85.0,
大樓,,MMA0051,慶安里,嘉義市西區慶安里長安街113號之4,"23.48503,120.44347",1.0,1025.0,
一般建築,,MMA0052,北榮里,嘉義市西區北榮里國華街507號,"23.4883,120.44651",1.0,24.0,
一般建築,,MMA0053,北榮里,嘉義市西區北榮里國華街487號,"23.48791,120.4466",1.0,33.0,
住商大樓,金石金城,MMA0054,北榮里,嘉義市西區北榮里向榮街205號,"23.4884,120.44605",1.0,3420.0,
一般建築,,MMA0055,北榮里,嘉義市西區北榮里向榮街201號,"23.48849,120.4462",1.0,33.0,
一般建築,,MMA0056,北榮里,嘉義市西區北榮里國華街332號,"23.48626,120.44703",1.0,44.0,
一般建築,,MMA0057,北榮里,嘉義市西區北榮里文化路432巷13號,"23.48861,120.44744",1.0,17.0,
一般建築,,MMA0058,北榮里,嘉義市西區北榮里文化路432巷11號,"23.48852,120.44721",1.0,12.0,
一般建築,,MMA0059,北榮里,嘉義市西區北榮里文化路432巷9號,"23.4885,120.44717",1.0,12.0,
一般建築,,MMA0060,北榮里,嘉義市西區北榮里文化路432巷7號,"23.48849,120.44714",1.0,13.0,
一般建築,,MMA0061,北榮里,嘉義市西區北榮里文化路432巷5號,"23.48848,120.44711",1.0,14.0,
一般建築,,MMA0062,北榮里,嘉義市西區北榮里文化路434號,"23.48845,120.44695",1.0,48.0,
一般建築,,MMA0063,北榮里,嘉義市西區北榮里文化路440號,"23.48854,120.44687",1.0,14.0,
一般建築,,MMA0064,北榮里,嘉義市西區北榮里文化路442號,"23.48859,120.44685",1.0,14.0,
一般建築,,MMA0065,北榮里,嘉義市西區北榮里文化路444號,"23.48859,120.44685",1.0,14.0,
一般建築,,MMA0066,北榮里,嘉義市西區北榮里文化路448號,"23.4887,120.44679",1.0,18.0,
一般建築,,MMA0067,北榮里,嘉義市西區北榮里文化路450號,"23.48871,120.44674",1.0,21.0,
一般建築,,MMA0068,北榮里,嘉義市西區北榮里文化路452號,"23.48871,120.44674",1.0,21.0,
大樓,,MMA0069,北榮里,嘉義市西區北榮里文化路458號,"23.48887,120.44663",1.0,352.0,
一般建築,,MMA0070,北榮里,嘉義市西區北榮里向榮街121號,"23.48896,120.44676",1.0,46.0,
一般建築,,MMA0071,北榮里,嘉義市西區北榮里向榮街119號,"23.48898,120.44679",1.0,14.0,
一般建築,,MMA0072,北榮里,嘉義市西區北榮里向榮街117號,"23.48903,120.44687",1.0,16.0,
一般建築,,MMA0073,北榮里,嘉義市西區北榮里向榮街115號,"23.48903,120.4469",1.0,24.0,
一般建築,,MMA0074,北榮里,嘉義市西區北榮里向榮街113號,"23.48902,120.44694",1.0,24.0,
一般建築,,MMA0075,北榮里,嘉義市西區北榮里向榮街111號,"23.48902,120.44698",1.0,24.0,
一般建築,,MMA0076,北榮里,嘉義市西區北榮里向榮街109號,"23.48904,120.44703",1.0,12.0,
一般建築,,MMA0077,北榮里,嘉義市西區北榮里向榮街107號,"23.48904,120.44706",1.0,12.0,
一般建築,,MMA0078,北榮里,嘉義市西區北榮里向榮街105號,"23.48905,120.44711",1.0,12.0,
一般建築,,MMA0079,北榮里,嘉義市西區北榮里向榮街103號,"23.48905,120.44714",1.0,12.0,
一般建築,,MMA0080,北榮里,嘉義市西區北榮里向榮街101號,"23.48906,120.4472",1.0,12.0,
一般建築,,MMA0081,北榮里,嘉義市西區北榮里向榮街99號,"23.48906,120.44723",1.0,12.0,
一般建築,,MMA0082,北榮里,嘉義市西區北榮里文化路446巷12號,"23.48873,120.44726",1.0,14.0,
一般建築,,MMA0083,北榮里,嘉義市西區北榮里文化路446巷10號,"23.48872,120.4472",1.0,14.0,
一般建築,,MMA0084,北榮里,嘉義市西區北榮里文化路446巷8號,"23.48872,120.44715",1.0,14.0,
一般建築,,MMA0085,北榮里,嘉義市西區北榮里文化路446巷6號,"23.48872,120.44708",1.0,14.0,
一般建築,,MMA0086,北榮里,嘉義市西區北榮里文化路446巷4號,"23.48872,120.44708",1.0,14.0,
一般建築,,MMA0087,北榮里,嘉義市西區北榮里文化路446巷2號,"23.4887,120.44699",1.0,14.0,
一般建築,,MMA0088,北榮里,嘉義市西區北榮里文化路446巷1號,"23.48879,120.44691",1.0,17.0,
一般建築,,MMA0089,北榮里,嘉義市西區北榮里文化路446巷3號,"23.48882,120.44697",1.0,14.0,
一般建築,,MMA0090,北榮里,嘉義市西區北榮里文化路446巷5號,"23.48883,120.44705",1.0,14.0,
一般建築,,MMA0091,北榮里,嘉義市西區北榮里文化路446巷7號,"23.48883,120.4471",1.0,14.0,
一般建築,,MMA0092,北榮里,嘉義市西區北榮里文化路446巷9號,"23.48884,120.44715",1.0,14.0,
一般建築,,MMA0093,北榮里,嘉義市西區北榮里文化路446巷11號,"23.48884,120.44719",1.0,14.0,
一般建築,,MMA0094,北榮里,嘉義市西區北榮里文化路446巷13號,"23.48885,120.44724",1.0,14.0,
一般建築,,MMA0095,北榮里,嘉義市西區北榮里長安街41號,"23.48548,120.44547",1.0,22.0,
一般建築,,MMA0096,北榮里,嘉義市西區北榮里長安街39號,"23.48549,120.44551",1.0,18.0,
一般建築,,MMA0097,北榮里,嘉義市西區北榮里文化路378巷10號,"23.48768,120.44829",1.0,41.0,
一般建築,,MMA0098,北榮里,嘉義市西區北榮里國華街422號,"23.48837,120.44662",1.0,37.0,
一般建築,,MMA0099,北榮里,嘉義市西區北榮里國華街409號,"23.48644,120.44688",1.0,29.0,
一般建築,,MMA0100,北榮里,嘉義市西區北榮里文化路420號,"23.4881,120.44717",1.0,48.0,
一般建築,,MMA0101,北榮里,嘉義市西區北榮里長安街1巷13號,"23.48525,120.44599",1.0,49.0,
一般建築,,MMA0102,北榮里,嘉義市西區北榮里文化路416號,"23.48785,120.44735",1.0,26.0,
一般建築,,MMA0103,北榮里,嘉義市西區北榮里文化路412號之1,"23.48777,120.44736",1.0,26.0,
大樓,,MMA0104,北榮里,嘉義市西區北榮里文化路413號,"23.48815,120.44687",1.0,157.0,
大樓,,MMA0105,北榮里,嘉義市西區北榮里向榮街39巷20號,"23.48854,120.44828",1.0,1521.0,
大樓,,MMA0106,北榮里,嘉義市西區北榮里文化路432巷37號,"23.48874,120.44777",1.0,457.0,
大樓,,MMA0107,北榮里,嘉義市西區北榮里文化路432巷26號至38號,"23.48857,120.44778",1.0,381.0,
一般建築,,MMA0108,湖邊里,嘉義市西區湖邊里博愛路一段320巷82號,"23.48871,120.44397",1.0,13.0,
一般建築,,MMA0109,湖邊里,嘉義市西區湖邊里博愛路一段320巷84號,"23.48874,120.44396",1.0,13.0,
一般建築,,MMA0110,湖邊里,嘉義市西區湖邊里博愛路一段320巷86號,"23.48878,120.44392",1.0,13.0,
一般建築,,MMA0111,湖邊里,嘉義市西區湖邊里博愛路一段320巷92號,"23.48889,120.44392",1.0,13.0,
一般建築,,MMA0112,湖邊里,嘉義市西區湖邊里博愛路一段320巷90號,"23.48885,120.44396",1.0,13.0,
一般建築,,MMA0113,湖邊里,嘉義市西區湖邊里博愛路一段320巷88號,"23.48882,120.44396",1.0,13.0,
一般建築,,MMA0114,湖邊里,嘉義市西區湖邊里博愛路一段320巷72號,"23.48849,120.44394",1.0,21.0,
一般建築,,MMA0115,湖邊里,嘉義市西區湖邊里博愛路一段320巷74號,"23.48853,120.44394",1.0,20.0,
一般建築,,MMA0116,湖邊里,嘉義市西區湖邊里博愛路一段320巷76號,"23.48855,120.44391",1.0,20.0,
一般建築,,MMA0117,湖邊里,嘉義市西區湖邊里博愛路一段320巷78號,"23.48856,120.44385",1.0,14.0,
一般建築,,MMA0118,湖邊里,嘉義市西區湖邊里博愛路一段320巷98號,"23.48864,120.44379",1.0,14.0,
一般建築,,MMA0119,湖邊里,嘉義市西區湖邊里博愛路一段320巷100號,"23.48868,120.44375",1.0,16.0,
一般建築,,MMA0120,湖邊里,嘉義市西區湖邊里博愛路一段320巷102號,"23.48867,120.44368",1.0,16.0,
一般建築,,MMA0121,湖邊里,嘉義市西區湖邊里博愛路一段320巷104號,"23.4887,120.44365",1.0,17.0,
一般建築,,MMA0122,湖邊里,嘉義市西區湖邊里博愛路一段320巷106號,"23.48872,120.44363",1.0,12.0,
一般建築,,MMA0123,湖邊里,嘉義市西區湖邊里博愛路一段320巷110號,"23.48877,120.44357",1.0,12.0,
一般建築,,MMA0124,湖邊里,嘉義市西區湖邊里博愛路一段320巷108號,"23.48875,120.4436",1.0,12.0,
一般建築,,MMA0125,湖邊里,嘉義市西區湖邊里博愛路一段320巷112號,"23.48881,120.44355",1.0,41.0,
一般建築,,MMA0126,湖邊里,嘉義市西區湖邊里興達路92號,"23.48928,120.44353",1.0,18.0,
一般建築,,MMA0127,湖邊里,嘉義市西區湖邊里興達路90號,"23.48929,120.44357",1.0,18.0,
一般建築,,MMA0128,湖邊里,嘉義市西區湖邊里興達路88號,"23.4893,120.44361",1.0,18.0,
一般建築,,MMA0129,湖邊里,嘉義市西區湖邊里興達路86號,"23.4893,120.44365",1.0,18.0,
一般建築,,MMA0130,湖邊里,嘉義市西區湖邊里興達路84號,"23.48934,120.44368",1.0,18.0,
一般建築,,MMA0131,湖邊里,嘉義市西區湖邊里興達路74號,"23.48935,120.44385",1.0,24.0,
一般建築,,MMA0132,湖邊里,嘉義市西區湖邊里興達路70號,"23.48936,120.44392",1.0,18.0,
學校,博愛國小,MMA0134,湖邊里,嘉義市西區湖邊里友愛路822號,"23.49159,120.44401",1.0,2297.0,
一般建築,,MMA0135,湖邊里,嘉義市西區湖邊里向榮街42號,"23.48863,120.44601",1.0,38.0,
一般建築,,MMA0136,湖邊里,嘉義市西區湖邊里博愛新村98號,"23.4871,120.44344",1.0,50.0,
一般建築,,MMA0137,湖邊里,嘉義市西區湖邊里博愛新村100號,"23.48702,120.44345",1.0,45.0,
一般建築,,MMA0138,湖邊里,嘉義市西區湖邊里博愛路一段320巷80號,"23.48867,120.44397",1.0,13.0,
一般建築,,MMA0139,湖邊里,嘉義市西區湖邊里博愛新村99號,"23.48706,120.44345",1.0,50.0,
一般建築,,MMA0140,湖邊里,嘉義市西區湖邊里博愛新村97號,"23.48714,120.44344",1.0,49.0,
一般建築,,MMA0141,湖邊里,嘉義市西區湖邊里興達路91號,"23.48898,120.44352",1.0,17.0,
一般建築,,MMA0142,湖邊里,嘉義市西區湖邊里興達路89號,"23.48898,120.44356",1.0,17.0,
一般建築,,MMA0143,湖邊里,嘉義市西區湖邊里興達路87號,"23.48898,120.4436",1.0,17.0,
一般建築,,MMA0144,湖邊里,嘉義市西區湖邊里興達路85號,"23.48898,120.44364",1.0,17.0,
一般建築,,MMA0145,湖邊里,嘉義市西區湖邊里興達路83號,"23.48899,120.44368",1.0,17.0,
一般建築,,MMA0146,湖邊里,嘉義市西區湖邊里興達路81號,"23.48899,120.44372",1.0,17.0,
一般建築,,MMA0147,湖邊里,嘉義市西區湖邊里興達路79號,"23.48899,120.44376",1.0,17.0,
一般建築,,MMA0148,湖邊里,嘉義市西區湖邊里興達路77號,"23.48899,120.4438",1.0,17.0,
一般建築,,MMA0149,湖邊里,嘉義市西區湖邊里興達路75號,"23.48899,120.44384",1.0,17.0,
一般建築,,MMA0150,湖邊里,嘉義市西區湖邊里興達路73號,"23.489,120.44388",1.0,17.0,
一般建築,,MMA0151,湖邊里,嘉義市西區湖邊里興達路65號,"23.489,120.44403",1.0,17.0,
一般建築,,MMA0152,湖邊里,嘉義市西區湖邊里興達路67號,"23.489,120.44399",1.0,17.0,
一般建築,,MMA0153,湖邊里,嘉義市西區湖邊里興達路69號,"23.489,120.44395",1.0,17.0,
一般建築,,MMA0154,湖邊里,嘉義市西區湖邊里興達路71號,"23.489,120.44392",1.0,17.0,
一般建築,,MMA0155,湖邊里,嘉義市西區湖邊里博愛路一段320巷79號,"23.48869,120.44346",1.0,12.0,
一般建築,,MMA0156,湖邊里,嘉義市西區湖邊里博愛路一段320巷94號,"23.48888,120.44379",1.0,13.0,
一般建築,,MMA0157,湖邊里,嘉義市西區湖邊里文化路577號,"23.49319,120.44433",1.0,74.0,
一般建築,,MMA0158,湖邊里,嘉義市西區湖邊里文化路555號,"23.49242,120.44474",1.0,76.0,
一般建築,,MMA0159,湖邊里,嘉義市西區湖邊里文化路579號,"23.49325,120.44441",1.0,69.0,
一般建築,,MMA0160,湖邊里,嘉義市西區湖邊里文化路581號,"23.49328,120.4444",1.0,50.0,
大樓,,MMA0161,湖邊里,嘉義市西區湖邊里博愛路一段388號,"23.48727,120.44393",1.0,1101.0,
公寓大廈,富泰花園特區,MMA0162,湖邊里,嘉義市西區湖邊里國華新村237號,"23.49337,120.44394",1.0,3337.0,
大樓,,MMA0163,湖邊里,嘉義市西區湖邊里松江一街2號,"23.49219,120.44276",1.0,201.0,
公寓大廈,文化大樓,MMA0164,香湖里,嘉義市西區香湖里文化路666號,"23.49654,120.44313",1.0,1190.0,
大樓,,MMA0165,香湖里,嘉義市西區香湖里博愛路一段228巷212號,"23.48994,120.44671",1.0,510.0,
一般建築,,MMA0166,香湖里,嘉義市西區香湖里文化路674號,"23.49674,120.44302",1.0,54.0,
一般建築,,MMA0167,香湖里,嘉義市西區香湖里文化路676號,"23.49677,120.44299",1.0,53.0,
一般建築,,MMA0168,香湖里,嘉義市西區香湖里文化路686號,"23.49694,120.44294",1.0,18.0,
一般建築,,MMA0169,香湖里,嘉義市西區香湖里文化路688號,"23.49698,120.44292",1.0,18.0,
一般建築,,MMA0170,香湖里,嘉義市西區香湖里文化路690號,"23.49701,120.44291",1.0,18.0,
大樓,,MMA0171,北榮里,嘉義市西區北榮里向榮街12號,"23.48904,120.44658",1.0,148.0,
一般建築,,MMA0172,竹圍里,嘉義市西區竹圍里北興街393號,"23.48713,120.43523",1.0,42.0,
一般建築,,MMA0173,竹圍里,嘉義市西區竹圍里北興街395號,"23.48715,120.4352",1.0,42.0,
一般建築,,MMA0174,竹圍里,嘉義市西區竹圍里北興街451號,"23.48771,120.43421",1.0,50.0,
一般建築,,MMA0175,竹圍里,嘉義市西區竹圍里北興街543號,"23.48907,120.432",1.0,54.0,
一般建築,,MMA0176,竹圍里,嘉義市西區竹圍里北興街545號,"23.48909,120.43196",1.0,18.0,
一般建築,,MMA0177,竹圍里,嘉義市西區竹圍里北安路101號,"23.48907,120.4319",1.0,18.0,
公寓大廈,大禮原石,MMA01772,後驛里,嘉義市西區後驛里博愛路二段168號,"23.48144,120.43923",1.0,2202.0,
一般建築,,MMA0178,竹圍里,嘉義市西區竹圍里北安路103號,"23.48905,120.43187",1.0,17.0,
學校,博愛國小,MMA01781,湖邊里,嘉義市西區湖邊里友愛路822號,"23.49159,120.44401",1.0,1360.0,
學校,博愛國小,MMA01787,湖邊里,嘉義市西區湖邊里友愛路822號,"23.49159,120.44401",1.0,1950.0,
一般建築,,MMA0179,竹圍里,嘉義市西區竹圍里北安路105號,"23.48903,120.43183",1.0,20.0,
一般建築,,MMA0180,竹圍里,嘉義市西區竹圍里北安路107號,"23.48902,120.43179",1.0,21.0,
一般建築,,MMA0181,竹圍里,嘉義市西區竹圍里北安路109號,"23.489,120.43175",1.0,28.0,
一般建築,,MMA0182,竹圍里,嘉義市西區竹圍里北鎮街113號,"23.48623,120.43182",1.0,25.0,
一般建築,,MMA0183,竹圍里,嘉義市西區竹圍里北鎮街115號,"23.48618,120.43182",1.0,24.0,
大樓,,MMA0184,竹圍里,嘉義市西區竹圍里北安路111號,"23.48897,120.4317",1.0,413.0,
大樓,,MMA0185,竹圍里,嘉義市西區竹圍里興達路448號,"23.48551,120.43236",1.0,1660.0,
一般建築,,MMA0186,竹圍里,嘉義市西區竹圍里中興路224號,"23.48244,120.43361",1.0,45.0,
一般建築,,MMA0187,竹圍里,嘉義市西區竹圍里中興路226號,"23.48243,120.43356",1.0,45.0,
一般建築,,MMA0188,竹圍里,嘉義市西區竹圍里中興路228號,"23.48243,120.43352",1.0,45.0,
一般建築,,MMA0189,竹圍里,嘉義市西區竹圍里中興路230號,"23.48242,120.43347",1.0,22.0,
一般建築,,MMA0190,竹圍里,嘉義市西區竹圍里中興路232號,"23.48242,120.43342",1.0,45.0,
一般建築,,MMA0191,竹圍里,嘉義市西區竹圍里中興路234號,"23.48242,120.43338",1.0,45.0,
一般建築,,MMA0192,竹圍里,嘉義市西區竹圍里中興路236號,"23.48241,120.43333",1.0,45.0,
一般建築,,MMA0193,竹圍里,嘉義市西區竹圍里中興路270號,"23.48234,120.43254",1.0,26.0,
一般建築,,MMA0194,竹圍里,嘉義市西區竹圍里中興路268號,"23.48234,120.43259",1.0,32.0,
一般建築,,MMA0195,竹圍里,嘉義市西區竹圍里中興路272號,"23.48234,120.4325",1.0,32.0,
一般建築,,MMA0196,竹圍里,嘉義市西區竹圍里中興路274號,"23.48233,120.43245",1.0,29.0,
一般建築,,MMA0197,竹圍里,嘉義市西區竹圍里中興路252號,"23.48237,120.43294",1.0,41.0,
一般建築,,MMA0198,竹圍里,嘉義市西區竹圍里中興路254號,"23.48237,120.4329",1.0,41.0,
一般建築,,MMA0199,竹圍里,嘉義市西區竹圍里中興路256號,"23.48237,120.43285",1.0,41.0,
一般建築,,MMA0200,竹圍里,嘉義市西區竹圍里中興路258號,"23.48236,120.43281",1.0,41.0,
一般建築,,MMA0201,竹圍里,嘉義市西區竹圍里中興路262號,"23.48236,120.43272",1.0,41.0,
一般建築,,MMA0202,竹圍里,嘉義市西區竹圍里中興路284號,"23.48231,120.43223",1.0,24.0,
一般建築,,MMA0203,竹圍里,嘉義市西區竹圍里中興路286號,"23.48231,120.43219",1.0,24.0,
一般建築,,MMA0204,竹圍里,嘉義市西區竹圍里中興路288號,"23.48231,120.43215",1.0,24.0,
一般建築,,MMA0205,竹圍里,嘉義市西區竹圍里中興路290號,"23.4823,120.4321",1.0,24.0,
一般建築,,MMA0206,竹圍里,嘉義市西區竹圍里中興路292號,"23.4823,120.43206",1.0,24.0,
一般建築,,MMA0207,竹圍里,嘉義市西區竹圍里中興路212號,"23.48249,120.43422",1.0,38.0,
一般建築,,MMA0208,竹圍里,嘉義市西區竹圍里中興路210號,"23.48249,120.43426",1.0,52.0,
公寓大廈,大都會公寓大廈,MMA0209,竹圍里,嘉義市西區竹圍里遠東街160號,"23.48452,120.43465",1.0,1017.0,
大樓,,MMA0210,竹圍里,嘉義市西區竹圍里德陽街15號,"23.48343,120.43299",1.0,789.0,
大樓,,MMA0211,竹圍里,嘉義市西區竹圍里忠順一街19號,"23.48347,120.43437",1.0,518.0,
大樓,,MMA0212,竹圍里,嘉義市西區竹圍里德惠街1號,"23.48303,120.43246",1.0,186.0,
公寓大廈,華馨大廈,MMA0213,竹圍里,嘉義市西區竹圍里友孝路171號,"23.48438,120.43532",1.0,884.0,
大樓,,MMA0214,竹圍里,嘉義市西區竹圍里德惠街33號,"23.48373,120.43238",1.0,1260.0,
學校,僑平國小,MMA0215,竹圍里,嘉義市西區竹圍里德安路10號,"23.48415,120.43241",1.0,1896.0,
大樓,,MMA0216,竹圍里,嘉義市西區竹圍里德安路17號,"23.48392,120.43291",1.0,1942.0,
大樓,,MMA0217,竹圍里,嘉義市西區竹圍里友愛路207號,"23.48284,120.43365",1.0,433.0,
大樓,,MMA0218,竹圍里,嘉義市西區竹圍里友愛路237號,"23.48384,120.43354",1.0,913.0,
大樓,,MMA0220,竹圍里,嘉義市西區竹圍里德安路6號,"23.48418,120.43314",1.0,382.0,
一般建築,,MMA0221,後驛里,嘉義市西區後驛里中興路72號,"23.48121,120.43848",1.0,28.0,
一般建築,,MMA0222,竹圍里,嘉義市西區竹圍里北興街371號,"23.48685,120.43573",1.0,42.0,
一般建築,,MMA0223,後驛里,嘉義市西區後驛里博愛路二段284號之5,"23.47972,120.43716",1.0,24.0,
一般建築,,MMA0224,後驛里,嘉義市西區後驛里博愛路二段284號之6,"23.47972,120.43716",1.0,24.0,
一般建築,,MMA0225,後驛里,嘉義市西區後驛里博愛路二段284號之7,"23.47968,120.43714",1.0,24.0,
一般建築,,MMA0226,後驛里,嘉義市西區後驛里博愛路二段284號之8,"23.47964,120.43711",1.0,28.0,
一般建築,,MMA0227,後驛里,嘉義市西區後驛里博愛路二段284號之13,"23.47945,120.43696",1.0,66.0,
一般建築,,MMA0228,後驛里,嘉義市西區後驛里博愛路二段284號之14,"23.47942,120.43694",1.0,66.0,
一般建築,,MMA0229,後驛里,嘉義市西區後驛里博愛路二段284號之15,"23.47939,120.43692",1.0,66.0,
一般建築,,MMA0230,後驛里,嘉義市西區後驛里博愛路二段284號之16,"23.47937,120.43689",1.0,66.0,
一般建築,,MMA0231,後驛里,嘉義市西區後驛里博愛路二段284號之28,"23.47982,120.43713",1.0,36.0,
一般建築,,MMA0232,後驛里,嘉義市西區後驛里博愛路二段284號之29,"23.47985,120.43716",1.0,64.0,
大樓,,MMA0233,後驛里,嘉義市西區後驛里博愛路二段240號,"23.48037,120.43838",1.0,116.0,
一般建築,,MMA0234,後驛里,嘉義市西區後驛里博愛路二段242號,"23.48024,120.43828",1.0,52.0,
一般建築,,MMA0235,福全里,嘉義市西區福全里中興路261號,"23.48211,120.43344",1.0,54.0,
一般建築,,MMA0236,福全里,嘉義市西區福全里中興路263號,"23.48211,120.43339",1.0,54.0,
大樓,,MMA0237,竹圍里,嘉義市西區竹圍里興雅路36號,"23.48316,120.43498",1.0,280.0,
大樓,,MMA0238,福全里,嘉義市西區福全里中興路269號,"23.48209,120.43324",1.0,856.0,
大樓,,MMA0239,福全里,嘉義市西區福全里中興路125號,"23.48205,120.4367",1.0,489.0,
大樓,,MMA0240,保福里,嘉義市西區保福里世賢路一段687號,"23.4893,120.42788",1.0,2844.0,
大樓,,MMA0242,保福里,嘉義市西區保福里四維路368號,"23.48749,120.42782",1.0,2288.0,
大樓,,MMA0243,保福里,嘉義市西區保福里八德路112號,"23.48543,120.43084",1.0,1618.0,
大樓,,MMA0244,保福里,嘉義市西區保福里興達路529號,"23.48487,120.42949",1.0,872.0,
大樓,,MMA0245,保福里,嘉義市西區保福里竹圍四路100號至122號,"23.48997,120.42901",1.0,1072.0,
一般建築,,MMA0246,保福里,嘉義市西區保福里德安路130號,"23.48408,120.42915",1.0,85.0,
一般建築,,MMA0247,保福里,嘉義市西區保福里德安路128號,"23.48408,120.42919",1.0,85.0,
一般建築,,MMA0248,保福里,嘉義市西區保福里德安路126號,"23.48408,120.42923",1.0,85.0,
一般建築,,MMA0249,保福里,嘉義市西區保福里德安路124號,"23.48409,120.42927",1.0,85.0,
一般建築,,MMA0250,保福里,嘉義市西區保福里德安路122號,"23.48409,120.42932",1.0,85.0,
一般建築,,MMA0251,保福里,嘉義市西區保福里德安路120號,"23.48409,120.42936",1.0,85.0,
一般建築,,MMA0252,保福里,嘉義市西區保福里德安路118號,"23.4841,120.4294",1.0,85.0,
