電腦編號,類別,村里別,地址,地下樓層數,可容納人數,備註
SMA02011,慈濟大學,國慶里,花蓮縣花蓮市中央路3段701號,1,12478人,
SMA02012,國福國小,國福里,花蓮縣花蓮市福光街277巷1號,1,160人,
SMA02013,自強國中,國裕里,花蓮縣花蓮市裕祥路89號,1,6870人,
SMA02014,大樓,國裕里,花蓮縣花蓮市富裕七街19號,1,165人,
SMA02015,大樓,國裕里,花蓮縣花蓮市富裕七街21號,1,165人,
SMA08001,國立花蓮高工-圖書館,民意里,花蓮縣花蓮市府前路27號,1,187人,
SMA08002,國立花蓮高工-第四排教室,民意里,花蓮縣花蓮市府前路27號,1,269人,
SMA08003,國立花蓮高工-電子工廠,民意里,花蓮縣花蓮市府前路27號,1,266人,
SMA08004-建築科,國立花蓮高工-,民意里,花蓮縣花蓮市府前路27號,1,127人,
SMA08005-汽修大樓,國立花蓮高工,民意里,花蓮縣花蓮市府前路27號,1,279人,
SMA08006-第二排教室,國立花蓮高工,民意里,花蓮縣花蓮市府前路27號,1,271人,
SMA08007,花蓮榮家,民意里,花蓮縣花蓮市府前路29號,1,484人,
SMA08008,花蓮教育大學,民心里,花蓮縣花蓮市華西路123號,1,2106人,
SMA08009,花蓮教育大學,民心里,花蓮縣花蓮市華西路123號,1,109人,
SMA08010,復興國小,民心里,花蓮縣花蓮市華西路8號,1,37人,
SMA08011,美崙大飯店,民享里,花蓮縣花蓮市林園路1號,1、2,11298人,
SMA08012,美崙國中,民孝里,花蓮縣花蓮市化道路40巷1號,1,545人,
SMA08013,大樓,民孝里,花蓮縣花蓮市東興一街79巷18-22號,1,9194人,
SMA08014,花蓮市原住民文化館,民享里,花蓮縣花蓮市北興路460號,1,3318人,
SMA08015,大樓,民孝里,花蓮縣花蓮市東興二街147~153號,1,9194人,
SMA09001,亞士都飯店,民德里,花蓮縣花蓮市民權路6-1號,1,53人,
SMA09002,門諾醫院,民立里,花蓮縣花蓮市民權路44號,1,1469人,
SMA09003,洄瀾客棧,民立里,花蓮縣花蓮市海岸路11號,1,1048人,
SMA09004,花蓮中學,民立里,花蓮縣花蓮市民權路42號,1,208人,
SMA09005,花蓮中學,民立里,花蓮縣花蓮市民權路42號,1,561人,
SMA09006,花蓮市環保局,民立里,花蓮縣花蓮市民權路123號,1,113人,
SMA09007,東區老人之家,民立里,花蓮縣花蓮市民權路125號,1,629人,
SMA09008,花蓮縣立文化中心,民立里,花蓮市文復路6號地下1層,1,442人,
SMA09009,煙波飯店,民立里,花蓮縣花蓮市中美路142號,1,2311人,
SMA09010,花蓮福容飯店,民運里,花蓮縣花蓮市民生路51號,1,3722人,
SMA09011,鑄強國小,民政里,花蓮縣花蓮市永興路20號,1,300人,
SMA09012,春暉大廈,民政里,花蓮縣花蓮市中美路115號,1,1081人,
SMA09013,美崙之星大廈,民政里,花蓮縣花蓮市永興路6-1號,1,1080人,
SMA09014,花蓮縣政府,民勤里,花蓮縣花蓮市府前路17號,1,310人,
SMA09015,花蓮縣政府,民勤里,花蓮縣花蓮市府前路17號,1,310人,
SMA09016,花蓮縣政府,民勤里,花蓮縣花蓮市府前路17號,1,310人,
SMA09017,花蓮縣警察局,民勤里,花蓮縣花蓮市府前路21號,1,400人,
SMA09018,花蓮縣議會,民勤里,花蓮縣花蓮市府前路23號,1,264人,
SMA09019,海星國小,民勤里,花蓮縣花蓮市永興路21號,1,162人,
SMA09020,藝術家大樓,民勤里,花蓮縣花蓮市中美三街50-72號,1,3302人,
SMA09021,地方法院,民勤里,花蓮縣花蓮市府前路15號,1,1133人,
SMA09022,地方法院,民勤里,花蓮縣花蓮市府前路15號,1,1634人,
SMA09023,大樓,民政里,花蓮縣花蓮市府前路296巷15號,1,729人,
SMA09024,大樓,民政里,花蓮縣花蓮市中興路231號,1,1328人,
SMA09025,花蓮縣政府,民政里,花蓮縣花蓮市中美十一街9號,1,4002人,
SMA09026,花師附小,民勤里,花蓮縣花蓮市中美三街19號,1,194人,
SMA09027,第一家庭,民勤里,花蓮縣花蓮市中美路93巷12號,1,5862人,
SMA09028,花師附小,民勤里,花蓮縣花蓮市中美三街19號,1,117人,
SMA09029,大樓,民立里,花蓮縣花蓮市中美路206號,1、2,1272人,
SMA09030,大樓,民立里,花蓮縣花蓮市中興路81號,1,305人,
SMA07016,祥捷建設公司,國盛里,國盛一街168之1號,1,216人,
SMA07017,商業大樓,國聯里,花蓮縣花蓮市國聯五路5之5號,1,392人,
SMA09031,中華建築,民運里,花蓮縣花蓮市民生路31之1號,1,302人,
SMA02016,法鼓山花蓮精舍,國裕里,花蓮市中央路四段272號,1,,
SMA05013,福呈建設有限公司,主學里,花蓮縣花蓮市中正路315巷26號2樓,1,202人,
SMA05012,民宅,主學里,花蓮縣花蓮市上海街111號,1,123,
SMA05014,華廈,主農里,花蓮縣花蓮市重慶路1號,1,467,
SMA02017,SMA02017,國裕里,花蓮縣花蓮市富裕八街1號,1、2,856人,
SMA02018,華廈,國富里,花蓮縣花蓮市富祥街109號,1,514人,
