電腦編號,建築物名稱,地址,緯度,經度,避難樓層,可容納人數,轄管分局,備註一,備註二
EPA00130,民宅,桃園市中壢區信義里廈門路73號,24.952124,121.232604,B01,28,中壢分局,,
EPA00132,民宅,桃園市中壢區信義里廣州路143號,24.952386,121.231402,B01,26,中壢分局,,
EPA00134,民宅,桃園市中壢區普忠里大仁二街8號,24.954746,121.242498,B01,64,中壢分局,,
EPA00135,民宅,桃園市中壢區明德里龍山街11號,24.948839,121.229917,B01,50,中壢分局,,
EPA00136,民宅,桃園市中壢區普仁里協同街51號,24.954259,121.239036,B01,70,中壢分局,,
EPA00138,民宅,桃園市中壢區正義里蘭州二街22號,24.951746,121.228863,B01,51,中壢分局,,
EPA00141,民宅,桃園市中壢區普仁里實踐路25號,24.954167,121.242211,B01,127,中壢分局,,
EPA00142,民宅,桃園市中壢區信義里福州路75號,24.95238,121.233363,B01,32,中壢分局,,
EPA00143,民宅,桃園市中壢區普仁里環中東路850號之4,24.953372,121.242414,B01,133,中壢分局,,
EPA00149,袁宅,桃園市中壢區龍平里18鄰前龍路11號,24.929247,121.253253,B01,21,中壢分局,,
EPA00151,民宅,桃園市中壢區普仁里力行北街35號,24.954256,121.239903,B01,72,中壢分局,,
EPA00152,民宅,桃園市中壢區普仁里實踐路105號,24.955282,121.240689,B01,66,中壢分局,,
EPA00153,民宅,桃園市中壢區普忠里大仁四街11號,24.956113,121.240814,B01,100,中壢分局,,
EPA00154,民宅,桃園市中壢區明德里環中東路二段362號,24.947898,121.234231,B01,41,中壢分局,,
EPA00155,民宅,桃園市中壢區普義里八德路56號,24.960332,121.231067,B01,43,中壢分局,,
EPA00156,民宅,桃園市中壢區明德里苑平路3號,24.945843,121.229604,B01,38,中壢分局,,
EPA00158,民宅,桃園市中壢區正義里寶慶街54號,24.951491,121.229582,B01,28,中壢分局,,
EPA00159,民宅,桃園市中壢區信義里廈門路65號,24.952379,121.232624,B01,48,中壢分局,,
EPA00160,民宅,桃園市中壢區普仁里三和二街17號,24.955236,121.240728,B01,111,中壢分局,,
EPA00162,民宅,桃園市中壢區信義里甘肅一街29號,24.952818,121.234184,B01,26,中壢分局,,
EPA00163,中原豪景,桃園市中壢區仁義里中山東路一段223巷129弄2號,24.958693,121.236547,B01,94,中壢分局,,
EPA00164,民宅,桃園市中壢區普強里民享街38號,24.953792,121.236661,B01,463,中壢分局,,
EPA00165,儒林園,桃園市中壢區普仁里力行北路53號,24.95446,121.239344,B01,616,中壢分局,,
EPA00166,民宅,桃園市中壢區普仁里力行北路47號,24.954388,121.239485,B01,94,中壢分局,,
EPA00168,民宅,桃園市中壢區明德里環中東路二段650號,24.945087,121.22991,B01,31,中壢分局,,
EPA00170,民宅,桃園市中壢區仁義里普義路130號,24.96022,121.232502,B01,35,中壢分局,,
EPA00171,民宅,桃園市中壢區後寮里後興路一段52巷7號,24.942819,121.248309,B01,111,中壢分局,,
EPA00172,民宅,桃園市中壢區明德里吉長二街190號,24.946524,121.230056,B01,333,中壢分局,,
EPA00173,民宅,桃園市中壢區信義里福州路121號,24.951428,121.233776,B01,28,中壢分局,,
EPA00176,許宅,桃園市中壢區龍興里12鄰龍岡路三段295號,24.934299,121.236232,B01,22,中壢分局,,
EPA00177,戴宅,桃園市中壢區龍興里20鄰龍岡路三段301號,24.934268,121.236344,B01,44,中壢分局,,
EPA00179,民宅,桃園市中壢區普強里莒光路94號,24.952091,121.236559,B01,22,中壢分局,,
EPA00180,民宅,桃園市中壢區普忠里大仁一街49號,24.955246,121.24349,B01,255,中壢分局,,
EPA00182,民宅,桃園市中壢區普忠里大仁二街8號,24.954581,121.24254,B01,66,中壢分局,,
EPA00184,黃宅,桃園市中壢區龍興里20鄰龍岡路三段291號,24.934382,121.236084,B01,22,中壢分局,,
EPA00185,張王宅,桃園市中壢區龍興里12鄰龍岡路三段299號,24.934242,121.236226,B01,58,中壢分局,,
EPA00186,余宅,桃園市中壢區龍興里12鄰龍岡路三段297號,24.934403,121.236272,B01,20,中壢分局,,
EPA00187,許宅,桃園市中壢區龍興里20鄰龍岡路三段293號,24.934387,121.236225,B01,21,中壢分局,,
EPA00189,鍾宅,桃園市中壢區龍平里17鄰龍東路220號,24.930132,121.253737,B01,40,中壢分局,,
EPA00190,民宅,桃園市中壢區正義里中北路二段378號,24.953999,121.231445,B01,28,中壢分局,,
EPA00193,民宅,桃園市中壢區明德里20鄰衡陽街28號,24.950365,121.230803,B01,34,中壢分局,,
EPA00194,民宅,桃園市中壢區明德里環中東路二段648號,24.945138,121.229874,B01,27,中壢分局,,
EPA00197,民宅,桃園市中壢區明德里衡陽街28號,24.950492,121.230781,B01,25,中壢分局,,
EPA00198,東興國中,桃園市中壢區明德里廣州路25號,24.950079,121.229969,B01,395,中壢分局,,
EPA00200,民宅,桃園市中壢區普仁里新中北路34巷2弄9號,24.956269,121.235698,B01,88,中壢分局,,
EPA00201,民宅,桃園市中壢區普仁里弘揚路50號,24.953249,121.240689,B01,708,中壢分局,,
EPA00203,民宅,桃園市中壢區普強里國泰街105號,24.950703,121.237941,B01,31,中壢分局,,
EPA00206,民宅,桃園市中壢區信義里杭州路33號,24.950884,121.235013,B01,168,中壢分局,,
EPA00207,民宅,桃園市中壢區普仁里治平街51號,24.955775,121.238296,B01,38,中壢分局,,
EPA00208,民宅,桃園市中壢區普強里民享街8號,24.95435,121.236935,B01,36,中壢分局,,
EPA00209,民宅,桃園市中壢區普仁里協同街12及14號,24.953485,121.239982,B01,61,中壢分局,,
EPA00210,民宅,桃園市中壢區普強里中山東路二段12號,24.954526,121.236883,B01,26,中壢分局,,
EPA00211,民宅,桃園市中壢區仁義里延平路24號,24.964004,121.232939,B01,168,中壢分局,,
EPA00213,民宅,桃園市中壢區普仁里治平街11號,24.954867,121.23736,B01,46,中壢分局,,
EPA00215,民宅,桃園市中壢區普仁里治平街7號,24.954886,121.237325,B01,44,中壢分局,,
EPA00217,民宅,桃園市中壢區普強里中山東路二段14號,24.954593,121.237007,B01,25,中壢分局,,
EPA00219,民宅,桃園市中壢區普忠里大仁五街13號,24.956268,121.240544,B01,31,中壢分局,,
EPA00221,民宅,桃園市中壢區普強里民V街25號,24.95357,121.237747,B01,34,中壢分局,,
EPA00222,民宅,桃園市中壢區普強里民V街27號,24.953586,121.237698,B01,28,中壢分局,,
EPA00224,民宅,桃園市中壢區信義里福州路74號,24.952406,121.232698,B01,111,中壢分局,,
EPA00225,民宅,桃園市中壢區正義里中北路二段330號,24.953547,121.230309,B01,36,中壢分局,,
EPA00226,民宅,桃園市中壢區正義里東明街84號,24.952577,121.230062,B01,26,中壢分局,,
EPA00228,民宅,桃園市中壢區信義里潮州街16號,24.951164,121.231025,B01,60,中壢分局,,
EPA00229,民宅,桃園市中壢區信義里廣州路199號,24.953078,121.232724,B01,26,中壢分局,,
EPA00235,民宅,桃園市中壢區明德里桂林街2號,24.949171,121.231221,B01,37,中壢分局,,
EPA00237,李宅,桃園市中壢區龍平里19鄰龍東路82號,24.928698,121.251216,B01,28,中壢分局,,
EPA00239,民宅,桃園市中壢區信義里嘉興二街20號,24.953755,121.233308,B01,47,中壢分局,,
EPA00240,民宅,桃園市中壢區信義里廣州路160號,24.952212,121.231744,B01,27,中壢分局,,
EPA00241,民宅,桃園市中壢區德義里中山東路一段149號,24.956979,121.232064,B01,694,中壢分局,,
EPA00246,民宅,桃園市中壢區普仁里三和三街15號,24.954192,121.240655,B01,50,中壢分局,,
EPA00248,民宅,桃園市中壢區普仁里三和三街7號,24.953818,121.240764,B01,94,中壢分局,,
EPA00253,民宅,桃園市中壢區普仁里環中東路908號,24.952479,121.241133,B01,38,中壢分局,,
EPA00254,民宅,桃園市中壢區普仁里環中東路898號,24.952703,121.241463,B01,22,中壢分局,,
EPA00255,民宅,桃園市中壢區普強里民V街25號,24.953589,121.237672,B01,36,中壢分局,,
EPA00258,民宅,桃園市中壢區普仁里力行北街11號,24.953536,121.240257,B01,38,中壢分局,,
EPA00259,民宅,桃園市中壢區正義里中北路二段377號,24.954345,121.231217,B01,64,中壢分局,,
EPA00264,民宅,桃園市中壢區信義里廣州路144號,24.951946,121.231374,B01,33,中壢分局,,
EPA00267,民宅,桃園市中壢區正義里寶慶路56號,24.95135,121.229607,B01,37,中壢分局,,
EPA00271,陳宅,桃園市中壢區龍平里7鄰龍江路54號,24.931872,121.257198,B01,1083,中壢分局,,
EPA00272,江巫宅,桃園市中壢區新興里金山街16號,24.94384,121.223086,B01,122,中壢分局,,
EPA00275,交通部電信局,桃園市中壢區至善里11鄰中山東路三段372號,24.94476,121.248459,B01,903,中壢分局,,
EPA00283,中原大學,桃園市中壢區普忠里中北路200號,24.957731,121.240549,B01,1384,中壢分局,,
EPA00287,民宅,桃園市中壢區明德里桂林街74號,24.949818,121.232799,B01,61,中壢分局,,
EPA00288,民宅,桃園市中壢區明德里五華路53號,24.948496,121.232597,B01,41,中壢分局,,
EPA00294,民宅,桃園市中壢區明德里惠州街120號,24.946551,121.231298,B01,44,中壢分局,,
EPA00295,劉宅,桃園市中壢區新興里15鄰金山街9號,24.953175,121.231588,B01,30,中壢分局,,
EPA00296,民宅,桃園市中壢區信義里福州路143號,24.950923,121.233787,B01,26,中壢分局,,
EPA00298,民宅,桃園市中壢區明德里惠州街54號,24.947759,121.233246,B01,45,中壢分局,,
EPA00300,民宅,桃園市中壢區德義里27鄰永康二路36號,24.958406,121.232192,B01,148,中壢分局,,
EPA00303,民宅,桃園市中壢區普仁里環中東路900號,24.952553,121.241311,B01,27,中壢分局,,
EPA00307,民宅,桃園市中壢區德義里26鄰永康路26號,24.957607,121.231677,B01,283,中壢分局,,
EPA00309,民宅,桃園市中壢區明德里桂林街85號,24.949932,121.23305,B01,50,中壢分局,,
EPA00310,民宅,桃園市中壢區明德里桂林街83號,24.950033,121.233085,B01,35,中壢分局,,
EPA00311,民宅,桃園市中壢區正義里東明街84號,24.952577,121.230127,B01,28,中壢分局,,
EPA00312,民宅,桃園市中壢區正義里中北路二段330號,24.953527,121.230266,B01,38,中壢分局,,
EPA00315,民宅,桃園市中壢區普忠里新中一街10巷11號,24.959653,121.243815,B01,38,中壢分局,,
EPA00319,民宅,桃園市中壢區正義里廣州路199號,24.953147,121.232767,B01,25,中壢分局,,
EPA00323,中原豪景,桃園市中壢區仁義里中山東路一段223巷129弄10號,24.958723,121.236746,B01,79,中壢分局,,
EPA00326,中原豪景,桃園市中壢區仁義里中山東路一段223巷129弄4號,24.959415,121.237338,B01,27,中壢分局,,
EPA00327,中原豪景,桃園市中壢區仁義里中山東路一段223巷129弄4號之2,24.95859,121.23655,B01,52,中壢分局,,
EPA00328,中原豪景,桃園市中壢區仁義里中山東路一段223巷129弄4號之6,24.958678,121.236625,B01,52,中壢分局,,
EPA00329,中原豪景,桃園市中壢區仁義里中山東路一段223巷129弄4號之8,24.958581,121.237194,B01,76,中壢分局,,
EPA00331,中原豪景,桃園市中壢區仁義里中山東路一段223巷129弄6號之4,24.958762,121.236634,B01,52,中壢分局,,
EPA00332,中原豪景,桃園市中壢區仁義里中山東路一段223巷129弄6號之6,24.958684,121.236988,B01,52,中壢分局,,
EPA00333,中原豪景,桃園市中壢區仁義里中山東路一段223巷129弄12號之6,24.958751,121.236979,B01,52,中壢分局,,
EPA00335,民宅,桃園市中壢區正義里中北路二段437巷9弄6號,24.955118,121.231627,B01,55,中壢分局,,
EPA00336,民宅,桃園市中壢區信義里20鄰潮州街20號,24.951154,121.231092,B01,65,中壢分局,,
EPA00342,民宅,桃園市中壢區信義里20鄰衡陽街8號,24.95058,121.231654,B01,31,中壢分局,,
EPA00345,民宅,桃園市中壢區正義里漢口路47號,24.953691,121.231026,B01,35,中壢分局,,
EPA00346,民宅,桃園市中壢區普慶里14鄰金鋒二路65巷2號,24.949194,121.24798,B01,222,中壢分局,,
EPA00352,民宅,桃園市中壢區信義里甘肅一街31號,24.952876,121.234227,B01,51,中壢分局,,
EPA00353,民宅,桃園市中壢區普強里環中東路二段2號,24.951717,121.240357,B01,33,中壢分局,,
EPA00357,民宅,桃園市中壢區普強里20鄰國泰街12號,24.951683,121.239333,B01,20,中壢分局,,
EPA00361,民宅,桃園市中壢區正義里中北路二段446號,24.95485,121.233655,B01,200,中壢分局,,
EPA00362,民宅,桃園市中壢區信義里廣州路149號,24.952475,121.231681,B01,37,中壢分局,,
EPA00363,民宅,桃園市中壢區信義里福州路71號,24.952484,121.23347,B01,52,中壢分局,,
EPA00364,民宅,桃園市中壢區正義里寶慶路48號,24.951575,121.229618,B01,34,中壢分局,,
EPA00367,伯爵商務旅館,桃園市中壢區正義里中北路二段437巷8號,24.954914,121.232201,B01,333,中壢分局,,
EPA00373,內定國小,桃園市中壢區內定里定寧路31號,24.99343,121.250116,B01,557,中壢分局,,
EPA00374,恆業電子,桃園市中壢區內定里高邊路1號,24.989103,121.240124,B01,377,中壢分局,,
EPA00377,永兆電子,桃園市中壢區復華里18鄰自強四路9號,24.972392,121.241104,B01,304,中壢分局,,
EPA00378,清三電子,桃園市中壢區文化里13鄰合江路2號,24.983865,121.24692,B01,4554,中壢分局,,
EPA00379,佳茂化學,桃園市中壢區內定里合定路26號之1,24.98793,121.244248,B01,344,中壢分局,,
EPA00381,台北化工,桃園市中壢區內定里合定路4號,24.987603,121.240628,B01,205,中壢分局,,
EPA00382,養樂多公司,桃園市中壢區復興里6鄰自強一路4號,24.969133,121.244711,B01,793,中壢分局,,
EPA00383,民宅,桃園市中壢區信義里福州路132號,24.950939,121.233419,B01,21,中壢分局,,
EPA00384,民宅,桃園市中壢區信義里廈門路159號,24.951009,121.233223,B01,26,中壢分局,,
EPA00391,家樂福中壢店,桃園市中壢區後寮里中山東路二段510號,24.946691,121.244701,B01,13,中壢分局,,
EPA00392,陳宅,桃園市中壢區中建里8鄰大同路154號,24.9568,121.221427,B01,48,中壢分局,,
EPA00396,劉宅,桃園市中壢區中建里8鄰大同路158號,24.956443,121.221542,B01,57,中壢分局,,
EPA00397,大春藥粧健康廣場,桃園市中壢區中建里9鄰中平路208號,24.956673,121.220995,B01,46,中壢分局,,
EPA00398,許宅,桃園市中壢區中建里8鄰大同路166號,24.956368,121.221459,B01,53,中壢分局,,
EPA00400,曾宅,桃園市中壢區中建里8鄰大同路162號,24.956416,121.221513,B01,171,中壢分局,,
EPA00404,黃宅,桃園市中壢區中建里9鄰中平路204號,24.955862,121.2219,B01,46,中壢分局,,
EPA00405,陳劉宅,桃園市中壢區中建里9鄰中平路200號,24.956798,121.221187,B01,54,中壢分局,,
EPA00406,銘家建設,桃園市中壢區振興里10鄰龍岡路三段154號,24.936264,121.233351,B01,188,中壢分局,,
EPA00407,智竹工業社,桃園市中壢區振興里10鄰龍岡路三段8號,24.927182,121.243575,B01,344,中壢分局,,
EPA00411,台灣電力公司中壢服務所,桃園市中壢區中央里22鄰延平路499號,24.956931,121.223701,B01B02,1304,中壢分局,,
EPA00412,大正電子遊藝場,桃園市中壢區石頭里14鄰興建街12號,24.953828,121.224119,B01,381,中壢分局,,
EPA00414,_中壢勳章社區大樓,桃園市中壢區興南里5鄰延平路466號,24.958059,121.223866,B01B02,513,中壢分局,老街溪站及燈廊,350.0
EPA00415,民宅,桃園市中壢區普義里普義路173號,24.960775,121.23169,B01B02,987,中壢分局,,
EPA00416,歡喜中原,桃園市中壢區普仁里新中北路151號,24.958889,121.238265,B01B02,929,中壢分局,,
EPA00417,湖映左岸,桃園市中壢區仁福里25鄰仁福五街13號(4386037),24.941079,121.255339,B01,490,中壢分局,,
EPA00418,學府吉第,桃園市中壢區林森里21鄰林森路160號,24.944711,121.226683,B01,317,中壢分局,,
EPA00419,葉宅,桃園市中壢區東興里7鄰東興路76號,24.951493,121.224369,B01,147,中壢分局,,
EPA00420,北帝國逢甲社區,桃園市中壢區新興里33鄰逢甲一街7號,24.945527,121.223925,B01,1353,中壢分局,,
EPA00421,凱悅KTV,桃園市中壢區中建里8鄰大同路136號,24.956841,121.221806,B01B02B03,400,中壢分局,老街溪站及燈廊,70.0
EPA00422,藝田攝影沖印,桃園市中壢區中建里2鄰中山路222號,24.957057,121.222715,B01,160,中壢分局,,
EPA00423,高橋證公司,桃園市中壢區中建里2鄰中山路228巷20號,24.956834,121.22247,B01,135,中壢分局,,
EPA00425,普仁國小,桃園市中壢區普慶里中山東路二段425號,24.948608,121.244492,B01,550,中壢分局,,
EPA00426,太子國寶,桃園市中壢區龍慈里後寮一路138號,24.94118,121.245818,B01B02,3567,中壢分局,,
EPA00428,民宅,桃園市中壢區信義里甘肅三街60號,24.952292,121.234278,B01,204,中壢分局,,
EPA00429,新津和府,桃園市中壢區中興里13鄰榮安九街6號,24.962219,121.258158,B01B02,796,中壢分局,,
EPA00430,台灣銀行,桃園市中壢區中原里2鄰興農路125號,24.973783,121.257886,B01B02,1443,中壢分局,,
EPA00431,校園芳鄰,桃園市中壢區莊敬里18鄰莊敬路146號,24.968364,121.257249,B01,1202,中壢分局,,
EPA00433,商昶公司,桃園市中壢區內定里新北園路14號,24.989442,121.24213,B01,123,中壢分局,,
EPA00434,川樂公司,桃園市中壢區內定里合定路23號,24.989291,121.247267,B01,98,中壢分局,,
EPA00435,賀立安老人長期照顧中心,桃園市中壢區山東里4鄰中正路四段598號,24.993824,121.168701,B01,1327,中壢分局,,
EPA00437,富貴天下,桃園市中壢區中央里22鄰延平路429號,24.958668,121.224517,B01B02B03,1018,中壢分局,老街溪站及燈廊,370.0
EPA00438,中國龍,桃園市中壢區林森里21鄰林森路122號,24.945063,121.226392,B01,1352,中壢分局,,
EPA00440,中原大學,桃園市中壢區普忠里中北路200號(中原大學),24.957606,121.240754,B01,2437,中壢分局,,
EPA00441,中庚診所,桃園市中壢區忠孝里1鄰忠孝路162號,24.976624,121.25527,B01,270,中壢分局,,
EPA00442,麥瑟半導體,桃園市中壢區內定里定安路1號,24.991341,121.241357,B01,98,中壢分局,,
EPA00443,尚智運動世界,桃園市中壢區中榮里3鄰中正路141號,24.987966,121.222098,B01B02,291,中壢分局,,
EPA00444,合作金庫壢新分行,桃園市中壢區石頭里3鄰中山路119號,24.956694,121.227058,B01B02,316,中壢分局,,
EPA00445,民宅,桃園市中壢區信義里福州路201號,24.950085,121.234275,B01,254,中壢分局,,
EPA00446,鍾宅,桃園市中壢區龍德里1鄰龍岡路三段19號,24.938935,121.23147,B01,69,中壢分局,,
EPA00447,家樂福中壢店,桃園市中壢區後寮里中山東路二段510號,24.946837,121.244583,B01B02,12193,中壢分局,,
EPA00449,源興科技,桃園市中壢區文化里13鄰北園路24號,24.981265,121.242672,B01,1181,中壢分局,,
EPA00450,祥裕電子,桃園市中壢區復興里25鄰自強一路121號,24.97816,121.244396,B01,961,中壢分局,,
EPA00451,何嘉仁,桃園市中壢區興平里12鄰中豐北路63號,24.963433,121.220349,B01,917,中壢分局,,
EPA00452,行政院環保署環境檢驗所,桃園市中壢區五權里3鄰民族路三段260號,24.960783,121.192286,B01,7284,中壢分局,,
EPA00453,中央大學,桃園市中壢區五權里7鄰中大路38號,24.965733,121.195863,B01,2296,中壢分局,,
EPA00454,大學市二期,桃園市中壢區自強里13鄰莊敬路127號,24.969496,121.257366,B01B02B03,4088,中壢分局,,
EPA00455,博士的家,桃園市中壢區成功里9鄰成章三街143巷3號,24.98205,121.256608,B01B02,5271,中壢分局,,
EPA00456,"台灣山葉機車公司 ",桃園市中壢區過嶺里高鐵南路四段998號,24.973616,121.175401,B01,122,中壢分局,,
EPA00457,SOGO百貨中壢店,桃園市中壢區金華里33鄰元化路357號,24.962475,121.223559,B01B02B03B04,6180,中壢分局,,
EPA00458,_中美商業大樓(上海銀行中壢分行),桃園市中壢區興南里11鄰中美路一段18號,24.959959,121.223546,B01B02B03,2900,中壢分局,老街溪站及燈廊,450.0
EPA00459,中壢高中,桃園市中壢區光明里三光路115號,24.962378,121.211029,B01,1562,中壢分局,,
EPA00460,科聚實業公司,桃園市中壢區永光里16鄰民權路三段334巷52號,24.977928,121.214066,B01,226,中壢分局,,
EPA00461,新明國小,桃園市中壢區光明里20鄰中央西路二段97號,24.95939,121.215707,B01,166,中壢分局,,
EPA00462,業昇建設,桃園市中壢區光明里24鄰王子街1號,24.96101,121.213816,B01,598,中壢分局,,
EPA00463,雅銘建設,桃園市中壢區三民里16鄰三光路58號,24.960965,121.210708,B01B02B03,918,中壢分局,,
EPA00464,財團法人中華基督教中壢浸信會,桃園市中壢區舊明里22鄰民族路55號,24.956046,121.213732,B01,321,中壢分局,,
EPA00465,啟英高中,桃園市中壢區永福里9鄰西園路447號,24.972386,121.234552,B01,1977,中壢分局,,
EPA00466,鶴之屋,桃園市中壢區興福里28鄰福安二街50號,24.9689,121.232069,B01B02,968,中壢分局,,
