類別,電腦編號,村里別,地址,緯經度,地下樓層數,可容納人數,轄管分局,備註
一般建築,ZN2429,加昌里,高雄市楠梓區加昌里壽民路128號,"22.718477,120.295156",1,591.0,楠梓分局,
一般建築,ZN2318,清豐里,高雄市楠梓區清豐里清平街24號,"22.735527,120.338678",1,595.0,楠梓分局,
一般建築,ZN2621,藍田里,高雄市楠梓區藍田里大學十街330巷1號,"22.726331,120.286409",1.2,595.0,楠梓分局,
一般建築,ZN2297,惠民里,高雄市楠梓區惠民里高楠公路1868巷1號,"22.730902,120.321138",1,601.0,楠梓分局,
一般建築,ZN2489,翠屏里,高雄市楠梓區翠屏里德豐街225號,"22.727423,120.298392",1,640.0,楠梓分局,
一般建築,ZN2367,慶昌里,高雄市楠梓區慶昌里新昌街101號,"22.710947,120.29894",1,640.0,楠梓分局,
一般建築,ZN2285,中陽里,高雄市楠梓區中陽里朝明路130巷7弄8號,"22.724067,120.328773",1,711.0,楠梓分局,
一般建築,ZN2320,五常里,高雄市楠梓區五常里常德路247號,"22.736169,120.336753",1,724.0,楠梓分局,
一般建築,ZN2519,宏昌里,高雄市楠梓區宏昌里藍昌路360巷50號,"22.722549,120.292139",1,751.0,楠梓分局,
活動中心,ZN2402,金田里,高雄市楠梓區金田里學專路775號,"22.721938,120.317286",1,760.0,楠梓分局,
一般建築,ZN2365,翠屏里,高雄市楠梓區翠屏里德祥路12之6號,"22.728368,120.311544",1,765.0,楠梓分局,
一般建築,ZN2560,惠民里,高雄市楠梓區惠民里高楠公路1837號,"22.729188,120.320677",1,773.0,楠梓分局,
一般建築,ZN2374,興昌里,高雄市楠梓區興昌里右昌街419號,"22.7159,120.287774",1.2.3,780.0,楠梓分局,
一般建築,ZN2257,翠屏里,高雄市楠梓區翠屏里壽豐路405號,"22.72472,120.296664",1,783.0,楠梓分局,
一般建築,ZN2463,翠屏里,高雄市楠梓區翠屏里德惠路70巷19號,"22.727499,120.303848",1,790.0,楠梓分局,
一般建築,ZN2409,享平里,高雄市楠梓區享平里楠梓東街79號,"22.729763,120.329732",1,794.0,楠梓分局,
一般建築,ZN2622,清豐里,高雄市楠梓區清豐里創新路753號,"22.750117,120.331359",1.2,798.0,楠梓分局,
一般建築,ZN2381,清豐里,高雄市楠梓區清豐里旗楠路99號,"22.73333064,120.331138469558",1,806.0,楠梓分局,
學校,ZN1440,加昌里,高雄市楠梓區加昌里樂群路220號,"22.720392,120.296547",1,825.0,楠梓分局,
一般建築,ZN2265,翠屏里,高雄市楠梓區翠屏里德民路356巷18號,"22.725981,120.304748",1,825.0,楠梓分局,
一般建築,ZN2525,中陽里,高雄市楠梓區中陽里朝明路130巷7弄12號,"22.72415,120.328895",1,885.0,楠梓分局,
