電腦編號,管轄單位,里別,"地下 層數",容納人數,備註,原址
EQA00445,楊梅分局,石磊里,,370.0,,
EQA00446,楊梅分局,青山里,,4341.0,,
EQA00447,楊梅分局,瑞塘里,,2299.0,,
EQA00448,楊梅分局,永寧里,,1462.0,,
EQA00449,楊梅分局,豐野里,,416.0,,
EQA00450,楊梅分局,高上里,,981.0,,
EQA00451,楊梅分局,楊明里,3.0,4908.0,,
EQA00452,楊梅分局,中山里,,11357.0,,
EQA00454,楊梅分局,大同里,,12569.0,,
EQA00455,楊梅分局,楊明里,,291.0,,
EQA00456,楊梅分局,清華里,,1226.0,,
EQA00457,楊梅分局,楊梅里,2.0,216.0,,
EQA00458,楊梅分局,四維里,,7767.0,,
EQA00459,楊梅分局,清華里,,854.0,,
EQA00460,楊梅分局,瑞塘里,,4575.0,,
EQA00461,楊梅分局,瑞溪里,3.0,5574.0,重複建檔待除管,桃園市楊梅區瑞溪里梅獅路232巷20號
EQA00462,楊梅分局,豐野里,1.0,428.0,重複建檔待除管,桃園市楊梅區豐野里中正路147號
EQA00463,楊梅分局,永寧里,2.0,5360.0,重複建檔待除管,桃園市楊梅區永寧里環南路80巷1號
EQA00464,楊梅分局,永寧里,2.0,5360.0,重複建檔待除管,桃園市楊梅區永寧里環南路80巷1號
EQA00465,楊梅分局,永寧里,2.0,5360.0,重複建檔待除管,桃園市楊梅區永寧里環南路80巷1號
EQA00466,楊梅分局,永寧里,2.0,5360.0,重複建檔待除管,桃園市楊梅區永寧里環南路80巷1號
EQA00467,楊梅分局,瑞坪里,1.0,619.0,重複建檔待除管,桃園市楊梅區瑞坪里文化街535號
EQA00468,楊梅分局,永寧里,2.0,5360.0,重複建檔待除管,桃園市楊梅區永寧里環南路80巷1號
EQA00469,楊梅分局,永寧里,2.0,5360.0,重複建檔待除管,桃園市楊梅區永寧里環南路80巷1號
EQA00470,楊梅分局,永寧里,2.0,5360.0,重複建檔待除管,桃園市楊梅區永寧里環南路80巷1號
EQA00472,楊梅分局,楊梅里,2.0,1408.0,重複建檔待除管,桃園市楊梅區楊梅里新梅六街46號
EQA00479,楊梅分局,上田里,1.0,227.0,,
EQA00480,楊梅分局,瑞坪里,3.0,4396.0,,
EQA00481,楊梅分局,永平里,,1663.0,,
EQA00482,楊梅分局,永寧里,2.0,2738.0,,
EQA00483,楊梅分局,永平里,1.0,2168.0,,
EQA00484,楊梅分局,仁美里,,1569.0,,
EQA00485,楊梅分局,永平里,1.0,3477.0,,
EQA00486,楊梅分局,梅溪里,1.0,714.0,,
EQA00487,楊梅分局,新榮里,,2075.0,,
EQA00488,草湳所,瑞坪里,3.0,1638.0,,桃園市楊梅區瑞坪里35鄰瑞溪路二段126號
EQA00489,楊梅所,楊梅里,2.0,308.0,,桃園市楊梅區楊梅里26鄰楊新路41號
EQA00490,楊梅所,中山里,1.0,1221.0,,桃園市楊梅區中山里4鄰環東路298巷8號
EQA00491,埔頂所,上田里,2.0,1976.0,,桃園市楊梅區上田里6鄰和平路236巷31弄28號
EQA00492,草湳所,金龍里,2.0,4661.0,,桃園市楊梅區金龍里14鄰金龍一路2號
