類別,電腦編號,村里別,地址,緯經度,可容納人數,管轄分局,備註
不開放,636.0,南陽村,"崙背鄉南陽村建國路35號  ","23.75977, 120.35411",1968,西螺分局,
崙背國中,637.0,南陽村,"崙背鄉南陽村大城路91號  ","23.75793, 120.3491",2192,西螺分局,
不開放,638.0,南陽村,"崙背鄉南陽村民主路5號  ","23.75956, 120.35288",80,西螺分局,
不開放,639.0,南陽村,"崙背鄉南陽村南光路42號  ","23.75908, 120.35271",26,西螺分局,
二崙鄉公所,640.0,崙西村,"二崙鄉崙西村中興路5號 ","23.77152, 120.41292",266,西螺分局,
二崙鄉圖書館,641.0,崙西村,"二崙鄉崙西村中興路5號之1  ","23.77113, 120.41298",181,西螺分局,
大發市場,642.0,崙西村,"二崙鄉崙西村民生路145號  ","23.76832, 120.40985",178,西螺分局,
匯豐糧食加工廠,643.0,崙西村,"二崙鄉崙西村中山路392號  ","23.76679, 120.40507",128,西螺分局,
億東企業股份有限公司,644.0,崙西村,"二崙鄉中山路357號 ","23.76704, 120.40701",238,西螺分局,
一般住宅,645.0,崙西村,"二崙鄉崙西村中山路369號  ","23.76689, 120.4068",80,西螺分局,
不開放,646.0,崙東村,"二崙鄉崙東村中興路118號  ","23.773, 120.41244",1425,西螺分局,
不開放,647.0,崙東村,"二崙鄉崙東村中興路170號  ","23.77362, 120.41205",81,西螺分局,
不開放,648.0,崙東村,"二崙鄉崙東村中興路120號  ","23.77329, 120.41224",181,西螺分局,
崙背鄉公所圖書館,649.0,南陽村,"崙背鄉崙前村南光路5號  ","23.75902, 120.3532",132,西螺分局,
東元塑膠工廠,650.0,崙前村,"崙背鄉大利街28號 ","23.75208, 120.34807",210,西螺分局,
金樹塑膠工業公司,651.0,崙前村,"崙背鄉崙前村大利街29號  ","23.75247, 120.34834",95,西螺分局,
雲林縣政府,652.0,港後村,二崙鄉港後村太平路1-31號,"23.81396, 120.39501",269,西螺分局,
文興國小,653.0,新豐里,"西螺鎮新豐里新社路259號  ","23.78363, 120.44621",450,西螺分局,
彰基雲林分院,654.0,新豐里,"西螺鎮新豐里新社路321號  ","23.78363, 120.44633",3451,西螺分局,
文興國小,655.0,新豐里,"西螺鎮新豐里新社路257號  ","23.78801, 120.44463",311,西螺分局,
彰基雲林分院,656.0,新豐里,"西螺鎮新豐里新社路321-89號  ","23.78615, 120.44705",546,西螺分局,
彰基雲林分院總務樓,657.0,新豐里,西螺鎮市南路371號,"23.78716, 120.44544",3550,西螺分局,
西螺鎮果菜市場,658.0,漢光里,"西螺鎮漢光里建興路101號  ","23.79609, 120.45887",182,西螺分局,
不開放,659.0,漢光里,"西螺鎮漢光里中山路225號  ","23.79956, 120.45758",1184,西螺分局,
不開放,660.0,漢光里,"西螺鎮漢光里平和路111號  ","23.79859, 120.45768",426,西螺分局,
滿固泠藏工廠,661.0,福田里,西螺鎮福田里社口68-21號,"23.78913, 120.4336",44,西螺分局,
金農米公司,662.0,福田里,西螺鎮社口68-38號,"23.78913, 120.4336",102,西螺分局,
鋐嶸金屬工業公司,663.0,福田里,西螺鎮社口68-18號,"23.78913, 120.4336",133,西螺分局,
一般住宅,664.0,福興里,"西螺鎮福興里修文路8巷3號  ","23.80308, 120.46312",251,西螺分局,
一般住宅,665.0,福興里,"西螺鎮福興里修文路8巷3號  ","23.80308, 120.46312",251,西螺分局,
西螺中央市場,666.0,福興里,"西螺鎮建興路248號 ","23.80045, 120.45937",2465,西螺分局,
育仁醫院,667.0,福興里,"西螺鎮福興里延平路162號  ","23.80139, 120.46095",502,西螺分局,
西螺鎮公所,668.0,廣福里,"西螺鎮廣福里光復西路20號  ","23.79793, 120.4655",744,西螺分局,
中山國小,669.0,廣福里,"西螺鎮新街路2號 ","23.79464, 120.46534",1582,西螺分局,
一般住宅,670.0,廣興里,"西螺鎮廣興里廣興路180號  ","23.7937, 120.46518",1800,西螺分局,
廣興國小,671.0,廣興里,西螺鎮廣興里廣興59號,"23.7664, 120.45867",98,西螺分局,
慈惠寺,672.0,港尾村,"崙背鄉港尾48號 ","23.74847, 120.37528",505,西螺分局,
皇宮大旅社,673.0,羅厝村,"崙背鄉東興247號 ","23.75673, 120.36906",49,西螺分局,
