類別,電腦編號,村里別,地址,地下樓層數,可容納人數,備註
大樓,TPA00186,漢民里,宜蘭縣羅東鎮漢民里中山路三段492號,1.0,280.0,
公寓,TPA00324,賢文里,宜蘭縣羅東鎮賢文里中華路45號,1.0,277.0,
公寓,TPA00349,仁德里,宜蘭縣羅東鎮仁德里民族路75號,1.0,274.0,
大樓,TPA00192,國華里,宜蘭縣羅東鎮國華里培英路132號,1.0,272.0,
大樓,TPA00069,賢文里,宜蘭縣羅東鎮賢文里7鄰民權路162號,1.0,266.0,
公寓,TPA00229,大新里,宜蘭縣羅東鎮大新里和平路132、134號,1.0,266.0,
公寓,TPA00092,公正里,宜蘭縣羅東鎮公正里公正路196號,1.0,262.0,
工廠,TPA00306,東城村,宜蘭縣冬山鄉東城村東福路201號,1.0,260.0,
大樓,TPA00344,賢文里,宜蘭縣羅東鎮賢文里中華路29號,1.0,257.0,
工廠,TPA00304,大興村,宜蘭縣冬山鄉大興村自強路31號,1.0,252.0,
大樓,TPA00278,羅莊里,宜蘭縣羅東鎮東安里光榮路27、29號,1.0,246.0,
大樓,TPA00180,仁和里,宜蘭縣羅東鎮仁和里康樂巷14號,1.0,245.0,
學校,TPA00079,樹林里,宜蘭縣羅東鎮樹林里公正路324號,1.0,241.0,
大樓,TPA00270,東安里,宜蘭縣羅東鎮東安里陽明路13號,1.0,233.0,
大樓,TPA00202,開明里,宜蘭縣羅東鎮開明里清潭路74、76號,1.0,229.0,
公寓,TPA00100,信義里,宜蘭縣羅東鎮信義里中華路99號,1.0,226.0,
公寓,TPA00340,國華里,宜蘭縣羅東鎮國華里四育路79號,1.0,224.0,
公寓,TPA00212,大新里,宜蘭縣羅東鎮大新里和平路97號,1.0,218.0,
公寓,TPA00045,賢文里,宜蘭縣羅東鎮賢文里民意街115號,1.0,216.0,
大樓,TPA00104,信義里,宜蘭縣羅東鎮信義里興東路205號,1.0,214.0,
大樓,TPA00073,集祥里,宜蘭縣羅東鎮集祥里公正路103號,1.0,213.0,
大樓,TPA00029,福興村,宜蘭縣五結鄉福興村五結路三段751號,1.0,206.0,
工廠,TPA00328,成興村,宜蘭縣五結鄉成興村鄰利工一路二段53號,1.0,204.0,
公寓,TPA00231,南昌里,宜蘭縣羅東鎮南昌里中正南路102號,1.0,201.0,
學校,TPA00322,廣興村,宜蘭縣羅東鎮廣興村廣興路117號,1.0,193.0,
公寓,TPA00169,漢民里,宜蘭縣羅東鎮漢民里忠孝路53號,1.0,190.0,
工廠,TPA00321,廣興村,宜蘭縣冬山鄉廣興村廣興路680巷190號,1.0,186.0,
農田水利會,TPA00055,賢文里,宜蘭縣羅東鎮賢文里興東路93號,1.0,181.0,
公寓,TPA00161,成功里,宜蘭縣羅東鎮成功里純精路一段217號,1.0,178.0,
學校,TPA00199,國華里,宜蘭縣羅東鎮國華里國華街101號,1.0,177.0,
工廠,TPA00297,大興村,宜蘭縣冬山鄉大興村德興一路65號,1.0,173.0,
學校,TPA00166,國華里,宜蘭縣羅東鎮國華里國華路101號,1.0,170.0,
大樓,TPA00110,漢民里,宜蘭縣羅東鎮漢民里中山西街224號,1.0,165.0,
農會,TPA00004,三興村,宜蘭縣五結鄉三興村五結中路三段507號,1.0,160.0,
大樓,TPA00084,公正里,宜蘭縣羅東鎮公正里倉前路119號,1.0,160.0,
公寓,TPA00171,仁和里,宜蘭縣羅東鎮仁和里中正路5號,1.0,154.0,
公寓,TPA00241,大新里,宜蘭縣羅東鎮大新里公正路73號,1.0,153.0,
公寓,TPA00153,仁和里,宜蘭縣羅東鎮仁和里中山西街3-5號,1.0,149.0,
公寓,TPA00237,南昌里,宜蘭縣羅東鎮南昌里站前南路183巷1、3號,1.0,149.0,
大樓,TPA00106,賢文里,宜蘭縣羅東鎮賢文里公正路173號,1.0,145.0,
公寓,TPA00215,中山里,宜蘭縣羅東鎮中山里振泰街34號,1.0,141.0,
大樓,TPA00191,西安里,宜蘭縣羅東鎮西安里純精路一段1號,1.0,137.0,
工廠,TPA00285,大興村,宜蘭縣冬山鄉大興村德興六路54號,1.0,134.0,
工廠,TPA00310,大興村,宜蘭縣冬山鄉大興村德興九路1之1號,1.0,133.0,
工廠,TPA00022,"大吉村 ",宜蘭縣五結鄉大吉村五結中路3段38號,1.0,132.0,
學校,TPA00115,南豪里,宜蘭縣羅東鎮南豪里文化街45號,1.0,132.0,
工廠,TPA00002,中興村,宜蘭縣五結鄉中興村中里路18號,1.0,129.0,
工廠,TPA00005,中興村,宜蘭縣五結鄉中興村中里路18號,1.0,129.0,
公寓,TPA00154,國華里,宜蘭縣羅東鎮國華里培英路145號,1.0,125.0,
公寓,TPA00222,大新里,宜蘭縣羅東鎮大新里站前路38-44號,1.0,122.0,
公寓,TPA00067,樹林里,宜蘭縣羅東鎮樹林里竹林街269巷103號,1.0,122.0,
寺廟,TPA00218,開明里,宜蘭縣羅東鎮開明里清潭路2號,1.0,121.0,
工廠,TPA00284,大興村,宜蘭縣冬山鄉大興村自強路16號,1.0,120.0,
公寓,TPA00205,大新里,宜蘭縣羅東鎮大新里公正路37號,1.0,118.0,
公寓,TPA00052,集祥里,宜蘭縣羅東鎮集祥里民生路80之1號,1.0,117.0,
公寓,TPA00037,大新里,宜蘭縣羅東鎮大新里中正北路40號,1.0,114.0,
公寓,TPA00068,樹林里,宜蘭縣羅東鎮樹林里竹林街269巷103號,1.0,113.0,
公寓,TPA00056,公正里,宜蘭縣羅東鎮公正里公正路188號,1.0,112.0,
電力公司,TPA00044,信義里,宜蘭縣羅東鎮信義里中正北路93號,1.0,109.0,
工廠,TPA00320,得安村,宜蘭縣冬山鄉得安村梅林路580號,1.0,108.0,
工廠,TPA00298,大興村,宜蘭縣冬山鄉大興村自強路30號,1.0,106.0,
公寓,TPA00206,開明里,宜蘭縣羅東鎮開明里清潭路112之1號,1.0,104.0,
公寓,TPA00228,開明里,宜蘭縣羅東鎮開明里民族路5號,1.0,104.0,
公寓,TPA00221,開明里,宜蘭縣羅東鎮開明里清潭路148巷13號,1.0,102.0,
工廠,TPA00293,東城村,宜蘭縣冬山鄉東城村東福路236號,1.0,100.0,
公寓,TPA00160,成功里,宜蘭縣羅東鎮成功里純精路一段215號,1.0,98.0,
公寓,TPA00076,集祥里,宜蘭縣羅東鎮集祥里天津路1巷12號,1.0,98.0,
公寓,TPA00235,大新里,宜蘭縣羅東鎮大新里公正路60之1號,1.0,98.0,
公寓,TPA00250,大新里,宜蘭縣羅東鎮大新里和平路150號,1.0,97.0,
大樓,TPA00257,大新里,宜蘭縣羅東鎮大新里公正路65號,1.0,97.0,
公寓,TPA00225,開明里,宜蘭縣羅東鎮開明里中正路72號,1.0,96.0,
公寓,TPA00240,大新里,宜蘭縣羅東鎮大新里公正路71號,1.0,94.0,
公寓,TPA00062,樹林里,宜蘭縣羅東鎮樹林里文林路17號,1.0,92.0,
工廠,TPA00282,安平村,宜蘭縣冬山鄉安平村照安二路201巷13號,1.0,89.0,
公寓,TPA00027,福興村,宜蘭縣五結鄉福興村五結路三段390號,1.0,85.0,
工廠,TPA00287,大興村,宜蘭縣冬山鄉大興村德興一路46號,1.0,85.0,
公寓,TPA00155,仁和里,宜蘭縣羅東鎮仁和里康樂巷16號,1.0,85.0,
教會,TPA00283,南興村,宜蘭縣冬山鄉南興村南興路16號,1.0,81.0,
工廠,TPA00003,中興村,宜蘭縣五結鄉中興村中里路16號,1.0,78.0,
公寓,TPA00136,國華里,宜蘭縣羅東鎮國華里培英路61巷2號,1.0,77.0,
工廠,TPA00024,福興村,宜蘭縣五結鄉仁五路一段23號,1.0,76.0,
公寓,TPA00156,仁和里,宜蘭縣羅東鎮仁和里中山西路7號,1.0,74.0,
公寓,TPA00219,大新里,宜蘭縣羅東鎮大新里中正路146號,1.0,73.0,
公寓,TPA00233,大新里,宜蘭縣羅東鎮大新里和平路87號,1.0,72.0,
公寓,TPA00128,中山里,宜蘭縣羅東鎮中山里民權路107號,1.0,70.0,
公寓,TPA00129,中山里,宜蘭縣羅東鎮中山里民權路111號,1.0,70.0,
公寓,TPA00217,大新里,宜蘭縣羅東鎮大新里和平路122號,1.0,66.0,
公寓,TPA00224,開明里,宜蘭縣羅東鎮開明里中正路72之1號,1.0,64.0,
公寓,TPA00111,國華里,宜蘭縣羅東鎮國華里建中街2號,1.0,62.0,
工廠,TPA00326,成興村,宜蘭縣五結鄉成興村五濱路一段235號,1.0,61.0,
工廠,TPA00318,鹿埔村,宜蘭縣冬山鄉鹿埔村梅花路655號,1.0,60.0,
公寓,TPA00077,公正里,宜蘭縣羅東鎮公正里天津路18之1號,1.0,60.0,
公寓,TPA00251,南昌里,宜蘭縣羅東鎮南昌里南昌街65號,1.0,58.0,
工廠,TPA00294,香和村,宜蘭縣冬山鄉香和村香中路1號,1.0,56.0,
公寓,TPA00247,南昌里,宜蘭縣羅東鎮南昌里勝利街16號,1.0,56.0,
公寓,TPA00124,國華里,宜蘭縣羅東鎮國華里尚武街2號,1.0,53.0,
公寓,TPA00057,公正里,宜蘭縣羅東鎮公正里中華路72號,1.0,53.0,
公寓,TPA00058,信義里,宜蘭縣羅東鎮信義里長春路29號,1.0,53.0,
公寓,TPA00130,中山里,宜蘭縣羅東鎮中山里民權路109巷3號,1.0,53.0,
公寓,TPA00132,中山里,宜蘭縣羅東鎮中山里中山路三段296號,1.0,53.0,
公寓,TPA00223,開明里,宜蘭縣羅東鎮開明里中正路76號,1.0,53.0,
