類別,建築物名稱,電腦編號,地址,緯經度,地下樓層數,可容納人數,轄管分局,停車場坡道,備註
學校,迴龍國小,B13-03-053,龜山區萬壽路一段168號,"25.018300,121.405760",3.0,2530.0,龜山分局,,
民宅,私人公司,B13-04-054,龜山區自由街10巷18號,"25.018955,121.404008",1.0,220.0,龜山分局,O,
公司,喬竹建設,B13-05-055,龜山區萬壽路一段241巷2弄2號,"25.019769,121.409920",1.0,713.0,龜山分局,O,
民宅,私人公司,B13-06-056,龜山區自由街40號,"25.019882,121.403212",1.0,1047.0,龜山分局,O,
大樓,茂德建設-法國臻品社區大樓,B13-07-057,龜山區萬壽路一段136號,"25.018432,121.406353",3.0,1380.0,龜山分局,,
民宅,私人公司,B07-01-058,龜山區宏慶街34巷2號,"25.019117,121.409316",1.0,143.0,龜山分局,O,
公司,興旺壓鑄企業,B04-09-059,龜山區東萬壽路642巷85號,"25.008118,121.379356",1.0,316.0,龜山分局,O,
公司,信興建設,B14-01-060,龜山區龍新街60號,"25.018667,121.405533",1.0,946.0,龜山分局,O,
公家機關,迴龍派出所-桃園市政府警察局龜山分局,B01-02-061,萬壽路一段117號,,1.0,229.0,龜山分局,O,機敏單位
公司,臺億建築經理股份有限公司,B01-02-062,萬壽路一段425號,"25.016204,121.399399",1.0,136.0,龜山分局,O,
公司,新世紀衛浴企業有限公司,B01-02-063,東萬壽路645號,"25.009954,121.37852",1.0,464.0,龜山分局,O,
公司,昇樺建設股份有限公司,A01-15-048,自由街10巷28號,"25.019027,121.404063",2.0,327.0,龜山分局,O,
公司,地景建設有限公司,A02-13-141,萬壽路一段369巷1號2樓之2,"25.0166723,121.401318",2.0,1041.0,龜山分局,O,
公司,新東電子工業股份有限公司,B01-10-110,萬壽路一段458號,"25.016451,121.398857",2.0,407.0,龜山分局,O,
公司,臺億建築經理股份有限公司,B03-10-055,萬壽路一段422巷32弄6號,"25.017493,121.399704",1.0,385.0,龜山分局,,
公司,佳佑建設有限公司負責人,B03-10-056,萬壽路一段120巷6號二樓,"25.018988,121.406586",2.0,417.0,龜山分局,,
公寓,桃園市政府警察局龜山分局-龜山派出所,A01-03-003,萬壽路二段931號,,1.0,303.0,龜山分局," ",機敏單位
大樓,金朋建設公司,A01-04-004,中和南路94巷1號,"24.99476,121.33767",1.0,188.0,龜山分局," ",
學校,龜山國小,A01-05-005,萬壽路二段933巷14號,"24.994162,121.338936",1.0,544.0,龜山分局," ",
大樓,社區大樓,A02-02-007,萬壽路二段662號,"24.999014,121.345455",1.0,879.0,龜山分局,,
大樓,社區大樓,A02-03-008,萬壽路二段628巷19號,"25.001682,121.36330",2.0,669.0,龜山分局,O,
大樓,香檳區管理委員會,A02-04-009,萬壽路二段606巷1弄22號,"25.00207,121.363244",2.0,500.0,龜山分局,,
大樓,香檳區管理委員會,A02-05-010,萬壽路二段606巷1弄7號,"24.992545,121.325079",2.0,121.0,龜山分局,,
大樓,香檳區管理委員會,A02-06-011,萬壽路二段606巷1弄22號,"25.002070,121.363244",2.0,981.0,龜山分局,,
工廠,太友工程公司,A04-01-013,萬壽路一段1671號,"25.003796,121.368466",1.0,423.0,龜山分局,,
工廠,永發鋼鐵,A05-03-016,長壽路86號,"25.001985,121.344994",1.0,2535.0,龜山分局,,
大樓,東豪建設公司,A05-04-017,光榮路11巷18號,"25.007705,121.342139",2.0,324.0,龜山分局,,
工廠,台灣樁本公司,A05-05-018,自強北路17巷33號,"25.024107,121.340744",1.0,213.0,龜山分局,,
工廠,海帆企業,A07-09-027,海萍路1號,"24.983626,121.344934",1.0,145.0,龜山分局,,
工廠,富惟工業公司,A07-16-034,海萍路10號,"24.980921,121.344786",1.0,34.0,龜山分局,,
工廠,正亞電線電纜,A07-17-035,海萍路6巷7號,"24.982149,121.344506",1.0,104.0,龜山分局,,
工廠,東金電機,A07-20-038,湖山街180巷79號,"24.986690,121.350360",1.0,20.0,龜山分局,,
大樓,社區大樓,A08-01-039,同心一路2-1號,"24.996643,121.331061",2.0,3325.0,龜山分局,O,
大樓,社區大樓,A09-01-040,陸光路85號,"24.995748,121.330891",2.0,2439.0,龜山分局,O,
大樓,社區大樓,A09-02-041,陸光路81號,"24.995495,121.331541",2.0,1168.0,龜山分局,,
民宅,信華公司,A10-01-042,萬壽路二段472號,"25.002213,121.350166",1.0,155.0,龜山分局,,
工廠,和榮工業,A10-17-058,茶專路36號,"24.997628,121.357113",1.0,56.0,龜山分局,,
工廠,高峰製衣廠,A10-21-062,萬壽路二段357號,"25.001186,121.354695",1.0,354.0,龜山分局,,
工廠,宏仰纖維公司,A10-25-066,茶專路22號,"24.998399,121.356326",1.0,104.0,龜山分局,,
工廠,乙光精機廠,A10-28-069,茶專路40號,"24.997248,121.357582",1.0,99.0,龜山分局,,
大樓,社區大樓,A10-30-071,振興路46號,"25.003267,121.350575",1.0,1045.0,龜山分局,O,
工廠,大晶光電,A10-32-073,茶專路12號,"24.999696,121.355536",1.0,399.0,龜山分局,,
大樓,社區大樓,A11-03-077,自強南路694號,"24.991332,121.333979",1.0,1252.0,龜山分局,O,
民宅,超翔建設,A13-04-081,大同路170號,"24.991564,121.343399",1.0,516.0,龜山分局,O,
大樓,泰穩建設公司,A13-05-082,大同路313巷12弄1號,"24.989327,121.346849",1.0,597.0,龜山分局,O,
大樓,日大興建設,A13-06-083,明成街19號,"24.991402,121.344634",1.0,540.0,龜山分局,,
工廠,德鑫公司,A14-02-085,大同路346號,"24.987751,121.347864",1.0,52.0,龜山分局,,
工廠,星立實業公司,A14-03-086,大同路330.332號,"24.988599,121.346743",1.0,81.0,龜山分局,,
大樓,社區大樓,A14-04-087,明德路1號,"24.993489,121.337712",1.0,1490.0,龜山分局,,
大樓,社區大樓,A14-06-089,明德路明駝巷8號,"24.992600,121.340827",1.0,135.0,龜山分局,,
學校,銘傳大學,A14-07-090,德明路5號,"24.985144,121.344205",1.0,1151.0,龜山分局,O,
學校,銘傳大學,A14-08-091,德明路5號,"24.985144,121.344205",1.0,827.0,龜山分局,O,
大樓,私人公司,A14-09-092,明德路240巷6號,"24.990796,121.341805",1.0,105.0,龜山分局,,
大樓,三莊建設,A14-13-096,德明路77巷67號,"24.989189,121.342555",1.0,110.0,龜山分局,O,
大樓,三莊建設,A14-14-097,德明路77巷71號,"24.989189,121.342555",1.0,134.0,龜山分局,O,
大樓,翰昇建設有限公司,A14-15-098,德明路130號,"24.988434,121.343744",1.0,211.0,龜山分局,O,
大樓,私人公司,A14-16-099,德明路89巷81號,"24.989570,121.343026",1.0,50.0,龜山分局,O,
大樓,和典建設公司,A14-17-100,大同路238號,"24.990183,121.344538",2.0,1226.0,龜山分局,,
學校,廣郡開發公司,A14-18-101,德明路2段120巷1號,"24.986552,121.343590",1.0,153.0,龜山分局,,
工廠,光發鍍金公司,A15-01-102,萬壽路一段1699號,"25.003369,121.366006",1.0,111.0,龜山分局,,
大樓,私人公司,A15-02-103,東萬壽路26號,"25.001221,121.363324",1.0,1211.0,龜山分局,,
大樓,私人公司,A17-01-104,明德路20號,"24.993248,121.337566",3.0,422.0,龜山分局,O,
工廠,祥順公司,A18-04-108,大同路1176號,"24.989286,121.365496",1.0,73.0,龜山分局,O,
民宅,忠恕道院,A18-05-109,大棟山路111號,"25.050370,121.358585",1.0,38.0,龜山分局,,
民宅,私人公司,A21-01-110,長壽路250號,"24.998982,121.338198",1.0,39.0,龜山分局,,
大樓,私人公司,A21-02-111,自強西路57號,"24.996604,121.337880",1.0,210.0,龜山分局,O,
工廠,集泰企業,A23-01-113,茶專一街126號,"24.996711,121.363716",1.0,115.0,龜山分局,,
大樓,臥龍建設,A23-03-115,茶專路196巷1號,"25.000895,121.355852",1.0,1334.0,龜山分局,,
大樓,幸大建設,A24-01-116,幸美11街13號,"24.995331,121.358055",1.0,1400.0,龜山分局,,
大樓,龍和園社區,A26-01-117,優美街7巷4號,"25.000160,121.361580",1.0,1916.0,龜山分局,O,
大樓,大景小城,A26-02-118,優美街54巷2號,"24.999119,121.362020",3.0,5236.0,龜山分局,O,
大樓,私人公司,A27-03-121,自強東路213號,"24.996567,121.344716",1.0,154.0,龜山分局,,
學校,自強國小,A27-04-122,自強東路269號,"24.997537,121.345373",1.0,851.0,龜山分局,,
大樓,三莊建設,A27-05-123,大同路104巷11號,"24.992960,121.341384",1.0,333.0,龜山分局,O,
大樓,宗鼎建設,A11-04-125,中和南路189號,"24.993502,121.335067",1.0,361.0,龜山分局,,
學校,新路國小,A20-01-126,永和街12號,"24.995556,121.336325",1.0,625.0,龜山分局,,
學校,銘傳大學,A14-19-127,德明路5號,"24.985144,121.344205",2.0,1410.0,龜山分局,,
大樓,私人公司,A21-03-128,長壽路295號,"24.999431,121.339668",1.0,514.0,龜山分局,,
區公所,龜山區公所,A12-01-129,中山街26號,"24.991401,121.337255",1.0,525.0,龜山分局,O,
大樓,太子建設,A27-07-130,萬壽路二段583號,"25.000005,121.347194",2.0,1712.0,龜山分局,,
大樓,太子建設,A27-08-131,萬壽路二段653巷3號,"25.001699,121.363671",1.0,1052.0,龜山分局,O,
大樓,太子建設,A27-09-132,萬壽路二段667號,"24.998711,121.345338",2.0,2193.0,龜山分局,,
大樓,太子建設-太子地球村,A27-10-133,萬壽路二段601巷1弄2號,"24.994744,121.336743",2.0,1210.0,龜山分局,O,
大樓,凱森建設,A18-04-134,明成街200號,"24.988599,121.348449",2.0,1123.0,龜山分局,,
大樓,太子建設,A27-11-135,萬壽路二段601巷8號,"24.997241,121.344187",1.0,103.0,龜山分局,O,
大樓,凱森建設,A13-08-136,明成街218號,"24.988223,121.348304",2.0,1123.0,龜山分局,,
大樓,私人公司,A21-04-137,自強西路202號,"24.996936,121.333764",1.0,211.0,龜山分局,,
大樓,尊龍建設,A13-09-138,大同路253號,"24.989721,121.344877",2.0,1027.0,龜山分局,O,
大樓,俊園建設,A02-07-139,萬壽路二段588號,"24.999941,121.346999",2.0,954.0,龜山分局,O,
民宅,忠恕道院,A18-06-140,大棟山路111號,"24.990438,121.371151",1.0,538.0,龜山分局,O,
大樓,私人公司,A06-01-141,光峰路212-1號,"25.004367,121.342757",3.0,1831.0,龜山分局,,
大樓,私人公司,A05-06-142,光榮路77號,"25.008822,121.342178",3.0,1276.0,龜山分局,,
學校,私人公司,A22-02-143,大同路23號,"24.994550,121.340972",1.0,17213.0,龜山分局,O,
學校,私人公司,A16-03-144,光峰路285號,"25.006447,121.343253",2.0,885.0,龜山分局,O,
學校,私人公司,A22-03-145,大同路23號,"24.994550,121.340972",1.0,1727.0,龜山分局,,
大樓,旺財建設公司,A22-04-146,長壽路269巷12號,"24.997062,121.334058",3.0,884.0,龜山分局,O,
大樓,宏簥建設公司,A22-05-147,自強東路226號,"24.996872,121.344632",3.0,419.0,龜山分局,O,
大樓,旺財建設公司,A22-06-148,長壽路269巷13號5樓,"24.998725,121.344632",3.0,884.0,龜山分局,O,
工廠,晟權精密工業有限公司,A23-04-149,茶專路4號,"25.000567,121.354709",1.0,1184.0,龜山分局,,
民宅,私人公司,A23-03-150,萬壽路二段890號,"24.995940,121.339352",1.0,31.0,龜山分局,,
大樓,傳佳建設股份有限公司,A23-03-151,楓樹三街86號,"25.005563,121.347271",3.0,1340.0,龜山分局,O,
大樓,昇捷建設股份有限公司,A23-03-152,德明路89巷68號,"24.989157,121.343573",1.0,774.0,龜山分局,O,
大樓,誼駿建設股份有限公司,A37-03-153,光榮路76號,"25.008341,121.342725",3.0,1654.0,龜山分局,O,
學校,桃園市立壽山高級中等學校,A27-03-154,自強東路27巷8號,"24.994322,121.341957",1.0,406.0,龜山分局,,
工廠,毅錩建設股份有限公司負責人,A18-02-155,茶專二街92巷17號,"24.992228,121.358694",2.0,566.0,龜山分局,,
民宅,私人公司,A37-02-156,光榮路105號,"25.010195,121.341576",1.0,130.0,龜山分局,,
大樓,逸偉建設股份有限公司,A21-01-157,楓樹三街39號,"25.005188,121.345999",2.0,1241.0,龜山分局,,
大樓,立燿建設股份有限公司,A22-01-158,楓樹六街138號,"25.003795,121.347319",2.0,997.0,龜山分局,,
大樓,中央警察大學,C04-01-003,樹人路56號,"25.046979785939012, 121.35208180934768",1.0,1571.0,龜山分局,O,
大樓,私人公司,C08-01-004,文化三路78巷11-17號,"25.05786112355939, 121.36235981199741",2.0,805.0,龜山分局,O,
大樓,私人公司,C08-02-005,文三二街7號,"25.05654763069097, 121.36147118180521",2.0,462.0,龜山分局,O,
大樓,私人公司,C07-02-007,文化二路34巷14弄30號,"25.059964625354915, 121.36431107140045",3.0,756.0,龜山分局,O,
大樓,私人公司,C10-01-008,大湖一路79巷35號,"25.055110492257725, 121.35700108754837",1.0,1234.0,龜山分局,O,
工廠,私人公司,C10-08-016,大湖路94號,"25.05674977338458, 121.35253254456431",1.0,261.0,龜山分局,,
大樓,私人公司,C11-02-019,文化三路61-65號,"25.059146210817165, 121.36296371427879",1.0,642.0,龜山分局,,
大樓,私人公司,C09-01-020,文興路35號,"25.060154616441867, 121.36375187616778",2.0,287.0,龜山分局,O,
大樓,富隆建設公司,C11-04-022,文化三路57號,"25.059402106303626, 121.36294349732468",1.0,397.0,龜山分局,,
大樓,私人公司,C11-05-023,文興路46號,"25.05942471209152, 121.36367612115501",1.0,301.0,龜山分局,,
大樓,方喜建設公司,C11-06-024,文興路57號,"25.059549791596567, 121.3639751896619",1.0,279.0,龜山分局,,
大樓,旭聖建設股份有限公司,C11-07-025,文二三街26號,"25.059178349494793, 121.36335039661355",1.0,230.0,龜山分局,,
大樓,亞析建設,C12-01-027,文興路101號,"25.058445562465092, 121.36474498610657",2.0,362.0,龜山分局,,
大樓,私人公司,C13-02-028,文三三街12號,"25.05539190671407, 121.35985611555473",2.0,1137.0,龜山分局,O,
大樓,私人公司,C13-03-029,文三三街12號,"25.05539190671407, 121.35985611555473",1.0,1137.0,龜山分局,O,
大樓,私人公司,C13-04-030,文三三街20巷16號,"25.055462834743, 121.3591693410933",1.0,135.0,龜山分局,O,
大樓,佳林建設,C13-05-031,大湖一路17號,"25.05652548563891, 121.35904846563169",2.0,777.0,龜山分局,O,
大樓,中央警察大學,C04-01-002,樹人路56-1號,"25.04720067839943, 121.35138337241975",2.0,2647.0,龜山分局,O,
大樓,臺億建築經理股份有限公司,C08-04-033,文興路78號,"25.058641547910913, 121.36431889230411",3.0,590.0,龜山分局,,
大樓,協和建設股份有限公司,C10-09-34,大湖一路130號,"25.054225683285974, 121.35620056824378",2.0,1386.0,龜山分局,O,
大樓,佳林建設股份有限公司,C13-06-035,大湖一路17號,"25.05652548563891, 121.35904846563169",2.0,1178.0,龜山分局,O,
大樓,廉永建設有限公司,C05-01-001,文三三街5巷6號,"25.05560644339235, 121.36053994056716",1.0,444.0,龜山分局,O,
工廠,丰雪金屬,C10-07-015,大湖路99號,"25.056216302259756, 121.35286649475003",1.0,118.0,龜山分局,,
大樓,惠友建設股份有限公司,C03-02-037,文化三路20-7號,"25.061972608115774, 121.36113068135887",2.0,728.0,龜山分局,O,
大樓,惠友建設股份有限公司,C03-02-038,文化三路1-36號,"25.06199828581661, 121.36183198287635",2.0,755.0,龜山分局,O,
大樓,長庚醫院,C03-01-017,復興街5-2號,"25.061714724635063, 121.36754739060406",1.0,10475.0,龜山分局,O,
大樓,秉和建設股份有限公司,C10-10-039,大湖一路138巷86號四樓,"25.05383490031675, 121.35519361065411",2.0,4334.0,龜山分局,O,
大樓,長庚醫療財團法人,G19-08-172,文化二路11-5號,"25.06027226363498, 121.36529073538347",3.0,8723.0,龜山分局,O,
大樓,葳鋼興業有限公司,G19-08-177,文化二路11-39號,"25.060826062047965, 121.36489580613156",3.0,691.0,龜山分局,O,
大樓,秉和建設股份有限公司,G10-10-35,大湖一路138巷39號,"25.0543673720185, 121.35524979404444",2.0,1054.0,龜山分局,O,
大樓,臺億建築經理股份有限公司,G10-10-36,文化三路51號5樓,"25.059608599545037, 121.36263822016126",5.0,1136.0,龜山分局,O,
大樓,九榮建設股份有限公司,G10-10-37,復興ㄧ路221號,"25.058119528420495, 121.36495076977185",4.0,378.0,龜山分局,O,
公司,食宸企業有限公司,DO1-01-001,桃園市龜山區民生北路一段472號,"25.042524, 121.299284",1.0,27.0,龜山分局,,
公司,巨武機介公司,DO1-02-002,桃園市龜山區民生北路一段505號,"25.043125, 121.298410",1.0,58.0,龜山分局,,
公司,日文科技有限公司,DO1-03-003,桃園市龜山區民生北路一段362號,"25.040793, 121.300200",1.0,512.0,龜山分局,,
工廠,賜聰鐵工廠,DO1-04-004,桃園市龜山區民生北路一段467號,"25.042701, 121.298925",1.0,25.0,龜山分局,,
民宅,福洲加工社,DO1-05-005,桃園市龜山區民生北路一段459號,"25.042510, 121.299178",1.0,43.0,龜山分局,,
公司,義隆纖維公司,DO1-07-007,桃園市龜山區民生北路一段468號,"25.043305, 121.299917",1.0,928.0,龜山分局,,
公司,新寶纖維有限公司,DO1-08-008,桃園市龜山區民生北路一段386號,"25.041341, 121.299953",1.0,542.0,龜山分局,,
公司,台封印刷電路公司,DO1-09-009,桃園市龜山區民生北路一段長春巷1號,"25.042674, 121.298605",1.0,20.0,龜山分局,,
民宅,馨園快餐店,DO1-10-010,桃園市龜山區民生北路一段541號,"25.043825, 121.297736",1.0,28.0,龜山分局,,
大樓,私人公司,DO1-11-011,桃園市龜山區民生北路一段530號,"25.044086, 121.297974",3.0,3996.0,龜山分局,O,
民宅,私人公司,DO2-01-013,桃園市龜山區民生北路一段54巷2弄17號,"25.034027, 121.304974",1.0,73.0,龜山分局,,
民宅,私人公司,DO2-03-015,桃園市龜山區民生北路一段101號,"25.033795, 121.302510",1.0,15.0,龜山分局,,
公司,亞洲企業大樓,DO2-04-016,桃園市龜山區民生北路一段40-2號,"25.032455, 121.305326",2.0,5809.0,龜山分局,O,
工廠,桃園中油煉油廠,DO2-05-017,桃園市龜山區民生北路一段50號,,1.0,1348.0,龜山分局,,機敏單位
公司,東林製衣,DO2-06-018,桃園市龜山區民生北路一段42號,"25.031831, 121.304185",2.0,491.0,龜山分局,O,
公司,三商股份公司,DO2-10-022,桃園市龜山區民生北路一段164號,"25.035258, 121.302350",1.0,220.0,龜山分局,,
公司,台勤公司,DO2-11-023,桃園市龜山區民生北路一段54巷11號,"25.034118, 121.303373",1.0,136.0,龜山分局,O,
公司,誠洲電子,DO2-12-024,桃園市龜山區民生北路一段206號,"25.036686, 121.302001",1.0,933.0,龜山分局,,
民宅,私人公司,DO2-13-025,桃園市龜山區民生北路一段199號,"25.035953, 121.301724",1.0,98.0,龜山分局,,
工廠,玉豐工業,DO2-14-026,桃園市龜山區民生北路一段166巷40號,"25.035948, 121.303274",1.0,36.0,龜山分局,,
公司,茂昌工業社,DO2-16-028,桃園市龜山區民生北路一段111號,"25.034200, 121.302586",1.0,26.0,龜山分局,,
公司,長樺電子,DO2-17-029,桃園市龜山區民生北路一段133號,"25.034916, 121.302140",1.0,2.0,龜山分局,,
工廠,桃園中油煉油廠,DO2-18-030,桃園市龜山區民生北路一段50號,,1.0,575.0,龜山分局,,機敏單位
公司,迅德興業公司,DO2-19-031,桃園市龜山區民生北路一段38號,"25.031588, 121.304164",1.0,877.0,龜山分局,,
公司,商宜工業,DO3-01-032,桃園市龜山區南上路520巷6弄18號,"25.044733, 121.306677",1.0,17.0,龜山分局,,
公司,廣淵企業公司,DO3-02-033,桃園市龜山區南上路400巷2號,"25.045118, 121.304421",1.0,85.0,龜山分局,,
民宅,私人公司,DO3-03-034,桃園市龜山區南上路520巷6弄6號,"25.044840, 121.306960",1.0,17.0,龜山分局,,
公司,迎廣電子公司,DO5-02-041,桃園市龜山區南上路350巷57號,"25.043352, 121.303663",1.0,942.0,龜山分局,,
大樓,私人公司,DO3-09-042,桃園市龜山區南上路520巷28弄6號,"25.044071, 121.307045",1.0,1041.0,龜山分局,,
公司,延隆工業社,DO3-11-044,桃園市龜山區南上路520巷6弄34號,"25.044366, 121.306063",1.0,236.0,龜山分局,,
公司,資木興業公司,DO3-13-046,桃園市龜山區南上路566巷36號,"25.044804, 121.309551",1.0,124.0,龜山分局,,
公司,信榮彈簧公司,DO3-14-047,桃園市龜山區南上路455號,"25.045429, 121.305693",1.0,286.0,龜山分局,,
公司,芝柏公司,DO3-15-048,桃園市龜山區南上路524號,"25.045115, 121.307503",1.0,57.0,龜山分局,,
公司,台灣鍍鋅公司,DO3-16-049,桃園市龜山區南上路407號,"25.045606, 121.304767",1.0,36.0,龜山分局,,
工廠,萬豐鋼鐵,DO3-18-051,桃園市龜山區南上路498號,"25.045106, 121.306733",1.0,33.0,龜山分局,,
公司,協易機械,DO3-19-052,桃園市龜山區南上路446號,"25.044958, 121.305651",1.0,400.0,龜山分局,,
學校,大坑國民小學,DO3-20-053,桃園市龜山區大坑路1段850號,"25.045236, 121.314624",1.0,482.0,龜山分局,,
大樓,長榮京華社區管委會,DO5-03-054,桃園市龜山區南上路280巷11號,"25.045544, 121.301078",2.0,927.0,龜山分局,O,
公司,春源鋼鐵公司,DO5-04-055,桃園市龜山區南上路299號,"25.046394, 121.302000",1.0,71.0,龜山分局,,
大樓,五福雅居社區管委會,DO5-05-056,桃園市龜山區南祥路95號,"25.048040, 121.300011",2.0,371.0,龜山分局,O,
大樓,宜城晶華社區管委會,DO5-06-057,桃園市龜山區南祥路87巷10號,"25.048139, 121.299470",2.0,391.0,龜山分局,O,
大樓,私人公司,DO6-01-058,桃園市龜山區南上路62號,"25.048059, 121.296195",2.0,356.0,龜山分局,O,
大樓,宜誠層峰社區管委會,DO5-07-059,桃園市龜山區南祥路81號,"25.047401, 121.299400",3.0,764.0,龜山分局,O,
公司,台新公司,DO3-17-060,桃園市龜山區南上路417號,"25.045511, 121.304909",1.0,36.0,龜山分局,,
工廠,桃園煉油廠,DO2-20-061,桃園市龜山區民生北路一段50號,,1.0,327.0,龜山分局,,機敏單位
大樓,華曜建設,DO1-13-062,桃園市龜山區民生北路一段528號,"25.043916, 121.298571",3.0,1813.0,龜山分局,O,
公司,明順興業有限公司,D03-17-063,桃園市龜山區南上路350巷54號,"25.044030, 121.303401",2.0,785.0,龜山分局,O,
公司,曜磊全球股份有限公司,D02-21-063,桃園市龜山區民生北路一段54巷11號,"25.034099, 121.303373",1.0,455.0,龜山分局,O,
公司,象牙企業有限公司,D03-22-064,桃園市龜山區民生北路一段54巷2弄19號,"25.034026, 121.304948",1.0,484.0,龜山分局,,
公司,協易機械工業股份有限公司,D02-21-065,桃園市龜山區南上路446號,"25.044948, 121.305694",1.0,328.0,龜山分局,,
大樓,私人公司,D21-06-066,桃園市龜山區南上路50巷62號,"25.047117, 121.296406",1.0,191.0,龜山分局,,
公司,弘琦貿易有限公司,D22-03-067,桃園市龜山區南上路350巷23號,"25.044615, 121.303194",1.0,1085.0,龜山分局,O,
公司,私人公司,E01-01-001,龜山區舊路里振興路321號,"25.009596,121.354895",1.0,198.0,龜山分局,,
公司,長庚復健分院,E01-02-002,龜山區舊路里東舊路坑26-8號(頂湖路123號),"25.029926, 121.366871",2.0,3293.0,龜山分局,O,
公司,私人公司,E01-03-003,龜山區舊路里東舊路街100號,"25.014917,121.366485",1.0,813.0,龜山分局,O,
