類別,建築物名稱,電腦編號,村里別,地址,"地下樓 層數","可容納 人數",派出所,備註,經度,緯度
大樓,站前美麗殿,DE01000175,長安里,新北市板橋區長安里漢生東路161巷5號,1.0,371.0,海山派出所,,121.469799,25.012522
大樓,晝世紀,DE01000176,福丘里,新北市板橋區福丘里漢生東路258號,1.0,1715.0,海山派出所,,121.467839,25.013786
大樓,板信雙子星,DE01000177,福丘里,新北市板橋區福丘里縣民大道二段68號,1.0,2372.0,海山派出所,,121.463438,25.012523
大樓,新東安57,DE01000178,東丘里,新北市板橋區東丘里民生路一段36-1號,1.0,135.0,海山派出所,,121.474585,25.014415
大樓,中山明珠,DE01000179,深丘里,新北市板橋區深丘里中山路1段156號之3,1.0,1464.0,海山派出所,,121.465548,25.011538
大樓,文邑公寓,DE01000180,海山里,新北市板橋區海山里漢生東路281號,3.0,827.0,海山派出所,,121.471497,25.008905
大樓,新都廳,DE01000181,福丘里,新北市板橋區福丘里漢生東路266號,6.0,503.0,海山派出所,,121.468294,25.013324
大樓,皇勝喜悅,DE01000183,民生里,新北市板橋區民生里民生路一段95號,1.0,688.0,海山派出所,,121.474374,25.014004
大樓,史丹佛,DE01000184,福丘里,新北市板橋區福丘里新府路1號,6.0,1929.0,海山派出所,,121.464024,25.012113
大樓,東方富裕,DE01000185,福丘里,新北市板橋區福丘里縣民大道二段80號,5.0,2644.0,海山派出所,,121.46624,25.014521
大樓,花園橋峰,DE01000186,深丘里,新北市板橋區深丘里中山一段168號,2.0,6710.0,海山派出所,,121.467479,25.011933
大樓,新板御賞,DE01000187,玉光里,新北市板橋區玉光里觀光街56-1號,1.0,533.0,海山派出所,,121.470868,25.016498
大樓,板橋大遠百,DE01000188,福丘里,新北市板橋區福丘里新站路28號,1.0,8082.0,海山派出所,,121.466627,25.013622
大樓,三暉謙匯,DE01000189,民族里,新北市板橋區民族里民族路183號,1.0,500.0,海山派出所,,121.468832,25.007564
大樓,領御,DE01000190,福丘里,新北市板橋區福丘里中山一段181號,1.0,690.0,海山派出所,,121.46768,25.013002
大樓,新板宸,DE01000191,福丘里,新北市板橋區福丘里中山一段139號,4.0,3850.0,海山派出所,,121.463391,25.011103
大樓,新板PLUS公寓,DE01000192,玉光里,新北市板橋區玉光里永豐街49巷18號,3.0,568.0,海山派出所,,121.473354,25.017791
大樓,"新板NEW ONE",DE01000193,介壽里,新北市板橋區介壽里民生二段207號,1.0,196.0,海山派出所,,121.469089,25.020653
大樓,上品匯,DE01000194,百壽里,新北市板橋區百壽里文化路一段188巷17號,1.0,284.0,海山派出所,,121.466786,25.019241
公寓,法國翡翠,DE01000195,民族里,新北市板橋區民族里海山路23號,1.0,707.0,海山派出所,,121.468389,25.008974
大樓,新板金融大樓,DE01000196,福丘里,新北市板橋區福丘里中山路一段141號,1.0,833.0,海山派出所,,121.463628,25.01123
大樓,大樓,DE01000197,百壽里,新北市板橋區百壽里文化路一段188巷51號,3.0,918.0,海山派出所,,121.467777,25.018555
大樓,大樓,DE01000198,百壽里,新北市板橋區百壽里文化路一段188巷59號,1.0,1638.0,海山派出所,,121.46853,25.018108
大樓,三輝海山學B區,DE01000199,民族里,新北市板橋區民族里民族路225巷51號,1.0,234.0,海山派出所,,121.469944,25.008065
大樓,大樓,DE01000200,民族里,新北市板橋區民族里民族路225巷60號,1.0,395.0,海山派出所,,121.47013,25.008099
大樓,新板極TOP,DE01000201,民族里,新北市板橋區民族里民族路151巷28之1號,1.0,424.0,海山派出所,,121.469332,25.008321
公寓,海山國小,DE01000202,深丘里,新北市板橋區深丘里漢生東路280號,1.0,4518.0,海山派出所,,121.470863,25.009457
大樓,,DE01000203,介壽里,新北市板橋區介壽里17鄰民生路二段139號2樓,1.0,1384.0,海山派出所,11201,121.470195,25.018988
大樓,,DE01000204,海山里,新北市板橋區海山里2鄰漢生東路279巷36號,1.0,280.0,海山派出所,,121.47266,25.009414
,,DE01000205,深丘里,新北市板橋區深丘里民族路69巷16號,1.0,373.0,海山派出所,,121.465822,25.009713
大樓,十德居,DE02000001,柏翠里,新北市板橋區柏翠里雙十路三段10巷1弄6號,1.0,438.0,江翠派出所,,121.472048,25.031249
公寓,江翠國小,DE02000002,柏翠里,新北市板橋區柏翠里文化路二段413號,1.0,941.0,江翠派出所,,121.473881,25.032039
大樓,儒林居,DE02000003,柏翠里,新北市板橋區柏翠里雙十路三段20號,1.0,308.0,江翠派出所,,121.471385,25.030747
大樓,久泰金華天下,DE02000009,柏翠里,新北市板橋區柏翠里文化路二段451號,1.0,636.0,江翠派出所,,121.475271,25.033516
大樓,公寓,DE02000057,純翠里,新北市板橋區純翠里吳鳳路81巷54號,1.0,222.0,江翠派出所,,121.465103,25.030795
大樓,漢江春曉,DE02000058,純翠里,新北市板橋區純翠里長江路二段2號,1.0,1768.0,江翠派出所,,121.464406,25.031218
大樓,公寓,DE02000059,純翠里,新北市板橋區純翠里吳鳳路81巷22號,1.0,147.0,江翠派出所,,121.466037,25.031105
公寓,江翠國中,DE02000065,文化里,新北市板橋區文化里松江街63號,1.0,1227.0,江翠派出所,,121.468438,25.028945
公寓,台北滿天星,DE02000067,溪頭里,新北市板橋區溪頭里長江路二段211號,1.0,285.0,江翠派出所,,121.467839,25.032438
大樓,金世家,DE02000068,溪頭里,新北市板橋區溪頭里長江路二段69號,1.0,955.0,江翠派出所,,121.464929,25.031582
大樓,大樓,DE02000076,溪頭里,新北市板橋區溪頭里江寧路三段55巷26號,1.0,206.0,江翠派出所,,121.471297,25.033032
大樓,翰林居,DE02000111,江翠里,新北市板橋區江翠里松江街118號,1.0,187.0,江翠派出所,,121.469167,25.030376
大樓,光武第大樓,DE02000114,聯翠里,新北市板橋區聯翠里光武街36巷3號,1.0,389.0,江翠派出所,,121.467564,25.026082
大樓,雙十大樓,DE02000116,柏翠里,新北市板橋區柏翠里雙十路三段6號,1.0,371.0,江翠派出所,,121.472005,25.03032
大樓,文化領袖大樓,DE02000122,江翠里,新北市板橋區江翠里文化路二段311號,1.0,713.0,江翠派出所,,121.471857,25.029786
大樓,文化領域,DE02000127,江翠里,新北市板橋區江翠里文化路二段311號,1.0,713.0,江翠派出所,,121.471857,25.029786
大樓,昇陽立都,DE02000128,江翠里,新北市板橋區江翠里文化路二段285號,1.0,2308.0,江翠派出所,,121.47136,25.029229
大樓,大樓,DE02000129,純翠里,新北市板橋區純翠里光武街136巷9號,1.0,518.0,江翠派出所,,121.465735,25.030232
大樓,大樓,DE02000136,純翠里,新北市板橋區純翠里長江路二段28號,1.0,518.0,江翠派出所,,121.464847,25.031363
大樓,好運道,DE02000137,江翠里,新北市板橋區江翠里長江路二段188號,1.0,698.0,江翠派出所,,121.467031,25.032011
大樓,大樓,DE02000138,柏翠里,新北市板橋區柏翠里文化路二段417巷30號,1.0,325.0,江翠派出所,,121.474012,25.033417
大樓,百仕園,DE02000143,純翠里,新北市板橋區純翠里長江路二段86號,1.0,2322.0,江翠派出所,,121.465254,25.031139
大樓,文化國寶,DE02000145,柏翠里,新北市板橋區柏翠里文化路二段431號,1.0,643.0,江翠派出所,,121.474812,25.033003
大樓,金世紀錄,DE02000146,溪頭里,新北市板橋區溪頭里長江路二段37號,1.0,1140.0,江翠派出所,,121.464224,25.031465
大樓,華廈,DE02000147,純翠里,新北市板橋區純翠里光武街1085號,1.0,77.0,江翠派出所,,121.464919,25.030679
大樓,大樓,DE02000153,純翠里,新北市板橋區純翠里民生路三段170號,1.0,206.0,江翠派出所,,121.465871,25.028022
大樓,正頤,DE02000156,柏翠里,新北市板橋區柏翠里文化路二段321號,1.0,350.0,江翠派出所,,121.472227,25.030191
大樓,民生捷座,DE02000159,純翠里,新北市板橋區純翠里民生路三段240號,1.0,952.0,江翠派出所,,121.464643,25.03053
大樓,大樓,DE02000160,江翠里,新北市板橋區江翠里文化路二段263巷8號,1.0,43.0,江翠派出所,,121.471131,25.029314
大樓,昇陽文化,DE02000161,聯翠里,新北市板橋區聯翠里民生路三段6號,1.0,1712.0,江翠派出所,,121.468149,25.024299
大樓,捷運皇家,DE02000165,柏翠里,新北市板橋區柏翠里雙十路三段12號,1.0,252.0,江翠派出所,,121.471735,25.030496
公寓,江翠國中,DE02000172,文化里,新北市板橋區文化里松江街63號,1.0,1406.0,江翠派出所,,121.468438,25.028945
大樓,翠園豪景,DE02000178,溪頭里,新北市板橋區溪頭里溪頭街324號,1.0,629.0,江翠派出所,,121.467445,25.032552
大樓,大樓,DE02000179,溪頭里,新北市板橋區溪頭里長江路二段256號,1.0,160.0,江翠派出所,,121.469174,25.032613
大樓,家麒金典,DE02000180,江翠里,新北市板橋區江翠里宏國路15號,1.0,752.0,江翠派出所,,121.467485,25.031511
大樓,福林寶典,DE02000189,文化里,新北市板橋區文化里松江街26號,1.0,349.0,江翠派出所,,121.468882,25.026685
大樓,河岸麗第,DE02000193,純翠里,新北市板橋區純翠里長江路二段8號,1.0,179.0,江翠派出所,,121.464742,25.031342
大樓,崇德堂,DE02000195,柏翠里,新北市板橋區柏翠里文化路二段441巷18號,1.0,1135.0,江翠派出所,,121.474272,25.03395
大樓,大樓,DE02000196,純翠里,新北市板橋區純翠里吳鳳路23號,1.0,144.0,江翠派出所,,121.467011,25.030981
大樓,大樓,DE02000197,純翠里,新北市板橋區純翠里吳鳳路17號,1.0,142.0,江翠派出所,,121.467634,25.03075271
大樓,華江儷靜NO.2,DE02000198,柏翠里,新北市板橋區柏翠里長江路三段72號,1.0,793.0,江翠派出所,,121.473959,25.034055
大樓,江翠及第名門,DE02000199,純翠里,新北市板橋區純翠里吳鳳路19-4號,1.0,459.0,江翠派出所,,121.467152,25.030857
大樓,華江一品御品苑,DE02000200,溪頭里,新北市板橋區溪頭里長江路二段181號,1.0,624.0,江翠派出所,,121.466739,25.032138
大樓,麗品苑,DE02000201,溪頭里,新北市板橋區溪頭里長江路二段151號,1.0,1215.0,江翠派出所,,121.465933,25.031896
大樓,第一天下,DE02000202,柏翠里,新北市板橋區柏翠里文化路二段385號1,1.0,910.0,江翠派出所,,121.473323,25.031433
大樓,江翠華府,DE02000203,江翠里,新北市板橋區江翠里長江路二段216號,1.0,176.0,江翠派出所,,121.467883,25.032242
大樓,文化風閣,DE02000204,柏翠里,新北市板橋區柏翠里文化路二段441巷7號,1.0,187.0,江翠派出所,,121.474537,25.033382
公寓,江翠國小,DE02000206,柏翠里,新北市板橋區柏翠里文化二段413號,1.0,48.0,江翠派出所,,121.473881,25.032039
大樓,國家文化館,DE02000207,文化里,新北市板橋區文化里文化二段175號,1.0,1065.0,江翠派出所,,121.470369,25.027908
大樓,文化森美學,DE02000208,文化里,新北市板橋區文化里光武街50巷21號,1.0,512.0,江翠派出所,,121.467662,25.027326
大樓,大樓,DE02000210,明翠里,新北市板橋區明翠里四維路257號,1.0,194.0,江翠派出所,,121.463409,25.028027
大樓,四維社區,DE02000211,明翠里,新北市板橋區明翠里四維路243號,1.0,463.0,江翠派出所,,121.463693,25.0275
大樓,致祥居,DE02000214,明翠里,新北市板橋區明翠里民有街57~59號,1.0,293.0,江翠派出所,,121.464606,25.027947
公寓,公寓,DE02000219,新埔里,新北市板橋區新埔里陽明街22號,1.0,122.0,江翠派出所,,121.466393,25.021814
大樓,捷運陽明,DE02000220,新埔里,新北市板橋區新埔里陽明街46號,1.0,518.0,江翠派出所,,121.4658,25.021993
大樓,帝王家,DE02000222,新埔里,新北市板橋區新埔里民生路三段29巷1號,1.0,950.0,江翠派出所,,121.46669,25.024164
大樓,陽明翠堤,DE02000226,陽明里,新北市板橋區陽明里陽明街94~136號,1.0,2060.0,江翠派出所,,121.463237,25.025123
大樓,四維圖書館,DE02000228,陽明里,新北市板橋區陽明里陽明街168號,1.0,864.0,江翠派出所,,121.463237,25.025123
大樓,大樓,DE02000232,陽明里,新北市板橋區陽明里自由路13~15號,1.0,221.0,江翠派出所,,121.465593,25.02383
大樓,詠勝雅築,DE02000233,陽明里,新北市板橋區陽明里自由路51巷6~8號,1.0,133.0,江翠派出所,,121.464658,25.023351
大樓,寶佳臻峰,DE02000714,文化里,新北市板橋區文化里松江街2號,1.0,1561.0,江翠派出所,,121.469419,25.026237
大樓,富玥,DE02000722,明翠里,新北市板橋區明翠里四維路177巷4弄18號,1.0,162.0,江翠派出所,,121.463558,25.026567
大樓,全陽圓,DE02000725,江翠里,新北市板橋區江翠里吳鳳50巷89號,1.0,587.0,江翠派出所,,121.470303,25.030519
大樓,双盈社區,DE02000726,江翠里,新北市板橋區江翠里宏國路51號,1.0,478.0,江翠派出所,,121.468451,25.031876
大樓,極上美,DE02000727,江翠里,新北市板橋區江翠里吳鳳路88號2樓,1.0,87.0,江翠派出所,,121.467032,25.031636
大樓,江翠ONE社區,DE02000728,柏翠里,新北市板橋區柏翠里華江一路196號,1.0,1444.0,江翠派出所,,121.473649,25.035361
大樓,江翠綻,DE02000729,柏翠里,新北市板橋區柏翠里雙十路三段10巷5號,1.0,184.0,江翠派出所,,121.472002,25.030834
大樓,德霖大樓,DE02000730,溪頭里,新北市板橋區溪頭里長江路二段296號1,1.0,672.0,江翠派出所,,121.470846,25.033057
大樓,聯上涵翠,DE02000731,溪頭里,新北市板橋區溪頭里華江一路500號,1.0,838.0,江翠派出所,,121.466669,25.033155
大樓,興富發大美社區,DE02000732,溪頭里,新北市板橋區溪頭里華江一路501號,1.0,575.0,江翠派出所,,121.466209,25.032805
大樓,荷蘭灣社區,DE02000733,柏翠里,新北市板橋區柏翠里華江三路36號,1.0,1113.0,江翠派出所,,121.478113,25.036609
大樓,新樸香榭,DE02000734,純翠里,新北市板橋區純翠里民生路三段172號,1.0,422.0,江翠派出所,,121.46563,25.028901
大樓,大樓,DE02000735,溪頭里,新北市板橋區溪頭里華江一路375號,1.0,1145.0,江翠派出所,,121.470226,25.034014
大樓,雙江翠,DE02000736,溪頭里,新北市板橋區溪頭里華江一路209號,1.0,1615.0,江翠派出所,,121.472481,25.034478
大樓,雙捷晶品,DE02000737,純翠里,新北市板橋區純翠里長江路二段158號,1.0,133.0,江翠派出所,,121.466341,25.031799
大樓,潤泰峰,DE02000738,溪頭里,新北市板橋區溪頭里華江一路350號,1.0,1066.0,江翠派出所,,121.46815,25.033701
大樓,遠雄江翠,DE02000739,溪頭里,新北市板橋區溪頭里華江八路26號,1.0,848.0,江翠派出所,,121.467525,25.034357
大樓,聯上匯翠,DE02000740,溪頭里,新北市板橋區溪頭里華江一路550號,1.0,3106.0,江翠派出所,,121.46617,25.032961
大樓,大樓,DE02000741,溪頭里,新北市板橋區溪頭里華江八路2號,4.0,942.0,江翠派出所,,121.468284,25.034367
大樓,河藍灣NO2,DE02000742,溪頭里,新北市板橋區溪頭里華江五路101號,2.0,443.0,江翠派出所,,121.472464,25.036148
大樓,勝輝鴻磐,DE02000743,溪頭里,新北市板橋區溪頭里19鄰華江一路300號,1.0,415.0,江翠派出所,,121.470979,25.034457
大樓,寶可麗,DE02000744,江翠里,新北市板橋區江翠里19鄰吳鳳路86號,1.0,154.0,江翠派出所,,121.466923,25.031467
大樓,久泰翠品,DE02000745,溪頭里,新北市板橋區溪頭里24鄰華江一路380號,1.0,1005.0,江翠派出所,,121.467354,25.033377
大樓,德鄰聚,DE02000746,溪頭里,新北市板橋區溪頭里17鄰華江三路300號,1.0,476.0,江翠派出所,,121.47272,25.035839
大樓,江匯Life,DE02000747,溪頭里,新北市板橋區溪頭里14鄰華江一路55號2樓,1.0,1298.0,江翠派出所,,121.472869,25.0347
大樓,遠雄鉑翠,DE02000748,溪頭里,新北市板橋區溪頭里18鄰華江一路185號3樓,1.0,1229.0,江翠派出所,,121.472869,25.0347
大樓,大樓,DE02000749,溪頭里,新北市板橋區溪頭里18鄰華江一路265號3樓,1.0,715.0,江翠派出所,,121.471885,25.034438
大樓,麗寶丹麥琥珀,DE02000750,溪頭里,新北市板橋區溪頭里5鄰華江一路525號,5.0,1799.0,江翠派出所,,121.465791,25.032655
大樓,豐光,DE02000751,溪頭里,新北市板橋區溪頭里23鄰華江八路70號,2.0,528.0,江翠派出所,,121.46692,25.033937
大樓,國泰朋,DE02000752,溪頭里,新北市板橋區溪頭里23鄰華江八路80號2樓,1.0,598.0,江翠派出所,,121.466686,25.034044
大樓,,DE02000753,溪頭里,新北市板橋區溪頭里13鄰華江一路272號3樓,1.0,969.0,江翠派出所,,121.471624,25.034874
大樓,國美翠亨村,DE02000754,溪頭里,新北市板橋區溪頭里13鄰華江六路100號3樓,1.0,2089.0,江翠派出所,,121.470779,25.035923
大樓,麗寶歐洲莊園芬蘭極光,DE02000755,溪頭里,新北市板橋區溪頭里5鄰華江一路610號,4.0,1279.0,江翠派出所,11201,121.465214,25.032653
大樓,謙承高,DE02000756,江翠里,新北市板橋區江翠里19鄰吳鳳路90巷2號二樓,1.0,127.0,江翠派出所,,121.46721,25.031655
大樓,,DE02000757,柏翠里,新北市板橋區柏翠里14鄰華江三路99號,1.0,1283.0,江翠派出所,,121.47623,25.036535
大樓,,DE02000758,純翠里,新北市板橋區純翠里14鄰吳鳳路83號,3.0,707.0,江翠派出所,,121.466602,25.031442
