電腦編號,建築物名稱,里別,緯度,經度,避難樓層,容量,轄管分局,備註
ETA00208,芝普企業股份有限公司,瑞豐里,24.932205,121.292393,B1,1200.0,八德分局,
ETA00209,都心悅社區,大華里,24.956766,121.299824,B3,1614.0,八德分局,
ETA00210,遠雄艾菲爾社區,興仁里,24.925909,121.286578,B2,4034.0,八德分局,
ETA00211,香榭儷舍社區,大愛里,24.957556,121.302175,B3,2611.0,八德分局,
ETA00212,四貝企業社,茄苳里,24.969854,121.276747,B1,369.0,八德分局,
ETA00213,中正堂八德區公所,大愛里,24.956894,121.301911,地上B1層,693.0,八德分局,
ETA00214,成家美地社區,福元里,24.936032,121.288764,B3,1422.0,八德分局,
ETA00215,澄品硯1期社區,高明里,24.976641,121.27543,B3,2716.0,八德分局,
ETA00216,美樹館社區,瑞豐里,24.926601,121.289514,B3,4572.0,八德分局,
ETA00217,澄品硯2期社區,高明里,24.976865,121.275159,B3,2622.0,八德分局,
ETA00218,高誠首耀社區,瑞豐里,24.926869,121.289081,B2,797.0,八德分局,
ETA00219,昭揚君品社區,大智里,24.965641,121.295783,B2,2595.0,八德分局,
ETA00220,源美學社區,福興里,24.935939,121.284357,B3,5615.0,八德分局,
ETA00221,逸極天地/逸極NO2社區,福元里,24.935828,121.287346,B3,1478.0,八德分局,
ETA00222,逸極朗闊社區,福元里,24.93103,121.28895,B3,671.0,八德分局,
ETA00223,雲鼎社區,興仁里,24.926528,121.285126,B2,635.0,八德分局,
ETA00224,雲觀社區,興仁里,24.927357,121.284869,B2,1841.0,八德分局,
ETA00225,宏總優show社區,大勇里,24.967227,121.303793,B3,391.0,八德分局,
ETA00226,雅居樂NO2社區,大信里,24.939565,121.304424,B1,444.0,八德分局,
ETA00227,莫札特社區,福興里,24.931453,121.284114,B3,1050.0,八德分局,
ETA00228,悅佳涵悅社區,瑞豐里,24.92783,121.287646,B1,347.0,八德分局,
ETA00229,時代園邸社區,福興里,24.93304,121.28404,B3,1365.0,八德分局,
ETA00230,易家悅園社區,瑞泰里,24.936368,121.295914,B2,2300.0,八德分局,
ETA00231,八德仁愛社區,福興里,24.933598,121.284086,B1,411.0,八德分局,
ETA00232,隱玥湖美/旭升隱玥NO5社區,瑞豐里,24.931425,121.289699,B1,315.0,八德分局,
ETA00233,明日耀社區,茄明里,24.985462,121.282691,B3,1752.0,八德分局,
ETA00234,禾洋匯社區,福元里,24.935773,121.287835,B1,237.0,八德分局,
ETA00235,竹風鳳凰社區,福興里,24.9356,121.28123,B2,2235.0,八德分局,
ETA00236,慶賀社區,興仁里,24.926476,121.286987,B2,1006.0,八德分局,
ETA00237,麗寶大藝術家社區,興仁里,24.925801,121.285037,B2,1363.0,八德分局,
ETA00238,高陞社區,興中里,24.928836,121.28245,B3,3838.0,八德分局,
ETA00239,閱美館社區,瑞豐里,24.926548,121.288642,B3,4572.0,八德分局,
ETA00240,廣豐公園NO1社區,大智里,24.966217,121.297102,B2,1675.0,八德分局,
ETA00241,竹風鳳凰NO2社區,瑞興里,24.936198,121.289995,B2,1486.0,八德分局,
ETA00242,龍騰御璽社區,瑞德里,24.924326,121.295756,B2,1131.0,八德分局,
ETA00243,易家謙悅社區,瑞泰里,24.935749,121.295509,B2,3680.0,八德分局,
ETA00244,皇翔百老匯社區,福德里,24.931774,121.280599,B3,1223.0,八德分局,
ETA00245,佐公園社區,福興里,24.930817,121.282679,B2,418.0,八德分局,
ETA00246,雅居樂NO5社區,霄裡里,24.92623,121.26003,B1,382.0,八德分局,
ETA00247,深耕九-森悅家社區,瑞豐里,24.926321,121.290722,B2,2943.0,八德分局,
ETA00248,佳陞墨爾本社區,瑞豐里,24.92601,121.290631,B2,4133.0,八德分局,
ETA00249,豐田大郡社區,瑞豐里,24.928146,121.287981,B3,3401.0,八德分局,
ETA00250,佳展高陞NO2社區,興中里,24.927636,121.282081,B3,1653.0,八德分局,
ETA00251,輝煌騰達社區,大福里,24.974012,121.300326,B2,613.0,八德分局,
ETA00252,公園里社區,大安里,24.951822,121.322523,B2,1421.0,八德分局,
ETA00253,鵬程V1社區,福興里,24.932217,121.284232,B3,1410.0,八德分局,
ETA00254,雲觀二期社區,興仁里,24.926836,121.28463,B1,398.0,八德分局,
ETA00255,公園大道社區,福興里,24.933603,121.279167,B3,1983.0,八德分局,
ETA00256,法樂琦社區,福德里,24.93351,121.279908,B1,2372.0,八德分局,
ETA00257,夏沐寬社區,福德里,24.932998,121.280367,B2,344.0,八德分局,
ETA00258,峰景苑社區,福德里,24.932144,121.280666,B3,876.0,八德分局,
ETA00259,宏普之星社區社區,興中里,24.93017,121.2821,B3,2867.0,八德分局,
ETA00260,合雄帝景社區,大宏里,24.967224,121.298182,B3,7238.0,八德分局,
ETA00261,泓瑞群英社區,福元里,24.936627,121.286688,B2,2277.0,八德分局,
ETA00262,三本千晴社區,大興里,24.954046,121.305327,B3,2966.0,八德分局,
ETA00263,時尚BOBO,福興里,24.936235,121.28384,B3,841.0,八德分局,
ETA00264,麗寶大藝術家B區社區,福德里,24.93312,121.27976,B2,3201.0,八德分局,
ETA00265,振翔新天地社區,廣隆里,24.961265,121.291234,B2,2741.0,八德分局,
ETA00266,興聚皇苑社區,興仁里,24.926247,121.287391,B3,983.0,八德分局,
ETA00267,樸心苑社區,福元里,24.93516,121.28702,B2,780.0,八德分局,
ETA00268,上築社區,福興里,24.935126,121.282398,B2,639.0,八德分局,
ETA00269,廣豐公園NO2社區,大智里,24.965485,121.297321,B2,2316.0,八德分局,
ETA00270,明日耀社區,茄明里,24.985272,121.28259,B3,860.0,八德分局,
ETA00271,中央公園社區,興仁里,24.92688,121.28572,B3,551.0,八德分局,
ETA00272,皇翔百老匯NO2,福德里,24.930786,121.280063,B3,2433.0,八德分局,
ETA00273,桃大極1區社區,大和里,24.955425,121.296869,B4,965.0,八德分局,
ETA00274,悅天下社區,瑞豐里,24.92661,121.28757,B3,1273.0,八德分局,
ETA00275,夢時代社區,大安里,24.956792,121.315037,B2,1645.0,八德分局,
ETA00276,涵悅社區,興仁里,24.928139,121.286085,B3,2416.0,八德分局,
ETA00277,富鼎家青靜社區,福元里,24.935607,121.287771,B2,543.0,八德分局,
ETA00278,逸極上城社區,福興里,24.93154,121.282768,B3,462.0,八德分局,
ETA00279,置地生活廣場,大智里,24.965038,121.29907,B4,13961.0,八德分局,
ETA00280,大訊科技,大安里,24.9507,121.3174,B2,1288.0,八德分局,
ETA00281,桃大極2區社區,大和里,24.955577,121.297985,B5,4444.0,八德分局,
ETA00282,御藏社區,福元里,24.93588,121.286291,B3,3337.0,八德分局,
ETA00283,圓德園社區,瑞興里,24.932155,121.290375,B1,240.0,八德分局,
ETA00284,廣豐公園NO3社區,大宏里,24.967096,121.297353,B2,2650.0,八德分局,
ETA00285,新潤御丰莊園社區,興中里,24.92663,121.28098,B2,2096.0,八德分局,
ETA00286,深耕10社區,興中里,24.92477,121.28147,B2,3526.0,八德分局,
ETA00287,小資有約社區,大忠里,24.957754,121.300098,B3,300.0,八德分局,
ETA00288,泓瑞公司 ,瑞豐里,24.93184,121.29324,B1,97.0,八德分局,
ETA00289,悅榕莊社區,瑞豐里,24.927904,121.289293,B2,750.0,八德分局,
ETA00290,喬崴微笑/御福樂社區,瑞德里,24.92768,121.29467,B2,432.0,八德分局,
ETA00291,陽光大境社區,瑞豐里,24.926964,121.292457,B2,935.0,八德分局,
ETA00292,佳瑞遊city社區,福元里,24.936343,121.2854,B2,2372.0,八德分局,
ETA00293,元臺建設有限公司,大華里,24.957024,121.300259,B1,103.0,八德分局,
ETA00294,大訊科技,大安里,24.9505,121.31734,B2,4051.0,八德分局,
ETA00295,昇捷天沐社區,福興里,24.93556,121.28123,B2,839.0,八德分局,
ETA00296,陽光大境-向陽區社區,瑞豐里,24.927558,121.292531,B1,104.0,八德分局,
ETA00297,微笑莊園社區,霄裡里,24.934149,121.263775,B3,795.0,八德分局,
ETA00298,昱凱皇苑社區,興仁里,24.927779,121.285737,B2,678.0,八德分局,
ETA00299,雲景景森社區,福元里,24.934208,121.288785,B2,647.0,八德分局,
ETA00300,茄苳國小,茄苳里,24.964362,121.277265,B1,755.0,八德分局,
ETA00301,武陵綠大地社區,茄明里,24.982809,121.278854,B3,673.0,八德分局,
ETA00302,城又青社區,興仁里,24.927572,121.285315,B3,1413.0,八德分局,
ETA00303,鴻聖社區,福興里,24.933713,121.283783,B1,272.0,八德分局,
ETA00304,合雄御璟社區,福興里,24.932058,121.28267,B3,1254.0,八德分局,
ETA00305,麗寶青年時代社區,瑞豐里,24.925761,121.28796,B3,7562.0,八德分局,
ETA00306,旭立科技,永豐里,24.972507,121.274074,B2,760.0,八德分局,
ETA00307,詠綠藝社區,大勇里,24.964691,121.306616,B3,1072.0,八德分局,
ETA00308,合雄M社區,福興里,24.93299,121.28367,B3,2359.0,八德分局,
ETA00309,旭聲科技,永豐里,24.973766,121.273382,B2,1614.0,八德分局,
ETA00310,四零四科技股份有限公司,大湳里,24.963974,121.321881,B2,8798.0,八德分局,
ETA00311,麗寶豐洲社區,興中里,24.92422,121.28119,B3,4017.0,八德分局,
ETA00312,基督教華神學校財團法人,大安里,24.95409,121.316363,B1,1443.0,八德分局,
ETA00313,和毅品森活社區,福興里,24.931752,121.283728,B3,1221.0,八德分局,
ETA00314,音圓國際股份有限公司-邱瀚聲,大湳里,24.965456,121.320255,B1,812.0,八德分局,
ETA00315,財團法人中華民國佛教慈濟慈善事業基金會,大信里,24.936468,121.304547,B1,4157.0,八德分局,
ETA00316,漢鼎雲詠社區,瑞興里,24.935879,121.289831,B3,1461.0,八德分局,
ETA00317,茂豐精密工業股份有限公司,大湳里,24.964175,121.320661,B1,2406.0,八德分局,
ETA00318,和發愛晴社區,竹園里,24.933619,121.264882,B2,1392.0,八德分局,
ETA00319,鵬程首捷社區,福德里,24.93019,121.27978,B3,1364.0,八德分局,
ETA00320,新生齒技有限公司,瑞豐里,24.931138,121.291737,B1,1040.0,八德分局,
ETA00321,八德國小,興中里,24.928905,121.283928,B1,1471.0,八德分局,
ETA00322,八德一號社會住宅,福德里,24.926673,121.280449,B3,3234.0,八德分局,
ETA00323,桃園市政府消防局第一大隊大湳分隊,廣隆里,24.96079,121.29476,B2,798.0,八德分局,
ETA00324,昇捷天沐社區,福興里,24.934079,121.281797,B2,800.0,八德分局,
ETA00325,水玥社區,大竹里,24.94688,121.31813,B2,813.0,八德分局,
ETA00326,元臺境社區,大湳里,24.959581,121.3156,B2,2332.0,八德分局,
ETA00327,八德二號社會住宅,瑞豐里,24.927561,121.289188,B3,2412.0,八德分局,
ETA00328,美超微電腦股份有限公司負責人,大安里,24.9481,121.31861,B2,4494.0,八德分局,
ETA00329,桃大誠社區,大宏里,24.9679643,121.2981268,B3,3662.0,八德分局,
ETA00330,八德國民運動中心,廣隆里,24.959938,121.294145,B2,12134.0,八德分局,
ETA00331,八德生命紀念園區,大安里,24.944624,121.328159,B2,841.0,八德分局,
ETA00332,三本皇琚社區,大勇里,24.965768,121.306295,B3,932.0,八德分局,
ETA00333,合雄Max社區,興中里,24.92658,121.28075,B3,1804.0,八德分局,
ETA00334,麗寶Fika社區,興中里,24.93162,121.28098,B3,1742.0,八德分局,
ETA00335,桃大源社區,興仁里,24.927807,121.286373,B2,1162.0,八德分局,
ETA00336,桃園綻社區,大強里,24.969957,121.313987,B2,811.0,八德分局,
ETA00337,永豐高中,永豐里,24.975529,121.270099,B1,4971.0,八德分局,
ETA00338,楓澍.PARK社區,瑞發里,24.934283,121.29677,B2,688.0,八德分局,
ETA00339,逍遙遊社區,大興里,24.953925,121.303124,B2,679.0,八德分局,
ETA00340,涵悅+社區,瑞豐里,24.926912,121.288602,B3,2429.0,八德分局,
ETA00341,舒好國際企業有限公司,大湳里,24.965456,121.320255,B1,779.0,八德分局,
ETA00342,呂新民宅,瑞發里,24.933643,121.29472,B1,454.0,八德分局,
ETA00343,佳展好市佳社區,茄明里,24.986564,121.282183,B3,981.0,八德分局,
ETA00344,寶欣G5綻社區,大正里,24.97003,121.300952,B2,2395.0,八德分局,
ETA00345,騰翔資產管理股份有限公司,大發里,24.965047,121.327671,B1,1151.0,八德分局,
ETA00346,昭揚君璽社區,大勇里,24.9664,121.306127,B2,1375.0,八德分局,
ETA00347,複合大樓,大忠里,24.961971,121.300087,B2,504.0,八德分局,
ETA00348,同欣電子工業股份有限公司,大湳里,24.965975,121.319736,B2,9659.0,八德分局,
ETA00349,光合市氧森區社區,瑞豐里,24.927311,121.292856,B2,682.0,八德分局,
ETA00350,八德三號社會住宅,興中里,24.925189,121.283081,B3,4544.0,八德分局,
ETA00351,光合市#2社區D棟,瑞豐里,24.927596,121.293344,B2,1324.0,八德分局,
ETA00352,法務部矯正署八德外役監獄,瑞祥里,,,B1,7984.0,八德分局,不設置標誌牌
ETA00353,永豐綻社區,永豐里,24.974263,121.272598,B3,2216.0,八德分局,
ETA00354,逍遙遊社區,大興里,24.954568,121.303428,B2,1591.0,八德分局,
ETA00355,光合市#2社區G棟,瑞豐里,24.927112,121.293543,B2,1085.0,八德分局,
ETA00356,光合市#2社區H棟,瑞豐里,24.92709,121.29293,B2,1496.0,八德分局,
ETA00357,三本CEO,大興里,24.95719,121.30595,B1,2243.0,八德分局,
ETA00358,福爾摩沙社區,福興里,24.93442,121.28057,B3,3395.0,八德分局,
ETA00359,元臺謙社區,福興里,24.95609,121.30592,B2,2161.0,八德分局,
ETA00360,弘達建設有限公司,大發里,24.96212,121.32206,B1,347.0,八德分局,
ETA00361,八德北區青少年活動中心,福興里,24.93216,121.2817,B2,3573.0,八德分局,
ETA00362,言葉之庭社區,大發里,24.9563,121.31967,B2,968.0,八德分局,
ETA00363,君臨連美社區,廣隆里,24.97875,121.27175,B2,807.0,八德分局,
ETA00364,峰邑社區,大勇里,24.96724,121.30639,B1,212.0,八德分局,
ETA00365,錫安包裝公司,大興里,24.95708,121.30398,B1,1057.0,八德分局,
ETA00366,站前之星社區,永豐里,24.97875,121.27175,B3,448.0,八德分局,
