類別,電腦編號,村里別,地址,地下樓層數,可容納人數,管轄分局,備註
加企實業有限公司,440,新光里,斗南鎮新光里20鄰興業1街29號,1.0,98,斗南分局,
一般住宅,441,新南里,斗南鎮新南里1鄰南勢路200號,1.0,81,斗南分局,
特殊教育學校行政大樓,442,新崙里,斗南鎮新崙里26鄰新崙路100號,1.0,529,斗南分局,
特殊教育學校教學大樓,443,新崙里,斗南鎮新崙里26鄰新崙路100號,1.0,1585,斗南分局,
六佳塑膠工業公司,444,嘉興村,大埤鄉嘉興村豐田路4號,1.0,113,斗南分局,
味王公司,445,嘉興村,大埤鄉嘉興村豐田14號,1.0,580,斗南分局,
江井金屬公司,446,嘉興村,大埤鄉嘉興村15鄰豐盛街3號,1.0,128,斗南分局,
台肥公司,447,嘉興村,大埤鄉嘉興村豐昌街2號,1.0,140,斗南分局,
建纖實業,448,嘉興村,大埤鄉嘉興村豐田55號,1.0,107,斗南分局,
浩閔鋼模,449,嘉興村,大埤鄉豐田6號,1.0,52,斗南分局,
嘉一鋼鐵工業,450,嘉興村,大埤鄉嘉興村豐盛街4號,1.0,98,斗南分局,
中臺製罐,451,嘉興村,大埤鄉豐田路57號,1.0,233,斗南分局,
世湘公司,452,嘉興村,大埤鄉嘉興村豐田12號,1.0,72,斗南分局,
金亞金屬工業,453,嘉興村,大埤鄉嘉興村豐田村65號,1.0,192,斗南分局,
一般住宅,454,舊社里,斗南鎮舊社里新生三路519巷1-14號,1.0,1445,斗南分局,
育明興業,455,舊社里,斗南鎮舊社里信義路25巷15號,1.0,96,斗南分局,
鴻茂股份公司,456,舊社里,斗南鎮舊社里11鄰信義路25巷5號,1.0,717,斗南分局,
豐榮汽水廠,457,舊社里,斗南鎮舊社里信義路80號,1.0,56,斗南分局,
亞美企業社,458,舊社里,斗南鎮信義路66號,1.0,140,斗南分局,
豐田科技公司,459,豐田村,大埤鄉豐田村豐田路1號,1.0,153,斗南分局,
公寓,460,豐崗村,大埤鄉豐崗村仁和路2號之11地下1層,1.0,340,斗南分局,
