類別,電腦編號,里別,地址,地下樓層數,可容納人數,備註
泓信大樓,ORA00033,太平里,臺南市新化區太平里11鄰正新北路86號,1.0,336人,"23.041325,120.302987"
武安宮,ORA00034,武安里,臺南市新化區武安里1鄰中正路273號,1.0,441人,"23.032208,120.308507"
鄭蔡雪花大樓,ORA00035,武安里,臺南市新化區武安里6鄰大同街101號,1.0,261人,"23.034607,120.307105"
佳聖建設,ORA00036,武安里,臺南市新化區武安里10鄰健康路101巷5號,1.0,230人,"23.033297,120.305019"
大新旅社,ORA00037,武安里,臺南市新化區武安里14鄰正新路206號,1.0,101人,"23.035464,120.303017"
王覲瑜診所,ORA00039,武安里,臺南市新化區武安里15鄰民權街15號,1.0,292人,"23.036348,120.304741"
南慶紡織公司,ORA00040,太平里,臺南市新化區太平里10鄰中正路1057號,1.0,60人,"23.052308,120.29997"
啟盟企業,ORA00041,唪口里,臺南市新化區唪口里1鄰大德路76號,1.0,69人,"23.045217,120.301242"
冠軍建設,ORA00042,豐榮里,臺南市新化區豐榮里1鄰民治路33巷28號,1.0,118人,"23.032615,120.303897"
正新國小,ORA00043,豐榮里,臺南市新化區豐榮里2鄰正新路97號,1.0,2554人,"23.032935,120.302937"
正新國小,ORA00044,豐榮里,臺南市新化區豐榮里2鄰正新路97號,1.0,2189人,"23.032935,120.302937"
凱旋門建設,ORA00045,豐榮里,臺南市新化區豐榮里5鄰中山路615號,1.0,392人,"23.036308,120.29985"
泰慶建設,ORA00046,豐榮里,臺南市新化區豐榮里5鄰中山路595號,1.0,97人,"23.035993,120.300334"
成榕企業,ORA00047,北勢里,臺南市新化區北勢里7鄰中正路1075號,1.0,86人,"23.053035,120.299769"
順盛皮革,ORA00048,北勢里,臺南市新化區北勢里7鄰中正路1100號,1.0,18人,"23.053322,120.300264"
大新國小,ORA00049,協興里,臺南市新化區協興里14鄰太平街176號,1.0,2368人,"23.038164,120.299006"
三菱建設公司,ORA00050,協興里,臺南市新化區協興里5鄰大新路111巷48號,1.0,168人,"23.037806,120.297344"
京都大樓,ORA00051,協興里,臺南市新化區協興里10鄰正新路363巷20號,1.0,234人,"23.040299,120.30201"
大新寶店,ORA00052,協興里,臺南市新化區協興里5鄰大新路79號,1.0,441人,"23.038442,120.298269"
璨坤公司,ORA00053,協興里,臺南市新化區協興里4鄰中山路530號,1.0,221人,"23.03604,120.302516"
一畝園食品有限公司,ORA00054,全興里,臺南市新化區全興里1鄰竹子脚200號,1.0,37人,"23.030538,120.296166"
南光製藥廠,ORA00055,全興里,臺南市新化區全興里5鄰中山路1001號,1.0,166人,"23.033947,120.287816"
口埤實驗小學,ORA00056,知義里,臺南市新化區知義里12鄰口埤88號,1.0,40人,"23.025328,120.348733"
浦津公司,ORA00057,羊林里,臺南市新化區羊林里5鄰那拔林500號之2,1.0,650人,"23.064363,120.34909"
臺南醫院新化分院,ORA00058,那拔里,臺南市新化區那拔里9鄰牧場72號,1.0,12910人,"23.062491,120.336408"
新化高爾夫球場,ORA00059,礁坑里,臺南市新化區礁坑里5鄰礁坑子100號,1.0,446人,"23.036781,120.340396"
新力美公司,ORA00060,那拔里,臺南市新化區那拔里1鄰那拔林1號,1.0,96人,"23.065552,120.340585"
畜產試驗所,ORA00061,那拔里,臺南市新化區那拔里牧場112號,1.0,465人,"23.058306,120.33148"
那拔國小,ORA00062,那拔里,臺南市新化區那拔里2鄰那拔林54號,1.0,145人,"23.067945,120.349594"
晉盟塑膠公司,ORA00063,明和里,臺南市山上區明和里16鄰北勢洲58之5號,1.0,181人,"23.109276,120.33624"
"宣禹企業 ",ORA00064,明和里,臺南市山上區明和里14鄰北勢洲22之1號,1.0,62人,"23.11454,120.340153"
"宣禹企業 ",ORA00065,明和里,臺南市山上區明和里14鄰北勢洲22之2號,1.0,124人,"23.113389,120.339336"
宣禹企業,ORA00066,明和里,臺南市山上區明和里14鄰北勢洲22之1號,1.0,153人,"23.11454,120.340153"
嘉誠公司,ORA00067,新莊里,臺南市山上區新莊里3鄰新庄62號,1.0,176人,"23.094671,120.360309"
嘉誠公司,ORA00068,新莊里,臺南市山上區新莊里3鄰新庄62號,1.0,104人,"23.094671,120.360309"
亞獵士工業,ORA00069,明和里,臺南市山上區明和里14鄰北勢洲21號,1.0,130人,"23.114961,120.339462"
亞獵士工業,ORA00070,明和里,臺南市山上區明和里14鄰北勢洲21之2號,1.0,357人,"23.113185,120.338038"
亞獵士工業,ORA00071,明和里,臺南市山上區明和里14鄰北勢洲21之2號,1.0,133人,"23.113185,120.338038"
亞獵士科技公司,ORA00072,明和里,臺南市山上區明和里14鄰北勢洲21之2號,1.0,576人,"23.113185,120.338038"
廣宥企業,ORA00073,明和里,臺南市山上區明和里16鄰北勢洲58之1號,1.0,104人,"23.109238,120.335783"
龍盟公司,ORA00074,明和里,臺南市山上區明和里14鄰北勢洲24號,1.0,117人,"23.112375,120.338555"
晏欣企業,ORA00075,明和里,臺南市山上區明和里16鄰北勢洲86號,1.0,149人,"23.106242,120.33642"
產協企業,ORA00076,明和里,臺南市山上區明和里16鄰北勢洲87號,1.0,101人,"23.105066,120.335549"
瑞華皮革,ORA00077,明和里,臺南市山上區明和里23鄰北勢洲88號,1.0,86人,"23.102882,120.334919"
瑞華皮革,ORA00078,明和里,臺南市山上區明和里23鄰北勢洲88號,1.0,128人,"23.102882,120.334919"
宏遠興公司,ORA00079,明和里,臺南市山上區明和里7鄰明和256號,1.0,89人,"23.11332,120.342285"
宏遠興公司,ORA00080,明和里,臺南市山上區明和里7鄰明和256號,1.0,834人,"23.11332,120.342285"
"東展興業 ",ORA00082,明和里,臺南市山上區明和里16鄰北勢洲98號,1.0,84人,"23.110887,120.339056"
