類別,電腦編號,村里別,地址,緯經度,避難樓層,可容納人數,轄管分局,備註
供公眾使用,COA00065,淵東里,臺南市安南區淵東里9鄰安中路三段400巷13號,"23.050007,120.17475",B01,133.0,第三分局,
一般住宅,COA00071,海東里,臺南市安南區海東里8鄰海佃路二段509巷65號,"23.041492,120.185298",B01,222.0,第三分局,
一般住宅,COA00073,海東里,臺南市安南區海東里5鄰海佃路二段483巷106號,"23.040589,120.184458",B01,38.0,第三分局,
一般住宅,COA00077,海東里,臺南市安南區海東里24鄰同安路173號,"23.041512,120.191092",B01,38.0,第三分局,
一般住宅,COA00078,海東里,臺南市安南區海東里24鄰同安路177號,"23.04156,120.191154",B01,38.0,第三分局,
一般住宅,COA00079,海東里,臺南市安南區海東里24鄰同安路179號,"23.041595,120.191185",B01,38.0,第三分局,
一般住宅,COA00080,海東里,臺南市安南區海東里13鄰海環街51號,"23.038841,120.186615",B01,44.0,第三分局,
一般住宅,COA00081,海東里,臺南市安南區海東里13鄰海環街53號,"23.038823,120.186572",B01,44.0,第三分局,
一般住宅,COA00082,海東里,臺南市安南區海東里16鄰同安路133號,"23.040875,120.190355",B01,54.0,第三分局,
一般住宅,COA00083,海東里,臺南市安南區海東里16鄰同安路131號,"23.040849,120.190321",B01,54.0,第三分局,
一般住宅,COA00084,海東里,臺南市安南區海東里24鄰同安路225巷53號,"23.042622,120.191076",B01,38.0,第三分局,
一般住宅,COA00086,溪心里,臺南市安南區溪心里8鄰海佃路二段770號,"23.045869,120.185128",B01,45.0,第三分局,
一般住宅,COA00087,溪心里,臺南市安南區溪心里16鄰安中路二段17號,"23.045718,120.190139",B01,44.0,第三分局,
一般住宅,COA00088,溪心里,臺南市安南區溪心里1鄰安中路三段27號,"23.047139,120.183273",B01,51.0,第三分局,
一般住宅,COA00089,溪心里,臺南市安南區溪心里2鄰海佃路二段597號,"23.04436,120.185755",B01,365.0,第三分局,
一般住宅,COA00090,溪心里,臺南市安南區溪心里12鄰海佃路二段666號,"23.044319,120.186224",B01,36.0,第三分局,
一般住宅,COA00091,溪心里,臺南市安南區溪心里12鄰海佃路二段668號,"23.044346,120.186197",B01,36.0,第三分局,
一般住宅,COA00092,溪心里,臺南市安南區溪心里12鄰海佃路二段750號,"23.045441,120.185408",B01,36.0,第三分局,
一般住宅,COA00093,溪心里,臺南市安南區溪心里12鄰海佃路二段746號,"23.045366,120.185463",B01,36.0,第三分局,
一般住宅,COA00094,溪心里,臺南市安南區溪心里12鄰海佃路二段752號,"23.045477,120.185384",B01,36.0,第三分局,
一般住宅,COA00095,溪心里,臺南市安南區溪心里12鄰海佃路二段748號,"23.0454,120.185438",B01,36.0,第三分局,
一般住宅,COA00096,溪心里,臺南市安南區溪心里8鄰海佃路二段822號,"23.046807,120.184402",B01,44.0,第三分局,
一般住宅,COA00097,溪心里,臺南市安南區溪心里2鄰海佃路二段631號,"23.045113,120.1851",B01,36.0,第三分局,
公有,COA00099,溪心里,臺南市安南區溪心里21鄰安中路二段308號,"23.047322,120.184721",B01,167.0,第三分局,
一般住宅,COA00101,溪心里,臺南市安南區溪心里23鄰海佃路三段22號,"23.047609,120.18377",B01,35.0,第三分局,
一般住宅,COA00104,溪心里,臺南市安南區溪心里10鄰海佃路三段11號,"23.047487,120.183475",B01,34.0,第三分局,
