電腦編號,防空避難設備名稱,轄區派出所,位置,容納人數
EVZ10006,防空地下室,南竹派出所,桃園市蘆竹區南昌路2號,"4804 "
EVZ10007,防空地下室,南竹派出所,桃園市蘆竹區南昌路282巷1號,"452 "
EVZ10008,防空地下室,南竹派出所,桃園市蘆竹區南福街102號,"540 "
EVZ10009,防空地下室,南竹派出所,桃園市蘆竹區南昌路259號,"1735 "
EVZ10010,防空地下室,南竹派出所,桃園市蘆竹區南昌路20巷1號,"1823 "
EVZ10011,防空地下室,南竹派出所,桃園市蘆竹區奉化路88號,"13167 "
EVZ10012,防空地下室,南竹派出所,桃園市蘆竹區忠孝西路169巷32號,"13040 "
EVZ10019,防空地下室,南竹派出所,桃園市蘆竹區蘆竹里蘆竹177-8號,"435 "
EVZ10024,防空地下室,南竹派出所,桃園市蘆竹區南崁路2段和美巷19號,"610 "
EVZ10025,防空地下室,南竹派出所,桃園市蘆竹區奉化路56號,"4153 "
EVZ10026,防空地下室,南竹派出所,桃園市蘆竹區南昌路242號,"9471 "
EVZ10027,防空地下室,南竹派出所,桃園市蘆竹區奉化路185號,"5206 "
EVZ10028,防空地下室,南竹派出所,桃園市蘆竹區南昌路135號,"2647 "
EVZ10029,防空地下室,南竹派出所,桃園市蘆竹區南福街51號,"11510 "
EVZ10030,防空地下室,南竹派出所,桃園市蘆竹區南昌路130號,"5326 "
EVZ10031,防空地下室,南竹派出所,桃園市蘆竹區南順一街2巷2號,"1304 "
EVZ10032,防空地下室,南竹派出所,桃園市蘆竹區奉化路182號,"9522 "
EVZ10033,防空地下室,南竹派出所,桃園市蘆竹區奉化路183-1號,"2359 "
EVZ10034,防空地下室,南竹派出所,桃園市蘆竹區奉化路36號,"8046 "
EVZ10035,防空地下室,南竹派出所,桃園市蘆竹區南順六街20號,"4467 "
EVZ10036,防空地下室,南竹派出所,桃園市蘆竹區奉化路66號,"10159 "
EVZ10037,防空地下室,南竹派出所,桃園市蘆竹區南順一街2巷16號,"1388 "
EVZ10038,防空地下室,南竹派出所,桃園市蘆竹區奉化路40號,"4239 "
EVZ10039,防空地下室,南竹派出所,桃園市蘆竹區忠孝西路60號,"2522 "
EVZ10040,防空地下室,南竹派出所,桃園市蘆竹區奉化路187號,"2051 "
EVZ10041,防空地下室,南竹派出所,桃園市蘆竹區奉化路191號,"1390 "
EVZ10042,防空地下室,南竹派出所,桃園市蘆竹區富國路三段1200號,"2828 "
EVZ10043,防空地下室,南竹派出所,桃園市蘆竹區奉化路142號,"5669 "
EVZ10044,防空地下室,南竹派出所,桃園市蘆竹區奉化路156號,"9813 "
EVZ10045,防空地下室,南竹派出所,桃園市蘆竹區奉化路17號,"5608 "
EVZ10046,防空地下室,南竹派出所,桃園市蘆竹區奉化路229號,"1575 "
EVZ10047,防空地下室,南竹派出所,桃園市蘆竹區奉化路145號,"749 "
EVZ10048,防空地下室,南竹派出所,桃園市蘆竹區南昌路47號,"6515 "
EVZ10049,防空地下室,南竹派出所,桃園市蘆竹區南順七街32巷5號,"221 "
EVZ10050,防空地下室,南竹派出所,桃園市蘆竹區南福街186巷9號1樓,"3776 "
EVZ10051,防空地下室,南竹派出所,桃園市蘆竹區富國路三段1086號,"276 "
EVZ10052,防空地下室,南竹派出所,桃園市蘆竹區南昌路51號,"5872 "
EVZ10054,防空地下室,南竹派出所,桃園市蘆竹區南順四街1巷1號,"2230 "
EVZ10055,防空地下室,南竹派出所,桃園市蘆竹區榮興路26號,"3295 "
EVZ10056,防空地下室,南竹派出所,桃園市蘆竹區南福街186巷15號,"2968 "
EVZ10057,防空地下室,南竹派出所,桃園市蘆竹區奉化路232號,"8343 "
EVZ10058,防空地下室,南竹派出所,桃園市蘆竹區南順七街2巷2號,"4161 "
EVZ10059,防空地下室,南竹派出所,桃園市蘆竹區南工路136號,"5003 "
EVZ10060,防空地下室,南竹派出所,桃園市蘆竹區忠孝西路78號,"15167 "
EVZ10061,防空地下室,南竹派出所,桃園市蘆竹區南福街223號,"3748 "
EVZ10062,防空地下室,南竹派出所,桃園市蘆竹區富國路三段1228號,"2766 "
EVZ10063,防空地下室,南竹派出所,桃園市蘆竹區南青路1188號,"11998 "
EVZ10064,防空地下室,南竹派出所,桃園市蘆竹區南順一街85號,"4683 "
EVZ10065,防空地下室,南竹派出所,桃園市蘆竹區富國路一段10號,"1367 "
EVZ10066,防空地下室,南竹派出所,桃園市蘆竹區富國路一段10號,"936 "
EVZ10067,防空地下室,南竹派出所,桃園市蘆竹區南青路1156巷5號,"2113 "
EVX10001,防空地下室,外社派出所,桃園市蘆竹區大有街33號,724
EVX10003,防空地下室,外社派出所,桃園市蘆竹區山菓路76號,490
EVX10004,防空地下室,外社派出所,桃園市蘆竹區海山路446號,185
EVX10007,防空地下室,外社派出所,桃園市蘆竹區海山路638號,674
EVX10010,防空地下室,外社派出所,桃園市蘆竹區海山路34號之2,42
EVX10011,防空地下室,外社派出所,桃園市蘆竹區三德街54巷3號,80
EVX10012,防空地下室,外社派出所,桃園市蘆竹區大坑街24號,460
EVX10013,防空地下室,外社派出所,桃園市蘆竹區大坑街25號,186
EVX10014,防空地下室,外社派出所,桃園市蘆竹區後壁厝102-1號,801
EVX10015,防空地下室,外社派出所,桃園市蘆竹區濱海路一段433號,65
EVX10018,防空地下室,外社派出所,桃園市蘆竹區海山路二段211號,104
EVX10019,防空地下室,外社派出所,桃園市蘆竹區中圳街180號,480
EVX10020,防空地下室,外社派出所,桃園市蘆竹區海湖路51-6號,333
EVX10021,防空地下室,外社派出所,桃園市蘆竹區山林路二段146號,240
EVX10022,防空地下室,外社派出所,桃園市蘆竹區山林路二段6號,221
EVX10025,防空地下室,外社派出所,桃園市蘆竹區大有街36號,237
EVX10026,防空地下室,外社派出所,桃園市蘆竹區濱海路一段238號,828
EVX10027,防空地下室,外社派出所,桃園市蘆竹區海山中街9號,5530
EVX10029,防空地下室,外社派出所,桃園市蘆竹區中圳街180號,996
EVX10030,防空地下室,外社派出所,桃園市蘆竹區大有街29號,318
EVX10032,防空地下室,外社派出所,桃園市蘆竹區後壁厝102號之15,434
EVX10033,防空地下室,外社派出所,桃園市蘆竹區海山中街55號,2240
EVX10034,防空地下室,外社派出所,桃園市蘆竹區後壁厝92號,1725
EVX10035,防空地下室,外社派出所,桃園市蘆竹區大坑街32號,508
EVX10036,防空地下室,外社派出所,桃園市蘆竹區大有街1號,20
EVX10037,防空地下室,外社派出所,桃園市蘆竹區海山路89號,1110
EVX10038,防空地下室,外社派出所,桃園市蘆竹區海山中街51號,2869
EVX10039,防空地下室,外社派出所,桃園市蘆竹區濱海路一段199號,840
EVX10040,防空地下室,外社派出所,桃園市蘆竹區海湖北路309巷61號,522
EVX10041,防空地下室,外社派出所,桃園市蘆竹區和平街36號,250
EVX10042,防空地下室,外社派出所,桃園市蘆竹區大有街33號,1850
EVX10043,防空地下室,外社派出所,桃園市蘆竹區海山中街51號,1874
EVX10044,防空地下室,外社派出所,桃園市蘆竹區山林路二段685號,108
EVX10045,防空地下室,外社派出所,桃園市蘆竹區海山路一段79號,1425
EVX10046,防空地下室,外社派出所,桃園市蘆竹區南山北路一段72號,7601
EVX10047,防空地下室,外社派出所,桃園市蘆竹區和平街36號,489
EVX10048,防空地下室,外社派出所,桃園市蘆竹區大有街11號,738
EVX10049,防空地下室,外社派出所,桃園市蘆竹區和平街36號,253
EVX10050,防空地下室,外社派出所,桃園市蘆竹區海湖北路309巷61號,822
EVY10362,防空地下室,南崁派出所,桃園市蘆竹區南山路二段12巷58號,1687
EVY10363,防空地下室,南崁派出所,桃園市蘆竹區南山路二段230號,254
