轄管區,電腦編號,村里別,地址,緯經度,地下樓層數,可容納人數,轄管分局,備註
中山區,WMA02632,力行里,臺北市中山區遼寧街45巷25號,"25.048824,121.543111",1,"62 ",中山分局,
中山區,WMA02633,力行里,臺北市中山區遼寧街45巷29-31號,"25.048822,121.543212",1,"254 ",中山分局,
中山區,WMA02637,力行里,臺北市中山區遼寧街63巷26號,"25.049071,121.543096",1,"30 ",中山分局,
中山區,WMA02639,力行里,臺北市中山區遼寧街63巷28-30號,"25.04907,121.543156",1,"325 ",中山分局,
中山區,WMA03234,力行里,臺北市中山區長安東路二段199號,"25.048368,121.543302",1,"997 ",中山分局,
中山區,WMA01897,力行里,臺北市中山區南京東路三段118號,"25.051739,121.540307",2,"640 ",中山分局,
中山區,WMA01903,力行里,臺北市中山區南京東路三段2號,"25.052216,121.537187",1,"237 ",中山分局,
中山區,WMA01909,力行里,臺北市中山區南京東路三段22-32號,"25.051786,121.537746",2,"2500 ",中山分局,
中山區,WMA01910,力行里,臺北市中山區南京東路三段22-32號,"25.051786,121.537746",3,"2500 ",中山分局,
中山區,WMA01911,力行里,臺北市中山區南京東路三醹36號,"25.05178,121.538259",2,"2034 ",中山分局,
中山區,WMA01994,力行里,臺北市中山區建國北路一段57巷6-8號,"25.050453,121.537629",1,"333 ",中山分局,
中山區,WMA02004,力行里,臺北市中山區建國北路一段69-71號,"25.051062,121.53716",1,"386 ",中山分局,
中山區,WMA02012,力行里,臺北市中山區建國北路一段67巷21-23號,"25.051016,121.537995",1,"297 ",中山分局,
中山區,WMA02914,力行里,臺北市中山區龍江路76巷18號,"25.051252,121.538021",1,"252 ",中山分局,
中山區,WMA02915,力行里,臺北市中山區龍江路76巷22號,"25.05129,121.537628",1,"242 ",中山分局,
中山區,WMA02916,力行里,臺北市中山區龍江路76巷31-33號,"25.051404,121.539018",2,"520 ",中山分局,
中山區,WMA02917,力行里,臺北市中山區龍江路76巷47-51號,"25.051425,121.538016",1,"558 ",中山分局,
中山區,WMA02918,力行里,臺北市中山區龍江路76巷53-55號,"25.051406,121.537743",1,"353 ",中山分局,
中山區,WMA03026,力行里,臺北市中山區南京東路三段36號,"25.05178,121.538259",2,"2034 ",中山分局,
中山區,WMA03066,力行里,臺北市中山區南京東路三段16號,"25.051791,121.537587",2,"426 ",中山分局,
中山區,WMA03197,力行里,臺北市中山區建國北路一段67巷15號,"25.051017,121.537871",1,"233 ",中山分局,
中山區,WMA03229,力行里,臺北市中山區南京東路三段48巷2,"25.051628,121.538417",1,"206 ",中山分局,
中山區,WMA03332,力行里,臺北市中山區南京東路三段48巷36-38號,"25.050785,121.538304",2,"4281 ",中山分局,
中山區,WMA03484,力行里,臺北市中山區建國北路一段55、55之1號,"25.051632,121.536405",1,"277 ",中山分局,
中山區,WMA03561,力行里,臺北市中山區南京東路三段8號,"25.051788,121.537252",1,"810 ",中山分局,
中山區,WMA03604,力行里,臺北市中山區南京東路三段14巷8號,"25.051295,121.53746",1,"125 ",中山分局,
中山區,WMA03843,力行里,臺北市中山區建國北路一段61號,"25.050671,121.537132",1,"390 ",中山分局,
中山區,WMA01899,力行里,臺北市中山區南京東路三段182號,"25.051667,121.54168",1,"93 ",中山分局,
中山區,WMA01907,力行里,臺北市中山區南京東路三段224號,"25.051659,121.543728",1,"461 ",中山分局,
中山區,WMA01915,力行里,臺北市中山區南京東路三段194巷1號,"25.051459,121.542854",1,"208 ",中山分局,
中山區,WMA01916,力行里,臺北市中山區南京東路三段194巷14-16號,"25.051352,121.54254",1,"57 ",中山分局,
中山區,WMA01917,力行里,臺北市中山區南京東路三段194巷24-26號,"25.051107,121.542021",1,"148 ",中山分局,
中山區,WMA01918,力行里,臺北市中山區南京東路三段194巷7-9號,"25.051069,121.542298",1,"308 ",中山分局,
中山區,WMA01919,力行里,臺北市中山區南京東路三段210巷47號,"25.05167,121.543341",1,"37 ",中山分局,
中山區,WMA02131,力行里,臺北市中山區復興北路70-76號,"25.050756,121.543794",1,"366 ",中山分局,
中山區,WMA02132,力行里,臺北市中山區復興北路78號,"25.050899,121.543798",1,"69 ",中山分局,
中山區,WMA02133,力行里,臺北市中山區復興北路80-82號,"25.050984,121.5438",1,"282 ",中山分局,
中山區,WMA02134,力行里,臺北市中山區復興北路84-92號,"25.051159,121.543803",1,"880 ",中山分局,
中山區,WMA02606,力行里,臺北市中山區遼寧街113-117號,"25.051293,121.541765",1,"558 ",中山分局,
中山區,WMA02607,力行里,臺北市中山區遼寧街號,"25.047326,121.542269",1,"429 ",中山分局,
中山區,WMA02614,力行里,臺北市中山區遼寧街101巷14-16號,"25.050654,121.543244",1,"329 ",中山分局,
中山區,WMA02617,力行里,臺北市中山區遼寧街101巷2弄6-10號,"25.050331,121.5427",1,"362 ",中山分局,
中山區,WMA02619,力行里,臺北市中山區遼寧街105巷35-37號,"25.051228,121.543082",1,"426 ",中山分局,
中山區,WMA02613,力行里,臺北市中山區遼寧街72號,"25.051022,121.541796",1,"28 ",中山分局,
中山區,WMA02640,力行里,臺北市中山區遼寧街76巷2-2-1號,"25.051182,121.541546",1,"322 ",中山分局,
中山區,WMA02641,力行里,臺北市中山區遼寧街76巷4號,"25.051065,121.541465",1,"42 ",中山分局,
中山區,WMA02764,力行里,臺北市中山區龍江路67-67-1號,"25.050616,121.540558",2,"1550 ",中山分局,
中山區,WMA02765,力行里,臺北市中山區龍江路73-85號,"25.050878,121.540576",2,"2226 ",中山分局,
中山區,WMA02912,力行里,臺北市中山區龍江路65巷17號,"25.050697,121.541355",1,"265 ",中山分局,
中山區,WMA02913,力行里,臺北市中山區龍江路65巷19-23號,"25.050796,121.541511",1,"337 ",中山分局,
中山區,WMA03038,力行里,：臺北市中山區南京東路三段132-136號,"25.051722,121.540946",3,"1409 ",中山分局,
中山區,WMA03126,力行里,臺北市中山區龍江路71巷17-19號,"25.051024,121.540982",1,"1148 ",中山分局,
中山區,WMA03146,力行里,臺北市中山區龍江路65巷15號,"25.050623,121.541179",1,"426 ",中山分局,
中山區,WMA03224,力行里,臺北市中山區南京東路三段128-130號,"25.051722,121.540612",6,"1754 ",中山分局,
中山區,WMA03418,力行里,臺北市中山區朱崙街53巷26號,"25.050792,121.541038",1,"309 ",中山分局,
中山區,WMA01685,力行里,臺北市中山區長安東路二段169號,"25.048421,121.54073",1,"1580 ",中山分局,
中山區,WMA01686,力行里,臺北市中山區長安東路二段169-12號,"25.048406,121.541376",1,"977 ",中山分局,
中山區,WMA01687,力行里,臺北市中山區長安東路二段171號,"25.048401,121.541684",1,"1076 ",中山分局,
中山區,WMA01993,力行里,臺北市中山區建國北路一段57巷6、8號,"25.05045,121.53773",1,"76 ",中山分局,
中山區,WMA02011,力行里,臺北市中山區建國北路一段51巷1-3號,"25.04737,121.539794",1,"641 ",中山分局,
中山區,WMA02750,力行里,臺北市中山區龍江路39-31號,"25.048898,121.540541",1,"344 ",中山分局,
中山區,WMA02752,力行里,臺北市中山區龍江路34-36號,"25.048665,121.5403",1,"130 ",中山分局,
中山區,WMA02757,力行里,臺北市中山區龍江路40、42號,"25.067709,121.541092",1,"589 ",中山分局,
中山區,WMA02762,力行里,臺北市中山區龍江路47、47-1號,"25.067709,121.541092",1,"281 ",中山分局,
中山區,WMA02858,力行里,臺北市中山區龍江路37巷16號,"25.048732,121.540992",1,"76 ",中山分局,
中山區,WMA02859,力行里,臺北市中山區龍江路37巷2號,"25.048748,121.540738",1,"145 ",中山分局,
中山區,WMA02860,力行里,臺北市中山區龍江路37巷22-24號,"25.048729,121.541193",1,"197 ",中山分局,
中山區,WMA02861,力行里,臺北市中山區龍江路37巷26號,"25.048689,121.541396",1,"369 ",中山分局,
中山區,WMA02862,力行里,臺北市中山區龍江路37巷34-36號,"25.048722,121.541539",1,"105 ",中山分局,
中山區,WMA02863,力行里,臺北市中山區龍江路37巷38-40號,"25.048727,121.541655",1,"77 ",中山分局,
中山區,WMA02864,力行里,臺北市中山區龍江路37巷42號,"25.048728,121.54178",1,"77 ",中山分局,
中山區,WMA02870,力行里,臺北市中山區龍江路38巷6號,"25.048874,121.540011",1,"117 ",中山分局,
中山區,WMA03584,力行里,臺北市中山區龍江路37巷42號,"25.048728,121.54178",1,"807 ",中山分局,
中山區,WMA03667,力行里,臺北市中山區長安東路二段169之12~17號,"25.048404,121.541614",1,"884 ",中山分局,
中山區,WMA01221,力行里,臺北市中山區朱崙街89-91號,"25.050021,121.543469",1,"229 ",中山分局,
中山區,WMA02114,力行里,臺北市中山區復興北路38-40號,"25.049254,121.543753",1,"626 ",中山分局,
中山區,WMA02122,力行里,臺北市中山區復興北路46、48號,"25.066205,121.54393",1,"256 ",中山分局,
中山區,WMA02124,力行里,臺北市中山區復興北路50號,"25.04974,121.543764",1,"345 ",中山分局,
中山區,WMA02126,力行里,臺北市中山區復興北路56-58號,"25.050042,121.543772",1,"1034 ",中山分局,
中山區,WMA02127,力行里,臺北市中山區復興北路58號,"25.050142,121.543775",2,"517 ",中山分局,
中山區,WMA02128,力行里,臺北市中山區復興北路60號,"25.050295,121.543781",1,"708 ",中山分局,
中山區,WMA02129,力行里,臺北市中山區復興北路62-62-2號,"25.050457,121.543785",1,"632 ",中山分局,
中山區,WMA02130,力行里,臺北市中山區復興北路64-66號,"25.050533,121.543788",1,"673 ",中山分局,
中山區,WMA02615,力行里,臺北市中山區遼寧街101巷5號,"25.050492,121.542546",1,"33 ",中山分局,
中山區,WMA02616,力行里,臺北市中山區遼寧街101巷2弄5-7號,"25.050442,121.542914",1,"173 ",中山分局,
中山區,WMA02617,力行里,臺北市中山區遼寧街101巷2弄6-10號,"25.050331,121.5427",1,"362 ",中山分局,
中山區,WMA02618,力行里,臺北市中山區遼寧街101巷2弄9號,"25.050442,121.543091",1,"53 ",中山分局,
中山區,WMA02638,力行里,臺北市中山區遼寧街63巷27號,"25.049182,121.543148",1,"174 ",中山分局,
中山區,WMA02642,力行里,臺北市中山區遼寧街81巷1-3號,"25.049626,121.54266",1,"384 ",中山分局,
中山區,WMA02643,力行里,臺北市中山區遼寧街81巷5-7號,"25.049465,121.542518",1,"934 ",中山分局,
中山區,WMA02644,力行里,臺北市中山區南京東路三段216巷46號,"25.050158,121.543299",1,"814 ",中山分局,
中山區,WMA03339,力行里,臺北市中山區朱崙街60號,"25.049841,121.543533",3,"384 ",中山分局,
中山區,WMA03367,力行里,臺北市中山區遼寧街81巷22號,"25.049451,121.54306",1,"170 ",中山分局,
中山區,WMA03525,力行里,臺北市中山區朱崙街73號,"25.050059,121.54253",4,"948 ",中山分局,
中山區,WMA03633,力行里,臺北市中山區朱崙街58號,"25.049845,121.543245",1,"1073 ",中山分局,
中山區,WMA01219,力行里,臺北市中山區朱崙街31-33號,"25.04989,121.540836",2,"754 ",中山分局,
中山區,WMA02634,力行里,臺北市中山區遼寧街62巷10-12號,"25.050439,121.541944",1,"49 ",中山分局,
中山區,WMA02635,力行里,臺北市中山區遼寧街62巷3-5號,"25.050592,121.541932",1,"65 ",中山分局,
中山區,WMA02636,力行里,臺北市中山區遼寧街62巷7-15號,"25.050521,121.541804",1,"214 ",中山分局,
中山區,WMA02909,力行里,臺北市中山區朱崙街61巷33號,"25.050049,121.541793",1,"152 ",中山分局,
中山區,WMA02910,力行里,臺北市中山區朱崙街61巷27弄11號,"25.050049,121.541793",1,"104 ",中山分局,
中山區,WMA02911,力行里,臺北市中山區龍江路65巷16-16-1號,"25.050502,121.541241",1,"292 ",中山分局,
中山區,WMA03037,力行里,臺北市中山區龍江路065巷20-22號,"25.066103,121.538093",1,"138 ",中山分局,
中山區,WMA0305,力行里,"臺北市中山區遼寧街062巷06 -08號","25.049002,121.542242",1,"305 ",中山分局,
中山區,WMA03124,力行里,臺北市中山區龍江路63之1-2號,"25.050305,121.540595",1,"553 ",中山分局,
中山區,WMA03562,力行里,臺北市中山區遼寧街62巷20號,"25.050291,121.541634",1,"156 ",中山分局,
中山區,WMA03865,力行里,臺北市中山區南京東路三段194巷18號,"25.051241,121.542333",3,"828 ",中山分局,
中山區,WMA03860,力行里,臺北市中山區南京東路三段106號,"25.051749,121.539968",1,"985 ",中山分局,
中山區,WMA03875,力行里,臺北市中山區南京東路三段194巷3號,"25.05159458159764,121.5427761552727",1,"826 ",中山分局,
中山區,WMA03828,力行里,北市中山區龍江路62號,"25.050622,121.540263",1,"401 ",中山分局,
中山區,WMA01213,力行里,臺北市中山區朱崙街20號,"25.049897,121.539463",2,"6473 ",中山分局,
中山區,WMA01680,力行里,臺北市中山區長安東路二段141號,"25.048532,121.537161",1,"569 ",中山分局,
中山區,WMA01684,力行里,臺北市中山區長安東路二段165-167號,"25.04843,121.54057",2,"344 ",中山分局,
中山區,WMA00859,下埤里,臺北市中山區民權東路三段33號,"25.062586,121.542063",1、2,"424 ",中山分局,
中山區,WMA00860,下埤里,臺北市中山區民權東路三段35、37號,"25.06211,121.543708",1、2,"3482 ",中山分局,
中山區,WMA00862,下埤里,臺北市中山區民權東路三段35、37號,"25.06211,121.543708",1、2,"3482 ",中山分局,
中山區,WMA00863,下埤里,臺北市中山區民權東路三段35號,"25.062549,121.542196",1、2,"3482 ",中山分局,
中山區,WMA00936,下埤里,臺北市中山區民權東路三段39巷2號,"25.063036,121.542454",1,"705 ",中山分局,
中山區,WMA00937,下埤里,臺北市中山區民權東路三段39巷5、7號,"25.065465,121.542666",1,"410 ",中山分局,
中山區,WMA00949,下埤里,臺北市中山區民權東路三段75巷2弄1-19號,"25.063005,121.543572",1,"562 ",中山分局,
中山區,WMA00950,下埤里,臺北市中山區民權東路三段75巷2弄2-22號,"25.062833,121.543584",1,"549 ",中山分局,
中山區,WMA02119,下埤里,臺北市中山區復興北路420、422號,"25.066205,121.54393",1,"1341 ",中山分局,
中山區,WMA02120,下埤里,臺北市中山區復興北路424-428號,"25.062754,121.543991",1,"240 ",中山分局,
中山區,WMA02151,下埤里,臺北市中山區復興北路430巷1號,"25.06349,121.543092",1,"2233 ",中山分局,
中山區,WMA02152,下埤里,臺北市中山區復興北路430巷1號,"25.06349,121.543092",1,"1372 ",中山分局,
中山區,WMA02156,下埤里,臺北市中山區復興北路430巷26、28號,"25.063283,121.542087",1,"441 ",中山分局,
中山區,WMA02158,下埤里,臺北市中山區復興北路430巷38、40號,"25.063283,121.542087",1,"326 ",中山分局,
中山區,WMA02159,下埤里,臺北市中山區復興北路430巷6、8號,"25.063283,121.542087",1,"81 ",中山分局,
中山區,WMA02768,下埤里,臺北市中山區龍江路329號,"25.062719,121.540996",1,"520 ",中山分局,
中山區,WMA02834,下埤里,臺北市中山區龍江路331巷15號,"25.063016,121.541798",1,"208 ",中山分局,
中山區,WMA02835,下埤里,臺北市中山區龍江路331巷17、19號,"25.063041,121.542267",1,"301 ",中山分局,
中山區,WMA02836,下埤里,臺北市中山區龍江路331巷2-10號,"25.062864,121.541218",1,"228 ",中山分局,
中山區,WMA02837,下埤里,臺北市中山區龍江路331巷7-13號,"25.063016,121.541456",1,"549 ",中山分局,
中山區,WMA02840,下埤里,臺北市中山區龍江路345巷12-16號,"25.063286,121.541611",1,"334 ",中山分局,
中山區,WMA02841,下埤里,臺北市中山區龍江路345巷16之1號,"25.063314,121.541816",1,"24 ",中山分局,
中山區,WMA02842,下埤里,臺北市中山區龍江路345巷16之1號,"25.063314,121.541816",1,"73 ",中山分局,
中山區,WMA02843,下埤里,臺北市中山區龍江路345巷2-6號,"25.063319,121.541279",1,"1730 ",中山分局,
中山區,WMA00462,下埤里,臺北市中山區民權東路三段39巷10、12號,"25.065465,121.542666",1,"288 ",中山分局,
中山區,WMA00463,下埤里,臺北市中山區民權東路三段39巷9-13號,"25.065249,121.542649",1,"357 ",中山分局,
中山區,WMA00464,下埤里,臺北市中山區民權東路三段39巷15號,"25.065465,121.542666",1,"217 ",中山分局,
中山區,WMA00468,下埤里,臺北市中山區龍江路397巷42-48號,"25.065458,121.543374",1,"165 ",中山分局,
中山區,WMA02121,下埤里,臺北市中山區復興北路432-440號,"25.063454,121.544098",1,"1490 ",中山分局,
中山區,WMA02123,下埤里,臺北市中山區復興北路468-476號,"25.06463,121.544073",1,"52 ",中山分局,
中山區,WMA02163,下埤里,臺北市中山區復興北路480-486號,"25.064907,121.544113",1,"896 ",中山分局,
中山區,WMA02165,下埤里,臺北市中山區復興北路514巷10-14號,"25.065864,121.543617",1,"137 ",中山分局,
中山區,WMA02880,下埤里,臺北市中山區復興北路514巷16、18號,"25.066094,121.54127",1,"140 ",中山分局,
中山區,WMA02882,下埤里,臺北市中山區復興北路514巷20-26號,"25.065885,121.543171",1,"136 ",中山分局,
中山區,WMA03539,下埤里,臺北市中山區復興北路446號,"25.063977,121.544043",1、2,"825 ",中山分局,
中山區,WMA00417,下埤里,臺北市中山區五常街91號,"25.064446,121.541214",1,"2378 ",中山分局,
中山區,WMA00418,下埤里,臺北市中山區五常街16號,"25.064195,121.542213",1,"192 ",中山分局,
中山區,WMA00419,下埤里,臺北市中山區五常街16號,"25.064195,121.542213",1,"408 ",中山分局,
中山區,WMA00420,下埤里,臺北市中山區五常街16號,"25.064195,121.542213",1,"1312 ",中山分局,
中山區,WMA00469,下埤里,臺北市中山區龍江路377巷14-24號,"25.064712,121.541702",1,"378 ",中山分局,
中山區,WMA02755,下埤里,臺北市中山區龍江路379-385號,"25.064875,121.541041",1,"758 ",中山分局,
中山區,WMA02875,下埤里,臺北市中山區龍江路387巷1-15號,"25.065252,121.54122",1,"938 ",中山分局,
中山區,WMA00814,下埤里,臺北市中山區民族東路512巷19號,"25.06672,121.542091",1,"105 ",中山分局,
中山區,WMA00815,下埤里,臺北市中山區民族東路512巷32、34號,"25.06622,121.541929",1,"466 ",中山分局,
中山區,WMA00816,下埤里,臺北市中山區民族東路512巷13弄12-18號,"25.066746,121.542626",1,"277 ",中山分局,
中山區,WMA00817,下埤里,臺北市中山區民族東路512巷13弄20-26號,"25.066651,121.542964",1,"252 ",中山分局,
中山區,WMA00818,下埤里,臺北市中山區民族東路512巷13弄4號,"25.066756,121.542259",1,"576 ",中山分局,
中山區,WMA02760,下埤里,臺北市中山區龍江路417-427號,"25.066483,121.541079",1,"920 ",中山分局,
中山區,WMA02888,下埤里,臺北市中山區龍江路415巷13之1號,"25.066472,121.542278",1,"50 ",中山分局,
中山區,WMA02889,下埤里,臺北市中山區龍江路415巷15-21號,"25.066471,121.54234",1,"170 ",中山分局,
中山區,WMA02893,下埤里,臺北市中山區龍江路415巷23-29號,"25.066462,121.542643",1,"218 ",中山分局,
中山區,WMA02896,下埤里,臺北市中山區龍江路415巷38-50號,"25.066324,121.542948",1,"257 ",中山分局,
中山區,WMA03266,下埤里,臺北市中山區龍江路429巷5號,"25.06687,121.541261",1,"184 ",中山分局,
中山區,WMA00465,下埤里,臺北市中山區龍江路397巷26、28號,"25.065581,121.543621",1,"120 ",中山分局,
中山區,WMA02164,下埤里,臺北市中山區復興北路514巷1、3號,"25.066064,121.543422",1,"73 ",中山分局,
中山區,WMA02166,下埤里,臺北市中山區復興北路514巷11-19號,"25.066064,121.543473",1,"232 ",中山分局,
中山區,WMA02169,下埤里,臺北市中山區復興北路514巷29、31號,"25.066094,121.54127",1,"50 ",中山分局,
中山區,WMA02170,下埤里,臺北市中山區復興北路514巷33、35號,"25.066094,121.54127",1,"50 ",中山分局,
中山區,WMA02171,下埤里,臺北市中山區復興北路514巷33、35號,"25.066094,121.54127",1,"81 ",中山分局,
中山區,WMA02172,下埤里,臺北市中山區復興北路514巷40、42號,"25.066094,121.54127",1,"178 ",中山分局,
中山區,WMA02173,下埤里,臺北市中山區復興北路514巷44-52號,"25.066054,121.542321",1,"574 ",中山分局,
中山區,WMA02174,下埤里,臺北市中山區復興北路514巷45、47號,"25.066094,121.54127",1,"81 ",中山分局,
中山區,WMA02175,下埤里,臺北市中山區復興北路514巷61、63號,"25.066094,121.54127",1,"137 ",中山分局,
中山區,WMA02759,下埤里,臺北市中山區龍江路407-413號,"25.066113,121.541064",1,"1014 ",中山分局,
中山區,WMA02869,下埤里,臺北市中山區龍江路397巷1-13號,"25.065612,121.541231",1,"3512 ",中山分局,
中山區,WMA02876,下埤里,臺北市中山區龍江路397巷25、27號,"25.065581,121.543621",1,"154 ",中山分局,
中山區,WMA02879,下埤里,臺北市中山區復興北路514巷37-43號,"25.066051,121.542546",1,"98 ",中山分局,
中山區,WMA02881,下埤里,臺北市中山區復興北路514巷21-27號,"25.066051,121.54312",1,"117 ",中山分局,
中山區,WMA02883,下埤里,臺北市中山區復興北路514巷53-59號,"25.066074,121.541895",1,"220 ",中山分局,
中山區,WMA02890,下埤里,臺北市中山區龍江路415巷18號,"25.066341,121.542126",1,"269 ",中山分局,
中山區,WMA02891,下埤里,臺北市中山區龍江路415巷20號,"25.066348,121.542221",1,"50 ",中山分局,
中山區,WMA02892,下埤里,臺北市中山區龍江路415巷22、24號,"25.066285,121.543404",1,"89 ",中山分局,
中山區,WMA02894,下埤里,臺北市中山區龍江路415巷26、28號,"25.066285,121.543404",1,"89 ",中山分局,
中山區,WMA02895,下埤里,臺北市中山區龍江路415巷30-36號,"25.066329,121.542629",1,"424 ",中山分局,
中山區,WMA00795,下埤里,臺北市中山區民族東路480-508號,"25.067958,121.54113",1,"1197 ",中山分局,
中山區,WMA00796,下埤里,臺北市中山區民族東路514、516號,"25.066398,121.543999",1,"72 ",中山分局,
中山區,WMA00797,下埤里,臺北市中山區民族東路518-524號,"25.067563,121.542513",1,"220 ",中山分局,
中山區,WMA00798,下埤里,臺北市中山區民族東路526-536號,"25.067347,121.542784",1,"602 ",中山分局,
中山區,WMA00799,下埤里,臺北市中山區民族東路538-566號,"25.067,121.543222",1,"1440 ",中山分局,
中山區,WMA00811,下埤里,臺北市中山區民族東路512巷1-11號,"25.067668,121.54222",1,"201 ",中山分局,
中山區,WMA00812,下埤里,臺北市中山區民族東路512巷14、16號,"25.06622,121.541929",1,"444 ",中山分局,
中山區,WMA00813,下埤里,臺北市中山區民族東路512巷18-24號,"25.067119,121.541946",1,"252 ",中山分局,
中山區,WMA02761,下埤里,臺北市中山區龍江路443號,"25.067012,121.541086",1,"184 ",中山分局,
中山區,WMA02897,下埤里,臺北市中山區龍江路443巷1號,"25.067267,121.541295",1,"457 ",中山分局,
中山區,WMA02898,下埤里,臺北市中山區龍江路443巷1之1、1之2號,"25.06727,121.541368",1,"57 ",中山分局,
中山區,WMA02899,下埤里,臺北市中山區龍江路443巷2-6號,"25.067163,121.541141",1,"98 ",中山分局,
中山區,WMA02900,下埤里,臺北市中山區龍江路443巷3、5號,"25.067148,121.541711",1,"114 ",中山分局,
中山區,WMA02901,下埤里,臺北市中山區龍江路443巷7、9號,"25.067148,121.541711",1,"52 ",中山分局,
中山區,WMA02902,下埤里,臺北市中山區龍江路443巷8-12號,"25.06715,121.541524",1,"157 ",中山分局,
中山區,WMA03075,下埤里,臺北市中山區龍江路443號,"25.067012,121.541086",1,"184 ",中山分局,
中山區,WMA03872,下埤里,臺北市中山區五常街99號,"25.064399,121.54156",1,"1106 ",中山分局,
中山區,WMA03095,下埤里,臺北市中山區民族東路512巷1弄1-21號,"25.066205,121.541875",1,"602 ",中山分局,
中山區,WMA02920,大佳里,臺北市中山區濱江街101號,"25.07329,121.535176",1,"136 ",中山分局,
中山區,WMA02921,大佳里,臺北市中山區濱江街99號,"25.073302,121.53496",1,"266 ",中山分局,
中山區,WMA02923,大佳里,臺北市中山區濱江街103、105號,"25.072548,121.550946",1,"516 ",中山分局,
中山區,WMA03058,大佳里,臺北市中山區濱江街251號,"25.072641,121.541636",1,"189 ",中山分局,
中山區,WMA03072,大佳里,臺北市中山區濱江街301巷8號,"25.072793,121.545624",1,"436 ",中山分局,
中山區,WMA03096,大佳里,臺北市中山區濱江街283號,"25.072603,121.543516",1,"21 ",中山分局,
中山區,WMA03099,大佳里,臺北市中山區濱江街213號,"25.072724,121.540342",1,"2518 ",中山分局,
中山區,WMA03235,大佳里,臺北市中山區濱江街339號,"25.072565,121.548863",1,"2480 ",中山分局,
中山區,WMA03254,大佳里,臺北市中山區濱江街233號,"25.072735,121.541263",1、2,"1830 ",中山分局,
中山區,WMA03468,大佳里,臺北市中山區濱江街297號,"25.072565,121.545305",1,"750 ",中山分局,
中山區,WMA03576,大佳里,臺北市中山區濱江街269號,"25.072706,121.542484",1、2,"2580 ",中山分局,
中山區,WMA03588,大佳里,臺北市中山區濱江街337號,"25.072592,121.548232",1,"1752 ",中山分局,
中山區,WMA03620,大佳里,臺北市中山區濱江街277號,"25.072721,121.543103",1、2、3,"3462 ",中山分局,
中山區,WMA03810,大佳里,臺北市中山區濱江街181號,"25.07274,121.538824",1,"316 ",中山分局,
中山區,WMA03807,大佳里,臺北市中山區濱江街251號,"25.072641,121.541636",1、2,"1649 ",中山分局,
中山區,WMA03838,大佳里,臺北市中山區濱江街209號,"25.072716,121.539991",1,"749 ",中山分局,
中山區,WMA02922,大佳里,臺北市中山區濱江街107號,"25.073302,121.535954",1,"400 ",中山分局,
中山區,WMA03107,大佳里,臺北市中山區濱江街355號,"25.072422,121.550534",1,"340 ",中山分局,
中山區,WMA02923,大佳里,臺北市中山區濱江街109號,"25.073445,121.537739",1,"402 ",中山分局,
中山區,WMA00086,大直里,"臺北市中山區大直街 57巷6號","25.083245,121.546785",1,"56 ",中山分局,
中山區,WMA00087,大直里,臺北市中山區大直街57巷8、10號,"25.083321,121.548248",1,"366 ",中山分局,
中山區,WMA00088,大直里,臺北市中山區大直街57巷9之1-4號,"25.083428,121.547085",1,"376 ",中山分局,
中山區,WMA00611,大直里,臺北市中山區北安路621巷35號,"25.083041,121.547301",1,"337 ",中山分局,
中山區,WMA00614,大直里,臺北市中山區北安路621巷45、47號,"25.08302,121.546639",1,"246 ",中山分局,
