類別,電腦編號,地址,緯經度,地下樓層數,分配容量,轄管分局,備註,placemark_address
久允工業公司,KMA00197,南投市永豐里永興路19號,"23.936302, 120.661122",1,777.0,南投分局,,南投市永豐里永興路19號
義成工廠股份有限公司,KMA00209,南投市福興里南崗三路103號,"23.942753, 120.664338",1,176.0,南投分局,,南投市福興里南崗三路103號
超吉工業社,KMA00212,南投市新興里自強三路23號,"23.926651, 120.665595",1,361.0,南投分局,,南投市新興里自強三路23號
光政鋼鐵工業有限公司,KMA00215,南投市永豐里成功三路134號,"23.930571, 120.666705",1,130.0,南投分局,,南投市永豐里成功三路134號
楊鐵公司,KMA00216,南投市福興里南崗三路284號,"23.939052, 120.665589",1,268.0,南投分局,,南投市福興里南崗三路284號
臺臂工業股份有限公司,KMA00247,南投市南崗工業區仁和路19號,"23.920722, 120.677104",1,150.0,南投分局,,南投市南崗工業區仁和路19號
宏荃公司,KMA00260,南投市平山里南崗三路24號,"23.926011, 120.670509",1,133.0,南投分局,,南投市平山里南崗三路24號
台灣銅箔股份有限公司,KMA00264,南投市永豐里成功三路150號,"23.927966, 120.662955",1,852.0,南投分局,,南投市永豐里成功三路150號
羽鮮化學工業股份有限公司,KMA00277,南投市福興里南崗三路282號,"23.938268, 120.665299",1,128.0,南投分局,,南投市福興里南崗三路282號
吉安車業公司,KMA00282,南投市新興里南崗三路29號,"23.928248, 120.668441",1,128.0,南投分局,,南投市新興里南崗三路29號
台灣赫克力化學股份有限公司,KMA00302,南投市永豐里南崗三路278號,"23.937366, 120.665477",1,100.0,南投分局,,南投市永豐里南崗三路278號
一般住宅,KMA00307,南投市漳和里南崗二路346號,"23.914589, 120.678142",1,40.0,南投分局,,南投市漳和里南崗二路346號
一般住宅,KMA00308,南投市漳和里南崗二路348號,"23.914787, 120.677587",1,41.0,南投分局,,南投市漳和里南崗二路348號
一般住宅,KMA00309,南投市漳和里彰南路二段340號,"23.914973, 120.680324",1,40.0,南投分局,,南投市漳和里彰南路二段340號
泰億機械公司,KMA00317,南投市新興里自強二路23號,"23.928027, 120.666878",1,262.0,南投分局,,南投市新興里自強二路23號
中華電信公司,KMA00339,南投市新興里南崗三路26號,"23.926254, 120.670723",1,1656.0,南投分局,,南投市新興里南崗三路26號
聯合文具,KMA00343,南投市漳和里彰南路二段259巷6號,"23.913182, 120.680931",1,24.0,南投分局,,南投市漳和里彰南路二段259巷6號
佳保工業股份有限公司,KMA00362,南投市平山里南崗三路13號,"23.925060, 120.671220",1,324.0,南投分局,,南投市平山里南崗三路13號
中永實業公司,KMA00385,南投市平山里自強三路16號,"23.923822, 120.667973",1,144.0,南投分局,,南投市平山里自強三路16號
詠承企業股份有限公司,KMA00387,南投市新興里工業路21號,"23.923024, 120.663863",1,111.0,南投分局,,南投市新興里工業路21號
元宙化學公司,KMA00388,南投市永豐里南崗三路272號,"23.935242, 120.665926",1,124.0,南投分局,,南投市永豐里南崗三路272號
鉅欣公司,KMA00400,南投市永豐里中華路326號,"23.934601, 120.666414",1,114.0,南投分局,,南投市永豐里中華路326號
亞麥開發股份有限公司,KMA00409,南投市永豐里工業北一路5號,"23.926085, 120.659717",1,89.0,南投分局,,南投市永豐里工業北一路5號
松和工業股份有限公司,KMA00417,南投市永豐里南崗三路61號,"23.932292, 120.666476",1,207.0,南投分局,,南投市永豐里南崗三路61號
寶田企業股份有限公司,KMA00418,南投市福興里南崗三路77號,"23.937833, 120.664654",1,213.0,南投分局,,南投市福興里南崗三路77號
冠郝企業股份有限公司,KMA00419,南投市新興里工業路23號,"23.923442, 120.663533",1,183.0,南投分局,,南投市新興里工業路23號
崧贊油封工業股份有限公司,KMA00438,南投市永豐里工業東路11號,"23.929009, 120.662410",1,151.0,南投分局,,南投市永豐里工業東路11號
昶利環保公司,KMA00439,南投市永豐里成功三路162號,"23.924203, 120.661376",1,127.0,南投分局,,南投市永豐里成功三路162號
華博企業股份有限公司,KMA00441,南投市永豐里工業路37號,"23.924232, 120.660903",1,166.0,南投分局,,南投市永豐里工業路37號
逢陽精密股份有限公司,KMA00446,南投市永豐里工業東路25號,"23.932132, 120.660676",1,216.0,南投分局,,南投市永豐里工業東路25號
固品塑膠工業股份有限公司,KMA00448,南投市永豐里工業北三路9號,"23.926840, 120.657599",1,43.0,南投分局,,南投市永豐里工業北三路9號
臺勵福股份有限公司,KMA00450,南投市永豐里成功三路176號,"23.921765, 120.658484",1,275.0,南投分局,,南投市永豐里成功三路176號
台灣陶氏化學股份有限公司,KMA00455,南投市新興里工業南一路9號,"23.922871, 120.661412",1,113.0,南投分局,,南投市新興里工業南一路9號
樺林公司,KMA00480,南投市平山里工業路5號,"23.919862, 120.665254",1,97.0,南投分局,,南投市平山里工業路5號
鴻利鑄造公司,KMA00493,南投市新興里成功三路331號,"23.923322, 120.659859",1,107.0,南投分局,,南投市新興里成功三路331號
百晟工業股份有限公司,KMA00510,南投市新興里工業路15號,"23.922124, 120.664715",1,279.0,南投分局,,南投市新興里工業路15號
冠好公司,KMA00514,南投市新興里工業路27號,"23.923542, 120.663081",1,222.0,南投分局,,南投市新興里工業路27號
樺昌工業股份有限公司,KMA00518,南投市新豐里成功三路198號,"23.916070, 120.658415",1,77.0,南投分局,,南投市新豐里成功三路198號
三力達企業股份有限公司,KMA00520,南投市永豐里工業北五路12號,"23.925289, 120.657428",1,216.0,南投分局,,南投市永豐里工業北五路12號
良蒙公司,KMA00522,南投市永豐里工業南七路7號,"23.916184, 120.653789",1,483.0,南投分局,,南投市永豐里工業南七路7號
賢泰實業股份有限公司,KMA00524,南投市平山里仁和路135號,"23.920650, 120.663590",1,223.0,南投分局,,南投市平山里仁和路135號
順德工業股份有限公司,KMA00526,南投市新興里工業南一路16號,"23.924169, 120.661202",1,482.0,南投分局,,南投市新興里工業南一路16號
柏諦企業股份有限公司,KMA00531,南投市永豐里成功三路186號,"23.918829, 120.659525",1,121.0,南投分局,,南投市永豐里成功三路186號
啟台企業股份有限公司,KMA00533,南投市永豐里工業北六路4號,"23.924889, 120.655297",1,350.0,南投分局,,南投市永豐里工業北六路4號
家盟電機股份有限公司,KMA00549,南投市永豐里成功三路190號,"23.918223, 120.659060",1,97.0,南投分局,,南投市永豐里成功三路190號
合默麟開發股份有限公司,KMA00550,南投市南崗工業區仁和路143-1號,"23.922388, 120.678062",1,43.0,南投分局,,南投市南崗工業區仁和路143-1號
系統電子工業公司,KMA00560,南投市永豐里工業北路26號,"23.921612, 120.654593",1,164.0,南投分局,,南投市永豐里工業北路26號
固品股份有限公司,KMA00580,南投市福興里南崗三路296號,"23.942503, 120.664439",1,344.0,南投分局,,南投市福興里南崗三路296號
日勝化工股份有限公司,KMA00585,南投市新興里成功三路333-1號,"23.922132, 120.659687",1,476.0,南投分局,,南投市新興里成功三路333-1號
漳興國小,KMA00617,南投市漳和里復興路711號,"23.918665, 120.679551",1,401.0,南投分局,,南投市漳和里復興路711號
福而建設,KMA00620,南投市漳和里彰南路二段571巷38號,"23.919270, 120.677945",1,1214.0,南投分局,,南投市漳和里彰南路二段571巷38號
榮豐工業公司,KMA00622,南投市平和里仁和路148號,"23.921506, 120.677791",1,1373.0,南投分局,,南投市平和里仁和路148號
原廣股份有限公司,KMA00626,南投市平和里南崗三路18號,"23.924598, 120.671880",1,68.0,南投分局,,南投市平和里南崗三路18號
長慶汽車股份有限公司,KMA00627,南投市福興里南崗三路288號,"23.939571, 120.665187",1,2760.0,南投分局,,南投市福興里南崗三路288號
上毅建設,KMA00632,南投市平山里平山一路三街68號,"23.919355, 120.673353",1,1327.0,南投分局,,南投市平山里平山一路三街68號
唐州工業股份有限公司,KMA00642,南投市永豐里工業北路57號,"23.920912, 120.655384",1,226.0,南投分局,,南投市永豐里工業北路57號
眾成工業股份有限公司,KMA00638,南投市福興里南崗三路280號,"23.937894, 120.665584",1,96.0,南投分局,,南投市福興里南崗三路280號
俊侑股份有限公司,KMA00647,南投市半山里自立三路18號,"23.933180, 120.662784",1,40.0,南投分局,,南投市半山里自立三路18號
大漢窗簾公司,KMA00650,南投市永豐里成功三路154號,"23.925467, 120.661910",1,324.0,南投分局,,南投市永豐里成功三路154號
唯心聖教功德基金會,KMA00694,南投市漳和里文化路705巷667號,"23.912915, 120.667944",1,150.0,南投分局,,南投市漳和里文化路705巷667號
鉅鋐油封工業股份有限公司,KMA00651,南投市新興里工業南三路5號,"23.921557, 120.659928",1,135.0,南投分局,,南投市新興里工業南三路5號
火鶴工業股份有限公司,KMA00652,南投市新豐里成功三路150號,"23.928005, 120.663416",1,266.0,南投分局,,南投市新豐里成功三路150號
欣美實業股份有限公司,KMA00654,南投市平山里自強一路10號,"23.926076, 120.673094",1,114.0,南投分局,,南投市平山里自強一路10號
有侑實業股份有限公司,KMA00655,南投市永豐里工業路61號,"23.929751, 120.658697",1,276.0,南投分局,,南投市永豐里工業路61號
順德工業股份有限公司,KMA00656,南投市新興里工業南一路16號,"23.924306, 120.661770",1,2530.0,南投分局,,南投市新興里工業南一路16號
環隆電氣股份有限公司,KMA00657,南投市永豐里工業路330號,"23.926202, 120.661988",1,2459.0,南投分局,,南投市永豐里工業路330號
嵩贊油封工業股份有限公司,KMA00658,南投市永豐里工業東路6號,"23.929170, 120.662350",1,327.0,南投分局,,南投市永豐里工業東路6號
彩揚塑膠工業,KMA00659,南投市南崗工業區仁和路5號,"23.922605, 120.678649",1,52.0,南投分局,,南投市南崗工業區仁和路5號
僑建國小,KMA00662,南投市永豐里彰南路三段847號,"23.941087, 120.668380",1,1168.0,南投分局,,南投市永豐里彰南路三段847號
富鈞股份有限公司,KMA00663,南投市新興里自強一路22號,"23.927301, 120.671772",1,146.0,南投分局,,南投市新興里自強一路22號
郁正股份有限公司,KMA00664,南投市平山里自強一路11號,"23.925616, 120.672457",1,1580.0,南投分局,,南投市平山里自強一路11號
南投國中,KMA00665,南投市漳和里祖祠路361號,"23.913365, 120.675470",1,2872.0,南投分局,,南投市漳和里祖祠路361號
南投縣審計室,KMA00666,南投市漳興里復興路480巷36號,"23.915444, 120.685160",1,1408.0,南投分局,,南投市漳興里復興路480巷36號
泰谷光電,KMA00667,南投市永豐里自強三路18號,"23.924194, 120.667739",2,1582.0,南投分局,,南投市永豐里自強三路18號
柏諦企業股份有限公司,KMA00668,南投市永豐里成功三路186-1號,"23.918898, 120.658828",1,2290.0,南投分局,,南投市永豐里成功三路186-1號
禾昌大廈,KMA00669,南投市永豐里自立一路3巷43號,"23.933185, 120.668561",1,279.0,南投分局,,南投市永豐里自立一路3巷43號
泰谷光電,KMA00671,南投市平山里自強三路22號,"23.924969, 120.667117",2,2208.0,南投分局,,南投市平山里自強三路22號
昱盛工業,KMA00672,南投市福興里永興路11號,"23.936975, 120.662404",1,279.0,南投分局,,南投市福興里永興路11號
百晟建設,KMA00673,南投市新興里同源路10街19號,"23.925813, 120.664097",1,73.0,南投分局,,南投市新興里同源路10街19號
南投縣立圖書館,KMA00674,南投市三和里中興路669號,"23.903197, 120.691565",2,2328.0,南投分局,,南投市三和里中興路669號
富錸建設,KMA00691,南投市漳和里復興路711巷2號,"23.918517, 120.679508",1,5757.0,南投分局,,南投市漳和里復興路711巷2號
全宏開發建設,KMA00692,南投市新興里同源路8街18號,"23.921470, 120.666930",1,87.0,南投分局,,南投市新興里同源路8街18號
名間鄉公所,KMA00346,名間鄉中正村彰南路40號,"23.838351, 120.703429",1,281.0,南投分局,,名間鄉中正村彰南路40號
名間農會,KMA00347,名間鄉中正村彰南路26號,"23.836976, 120.703917",1,17.0,南投分局,,名間鄉中正村彰南路26號
一般住宅,KMA00519,名間鄉中正村彰南路董門巷21-43號,"23.839411, 120.701836",1,873.0,南投分局,,名間鄉中正村彰南路董門巷21-43號
一般住宅,KMA00570,名間鄉濁水村員集路89號,"23.835563, 120.703630",1,211.0,南投分局,,名間鄉濁水村員集路89號
名間郵局,KMA00643,名間鄉南雅村南雅街65號,"23.837032, 120.702436",1,986.0,南投分局,,名間鄉南雅村南雅街65號
財政部中區國稅局南投分局,KMA00700,南投市三和里中興路667號,"23.903627, 120.691461",2,1676.0,南投分局,,南投市三和里中興路667號
道隆道路標誌器材有限公司,KMA00701,南投市平山里自強三路6號,"23.921784, 120.669230",1,946.0,南投分局,,南投市平山里自強三路6號
樹德企業股份有限公司,KMA00702,南投市永豐里工業南六路6號,"23.917268, 120.656667",1,1220.0,南投分局,,南投市永豐里工業南六路6號
僑馥建築經理有限公司,KMA00703,南投市平山里竹林路110號,"23.920953, 120.675150",1,946.0,南投分局,,南投市平山里竹林路110號
寬心開發建設有限公司,KMA00704,南投市永豐里彰南路3段540號,"23.935525, 120.670403",1,1309.0,南投分局,,南投市永豐里彰南路3段540號
南投縣政府警察局,KMA00705,南投市三民里南崗二路133號,"23.910295, 120.679205",1,5549.0,南投分局,,南投市三民里南崗二路133號
南投縣政府警察局南投分局,KMA00706,南投市三民里彰南路二段109號,"23.910381, 120.683170",1,956.0,南投分局,,南投市三民里彰南路二段109號
國家發展委員會,KNA00014,南投市光華里光華路6號,"23.955830, 120.687519",1,752.0,中興分局,,南投市光華里光華路6號
中興圖書館,KNA00017,南投市光華里光華路123號,"23.950093, 120.693971",1,1068.0,中興分局,,南投市光華里光華路123號
國家發展委員會,KNA00018,南投市光華里光華四路57號之8,"23.951394, 120.690719",1,49.0,中興分局,,南投市光華里光華四路57號之8
署立中興醫院,KNA00019,南投市光華里環山路57號,"23.952453, 120.695002",1,1969.0,中興分局,,南投市光華里環山路57號
中興分局,KNA00023,南投市光華里光華路115號,"23.950705, 120.694090",1,838.0,中興分局,,南投市光華里光華路115號
中興郵局,KNA00026,南投市光華里中學路4號,"23.949725, 120.694708",1,499.0,中興分局,,南投市光華里中學路4號
員工消費合作社,KNA00028,南投市光華里光華路66號,"23.951198, 120.693095",1,2657.0,中興分局,,南投市光華里光華路66號
中興高中,KNA00029,南投市光華里中學路2號,"23.950368, 120.695079",1,2105.0,中興分局,,南投市光華里中學路2號
光榮國小,KNA00033,南投市光營里光榮北路19之1號,"23.946036, 120.696737",1,791.0,中興分局,,南投市光營里光榮北路19之1號
聖徒教會,KNA00009,南投市營北里中正路220之6號,"23.946672, 120.693465",1,198.0,中興分局,,南投市營北里中正路220之6號
經濟部中部辦公室,KNA00012,南投市光輝里省府路4號,"23.958091, 120.686807",1,25.0,中興分局,,南投市光輝里省府路4號
國家發展委員會,KNA00013,南投市營北里中正路2號,"23.955974, 120.686328",1,197.0,中興分局,,南投市營北里中正路2號
國家發展委員會,KNA00031,南投市光輝里虎山路3號,"23.957970, 120.685285",1,4271.0,中興分局,,南投市光輝里虎山路3號
國家發展委員會,KNA00032,南投市光輝里府西路71號,"23.959852, 120.686442",1,2157.0,中興分局,,南投市光輝里府西路71號
