類別,建築物名稱,電腦編號,村里別,緯經度,地下樓層數,可容納人數,轄管分局,備註,停車場坡道,"unnamed (1)","unnamed (2)","unnamed (3)",placemark_address
大樓,秉坤婦幼醫院,T110311,中成里,"25.000706, 121.289641",1、2、3,2129.0,桃園分局,,O,,,,桃園區慈文路959號
大樓,丰格109社區,T110401,文中里,"24.9998483,121.2907891",1、2、3,2787.0,桃園分局,,O,,,,桃園區正光二街209號
大樓,福鄉至美社區,T110402,文中里,"25.0040504,121.2925228",1、2、3,2880.0,桃園分局,,O,,,,桃園區文中一路95巷2號
大樓,翫寶龍,T110403,中成里,"25.0058615,121.294387",1、2、3,1567.0,桃園分局,,O,,,,桃園區永安路617號
大樓,定泰清溪翫,T110404,青溪里,"25.0030588,121.3107918",1、2、3、4,2659.0,桃園分局,,O,,,,桃園區日光路50號
大樓,檜樂集,T110405,青溪里,"25.0016597,121.3126447",1、2、3、4,2315.0,桃園分局,,O,,,,桃園區青溪一路100巷68號
大樓,私人住宅,T110406,永興里,"24.9975314,121.3077155",1,165.0,桃園分局,,,,,,桃園區民權路196號
大樓,麗晶花園廣場社區,T109101,同安里,"25.0157216,121.3005908",1、2、3、4,6605.0,桃園分局,,O,,,,桃園市桃園區藝文一街62號
大樓,京璽社區,T109102,武陵里,"24.9906046,121.3152496",1、2、3,901.0,桃園分局,,O,,,,桃園區大同路10號
大樓,遠雄金融中心大樓,T109103,汴洲里,"25.0296183,121.3003837",1、2、3、4,2649.0,桃園分局,,O,,,,桃園區經國路839號
大樓,禾林浮島,T109104,忠義里,"24.9977235,121.3254171",1、2、3、4,834.0,桃園分局,,O,,,,桃園區成功路三段18號
大樓,竹城早稻田,T109105,信光里,"25.0080906,121.3061224",1、2、3,2227.0,桃園分局,,O,,,,桃園區大連二街111號
大樓,W17社區,T109106,東山里,"24.991183,121.316381",1、2,345.0,桃園分局,,,,,,桃園區安東街17號
大樓,愛在陽明社區,T109107,南門里,"24.9806507,121.3043075",1、2、3,2405.0,桃園分局,,O,,,,桃園區漢中路108巷12號
大樓,大河戀社區,T109108,汴洲里,"25.028027,121.2992804",1、2、3,3898.0,桃園分局,,O,,,,桃園區幸福路171號
大樓,合輝云朵,T109109,中成里,"25.0036459,121.2902044",1、2、3,3866.0,桃園分局,,O,,,,桃園區吉安街183號
大樓,私人住宅,T109201,汴洲里,"25.0307311,121.295648",1、2、3,517.0,桃園分局,,,,,,桃園區水岸七街88號
大樓,印象天裔,T109202,中成里,"25.001846,121.2931478",1、2、3,1656.0,桃園分局,,O,,,,桃園區文中一路268號
大樓,中茂亞太中心大樓,T109203,汴洲里,"25.0294124,121.2994815",1、2、3、4,2892.0,桃園分局,,O,,,,桃園區經國一路65號
公寓,私人住宅,T109204,中正里,"24.9966939,121.296532",1,407.0,桃園分局,,O,,,,桃園區法院後街88號
大樓,吉邑晶站,T109205,東山里,"24.9917287,121.3174527",1、2,310.0,桃園分局,,,,,,桃園區春日路41號
大樓,市政潤隆社區,T109206,中正里,"24.9951306,121.296122",1、2、3,3840.0,桃園分局,,O,,,,桃園區法院後街22號
大樓,佳陞吉市社區,T109207,民生里,"24.9965755,121.3124551",1、2、3,3525.0,桃園分局,,O,,,,桃園區民生路318-3號
大樓,福倉禾硯社區,T109208,文中里,"25.0011467,121.2934479",1、2、3,1553.0,桃園分局,,O,,,,桃園區正光路425號
大樓,名軒夢享家社區,T109209,檜樂里,"25.0187938,121.3168352",1、2,7578.0,桃園分局,,O,,,,桃園區大德三街128號
大樓,文中匯社區,T109210,文中里,"24.996709,121.2886775",1、2、3、4,1447.0,桃園分局,,O,,,,桃園區文中三路63號
大樓,康宸綠園道,T109211,寶民里,"25.0118878,121.317505",1、2,440.0,桃園分局,,O,,,,桃園區民富十一街12號
大樓,國泰水秀社區,T109212,文中里,"24.996386,121.2896931",1、2、3,2378.0,桃園分局,,O,,,,桃園區文中二路115號
大樓,昭陽無限,T109213,中成里,"25.0042663,121.2947848",1、2,1239.0,桃園分局,,O,,,,桃園市桃園區溫州一路51號
大樓,雲世代,T109214,中成里,"25.0028989,121.2967732",1、2、3、4,2553.0,桃園分局,,O,,,,桃園區慈文路460號
公寓,私人住宅,T109215,大有里,"25.0100398,121.3219517",1,583.0,桃園分局,,O,,,,桃園區民有十街71號
大樓,璞淘元社區,T109216,汴洲里,"25.0284704,121.297941",1、2、3,2798.0,桃園分局,,O,,,,桃園區幸福路296號
大樓,昭陽君麗社區,T109301,文中里,"24.9998948,121.2914842",1、2、3,1161.0,桃園分局,,O,,,,桃園區正光二街181巷6號
大樓,私人住宅,T109302,汴洲里,"25.0292059,121.2969494",1、2,802.0,桃園分局,,O,,,,桃園區水岸二街200號
大樓,重久山臨溪,T109303,三民里,"24.9967698,121.3228391",1、2,455.0,桃園分局,,,,,,桃園區三民路一段18號
大樓,向陽明珠社區,T109304,中正里,"24.9969653,121.2952473",1、2,668.0,桃園分局,,O,,,,桃園區正光路186巷51號
大樓,名嘉清境社區,T109305,文中里,"25.0002128,121.2923562",1、2、3,1040.0,桃園分局,,O,,,,桃園區正光二街158號
公寓,桃園市文昌非營利幼兒園,T109306,信光里,"25.0090788,121.3071432",1,1515.0,桃園分局,,O,,,,桃園區大連二街188號
公寓,私人住宅,T109401,文中里,"25.0070619,121.300189",1,580.0,桃園分局,,O,,,,桃園區慈文路985號
大樓,忠泰幸社區,T109402,汴洲里,"25.0275332,121.2982731",1、2、3、4,2664.0,桃園分局,,O,,,,桃園區經國二路98-1號
大樓,運動家社區,T109403,中成里,"25.0050028,121.2945132",1、2、3,2064.0,桃園分局,,O,,,,桃園區吉安一街58巷1號
大樓,滿庭芳,T109404,三民里,"24.997076, 121.322295",1、2、3,786.0,桃園分局,,O,,,
大樓,益展涵玥社區,T109405,莊敬里,"25.0188969,121.30175",1、2、3、4,2547.0,桃園分局,,O,,,,桃園區新埔七街195號
大樓,桃園市勞工教育大樓,T109406,朝陽里,"25.00284,121.3096007",1、2,1029.0,桃園分局,,O,,,,桃園區民生路650號
大樓,東門市場,T109407,東山里,"24.9927818,121.3171784",1、2、3,3819.0,桃園分局,,O,,,,桃園區春日路69號
大樓,德友極社區,T109408,文明里,"24.9900179,121.3084113",1、2、3、4,2663.0,桃園分局,,O,,,,桃園區中華路117號
大樓,益展不二家社區,T109409,中正里,"24.994642,121.299485",1、2、3、4,2103.0,桃園分局,,O,,,,桃園區廈門街100號
大樓,合遠史丹佛社區,T109410,中成里,"25.0004062,121.2959151",1、2、3,2563.0,桃園分局,,O,,,,桃園區正光二街69號
大樓,光語澍社區,T109411,中信里,"24.9939996,121.2856668",1、2,1743.0,桃園分局,,O,,,,桃園區國信街115-1號
大樓,幸福匯社區,T109412,汴洲里,"25.0286837,121.3024349",1、2、3、4,5449.0,桃園分局,,O,,,,桃園區幸福路76號
公寓,私人住宅,T109413,中德里,"24.9658223,121.2928488",1,1430.0,桃園分局,,O,,,,桃園區桃德路39巷70號
大樓,水逸秀軒社區,T108101,文中里,"24.9970991,121.2885842",1、2、3,1205.0,桃園分局,,O,,,,桃園區文中三路126號
大樓,臺灣桃園地方法院,T108102,中埔里,"25.0061804,121.2884097",1、2,20308.0,桃園分局,,O,,,,桃園區正光路888號
大樓,京澄無為大方無隅社區,T108103,文中里,"25.0007463,121.2911107",1、2、3,1566.0,桃園分局,,O,,,,桃園區慈文路885號
大樓,濟弘皇璽社區,T108104,西門里,"24.9945242,121.3077413",1、2、3,5013.0,桃園分局,,O,,,,桃園區民族路199-6號
大樓,美樂地社區,T108105,東門里,"24.99522,121.313798",1、2、3、4,436.0,桃園分局,,,,,,桃園區朝陽街一段97號
公寓,利百代股份有限公司,T108106,大樹里,"24.981712,121.3199268",1,3693.0,桃園分局,,O,,,,桃園區大誠路2號
大樓,永安醴,T108107,永安里,"25.0008244,121.3058477",1、2、3,2524.0,桃園分局,,O,,,,桃園區長春路38號
大樓,天鑽,T108201,三元里,"25.0072554,121.3210588",1、2、3,2941.0,桃園分局,,O,,,,桃園區大有路166-1號
大樓,昭揚君鼎社區,T108202,龍鳳里,"24.9890921,121.279422",1、2、3,1983.0,桃園分局,,O,,,,桃園區國豐三街71號
大樓,嘉仕特飯店,T108203,文昌里,"24.9929221,121.3082385",1、2,388.0,桃園分局,,,,,,桃園區中山路203號
大樓,合雄首璽社區,T108204,大有里,"25.008556,121.320466",1、2、3,3156.0,桃園分局,,O,,,,桃園區大有路461號
公寓,私人住宅,T108205,北門里,"25.0000678,121.309546",1,315.0,桃園分局,,,,,,桃園區正康二街2號
大樓,新捷市社區,T108206,龍壽里,"24.9830472,121.2725594",1、2、3,6606.0,桃園分局,,O,,,,桃園區龍城一街79號
大樓,合新讀樂樂社區,T108207,文中里,"24.9965122,121.2891487",1、2、3、4,1989.0,桃園分局,,O,,,,桃園區文中二路21-2號
公寓,慈文國中,T108208,慈文里,"25.0094401,121.3016355",1,1346.0,桃園分局,,O,,,,桃園區中正路835號
大樓,世中心社區,T108209,永興里,"24.9964438,121.3087216",1、2、3,2475.0,桃園分局,,O,,,,桃園區永安路72號
大樓,京澄園朗社區,T108210,文中里,"24.9998664,121.2886512",1、2、3,1311.0,桃園分局,,O,,,,桃園區文中三路183號
公寓,私人住宅,T108211,朝陽里,"24.999598,121.3134288",1,476.0,桃園分局,,O,,,,桃園區鎮三街25號
大樓,私人住宅,T108212,中正里,"24.9955716,121.2986616",1、2、3,1736.0,桃園分局,,O,,,,桃園區忠一路166號
大樓,中路二號社會住宅,T108301,中成里,"24.9996364,121.2970948",1、2、3,3270.0,桃園分局,,O,,,,桃園區力行路288巷1號
大樓,展昇奧斯卡社區,T108302,文中里,"24.9995297,121.2903132",1、2、3,2089.0,桃園分局,,O,,,,桃園區正光二街229巷8號
大樓,何嘉仁藝文分校,T108303,同德里,"25.0141844,121.2971649",1、2,823.0,桃園分局,,O,,,,桃園區中埔一街88巷8號
大樓,合遠康乃爾社區,T108304,中成里,"24.9995365,121.2965975",1、2、3,2563.0,桃園分局,,O,,,,桃園區力行路328巷21號
大樓,京懋一號,T108305,中成里,"24.9987679,121.2951782",1、2、3,5477.0,桃園分局,,O,,,,桃園區正光路318號
大樓,上善若水社區,T108306,文中里,"25.0063791,121.3011194",1、2、3,1699.0,桃園分局,,O,,,,桃園區慈文路865號
公寓,私人住宅,T108307,長德里,"25.0035902,121.3012692",1,199.0,桃園分局,,,,,,桃園區中正五街230號
大樓,合陽合仰,T108308,中成里,"25.0027396,121.2957111",1、2、3、4,2222.0,桃園分局,,O,,,,桃園區慈文路468巷9號
大樓,和頌長照機構,T108309,南門里,"24.9847455,121.3049434",1、2,889.0,桃園分局,,O,,,,桃園區建國路313號
大樓,私人住宅,T108401,文中里,"25.000028,121.2913836",1、2、3,621.0,桃園分局,,O,,,,桃園區正光二街188號
大樓,經國翫社區,T108402,新埔里,"25.0162995,121.3068545",1、2,7882.0,桃園分局,,O,,,,桃園區經國路198巷27-5號
大樓,唯樂之丘,T108403,文中里,"24.9977295,121.2886839",1、2、3、4,4287.0,桃園分局,,O,,,,桃園區文中三路86號
大樓,璞樂,T108404,中興里,"24.9965518,121.2981135",1、2、3,2624.0,桃園分局,,O,,,,桃園區保定三街89巷69號
公寓,太和工房桃園龍壽門市,T108405,龍山里,"24.9894511,121.2674811",1,2970.0,桃園分局,,O,,,,桃園區龍壽街336號
公寓,私人住宅,T108406,三元里,"25.007415,121.3209002",1,2941.0,桃園分局,,O,,,,桃園區大有路172號
大樓,合勤鼎盛天下社區,T108407,中泰里,"24.9877675,121.2872423",1、2,864.0,桃園分局,,O,,,,桃園區國聖五街8號
大樓,大吾疆寶琚社區,T108408,中正里,"24.9971774,121.2942834",1、2、3、4,1903.0,桃園分局,,O,,,,桃園區力行路469巷59號
大樓,禮白賞社區,T108409,同安里,"25.021011,121.2986372",1、2、3,2250.0,桃園分局,,O,,,,桃園區新埔八街82號
大樓,名鑄,T108410,福元里,"25.0057065,121.3198284",1、2,5363.0,桃園分局,,O,,,,桃園區民富二街1號
大樓,美術花園,T108411,中成里,"25.004312,121.2898776",1、2、3,5728.0,桃園分局,,O,,,,桃園區大興西路三段268號
大樓,私人住宅,T108412,文明里,"24.9894998,121.3079606",1、2,326.0,桃園分局,,,,,,桃園區中華路121巷39號
公寓,高柏科技股份有限公司,T108413,大林里,"24.9723559,121.3221453",1,944.0,桃園分局,,O,,,,桃園區大仁路50巷12號
大樓,明築向陽社區,T107101,中正里,"24.9969653,121.2952473",1、2、3、4,1676.0,桃園分局,,O,,,,桃園市桃園區正光路186巷93號
公寓,桃園市桃園區龍山國民小學,T107102,龍壽里,"24.9809324,121.2707162",1,1201.0,桃園分局,,,,,,桃園區龍泉二街36號
大樓,中央公園,T107103,中成里,"25.0023538,121.2896896",1、2、3,2349.0,桃園分局,,O,,,,桃園區溫州一路298號
大樓,昭陽君匯社區,T107104,中正里,"24.99931,121.29384",1、2、3,953.0,桃園分局,,O,,,,桃園區文中一路166號
公寓,寶程有限公司,T107105,南門里,"24.9851401,121.3026751",1,574.0,桃園分局,,,,,,桃園區建國路348巷27號
大樓,智滙,T107106,三元里,"25.0079467,121.3221374",1、2、3,1775.0,桃園分局,,O,,,,桃園區民光東路43巷29號
大樓,中島美家社區,T107107,中正里,"24.9949503,121.2958859",1、2、3、4,1414.0,桃園分局,,O,,,,桃園區正光路86巷18號
大樓,桃園市政府警察局桃園分局同安派出所,T107108,汴洲里,"25.0279052,121.3005116",1、2,498.0,桃園分局,,O,,,,桃園區經國路799號
大樓,瑞御首席,T107109,寶慶里,"25.0142641,121.2953737",1、2、3,1188.0,桃園分局,,O,,,,桃園區中埔一街121號
公寓,桃園區寶興市民活動中心,T107110,寶山里,"25.0126557,121.3137985",1,1837.0,桃園分局,,O,,,,桃園區民有三街501號
公寓,私人住宅,T107111,文中里,"25.0001726,121.2931747",1,518.0,桃園分局,,O,,,,桃園區文中一路213巷13號
大樓,桃園國民運動中心,T107112,三民里,"24.9980402,121.3208739",1、2,2357.0,桃園分局,,O,,,,桃園區中山東路233號
大樓,璟都柏悅,T107113,中埔里,"25.0068245,121.2904309",1、2、3、4,3887.0,桃園分局,,O,,,,桃園區吉安一街181號
大樓,京懋會社區,T107201,同安里,"25.0141319,121.2997671",1、2、3、4,1589.0,桃園分局,,O,,,,桃園區中正路1048號
公寓,京彩,T107202,南埔里,"25.0059398,121.2924696",1,123.0,桃園分局,,,,,,桃園區吉安一街118號
公寓,藝文森活社區,T107203,明德里,"25.0199699,121.2958451",1,156.0,桃園分局,,,,,,桃園區中埔六街196巷42號
公寓,正洸股份有限公司,T107204,大樹里,"24.985993,121.3216217",1,1109.0,桃園分局,,O,,,,桃園區建國東路26號
公務機關,桃園市桃園區成功國民小學,T107205,永興里,"24.9982762,121.3070924",1,1638.0,桃園分局,,,,,,桃園區三民路三段22號
大樓,昕中城社區,T107206,中正里,"24.9959546,121.2961338",1、2、3、4,2487.0,桃園分局,,O,,,,桃園區文中東路81號
大樓,私人住宅,T107207,中正里,"24.9956348,121.2945751",1、2、3,5946.0,桃園分局,,O,,,,桃園區文中路2號
大樓,晴悅社區,T107208,中正里,"24.9965946,121.2967777",1、2、3,1462.0,桃園分局,,O,,,,桃園區力行路385巷96號
大樓,尊暘安社區,T107209,汴洲里,"25.0296759,121.2966722",1、2,506.0,桃園分局,,O,,,,桃園區汴洲里水岸三街7號
公寓,衛生福利部桃園醫院,T107210,龍山里,"24.9781864,121.2685878",1,2295.0,桃園分局,,O,,,,桃園區中山路1492號
大樓,鴻灃ART社區,T107211,同安里,"25.0112746,121.303875",1、2、3,3252.0,桃園分局,,O,,,,桃園區新埔三街38巷16號
大樓,禮享城,T107212,龍壽里,"24.98338,121.2731693",1、2、3,4155.0,桃園分局,,O,,,,桃園區大慶街350號
大樓,昭揚家社區,T107213,龍安里,"24.9906137,121.2782469",1、2,5277.0,桃園分局,,O,,,,桃園區國強一街458號
大樓,鴻竹微風社區,T107214,龍祥里,"24.9859872,121.2740139",1、2、3,3262.0,桃園分局,,O,,,,桃園區中山路1308巷369號
公寓,涵玥社區,T107215,莊敬里,"25.0221176,121.2990655",1,483.0,桃園分局,,O,,,,桃園區同安街558號
大樓,竹城祥鶴社區,T107216,汴洲里,"25.0273791,121.298679",1、2、3,1205.0,桃園分局,,O,,,,桃園區水岸二街98號
大樓,旭田,T107301,朝陽里,"24.9986959,121.3132729",1、2,311.0,桃園分局,,,,,,桃園區朝陽街96號
大樓,市府采舍社區,T107302,中正里,"24.9949503,121.2958859",1、2、3,2497.0,桃園分局,,O,,,,桃園區正光路86巷15號
公寓,慈文里里長服務處,T107303,慈文里,"25.0034201,121.2968174",1,179.0,桃園分局,,,,,,桃園區永安路495號
大樓,自遊人日上社區,T107304,汴洲里,"25.0304826,121.2995688",1、2、3、4,2762.0,桃園分局,,O,,,,桃園區經國一路150號
大樓,合展好市社區,T107305,文中里,"24.9989709,121.2889454",1、2、3、4,1755.0,桃園分局,,O,,,,桃園區文中三路131號
大樓,私人住宅,T107306,汴洲里,"25.0292343,121.2983306",1、2、3,1138.0,桃園分局,,O,,,,桃園區經國二路36號
大樓,私人住宅,T107307,文化里,"24.9908268,121.3101482",1、2、3、4,5576.0,桃園分局,,O,,,,桃園區中華路60號
大樓,格林公園社區,T107308,中正里,"24.9971774,121.2942834",1、2、3、4,1539.0,桃園分局,,O,,,,桃園區力行路469巷52號
大樓,私人住宅,T107401,成功里,"24.9982707,121.317584",1、2、3,627.0,桃園分局,,O,,,,桃園區園二街158號
大樓,竹城真鶴,T107402,中興里,"24.9988404,121.2972759",1、2、3,1996.0,桃園分局,,O,,,,桃園區力行路337號
大樓,賓爵生活家社區,T107403,汴洲里,"25.0253346,121.3060092",1、2,513.0,桃園分局,,O,,,,桃園區春日路1615號
大樓,私人住宅,T107404,新埔里,"25.017833,121.304796",1、2,602.0,桃園分局,,,,,,桃園區經國路413號
大樓,永聆靚心社區,T107405,雲林里,"24.9876524,121.3205763",1、2,999.0,桃園分局,,O,,,,桃園區建國路61巷68號
大樓,東驊飛飛想社區,T106101,福林里,"24.9769274,121.3049005",1、2、3,5107.0,桃園分局,,O,,,,桃園市桃園區介壽路495巷61號
大樓,竹城昭和,T106102,同德里,"25.014037,121.2984227",1、2,844.0,桃園分局,,O,,,,桃園區中埔五街15號
大樓,桃園區農會(會稽分部),T106103,春日里,"25.0191189,121.3087057",1、2,1008.0,桃園分局,,O,,,,桃園區春日路1038號
公寓,運泰電機有限公司,T106104,大林里,"24.9719162,121.3198267",1,1067.0,桃園分局,,O,,,,桃園區大仁路50巷101號
大樓,鴻竹微笑社區,T106105,龍祥里,"24.9867941,121.2744387",1、2,1475.0,桃園分局,,O,,,,桃園區中山路1308巷330號
大樓,合輝雲門社區,T106106,同安里,"25.0207573,121.2989032",1、2、3,2038.0,桃園分局,,O,,,,桃園區新埔八街70號
大樓,麗捷new1社區,T106107,東山里,"24.9930733,121.3168661",1、2、3、4,1308.0,桃園分局,,O,,,,桃園區春日路77號
大樓,昭陽越社區,T106108,中正里,"24.9983367,121.2979871",1、2、3,2440.0,桃園分局,,O,,,,桃園區保定三街91號
大樓,竹城表參道社區,T106109,汴洲里,"25.0283548,121.2982809",1、2、3、4,5925.0,桃園分局,,O,,,,桃園區幸福路256號
大樓,森鄰物語,T106201,慈文里,"25.0058174,121.2984238",1、2、3,2071.0,桃園分局,,O,,,,桃園區慈光街91巷1號
大樓,尚固傳家社區,T106202,龍鳳里,"24.9882619,121.2787321",1、2,641.0,桃園分局,,O,,,,桃園區國強七街103號
大樓,家賀澄舍,T106203,大有里,"25.0135004,121.3194656",1、2、3,2314.0,桃園分局,,O,,,,桃園區寶山街9號
大樓,擎亞首安社區,T106204,大林里,"24.9773885,121.3216335",1、2,551.0,桃園分局,,O,,,,桃園區榮華街64巷66弄1號
大樓,一巷青社區,T106205,瑞慶里,"25.0193486,121.2912586",1、2、3,696.0,桃園分局,,O,,,,桃園區瑞慶路379號
公寓,私人住宅,T106301,玉山里,"24.9896319,121.3033803",1,450.0,桃園分局,,,,,,桃園區秀山路15號
大樓,瑜璟芳華社區,T106302,自強里,"25.0236119,121.3028938",1、2、3,1833.0,桃園分局,,O,,,,桃園區經國路336巷2號
