類別,電腦編號,村里別,地址,緯經度,地下樓層數,可容納人數,轄管分局,停車場坡道,備註
工廠,EVY10040,錦中里,桃園市蘆竹區南崁路一段231巷25號,"25.052388,121.284329",1,"64 ",蘆竹分局,,南崁所
民宅,EVY10041,錦中里,桃園市蘆竹區南崁路一段231巷22號,"25.052223,121.284054",1,"40 ",蘆竹分局,,南崁所
工廠,EVY10044,瓦窯里,桃園市蘆竹區南山路一段126巷13號,"25.053791,121.292132",1,"73 ",蘆竹分局,,南崁所
工廠,EVY10045,瓦窯里,桃園市蘆竹區南山路一段113號,"25.05497,121.290366",1,"221 ",蘆竹分局,,南崁所
民宅,EVY10048,營盤里,桃園市蘆竹區六福路165巷17號,"25.060043,121.29601",1,"1,151 ",蘆竹分局,O,南崁所
大樓,EVY10049,營盤里,桃園市蘆竹區六福路247巷6號,"25.060932,121.297938",1,"455 ",蘆竹分局,O,南崁所
大樓,EVY10051,福祿里,桃園市蘆竹區五福一路195號,"25.054907,121.294393",1,"677 ",蘆竹分局,O,南崁所
大樓,EVY10052,中山里,桃園市蘆竹區中山路89號,"25.055229,121.298558",1,"677 ",蘆竹分局,O,南崁所
大樓,EVY10056,瓦窯里,桃園市蘆竹區南山路一段55號,"25.05171,121.291473",1,"4,776 ",蘆竹分局,O,南崁所
工廠,EVY10060,南崁里,桃園市蘆竹區新南路一段362號,"25.041115,121.296055",1,"187 ",蘆竹分局,,南崁所
大樓,EVY10061,南崁里,桃園市蘆竹區新南路一段163號,"25.042275,121.295706",1,"3,231 ",蘆竹分局,O,南崁所
大樓,EVY10062,南崁里,桃園市蘆竹區新南路一段376號,"25.040175,121.297156",1,"1,951 ",蘆竹分局,O,南崁所
大樓,EVY10064,南崁里,桃園市蘆竹區新南路二段100號,"25.035319,121.300261",1,"445 ",蘆竹分局,O,南崁所
工廠,EVY10065,南崁里,桃園市蘆竹區新南路二段144號,"25.033418,121.301663",1,"28 ",蘆竹分局,,南崁所
工廠,EVY10068,南崁里,桃園市蘆竹區新南路二段150號,"25.033341,121.301777",1,"28 ",蘆竹分局,,南崁所
公寓,EVY10077,南崁里,桃園市蘆竹區南華一街35號,"25.043672,121.296319",1,"647 ",蘆竹分局,,南崁所
工廠,EVY10080,內厝里,桃園市蘆竹區內新路53號,"25.070322,121.287611",1,"18 ",蘆竹分局,,南崁所
工廠,EVY10082,內厝里,桃園市蘆竹區長安路二段40號,"25.064204,121.286392",1,"277 ",蘆竹分局,,南崁所
工廠,EVY10086,內厝里,桃園市蘆竹區內溪路62號,"25.067136,121.278231",1,"106 ",蘆竹分局,,南崁所
民宅,EVY10087,內厝里,桃園市蘆竹區內溪路3號,"25.070875,121.284722",1,"30 ",蘆竹分局,,南崁所
工廠,EVY10088,內厝里,桃園市蘆竹區內新路61號,"25.070373,121.287879",1,"204 ",蘆竹分局,,南崁所
工廠,EVY10089,內厝里,桃園市蘆竹區南山路二段357巷34號,"25.069509,121.285702",1,"688 ",蘆竹分局,,南崁所
工廠,EVY10092,內厝里,桃園市蘆竹區南山路二段90號,"25.062985,121.288552",1,"40 ",蘆竹分局,,南崁所
工廠,EVY10095,長興里,桃園市蘆竹區南崁路二段201巷9號,"25.056356,121.270672",1,"144 ",蘆竹分局,,南崁所
工廠,EVY10102,長興里,桃園市蘆竹區南崁路二段323號,"25.06079,121.270129",1,"3,033 ",蘆竹分局,O,南崁所
工廠,EVY10103,長興里,桃園市蘆竹區南崁路二段355號,"25.060811,121.269538",1,"1,515 ",蘆竹分局,O,南崁所
工廠,EVY10106,長興里,桃園市蘆竹區南崁路二段38號,"25.057005,121.279728",1,"323 ",蘆竹分局,,南崁所
工廠,EVY10107,長興里,桃園市蘆竹區南崁路二段42巷2號,"25.057252,121.279542",1,"107 ",蘆竹分局,,南崁所
工廠,EVY10114,長興里,桃園市蘆竹區南崁路二段3號,"25.056149,121.280333",1,"240 ",蘆竹分局,,南崁所
民宅,EVY10116,五福里,桃園市蘆竹區仁愛路一段466號,"25.051137,121.295591",1,"84 ",蘆竹分局,,南崁所
民宅,EVY10118,五福里,桃園市蘆竹區仁愛路一段494號之1,"25.051462,121.296323",1,"106 ",蘆竹分局,,南崁所
工廠,EVY10122,長興里,桃園市蘆竹區南崁路一段336號,"25.05556,121.282219",1,"3,182 ",蘆竹分局,O,南崁所
工廠,EVY10125,長興里,桃園市蘆竹區南崁路二段355號,"25.060811,121.269538",1,"1,515 ",蘆竹分局,O,南崁所
工廠,EVY10126,長興里,桃園市蘆竹區興隆街29-5號,"25.059608,121.280269",1,"338 ",蘆竹分局,,南崁所
工廠,EVY10128,長興里,桃園市蘆竹區興隆街40巷17號,"25.05843,121.281001",1,"28 ",蘆竹分局,,南崁所
工廠,EVY10129,長興里,桃園市蘆竹區興隆街40巷17號,"25.05843,121.281001",1,"28 ",蘆竹分局,,南崁所
工廠,EVY10130,長興里,桃園市蘆竹區興隆街40巷17號,"25.05843,121.281001",1,"28 ",蘆竹分局,,南崁所
工廠,EVY10131,長興里,桃園市蘆竹區興隆街40巷19號,"25.058153,121.281107",1,"28 ",蘆竹分局,,南崁所
工廠,EVY10132,長興里,桃園市蘆竹區興隆街40巷2號,"25.059329,121.280469",1,"34 ",蘆竹分局,,南崁所
工廠,EVY10134,內厝里,桃園市蘆竹區南山路二段261號,"25.067011,121.285768",1,"21 ",蘆竹分局,,南崁所
工廠,EVY10135,長興里,桃園市蘆竹區南工路一段11號,"25.060314,121.278934",1,"577 ",蘆竹分局,,南崁所
民宅,EVY10139,長興里,桃園市蘆竹區南工路一段14號,"25.060089,121.279258",1,"68 ",蘆竹分局,,南崁所
民宅,EVY10141,長興里,桃園市蘆竹區南工路一段南工巷5號,"25.058357,121.278668",1,"44 ",蘆竹分局,,南崁所
民宅,EVY10142,長興里,桃園市蘆竹區南工路一段南工巷7號,"25.058343,121.278726",1,"44 ",蘆竹分局,,南崁所
民宅,EVY10143,長興里,桃園市蘆竹區南工路一段南工巷11號,"25.05825,121.278835",1,"57 ",蘆竹分局,,南崁所
工廠,EVY10145,長興里,桃園市蘆竹區南工路一段8-2號,"25.058588,121.278375",1,"41 ",蘆竹分局,,南崁所
工廠,EVY10146,長興里,桃園市蘆竹區南工路一段8-3號,"25.058648,121.278426",1,"41 ",蘆竹分局,,南崁所
工廠,EVY10150,內厝里,桃園市蘆竹區長安路二段39巷13號,"25.063338,121.286536",1,"37 ",蘆竹分局,,南崁所
工廠,EVY10153,內厝里,桃園市蘆竹區南山路二段205巷60號,"25.060946,121.28537",1,"41 ",蘆竹分局,,南崁所
工廠,EVY10154,內厝里,桃園市蘆竹區南山路二段205巷60號,"25.060946,121.28537",1,"274 ",蘆竹分局,,南崁所
工廠,EVY10156,內厝里,桃園市蘆竹區長安路二段39巷12號,"25.062854,121.28621",1,"22 ",蘆竹分局,,南崁所
工廠,EVY10157,內厝里,桃園市蘆竹區油管路一段450號,"25.06341,121.28955",1,"367 ",蘆竹分局,,南崁所
工廠,EVY10158,內厝里,桃園市蘆竹區長安路二段39巷4號,"25.063603,121.286601",1,"50 ",蘆竹分局,,南崁所
工廠,EVY10159,內厝里,桃園市蘆竹區大豐街43巷6號,"25.06246,121.292039",1,"48 ",蘆竹分局,,南崁所
工廠,EVY10162,內厝里,桃園市蘆竹區大豐街38號,"25.062265,121.291325",1,"85 ",蘆竹分局,,南崁所
工廠,EVY10163,內厝里,桃園市蘆竹區長興路三段247號,"25.070644,121.275529",1,"56 ",蘆竹分局,,南崁所
工廠,EVY10166,內厝里,桃園市蘆竹區大豐街12號,"25.062608,121.289879",1,"683 ",蘆竹分局,,南崁所
工廠,EVY10168,內厝里,桃園市蘆竹區長安路二段100號,"25.064008,121.284291",1,"108 ",蘆竹分局,,南崁所
工廠,EVY10169,內厝里,桃園市蘆竹區內溪路51號,"25.06632,121.277793",1,"72 ",蘆竹分局,,南崁所
民宅,EVY10170,內厝里,桃園市蘆竹區內溪路33號,"25.068287,121.280669",1,"28 ",蘆竹分局,,南崁所
工廠,EVY10172,內厝里,桃園市蘆竹區大豐街31巷10號,"25.062719,121.291293",1,"22 ",蘆竹分局,,南崁所
工廠,EVY10173,內厝里,桃園市蘆竹區內溪路49號,"25.066694,121.278235",1,"262 ",蘆竹分局,,南崁所
工廠,EVY10174,內厝里,桃園市蘆竹區長興路三段7號,"25.07275, 121.28408",1,"176 ",蘆竹分局,,南崁所
民宅,EVY10175,內厝里,桃園市蘆竹區大豐街37號,"25.06246,121.291436",1,"98 ",蘆竹分局,,南崁所
工廠,EVY10176,內厝里,桃園市蘆竹區南山路二段205巷58號,"25.060946,121.28537",1,"130 ",蘆竹分局,,南崁所
工廠,EVY10179,內厝里,桃園市蘆竹區南山路二段394巷63-1號,"25.071491,121.287488",1,"113 ",蘆竹分局,,南崁所
工廠,EVY10180,內厝里,桃園市蘆竹區內溪路42號,"25.070295,121.282369",1,"56 ",蘆竹分局,,南崁所
工廠,EVY10181,內厝里,桃園市蘆竹區南山路二段12巷78號,"25.06118, 121.28887",1,"133 ",蘆竹分局,,南崁所
民宅,EVY10185,內厝里,桃園市蘆竹區內溪路39巷44號,"25.066265,121.281018",1,"66 ",蘆竹分局,,南崁所
工廠,EVY10188,內厝里,桃園市蘆竹區內溪路48號,"25.069229,121.281026",1,"617 ",蘆竹分局,,南崁所
工廠,EVY10190,內厝里,桃園市蘆竹區內溪路52號,"25.068451,121.280152",1,"48 ",蘆竹分局,,南崁所
工廠,EVY10191,內厝里,桃園市蘆竹區內溪路39巷39號,"25.066265,121.281018",1,"45 ",蘆竹分局,,南崁所
民宅,EVY10193,南崁里,桃園市蘆竹區南崁路175巷9號,"25.047006,121.293606",1,"307 ",蘆竹分局,,南崁所
工廠,EVY10194,長興里,桃園市蘆竹區南崁路二段281號,"25.06015,121.271168",1,"94 ",蘆竹分局,,南崁所
工廠,EVY10195,內厝里,桃園市蘆竹區長興路三段219巷9號,"25.070779,121.277637",1,"92 ",蘆竹分局,,南崁所
工廠,EVY10196,長興里,桃園市蘆竹區南崁路一段336號,"25.05556,121.282219",1,"3,182 ",蘆竹分局,O,南崁所
大樓,EVY10197,羊稠里,桃園市蘆竹區中山路20號,"25.051479,121.301199",1,"3,135 ",蘆竹分局,O,南崁所
大樓,EVY10198,長壽里,桃園市蘆竹區長春路84號,"25.052606,121.299642",1,"4,032 ",蘆竹分局,O,南崁所
大樓,EVY10199,南榮里,桃園市蘆竹區中正路131號,"25.044266,121.293654",1,"351 ",蘆竹分局,O,南崁所
大樓,EVY10200,營盤里,桃園市蘆竹區六福路253號,"25.061056,121.297045",1,"5,491 ",蘆竹分局,O,南崁所
民宅,EVY10202,興榮里,桃園市蘆竹區南竹路一段63號,"25.046455,121.290298",1,"602 ",蘆竹分局,,南崁所
大樓,EVY10203,中山里,桃園市蘆竹區五福六路40號,"25.054763,121.297416",1,"1,883 ",蘆竹分局,O,南崁所
大樓,EVY10204,長壽里,桃園市蘆竹區中山路73號,"25.052806,121.300101",1,"1,994 ",蘆竹分局,O,南崁所
大樓,EVY10205,長壽里,桃園市蘆竹區中山路45號,"25.051369,121.300884",1,"6,548 ",蘆竹分局,O,南崁所
工廠,EVY10206,瓦窯里,桃園市蘆竹區六福路22號,"25.057587,121.291009",1,"265 ",蘆竹分局,,南崁所
工廠,EVY10207,長興里,桃園市蘆竹區南崁路二段323號,"25.06079,121.270129",1,"3,033 ",蘆竹分局,O,南崁所
工廠,EVY10209,長興里,桃園市蘆竹區南工路一段11號,"25.060314,121.278934",1,"577 ",蘆竹分局,,南崁所
大樓,EVY10210,福祿里,桃園市蘆竹區福祿一街31號,"25.055251,121.296802",1,"869 ",蘆竹分局,O,南崁所
大樓,EVY10211,中山里,桃園市蘆竹區中山路115號,"25.055713,121.29823",1,"1,168 ",蘆竹分局,O,南崁所
工廠,EVY10212,山鼻里,桃園市蘆竹區南山路三段17巷10號,"25.0771772, 121.2830292",1,"3,817 ",蘆竹分局,O,南崁所
大樓,EVY10213,吉祥里,桃園市蘆竹區吉林路101號,"25.049381,121.298469",1,"3,511 ",蘆竹分局,O,南崁所
工廠,EVY10214,內厝里,桃園市蘆竹區南山路二段5巷16號,"25.061413,121.286725",1,"71 ",蘆竹分局,,南崁所
工廠,EVY10215,內厝里,桃園市蘆竹區內厝街46號,"25.06003, 121.28676",1,"777 ",蘆竹分局,,南崁所
大樓,EVY10216,營盤里,桃園市蘆竹區六福路191號,"25.059808,121.296713",1,"1,925 ",蘆竹分局,O,南崁所
民宅,EVY10217,長興里,桃園市蘆竹區南崁路二段402巷28號,"25.063904,121.269133",1,"33 ",蘆竹分局,,南崁所
大樓,EVY10218,羊稠里,桃園市蘆竹區中山路8號,"25.05045,121.301835",1,"4,376 ",蘆竹分局,O,南崁所
大樓,EVY10219,中山里,桃園市蘆竹區中山路167號,"25.05732,121.297186",1,"2,552 ",蘆竹分局,O,南崁所
大樓,EVY10220,吉祥里,桃園市蘆竹區吉林路119號,"25.049123,121.299118",1,"3,823 ",蘆竹分局,O,南崁所
工廠,EVY10221,南榮里,桃園市蘆竹區新南路一段305巷5弄3號,"25.038975,121.294631",1,"747 ",蘆竹分局,,南崁所
大樓,EVY10222,南崁里,桃園市蘆竹區鎮江街38號,"25.043327,121.295818",1,"2,363 ",蘆竹分局,O,南崁所
工廠,EVY10223,內厝里,桃園市蘆竹區榮安路6號,"25.059933,121.284689",1,"1,098 ",蘆竹分局,O,南崁所
工廠,EVY10224,南崁里,桃園市蘆竹區新南路一段376號之3,"25.040393,121.297532",1,"1,384 ",蘆竹分局,O,南崁所
工廠,EVY10225,南榮里,桃園市蘆竹區新南路一段305巷10號,"25.039735,121.295595",1,"2,967 ",蘆竹分局,O,南崁所
工廠,EVY10226,內厝里,桃園市蘆竹區內溪路47號,"25.06671,121.278676",1,"1,070 ",蘆竹分局,O,南崁所
工廠,EVY10227,內厝里,桃園市蘆竹區南山路二段5巷12號,"25.061413,121.287144",1,"1,313 ",蘆竹分局,O,南崁所
大樓,EVY10228,福祿里,桃園市蘆竹區福祿一街189號,"25.056864,121.29633",1,"1,134 ",蘆竹分局,O,南崁所
購物中心,EVY10230,錦中里,桃園市蘆竹區南崁路一段112號,"25.053471,121.288383",1、2,"4,565",蘆竹分局,O,南崁所
工廠,EVY10231,內厝里,桃園市蘆竹區長興路三段45號,"25.072924,121.281794",1,"262 ",蘆竹分局,,南崁所
大樓,EVY10232,中山里,桃園市蘆竹區中山路123-5號,"25.055603,121.298028",1,"912 ",蘆竹分局,O,南崁所
大樓,EVY10233,福祿里,桃園市蘆竹區福祿一街197號,"25.05716,121.29624",1,"2,166 ",蘆竹分局,O,南崁所
大樓,EVY10234,吉祥里,桃園市蘆竹區南祥路111號,"25.048314,121.30081",1,"3,109 ",蘆竹分局,O,南崁所
工廠,EVY10235,內厝里,桃園市蘆竹區內溪路39巷13號,"25.066901,121.280141",1,"100 ",蘆竹分局,,南崁所
工廠,EVY10236,內厝里,桃園市蘆竹區內溪路39巷11號,"25.067118,121.280058",1,"190 ",蘆竹分局,,南崁所
學校,EVY10237,長壽里,桃園市蘆竹區吉林路160號,"25.050201,121.300935",1,"475 ",蘆竹分局,O,南崁所
大樓,EVY10238,中山里,桃園市蘆竹區福祿一街34號,"25.055221,121.297079",1,"877 ",蘆竹分局,O,南崁所
大樓,EVY10239,營福里,桃園市蘆竹區中山路108巷13號,"25.056045,121.298579",1,"1,124 ",蘆竹分局,O,南崁所
大樓,EVY10241,中山里,桃園市蘆竹區福祿一街56號,"25.056159,121.296938",1,"581 ",蘆竹分局,O,南崁所
工廠,EVY10242,山鼻里,桃園市蘆竹區南山路三段17巷1號,"25.076867,121.28455",1,"273 ",蘆竹分局,,南崁所
工廠,EVY10243,內厝里,桃園市蘆竹區長安路二段120巷17號,"25.06527, 121.28271",1,"297 ",蘆竹分局,,南崁所
大樓,EVY10244,營福里,桃園市蘆竹區六福路148號,"25.059798,121.297152",1,"2,797 ",蘆竹分局,O,南崁所
工廠,EVY10245,山鼻里,桃園市蘆竹區南山路三段17巷11號,"25.076355,121.282612",1,"1,434 ",蘆竹分局,O,南崁所
學校,EVY10246,興榮里,桃園市蘆竹區光明路一段123號,"25.044422,121.28925",1,"2,620 ",蘆竹分局,O,南崁所
大樓,EVY10247,五福里,桃園市蘆竹區中山路75號,"25.05319,121.299876",1,"363 ",蘆竹分局,O,南崁所
大樓,EVY10248,中山里,桃園市蘆竹區中山路125巷1號,"25.055534,121.297466",1,"1,318 ",蘆竹分局,O,南崁所
大樓,EVY10249,羊稠里,桃園市蘆竹區仁愛路三段46號,"25.053055,121.301441",1,"2,711 ",蘆竹分局,O,南崁所
工廠,EVY10250,山鼻里,桃園市蘆竹區南山路三段17巷11號,"25.0763453, 121.2823974",1,"1,434 ",蘆竹分局,O,南崁所
大樓,EVY10251,吉祥里,桃園市蘆竹區吉林路99號,"25.049734,121.298329",1,"2,333 ",蘆竹分局,O,南崁所
金融機構,EVY10253,南崁里,桃園市蘆竹區南崁路175巷10號,"25.047236,121.293161",1,"1,452 ",蘆竹分局,O,南崁所
大樓,EVY10254,營福里,桃園市蘆竹區中山路136號,"25.057312,121.29801",1,"840 ",蘆竹分局,O,南崁所
工廠,EVY10255,內厝里,桃園市蘆竹區長安路二段56號,"25.063991,121.285765",1,"136 ",蘆竹分局,,南崁所
大樓,EVY10256,營盤里,桃園市蘆竹區六福路276號,"25.061665,121.297495",1,"1,814 ",蘆竹分局,O,南崁所
工廠,EVY10257,長興里,桃園市蘆竹區南崁路二段57號,"25.056851,121.278885",1,"177 ",蘆竹分局,,南崁所
工廠,EVY10258,南崁里,桃園市蘆竹區新南路一段127號,"25.043219,121.295447",1,"2,252 ",蘆竹分局,O,南崁所
大樓,EVY10259,吉祥里,桃園市蘆竹區中山路25號,"25.049931,121.301632",1,"2,548 ",蘆竹分局,O,南崁所
工廠,EVY10260,瓦窯里,桃園市蘆竹區六福路20號,"25.057082,121.290772",1,"30 ",蘆竹分局,,南崁所
民宅,EVY10261,錦中里,桃園市蘆竹區南崁路一段77號,"25.051019,121.288946",1,"315 ",蘆竹分局,,南崁所
公寓,EVY10262,福祿里,桃園市蘆竹區五福一路90號,"25.056124,121.294445",1,"117 ",蘆竹分局,,南崁所
民宅,EVY10263,錦興里,桃園市蘆竹區光明路二段251號,"25.049271,121.289787",1,"187 ",蘆竹分局,,南崁所
大樓,EVY10264,羊稠里,桃園市蘆竹區中山路羊稠巷1號,"25.051314,121.303327",1,"400 ",蘆竹分局,O,南崁所
學校,EVY10265,長壽里,桃園市蘆竹區吉林路160號,"25.050201,121.300935",1,"1,372 ",蘆竹分局,O,南崁所
大樓,EVY10266,吉祥里,桃園市蘆竹區吉林路29號,"25.05025,121.296988",1,"695 ",蘆竹分局,O,南崁所
工廠,EVY10267,山鼻里,桃園市蘆竹區南山路二段470巷26號,"25.074007,121.288833",1,"606 ",蘆竹分局,,南崁所
學校,EVY10268,興榮里,桃園市蘆竹區光明路一段123號,"25.044422,121.28925",1,"1,068 ",蘆竹分局,O,南崁所
大樓,EVY10269,五福里,桃園市蘆竹區五福六路81號,"25.054243,121.29543",1,"1,355 ",蘆竹分局,O,南崁所
大樓,EVY10270,錦中里,桃園市蘆竹區中正路346號,"25.049699,121.291056",1,"219 ",蘆竹分局,O,南崁所
大樓,EVY10272,五福里,桃園市蘆竹區仁愛路二段7號,"25.05331,121.298829",1,"2,969 ",蘆竹分局,O,南崁所
大樓,EVY10273,長壽里,桃園市蘆竹區長壽二街1號,"25.051828,121.299338",1,"717 ",蘆竹分局,O,南崁所
大樓,EVY10274,長壽里,桃園市蘆竹區吉林路128號,"25.050125,121.297943",1,"1,289 ",蘆竹分局,O,南崁所
大樓,EVY10275,瓦窯里,桃園市蘆竹區五福路86號,"25.050576,121.293853",1,"2,082 ",蘆竹分局,O,南崁所
大樓,EVY10276,福祿里,桃園市蘆竹區五福一路175號,"25.055378,121.294633",1,"1,122 ",蘆竹分局,O,南崁所
大樓,EVY10277,營盤里,桃園市蘆竹區六福路217號,"25.060154,121.297066",1,"2,995 ",蘆竹分局,O,南崁所
大樓,EVY10278,興榮里,桃園市蘆竹區中正路287號,"25.047405,121.291839",1,"3,967 ",蘆竹分局,O,南崁所
大樓,EVY10279,長興里,桃園市蘆竹區厚生路2號,"25.055979,121.277781",1,"2,772 ",蘆竹分局,O,南崁所
公寓,EVY10280,錦興里,桃園市蘆竹區南竹路一段158號,"25.044909,121.28843",1,"640 ",蘆竹分局,,南崁所
大樓,EVY10281,中山里,桃園市蘆竹區中山路125巷2號,"25.056121,121.297594",1,"2,693 ",蘆竹分局,O,南崁所
大樓,EVY10282,興榮里,桃園市蘆竹區南竹路一段65號,"25.046402,121.290103",1,"1,690 ",蘆竹分局,O,南崁所
工廠,EVY10283,長興里,桃園市蘆竹區南崁路一段336號,"25.05556,121.282219",1,"3,182 ",蘆竹分局,,南崁所
工廠,EVY10284,福祿里,桃園市蘆竹區五福六路56巷27弄10號,"25.055337,121.295862",1,"807 ",蘆竹分局,O,南崁所
大樓,EVY10285,福祿里,桃園市蘆竹區福祿一街39號,"25.055717,121.296778",1,"1,918 ",蘆竹分局,O,南崁所
大樓,EVY10286,中山里,桃園市蘆竹區福祿一街190號,"25.056992,121.296665",1,"1,833 ",蘆竹分局,O,南崁所
大樓,EVY10287,長壽里,桃園市蘆竹區吉林路28號,"25.0505,121.296995",1,"2,055 ",蘆竹分局,O,南崁所
大樓,EVY10288,吉祥里,桃園市蘆竹區吉林路39號,"25.050191,121.297116",1,"2,579 ",蘆竹分局,O,南崁所
大樓,EVY10289,五福里,桃園市蘆竹區仁愛路二段1號,"25.052454,121.297583",1,"1,537 ",蘆竹分局,O,南崁所
大樓,EVY10290,長壽里,桃園市蘆竹區長春路7巷17號,"25.050761,121.29852",1,"1,701 ",蘆竹分局,O,南崁所
大樓,EVY10291,錦中里,桃園市蘆竹區錦中街2號,"25.051728,121.288728",1,"572 ",蘆竹分局,O,南崁所
大樓,EVY10292,吉祥里,桃園市蘆竹區吉林路71號,"25.049878,121.297833",1,"1,376 ",蘆竹分局,O,南崁所
大樓,EVY10293,福祿里,桃園市蘆竹區五福一路69號,"25.056888,121.295141",1,"1,111 ",蘆竹分局,O,南崁所
大樓,EVY10294,長壽里,桃園市蘆竹區吉林路132巷2號,"25.050187,121.298395",1,"2,335 ",蘆竹分局,O,南崁所
大樓,EVY10295,營盤里,桃園市蘆竹區六福一路1號,"25.061447,121.29849",1,"5,441 ",蘆竹分局,O,南崁所
大樓,EVY10296,錦興里,桃園市蘆竹區錦明街39號,"25.050106,121.289316",1,"1,272 ",蘆竹分局,O,南崁所
大樓,EVY10297,興榮里,桃園市蘆竹區光明路一段111號,"25.044039,121.290662",1,"2,133 ",蘆竹分局,O,南崁所
大樓,EVY10298,錦興里,桃園市蘆竹區光明路二段30號,"25.046026,121.287974",1,"1,695 ",蘆竹分局,O,南崁所
大樓,EVY10299,吉祥里,桃園市蘆竹區中山路6號,"25.049903,121.302249",1,"868 ",蘆竹分局,O,南崁所
大樓,EVY10300,錦中里,桃園市蘆竹區南崁路一段80號,"25.052092,121.288799",1,"3,746 ",蘆竹分局,O,南崁所
大樓,EVY10301,福祿里,桃園市蘆竹區福祿一街81號,"25.056007,121.296661",1,"3,539 ",蘆竹分局,O,南崁所
大樓,EVY10303,中山里,桃園市蘆竹區五福一路13號,"25.058454,121.295368",1,"2,128 ",蘆竹分局,O,南崁所
大樓,EVY10304,南榮里,桃園市蘆竹區中正路29號,"25.042354,121.294562",1,"5,192 ",蘆竹分局,O,南崁所
