"unnamed (1)",類別,電腦編號,村里別,經緯度,地下層數位址,可容納人數,轄管分局,停車場坡道,備註,placemark_address
47.0,公寓,ENA03004,埔心里,"25.05425, 121.22423",1.0,"1204 ",大園分局,,,"公寓 ENA03004 埔心里 337桃園市大園區埔心里海豐坡23之10號"
48.0,公寓,ENA03005,埔心里,"25.03832, 121.22812",1.0,"181 ",大園分局,,,"公寓 ENA03005 埔心里 337桃園市大園區埔心里中正東路一段840巷119號"
49.0,公寓,ENA03006,埔心里,"25.03364, 121.23355",1.0,"4294 ",大園分局,,,"公寓 ENA03006 埔心里 337桃園市大園區埔心里中正東路一段700巷29-1號"
50.0,大樓,ENA03007,五權里,"25.01707, 121.23182",1.0,"682 ",大園分局,,,"大樓 ENA03007 五權里 337桃園市大園區五權里12鄰中正東路三段61巷123號"
51.0,大樓,ENA03008,五權里,"25.02054, 121.23663",1.0,"168 ",大園分局,,,"大樓 ENA03008 五權里 337桃園市大園區五權里五青路143號"
52.0,公寓,ENA03009,五權里,"25.02577, 121.23629",1.0,"3822 ",大園分局,,,"公寓 ENA03009 五權里 337桃園市大園區五權里五青路70巷180號"
53.0,大樓,ENA03010,五權里,"25.02459, 121.23307",1.0,"146 ",大園分局,,,"大樓 ENA03010 五權里 337桃園市大園區五權里中正東路二段511巷36之1號"
54.0,大樓,ENA03011,五權里,"25.02459, 121.23307",1.0,"322 ",大園分局,,,"大樓 ENA03011 五權里 337桃園市大園區五權里中正東路二段511巷36號"
55.0,大樓,ENA03014,五權里,"25.02039, 121.22641",1.0,"805 ",大園分局,,,"大樓 ENA03014 五權里 337桃園市大園區五權里4鄰五青路515號"
56.0,大樓,ENA03015,五權里,"25.00699, 121.22579",1.0,"12969 ",大園分局,,,"大樓 ENA03015 五權里 337桃園市大園區五權里8鄰高鐵站前西路三段77號"
57.0,大樓,ENA03016,五權里,"25.0634, 121.19574",1.0,"420 ",大園分局,,,"大樓 ENA03016 五權里 337桃園市大園區五權里09鄰中正東路三段429號"
58.0,大樓,ENA03017,五權里,"25.01067, 121.22909",1.0,"280 ",大園分局,,,"大樓 ENA03017 五權里 337桃園市大園區五權里9鄰中正東路三段245巷30弄71號"
59.0,大樓,ENA03020,五權里,"25.00635, 121.22582",1.0,"11828 ",大園分局,,,"大樓 ENA03020 五權里 337桃園市大園區五權里8鄰高鐵站前西路三段66號"
60.0,大樓,ENA03021,五權里,"25.00635, 121.22582",1.0,"11063 ",大園分局,,,"大樓 ENA03021 五權里 337桃園市大園區五權里8鄰高鐵站前西路三段68號"
61.0,大樓,ENA03024,五權里,"25.01205, 121.22574",1.0,"193 ",大園分局,,,"大樓 ENA03024 五權里 337桃園市大園區五權里中正東路三段336巷83號"
62.0,大樓,ENA03025,五權里,"25.01373, 121.2327",1.0,"1368 ",大園分局,,,"大樓 ENA03025 五權里 337桃園市大園區五權里中興路二段371巷19號"
63.0,大樓,ENA03026,五權里,"25.00754, 121.22559",1.0,"1689 ",大園分局,,,"大樓 ENA03026 五權里 337桃園市大園區五權里青昇路一段132巷338-1號"
64.0,公寓,ENA03027,五權里,"25.02045, 121.2357",1.0,"477 ",大園分局,,,"公寓 ENA03027 五權里 337桃園市大園區五權里五青路183巷168號"
65.0,公寓,ENA03028,五權里,"25.01461, 121.23066",1.0,"345 ",大園分局,,,"公寓 ENA03028 五權里 337桃園市大園區五權里9鄰中正東路三段131巷88號"
66.0,大樓,ENA03029,五權里,"24.97791, 121.15652",2.0,"1986 ",大園分局,,,"大樓 ENA03029 五權里 桃園市大園區五權里11鄰五青路151巷325號"
67.0,公寓埔心國小,ENA03030,埔心里,"25.04902, 121.22563",1.0,"215 ",大園分局,,,"公寓埔心國小 ENA03030 埔心里 桃園市大園區中正東路一段189巷35號"
68.0,大樓,ENA03031,埔心里,"25.09116, 121.24843",1.0,"654 ",大園分局,,,"大樓 ENA03031 埔心里 16鄰航勤北路8-6號"
69.0,大樓,ENA04002,北港里,"25.07712, 121.1757",1.0,"144 ",大園分局,○,,"大樓 ENA04002 北港里 337桃園市大園區北港里大工路11號"
70.0,大樓,ENA04003,北港里,"25.0672, 121.17969",1.0,"124 ",大園分局,,,"大樓 ENA04003 北港里 337桃園市大園區北港里大工路13號"
71.0,大樓,ENA04005,北港里,"25.06847, 121.17908",1.0,"6721 ",大園分局,,,"大樓 ENA04005 北港里 337桃園市大園區北港里大工路17號"
72.0,大樓,ENA04006,北港里,"25.06847, 121.17908",1.0,"1498 ",大園分局,,,"大樓 ENA04006 北港里 337桃園市大園區北港里大工路17號"
73.0,大樓,ENA04008,北港里,"25.07355, 121.17654",1.0,"112 ",大園分局,,,"大樓 ENA04008 北港里 337桃園市大園區北港里大工路31號"
74.0,大樓,ENA04009,北港里,"25.07355, 121.17654",1.0,"469 ",大園分局,,,"大樓 ENA04009 北港里 337桃園市大園區北港里大工路31號"
75.0,大樓,ENA04010,北港里,"25.07355, 121.17654",1.0,"469 ",大園分局,,,"大樓 ENA04010 北港里 桃園市大園區北港里大工路31號"
76.0,大樓,ENA04013,北港里,"25.07401, 121.17672",1.0,"156 ",大園分局,,,"大樓 ENA04013 北港里 337桃園市大園區北港里大工路126號"
77.0,大樓,ENA04014,北港里,"25.07464, 121.17681",1.0,"236 ",大園分局,,,"大樓 ENA04014 北港里 337桃園市大園區北港里大工路132號"
78.0,大樓,ENA04015,北港里,"25.07775, 121.17596",1.0,"913 ",大園分局,,,"大樓 ENA04015 北港里 337桃園市大園區北港里大工路138-1號"
79.0,大樓,ENA04017,北港里,"25.07068, 121.1762",1.0,"256 ",大園分局,,,"大樓 ENA04017 北港里 337桃園市大園區北港里工四路2號"
80.0,大樓,ENA04018,北港里,"25.07123, 121.17682",1.0,"0 ",大園分局,,,"大樓 ENA04018 北港里 337桃園市大園區北港里工四路5號"
81.0,大樓,ENA04020,北港里,"25.0726, 121.17843",1.0,"100 ",大園分局,,,"大樓 ENA04020 北港里 337桃園市大園區北港里工四路15號"
82.0,大樓,ENA04025,北港里,"25.07311, 121.17439",1.0,"1248 ",大園分局,,,"大樓 ENA04025 北港里 337桃園市大園區北港里工五路11號"
83.0,公寓,ENA04027,圳頭里,"25.07088, 121.20485",1.0,"989 ",大園分局,,,"公寓 ENA04027 圳頭里 桃園市大園區圳頭里中華路298號"
84.0,大樓,ENA04030,南港里,"25.05316, 121.16559",1.0,"262 ",大園分局,,,"大樓 ENA04030 南港里 337桃園市大園區南港里六鄰環區西路278號"
85.0,大樓,ENA04031,南港里,"25.05125, 121.17453",1.0,"254 ",大園分局,,,"大樓 ENA04031 南港里 337桃園市大園區南港里六鄰環區西路296號"
86.0,大樓,ENA04033,內海里,"25.0634, 121.19574",1.0,"1324 ",大園分局,,,"大樓 ENA04033 內海里 337桃園市大園區內海里中山北路252號"
87.0,大樓,ENA04034,內海里,"25.07574, 121.18751",1.0,"596 ",大園分局,,,"大樓 ENA04034 內海里 337桃園市大園區內海里中山北路258號"
88.0,大樓,ENA04036,內海里,"25.07391, 121.1892",1.0,"633 ",大園分局,,,"大樓 ENA04036 內海里 337桃園市大園區內海里中山北路262號"
89.0,大樓,ENA04038,內海里,"25.07391, 121.1892",1.0,"256 ",大園分局,,,"大樓 ENA04038 內海里 桃園市大園區內海里中山北路271號"
90.0,公寓,ENA04039,內海里,"25.07605, 121.18575",1.0,"517 ",大園分局,,,"公寓 ENA04039 內海里 337桃園市大園區內海里中山北路271號"
91.0,公寓,ENA04040,內海里,"25.0769, 121.18474",1.0,"6262 ",大園分局,○,,"公寓 ENA04040 內海里 桃園市大園區內海里中山北路275號"
92.0,大樓,ENA04041,內海里,"25.07672, 121.18568",1.0,"297 ",大園分局,,,"大樓 ENA04041 內海里 337桃園市大園區內海里中山北路277號"
93.0,大樓,ENA04042,內海里,"25.07737, 121.186",1.0,"1178 ",大園分局,,,"大樓 ENA04042 內海里 337桃園市大園區內海里中山北路278號"
94.0,大樓,ENA04043,內海里,"25.08097, 121.18385",1.0,"301 ",大園分局,,,"大樓 ENA04043 內海里 337桃園市大園區內海里中山北路280巷2號"
95.0,公寓,ENA04044,內海里,"25.07663, 121.18357",1.0,"133 ",大園分局,,,"公寓 ENA04044 內海里 337桃園市大園區內海里民權路7-1號"
96.0,大樓,ENA04048,內海里,"25.07593, 121.18335",1.0,"505 ",大園分局,,,"大樓 ENA04048 內海里 337桃園市大園區內海里民權路12號"
97.0,大樓,ENA04051,內海里,"25.07794, 121.18842",1.0,"874 ",大園分局,,,"大樓 ENA04051 內海里 337桃園市大園區內海里民生路119號"
98.0,大樓,ENA04052,內海里,"25.0735, 121.1911",1.0,"505 ",大園分局,○,,"大樓 ENA04052 內海里 337桃園市大園區內海里民生路123-1號"
99.0,公寓,ENA04053,內海里,"25.0735, 121.1911",1.0,"182 ",大園分局,,,"公寓 ENA04053 內海里 337桃園市大園區內海里民族街5號"
100.0,大樓,ENA04055,內海里,"25.07322, 121.19063",1.0,"214 ",大園分局,,,"大樓 ENA04055 內海里 桃園市大園區內海里民族路8號"
101.0,大樓,ENA04057,南港里,"25.05712, 121.18066",1.0,"73 ",大園分局,,,"大樓 ENA04057 南港里 桃園市大園區南港里長發一路216號"
102.0,大樓,ENA04058,南港里,"25.0579, 121.16817",1.0,"36 ",大園分局,,,"大樓 ENA04058 南港里 337桃園市大園區南港里六鄰環區西路198號"
103.0,大樓,ENA04059,南港里,"25.05316, 121.16559",1.0,"178 ",大園分局,,,"大樓 ENA04059 南港里 桃園市大園區南港里六鄰環區西路218號"
104.0,大樓,ENA04060,南港里,"25.05323, 121.16697",1.0,"4174 ",大園分局,,,"大樓 ENA04060 南港里 337桃園市大園區南港里 11鄰園航路391-13號"
105.0,大樓,ENA04061,南港里,"25.04597, 121.17165",1.0,"1590 ",大園分局,,,"大樓 ENA04061 南港里 337桃園市大園區南港里園一街1-6號"
106.0,公寓,ENA04062,南港里,"25.04456, 121.17083",1.0,"1409 ",大園分局,,,"公寓 ENA04062 南港里 337桃園市大園區南港里環區東路450-2號"
107.0,大樓,ENA04063,南港里,"25.04456, 121.17083",1.0,"6602 ",大園分局,,,"大樓 ENA04063 南港里 337桃園市大園區南港里南和路185-28號"
108.0,大樓,ENA04064,南港里,"25.04528, 121.16708",1.0,"722 ",大園分局,○,,"大樓 ENA04064 南港里 337桃園市大園區南港里潮音一路188號"
109.0,大樓,ENA04065,圳頭里,"25.09245, 121.2034",1.0,"5644 ",大園分局,,,"大樓 ENA04065 圳頭里 桃園市大園區圳頭里濱海路二段208號"
110.0,大樓,ENA04066,圳頭里,"25.08652, 121.19665",1.0,"120 ",大園分局,,,"大樓 ENA04066 圳頭里 濱海路二段198號"
111.0,公寓,ENA04067,圳頭里,"25.08109, 121.18396",1.0,"112 ",大園分局,,,"公寓 ENA04067 圳頭里 濱海路三段151號"
112.0,公寓,ENA04068,圳頭里,"25.08109, 121.18396",1.0,"98 ",大園分局,,,"公寓 ENA04068 圳頭里 濱海路三段151號"
113.0,大樓,ENA04070,圳頭里,"25.07139, 121.20359",1.0,"1062 ",大園分局,,,"大樓 ENA04070 圳頭里 中華路259號"
114.0,大樓,ENA04071,南港里,"25.06287, 121.16815",1.0,"3367 ",大園分局,○,,"大樓 ENA04071 南港里 337桃園市大園區南港里園科路400號"
115.0,大樓,ENA04072,內海里,"25.05646, 121.21708",1.0,"2123 ",大園分局,,,"大樓 ENA04072 內海里 337桃園市大園區內海里13鄰中山北路259號"
116.0,大樓,ENA04073,南港里,"25.05015, 121.16617",1.0,"5233 ",大園分局,,,"大樓 ENA04073 南港里 337桃園市大園區南港里學十一街91號"
117.0,大樓,ENA04074,南港里,"25.05093, 121.1739",1.0,"1728 ",大園分局,,,"大樓 ENA04074 南港里 337桃園市大園區南港里學六街9號"
118.0,大樓,ENA04075,南港里,"25.05328, 121.17147",1.0,"4322 ",大園分局,,,"大樓 ENA04075 南港里 337桃園市大園區南港里園航路393號"
119.0,大樓,ENA04076,南港里,"25.05239, 121.16652",2.0,"1998 ",大園分局,,,"大樓 ENA04076 南港里 337桃園市大園區南港里29鄰園學路173號"
120.0,公寓,ENA05001,菓林里,"25.0732, 121.25716",1.0,"6026 ",大園分局,,,"公寓 ENA05001 菓林里 337桃園市大園區菓林里3鄰菓林路47號"
121.0,公寓,ENA05002,菓林里,"25.07678, 121.26205",1.0,"304 ",大園分局,,,"公寓 ENA05002 菓林里 337桃園市大園區菓林里6鄰菓林路172號"
122.0,公寓,ENA05003,菓林里,"25.07743, 121.26257",1.0,"401 ",大園分局,,,"公寓 ENA05003 菓林里 337桃園市大園區菓林里6鄰菓林路160號"
123.0,公寓,ENA05004,菓林里,"25.07177, 121.25693",1.0,"956 ",大園分局,,,"公寓 ENA05004 菓林里 337桃園市大園區菓林里16鄰三和路27巷4弄8號"
124.0,公寓,ENA05005,三石里,"25.07105, 121.2578",1.0,"1644 ",大園分局,,,"公寓 ENA05005 三石里 337桃園市大園區三石里16鄰三和路28巷6號"
125.0,公寓,ENA05006,三石里,"25.07059, 121.25759",1.0,"502 ",大園分局,,,"公寓 ENA05006 三石里 337桃園市大園區三石里16鄰三和路28巷11號"
126.0,公寓,ENA05007,三石里,"25.072, 121.25733",1.0,"114 ",大園分局,,,"公寓 ENA05007 三石里 337桃園市大園區三石里16鄰三和路27巷10號"
127.0,公寓菓林國小,ENA05008,菓林里,"25.0775, 121.26171",1.0,"1513 ",大園分局,,,"公寓菓林國小 ENA05008 菓林里 337桃園市大園區菓林里桃5線12鄰41號"
128.0,大樓,ENA05009,菓林里,"25.07634, 121.26105",1.0,"1768 ",大園分局,,,"大樓 ENA05009 菓林里 桃園市大園區菓林里福德路68巷45號"
129.0,大樓,ENA05010,菓林里,"25.07743, 121.26257",1.0,"3884 ",大園分局,,,"大樓 ENA05010 菓林里 337桃園市大園區菓林里30鄰拔子林三路53巷17弄51號"
130.0,公寓,ENA05011,菓林里,"25.07177, 121.25693",1.0,"2492 ",大園分局,,,"公寓 ENA05011 菓林里 337桃園市大園區菓林里31鄰拔子林一路139號"
131.0,公寓,ENA05012,菓林里,"25.07537, 121.26405",1.0,"2253 ",大園分局,,,"公寓 ENA05012 菓林里 337桃園市大園區菓林里32鄰拔子林一路226號"
132.0,大樓,ENA05013,菓林里,"25.07537, 121.26405",3.0,"2344 ",大園分局,,,"大樓 ENA05013 菓林里 337桃園市大園區菓林里三民路二段595巷22號"
133.0,大樓,ENA05014,菓林里,"25.07518, 121.26061",3.0,"2323 ",大園分局,,,"大樓 ENA05014 菓林里 337桃園市大園區菓林里拔子林一路93巷21號"
134.0,大樓,ENA05015,三菓里,"25.07598, 121.25801",3.0,"2720 ",大園分局,,,"大樓 ENA05015 三菓里 337桃園市大園區菓林里拔子林二路17巷18-1號"
135.0,大樓,ENA06001,觀音里,"25.03806, 121.07701",1.0,"393 ",大園分局,,,"大樓 ENA06001 觀音里 328桃園市觀音區觀音里5鄰光明路47號"
136.0,大樓,ENA06002,觀音里,"25.02795, 121.08308",1.0,"66 ",大園分局,,,"大樓 ENA06002 觀音里 328桃園市觀音區觀音里7鄰中正路252號"
137.0,大樓,ENA06004,廣興里,"24.86704, 121.23632",1.0,"110 ",大園分局,,,"大樓 ENA06004 廣興里 328桃園市觀音區廣興里2鄰廣興一路30巷55號"
138.0,工廠,ENA06005,廣興里,"25.03526, 121.10515",1.0,"85 ",大園分局,,,"工廠 ENA06005 廣興里 桃園市觀音區廣興里1鄰坑子背1-19號"
139.0,大樓,ENA06007,觀音里,"25.03655, 121.08209",1.0,"852 ",大園分局,,,"大樓 ENA06007 觀音里 328桃園市觀音區觀音里6鄰仁愛路31號"
140.0,大樓觀音郵局,ENA06008,觀音里,,1.0,"204 ",大園分局,,328桃園市觀音區觀音里11鄰中山路40號,"大樓觀音郵局 ENA06008 觀音里 (機敏單位)"
141.0,公寓中華電信,ENA06009,觀音里,,1.0,"794 ",大園分局,,328桃園市觀音區觀音里11鄰中山路38號
142.0,大樓,ENA06012,大潭里,"25.03586, 121.05807",1.0,"250 ",大園分局,,,"大樓 ENA06012 大潭里 328桃園市觀音區大潭里1鄰環科路231號"
143.0,大樓,ENA06014,廣興里,"25.03373, 121.09492",1.0,"108 ",大園分局,,,"大樓 ENA06014 廣興里 328桃園市觀音區廣興里8鄰中山路一段320號"
144.0,工廠,ENA06015,廣興里,"25.03373, 121.09492",1.0,"217 ",大園分局,,,"工廠 ENA06015 廣興里 328桃園市觀音區廣興里8鄰中山路一段320號"
145.0,工廠,ENA06020,廣興里,"25.01178, 121.13751",1.0,"98 ",大園分局,,,"工廠 ENA06020 廣興里 328桃園市觀音區廣興里保興路一段220號"
146.0,工廠,ENA06021,廣興里,"25.03526, 121.10515",1.0,"420 ",大園分局,,,"工廠 ENA06021 廣興里 328桃園市觀音區廣興里廣興一路205巷36號"
147.0,工廠,ENA06026,廣興里,"25.03135, 121.098",1.0,"178 ",大園分局,,,"工廠 ENA06026 廣興里 328桃園市觀音區廣興里1鄰廣興一路137號"
148.0,工廠,ENA06027,廣興里,"25.03627, 121.0925",1.0,"354 ",大園分局,,,"工廠 ENA06027 廣興里 328桃園市觀音區廣興里溝尾路31之3號"
149.0,大樓,ENA06028,廣興里,"25.0317, 121.08683",1.0,"117 ",大園分局,,,"大樓 ENA06028 廣興里 328桃園市觀音區廣興里1鄰廣興一路163號"
150.0,工廠,ENA06029,坑尾里,"25.03379, 121.09736",1.0,"153 ",大園分局,,,"工廠 ENA06029 坑尾里 328桃園市觀音區坑尾里濱海路廣興段187號"
151.0,大樓,ENA06030,廣興里,"25.03221, 121.08895",1.0,"226 ",大園分局,,,"大樓 ENA06030 廣興里 328桃園市觀音區廣興里8鄰中山路一段280巷96號"
152.0,大樓,ENA06031,廣興里,"25.03157, 121.08698",1.0,"189 ",大園分局,,,"大樓 ENA06031 廣興里 328桃園市觀音區廣興里2鄰廣興一路100號"
153.0,大樓,ENA06033,廣興里,"25.03055, 121.08851",1.0,"453 ",大園分局,,,"大樓 ENA06033 廣興里 328桃園市觀音區廣興里2鄰中正路55號"
154.0,工廠,ENA06034,廣興里,"25.03114, 121.0872",1.0,"882 ",大園分局,,,"工廠 ENA06034 廣興里 328桃園市觀音區廣興里8鄰中山路一段280巷90號"
155.0,大樓,ENA06035,坑尾里,"25.03008, 121.09492",1.0,"3238 ",大園分局,,,"大樓 ENA06035 坑尾里 328桃園市觀音區坑尾里13鄰坑尾二路382巷170號"
156.0,大樓,ENA06037,大潭里,"25.03096, 121.05196",1.0,"900 ",大園分局,,,"大樓 ENA06037 大潭里 328桃園市觀音區大潭里9鄰電廠路1號"
157.0,工廠,ENA06038,大潭里,"25.03096, 121.05196",1.0,"1392 ",大園分局,,,"工廠 ENA06038 大潭里 328桃園市觀音區大潭里9鄰電廠路1-3號"
158.0,工廠,ENA06039,大潭里,"25.03096, 121.05196",1.0,"244 ",大園分局,,,"工廠 ENA06039 大潭里 328桃園市觀音區大潭里9鄰電廠路1-5號"
159.0,工廠,ENA06040,大潭里,"25.03096, 121.05196",1.0,"1048 ",大園分局,,,"工廠 ENA06040 大潭里 328桃園市觀音區大潭里9鄰電廠路1號"
160.0,工廠,ENA06041,大潭里,"25.03096, 121.05196",1.0,"193 ",大園分局,,,"工廠 ENA06041 大潭里 328桃園市觀音區大潭里9鄰電廠路1號"
161.0,大樓,ENA06042,大潭里,"25.03096, 121.05196",1.0,"1314 ",大園分局,,,"大樓 ENA06042 大潭里 328桃園市觀音區大潭里9鄰電廠路1號"
162.0,工廠,ENA06043,大潭里,"25.02493, 121.05778",1.0,"2320 ",大園分局,,,"工廠 ENA06043 大潭里 328桃園市觀音區大潭里大潭三路12巷2號"
