類別,建築物名稱,電腦編號,村里別,緯經度,地下樓層數,可容納人數,轄管分局,備註,停車場坡道
大樓,何嘉仁藝文分校,T108303,同德里,"25.0141844,121.2971649",1、2,686.0,桃園分局,," "
大樓,合遠康乃爾社區,T108304,中成里,"24.9995365,121.2965975",1、2、3,1335.0,桃園分局,,v
公寓,京懋一號,T108305,中成里,"24.9987679,121.2951782",1、2、3,2852.0,桃園分局,,v
大樓,上善若水社區,T108306,文中里,"25.0063791,121.3011194",1、2、3,885.0,桃園分局,,v
大樓,公寓,T108307,長德里,"25.0035902,121.3012692",1,166.0,桃園分局,," "
大樓,合陽合仰,T108308,中成里,"25.0027396,121.2957111",1、2、3、4,1157.0,桃園分局,,v
大樓,和頌長照機構,T108309,南門里,"24.9847455,121.3049434",1、2,741.0,桃園分局,," "
大樓,公寓,T108401,文中里,"25.000028,121.2913836",1、2、3,518.0,桃園分局,," "
大樓,經國翫社區,T108402,新埔里,"25.0162995,121.3068545",1、2,4105.0,桃園分局,,v
大樓,唯樂之丘,T108403,文中里,"24.9977295,121.2886839",1、2、3、4,2233.0,桃園分局,,v
公寓,璞樂,T108404,中興里,"24.9965518,121.2981135",1、2、3,1366.0,桃園分局,,v
大樓,太和工房桃園龍壽門市,T108405,龍山里,"24.9894511,121.2674811",1,1547.0,桃園分局,,v
大樓,公寓,T108406,三元里,"25.007415,121.3209002",1,1532.0,桃園分局,,v
大樓,合勤鼎盛天下社區,T108407,中泰里,"24.9877675,121.2872423",1、2,720.0,桃園分局,," "
大樓,大吾疆寶琚社區,T108408,中正里,"24.9971774,121.2942834",1、2、3、4,991.0,桃園分局,,v
大樓,禮白賞社區,T108409,同安里,"25.021011,121.2986372",1、2、3,1172.0,桃園分局,,v
大樓,名鑄,T108410,福元里,"25.0057065,121.3198284",1、2,2793.0,桃園分局,,v
大樓,美術花園,T108411,中成里,"25.004312,121.2898776",1、2、3,2983.0,桃園分局,,v
公寓,公寓,T108412,文明里,"24.9894998,121.3079606",1、2,272.0,桃園分局,," "
大樓,高柏科技股份有限公司,T108413,大林里,"24.9723559,121.3221453",1,787.0,桃園分局,," "
大樓,明築向陽社區,T107101,中正里,"24.9969653,121.2952473",1、2、3、4,873.0,桃園分局,,v
公務機關,桃園市桃園區龍山國民小學,T107102,龍壽里,"24.9809324,121.2707162",1,625.0,桃園分局,,v
大樓,中央公園,T107103,中成里,"25.0023538,121.2896896",1、2、3,1223.0,桃園分局,,v
大樓,昭陽君匯社區,T107104,中正里,"24.99931,121.29384",1、2、3,794.0,桃園分局,," "
大樓,寶程有限公司,T107105,南門里,"24.9851401,121.3026751",1,478.0,桃園分局,," "
大樓,智滙,T107106,三元里,"25.0079467,121.3221374",1、2、3,924.0,桃園分局,,v
公寓,中島美家社區,T107107,中正里,"24.9949503,121.2958859",1、2、3、4,736.0,桃園分局,,v
公務機關,桃園市政府警察局,T107108,汴洲里,,1、2,415.0,桃園分局,(機敏單位)警察單位," "
大樓,瑞御首席,T107109,寶慶里,"25.0142641,121.2953737",1、2、3,990.0,桃園分局,," "
公寓,桃園區寶興市民活動中心,T107110,寶山里,"25.0126557,121.3137985",1,956.0,桃園分局,,v
大樓,公寓,T107111,文中里,"25.0001726,121.2931747",1,432.0,桃園分局,," "
大樓,桃園國民運動中心,T107112,三民里,"24.9980402,121.3208739",1、2,1227.0,桃園分局,,v
大樓,璟都柏悅,T107113,中埔里,"25.0068245,121.2904309",1、2、3、4,2024.0,桃園分局,,v
公寓,京懋會社區,T107201,同安里,"25.0141319,121.2997671",1、2、3、4,828.0,桃園分局,,v
大樓,京彩,T107202,南埔里,"25.0059398,121.2924696",1,102.0,桃園分局,," "
大樓,藝文森活社區,T107203,明德里,"25.0199699,121.2958451",1,130.0,桃園分局,," "
大樓,正洸股份有限公司,T107204,大樹里,"24.985993,121.3216217",1,924.0,桃園分局,," "
公務機關,桃園市桃園區成功國民小學,T107205,永興里,"24.9982762,121.3070924",1,853.0,桃園分局,,v
大樓,昕中城社區,T107206,中正里,"24.9959546,121.2961338",1、2、3、4,1295.0,桃園分局,,v
公寓,公寓,T107207,中正里,"24.9956348,121.2945751",1、2、3,3097.0,桃園分局,,v
公寓,晴悅社區,T107208,中正里,"24.9965946,121.2967777",1、2、3,761.0,桃園分局,,v
大樓,尊暘安社區,T107209,汴洲里,"25.0296759,121.2966722",1、2,422.0,桃園分局,," "
公務機關,衛生福利部桃園醫院,T107210,龍山里,"24.9781864,121.2685878",1,1195.0,桃園分局,,v
大樓,鴻灃ART社區,T107211,同安里,"25.0112746,121.303875",1、2、3,1693.0,桃園分局,,v
公寓,禮享城,T107212,龍壽里,"24.98338,121.2731693",1、2、3,2164.0,桃園分局,,v
公寓,昭揚家社區,T107213,龍安里,"24.9906137,121.2782469",1、2,2748.0,桃園分局,,v
大樓,鴻竹微風社區,T107214,龍祥里,"24.9859872,121.2740139",1、2、3,1699.0,桃園分局,,v
大樓,涵玥社區,T107215,莊敬里,"25.0221176,121.2990655",1,403.0,桃園分局,," "
公寓,竹城祥鶴社區,T107216,汴洲里,"25.0273791,121.298679",1、2、3,627.0,桃園分局,,v
公寓,旭田,T107301,朝陽里,"24.9986959,121.3132729",1、2,259.0,桃園分局,," "
大樓,市府采舍社區,T107302,中正里,"24.9949503,121.2958859",1、2、3,1300.0,桃園分局,,v
大樓,慈文里里長服務處,T107303,慈文里,"25.0034201,121.2968174",1,149.0,桃園分局,," "
大樓,自遊人日上社區,T107304,汴洲里,"25.0304826,121.2995688",1、2、3、4,1438.0,桃園分局,,v
大樓,合展好市社區,T107305,文中里,"24.9989709,121.2889454",1、2、3、4,914.0,桃園分局,,v
公寓,公寓,T107306,汴洲里,"25.0292343,121.2983306",1、2、3,948.0,桃園分局,," "
公寓,公寓,T107307,文化里,"24.9908268,121.3101482",1、2、3、4,2904.0,桃園分局,,v
大樓,格林公園社區,T107308,中正里,"24.9971774,121.2942834",1、2、3、4,801.0,桃園分局,,v
大樓,公寓,T107401,成功里,"24.9982707,121.317584",1、2、3,522.0,桃園分局,," "
大樓,竹城真鶴,T107402,中興里,"24.9988404,121.2972759",1、2、3,1039.0,桃園分局,,v
大樓,賓爵生活家社區,T107403,汴洲里,"25.0253346,121.3060092",1、2,427.0,桃園分局,," "
公寓,公寓,T107404,新埔里,"25.017833,121.304796",1、2,501.0,桃園分局,," "
大樓,永聆靚心社區,T107405,雲林里,"24.9876524,121.3205763",1、2,832.0,桃園分局,," "
大樓,東驊飛飛想社區,T106101,福林里,"24.9769274,121.3049005",1、2、3,2660.0,桃園分局,,v
大樓,竹城昭和,T106102,同德里,"25.014037,121.2984227",1、2,703.0,桃園分局,," "
公務機關,桃園區農會(會稽分部),T106103,春日里,"25.0191189,121.3087057",1、2,840.0,桃園分局,," "
公寓,運泰電機有限公司,T106104,大林里,"24.9719162,121.3198267",1,889.0,桃園分局,," "
大樓,鴻竹微笑社區,T106105,龍祥里,"24.9867941,121.2744387",1、2,768.0,桃園分局,,v
大樓,合輝雲門社區,T106106,同安里,"25.0207573,121.2989032",1、2、3,1061.0,桃園分局,,v
大樓,麗捷new1社區,T106107,東山里,"24.9930733,121.3168661",1、2、3、4,681.0,桃園分局,,v
大樓,昭陽越社區,T106108,中正里,"24.9983367,121.2979871",1、2、3,1271.0,桃園分局,,v
大樓,竹城表參道社區,T106109,汴洲里,"25.0283548,121.2982809",1、2、3、4,3086.0,桃園分局,,v
大樓,森鄰物語,T106201,慈文里,"25.0058174,121.2984238",1、2、3,1078.0,桃園分局,,v
大樓,尚固傳家社區,T106202,龍鳳里,"24.9882619,121.2787321",1、2,534.0,桃園分局,," "
大樓,家賀澄舍,T106203,大有里,"25.0135004,121.3194656",1、2、3,1205.0,桃園分局,,v
大樓,擎亞首安社區,T106204,大林里,"24.9773885,121.3216335",1、2,459.0,桃園分局,," "
大樓,一巷青社區,T106205,瑞慶里,"25.0193486,121.2912586",1、2、3,580.0,桃園分局,," "
大樓,公寓,T106301,玉山里,"24.9896319,121.3033803",1,375.0,桃園分局,," "
大樓,瑜璟芳華社區,T106302,自強里,"25.0236119,121.3028938",1、2、3,954.0,桃園分局,,v
大樓,小王子社區,T106303,同安里,"25.0152883,121.3000072",1、2、3,521.0,桃園分局,," "
大樓,澄舍,T106304,大有里,"25.0146157,121.3195154",1、2、3,799.0,桃園分局,,v
大樓,早安藝文社區,T106305,北埔里,"25.0234688,121.292196",1、2,1535.0,桃園分局,,v
公寓,權視界PKONE社區,T106306,中正里,"24.9984392,121.2978501",1、2、3,1779.0,桃園分局,,v
大樓,幸福公園NO.3社區,T106307,汴洲里,"25.0224845,121.3120726",1、2,990.0,桃園分局,," "
大樓,昭揚縱橫社區,T106308,經國里,"25.0142963,121.3070551",1、2、3,4237.0,桃園分局,,v
大樓,公寓,T106309,中德里,"24.9636288,121.2916544",1、2,304.0,桃園分局,," "
大樓,中悅麗舍花園社區,T106310,同安里,"25.016907,121.3006688",1、2、3、4,5015.0,桃園分局,,v
大樓,公寓,T106311,東門里,"24.9977205,121.3146433",1,209.0,桃園分局,," "
大樓,自遊人時上區,T106312,汴洲里,"25.0296496,121.2995067",1、2、3、4,818.0,桃園分局,,v
大樓,大滝藥局,T106401,龍壽里,"24.9800565,121.268907",1,216.0,桃園分局,," "
大樓,星光匯社區,T106402,大樹里,"24.9812825,121.3196263",1、2、3、4,754.0,桃園分局,,v
大樓,惠生保安婦幼中心,T106403,福林里,"24.9772756,121.3033284",1、2,902.0,桃園分局,,v
大樓,竹成真鶴,T106404,中興里,"24.9991635,121.2980408",1、2、3,2189.0,桃園分局,,v
公寓,極宸社區,T106405,中正里,"24.9949503,121.2958859",1、2,266.0,桃園分局,," "
公寓,春日傳世社區,T106406,汴洲里,"25.029623,121.307103",1,1419.0,桃園分局,,v
大樓,國際極社區,T106407,中平里,"24.9891424,121.2944479",1、2,823.0,桃園分局,,v
大樓,聚豐耘社區,T105101,中德里,"24.9633219,121.2924692",1、2,763.0,桃園分局,,v
大樓,德友築跡社區,T105102,北埔里,"25.023777,121.2926008",1、2、3,861.0,桃園分局,," "
大樓,宜誠廣見社區,T105103,中路里,"24.9931465,121.2898038",1、2、3,901.0,桃園分局,,v
大樓,公寓,T105104,大業里,"25.0082115,121.3121491",1,112.0,桃園分局,," "
大樓,囍堂社區,T105105,中和里,"24.9978723,121.3097025",1,383.0,桃園分局,," "
大樓,桃府金鑽社區,T105106,泰山里,"24.9888116,121.297379",1、2,696.0,桃園分局,,v
大樓,公寓,T105107,泰山里,"24.9906519,121.297065",1、2,955.0,桃園分局,,v
大樓,十悅社區,T105108,春日里,"25.0167388,121.3117816",1,371.0,桃園分局,," "
大樓,美樂地社區,T105109,大豐里,"24.9794008,121.3168869",1、2、3,1143.0,桃園分局,,v
公寓,桃園地方檢察署,T105201,中埔里,"25.0064901,121.2870163",1、2,5191.0,桃園分局,,v
公務機關,法務部調查局桃園市調查站,T105202,光興里,"24.9946098,121.3008634",1、2,649.0,桃園分局,," "
大樓,公寓,T105203,經國里,"25.0130198,121.3050745",1,276.0,桃園分局,," "
公寓,無疆,T105204,忠義里,"25.0045124,121.3207454",1、2、3、4,622.0,桃園分局,," "
大樓,合勤璞玉,T105301,福元里,"25.0089905,121.316788",1,185.0,桃園分局,," "
大樓,白朗峰社區,T105302,同安里,"25.0189105,121.3012934",1、2、3,1374.0,桃園分局,,v
大樓,成陽經貿大樓,T105303,汴洲里,"25.029676,121.30457",1,1819.0,桃園分局,,v
大樓,幸福公園NO.2社區,T105304,汴洲里,"25.0225522,121.3122466",1、2、3,970.0,桃園分局,,v
公務機關,桃園市私立新興國際中小學,T105305,西埔里,"25.0159046,121.2848523",1,1716.0,桃園分局,,v
公寓,公寓,T105306,永安里,"24.9993278,121.304428",1、2,170.0,桃園分局,," "
大樓,昭陽乾坤社區,T105307,同安里,"25.0166814,121.3003486",1、2、3、4,2538.0,桃園分局,,v
大樓,擎天匯社區,T105401,建國里,"24.9868457,121.317854",1、2、3,2051.0,桃園分局,,v
大樓,公寓,T105402,文中里,"24.9957812,121.289605",1,221.0,桃園分局,," "
大樓,合遠家沁社區,T105403,龍安里,"24.9924643,121.2793225",1、2、3,1004.0,桃園分局,,v
公寓,野翔企業大樓,T105404,龍祥里,"24.9805986,121.2743268",1、2、3,2492.0,桃園分局,,v
公寓,全漢企業股份有限公司,T105405,大樹里,"24.985023,121.321473",1、2,1236.0,桃園分局,,v
公寓,夏特蕾社區,T105406,永興里,"24.997359,121.3087727",1、2,188.0,桃園分局,," "
大樓,富萊敦品社區,T105407,建國里,"24.988242,121.317343",1、2,606.0,桃園分局,," "
大樓,昭揚飛社區,T105408,汴洲里,"25.0307742,121.301067",1、2、3,911.0,桃園分局,," "
公寓,晴空宿社區,T105409,東山里,"24.9935818,121.3167249",1、2,220.0,桃園分局,," "
大樓,快樂學園社區,T105410,汴洲里,"25.0217824,121.3134753",1、2,1001.0,桃園分局,,v
