類別,村里別,地址,緯經度,地下樓層數,可容納人數,轄管分局,備註
正濱國民中學,正砂里,基隆市中正區正榮街88號,"25.1463664,121.7630361",B01,621,第二分局,
豐澤公寓,正砂里,基隆市中正區中正路315號,"25.1469937,121.761396",B01B02,510,第二分局,
星海灣,正砂里,基隆市中正區中正路331號,"25.148009,121.7616626",B01B02,384,第二分局,
中正華城,正砂里,基隆市中正區中正路464號,"25.1482009,121.7620078",B01B02,349,第二分局,
萬金樓,正義里,基隆市中正區義二路162號,"25.1338267,121.7473113",B01B02,144,第二分局,
萬金樓,正義里,基隆市中正區義二路164號之1,"25.1338919,121.7473532",B01,348,第二分局,
汾陽郭,正濱里,基隆市中正區中正路742號,"25.1521092,121.7693223",B01,179,第二分局,
基隆市原住民文化會館,正濱里,基隆市中正區正濱路116巷75號,"25.1537413,121.771638",B01,523,第二分局,
基隆海大會館,正濱里,基隆市中正區中正路607號,"25.1517028,121.770927",B01,515,第二分局,
公寓,孝岡里,基隆市信義區深澳坑路133之2號,"25.1247013,121.789458",B01,178,第二分局,
川欣冷凍廠,孝岡里,基隆市信義區深澳坑路277號,"25.1202026,121.797372",B01,164,第二分局,
捨得企業股份有限公司,孝岡里,基隆市信義區深澳坑路175、177號,"25.1209581,121.7952854",B01,938,第二分局,
麗景江山,孝忠里,基隆市信義區深溪路36巷50弄18號,"25.1313533,121.7830197",B01B02,2281,第二分局,
麗景江山,孝忠里,基隆市信義區深溪路36巷42號,"25.1314182,121.7820152",B01B02,1182,第二分局,
麗景江山,孝忠里,基隆市信義區深溪路36巷50弄1號,"25.1316777,121.7824408",B01B02B03,5443,第二分局,
麗景江山,孝忠里,基隆市信義區深溪路36巷74號,"25.1326767,121.7837359",B01,2562,第二分局,
麗景江山,孝忠里,基隆市信義區深溪路36巷102弄11號,"25.1328217,121.7845097",B01,2183,第二分局,
麗景江山,孝忠里,基隆市信義區深溪路36巷51號,"25.1318851,121.7825544",B01,17089,第二分局,
麗景江山,孝忠里,基隆市信義區深溪路36巷70弄8號,"25.1317791,121.7839095",B01B02,3971,第二分局,
深美國小,孝忠里,基隆市信義區深美街198號,"25.1374664,121.778138",B01,1254,第二分局,
信義城,孝忠里,基隆市信義區深溪路38巷3號,"25.1323257,121.7825154",B01B02B03,5227,第二分局,
玉品園,孝忠里,基隆市信義區教忠街58號,"25.1348346,121.7777999",B01,628,第二分局,
凱撒大地,孝深里,基隆市信義區深澳坑路166之17號,"25.1261406,121.7845627",B01B02,2868,第二分局,
深澳國小,孝深里,基隆市信義區深澳坑路55之1號,"25.1290147,121.7831307",B01,1218,第二分局,
微笑臺北,孝深里,基隆市信義區孝東路88號,"25.128268,121.7795168",B01B02B03B04,17223,第二分局,
公寓,孝深里,基隆市信義區深澳坑路132號,"25.126871,121.7838044",B01,339,第二分局,
榮華富貴,孝深里,基隆市信義區深澳坑路109巷13弄7號,"25.128447,121.7863215",B01,494,第二分局,
住安城堡,孝深里,基隆市信義區孝東路27號,"25.1284508,121.7761703",B01,776,第二分局,
信義邸,孝深里,基隆市信義區深澳坑路109巷3號," 25.127517, 121.7857302",B01,146,第二分局,
港都天下,孝德里,基隆市信義區福民街71巷3號,"25.1315086,121.7772244",B01B02,1177,第二分局,
公寓,孝德里,基隆市信義區東峰街22號,"25.1324126,121.7743607",B01,230,第二分局,
公寓,孝德里,基隆市信義區福民街55巷42號,"25.1328251,121.7762868",B01,297,第二分局,
翡翠宮廷,孝德里,基隆市信義區深澳坑路6巷143號,"25.1339615,121.774602",B01,1096,第二分局,
翡翠宮廷,孝德里,基隆市信義區深澳坑路6巷304號,"25.1336817,121.7743999",B01,1569,第二分局,
主恩兒童之家,孝德里,基隆市信義區深澳坑路8號,"25.1331324,121.7769446",B01,637,第二分局,
田園調布,孝德里,基隆市信義區福民街17之1號,"25.1332397,121.7748478",B01B02,2414,第二分局,
田園調布,孝德里,基隆市信義區福民街150號,"25.1317744,121.7763464",B01B02,1412,第二分局,
公寓,孝德里,基隆市信義區福民街55巷3號,"25.1322463,121.7763549",B01,3084,第二分局,
港都天下,孝德里,基隆市信義區深澳坑路10之6號,"25.1309428,121.777388",B01,583,第二分局,
田園調布,孝德里,基隆市信義區福民街60號,"25.1324985,121.7752172",B01B02,1672,第二分局,
田園調布,孝德里,基隆市信義區福民街100號,"25.1323254,121.7754535",B01B02,1661,第二分局,
彩虹山莊,孝賢里,基隆市信義區東美二街73之1號,"25.1358903,121.7725485",B01,616,第二分局,
乾隆皇第,孝賢里,基隆市信義區教孝街2號,"25.1365558,121.7740968",B01,421,第二分局,
港都傳奇,孝賢里,基隆市信義區教孝街75號,"25.1378094,121.7758922",B01B02,2685,第二分局,
港都經典公寓,孝賢里,基隆市信義區深澳坑路2之47號,"25.1363973,121.7740232",B01,858,第二分局,
三樓透天群,孝賢里,基隆市信義區深澳坑路2之36號,"25.1366219,121.7734197",B01B02,1152,第二分局,
富麗居,孝賢里,基隆市信義區深澳坑路2之19號,"25.1370966,121.772367",B01,190,第二分局,
發樓,孝賢里,基隆市信義區深澳坑路2之9號,"25.1372836,121.7714859",B01B02,1665,第二分局,
大香港,孝賢里,基隆市信義區深澳坑路2之5號,"25.1369254,121.7712418",B01B02,2506,第二分局,
港都傳奇,孝賢里,基隆市信義區教孝街79號,"25.1376583,121.7759988",B01,1580,第二分局,
信義福邸,東光里,基隆市信義區東信路156號,"25.1278891,121.7653173",B01,146,第二分局,
信義之心,東光里,基隆市信義區崇法街89巷1號,"25.1333862,121.7657701",B01B02B03,3466,第二分局,
公寓,東安里,基隆市信義區東信路2巷9號,"25.1283006,121.768385",B01,163,第二分局,
公寓,東安里,基隆市信義區培德路17號,"25.1283006,121.768385",B01,84,第二分局,
公寓,東安里,基隆市信義區培德路173號,"25.1292819,121.7713542",B01,184,第二分局,
基隆市環保局清潔隊,東安里,基隆市信義區培德路221之3號,"25.1222722,121.7763036",B01,120,第二分局,
名人天廈,東安里,基隆市信義區培德路16號,"25.1287267,121.7697707",B01,136,第二分局,
公寓,東安里,基隆市信義區培德路14巷19號,"25.1284658,121.7694754",B01B02,169,第二分局,
公寓,東安里,基隆市信義區培德路75之3號,"25.1289605,121.7706494",B01,250,第二分局,
藝術名廈,東安里,基隆市信義區培德路189號及2樓之至12,"25.129211,121.7724346",B01B02,295,第二分局,
公寓,東安里,基隆市信義區東信路5號,"25.1277659,121.7679441",B01,149,第二分局,
信義國中,東安里,基隆市信義區東信路4號,"25.1295642,121.7685005",B01,379,第二分局,
東光市場,東明里,基隆市信義區東信路55巷17號,"25.1267839,121.7660039",B01,1008,第二分局,
公寓,東明里,基隆市信義區東信路35巷110號,"25.125973,121.7669127",B01,344,第二分局,
公寓,東明里,基隆市信義區東信路55巷42之3號,"25.126684,121.7655873",B01,146,第二分局,
公寓,東明里,基隆市信義區東光路42號,"25.1300524,121.7675542",B01B02B03,204,第二分局,
公寓,東明里,基隆市信義區東信路71號,"25.1277637,121.7652467",B01,849,第二分局,
公寓,東明里,基隆市信義區東信路37號,"25.1274021,121.7667592",B01,395,第二分局,
一品特區,東明里,基隆市信義區東光路201之1號,"25.1310626,121.7684667",B01B02B03,1235,第二分局,
橙品雙璽,東明里,基隆市信義區東光路40之2號,"25.1299049,121.7674642",B01,140,第二分局,
公寓,東明里,基隆市信義區東光路40之3號,"25.1298836,121.767428",B01,166,第二分局,
公寓,東信里,基隆市信義區東信路180巷28號,"25.129555,121.7637018",B01,199,第二分局,
公寓,東信里,基隆市信義區花源五街47號,"25.1335897,121.7647236",B01,1005,第二分局,
四季春,東信里,基隆市信義區花源五街1號,"25.1327368,121.763716",B01B02,2296,第二分局,
威鎮八方,東信里,基隆市信義區正信路227巷21弄8號,"25.1350919,121.7644255",B01B02B03,11038,第二分局,
信義花園,東信里,基隆市信義區東信路236巷32號,"25.1310662,121.7636192",B01B02,3692,第二分局,
新富,東信里,基隆市信義區正信路295號,"25.1318843,121.7647136",B01,397,第二分局,
台灣造船股份有限公司,社寮里,基隆市中正區和一路155巷14號,"25.1545595,121.764352",B01,378,第二分局,
海洋科技博物館,長潭里,基隆市中正區北寧路367號,"25.1401494,121.7992513",B01B02,10093,第二分局,
微笑蔬果行,信義里,基隆市中正區義二路175號,"25.1345181,121.7476236",B01,229,第二分局,
公寓,信綠里,基隆市信義區正信路24之5號,"25.1308929,121.761013",B01,285,第二分局,
公寓,信綠里,基隆市信義區正信路24之52號,"25.1313883,121.7612866",B01,225,第二分局,
東信國小-育賢樓,信綠里,基隆市信義區正信路26號,"25.1311775,121.7599154",B01,170,第二分局,
東信國小-育德樓,信綠里,基隆市信義區正信路26號,"25.1313329,121.759894",B01,288,第二分局,
四海一家,信綠里,基隆市信義區東信路306號,"25.128788,121.7608274",B01,182,第二分局,
行政執行署,信綠里,基隆市信義區東信路169號,"25.1285537,121.761464",B01,209,第二分局,
公寓,信綠里,基隆市信義區正信路35號,"25.1298298,121.7606933",B01,98,第二分局,
正信公寓,信綠里,基隆市信義區正信路215號,"25.1343362,121.7604579",B01,278,第二分局,
公寓,信綠里,基隆市信義區正信路95號,"25.1306739,121.7609968",B01,157,第二分局,
名仕麗廈,信綠里,基隆市信義區正信路179號,"25.1319034,121.7601802",B01,791,第二分局,
公寓,信綠里,基隆市信義區正信路223號,"25.1345191,121.7606502",B01B02,279,第二分局,
正信公寓,信綠里,基隆市信義區正信路213號,"25.1342711,121.7603231",B01,99,第二分局,
翰林苑,信綠里,基隆市信義區正信路49號,"25.1300073,121.7610522",B01B02,171,第二分局,
身心障礙福利服務中心,信綠里,基隆市信義區東信路282之45號,"25.1302374,121.7621112",B01,989,第二分局,
公寓,信綠里,基隆市信義區正信路175巷15之5號,"25.1321924,121.7591467",B01B02,144,第二分局,
東信國小-學生活動中心,信綠里,基隆市信義區正信路26號,"25.1311775,121.7599154",B01,579,第二分局,
東信國小-育才樓,信綠里,基隆市信義區正信路26號,"25.1312682,121.7601057",B01,660,第二分局,
公寓,建國里,基隆市中正區祥豐街335號,"25.1448345,121.7676835",B01,854,第二分局,
財政部基隆關,建國里,基隆市中正區祥豐街198巷6號,"25.1444803,121.7675748",B01,1002,第二分局,
私立二信高級中學,建國里,基隆市中正區立德路243號,"25.1438587,121.771966",B01,632,第二分局,
公寓,建國里,基隆市中正區立德路188號之1,"25.1440918,121.7713544",B01,118,第二分局,
海洋學園,建國里,基隆市中正區祥豐街237號,"25.1441253,121.7658941",B01,1502,第二分局,
私立二信高級中學,建國里,基隆市中正區立德路243號,"25.1441331,121.7718211",B01,1514,第二分局,
正濱國小-博愛樓,建國里,基隆市中正區祥豐街216號,"25.1466983,121.7705817",B01,474,第二分局,
正濱國小-博愛樓,建國里,基隆市中正區祥豐路216號,"25.1466691,121.7709465",B01,2202,第二分局,
私立二信高中,建國里,基隆市中正區立德路206號,"25.1439413,121.7715261",B01,696,第二分局,
富都,建國里,基隆市中正區祥豐街399號,"25.1447197,121.7677107",B01,376,第二分局,
泰吉儒院,建國里,基隆市中正區立德路230號," 25.1424868, 121.7728136",B01,222,第二分局,
公寓,砂子里,基隆市中正區調和街2之101號,"25.1394432,121.796091",B01,2212,第二分局,
公寓,砂子里,基隆市中正區調和街1巷9號,"25.1394392,121.796464",B01,198,第二分局,
八斗金鑽,砂子里,基隆市中正區北寧路390號,"25.1395852,121.7965174",B01,797,第二分局,
山海觀社區,砂子里,基隆市中正區觀海街92號,"25.1372988,121.7945161",B01B02B03B04,13216,第二分局,
山海觀社區,砂子里,基隆市中正區觀海街203號,"25.1370715,121.7944745",B01B02B03,10746,第二分局,
八斗國民小學-活動中心,砂子里,基隆市中正區北寧路396巷52號,"25.138693,121.7974675",B01,629,第二分局,
八斗國民小學-日照樓,砂子里,基隆市中正區北寧路396巷52號,"25.1381952,121.797611",B01,363,第二分局,
星河繪,砂子里,基隆市中正區調和街298號,"25.1262681,121.7993236",B01B02B03,3578,第二分局,
雪梨灣,砂子里,基隆市中正區和豐街205號,"25.1369252, 121.793074",B01,2956,第二分局,
公有祥豐零售市場,砂灣里,基隆市中正區祥豐街66號,"25.1420336,121.7639454",B01,835,第二分局,
公寓,砂灣里,基隆市中正區祥豐街121號,"25.1423255,121.7640067",B01,242,第二分局,
公寓,砂灣里,基隆市中正區祥豐街73號,"25.1419226,121.7622251",B01,206,第二分局,
建心新城,砂灣里,基隆市中正區祥豐街81號,"25.142021,121.7633354",B01,1543,第二分局,
正濱國小,砂灣里,基隆市中正區祥豐街216號,"25.1462579,121.7702378",B01,191,第二分局,
祥豐麗境A,砂灣里,基隆市中正區祥豐街95號,"25.1422012,121.7639288",B01B02,1696,第二分局,
祥豐麗境B,砂灣里,基隆市中正區祥豐街119之1號,"25.1424126,121.7643696",B01,112,第二分局,
豐澋匯,砂灣里,基隆市中正區正榮街121號,"25.1430616,121.7633705",B01B02,931,第二分局,
國立台灣海洋大學-環漁系館,海濱里,基隆市中正區北寧路2號,"25.1495798,121.7720954",B01,1230,第二分局,
國立台灣海洋大學-男生第一宿舍,海濱里,基隆市中正區北寧路2號,"25.1484908,121.7754092",B01,754,第二分局,
國立台灣海洋大學-男生第二宿舍,海濱里,基隆市中正區北寧路2號,"25.1485782,121.7787942",B01,513,第二分局,
國立台灣海洋大學-育樂館,海濱里,基隆市中正區北寧路2號,"25.1494996,121.7771768",B01,557,第二分局,
國立台灣海洋大學-工學一館,海濱里,基隆市中正區北寧路2號,"25.1499731,121.7773149",B01,836,第二分局,
國立台灣海洋大學-海洋工程綜合試驗館,海濱里,基隆市中正區北寧路2號,"25.1501916,121.7821148",B01,145,第二分局,
國立台灣海洋大學-海空大樓,海濱里,基隆市中正區北寧路2號,"25.1495287,121.779053",B01,3427,第二分局,
國立台灣海洋大學-第三宿舍,海濱里,基隆市中正區北寧路2號,"25.1484859,121.7791094",B01,1130,第二分局,
國立台灣海洋大學-電機二館,海濱里,基隆市中正區北寧路2號,"25.1509334,121.7801621",B01,531,第二分局,
滿城食品冷凍八斗子廠,海濱里,基隆市中正區北寧路67號,"25.1490288,121.7828607",B01,1425,第二分局,
海大附中-學生活動中心,海濱里,基隆市中正區祥豐街246號,"25.1481429,121.7725514",B01,504,第二分局,
海大附中-勤學樓,海濱里,基隆市中正區祥豐街246號,"25.1476378,121.7721598",B01,340,第二分局,
海洋大學,海濱里,基隆市中正區北寧路43號,"25.1515035,121.7754239",B01,768,第二分局,
建心新城,真砂里,基隆市中正區豐稔街41巷2號,"25.1405946,121.7612057",B01,986,第二分局,
安瀾大廈,真砂里,基隆市中正區豐稔街15號,"25.1413293,121.760852",B01,221,第二分局,
鼎立京華,真砂里,基隆市中正區豐稔街17號,"25.1412409,121.7608781",B01,264,第二分局,
中正藏馥,真砂里,基隆市中正區豐稔街100巷32號,"25.1390711,121.7608476",B01B02B03,530,第二分局,
社區大學,智誠里,基隆市信義區月眉路250巷22號,"25.1248486,121.7567454",B01,281,第二分局,
公寓,智慧里,基隆市信義區仁一路3號,"25.1279793,121.7561148",B01B02,139,第二分局,
信義新象,智慧里,基隆市信義區仁一路61號,"25.1277487,121.7544856",B01,205,第二分局,
河畔尊龍,智慧里,基隆市信義區仁一路17號,"25.1279113,121.7555478",B01,187,第二分局,
漢城大廈,智慧里,基隆市信義區仁一路27號,"25.1279256,121.7553168",B01B02,121,第二分局,
掌上明珠,智慧里,基隆市信義區仁一路37巷16號,"25.1274303,121.7547393",B01B02B03,576,第二分局,
港務大樓,港通里,基隆市中正區中正路16號,"25.1326581,121.7444611",B01,349,第二分局,
永隆大廈,港通里,基隆市中正區中正路34號,"25.1334276,121.7450081",B01,678,第二分局,
橙品71,港通里,基隆市中正區義一路71號,"25.1343228,121.7464417",B01,377,第二分局,
文化中心,港通里,基隆市中正區信一路181號,"25.1314476,121.7437567",B01B02,2400,第二分局,
國泰人壽大樓,港通里,基隆市中正區義一路83號,"25.1345401,121.7465776",B01,353,第二分局,
台灣省菸酒基隆分局,港通里,基隆市中正區中正路16號,"25.1326913,121.7444856",B01,253,第二分局,
公寓-天龍講堂,港通里,基隆市中正區義一路212號,"25.1367172,121.748241",B01,146,第二分局,
葛萊美診所,港通里,基隆市中正區義一路23號,"25.1328542,121.7454507",B01,174,第二分局,
中正公寓,港通里,基隆市中正區中正路12號,"25.1324451,121.7442844",B01,152,第二分局,
衛生福利部中央健康保險署基隆聯絡辦公室,港通里,基隆市中正區義一路95號,"25.1350064,121.7469456",B01,134,第二分局,
漢揚不動產,港通里,基隆市中正區義一路182號,"25.1363067,121.7481254",B01,157,第二分局,
王立文婦產科,港通里,基隆市中正區義一路41號,"25.1332161,121.7457252",B01,98,第二分局,
白金大樓,港通里,基隆市中正區義一路112號,"25.1343698,121.7467415",B01,202,第二分局,
兆鎮大樓,港通里,基隆市中正區義一路61號,"25.1341142,121.7462991",B01,127,第二分局,
基隆愛犬醫院,港通里,基隆市中正區義一路188號,"25.1364623,121.7480774",B01,183,第二分局,
佳美社區,港通里,基隆市中正區信二路274號,"25.1310488,121.7465015",B01B02,200,第二分局,
羅傑天下,港通里,基隆市中正區義一路87號,"25.1346909,121.7467524",B01B02,359,第二分局,
長榮桂冠酒店,港通里,基隆市中正區中正路62號之1,"25.1352165,121.7461391",B01B02B03B04,1216,第二分局,
拔群貿易公司,港通里,基隆市中正區義一路59號,"25.133985,121.7461892",B01,203,第二分局,
曼斯特公司,港通里,基隆市中正區信四路31號,"25.1338742,121.7454984",B01,127,第二分局,
麗榮皇冠大樓,港通里,基隆市中正區信一路177號,"25.1309194,121.7447273",B01,950,第二分局,
六福晶華,港通里,基隆市中正區義一路130號,"25.1348293,121.7470219",B01B02B03B04B05,1053,第二分局,
大宅風華大廈,港通里,基隆市中正區信二路296之1號,"25.1322165,121.7443732",B01,696,第二分局,
橙品71,港通里,基隆市中正區義一路71號,"25.134266,121.746417",B01B02,270,第二分局,
幸福佳園,港通里,基隆市中正區信三路28巷4之3號,"25.1332568,121.7451891",B01,217,第二分局,
澄品32,港通里,基隆市中正路信五路32號,"25.1348267,121.7464554",B01,267,第二分局,
龍冠天下社區,新富里,基隆市中正區新豐街303巷11弄21號,"25.1343734,121.7885895",B01,2242,第二分局,
龍都新城,新富里,基隆市中正區新豐街343之1號,"25.1356246,121.7867627",B01B02,2382,第二分局,
岩大安邸,新富里,基隆市中正區新豐街161巷98號,"25.1395228,121.7902784",B01,630,第二分局,
基督教會,新富里,基隆市中正區新豐街205巷9號,"25.1375676,121.7888941",B01,232,第二分局,
岩大安邸,新富里,基隆市中正區新豐街161巷53號,"25.139541,121.7901912",B01,409,第二分局,
公寓,新豐里,基隆市中正區新豐街106號,"25.1389764,121.7887939",B01,270,第二分局,
海中天社區,新豐里,基隆市中正區新豐街333巷8號,"25.1349657,121.7846666",B01B02,2332,第二分局,
海中天社區,新豐里,基隆市中正區新豐街333巷30號,"25.1345529,121.7847229",B01B02,1745,第二分局,
海洋大學世界社區,新豐里,基隆市中正區新豐街344號,"25.1366502,121.7865668",B01B02,6643,第二分局,
天下一家,新豐里,基隆市中正區新豐街136號,"25.1379173,121.7890039",B01,347,第二分局,
碧海擎天社區,新豐里,基隆市中正區新豐街290號,"25.1359394,121.7872432",B01B02B03B04,7292,第二分局,
巴塞隆納社區,新豐里,基隆市中正區新豐街466號,"25.1355819,121.7853056",B01B02,18182,第二分局,
普羅旺世社區,新豐里,基隆市中正區新豐街162巷3號,"25.1402508,121.7833343",B01,674,第二分局,
普羅旺世社區,新豐里,基隆市中正區新豐街162巷31號,"25.1399691,121.7834362",B01B02,300,第二分局,
普羅旺世社區,新豐里,基隆市中正區新豐街162巷13號,"25.1403576,121.7835489",B01B02B03,1143,第二分局,
普羅旺世社區,新豐里,基隆市中正區新豐街162巷65號,"25.1399302,121.7833075",B01B02,1175,第二分局,
普羅旺世社區,新豐里,基隆市中正區新豐街162巷73號,"25.1399351,121.7835542",B01B02,1190,第二分局,
普羅旺世社區,新豐里,基隆市中正區新豐街162巷125號,"25.1399308,121.7836518",B01B02B03,2559,第二分局,
普羅旺世社區,新豐里,基隆市中正區新豐街162巷2至166號,"25.1387259,121.7854908",B01B02B03B04,4648,第二分局,
海豔,新豐里,基隆市中正區新豐街86號,"25.1399646,121.7893419",B01B02B03,5826,第二分局,
中興公寓,義民里,基隆市信義區信二路48號,"25.1291496,121.7564999",B01,274,第二分局,
兆鎮經典,義民里,基隆市信義區信二路63號,"25.1290504,121.7556094",B01,224,第二分局,
公寓,義民里,基隆市信義區信二路58號,"25.1291858,121.7561622",B01,187,第二分局,
公寓,義民里,基隆市信義區信二路82號,"25.1292367,121.7556301",B01,74,第二分局,
公寓,義和里,基隆市信義區信二路24號,"25.1290887,121.7577993",B01,208,第二分局,
公寓,義和里,基隆市信義區信二路28號,"25.1290339,121.7573886",B01,140,第二分局,
中興國小(禮堂),義和里,基隆市信義區信二路40號,"25.1306574,121.7570777",B01,846,第二分局,
信義遠見,義和里,基隆市信義區信二路36巷49號,"25.1303794,121.7574054",B01,90,第二分局,
基隆女中-行政大樓,義和里,基隆市信義區東信路324號,"25.1288246,121.759253",B01,256,第二分局,
基隆女中-科學館,義和里,基隆市信義區東信路324號,"25.1286388,121.7591015",B01,1097,第二分局,
正信遠見大廈,義和里,基隆市信義區正信路151巷7之7號,"25.1305651,121.7579959",B01,80,第二分局,
中興國民小學,義和里,基隆市信義區信二路40號,"25.1305032,121.7570897",B01,3331,第二分局,
私立崇右影視科技大學-學生宿舍,義幸里,基隆市信義區義七路40號,"25.1306693,121.7528461",B01,823,第二分局,
濟安宮,義幸里,基隆市信義區義七路42號,"25.1311785,121.7540406",B01,458,第二分局,
私立崇右影視科技大學-B棟設計2館,義幸里,基隆市信義區義七路40號,"25.1321262,121.7542905",B01,630,第二分局,
公寓,義幸里,基隆市信義區信二路135號,"25.1293061,121.753699",B01,378,第二分局,
和園,義幸里,基隆市信義區中興路66號,"25.1298324,121.754682",B01,419,第二分局,
公寓,義幸里,基隆市信義區信二路93號,"25.1291121,121.7550221",B01,206,第二分局,
私立崇右影視科技大學-I棟圖資大樓,義幸里,基隆市信義區義七路40號1樓,"25.1322647,121.7547773",B01B02B03,2781,第二分局,
一品樓,義幸里,基隆市信義區中興路18巷3號,"25.1289018,121.7546494",B01,160,第二分局,
交響悅,義幸里,基隆市信義區信二路162號,"25.129393,121.7541217",B01B02,285,第二分局,
富寓,義幸里,基隆市信義區中興路22號,"25.1289958,121.754612",B01,175,第二分局,
信義名邸,義幸里,基隆市信義區信二路174巷128號,"25.1311245,121.7545299",B01,312,第二分局,
國際廣場,義昭里,基隆市信義區信一路63號,"25.1285354,121.7525527",B01,138,第二分局,
