類別,電腦編號,村里別,地址,緯、經度,地下樓層數,可容納人數,轄管分局,停車場坡道,備註,"unnamed (1)"
透天,EPA00057,正義里,中北路二段357號,"24.95395,121.230862",1,17,中壢分局,,普仁所,
透天,EPA00059,普強里,19鄰中山東路二段116號,"24.953367,121.238878",1,27,中壢分局,V,普仁所,
透天,EPA00060,普強里,19鄰中山東路二段152號,"24.953098,121.239202",1,27,中壢分局,V,普仁所,
透天,EPA00061,普強里,19鄰中山東路二段156號,"24.95282,121.239303",1,28,中壢分局,V,普仁所,
透天,EPA00062,普仁里,環中東路912號,"24.952326,121.241053",1,88,中壢分局,,普仁所,
透天,EPA00065,龍東里,22鄰龍東路29巷120弄29號,"24.937919,121.257994",1,22,中壢分局,,龍興所,
透天,EPA00068,明德里,桂林街23號,"24.949616,121.231682",1,58,中壢分局,,普仁所,
透天,EPA00073,普仁里,弘揚路29號,"24.953178,121.240004",1,77,中壢分局,,普仁所,
透天,EPA00074,正義里,中北路二段373巷5弄10號,"24.95429,121.230757",1,15,中壢分局,,普仁所,
透天,EPA00077,信義里,廣州路211號,"24.953186,121.233208",1,105,中壢分局,,普仁所,
透天,EPA00078,信義里,廣州路209號,"24.953172,121.233095",1,111,中壢分局,,普仁所,
透天,EPA00080,正義里,中北路二段416號,"24.954441,121.232794",1,44,中壢分局,,普仁所,
透天,EPA00081,正義里,中北路二段402號,"24.954293,121.232223",1,33,中壢分局,,普仁所,
透天,EPA00085,信義里,中北路二段402號之1,"24.954293,121.232223",1,26,中壢分局,,普仁所,
透天,EPA00086,正義里,中北路二段326號,"24.953467,121.230185",1,25,中壢分局,,普仁所,
透天,EPA00089,正義里,中北路二段369號,"24.954227,121.230959",1,17,中壢分局,,普仁所,
透天,EPA00095,正義里,中北路二段432號,"24.954603,121.233079",1,30,中壢分局,,普仁所,
透天,EPA00097,德義里,4鄰中山東路一段7號,"24.955626,121.228278",1,15,中壢分局,V,普仁所,
公寓,EPA00098,德義里,15鄰永康三街13號,"24.95617,121.224888",1,232,中壢分局,V,普仁所,
透天,EPA00100,正義里,金山一街33號,"24.953113,121.231527",1,33,中壢分局,,普仁所,
透天,EPA00101,信義里,廣州路202號,"24.95273,121.2326",1,26,中壢分局,,普仁所,
透天,EPA00102,信義里,嘉善街14號,"24.951442,121.233111",1,14,中壢分局,,普仁所,
透天,EPA00104,明德里,昆明街31號,"24.949262,121.232447",1,53,中壢分局,,普仁所,
透天,EPA00105,信義里,廈門路213號,"24.949829,121.233623",1,33,中壢分局,,普仁所,
透天,EPA00107,普仁里,日新路39號,"24.954775,121.238856",1,27,中壢分局,,普仁所,
透天,EPA00109,普強里,莒光路58號,"24.952742,121.237685",1,37,中壢分局,,普仁所,
透天,EPA00111,普忠里,實踐路108號,"24.956017,121.240277",1,133,中壢分局,,普仁所,
透天,EPA00112,後寮里,後興路二段270巷11號,"24.942642,121.236817",1,43,中壢分局,V,普仁所,
透天,EPA00123,正義里,中北路二段345號,"24.953919,121.230508",1,18,中壢分局,,普仁所,
透天,EPA00124,正義里,中北路二段359號,"24.953934,121.230898",1,18,中壢分局,,普仁所,
透天,EPA00127,健行里,龍岡路一段133號,"24.949517,121.224175",1,151,中壢分局,,中壢所,
透天,EPA00128,普仁里,日新路86號,"24.955357,121.240077",1,138,中壢分局,,普仁所,
公寓,EPA00129,普義里,溪洲三路71號,"24.96106,121.231085",1,208,中壢分局,V,普仁所,
透天,EPA00130,信義里,廈門路73號,"24.952124,121.232604",1,28,中壢分局,,普仁所,
透天,EPA00132,信義里,廣州路143號,"24.952386,121.231402",1,26,中壢分局,,普仁所,
透天,EPA00134,普忠里,大仁二街8號,"24.954746,121.242498",1,64,中壢分局,,普仁所,
透天,EPA00135,明德里,龍山街11號,"24.948839,121.229917",1,50,中壢分局,,普仁所,
透天,EPA00136,普仁里,協同街51號,"24.954259,121.239036",1,70,中壢分局,V,普仁所,
透天,EPA00138,正義里,蘭州二街22號,"24.951746,121.228863",1,51,中壢分局,V,普仁所,
透天,EPA00141,普仁里,實踐路25號,"24.954167,121.242211",1,127,中壢分局,,普仁所,
透天,EPA00142,信義里,福州路75號,"24.95238,121.233363",1,32,中壢分局,,普仁所,
透天,EPA00143,普仁里,環中東路850號之4,"24.953372,121.242414",1,133,中壢分局,,普仁所,
透天,EPA00149,龍平里,18鄰前龍路11號,"24.929247,121.253253",1,21,中壢分局,,龍興所,
透天,EPA00151,普仁里,力行北街35號,"24.954256,121.239903",1,72,中壢分局,,普仁所,
透天,EPA00152,普仁里,實踐路105號,"24.955282,121.240689",1,66,中壢分局,,普仁所,
透天,EPA00153,普忠里,大仁四街11號,"24.956113,121.240814",1,100,中壢分局,,普仁所,
透天,EPA00154,明德里,環中東路二段362號,"24.947898,121.234231",1,41,中壢分局,,普仁所,
透天,EPA00155,普義里,八德路56號,"24.960332,121.231067",1,43,中壢分局,V,普仁所,
透天,EPA00156,明德里,苑平路3號,"24.945843,121.229604",1,38,中壢分局,,普仁所,
透天,EPA00158,正義里,寶慶街54號,"24.951491,121.229582",1,28,中壢分局,,普仁所,
透天,EPA00159,信義里,廈門路65號,"24.952379,121.232624",1,48,中壢分局,,普仁所,
透天,EPA00160,普仁里,三和二街17號,"24.955236,121.240728",1,111,中壢分局,,普仁所,
透天,EPA00162,信義里,甘肅一街29號,"24.952818,121.234184",1,26,中壢分局,,普仁所,
透天,EPA00163,仁義里,中山東路一段223巷129弄2號,"24.958693,121.236547",1,94,中壢分局,,普仁所,
公寓,EPA00164,普強里,民享街38號,"24.953792,121.236661",1,463,中壢分局,V,普仁所,
公寓,EPA00165,普仁里,力行北路53號,"24.95446,121.239344",1,616,中壢分局,,普仁所,
透天,EPA00166,普仁里,力行北路47號,"24.954388,121.239485",1,94,中壢分局,,普仁所,
透天,EPA00168,明德里,環中東路二段650號,"24.945087,121.22991",1,31,中壢分局,,普仁所,
透天,EPA00170,仁義里,普義路130號,"24.96022,121.232502",1,35,中壢分局,,普仁所,
透天,EPA00171,後寮里,後興路一段52巷7號,"24.942819,121.248309",1,111,中壢分局,,普仁所,
公寓,EPA00172,明德里,吉長二街190號,"24.946524,121.230056",1,333,中壢分局,,普仁所,
透天,EPA00173,信義里,福州路121號,"24.951428,121.233776",1,28,中壢分局,,普仁所,
透天,EPA00176,龍興里,12鄰龍岡路三段295號,"24.934299,121.236232",1,22,中壢分局,,龍興所,
透天,EPA00177,龍興里,20鄰龍岡路三段301號,"24.934268,121.236344",1,44,中壢分局,,龍興所,
透天,EPA00179,普強里,莒光路94號,"24.952091,121.236559",1,22,中壢分局,,普仁所,
透天,EPA00180,普忠里,大仁一街49號,"24.955246,121.24349",1,255,中壢分局,,普仁所,
透天,EPA00182,普忠里,大仁二街8號,"24.954581,121.24254",1,66,中壢分局,,普仁所,
透天,EPA00184,龍興里,20鄰龍岡路三段291號,"24.934382,121.236084",1,22,中壢分局,,龍興所,
透天,EPA00185,龍興里,12鄰龍岡路三段299號,"24.934242,121.236226",1,58,中壢分局,,龍興所,
透天,EPA00186,龍興里,12鄰龍岡路三段297號,"24.934403,121.236272",1,20,中壢分局,,龍興所,
透天,EPA00187,龍興里,20鄰龍岡路三段293號,"24.934387,121.236225",1,21,中壢分局,,龍興所,
透天,EPA00189,龍平里,17鄰龍東路220號,"24.930132,121.253737",1,40,中壢分局,,龍興所,
透天,EPA00190,正義里,中北路二段378號,"24.953999,121.231445",1,28,中壢分局,,普仁所,
透天,EPA00193,明德里,20鄰衡陽街28號,"24.950365,121.230803",1,34,中壢分局,,普仁所,
透天,EPA00194,明德里,環中東路二段648號,"24.945138,121.229874",1,27,中壢分局,,普仁所,
透天,EPA00197,明德里,衡陽街28號,"24.950492,121.230781",1,25,中壢分局,,普仁所,
教育機構,EPA00198,明德里,廣州路25號,"24.950079,121.229969",1,395,中壢分局,,普仁所,
透天,EPA00200,普仁里,新中北路34巷2弄9號,"24.956269,121.235698",1,88,中壢分局,,普仁所,
大樓,EPA00201,普仁里,弘揚路50號,"24.953249,121.240689",1,708,中壢分局,V,普仁所,
透天,EPA00203,普強里,國泰街105號,"24.950703,121.237941",1,31,中壢分局,,普仁所,
透天,EPA00206,信義里,杭州路33號,"24.950884,121.235013",1,168,中壢分局,,普仁所,
透天,EPA00207,普仁里,治平街51號,"24.955775,121.238296",1,38,中壢分局,V,普仁所,
透天,EPA00208,普強里,民享街8號,"24.95435,121.236935",1,36,中壢分局,,普仁所,
透天,EPA00209,普仁里,協同街12及14號,"24.953485,121.239982",1,61,中壢分局,,普仁所,
透天,EPA00210,普強里,中山東路二段12號,"24.954526,121.236883",1,26,中壢分局,,普仁所,
透天,EPA00211,仁義里,延平路24號,"24.964004,121.232939",1,168,中壢分局,,普仁所,
透天,EPA00213,普仁里,治平街11號,"24.954867,121.23736",1,46,中壢分局,,普仁所,
透天,EPA00215,普仁里,治平街7號,"24.954886,121.237325",1,44,中壢分局,,普仁所,
透天,EPA00217,普強里,中山東路二段14號,"24.954593,121.237007",1,25,中壢分局,,普仁所,
透天,EPA00219,普忠里,大仁五街13號,"24.956268,121.240544",1,31,中壢分局,V,普仁所,
透天,EPA00221,普強里,民V街25號,"24.95357,121.237747",1,34,中壢分局,,普仁所,
透天,EPA00222,普強里,民V街27號,"24.953586,121.237698",1,28,中壢分局,,普仁所,
透天,EPA00224,信義里,福州路74號,"24.952406,121.232698",1,111,中壢分局,,普仁所,
透天,EPA00225,正義里,中北路二段330號,"24.953547,121.230309",1,36,中壢分局,,普仁所,
透天,EPA00226,正義里,東明街84號,"24.952577,121.230062",1,26,中壢分局,,普仁所,
透天,EPA00228,信義里,潮州街16號,"24.951164,121.231025",1,60,中壢分局,,普仁所,
透天,EPA00229,信義里,廣州路199號,"24.953078,121.232724",1,26,中壢分局,,普仁所,
透天,EPA00235,明德里,桂林街2號,"24.949171,121.231221",1,37,中壢分局,,普仁所,
透天,EPA00237,龍平里,19鄰龍東路82號,"24.928698,121.251216",1,28,中壢分局,,龍興所,
透天,EPA00239,信義里,嘉興二街20號,"24.953755,121.233308",1,47,中壢分局,,普仁所,
透天,EPA00240,信義里,廣州路160號,"24.952212,121.231744",1,27,中壢分局,,普仁所,
大樓,EPA00241,德義里,中山東路一段149號,"24.956979,121.232064",1,694,中壢分局,V,普仁所,
透天,EPA00246,普仁里,三和三街15號,"24.954192,121.240655",1,50,中壢分局,,普仁所,
透天,EPA00248,普仁里,三和三街7號,"24.953818,121.240764",1,94,中壢分局,,普仁所,
透天,EPA00253,普仁里,環中東路908號,"24.952479,121.241133",1,38,中壢分局,,普仁所,
透天,EPA00254,普仁里,環中東路898號,"24.952703,121.241463",1,22,中壢分局,V,普仁所,
透天,EPA00255,普強里,民V街25號,"24.953589,121.237672",1,36,中壢分局,,普仁所,
透天,EPA00258,普仁里,力行北街11號,"24.953536,121.240257",1,38,中壢分局,,普仁所,
透天,EPA00259,正義里,中北路二段377號,"24.954345,121.231217",1,64,中壢分局,,普仁所,
透天,EPA00264,信義里,廣州路144號,"24.951946,121.231374",1,33,中壢分局,,普仁所,
透天,EPA00267,正義里,寶慶路56號,"24.95135,121.229607",1,37,中壢分局,,普仁所,
大樓,EPA00271,龍平里,7鄰龍江路54號,"24.931872,121.257198",1,1083,中壢分局,V,龍興所,
透天,EPA00272,新興里,金山街16號,"24.94384,121.223086",1,122,中壢分局,,龍興所,
電信,EPA00275,至善里,11鄰中山東路三段372號,"24.94476,121.248459",1,903,中壢分局,V,龍興所,機敏單位
教育機構,EPA00283,普忠里,中北路200號,"24.957731,121.240549",1,1384,中壢分局,V,普仁所,
透天,EPA00287,明德里,桂林街74號,"24.949818,121.232799",1,61,中壢分局,V,普仁所,
透天,EPA00288,明德里,五華路53號,"24.948496,121.232597",1,41,中壢分局,V,普仁所,
透天,EPA00294,明德里,惠州街120號,"24.946551,121.231298",1,44,中壢分局,,普仁所,
透天,EPA00295,新興里,15鄰金山街9號,"24.953175,121.231588",1,30,中壢分局,,龍興所,
透天,EPA00296,信義里,福州路143號,"24.950923,121.233787",1,26,中壢分局,,普仁所,
透天,EPA00298,明德里,惠州街54號,"24.947759,121.233246",1,45,中壢分局,,普仁所,
透天,EPA00300,德義里,27鄰永康二路36號,"24.958406,121.232192",1,148,中壢分局,,普仁所,
透天,EPA00303,普仁里,環中東路900號,"24.952553,121.241311",1,27,中壢分局,,普仁所,
公寓,EPA00307,德義里,26鄰永康路26號,"24.957607,121.231677",1,283,中壢分局,V,普仁所,
透天,EPA00309,明德里,桂林街85號,"24.949932,121.23305",1,50,中壢分局,V,普仁所,
透天,EPA00310,明德里,桂林街83號,"24.950033,121.233085",1,35,中壢分局,,普仁所,
透天,EPA00311,正義里,東明街84號,"24.952577,121.230127",1,28,中壢分局,,普仁所,
透天,EPA00312,正義里,中北路二段330號,"24.953527,121.230266",1,38,中壢分局,,普仁所,
透天,EPA00315,普忠里,新中一街10巷11號,"24.959653,121.243815",1,38,中壢分局,,普仁所,
透天,EPA00319,正義里,廣州路199號,"24.953147,121.232767",1,25,中壢分局,,普仁所,
透天,EPA00323,仁義里,中山東路一段223巷129弄10號,"24.958723,121.236746",1,79,中壢分局,V,普仁所,
透天,EPA00326,仁義里,中山東路一段223巷129弄4號,"24.959415,121.237338",1,27,中壢分局,V,普仁所,
透天,EPA00327,仁義里,中山東路一段223巷129弄4號之2,"24.95859,121.23655",1,52,中壢分局,V,普仁所,
透天,EPA00328,仁義里,中山東路一段223巷129弄4號之6,"24.958678,121.236625",1,52,中壢分局,V,普仁所,
透天,EPA00329,仁義里,中山東路一段223巷129弄4號之8,"24.958581,121.237194",1,76,中壢分局,V,普仁所,
透天,EPA00331,仁義里,中山東路一段223巷129弄6號之4,"24.958762,121.236634",1,52,中壢分局,V,普仁所,
透天,EPA00332,仁義里,中山東路一段223巷129弄6號之6,"24.958684,121.236988",1,52,中壢分局,V,普仁所,
透天,EPA00333,仁義里,中山東路一段223巷129弄12號之6,"24.958751,121.236979",1,52,中壢分局,V,普仁所,
透天,EPA00335,正義里,中北路二段437巷9弄6號,"24.955118,121.231627",1,55,中壢分局,,普仁所,
透天,EPA00336,信義里,20鄰潮州街20號,"24.951154,121.231092",1,65,中壢分局,,普仁所,
透天,EPA00342,信義里,20鄰衡陽街8號,"24.95058,121.231654",1,31,中壢分局,,普仁所,
透天,EPA00345,正義里,漢口路47號,"24.953691,121.231026",1,35,中壢分局,,普仁所,
透天,EPA00346,普慶里,14鄰金鋒二路65巷2號,"24.949194,121.24798",1,222,中壢分局,,普仁所,
透天,EPA00352,信義里,甘肅一街31號,"24.952876,121.234227",1,51,中壢分局,,普仁所,
透天,EPA00353,普強里,環中東路二段2號,"24.951717,121.240357",1,33,中壢分局,,普仁所,
透天,EPA00357,普強里,20鄰國泰街12號,"24.951683,121.239333",1,20,中壢分局,V,普仁所,
透天,EPA00361,正義里,中北路二段446號,"24.95485,121.233655",1,200,中壢分局,,普仁所,
透天,EPA00362,信義里,廣州路149號,"24.952475,121.231681",1,37,中壢分局,,普仁所,
透天,EPA00363,信義里,福州路71號,"24.952484,121.23347",1,52,中壢分局,,普仁所,
透天,EPA00364,正義里,寶慶路48號,"24.951575,121.229618",1,34,中壢分局,,普仁所,
公寓,EPA00367,正義里,中北路二段437巷8號,"24.954914,121.232201",1,333,中壢分局,,普仁所,
教育機構,EPA00373,內定里,定寧路31號,"24.99343,121.250116",1,557,中壢分局,,文化所,
公寓,EPA00374,內定里,高邊路1號,"24.989103,121.240124",1,377,中壢分局,,文化所,
工廠,EPA00377,復華里,18鄰自強四路9號,"24.972392,121.241104",1,304,中壢分局,,文化所,
工廠,EPA00378,文化里,13鄰合江路2號,"24.983865,121.24692",1,4554,中壢分局,,文化所,
工廠,EPA00379,內定里,合定路26號之1,"24.98793,121.244248",1,344,中壢分局,,文化所,
工廠,EPA00381,內定里,合定路4號,"24.987603,121.240628",1,205,中壢分局,,文化所,
工廠,EPA00382,復興里,6鄰自強一路4號,"24.969133,121.244711",1,793,中壢分局,,文化所,
透天,EPA00383,信義里,福州路132號,"24.950939,121.233419",1,21,中壢分局,,普仁所,
透天,EPA00384,信義里,廈門路159號,"24.951009,121.233223",1,26,中壢分局,,普仁所,
透天,EPA00391,後寮里,中山東路二段510號,"24.946691,121.244701",1,13,中壢分局,V,普仁所,
透天,EPA00392,中建里,8鄰大同路154號,"24.9568,121.221427",1,48,中壢分局,,中壢所,
透天,EPA00396,中建里,8鄰大同路158號,"24.956611,121.221561",1,57,中壢分局,,中壢所,
透天,EPA00397,中建里,9鄰中平路208號,"24.956673,121.220995",1,46,中壢分局,,中壢所,
透天,EPA00398,中建里,8鄰大同路166號,"24.956707,121.221314",1,53,中壢分局,,中壢所,
透天,EPA00400,中建里,8鄰大同路162號,"24.956566,121.221516",1,171,中壢分局,,中壢所,
透天,EPA00404,中建里,9鄰中平路204號,"24.955862,121.2219",1,46,中壢分局,,中壢所,
透天,EPA00405,中建里,9鄰中平路200號,"24.956798,121.221187",1,54,中壢分局,,中壢所,
透天,EPA00406,振興里,10鄰龍岡路三段154號,"24.936264,121.233351",1,188,中壢分局,,龍興所,
公寓,EPA00407,振興里,10鄰龍岡路三段8號,"24.927182,121.243575",1,344,中壢分局,,龍興所,
電力,EPA00411,中央里,22鄰延平路499號,"24.957145,121.223697",2,1304,中壢分局,,中壢所,機敏單位
公寓,EPA00412,石頭里,14鄰興建街12號,"24.954033,121.22441",1,381,中壢分局,,中壢所,
公寓,EPA00414,興南里,5鄰延平路466號,"24.958275,121.223767",2,513,中壢分局,,中壢所,
大樓,EPA00415,普義里,普義路173號,"24.960775,121.23169",2,987,中壢分局,V,普仁所,
大樓,EPA00416,普仁里,新中北路151號,"24.958889,121.238265",2,929,中壢分局,V,普仁所,
公寓,EPA00417,仁福里,25鄰仁福五街13號(4386037),"24.941079,121.255339",1,490,中壢分局,,仁愛所,
透天,EPA00418,林森里,21鄰林森路160號,"24.944711,121.226683",1,317,中壢分局,,龍興所,
透天,EPA00419,東興里,7鄰東興路76號,"24.951493,121.224369",1,147,中壢分局,,中壢所,
大樓,EPA00420,新興里,33鄰逢甲一街7號,"24.945527,121.223925",1,1353,中壢分局,,龍興所,
公寓,EPA00421,中建里,8鄰大同路136號,"24.957157,121.221768",3,400,中壢分局,V,中壢所,
透天,EPA00422,中建里,2鄰中山路222號,"24.957057,121.222715",1,160,中壢分局,,中壢所,
透天,EPA00423,中建里,2鄰中山路228巷20號,"24.956834,121.22247",1,135,中壢分局,,中壢所,
教育機構,EPA00425,普慶里,中山東路二段425號,"24.948608,121.244492",1,550,中壢分局,V,普仁所,
大樓,EPA00426,龍慈里,後寮一路138號,"24.94118,121.245818",2,3567,中壢分局,V,龍興所,
透天,EPA00428,信義里,甘肅三街60號,"24.952292,121.234278",1,204,中壢分局,V,普仁所,
華廈,EPA00429,中興里,13鄰榮安九街6號,"24.962219,121.258158",2,796,中壢分局,,自強所,
金融機構,EPA00430,中原里,2鄰興農路125號,"24.973783,121.257886",2,1443,中壢分局,,內壢所,
華廈,EPA00431,莊敬里,18鄰莊敬路146號,"24.968364,121.257249",1,1202,中壢分局,V,自強所,
工廠,EPA00433,內定里,新北園路14號,"24.989442,121.24213",1,123,中壢分局,,文化所,
工廠,EPA00434,內定里,合定路23號,"24.989291,121.247267",1,98,中壢分局,,文化所,
大樓,EPA00435,山東里,4鄰中正路四段598號,"24.993824,121.168701",1,1327,中壢分局,,大崙所,
大樓,EPA00437,中央里,22鄰延平路429號,"24.958962,121.224478",3,1018,中壢分局,,中壢所,
大樓,EPA00438,林森里,21鄰林森路122號,"24.945063,121.226392",1,1352,中壢分局,,龍興所,
大樓,EPA00440,普忠里,中北路200號(中原大學),"24.957606,121.240754",1,2437,中壢分局,,普仁所,
透天,EPA00441,忠孝里,1鄰忠孝路162號,"24.976624,121.25527",1,270,中壢分局,,內壢所,
工廠,EPA00442,內定里,定安路1號,"24.991341,121.241357",1,98,中壢分局,,文化所,
透天,EPA00443,中榮里,3鄰中正路141號,"24.987966,121.222098",2,291,中壢分局,,中壢所,
金融機構,EPA00444,石頭里,3鄰中山路119號,"24.956694,121.227058",2,316,中壢分局,V,中壢所,機敏單位
公寓,EPA00445,信義里,福州路201號,"24.950085,121.234275",1,254,中壢分局,V,普仁所,
透天,EPA00446,龍德里,1鄰龍岡路三段19號,"24.938935,121.23147",1,69,中壢分局,V,龍興所,
大賣場,EPA00447,後寮里,中山東路二段510號,"24.946837,121.244583",2,13945,中壢分局,V,普仁所,
工廠,EPA00449,文化里,13鄰北園路24號,"24.981265,121.242672",1,1181,中壢分局,V,文化所,
工廠,EPA00450,復興里,25鄰自強一路121號,"24.97816,121.244396",1,961,中壢分局,V,文化所,
大樓,EPA00451,興平里,12鄰中豐北路63號,"24.963433,121.220349",1,917,中壢分局,,興國所,
公家機構,EPA00452,五權里,3鄰民族路三段260號,"24.960783,121.192286",1,7284,中壢分局,,興國所,
教育機構,EPA00453,五權里,7鄰中大路38號,"24.965733,121.195863",1,2296,中壢分局,,興國所,
大樓,EPA00454,自強里,13鄰莊敬路127號,"24.969496,121.257366",3,4088,中壢分局,,自強所,
大樓,EPA00455,成功里,9鄰成章三街143巷3號,"24.98205,121.256608",2,5271,中壢分局,,內壢所,
透天,EPA00456,過嶺里,高鐵南路四段998號,"24.973616,121.175401",1,122,中壢分局,,大崙所,
大樓,EPA00457,金華里,33鄰元化路357號,"24.962475,121.223559",4,6180,中壢分局,,中福所,
大樓,EPA00458,興南里,11鄰中美路一段18號,"24.959959,121.223546",3,2900,中壢分局,,中壢所,
教育機構,EPA00459,光明里,三光路115號,"24.96229,121.21127",1,1562,中壢分局,V,興國所,
透天,EPA00460,永光里,16鄰民權路三段334巷52號,"24.977928,121.214066",1,226,中壢分局,,興國所,
教育機構,EPA00461,光明里,20鄰中央西路二段97號,"24.960083,121.216561",1,166,中壢分局,V,興國所,
公寓,EPA00462,光明里,24鄰王子街1號,"24.96101,121.213816",1,598,中壢分局,,興國所,
大樓,EPA00463,三民里,16鄰三光路58號,"24.960965,121.210708",3,918,中壢分局,,興國所,
透天,EPA00464,舊明里,22鄰民族路55號,"24.956046,121.213732",1,321,中壢分局,,興國所,
教育機構,EPA00465,永福里,9鄰西園路447號,"24.972386,121.234552",1,1977,中壢分局,,中福所,
大樓,EPA00466,興福里,28鄰福安二街50號,"24.9689,121.232069",2,968,中壢分局,V,中福所,
透天,EPA00467,永光里,7鄰民權路二段17號,"24.967474,121.216535",1,107,中壢分局,,興國所,
透天,EPA00468,永光里,7鄰環西路二段328號,"24.965005,121.214233",1,100,中壢分局,,興國所,
大樓,EPA00470,永光里,18鄰三光路317號,"24.964469,121.214237",1,1562,中壢分局,V,興國所,
公寓,EPA00472,新明里,11鄰中央西路二段270號,"24.96117,121.211349",1,515,中壢分局,,興國所,
教育機構,EPA00473,光明里,20鄰中央西路二段97號,"24.959419,121.215792",1,397,中壢分局,,興國所,
大樓,EPA00475,光明里,20鄰光輝二路17巷1號,"24.964751,121.218469",1,531,中壢分局,V,興國所,
透天,EPA00476,永光里,18鄰環北路39號,"24.966428,121.217767",1,56,中壢分局,,興國所,
透天,EPA00477,光明里,13鄰三光路126號,"24.962582,121.212314",1,41,中壢分局,,興國所,
教育機構,EPA00479,五權里,3鄰中大路38號,"24.96835,121.195226",1,795,中壢分局,,興國所,
教育機構,EPA00482,五權里,3鄰中大路38號,"24.968213,121.187136",1,1685,中壢分局,,興國所,
透天,EPA00486,五福里,8鄰民族路310巷10號,"24.957839,121.2083",1,46,中壢分局,,興國所,
透天,EPA00491,五福里,5鄰環西路28號,"24.958493,121.20746",1,44,中壢分局,,興國所,
透天,EPA00492,五福里,5鄰環西路20號,"24.958296,121.207135",1,36,中壢分局,,興國所,
透天,EPA00508,五福里,5鄰民族路310巷7號,"24.958038,121.207971",1,30,中壢分局,,興國所,
透天,EPA00509,五福里,5鄰民族路310巷9號,"24.95801,121.207887",1,30,中壢分局,,興國所,
透天,EPA00511,五福里,5鄰民族路310巷15號,"24.958356,121.208082",1,40,中壢分局,,興國所,
透天,EPA00513,五權里,21鄰環西路81號,"24.959819,121.206599",1,186,中壢分局,,興國所,
透天,EPA00514,五福里,8鄰民族路310巷28號,"24.958084,121.20844",1,62,中壢分局,,興國所,
透天,EPA00518,光明里,38鄰王子街52號,"24.961535,121.214594",1,65,中壢分局,V,興國所,
大樓,EPA00519,光明里,35鄰白馬莊120號,"24.962008,121.213051",1,2113,中壢分局,V,興國所,
