類別,電腦編號,村里別,地址,緯經度,避難樓層,可容納人數,轄管分局,備註
一般住宅,CRA00038,文南里,臺南市南區文南里23鄰永南四街4號,"22.984043,120.189582",B01,192.0,第六分局,
一般住宅,CRA00039,文南里,臺南市南區文南里23鄰永南四街10號,"22.984051,120.189468",B01,192.0,第六分局,
一般住宅,CRA00040,文南里,臺南市南區文南里14鄰永南街47號,"22.983691,120.188612",B01,111.0,第六分局,
一般住宅,CRA00041,文南里,臺南市南區文南里15鄰美南街164號,"22.984185,120.187453",B01,138.0,第六分局,
一般住宅,CRA00042,文南里,臺南市南區文南里19鄰建南路301號,"22.985244,120.185565",B01,763.0,第六分局,
供公眾使用,CRA00043,文華里,臺南市南區文華里15鄰文南一街2號,"22.985787,120.189721",B01,1066.0,第六分局,
一般住宅,CRA00044,文南里,臺南市南區文南里20鄰仁南街40號,"22.983277,120.184482",B01,1337.0,第六分局,
一般住宅,CRA00045,文南里,臺南市南區文南里20鄰仁南三街9號,"22.98383,120.184886",B01,73.0,第六分局,
一般住宅,CRA00046,文南里,臺南市南區文南里3鄰中華西路一段109巷90號,"22.981653,120.182543",B01,596.0,第六分局,
一般住宅,CRA00047,文南里,臺南市南區文南里1鄰金華路二段289巷5弄19號,"22.983846,120.19122",B01,81.0,第六分局,
一般住宅,CRA00048,文南里,臺南市南區文南里4鄰金華路二段289巷5弄32號,"22.983543,120.191042",B01,81.0,第六分局,
一般住宅,CRA00049,文南里,臺南市南區文南里4鄰金華路二段289巷5弄34號,"22.983498,120.191031",B01,81.0,第六分局,
一般住宅,CRA00050,文南里,臺南市南區文南里1鄰金華路二段289巷5弄29號,"22.983654,120.191205",B01,83.0,第六分局,
一般住宅,CRA00051,文南里,臺南市南區文南里1鄰金華路二段289巷5弄31號,"22.983611,120.191207",B01,83.0,第六分局,
一般住宅,CRA00052,文南里,臺南市南區文南里1鄰金華路二段289巷5弄35號,"22.983523,120.191196",B01,83.0,第六分局,
一般住宅,CRA00053,文南里,臺南市南區文南里1鄰金華路二段289巷5弄37號,"22.983491,120.191193",B01,83.0,第六分局,
一般住宅,CRA00054,文南里,臺南市南區文南里1鄰金華路二段289巷5弄39號,"22.98345,120.191191",B01,83.0,第六分局,
一般住宅,CRA00055,文南里,臺南市南區文南里7鄰金華路二段219號,"22.982621,120.191418",B01,112.0,第六分局,
一般住宅,CRA00056,文南里,臺南市南區文南里7鄰金華路二段221號,"22.982672,120.191422",B01,112.0,第六分局,
一般住宅,CRA00057,文南里,臺南市南區文南里9鄰長南街36巷25號,"22.983677,120.19022",B01,77.0,第六分局,
一般住宅,CRA00058,文南里,臺南市南區文南里8鄰長南街33號,"22.982823,120.190099",B01,77.0,第六分局,
一般住宅,CRA00059,文南里,臺南市南區文南里9鄰長南街36巷21號,"22.983581,120.190219",B01,77.0,第六分局,
一般住宅,CRA00060,文南里,臺南市南區文南里9鄰長南街36巷23號,"22.983629,120.190218",B01,77.0,第六分局,
一般住宅,CRA00061,文南里,臺南市南區文南里5鄰長南街36巷14號,"22.983419,120.190361",B01,77.0,第六分局,
一般住宅,CRA00062,文南里,臺南市南區文南里5鄰長南街36巷16號,"22.983457,120.190365",B01,77.0,第六分局,
一般住宅,CRA00063,文南里,臺南市南區文南里5鄰長南街22號,"22.98297,120.190601",B01,95.0,第六分局,
一般住宅,CRA00064,文華里,臺南市南區文華里16鄰文南路311號,"22.98722,120.189989",B01,34.0,第六分局,
一般住宅,CRA00065,文華里,臺南市南區文華里10鄰美南街109號,"22.985886,120.187994",B01,344.0,第六分局,
一般住宅,CRA00066,文華里,臺南市南區文華里8鄰建南路166號,"22.985185,120.188514",B01,40.0,第六分局,
一般住宅,CRA00067,文華里,臺南市南區文華里8鄰建南路164號,"22.985181,120.188557",B01,40.0,第六分局,
一般住宅,CRA00068,文華里,臺南市南區文華里8鄰建南路162號,"22.985177,120.188608",B01,40.0,第六分局,
一般住宅,CRA00069,文華里,臺南市南區文華里8鄰文南二街57號,"22.985396,120.18884",B01,150.0,第六分局,
一般住宅,CRA00070,文華里,臺南市南區文華里9鄰金華路二段385巷25號,"22.986612,120.190641",B01,62.0,第六分局,
一般住宅,CRA00071,文華里,臺南市南區文華里9鄰金華路二段385巷27號,"22.986612,120.190599",B01,62.0,第六分局,
一般住宅,CRA00072,文華里,臺南市南區文華里9鄰金華路二段345巷12號,"22.985769,120.191193",B01,114.0,第六分局,
一般住宅,CRA00073,文華里,臺南市南區文華里4鄰金華路二段359號,"22.986003,120.191687",B01,71.0,第六分局,
一般住宅,CRA00074,文華里,臺南市南區文華里9鄰金華路二段385巷23號,"22.986612,120.190682",B01,71.0,第六分局,
一般住宅,CRA00075,文南里,臺南市南區文南里1鄰金華路二段283號,"22.984235,120.191531",B01,122.0,第六分局,
一般住宅,CRA00076,文華里,臺南市南區文華里7鄰建南路102巷13號,"22.985475,120.191164",B01,65.0,第六分局,
一般住宅,CRA00077,文華里,臺南市南區文華里18鄰德南街11號,"22.98766,120.18941",B01,193.0,第六分局,
一般住宅,CRA00078,文華里,臺南市南區文華里18鄰德南街17號,"22.987424,120.189432",B01,193.0,第六分局,
一般住宅,CRA00079,文華里,臺南市南區文華里17鄰德南街14號,"22.987577,120.189117",B01,193.0,第六分局,
一般住宅,CRA00080,文華里,臺南市南區文華里17鄰德南街20號,"22.987476,120.188993",B01,408.0,第六分局,
一般住宅,CRA00081,文華里,臺南市南區文華里17鄰德南街26號,"22.987331,120.188799",B01,408.0,第六分局,
公有,CRA00082,文華里,臺南市南區文華里15鄰建南路154號,"22.985188, 120.189661",B01,494.0,第六分局,
一般住宅,CRA00083,田寮里,臺南市南區田寮里7鄰新興路207號,"22.977112,120.193789",B01,80.0,第六分局,
一般住宅,CRA00084,田寮里,臺南市南區田寮里7鄰新興路191號,"22.977321,120.194084",B01,80.0,第六分局,
一般住宅,CRA00085,田寮里,臺南市南區田寮里7鄰新興路189號,"22.977346,120.194124",B01,80.0,第六分局,
一般住宅,CRA00086,田寮里,臺南市南區田寮里1鄰新興路313巷2號,"22.975415,120.191854",B01,174.0,第六分局,
一般住宅,CRA00087,田寮里,臺南市南區田寮里5鄰大成路二段92巷3弄38號,"22.975514,120.194149",B01,133.0,第六分局,
一般住宅,CRA00088,田寮里,臺南市南區田寮里5鄰大成路二段92巷3弄36號,"22.975491,120.194219",B01,133.0,第六分局,
一般住宅,CRA00089,田寮里,臺南市南區田寮里5鄰大成路二段150號,"22.975113,120.193704",B01,133.0,第六分局,
一般住宅,CRA00090,田寮里,臺南市南區田寮里5鄰大成路二段92巷3弄34號,"22.97548,120.19428",B01,133.0,第六分局,
一般住宅,CRA00091,田寮里,臺南市南區田寮里5鄰大成路二段92巷3弄32號,"22.975463,120.194348",B01,133.0,第六分局,
一般住宅,CRA00092,田寮里,臺南市南區田寮里5鄰大成路二段92巷3弄30號,"22.975446,120.194405",B01,133.0,第六分局,
一般住宅,CRA00093,田寮里,臺南市南區田寮里5鄰大成路二段92巷3弄28號,"22.975425,120.194473",B01,133.0,第六分局,
一般住宅,CRA00094,田寮里,臺南市南區田寮里5鄰大成路二段92巷3弄26號,"22.975406,120.194542",B01,133.0,第六分局,
一般住宅,CRA00095,田寮里,臺南市南區田寮里5鄰大成路二段92巷3弄24號,"22.975397,120.194596",B01,133.0,第六分局,
一般住宅,CRA00096,田寮里,臺南市南區田寮里5鄰大成路二段92巷3弄22號,"22.975376,120.194667",B01,133.0,第六分局,
一般住宅,CRA00097,田寮里,臺南市南區田寮里5鄰大成路二段92巷3弄20號,"22.975359,120.194729",B01,133.0,第六分局,
一般住宅,CRA00098,田寮里,臺南市南區田寮里5鄰大成路二段146號,"22.975117,120.193792",B01,53.0,第六分局,
一般住宅,CRA00099,田寮里,臺南市南區田寮里5鄰大成路二段152號,"22.97511,120.193662",B01,174.0,第六分局,
一般住宅,CRA00100,田寮里,臺南市南區田寮里2鄰大成路二段172號,"22.975152,120.192974",B01,192.0,第六分局,
一般住宅,CRA00101,田寮里,臺南市南區田寮里5鄰大成路二段148號,"22.975114,120.193753",B01,53.0,第六分局,
一般住宅,CRA00102,田寮里,臺南市南區田寮里5鄰大成路二段112號,"22.975138,120.19455",B01,153.0,第六分局,
一般住宅,CRA00103,田寮里,臺南市南區田寮里6鄰新興路217巷24號之1,"22.976481,120.194367",B01,94.0,第六分局,
一般住宅,CRA00104,田寮里,臺南市南區田寮里6鄰新興路217巷28號,"22.976437,120.194464",B01,94.0,第六分局,
一般住宅,CRA00105,田寮里,臺南市南區田寮里7鄰新興路217巷69號,"22.976292,120.195173",B01,94.0,第六分局,
一般住宅,CRA00106,田寮里,臺南市南區田寮里7鄰新興路205號,"22.977129,120.193826",B01,73.0,第六分局,
一般住宅,CRA00107,田寮里,臺南市南區田寮里7鄰新興路203號,"22.97716,120.193855",B01,73.0,第六分局,
一般住宅,CRA00108,田寮里,臺南市南區田寮里6鄰新興路219號,"22.976831,120.193398",B01,73.0,第六分局,
一般住宅,CRA00109,田寮里,臺南市南區田寮里7鄰新興路215號,"22.977004,120.193648",B01,73.0,第六分局,
一般住宅,CRA00110,田寮里,臺南市南區田寮里7鄰新興路213號,"22.977034,120.193676",B01,73.0,第六分局,
一般住宅,CRA00111,田寮里,臺南市南區田寮里7鄰新興路211號,"22.977059,120.193713",B01,91.0,第六分局,
一般住宅,CRA00112,田寮里,臺南市南區田寮里12鄰新興路61號,"22.978981,120.196682",B01,91.0,第六分局,
一般住宅,CRA00113,新興里,臺南市南區新興里7鄰新興路183號,"22.977392,120.194201",B01,91.0,第六分局,
一般住宅,CRA00114,田寮里,臺南市南區田寮里8鄰新興路115號,"22.978452,120.195708",B01,91.0,第六分局,
一般住宅,CRA00115,田寮里,臺南市南區田寮里12鄰新興路75號,"22.978912,120.19647",B01,91.0,第六分局,
一般住宅,CRA00116,田寮里,臺南市南區田寮里8鄰新興路121號,"22.978363,120.195607",B01,91.0,第六分局,
一般住宅,CRA00117,田寮里,臺南市南區田寮里8鄰新興路119號,"22.97839,120.19564",B01,91.0,第六分局,
一般住宅,CRA00118,田寮里,臺南市南區田寮里13鄰西門路一段363號,"22.978493,120.197501",B01,64.0,第六分局,
一般住宅,CRA00119,田寮里,臺南市南區田寮里12鄰新興路41巷9弄5號,"22.979112,120.197205",B01,64.0,第六分局,
一般住宅,CRA00120,田寮里,臺南市南區田寮里13鄰新興路41巷9弄6號,"22.978954,120.19721",B01,64.0,第六分局,
一般住宅,CRA00121,田寮里,臺南市南區田寮里12鄰新興路41巷9弄3號,"22.979111,120.197159",B01,64.0,第六分局,
一般住宅,CRA00122,田寮里,臺南市南區田寮里13鄰西門路一段365號,"22.978553,120.1975",B01,64.0,第六分局,
一般住宅,CRA00123,田寮里,臺南市南區田寮里8鄰新興路183巷14號,"22.977129,120.194562",B01,40.0,第六分局,
一般住宅,CRA00124,田寮里,臺南市南區田寮里8鄰新興路183巷12號,"22.977156,120.194517",B01,40.0,第六分局,
一般住宅,CRA00125,田寮里,臺南市南區田寮里16鄰西門路一段329號,"22.977622,120.197498",B01,38.0,第六分局,
一般住宅,CRA00126,田寮里,臺南市南區田寮里16鄰西門路一段331號,"22.977664,120.197491",B01,38.0,第六分局,
一般住宅,CRA00127,田寮里,臺南市南區田寮里16鄰西門路一段353號,"22.978245,120.19746",B01,38.0,第六分局,
一般住宅,CRA00128,田寮里,臺南市南區田寮里16鄰西門路一段357號,"22.978341,120.19745",B01,38.0,第六分局,
一般住宅,CRA00129,田寮里,臺南市南區田寮里16鄰西門路一段359號,"22.978376,120.197446",B01,38.0,第六分局,
一般住宅,CRA00130,田寮里,臺南市南區田寮里16鄰西門路一段355號,"22.978285,120.197456",B01,38.0,第六分局,
一般住宅,CRA00131,田寮里,臺南市南區田寮里19鄰西門路一段223巷20號,"22.975949,120.196178",B01,325.0,第六分局,
一般住宅,CRA00132,田寮里,臺南市南區田寮里20鄰西門路一段279巷16弄1號,"22.976896,120.196678",B01,294.0,第六分局,
一般住宅,CRA00133,田寮里,臺南市南區田寮里16鄰西門路一段333巷19號,"22.977874,120.196901",B01,133.0,第六分局,
一般住宅,CRA00134,田寮里,臺南市南區田寮里15鄰西門路一段361巷5號,"22.978307,120.197267",B01,133.0,第六分局,
一般住宅,CRA00135,田寮里,臺南市南區田寮里15鄰西門路一段361巷9號,"22.978325,120.19713",B01,133.0,第六分局,
一般住宅,CRA00136,田寮里,臺南市南區田寮里15鄰西門路一段361巷1號,"22.978304,120.19735",B01,133.0,第六分局,
一般住宅,CRA00137,田寮里,臺南市南區田寮里15鄰西門路一段361巷3號,"22.97831,120.19731",B01,133.0,第六分局,
一般住宅,CRA00138,田寮里,臺南市南區田寮里16鄰西門路一段311號,"22.977267,120.197477",B01,115.0,第六分局,
一般住宅,CRA00139,田寮里,臺南市南區田寮里17鄰西門路一段307號,"22.977181,120.197485",B01,115.0,第六分局,
一般住宅,CRA00140,田寮里,臺南市南區田寮里17鄰西門路一段305號,"22.977145,120.197487",B01,115.0,第六分局,
一般住宅,CRA00141,田寮里,臺南市南區田寮里17鄰西門路一段303號,"22.9771,120.197491",B01,115.0,第六分局,
一般住宅,CRA00142,田寮里,臺南市南區田寮里17鄰西門路一段301號,"22.977056,120.197492",B01,115.0,第六分局,
一般住宅,CRA00143,田寮里,臺南市南區田寮里16鄰西門路一段339號,"22.977938,120.197469",B01,112.0,第六分局,
一般住宅,CRA00144,田寮里,臺南市南區田寮里16鄰西門路一段323號,"22.977506,120.197473",B01,112.0,第六分局,
一般住宅,CRA00145,田寮里,臺南市南區田寮里16鄰西門路一段319號,"22.977425,120.197475",B01,112.0,第六分局,
一般住宅,CRA00146,田寮里,臺南市南區田寮里16鄰西門路一段313號,"22.977311,120.197475",B01,112.0,第六分局,
一般住宅,CRA00147,田寮里,臺南市南區田寮里16鄰西門路一段315號,"22.977353,120.19748",B01,112.0,第六分局,
一般住宅,CRA00148,田寮里,臺南市南區田寮里16鄰西門路一段317號,"22.977391,120.197475",B01,112.0,第六分局,
一般住宅,CRA00149,田寮里,臺南市南區田寮里15鄰西門路一段361巷7號,"22.978307,120.197226",B01,73.0,第六分局,
一般住宅,CRA00150,田寮里,臺南市南區田寮里14鄰大成路二段42巷60號,"22.976476,120.196552",B01,68.0,第六分局,
一般住宅,CRA00152,再興里,臺南市南區再興里5鄰新慶街9號,"22.980245,120.193335",B01,91.0,第六分局,
一般住宅,CRA00153,再興里,臺南市南區再興里2鄰三和街39號,"22.980964,120.192522",B01,168.0,第六分局,
一般住宅,CRA00154,再興里,臺南市南區再興里1鄰三官路24號,"22.98064,120.193682",B01,195.0,第六分局,
一般住宅,CRA00155,再興里,臺南市南區再興里10鄰新城街19號,"22.979209,120.191944",B01,195.0,第六分局,
一般住宅,CRA00156,再興里,臺南市南區再興里5鄰新慶街46號,"22.980478,120.192333",B01,826.0,第六分局,
一般住宅,CRA00157,新興里,臺南市南區新興里15鄰三官路15號,"22.980896,120.193957",B01,112.0,第六分局,
一般住宅,CRA00158,再興里,臺南市南區再興里1鄰三官路80號,"22.979312,120.193794",B01,37.0,第六分局,
一般住宅,CRA00159,再興里,臺南市南區再興里1鄰三官路76號,"22.979386,120.193791",B01,37.0,第六分局,
一般住宅,CRA00160,再興里,臺南市南區再興里2鄰三和街21號,"22.980958,120.192919",B01,37.0,第六分局,
一般住宅,CRA00161,再興里,臺南市南區再興里2鄰三和街19號,"22.980958,120.192967",B01,37.0,第六分局,
一般住宅,CRA00162,再興里,臺南市南區再興里2鄰三和街17號,"22.98096,120.193002",B01,28.0,第六分局,
一般住宅,CRA00163,再興里,臺南市南區再興里10鄰新城街56號,"22.979892,120.19215",B01,58.0,第六分局,
一般住宅,CRA00164,再興里,臺南市南區再興里2鄰三和街27號,"22.980957,120.19279",B01,55.0,第六分局,
一般住宅,CRA00165,再興里,臺南市南區再興里10鄰新城街28號,"22.979302,120.192145",B01,55.0,第六分局,
一般住宅,CRA00166,再興里,臺南市南區再興里10鄰新城街30號,"22.979347,120.192139",B01,55.0,第六分局,
一般住宅,CRA00167,再興里,臺南市南區再興里10鄰新城街15號,"22.979077,120.19192",B01,71.0,第六分局,
一般住宅,CRA00168,再興里,臺南市南區再興里10鄰新城街37號,"22.979641,120.191885",B01,71.0,第六分局,
一般住宅,CRA00169,再興里,臺南市南區再興里5鄰新慶街3號,"22.980243,120.193473",B01,46.0,第六分局,
一般住宅,CRA00170,再興里,臺南市南區再興里2鄰新慶街10巷8號,"22.980689,120.193366",B01,44.0,第六分局,
一般住宅,CRA00171,再興里,臺南市南區再興里1鄰三官路38號,"22.980205,120.193661",B01,67.0,第六分局,
一般住宅,CRA00172,再興里,臺南市南區再興里10鄰新城街33號,"22.97954,120.191875",B01,218.0,第六分局,
一般住宅,CRA00173,再興里,臺南市南區再興里5鄰新慶街14號,"22.980384,120.193156",B01,53.0,第六分局,
一般住宅,CRA00174,再興里,臺南市南區再興里2鄰三和街42號,"22.981083,120.192527",B01,105.0,第六分局,
一般住宅,CRA00175,再興里,臺南市南區再興里2鄰三和街25號,"22.980958,120.192832",B01,105.0,第六分局,
一般住宅,CRA00176,再興里,臺南市南區再興里2鄰三和街19號,"22.980958,120.192967",B01,105.0,第六分局,
一般住宅,CRA00177,再興里,臺南市南區再興里2鄰三和街50號,"22.981126,120.19237",B01,105.0,第六分局,
一般住宅,CRA00178,再興里,臺南市南區再興里1鄰三官路8號,"22.981055,120.193648",B01,98.0,第六分局,
一般住宅,CRA00179,再興里,臺南市南區再興里1鄰三官路26號,"22.980598,120.193682",B01,98.0,第六分局,
一般住宅,CRA00180,再興里,臺南市南區再興里6鄰金華路二段184號,"22.97998,120.191501",B01,83.0,第六分局,
一般住宅,CRA00181,再興里,臺南市南區再興里6鄰金華路二段134號,"22.978901,120.191413",B01,83.0,第六分局,
一般住宅,CRA00182,再興里,臺南市南區再興里6鄰金華路二段172號,"22.979759,120.191584",B02,405.0,第六分局,
一般住宅,CRA00183,再興里,臺南市南區再興里4鄰金華路二段90號,"22.977951,120.191342",B01,147.0,第六分局,
一般住宅,CRA00184,再興里,臺南市南區再興里7鄰金華路二段100巷35號,"22.978192,120.192403",B01,444.0,第六分局,
一般住宅,CRA00185,再興里,臺南市南區再興里7鄰金華路二段100巷2號,"22.978085,120.191996",B01,147.0,第六分局,
一般住宅,CRA00186,再興里,臺南市南區再興里11鄰仁慈街27號,"22.978532,120.192947",B01,295.0,第六分局,
一般住宅,CRA00187,再興里,臺南市南區再興里11鄰仁慈街104號,"22.978705,120.19216",B01,97.0,第六分局,
一般住宅,CRA00188,再興里,臺南市南區再興里11鄰仁慈街78號,"22.97869,120.192728",B01,97.0,第六分局,
一般住宅,CRA00189,再興里,臺南市南區再興里11鄰仁慈街100號,"22.978701,120.192257",B01,88.0,第六分局,
一般住宅,CRA00190,再興里,臺南市南區再興里11鄰仁慈街98號,"22.978701,120.192299",B01,88.0,第六分局,
一般住宅,CRA00191,再興里,臺南市南區再興里11鄰仁慈街96號,"22.9787,120.192344",B01,88.0,第六分局,
一般住宅,CRA00192,再興里,臺南市南區再興里11鄰仁慈街94號,"22.978698,120.192387",B01,97.0,第六分局,
一般住宅,CRA00193,再興里,臺南市南區再興里11鄰仁慈街92號,"22.978697,120.19243",B01,97.0,第六分局,
一般住宅,CRA00194,再興里,臺南市南區再興里11鄰仁慈街90號,"22.978698,120.19247",B01,97.0,第六分局,
一般住宅,CRA00195,再興里,臺南市南區再興里11鄰仁慈街88號,"22.978694,120.192518",B01,97.0,第六分局,
一般住宅,CRA00196,再興里,臺南市南區再興里11鄰仁慈街84號,"22.978694,120.192601",B01,97.0,第六分局,
一般住宅,CRA00197,再興里,臺南市南區再興里11鄰仁慈街82號,"22.978694,120.192648",B01,97.0,第六分局,
一般住宅,CRA00198,再興里,臺南市南區再興里11鄰仁慈街80號,"22.978691,120.192695",B01,97.0,第六分局,
一般住宅,CRA00199,再興里,臺南市南區再興里13鄰三官路222巷19號,"22.977754,120.191615",B01,400.0,第六分局,
一般住宅,CRA00200,再興里,臺南市南區再興里12鄰三官路206號,"22.977277,120.192105",B01,147.0,第六分局,
一般住宅,CRA00201,再興里,臺南市南區再興里12鄰三官路216號,"22.977225,120.19189",B01,147.0,第六分局,
一般住宅,CRA00202,再興里,臺南市南區再興里12鄰三官路220號,"22.977221,120.191817",B01,147.0,第六分局,
一般住宅,CRA00203,再興里,臺南市南區再興里7鄰三官路176巷13號,"22.978311,120.192877",B01,147.0,第六分局,
一般住宅,CRA00204,再興里,臺南市南區再興里7鄰三官路176巷11號,"22.978276,120.192876",B01,36.0,第六分局,
一般住宅,CRA00205,再興里,臺南市南區再興里7鄰三官路176巷9號,"22.978261,120.192867",B01,36.0,第六分局,
一般住宅,CRA00206,再興里,臺南市南區再興里7鄰三官路176巷15號,"22.978341,120.192888",B01,36.0,第六分局,
一般住宅,CRA00207,再興里,臺南市南區再興里7鄰三官路176巷7號,"22.978235,120.192859",B01,36.0,第六分局,
一般住宅,CRA00208,再興里,臺南市南區再興里13鄰三官路176巷5弄17號,"22.97764,120.192237",B01,36.0,第六分局,
一般住宅,CRA00209,再興里,臺南市南區再興里13鄰三官路176巷5弄15號,"22.977639,120.192276",B01,36.0,第六分局,
一般住宅,CRA00210,金華里,臺南市南區金華里9鄰慶南街133號,"22.978815,120.189978",B01,34.0,第六分局,
一般住宅,CRA00211,金華里,臺南市南區金華里29鄰新孝路126巷72號,"22.979409,120.187093",B01,75.0,第六分局,
一般住宅,CRA00212,金華里,臺南市南區金華里29鄰新孝路126巷66號,"22.979299,120.18705",B01,75.0,第六分局,
一般住宅,CRA00213,金華里,臺南市南區金華里29鄰新孝路126巷64號,"22.979268,120.187032",B01,75.0,第六分局,
一般住宅,CRA00214,金華里,臺南市南區金華里7鄰新孝路172巷89號,"22.980193,120.185847",B01,72.0,第六分局,
一般住宅,CRA00215,金華里,臺南市南區金華里24鄰新孝路172巷66號,"22.979357,120.185772",B01,72.0,第六分局,
一般住宅,CRA00216,金華里,臺南市南區金華里23鄰新孝路148巷109號,"22.980439,120.186522",B01,92.0,第六分局,
一般住宅,CRA00217,金華里,臺南市南區金華里23鄰新孝路148巷107號,"22.980391,120.186513",B01,73.0,第六分局,
一般住宅,CRA00218,金華里,臺南市南區金華里23鄰新孝路148巷105號,"22.98035,120.186513",B01,73.0,第六分局,
一般住宅,CRA00219,金華里,臺南市南區金華里23鄰新孝路148巷101號,"22.980252,120.186492",B01,77.0,第六分局,
一般住宅,CRA00220,金華里,臺南市南區金華里23鄰新孝路148巷99號,"22.980208,120.186466",B01,73.0,第六分局,
一般住宅,CRA00221,金華里,臺南市南區金華里23鄰新孝路148巷91號,"22.980035,120.186393",B01,77.0,第六分局,
一般住宅,CRA00222,金華里,臺南市南區金華里23鄰新孝路148巷75號,"22.979707,120.186294",B01,77.0,第六分局,
一般住宅,CRA00223,金華里,臺南市南區金華里23鄰新孝路148巷73號,"22.979661,120.186272",B01,77.0,第六分局,
一般住宅,CRA00224,金華里,臺南市南區金華里30鄰新孝路148巷100號,"22.980191,120.18676",B01,77.0,第六分局,
一般住宅,CRA00225,金華里,臺南市南區金華里24鄰新孝路172巷60號,"22.97925,120.185722",B01,77.0,第六分局,
