編號,類別,村里別,地址,避難所在之地下樓層數,可容納人數,轄區分局,經度
61.0,住宅,公民里,臺中市西區公民里23鄰五權路2-101號,1.0,162.0,第一分局,"120.665933 "
62.0,美術皇家大樓,公民里,臺中市西區公民里23鄰五權路2-106號,1.0,4774.0,第一分局,"120.665910 "
63.0,住宅,公民里,臺中市西區公民里23鄰五權路2-97號,1.0,146.0,第一分局,120.6664744
64.0,住宅,公民里,臺中市西區公民里23鄰五權路2-99號,1.0,133.0,第一分局,"120.665933 "
65.0,住宅,公民里,臺中市西區公民里23鄰貴和街212號,1.0,110.0,第一分局,"120.666191 "
66.0,住宅,公民里,臺中市西區公民里25鄰忠勤街72號,1.0,109.0,第一分局,"120.666653 "
67.0,住宅,公民里,臺中市西區公民里26鄰五權路2-138號,1.0,889.0,第一分局,"120.665937 "
68.0,豪爵大飯店,公民里,臺中市西區公民里28鄰五權路1-23號,1.0,632.0,第一分局,"120.665460 "
69.0,住宅,公民里,臺中市西區公民里28鄰五權路1-43號,1.0,368.0,第一分局,"120.665411 "
70.0,住宅,公民里,臺中市西區公民里28鄰五權路1-75號,1.0,430.0,第一分局,"120.665477 "
71.0,住宅,公民里,臺中市西區公民里29鄰五權五街12號,1.0,152.0,第一分局,"120.665128 "
72.0,住宅,公民里,臺中市西區公民里29鄰五權五街2號,1.0,202.0,第一分局,"120.665366 "
73.0,住宅,公民里,臺中市西區公民里29鄰五權五街38號,1.0,2073.0,第一分局,"120.664530 "
74.0,住宅,公民里,臺中市西區公民里2鄰林森路239號,1.0,186.0,第一分局,120.6680597
75.0,住宅,公民里,臺中市西區公民里30鄰五權路2-117號,1.0,1426.0,第一分局,"120.665913 "
76.0,住宅,公民里,臺中市西區公民里五廊街61號,1.0,142.0,第一分局,"120.669337 "
77.0,住宅,公館里,臺中市西區公舘里04柳川東路二段35巷42號,1.0,397.0,第一分局,"120.664968 "
78.0,住宅,公館里,臺中市西區公舘里9鄰南屯路一段31巷15之1號,1.0,152.0,第一分局,"120.666489 "
79.0,住宅,公館里,臺中市西區公館33鄰五權六街1號,1.0,974.0,第一分局,"120.664976 "
80.0,住宅,公館里,臺中市西區公館里02鄰南屯路一段58號,1.0,150.0,第一分局,"120.665978 "
81.0,住宅,公館里,臺中市西區公館里02鄰南屯路一段68巷32號,1.0,180.0,第一分局,"120.665139 "
82.0,住宅,公館里,臺中市西區公館里02鄰樂群街363號,1.0,346.0,第一分局,"120.665839 "
83.0,住宅,公館里,臺中市西區公館里02鄰樂群街381號,1.0,129.0,第一分局,"120.665696 "
84.0,住宅,公館里,臺中市西區公館里10鄰五權路1-191號,1.0,250.0,第一分局,"120.666657 "
85.0,住宅,公館里,臺中市西區公館里10鄰五權路1-192號,1.0,105.0,第一分局,"120.666676 "
86.0,住宅,公館里,臺中市西區公館里10鄰五權路1-193號,1.0,120.0,第一分局,"120.666684 "
87.0,住宅,公館里,臺中市西區公館里10鄰五權路1-201號,1.0,137.0,第一分局,"120.667049 "
