編號,里別,地址,避難所在之地下樓層數,可容納人數,經度,緯度,轄管分局,"unnamed (1)","unnamed (2)","unnamed (3)"
72.0,三義里,臺中市南屯區三義里市政南二路189巷3號,1.0,1715.0,120.6331181,24.1550395,第四分局,,,
73.0,三義里,臺中市南屯區三義里河南路4段261號,1.0,1040.0,120.6343161,24.1544182,第四分局,,,
74.0,三義里,臺中市南屯區三義里河南路四段250號,1.0,656.0,120.6339809,24.1540324,第四分局,,,
75.0,三義里,臺中市南屯區三義里河南路四段330號,1.0,1384.0,120.6341135,24.1532972,第四分局,,,
76.0,三義里,臺中市南屯區三義里河南路四段688號,1.0,2324.0,120.6362954,24.1450576,第四分局,,,
77.0,三義里,臺中市南屯區三義里黎明路2段525號,1.0,158.0,120.6314615,24.1562815,第四分局,,,
78.0,三義里,臺中市南屯區三義里黎明路2段555號,1.0,758.0,120.6304593,24.1578976,第四分局,,,
79.0,三義里,臺中市南屯區三義里黎明路39號,1.0,122.0,120.6330437,24.1480079,第四分局,,,
80.0,三義里,臺中市南屯區三義里黎明路58號,1.0,138.0,120.6320665,24.1553987,第四分局,,,
81.0,三義里,臺中市南屯區三義里黎明路二段42巷261號,1.0,77.0,120.6330249,24.1482516,第四分局,,,
82.0,三義里,臺中市南屯區三義里黎明路二段508號,1.0,2083.0,120.6324542,24.1542963,第四分局,,,
83.0,三義里,臺中市南屯區三義里黎明路二段525號,1.0,399.0,120.6304593,24.1578976,第四分局,,,
84.0,三義里,臺中市南屯區三義里黎明路二段555號,1.0,393.0,120.6313965,24.1580029,第四分局,,,
85.0,三義里,臺中市南屯區三義里黎明路二段561號,1.0,804.0,120.6313965,24.1580029,第四分局,,,
86.0,三義里,臺中市南屯區三義里黎明路二段606巷55弄16號,1.0,1088.0,120.631838,24.1558449,第四分局,,,
87.0,三義里,臺中市南屯區三義里黎明路二段608號,1.0,76.0,120.6321752,24.1559003,第四分局,,,
88.0,三義里,臺中市南屯區三義里黎明路二段658號,1.0,321.0,120.6318104,24.1572805,第四分局,,,
89.0,三義里,臺中市南屯區三義里黎明路二段706號,1.0,100.0,120.6315689,24.1592843,第四分局,,,
90.0,三義里,臺中市南屯區三義里黎明路三段379號,1.0,104.0,120.6325718,24.1509087,第四分局,,,
91.0,大同里,臺中市南屯區大同里大同街52號,1.0,352.0,120.6539862,24.14349303,第四分局,,,
92.0,大同里,臺中市南屯區大同里大同街68號,1.0,435.0,120.6540539,24.14475676,第四分局,,,
93.0,大同里,臺中市南屯區大同里大昌街98號,1.0,671.0,120.6522057,24.14423565,第四分局,,,
94.0,大同里,臺中市南屯區大同里大英街119號,1.0,246.0,120.6485098,24.14432411,第四分局,,,
95.0,大同里,臺中市南屯區大同里大英街14號,1.0,402.0,120.6488437,24.14127845,第四分局,,,
96.0,大同里,臺中市南屯區大同里大英街16號,1.0,188.0,120.6488928,24.14127974,第四分局,,,
97.0,大同里,臺中市南屯區大同里大英街35號,1.0,105.0,120.6487365,24.14233393,第四分局,,,
98.0,大同里,臺中市南屯區大同里大進街11號,1.0,154.0,120.6512024,24.1414495,第四分局,,,
99.0,大同里,臺中市南屯區大同里大進街28號,1.0,384.0,120.6514291,24.14238169,第四分局,,,
100.0,大同里,臺中市南屯區大同里大進街2號,1.0,818.0,120.6514165,24.14145422,第四分局,,,
101.0,大同里,臺中市南屯區大同里大進街3號,1.0,154.0,120.6511886,24.14133197,第四分局,,,
102.0,大同里,臺中市南屯區大同里大進街510號,1.0,71.0,120.6515793,24.15292421,第四分局,,,
103.0,大同里,臺中市南屯區大同里大進街88號,1.0,75.0,120.651447,24.14457418,第四分局,,,
104.0,大同里,臺中市南屯區大同里大進街8號,1.0,66.0,120.6514399,24.14148008,第四分局,,,
105.0,大同里,臺中市南屯區大同里大墩一街165號,1.0,377.0,120.650306,24.13784348,第四分局,,,
106.0,大同里,臺中市南屯區大同里大墩一街197號,1.0,273.0,120.6495234,24.1380064,第四分局,,,
107.0,大同里,臺中市南屯區大同里大墩一街235號,1.0,248.0,120.6485842,24.13800646,第四分局,,,
108.0,大同里,臺中市南屯區大同里大墩一街278號,1.0,2890.0,120.647403,24.13819747,第四分局,,,
109.0,大同里,臺中市南屯區大同里大墩七街11號,1.0,630.0,120.6540496,24.14390952,第四分局,,,
110.0,大同里,臺中市南屯區大同里大墩七街135號,1.0,56.0,120.6514099,24.14392027,第四分局,,,
111.0,大同里,臺中市南屯區大同里大墩七街3號,1.0,522.0,120.6543343,24.14372647,第四分局,,,
112.0,大同里,臺中市南屯區大同里大墩七街5號,1.0,490.0,120.6544534,24.14401492,第四分局,,,
113.0,大同里,臺中市南屯區大同里大墩二街139號,1.0,157.0,120.6502924,24.13901014,第四分局,,,
114.0,大同里,臺中市南屯區大同里大墩二街188號,1.0,229.0,120.648628,24.13924292,第四分局,,,
115.0,大同里,臺中市南屯區大同里大墩二街238號,1.0,175.0,120.6472657,24.13916474,第四分局,,,
116.0,大同里,臺中市南屯區大同里大墩二街28號,1.0,2196.0,120.6534162,24.1392683,第四分局,,,
117.0,大同里,臺中市南屯區大同里大墩二街4號,1.0,1196.0,120.6542942,24.13928053,第四分局,,,
118.0,大同里,臺中市南屯區大同里大墩二街86號,1.0,1435.0,120.651488,24.13918579,第四分局,,,
119.0,大同里,臺中市南屯區大同里大墩二街95號,1.0,94.0,120.6513403,24.13898028,第四分局,,,
120.0,大同里,臺中市南屯區大同里大墩三街15號,1.0,265.0,120.6533311,24.13960584,第四分局,,,
121.0,大同里,臺中市南屯區大同里大墩三街1號,1.0,424.0,120.6535725,24.13956304,第四分局,,,
122.0,大同里,臺中市南屯區大同里大墩三街59號,1.0,306.0,120.6486401,24.13960874,第四分局,,,
123.0,大同里,臺中市南屯區大同里大墩三街80號,1.0,1140.0,120.6514359,24.13978681,第四分局,,,
124.0,大同里,臺中市南屯區大同里大墩五街302號,1.0,434.0,120.648645,24.14217669,第四分局,,,
125.0,大同里,臺中市南屯區大同里大墩五街328號,1.0,225.0,120.6478391,24.14204838,第四分局,,,
126.0,大同里,臺中市南屯區大同里大墩六街107號,1.0,2250.0,120.6518907,24.14280917,第四分局,,,
127.0,大同里,臺中市南屯區大同里大墩六街218號,1.0,240.0,120.649233,24.14295075,第四分局,,,
128.0,大同里,臺中市南屯區大同里大墩六街227號,1.0,214.0,120.6483261,24.14266639,第四分局,,,
129.0,大同里,臺中市南屯區大同里大墩六街230號,1.0,195.0,120.648591,24.14289275,第四分局,,,
130.0,大同里,臺中市南屯區大同里大墩六街245號,1.0,527.0,120.6480904,24.14260809,第四分局,,,
131.0,大同里,臺中市南屯區大同里大墩六街251號,1.0,350.0,120.647923,24.14271245,第四分局,,,
132.0,大同里,臺中市南屯區大同里大墩六街261號,1.0,1122.0,120.6476467,24.14258242,第四分局,,,
133.0,大同里,臺中市南屯區大同里大墩六街350巷61號,1.0,315.0,120.6437692,24.14352108,第四分局,,,
134.0,大同里,臺中市南屯區大同里大墩六街40號,1.0,219.0,120.6538297,24.14302989,第四分局,,,
135.0,大同里,臺中市南屯區大同里大墩六街48號,1.0,813.0,120.6532271,24.14294958,第四分局,,,
136.0,大同里,臺中市南屯區大同里大墩六街90號,1.0,247.0,120.6523393,24.14320577,第四分局,,,
137.0,大同里,臺中市南屯區大同里大墩六街98號,1.0,112.0,120.652268,24.14296025,第四分局,,,
138.0,大同里,臺中市南屯區大同里大墩四街136號,1.0,698.0,120.651826,24.14133153,第四分局,,,
139.0,大同里,臺中市南屯區大同里大墩四街151號,1.0,120.0,120.6511548,24.1410834,第四分局,,,
140.0,大同里,臺中市南屯區大同里大墩四街165號,1.0,191.0,120.6513409,24.14105247,第四分局,,,
141.0,大同里,臺中市南屯區大同里大墩四街261號,1.0,613.0,120.6486583,24.14119327,第四分局,,,
142.0,大同里,臺中市南屯區大同里大墩四街2號,1.0,811.0,120.6544241,24.14109599,第四分局,,,
143.0,大同里,臺中市南屯區大同里大墩四街306號,1.0,327.0,120.6474432,24.14115315,第四分局,,,
144.0,大同里,臺中市南屯區大同里大墩四街326號,1.0,108.0,120.6462662,24.14138692,第四分局,,,
145.0,大同里,臺中市南屯區大同里大墩四街330號,1.0,1115.0,120.6462769,24.14124985,第四分局,,,
146.0,大同里,臺中市南屯區大同里大墩四街340號,1.0,414.0,120.6459835,24.14132273,第四分局,,,
147.0,大同里,臺中市南屯區大同里大墩四街571號,1.0,539.0,120.6391491,24.1432125,第四分局,,,
148.0,大同里,臺中市南屯區大同里大墩四街575號,1.0,269.0,120.6391491,24.1432125,第四分局,,,
149.0,大同里,臺中市南屯區大同里大墩四街65號,1.0,264.0,120.6526957,24.1411247,第四分局,,,
150.0,大同里,臺中市南屯區大同里大墩四街77號,1.0,150.0,120.6523701,24.14112483,第四分局,,,
151.0,大同里,臺中市南屯區大同里大墩西一街18號,1.0,127.0,120.6491075,24.13834536,第四分局,,,
152.0,大同里,臺中市南屯區大同里大墩路170號,1.0,1231.0,120.6500247,24.14131312,第四分局,,,
153.0,大同里,臺中市南屯區大同里大墩路192號,1.0,1023.0,120.6501447,24.14190887,第四分局,,,
154.0,大同里,臺中市南屯區大同里大墩路260號,1.0,1942.0,120.650034,24.14330601,第四分局,,,
155.0,大同里,臺中市南屯區大同里大墩路59號,1.0,167.0,120.6498154,24.13876598,第四分局,,,
156.0,大同里,臺中市南屯區大同里文心南三路20號,1.0,2634.0,120.6536165,24.13386879,第四分局,,,
157.0,大同里,臺中市南屯區大同里文心路一段186號,1.0,2681.0,120.6469334,24.14142449,第四分局,,,
158.0,大同里,臺中市南屯區大同里文心路一段266號,1.0,2437.0,120.6469696,24.14484242,第四分局,,,
159.0,大同里,臺中市南屯區大同里文心路一段382號,1.0,315.0,120.6469429,24.14995267,第四分局,,,
160.0,大同里,臺中市南屯區大同里永春東三街305號,1.0,1179.0,120.6513713,24.13647614,第四分局,,,
161.0,大同里,臺中市南屯區大同里永春東路111號,1.0,249.0,120.6532713,24.13489979,第四分局,,,
162.0,大同里,臺中市南屯區大同里永春東路185號,1.0,528.0,120.6519628,24.13498526,第四分局,,,
163.0,大同里,臺中市南屯區大同里永春東路238號,1.0,2250.0,120.6505881,24.13530251,第四分局,,,
164.0,大同里,臺中市南屯區大同里向上南路301號,1.0,407.0,120.6482377,24.14504569,第四分局,,,
165.0,大同里,臺中市南屯區大同里向上路二段198號,1.0,1140.0,120.6423919,24.14780384,第四分局,,,
166.0,大同里,臺中市南屯區大同里東興西路30號,1.0,232.0,120.6518845,24.13884093,第四分局,,,
167.0,大同里,臺中市南屯區大同里東興西路50號,1.0,359.0,120.6518845,24.13884093,第四分局,,,
168.0,大同里,臺中市南屯區大同里東興東街122號,1.0,1262.0,120.6538115,24.13967085,第四分局,,,
169.0,大同里,臺中市南屯區大同里東興東街44號,1.0,89.0,120.6538561,24.13876824,第四分局,,,
170.0,大同里,臺中市南屯區大同里東興東街61號,1.0,1560.0,120.6536479,24.13841889,第四分局,,,
171.0,大同里,臺中市南屯區大同里東興東街63號,1.0,222.0,120.653558,24.13861192,第四分局,,,
172.0,大同里,臺中市南屯區大同里東興路二段112號,1.0,217.0,120.6531065,24.13946004,第四分局,,,
173.0,大同里,臺中市南屯區大同里東興路二段220號,1.0,831.0,120.6531537,24.14231535,第四分局,,,
174.0,大同里,臺中市南屯區大同里東興路二段227號,1.0,1188.0,120.6528158,24.1426131,第四分局,,,
175.0,大同里,臺中市南屯區大同里東興路二段246號,1.0,3758.0,120.6531463,24.14290326,第四分局,,,
176.0,大同里,臺中市南屯區大同里東興路二段252號,1.0,1306.0,120.6532021,24.14327825,第四分局,,,
177.0,大同里,臺中市南屯區大同里東興路二段271號,1.0,113.0,120.6527443,24.14382243,第四分局,,,
178.0,大同里,臺中市南屯區大同里東興路二段31號,1.0,259.0,120.6528999,24.13731461,第四分局,,,
179.0,大同里,臺中市南屯區大同里東興路二段371號,1.0,2250.0,120.6527356,24.14504958,第四分局,,,
180.0,大同里,臺中市南屯區大同里東興路二段52號,1.0,217.0,120.6532212,24.13738859,第四分局,,,
181.0,大同里,臺中市南屯區大同里東興路三段239號,1.0,136.0,120.6527284,24.15314354,第四分局,,,
182.0,大同里,臺中市南屯區大同里南屯路二段131號,1.0,659.0,120.6515964,24.13615333,第四分局,,,
183.0,大同里,臺中市南屯區大同里南屯路二段9之19號,1.0,896.0,120.64889,24.13673723,第四分局,,,
184.0,大同里,臺中市南屯區大同里精誠路440號,1.0,2245.0,120.6548686,24.14461564,第四分局,,,
185.0,大同里,臺中市南屯區大同里精誠路504號,1.0,96.0,120.6548226,24.14332217,第四分局,,,
186.0,大同里,臺中市南屯區大同里精誠路674號,1.0,178.0,120.6543899,24.13866876,第四分局,,,
187.0,大業里,臺中市南屯區大業里大昌街457號,1.0,58.0,120.6519631,24.1515185,第四分局,,,
188.0,大業里,臺中市南屯區大業里大進街467號,1.0,741.0,120.6511459,24.15207279,第四分局,,,
189.0,大業里,臺中市南屯區大業里大隆路71號,1.0,589.0,120.6530651,24.15621277,第四分局,,,
190.0,大業里,臺中市南屯區大業里大聖街111號,1.0,2947.0,120.6505461,24.14925599,第四分局,,,
191.0,大業里,臺中市南屯區大業里大聖街205號,1.0,820.0,120.6504508,24.1522042,第四分局,,,
192.0,大業里,臺中市南屯區大業里大墩12街116號,1.0,48.0,120.6523483,24.1503137,第四分局,,,
193.0,大業里,臺中市南屯區大業里大墩14街116號,1.0,488.0,120.6525672,24.15266474,第四分局,,,
194.0,大業里,臺中市南屯區大業里大墩14街179號,1.0,493.0,120.6504836,24.15239166,第四分局,,,
195.0,大業里,臺中市南屯區大業里大墩14街190號,1.0,2277.0,120.6503667,24.1526398,第四分局,,,
196.0,大業里,臺中市南屯區大業里大墩十二街156號,1.0,372.0,120.6510864,24.15024298,第四分局,,,
197.0,大業里,臺中市南屯區大業里大墩十八街11號,1.0,59.0,120.6513923,24.15605917,第四分局,,,
198.0,大業里,臺中市南屯區大業里大墩十八街28號,1.0,1109.0,120.6513457,24.15641014,第四分局,,,
199.0,大業里,臺中市南屯區大業里大墩十四街162號,1.0,631.0,120.6509903,24.15268412,第四分局,,,
200.0,大業里,臺中市南屯區大業里大墩路560號,1.0,143.0,120.6499755,24.14967901,第四分局,,,
201.0,大業里,臺中市南屯區大業里大墩路698號,1.0,201.0,120.6501789,24.15246305,第四分局,,,
202.0,大業里,臺中市南屯區大業里大墩路700號,1.0,461.0,120.6497773,24.15259192,第四分局,,,
203.0,大業里,臺中市南屯區大業里大墩路806號,1.0,2370.0,120.6500112,24.15473006,第四分局,,,
204.0,大業里,臺中市南屯區大業里公益路二段51號,1.0,431.0,120.6509713,24.15073627,第四分局,,,
205.0,大業里,臺中市南屯區大業里公益路二段62號,1.0,759.0,120.6509754,24.1511984,第四分局,,,
206.0,大業里,臺中市南屯區大業里東興路三段165號,1.0,269.0,120.6526088,24.15047219,第四分局,,,
207.0,大誠里,臺中市南屯區大誠里大墩二街102號,2.0,401.0,120.651233,24.13921767,第四分局,,,
208.0,大誠里,臺中市南屯區大誠里大墩二街25號,1.0,463.0,120.6535536,24.13903355,第四分局,,,
209.0,大誠里,臺中市南屯區大誠里五權西路二段100號,1.0,1391.0,120.6517617,24.14050785,第四分局,,,
210.0,大誠里,臺中市南屯區大誠里東興路二段113號,1.0,1423.0,120.6529416,24.13942489,第四分局,,,
211.0,大誠里,臺中市南屯區大誠里東興路二段128號,1.0,2969.0,120.6532057,24.13987318,第四分局,,,
212.0,大興里,臺中市南屯區大興里大墩一街65號,1.0,120.0,120.652219,24.137741,第四分局,,,
213.0,大興里,臺中市南屯區大興里大墩路40號,1.0,1267.0,120.650082,24.137764,第四分局,,,
214.0,大興里,臺中市南屯區大興里文心南三路22號,1.0,519.0,120.65333,24.1335,第四分局,,,
215.0,大興里,臺中市南屯區大興里東興東街38號,1.0,66.0,120.653974,24.138223,第四分局,,,
216.0,大興里,臺中市南屯區大興里東興東街46號,1.0,1077.0,120.65403,24.138532,第四分局,,,
217.0,大興里,臺中市南屯區大興里東興路一段497號,1.0,1052.0,120.652953,24.132626,第四分局,,,
218.0,大興里,臺中市南屯區大興里東興路一段513號,1.0,1052.0,120.65292,24.13324,第四分局,,,
219.0,大興里,臺中市南屯區大興里南屯路二段81號,1.0,55.0,120.65285,24.135648,第四分局,,,
220.0,大興里,臺中市南屯區大興里精誠路664號,1.0,410.0,120.654376,24.138791,第四分局,,,
221.0,中和里,臺中市南屯區中和里20鄰中和北一巷1號,1.0,74.0,120.62672,24.11813,第四分局,,,
222.0,中和里,臺中市南屯區中和里20鄰中和北一巷3號,1.0,74.0,120.62676,24.11818,第四分局,,,
223.0,中和里,臺中市南屯區中和里20鄰中和北一巷5號,1.0,74.0,120.62678,24.11819,第四分局,,,
224.0,中和里,臺中市南屯區中和里20鄰中和北一巷7號,1.0,74.0,120.62682,24.11829,第四分局,,,
225.0,中和里,臺中市南屯區中和里文心南六路199號,1.0,1059.0,120.648481,24.130528,第四分局,,,
226.0,文山里,臺中市南屯區文山里文山八街70巷8號,1.0,2661.0,120.615472,24.149998,第四分局,,,
227.0,文山里,臺中市南屯區文山里文山路28號,1.0,1197.0,120.615477,24.149787,第四分局,,,
228.0,文山里,臺中市南屯區文山里文山路52號,1.0,606.0,120.615487,24.149825,第四分局,,,
229.0,文山里,臺中市南屯區文山里文山路68號,1.0,4415.0,120.611605,24.136192,第四分局,,,
230.0,文山里,臺中市南屯區文山里永春東路185號,1.0,1018.0,120.616407,24.151717,第四分局,,,
231.0,文山里,臺中市南屯區文山里永春東路712號,1.0,3778.0,120.608421,24.134754,第四分局,,,
232.0,文山里,臺中市南屯區文山里永春路128號,1.0,248.0,120.587961,24.148209,第四分局,,,
233.0,文山里,臺中市南屯區文山里永春路146號,1.0,248.0,120.611526,24.135864,第四分局,,,
234.0,文山里,臺中市南屯區文山里永春路81號,1.0,1004.0,120.596241,24.142648,第四分局,,,
235.0,文山里,臺中市南屯區文山里向上路五段53號,1.0,1755.0,120.608942,24.134667,第四分局,,,
236.0,文山里,臺中市南屯區文山里忠勇路105號之25,1.0,1180.0,120.593937,24.139679,第四分局,,,
237.0,文山里,臺中市南屯區文山里忠勇路119號,1.0,1180.0,120.6082,24.162057,第四分局,,,
238.0,文山里,臺中市南屯區文山里忠勇路109號,1.0,1038.0,120.608337,24.130716,第四分局,,,
239.0,文山里,臺中市南屯區文山里忠勇路115之6號,1.0,136.0,120.61089,24.129681,第四分局,,,
240.0,文山里,臺中市南屯區文山里忠勇路322號,1.0,893.0,120.607637,24.137986,第四分局,,,
241.0,文山里,臺中市南屯區文山里忠勇路47之26號,1.0,2329.0,120.610589,24.14488,第四分局,,,
242.0,文山里,臺中市南屯區文山里忠勇路52之28號,1.0,393.0,120.610498,24.144618,第四分局,,,
243.0,文山里,臺中市南屯區文山里忠勇路62-3號,1.0,67.0,120.613133,24.148309,第四分局,,,
244.0,文山里,臺中市南屯區文山里忠勇路67之5號,1.0,467.0,120.61265,24.14753,第四分局,,,
245.0,文山里,臺中市南屯區文山里忠勇路71之5號,1.0,1574.0,120.608171,24.131578,第四分局,,,
246.0,文山里,臺中市南屯區文山里忠勇路89巷161弄5號,1.0,895.0,120.614463,24.146843,第四分局,,,
247.0,文山里,臺中市南屯區文山里忠勇路91號之15,1.0,116.0,120.614548,24.147248,第四分局,,,
248.0,文山里,臺中市南屯區文山里忠勇路91號之18,1.0,121.0,120.597706,24.150524,第四分局,,,
249.0,文山里,臺中市南屯區文山里忠勇路91號之19,1.0,116.0,120.598661,24.147749,第四分局,,,
250.0,文山里,臺中市南屯區文山里忠勇路91號之30,1.0,107.0,120.612862,24.146415,第四分局,,,
