類別,電腦編號,村里別,地下樓層數,可容納人數,轄管分局,備註
工廠,A035,烏林里,1,"961 ",龍潭分局,
工廠,A036,聖德里,1,"409 ",龍潭分局,
一般大樓,A037,烏林里,2,4996,龍潭分局,
工廠,A038,烏林里,2,3503,龍潭分局,
一般民宅,B001,龍潭里,"1 ","32 ",龍潭分局,
一般民宅,B002,龍潭里,"1 ","32 ",龍潭分局,
一般民宅,B003,龍潭里,1,"35 ",龍潭分局,
一般大樓,B006,龍潭里,2,"2293 ",龍潭分局,
中華郵局,B007,龍潭里,1,"343 ",龍潭分局,(機敏單位)
一般大樓,B008,中正里,1,"912 ",龍潭分局,
一般大樓,B009,中正里,1,"31 ",龍潭分局,
一般大樓,B011,中正里,2,"985 ",龍潭分局,
一般大樓,B012,中正里,2,"378 ",龍潭分局,
一般大樓,B013,中正里,3,"45 ",龍潭分局,
一般大樓,B015,中正里,"2 ","95 ",龍潭分局,
龍潭高中,B016,中正里,2,"296 ",龍潭分局,
龍潭高中,B017,中正里,1,"67 ",龍潭分局,
龍潭高中,B018,中正里,1,"123 ",龍潭分局,
一般民宅,B019,中正里,1,"896 ",龍潭分局,(機敏單位)
一般大樓,B020,中正里,1,"2285 ",龍潭分局,
一般民宅,B022,中正里,1,"682 ",龍潭分局,(機敏單位)
一般民宅,B024,中山里,2,"30 ",龍潭分局,
一般民宅,B025,中山里,3,"497 ",龍潭分局,
一般民宅,B026,中山里,2,"39 ",龍潭分局,
一般民宅,B027,中山里,3,"48 ",龍潭分局,
一般民宅,B028,中山里,1,"224 ",龍潭分局,
一般民宅,B029,中山里,2,"190 ",龍潭分局,
一般民宅,B030,中山里,1,"42 ",龍潭分局,
一般民宅,B031,中山里,2,"43 ",龍潭分局,
一般民宅,B032,中山里,2,"23 ",龍潭分局,
一般民宅,B033,中山里,2,"23 ",龍潭分局,
一般民宅,B034,中山里,3,"33 ",龍潭分局,
一般民宅,B035,中山里,1,"67 ",龍潭分局,
一般民宅,B036,中山里,1,"38 ",龍潭分局,
一般民宅,B037,中山里,1,"908 ",龍潭分局,(機敏單位)
一般民宅,B038,中山里,1,"43 ",龍潭分局,
一般民宅,B039,中山里,1,"33 ",龍潭分局,
一般民宅,B040,中山里,1,"77 ",龍潭分局,
一般大樓,B041,中山里,1,"1914 ",龍潭分局,
一般民宅,B042,中山里,1,"91 ",龍潭分局,
一般大樓,B043,中山里,1,"2712 ",龍潭分局,
凌雲國中,B044,上林里,1,"611 ",龍潭分局,
一般民宅,B045,中正里,1,"54 ",龍潭分局,
一般民宅,B046,中山里,1,"240 ",龍潭分局,
一般民宅,B047,中山里,1,"5817 ",龍潭分局,
一般民宅,B048,中山里,1,"1704 ",龍潭分局,
龍潭農會,B049,中正里,1,"642 ",龍潭分局,(機敏單位)
一般民宅,B050,龍潭里,1,"556 ",龍潭分局,
一般大樓,B051,龍星里,3,"3457 ",龍潭分局,
一般民宅,B052,上林里,1,"542 ",龍潭分局,
一般民宅,B053,中正里,1,"659 ",龍潭分局,
一般大樓,B054,中山里,1,"4764 ",龍潭分局,
一般大樓,B055,龍星里,2,"2325 ",龍潭分局,
一般大樓,B056,中正里,1,"1196 ",龍潭分局,
一般大樓,B057,中正里,1,"2784 ",龍潭分局,
一般民宅,B058,中山里,1,"350 ",龍潭分局,
一般大樓,B059,中正里,1,"5253 ",龍潭分局,
一般民宅,B060,中山里,1,"602 ",龍潭分局,
龍潭國小,B061,龍潭里,1,"2144 ",龍潭分局,
一般大樓,B062,龍星里,1,"928 ",龍潭分局,
一般民宅,B063,中山里,1,"580 ",龍潭分局,
一般大樓,B064,龍星里,2,"1993 ",龍潭分局,
一般大樓,B065,中山里,1,"1335 ",龍潭分局,
一般大樓,B066,中正里,1,"4023 ",龍潭分局,
一般大樓,B067,中正里,1,"3063 ",龍潭分局,
一般大樓,B068,上華里,2,"1071 ",龍潭分局,
一般大樓,B069,龍星里,2,"1165 ",龍潭分局,
一般大樓,B070,中正里,1,"1165 ",龍潭分局,
一般大樓,B071,中山里,1,"923 ",龍潭分局,
一般大樓,B072,中山里,1,"1960 ",龍潭分局,
龍潭區公所,B073,中山里,1,"5700 ",龍潭分局,
一般民宅,B074,龍星里,1,"142 ",龍潭分局,
一般民宅,B075,龍星里,1,"133 ",龍潭分局,
一般大樓,B076,中山里,1,"1738 ",龍潭分局,
一般大樓,B077,中山里,1,"1299 ",龍潭分局,
一般大樓,B078,中山里,1,"2828 ",龍潭分局,
一般大樓,B079,中正里,1,"1197 ",龍潭分局,
一般大樓,B080,中山里,2,"2001 ",龍潭分局,
一般大樓,B081,中正里,3,5570,龍潭分局,
一般民宅,C001,武漢里,1,"462 ",龍潭分局,
工廠,C002,九龍里,1,"916 ",龍潭分局,
工廠,C003,武漢里,1,"144 ",龍潭分局,
工廠,C004,九龍里,1,"1945 ",龍潭分局,
一般大樓,C005,中興里,2,"1052 ",龍潭分局,
一般大樓,C006,黃唐里,2,"750 ",龍潭分局,
一般大樓,C007,永興里,1,"254 ",龍潭分局,
一般大樓,C008,九龍里,1,"766 ",龍潭分局,
一般大樓,C009,黃唐里,2,"1505 ",龍潭分局,
一般大樓,C010,九龍里,1,"1249 ",龍潭分局,
一般大樓,C011,中興里,3,"2728 ",龍潭分局,
一般大樓,C012,東興里,2,"1578 ",龍潭分局,
工廠,C014,九龍里,1,"852 ",龍潭分局,
一般大樓,C015,東興里,2,"3113 ",龍潭分局,
桃園高爾夫球場,C016,九龍里,1,"569 ",龍潭分局,
一般住宅,C017,永興里,1,"56 ",龍潭分局,
一般大樓,C020,永興里,1,"356 ",龍潭分局,
一般大樓,C023,中興里,1,"632 ",龍潭分局,
工廠,C024,九龍里,1,"901 ",龍潭分局,
工廠,C025,九龍里,1,"288 ",龍潭分局,
工廠,C026,九龍里,1,"118 ",龍潭分局,
工廠,C027,北興里,1,"1355 ",龍潭分局,
一般大樓,C028,祥和里,3,"3241 ",龍潭分局,
工廠,C029,九龍里,1,"76 ",龍潭分局,
一般大樓,C030,黃唐里,2,"1490 ",龍潭分局,
一般大樓,C031,九龍里,1,"934 ",龍潭分局,
一般大樓,C032,九龍里,1,"319 ",龍潭分局,
一般大樓,C033,北興里,2,"5136 ",龍潭分局,
一般大樓,C034,黃唐里,2,"1173 ",龍潭分局,
一般大樓,D001,佳安里,1,"4692 ",龍潭分局,(機敏單位)
一般大樓,D006,建林里,1,"1056 ",龍潭分局,
桃園客家文物館,D007,佳安里,2,"5414 ",龍潭分局,
桃園女子監獄,D008,佳安里,1,"8472 ",龍潭分局,(機敏單位)
三坑國小,D010,三坑里,1,"1008 ",龍潭分局,
一般大樓,D011,大平里,1,"761 ",龍潭分局,桃園市龍潭區大平里芝麻1號  
一般大樓,D012,大平里,2,"40 ",龍潭分局,
一般大樓,D013,大平里,1,"6256 ",龍潭分局,
一般大樓,D014,大平里,2,"855 ",龍潭分局,
一般大樓,D015,大平里,3,"4562 ",龍潭分局,
一般大樓,D016,建林里,1,"3451 ",龍潭分局,
一般住宅,D017,建林里,1,"652 ",龍潭分局,
一般大樓,D018,三林里,1,"876 ",龍潭分局,
石門國中,D020,佳安里,1,"1062 ",龍潭分局,
台北教會,D022,佳安里,1,"1549 ",龍潭分局,"龍潭區佳安里佳安西路4巷101號  "
一般大樓,D023,大平里,1,"2314 ",龍潭分局,
一般大樓,D024,三坑里,1,"1517 ",龍潭分局,
一般大樓,D025,大平里,2,"6413 ",龍潭分局,
一般大樓,D026,三林里,1,"1872 ",龍潭分局,
一般大樓,D027,三林里,2,"4293 ",龍潭分局,
一般住宅,D028,三林里,2,"705 ",龍潭分局,
一般大樓,D029,富林里,2,"11740 ",龍潭分局,桃園市龍潭區富林里民生路141巷150號 
工廠,D030,三林里,1,"254 ",龍潭分局,
一般大樓,D031,大平里,3,"5317 ",龍潭分局,
一般民宅,D032,大平里,1,402,龍潭分局,
工廠,E001,高平里,2,"62 ",龍潭分局,
工廠,E002,高平里,1,"38 ",龍潭分局,
工廠,E003,高平里,1,"76 ",龍潭分局,
工廠,E004,高平里,1,"66 ",龍潭分局,
工廠,E005,高平里,1,"333 ",龍潭分局,
工廠,E007,高平里,1,"42 ",龍潭分局,
工廠,E008,高平里,1,"1600 ",龍潭分局,
工廠,E009,高平里,1,"560 ",龍潭分局,
工廠,E011,高原里,2,"1981 ",龍潭分局,
工廠,E012,高原里,1,"73 ",龍潭分局,
工廠,E013,高平里,1,"374 ",龍潭分局,
工廠,E014,高原里,1,"97 ",龍潭分局,
工廠,E015,高原里,2,"2588 ",龍潭分局,
工廠,E016,高原里,1,"426 ",龍潭分局,
工廠,E017,高原里,1,"457 ",龍潭分局,
工廠,E018,高原里,1,"241 ",龍潭分局,
工廠,E020,高平里,1,"256 ",龍潭分局,
工廠,E021,高原里,1,"449 ",龍潭分局,
工廠,E023,高原里,1,"49 ",龍潭分局,
工廠,E024,高原里,1,"449 ",龍潭分局,
工廠,E025,高平里,1,"226 ",龍潭分局,
工廠,E026,高原里,2,"1358 ",龍潭分局,
工廠,E027,高原里,1,"637 ",龍潭分局,
工廠,E028,高原里,1,"37 ",龍潭分局,
工廠,E029,高原里,1,"65 ",龍潭分局,
工廠,E030,高原里,1,"72 ",龍潭分局,
工廠,E031,高原里,1,"301 ",龍潭分局,
工廠,E035,高原里,1,"280 ",龍潭分局,
工廠,E037,高平里,1,"193 ",龍潭分局,
工廠,E038,高原里,2,"1133 ",龍潭分局,
工廠,E039,高原里,2,"2889 ",龍潭分局,
高原國小,E040,高原里,2,"537 ",龍潭分局,
工廠,E041,高原里,1,"12714 ",龍潭分局,
工廠,E042,高原里,2,"378 ",龍潭分局,
新生醫護專科學校,E043,高平里,1,"11793 ",龍潭分局,
新生醫護專科學校,E044,高平里,2,"2755 ",龍潭分局,
台灣石油公司,E045,高平里,1,"79 ",龍潭分局,(機敏單位)
新生醫護專科學校,E046,高平里,1,"388 ",龍潭分局,
工廠,E047,高原里,1,"5017 ",龍潭分局,
工廠,F001,三和里,2,39779,龍潭分局,
工廠,F003,三水里,1,98,龍潭分局,
工廠,F004,三和里,1,68,龍潭分局,
工廠,F005,三和里,1,20,龍潭分局,(機敏單位)
工廠,F006,三和里,1,86,龍潭分局,
工廠,F008,三和里,1,169,龍潭分局,
工廠,F009,三和里,1,241,龍潭分局,
工廠,F010,三和里,2,8411,龍潭分局,
工廠,F011,三和里,2,18227,龍潭分局,"桃園市龍潭區三和里華映路1號 "
工廠,F012,三和里,2,8346,龍潭分局,
工廠,F013,三和里,2,1031,龍潭分局,
諾瓦國小,F014,三和里,1,"996 ",龍潭分局,
工廠,E048,高原里,1,664,龍潭分局,
工廠,A039,烏林里,1,1631,龍潭分局,
一般大樓,A040,八德里,2,1532,龍潭分局,
一般大樓,B082,上林里,2,581,龍潭分局,
一般民宅,B083,中正里,1,198,龍潭分局,
工廠,B084,中山里,2,246,龍潭分局,
一般大樓,D033,佳安里,1,3269,龍潭分局,
