類別,編號,里別,防空避難設備地址,Location,地下層數位址,可容納人數,備註
一般建築,D0146,協和里,高雄市鳳山區協和里自治街15巷57號,"22.625142,120.351789",1,755.0,
一般建築,D0147,協和里,高雄市鳳山區協和里自治街75巷11號,"22.623277,120.351234",1,3527.0,
一般建築,D0148,協和里,高雄市鳳山區協和里青年路1段59號,"22.620501,120.348793",1,3700.0,
一般建築,D0149,協和里,高雄市鳳山區協和里青年路一段262巷26號,"22.623819,120.351192",1,3503.0,
一般建築,D0150,協和里,高雄市鳳山區協和里青年路一段262巷35號,"22.624202,120.351857",1,1805.0,
一般建築,D0151,協和里,高雄市鳳山區協和里國泰路2段156號,"22.621065,120.347247",1,10223.0,
一般建築,D0152,協和里,高雄市鳳山區協和里新富路373號,"22.614944,120.347465",1,1372.0,
一般建築,D0153,協和里,高雄市鳳山區協和里新富路389號,"22.616326,120.348466",1,1373.0,
一般建築,D0154,和德里,高雄市鳳山區和德里6鄰和德街33號,"22.619897,120.361019",2,3793.0,
一般建築,D0155,和德里,高雄市鳳山區和德里8鄰和德街28號,"22.619612,120.360595",2,2842.0,
一般建築,D0156,和德里,高雄市鳳山區和德里大東二路145號,"22.618352,120.358521",1,1020.0,
一般建築,D0157,和德里,高雄市鳳山區和德里光華東路100號,"22.617149,120.358728",1,1827.0,
一般建築,D0158,和德里,高雄市鳳山區和德里光華路69號,"22.620757,120.353294",1,1538.0,
一般建築,D0159,和德里,高雄市鳳山區和德里和興街106號,"22.616107,120.354951",1,1731.0,
一般建築,D0160,和興里,高雄市鳳山區和興里5鄰五甲一路11之1號,"22.621855,120.358537",3,1200.0,
一般建築,D0161,和興里,高雄市鳳山區和興里大東二路112號,"22.618687,120.358529",1,495.0,
一般建築,D0162,和興里,高雄市鳳山區和興里松江街43之1號,"22.619285,120.357291",1,862.0,
一般建築,D0163,忠孝里,高雄市鳳山區忠孝里文建街107號,"22.632272,120.347001",1,2090.0,
一般建築,D0164,忠孝里,高雄市鳳山區忠孝里光復路2段130號,"22.629892,120.345723",1,164.0,
一般建築,D0165,忠孝里,高雄市鳳山區忠孝里光復路2段150巷12號,"22.631104,120.34318",1,263.0,
一般建築,D0166,忠孝里,高雄市鳳山區忠孝里光復路2段186之1號,"22.630042,120.341955",1,469.0,
一般建築,D0167,忠孝里,高雄市鳳山區忠孝里光復路2段188號,"22.629694,120.341858",1,469.0,
一般建築,D0168,忠孝里,高雄市鳳山區忠孝里光復路2段254號,"22.629593,120.340202",1,488.0,
一般建築,D0169,忠孝里,高雄市鳳山區忠孝里光復路2段339之6號,"22.629382,120.340891",1,1981.0,
一般建築,D0170,忠孝里,高雄市鳳山區忠孝里光復路65號,"22.62929065,120.347730040117",1,1245.0,
一般建築,D0171,忠孝里,高雄市鳳山區忠孝里光復路65號,"22.629289634571524, 120.34772578260977",1,735.0,
一般建築,D0172,忠孝里,高雄市鳳山區忠孝里青年路2段358號,"22.641522,120.351408",2,1821.0,
一般建築,D0173,忠孝里,高雄市鳳山區忠孝里青年路2段588巷5號,"22.646625,120.34913",1,771.0,
一般建築,D0174,忠孝里,高雄市鳳山區忠孝里青年路二段89號,"22.630785,120.349",1,733.0,
一般建築,D0175,忠義里,高雄市鳳山區忠義里中山西路141號,"22.62723,120.351392",1,433.0,
一般建築,D0176,忠義里,高雄市鳳山區忠義里中山西路262號,"22.628238,120.345161",1,423.0,
一般建築,D0177,忠義里,高雄市鳳山區忠義里中山西路316號,"22.628518,120.343109",1,410.0,
一般建築,D0178,忠義里,高雄市鳳山區忠義里光復路2段243號,"22.62932,120.343301",1,332.0,
一般建築,D0179,忠義里,高雄市鳳山區忠義里信義街209之3號,"22.626747,120.350671",1,157.0,
一般建築,D0180,忠義里,高雄市鳳山區忠義里信義街215號,"22.627096,120.350488",1,192.0,
一般建築,D0181,忠誠里,高雄市鳳山區忠誠里鳳北路192巷31號,"22.64395546,120.36777761662",1,1556.0,
一般建築,D0182,忠誠里,高雄市鳳山區忠誠里鳳北路192巷47號,"22.64395445,120.367776672346",1,1928.0,
一般建築,D0183,忠誠里,高雄市鳳山區忠誠里鳳松路25巷20號,"22.633337,120.360063",1,2373.0,
一般建築,D0184,忠誠里,高雄市鳳山區忠誠里鳳松路25巷7號,"22.63276,120.360749",1,328.0,
一般建築,D0185,東門里,高雄市鳳山區東門里中山東路159號,"22.6234,120.368049",1,846.0,
一般建築,D0186,東門里,高雄市鳳山區東門里中山東路192巷170號,"22.623823,120.379006",2,3144.0,
一般建築,D0187,東門里,高雄市鳳山區東門里中山東路227號,"22.625285,120.372009",1,1165.0,
一般建築,D0188,東門里,高雄市鳳山區東門里中山東路227號,"22.625291654369427, 120.37201676705077",,135.0,
一般建築,D0189,東門里,高雄市鳳山區東門里中山東路60之3號,"22.6237,120.370223",1,743.0,
一般建築,D0190,東門里,高雄市鳳山區東門里中山東路86之2號,"22.624276,120.371939",1,2907.0,
一般建築,D0191,東門里,高雄市鳳山區東門里鳳林路89之25號,"22.62248504,120.373620237701",1,1361.0,
一般建築,D0192,武漢里,高雄市鳳山區武漢里大明路242號,"22.612204,120.341586",1,1614.0,
一般建築,D0193,武漢里,高雄市鳳山區武漢里武慶二路56巷18號,"22.611101,120.33393",1,1866.0,
一般建築,D0194,武漢里,高雄市鳳山區武漢里武慶二路56巷2號之2,"22.61117,120.333274",2,4000.0,
一般建築,D0195,武漢里,高雄市鳳山區武漢里武營路241號,"22.611183,120.337199",1,393.0,1101+1099
一般建築,D0196,武漢里,高雄市鳳山區武漢里新甲路43號,"22.611122,120.335317",1,4348.0,
一般建築,D0197,武漢里,高雄市鳳山區武漢里新甲路89號,"22.611846,120.335239",1,2120.0,
一般建築,D0198,武慶里,高雄市鳳山區武慶里漢慶街82巷2號,"22.613506,120.335134",1,1595.0,
一般建築,D0199,保安里,高雄市鳳山區保安里鳳甲二街101號,"22.597038,120.344106",2,2809.0,
一般建築,D0200,保安里,高雄市鳳山區保安里鳳甲二街182號,"22.597351,120.345657",1,3944.0,
一般建築,D0201,保安里,高雄市鳳山區保安里鳳甲路536號,"22.598431,120.345986",1,4686.0,
一般建築,D0202,保安里,高雄市鳳山區保安里鳳甲路539號,"22.598262,120.34567",1,10311.0,
一般建築,D0203,南成里,高雄市鳳山區南成里天興街21號,"22.593865,120.33018",1,199.0,
一般建築,D0204,南成里,高雄市鳳山區南成里林森路120號,"22.593464,120.333197",1,232.0,
一般建築,D0205,南成里,高雄市鳳山區南成里林森路139巷46號,"22.594425,120.333656",1,2335.0,
一般建築,D0206,南成里,高雄市鳳山區南成里林森路141號,"22.593971,120.333192",1,392.0,
一般建築,D0207,南成里,高雄市鳳山區南成里南和街118之7號,"22.593513,120.335564",1,1506.0,
一般建築,D0208,南成里,高雄市鳳山區南成里國慶九街186號,"22.588701,120.339399",3,8503.0,
一般建築,D0209,南和里,高雄市鳳山區南和里21鄰南光街239號,"22.596523,120.335173",1,3468.0,
一般建築,D0210,南和里,高雄市鳳山區南和里南安路6之1號,"22.588065,120.325484",1,801.0,
一般建築,D0211,南和里,高雄市鳳山區南和里南江街44號,"22.600375,120.337061",1,932.0,
一般建築,D0212,南和里,高雄市鳳山區南和里南和街101號,"22.59422063,120.335305996095",1,877.0,
一般建築,D0213,南和里,高雄市鳳山區南和里南和街118巷50號,"22.59350809,120.335528315478",1,4569.0,
一般建築,D0214,南和里,高雄市鳳山區南和里南和街122之20號,"22.593077,120.335883",1,1344.0,
一般建築,D0215,南和里,高雄市鳳山區南和里南昌街55號,"22.603997,120.340127",1,2154.0,
一般建築,D0216,南興里,高雄市鳳山區南興里大東一路127號,"22.621832,120.361172",1,339.0,
一般建築,D0217,南興里,高雄市鳳山區南興里中山路34巷37之2號,"22.62096474,120.361263101534",1,412.0,
一般建築,D0218,南興里,高雄市鳳山區南興里中山路70巷10號等,"22.622177,120.359922",1,278.0,
一般建築,D0219,海洋里,高雄市鳳山區海洋里南福街107號,"22.611511,120.346008",2,2088.0,
一般建築,D0220,海洋里,高雄市鳳山區海洋里南福街33號,"22.610284,120.347641",1,2164.0,
一般建築,D0221,海洋里,高雄市鳳山區海洋里海洋一路69號,"22.610008,120.34331",1,2133.0,
一般建築,D0222,海洋里,高雄市鳳山區海洋里海洋一路9號,"22.609902,120.342073",1,88.0,
一般建築,D0223,海洋里,高雄市鳳山區海洋里海洋二路157巷37號,"22.61353,120.347827",1,202.0,
一般建築,D0224,國光里,高雄市鳳山區國光里國泰路2段136號,"22.620476,120.347948",1,4267.0,
一般建築,D0225,國光里,高雄市鳳山區國光里國泰路一段288號,"22.615953,120.354502",1,2864.0,
一般建築,D0226,國光里,高雄市鳳山區國光里新富路600號,"22.616085,120.349107",1,9446.0,
一般建築,D0227,國泰里,高雄市鳳山區國泰里21鄰凱旋路256號,"22.613413,120.349378",2,685.0,
一般建築,D0228,國泰里,高雄市鳳山區國泰里五甲一路364號,"22.612848,120.35072",1,263.0,
一般建築,D0229,國泰里,高雄市鳳山區國泰里五甲一路370號,"22.612663,120.350621",1,109.0,
一般建築,D0230,國泰里,高雄市鳳山區國泰里五甲二路391號,"22.597625,120.335599",1,370.0,
一般建築,D0231,國泰里,高雄市鳳山區國泰里五甲二路470號,"22.597747,120.335198",1,384.0,
一般建築,D0232,國泰里,高雄市鳳山區國泰里五甲二路496號,"22.59709,120.334171",1,457.0,
一般建築,D0233,國泰里,高雄市鳳山區國泰里五甲二路565巷69號,"22.594676,120.332184",1,1390.0,
一般建築,D0234,國泰里,高雄市鳳山區國泰里凱旋路224號,"22.613085,120.350151",2,4043.0,
一般建築,D0235,國隆里,高雄市鳳山區國隆里南何街21號,"22.618621,120.34674",1,1216.0,
一般建築,D0236,國隆里,高雄市鳳山區國隆里南京路136號,"22.609538,120.345761",3,1556.0,
一般建築,D0237,國隆里,高雄市鳳山區國隆里南京路188號,"22.610842,120.345789",1,2022.0,
一般建築,D0238,國隆里,高雄市鳳山區國隆里南京路393巷28號,"22.615041,120.344352",2,1746.0,
一般建築,D0239,國隆里,高雄市鳳山區國隆里南京路421巷19號,"22.615278,120.34464",2,647.0,
一般建築,D0240,埤頂里,高雄市鳳山區埤頂里埤頂46之1號,"22.626763,120.374033",1,913.0,
一般建築,D0241,埤頂里,高雄市鳳山區埤頂里埤頂街49-2號,"22.62991564,120.380574236799",1,942.0,
一般建築,D0242,埤頂里,高雄市鳳山區埤頂里埤頂街55號,"22.63002745,120.38050421756",1,1092.0,
一般建築,D0243,曹公里,高雄市鳳山區曹公里17鄰曹公路111號,"22.630184,120.357229",1,231.0,
一般建築,D0244,曹公里,高雄市鳳山區曹公里中正路229號,"22.629997,120.360465",3,1195.0,
一般建築,D0245,曹公里,高雄市鳳山區曹公里協和路17號,"22.630322,120.358632",1,2781.0,
一般建築,D0246,曹公里,高雄市鳳山區曹公里曹公路15號,"22.626512,120.357253",1,865.0,
一般建築,D0247,曹公里,高雄市鳳山區曹公里曹公路21號,"22.626757,120.357173",1,860.0,
一般建築,D0248,曹公里,高雄市鳳山區曹公里曹公路25號,"22.627538,120.357105",2,1110.0,
一般建築,D0249,曹公里,高雄市鳳山區曹公里曹公路36巷2號,"22.629937,120.357637",1,516.0,
一般建築,D0250,曹公里,高雄市鳳山區曹公里曹公路55之1號,"22.628765,120.356899",1,930.0,
一般建築,D0251,善美里,高雄市鳳山區善美里保泰路308號,"22.6021,120.333754",4,1622.0,
一般建築,D0252,善美里,高雄市鳳山區善美里善美路1號,"22.600318,120.334177",2,1581.0,
一般建築,D0253,富甲里,高雄市鳳山區富甲里五甲二路472號,"22.597584,120.334907",1,1369.0,
一般建築,D0254,富甲里,高雄市鳳山區富甲里保泰路154號,"22.60041343,120.330387809496",1,1062.0,
一般建築,D0255,富甲里,高雄市鳳山區富甲里保泰路292號,"22.60182,120.333097",1,1618.0,
一般建築,D0256,富甲里,高雄市鳳山區富甲里南正一路42號,"22.595049,120.33684",1,1774.0,
一般建築,D0257,富甲里,高雄市鳳山區富甲里南正一路48巷12號,"22.595389,120.33721",1,1372.0,
一般建築,D0258,富甲里,高雄市鳳山區富甲里南正一路48巷23號,"22.595627,120.337138",1,1878.0,
一般建築,D0259,富甲里,高雄市鳳山區富甲里南正一路48巷8之1號,"22.595317,120.337093",1,1272.0,
一般建築,D0260,富甲里,高雄市鳳山區富甲里南正一路76號,"22.595963,120.336111",1,2346.0,
一般建築,D0261,富甲里,高雄市鳳山區富甲里南正二路150巷44號,"22.59933404,120.331112681836",1,1564.0,
一般建築,D0262,富甲里,高雄市鳳山區富甲里華興街37號,"22.603287,120.336795",1,1806.0,
