電腦編號,類別,村里,地址,地下層數,容量,轄管所別,備註
ＨＰＡ00070,李綜合醫院,客庄里,苗栗縣苑裡鎮客庄里24鄰中華路137號,1.0,752,苑裡所,
ＨＰＡ00071,公寓,通西里,苗栗縣通霄鎮通西里7鄰中正路74號,1.0,213,通霄所,
ＨＰＡ00072,公寓,通西里,苗栗縣通霄鎮通西里7鄰中正路72號,1.0,200,通霄所,
ＨＰＡ00073,公寓,通南里,苗栗縣通霄鎮通南里通南47號,1.0,74,通霄所,
ＨＰＡ00075,公寓,通西里,苗栗縣通霄鎮通西里1鄰信義路193號,1.0,1061,通霄所,
ＨＰＡ00076,公寓,客庒里,苗栗縣苑裡鎮客庒里13鄰新興路6號,1.0,205,苑裡所,
ＨＰＡ00077,台電-通霄發電廠,通西里,苗栗縣通霄鎮通西里33鄰海濱路1-31號,1.0,320,通霄所,
ＨＰＡ00078,公寓,山腳里,苗栗縣苑裡鎮山腳里19鄰錦山62-1號,1.0,8,山腳所,
ＨＰＡ00079,苗栗縣立苑裡完全中學,客庒里,苗栗縣苑裡鎮客庒里24鄰新興路19號,1.0,246,苑裡所,
ＨＰＡ00080,苑裡鎮立托兒所,舊社里,苗栗縣苑裡鎮舊社里10鄰舊社110-1號,1.0,716,山腳所,
ＨＰＡ00081,苑裡鎮聯合活動中心,苑北里,苗栗縣苑裡鎮苑北里13鄰中山路312號,1.0,520,苑裡所,
