建築物名稱,村里別,地址,經緯度,地下樓層數,可容納人數,轄管分局,編號,備註,placemark_address
東元塑膠工廠,崙前村,"雲林縣崙背鄉崙前村大利街28號  ","23.75208, 120.34807",1.0,175.0,西螺分局,578.0,,"東元塑膠工廠 雲林縣崙背鄉崙前村大利街28號"
金樹塑膠工業公司,崙前村,"雲林縣崙背鄉崙前村大利街29號  ","23.75247, 120.34834",1.0,78.0,西螺分局,579.0,,"金樹塑膠工業公司 雲林縣崙背鄉崙前村大利街29號"
雲林縣政府,港後村,雲林縣二崙鄉港後村太平路1-2號,"23.81396, 120.39501",1.0,224.0,西螺分局,580.0,,"雲林縣政府 雲林縣二崙鄉港後村太平路1-2號"
文興國小,新豐里,"雲林縣西螺鎮新豐里新社路259號  ","23.78363, 120.44621",1.0,375.0,西螺分局,581.0,,"文興國小 雲林縣西螺鎮新豐里新社路259號"
雲林基督教醫院,新豐里,"雲林縣西螺鎮新豐里市場南路375號  ","23.78363, 120.44633",1.0,3930.0,西螺分局,582.0,"雲林基督教醫院行政樓1797人、醫療大樓284人、總務樓1849人(西螺鎮新豐里市場南路371號 )","雲林基督教醫院 雲林縣西螺鎮新豐里市場南路375號"
文興國小,新豐里,"雲林縣西螺鎮新豐里新社路257號  ","23.78801, 120.44463",1.0,259.0,西螺分局,583.0,,"文興國小 雲林縣西螺鎮新豐里新社路257號"
西螺鎮果菜市場,漢光里,"雲林縣西螺鎮漢光里建興路101號  ","23.79609, 120.45887",1.0,152.0,西螺分局,584.0,,"西螺鎮果菜市場 雲林縣西螺鎮漢光里建興路101號"
滿固泠藏工廠,福田里,雲林縣西螺鎮福田里社口68-21號,"23.78913, 120.4336",1.0,36.0,西螺分局,585.0,,"滿固泠藏工廠 雲林縣西螺鎮福田里社口68-21號"
金農米公司,福田里,雲林縣西螺鎮福田里社口68-20號,"23.78913, 120.4336",1.0,84.0,西螺分局,586.0,,"金農米公司 雲林縣西螺鎮福田里社口68-20號"
鋐嶸金屬工業公司,福田里,雲林縣西螺鎮福田里社口68-18號,"23.78913, 120.4336",1.0,111.0,西螺分局,587.0,,"鋐嶸金屬工業公司 雲林縣西螺鎮福田里社口68-18號"
,福興里,"雲林縣西螺鎮福興里修文路87巷3號  ","23.80308, 120.46312",1.0,209.0,西螺分局,588.0,,"一般住宅 雲林縣西螺鎮福興里修文路87巷3號"
,福興里,"雲林縣西螺鎮福興里修文路87巷5號  ","23.80308, 120.46312",1.0,209.0,西螺分局,589.0,,"一般住宅 雲林縣西螺鎮福興里修文路87巷5號"
西螺中央市場,福興里,"雲林縣西螺鎮福興里建興路248號  ","23.80045, 120.45937",1.0,1284.0,西螺分局,590.0,,"西螺中央市場 雲林縣西螺鎮福興里建興路248號"
育仁醫院,福興里,"雲林縣西螺鎮福興里延平路162號  ","23.80139, 120.46095",1.0,418.0,西螺分局,591.0,,"育仁醫院 雲林縣西螺鎮福興里延平路162號"
,廣福里,雲林縣西螺鎮廣福里廣興路180號,"23.79387, 120.46522",1.0,937.0,西螺分局,592.0,,"一般住宅 雲林縣西螺鎮廣福里廣興路180號"
西螺鎮公所,廣福里,"雲林縣西螺鎮廣福里光復西路20號  ","23.79793, 120.4655",1.0,620.0,西螺分局,593.0,,"西螺鎮公所 雲林縣西螺鎮廣福里光復西路20號"
中山國小,廣福里,"雲林縣西螺鎮廣福里新街路2號  ","23.79464, 120.46534",1.0,1318.0,西螺分局,594.0,,"中山國小 雲林縣西螺鎮廣福里新街路2號"
廣興國小,廣興里,雲林縣西螺鎮廣興里廣興59號,"23.7664, 120.45867",1.0,81.0,西螺分局,595.0,,"廣興國小 雲林縣西螺鎮廣興里廣興59號"
慈惠寺,港尾村,"雲林縣崙背鄉港尾村港尾48號  ","23.74847, 120.37528",1.0,421.0,西螺分局,596.0,,"慈惠寺 雲林縣崙背鄉港尾村港尾48號"
皇宮大旅社,羅厝村,"雲林縣崙背鄉羅厝村東興247號  ","23.75673, 120.36906",1.0,41.0,西螺分局,597.0,,"皇宮大旅社 雲林縣崙背鄉羅厝村東興247號"
