類別,建築物名稱,電腦編號,村里別,地址,緯經度,地下樓層數,可容納人數,備註
學校,大業國中,MNA00068,安業里,嘉義市東區安業里大業街57號,"23.46246,120.45408",1.0,73.0,
學校,輔仁中學,MNA00069,安業里,嘉義市東區安業里吳鳳南路270號,"23.46068,120.45704",1.0,611.0,
一般建築,大業市場,MNA00070,安業里,嘉義市東區安業里大業街168號,"23.46228,120.4523",1.0,610.0,
一般建築,,MNA00071,安業里,嘉義市東區安業里大業街106巷27號,"23.46316,120.45273",1.0,40.0,
一般建築,,MNA00072,安業里,嘉義市東區安業里大業街106巷29號,"23.4632,120.45272",1.0,40.0,
學校,大業國中,MNA00073,安業里,嘉義市東區安業里大業街57號,"23.46246,120.45408",1.0,81.0,
學校,大業國中,MNA00074,安業里,嘉義市東區安業里大業街57號,"23.46246,120.45408",1.0,1791.0,
學校,立仁高中,MNA00075,頂寮里,嘉義市東區頂寮里立仁路235號,"23.4631,120.45928",1.0,810.0,
學校,立仁高中,MNA00076,頂寮里,嘉義市東區頂寮里立仁路235號,"23.4631,120.45928",1.0,240.0,
一般建築,南門教會,MNA00077,安寮里,嘉義市東區安寮里吳鳳南路547巷25號,"23.46099,120.45922",1.0,57.0,
學校,立仁高中,MNA00078,頂寮里,嘉義市東區頂寮里立仁路235號,"23.4631,120.45928",1.0,284.0,
一般建築,,MNA00079,安寮里,嘉義市東區安寮里吳鳳南路411號,"23.46315,120.45601",1.0,31.0,
一般建築,,MNA00080,安寮里,嘉義市東區安寮里吳鳳南路413號,"23.46311,120.45604",1.0,20.0,
學校,立仁高中,MNA00081,頂寮里,嘉義市東區頂寮里立仁路235號,"23.4631,120.45928",1.0,205.0,
公寓大廈,碧富邑大樓,MNA00082,安寮里,嘉義市東區安寮里吳鳳南路547巷6號,"23.46031,120.45812",1.0,475.0,
公寓大廈,中興伍福大樓,MNA00084,頂寮里,嘉義市東區頂寮里吳鳳南路365巷76弄17號,"23.46378,120.45761",1.0,1345.0,
學校,興安國小,MNA00091,興安里,嘉義市東區興安里興美六路2號,"23.4592813, 120.4556327",1.0,51.0,
學校,興安國小,MNA00092,興安里,嘉義市東區興安里興美六路2號,"23.4594708, 120.4544927",1.0,878.0,
公寓大廈,桃源映象,MNA00093,興仁里,嘉義市東區興仁里興仁街79號,"23.45755,120.46252",1.0,1108.0,
公寓大廈,和興國宅,MNA00094,興仁里,嘉義市東區興仁里軍輝路91巷72號,"23.45547, 120.46127",1.0,486.0,
公寓大廈,長堤市大樓,MNA00095,興仁里,嘉義市東區興仁里興仁街38巷1號,"23.45782,120.4636",1.0,2741.0,
公寓大廈,靜園小築,MNA00096,興仁里,嘉義市東區興仁里軍輝路18號,"23.4562,120.46454",1.0,191.0,
一般建築,,MNA000968,過溝里,嘉義市東區過溝里康樂街56號,"23.47524,120.45219",1.0,21.0,
公有建築,水利署第五河川局,MNA00098,興仁里,嘉義市東區興仁里親水路123號,"23.45789,120.46101",1.0,303.0,
一般建築,,MNA00099,興仁里,嘉義市東區興仁里吳鳳南路621巷49弄25號,"23.45672,120.4603",1.0,43.0,
一般建築,,MNA00100,興仁里,嘉義市東區興仁里吳鳳南路621巷49弄27號,"23.45675,120.46029",1.0,43.0,
一般建築,,MNA00272,林森里,嘉義市東區林森里民權路180號,"23.48333,120.4557",1.0,20.0,
學校,嘉義大學附屬小學,MNA00273,林森里,嘉義市東區林森里林森東路46號,"23.48625,120.45588",1.0,17.0,
一般建築,,MNA00274,林森里,嘉義市東區林森里民權路182號,"23.48333,120.45565",1.0,50.0,
一般建築,,MNA00275,林森里,嘉義市東區林森里共和路344號,"23.48449,120.45482",1.0,33.0,
學校,嘉義大學附屬小學,MNA00276,林森里,嘉義市東區林森里林森東路46號,"23.48625,120.45588",1.0,74.0,
學校,嘉義大學附屬小學,MNA00277,林森里,嘉義市東區林森里林森東路47號,"23.48677,120.45525",1.0,75.0,
學校,嘉義大學附屬小學,MNA00278,林森里,嘉義市東區林森里林森東路48號,"23.48667,120.45626",1.0,68.0,
一般建築,,MNA00279,林森里,嘉義市東區林森里長榮街84號,"23.48424,120.45507",1.0,21.0,
一般建築,,MNA00280,林森里,嘉義市東區林森里長榮街86號,"23.48424,120.45502",1.0,23.0,
一般建築,,MNA00281,林森里,嘉義市東區林森里長榮街88號,"23.48423,120.45499",1.0,23.0,
一般建築,,MNA00282,林森里,嘉義市東區林森里長榮街90號,"23.48423,120.45494",1.0,23.0,
一般建築,,MNA00283,林森里,嘉義市東區林森里長榮街90號之1,"23.48423,120.4549",1.0,23.0,
一般建築,,MNA00284,林森里,嘉義市東區林森里共和路330號,"23.48422,120.45485",1.0,21.0,
一般建築,,MNA00285,林森里,嘉義市東區林森里長榮街76號,"23.48427,120.45526",1.0,13.0,
一般建築,,MNA00286,林森里,嘉義市東區林森里長榮街78號,"23.48427,120.45522",1.0,13.0,
一般建築,,MNA00287,林森里,嘉義市東區林森里長榮街82號,"23.48425,120.45514",1.0,56.0,
學校,嘉義大學附屬小學,MNA00291,林森里,嘉義市東區林森里林森東路46號,"23.48625,120.45588",1.0,72.0,
公有建築,公路總局五工處,MNA00292,林森里,嘉義市東區林森里安和街209號,"23.48586,120.45661",1.0,81.0,
大樓,,MNA00293,林森里,嘉義市東區林森里民權路176號,"23.48338,120.45577",1.0,154.0,
大樓,,MNA00294,林森里,嘉義市東區林森里林森東路65號,"23.48681,120.45577",1.0,180.0,
大樓,,MNA00295,林森里,嘉義市東區林森里長榮街89號,"23.48414,120.45518",1.0,144.0,
一般建築,,MNA00296,林森里,嘉義市東區林森里長榮街35號,"23.48433,120.45666",1.0,24.0,
一般建築,,MNA00297,林森里,嘉義市東區林森里長榮街35號之1,"23.48432,120.45662",1.0,23.0,
一般建築,,MNA00298,林森里,嘉義市東區林森里長榮街35號之2,"23.48432,120.45658",1.0,50.0,
一般建築,,MNA00299,林森里,嘉義市東區林森里長榮街25號,"23.4843,120.45694",1.0,64.0,
一般建築,,MNA00300,林森里,嘉義市東區林森里安和街193號,"23.484,120.45729",1.0,14.0,
一般建築,,MNA00301,林森里,嘉義市東區林森里安和街185號,"23.48373,120.45732",1.0,23.0,
一般建築,,MNA00302,林森里,嘉義市東區林森里安和街187號,"23.48378,120.45732",1.0,26.0,
一般建築,,MNA00303,林森里,嘉義市東區林森里安和街195號,"23.48408,120.45728",1.0,23.0,
一般建築,,MNA00304,林森里,嘉義市東區林森里民權路156號,"23.4834,120.45626",1.0,53.0,
一般建築,,MNA00305,林森里,嘉義市東區林森里民權路138號,"23.48348,120.45684",1.0,31.0,
一般建築,,MNA00306,林森里,嘉義市東區林森里長榮街38號,"23.48446,120.45684",1.0,16.0,
一般建築,,MNA00307,林森里,嘉義市東區林森里長榮街36號,"23.48446,120.45688",1.0,34.0,
一般建築,,MNA00308,林森里,嘉義市東區林森里長榮街34號,"23.48447,120.45693",1.0,16.0,
一般建築,,MNA00309,林森里,嘉義市東區林森里長榮街32號,"23.48448,120.45699",1.0,28.0,
大樓,,MNA00310,林森里,嘉義市東區林森里和平路262號,"23.48415,120.45596",1.0,230.0,
一般建築,,MNA00311,北門里,嘉義市東區北門里吳鳳北路278號,"23.48307,120.4525",1.0,23.0,
一般建築,,MNA00312,北門里,嘉義市東區北門里吳鳳北路345號,"23.48328,120.45224",1.0,42.0,
一般建築,,MNA00314,北門里,嘉義市東區北門里民權路236號,"23.48301,120.45326",1.0,14.0,
大樓,,MNA00315,北門里,嘉義市東區北門里民權路300號,"23.48268,120.45152",1.0,321.0,
一般建築,,MNA00316,北門里,嘉義市東區北門里成仁街234號,"23.48325,120.45109",1.0,23.0,
一般建築,,MNA00317,北門里,嘉義市東區北門里成仁街234號之1,"23.48329,120.45108",1.0,20.0,
一般建築,,MNA00318,北門里,嘉義市東區北門里民權路298巷1號之7,"23.48304,120.45144",1.0,21.0,
一般建築,,MNA00319,北門里,嘉義市東區北門里民權路298巷1號之8,"23.48301,120.45144",1.0,21.0,
一般建築,,MNA00320,北門里,嘉義市東區北門里民權路298巷1號之9,"23.48298,120.45145",1.0,21.0,
一般建築,,MNA00321,北門里,嘉義市東區北門里民權路298巷1號之10,"23.48294,120.45146",1.0,21.0,
一般建築,,MNA00322,北門里,嘉義市東區北門里民權路298巷1號之11,"23.48291,120.45147",1.0,23.0,
一般建築,,MNA00324,北門里,嘉義市東區北門里成仁街228號之4,"23.48292,120.45126",1.0,17.0,
一般建築,,MNA00325,北門里,嘉義市東區北門里成仁街228號之5,"23.48294,120.45118",1.0,17.0,
一般建築,,MNA00326,北門里,嘉義市東區北門里成仁街230號,"23.48299,120.45116",1.0,16.0,
一般建築,,MNA00327,北門里,嘉義市東區北門里長榮街191號之1,"23.48358,120.45152",1.0,20.0,
一般建築,,MNA00328,北門里,嘉義市東區北門里長榮街191號之3,"23.48356,120.45145",1.0,20.0,
一般建築,,MNA00329,北門里,嘉義市東區北門里長榮街191號之4,"23.48356,120.45141",1.0,20.0,
一般建築,,MNA00330,北門里,嘉義市東區北門里北門街71號之15,"23.48423,120.45108",1.0,21.0,
大樓,,MNA00331,北門里,嘉義市東區北門里吳鳳北路304號,"23.48363,120.45245",1.0,260.0,
大樓,,MNA00332,北門里,嘉義市東區北門里吳鳳北路373號,"23.48388,120.45216",1.0,96.0,
大樓,凱旋大樓,MNA00333,北門里,嘉義市東區北門里民權路278號,"23.48286,120.45182",1.0,261.0,
一般建築,,MNA00334,北門里,嘉義市東區北門里長榮街145號之2,"23.48393,120.45341",1.0,46.0,
一般建築,,MNA00335,北門里,嘉義市東區北門里北門街71號之12,"23.48425,120.4512",1.0,16.0,
一般建築,,MNA00336,北門里,嘉義市東區北門里北門街71號,"23.48431,120.45157",1.0,77.0,
一般建築,,MNA00337,北門里,嘉義市東區北門里北門街71號之4,"23.48427,120.45138",1.0,13.0,
一般建築,,MNA00338,北門里,嘉義市東區北門里北門街71號之3,"23.48428,120.45143",1.0,16.0,
一般建築,,MNA00339,北門里,嘉義市東區北門里北門街71號之2,"23.48429,120.45148",1.0,16.0,
一般建築,,MNA00340,北門里,嘉義市東區北門里北門街71號之1,"23.4843,120.45152",1.0,16.0,
一般建築,,MNA00341,北門里,嘉義市東區北門里北門街71號之14,"23.48423,120.45112",1.0,36.0,
一般建築,,MNA00343,北門里,嘉義市東區北門里吳鳳北路282號,"23.48321,120.45249",1.0,43.0,
大樓,,MNA00344,北門里,嘉義市東區北門里民權路244號,"23.48297,120.45306",1.0,222.0,
一般建築,,MNA00345,北門里,嘉義市東區北門里成仁街236號,"23.48339,120.45106",1.0,70.0,
大樓,,MNA00346,北門里,嘉義市東區北門里長榮街165號,"23.4838,120.45272",1.0,102.0,
一般建築,,MNA00347,北門里,嘉義市東區北門里吳鳳北路286號,"23.48329,120.45248",1.0,43.0,
大樓,,MNA00348,北門里,嘉義市東區北門里長榮街172號之2,"23.48361,120.45119",1.0,180.0,
大樓,福音大樓,MNA00349,北門里,嘉義市東區北門里吳鳳北路389號,"23.48421,120.45215",1.0,281.0,
一般建築,,MNA00351,北門里,嘉義市東區北門里忠孝路239號,"23.48437,120.45361",1.0,10.0,
一般建築,,MNA00352,北門里,嘉義市東區北門里林森西路7巷19號,"23.48542,120.45249",1.0,53.0,
一般建築,,MNA00353,北門里,嘉義市東區北門里吳鳳北路310號,"23.48388,120.45242",1.0,23.0,
一般建築,,MNA00355,北門里,嘉義市東區北門里林森西路23號,"23.48523,120.4516",1.0,16.0,
一般建築,,MNA00356,北門里,嘉義市東區北門里林森西路25號,"23.48521,120.45157",1.0,16.0,
一般建築,,MNA00357,北門里,嘉義市東區北門里林森西路27號,"23.4852,120.45153",1.0,16.0,
一般建築,,MNA00358,北門里,嘉義市東區北門里林森西路29號,"23.48519,120.45149",1.0,23.0,
一般建築,,MNA00359,北門里,嘉義市東區北門里林森西路31號,"23.48517,120.45146",1.0,22.0,
一般建築,,MNA00362,北門里,嘉義市東區北門里北門街54號,"23.4844,120.45138",1.0,61.0,
一般建築,,MNA00363,北門里,嘉義市東區北門里北門街58號,"23.48438,120.45129",1.0,61.0,
一般建築,,MNA00367,北門里,嘉義市東區北門里北門街39號,"23.48455,120.45287",1.0,43.0,
一般建築,,MNA00368,北門里,嘉義市東區北門里吳鳳北路360號,"23.48514,120.4523",1.0,14.0,
大樓,,MNA00369,北門里,嘉義市東區北門里吳鳳北路364號,"23.48522,120.45229",1.0,129.0,
學校,育志幼兒園,MNA00370,北門里,嘉義市東區北門里長榮街142號,"23.48399,120.4529",1.0,345.0,
公有建築,嘉義林區管理處,MNA00374,北門里,嘉義市東區北門里林森西路1號,"23.4855,120.45316",1.0,103.0,
一般建築,,MNA00376,中央里,嘉義市東區中央里興中街154號,"23.48089,120.45096",1.0,63.0,
一般建築,,MNA00377,中央里,嘉義市東區中央里興中街160巷1號,"23.48117,120.45082",1.0,40.0,
一般建築,,MNA00378,中央里,嘉義市東區中央里民權路361號,"23.48233,120.45079",1.0,36.0,
大樓,,MNA00379,中央里,嘉義市東區中央里北榮街4巷6號,"23.48224,120.45235",1.0,106.0,
大樓,,MNA00380,中央里,嘉義市東區中央里吳鳳北路305號,"23.4821,120.45252",1.0,96.0,
一般建築,,MNA00381,中央里,嘉義市東區中央里中山路174號,"23.48129,120.45247",1.0,12.0,
一般建築,,MNA00383,中央里,嘉義市東區中央里成仁街218號,"23.48204,120.45151",1.0,8.0,
一般建築,,MNA00384,中央里,嘉義市東區中央里成仁街220巷1號,"23.48219,120.45166",1.0,31.0,
一般建築,,MNA00385,中央里,嘉義市東區中央里吳鳳北路299號,"23.48186,120.4526",1.0,27.0,
一般建築,,MNA00387,中央里,嘉義市東區中央里北榮街30號,"23.48183,120.45186",1.0,26.0,
一般建築,,MNA00388,中央里,嘉義市東區中央里中山路176巷10號,"23.48153,120.45234",1.0,13.0,
一般建築,,MNA00389,中央里,嘉義市東區中央里中山路176巷8號,"23.4815,120.45235",1.0,23.0,
一般建築,,MNA00390,中央里,嘉義市東區中央里中山路176巷12號,"23.48157,120.45234",1.0,14.0,
一般建築,,MNA00391,中央里,嘉義市東區中央里北榮街12巷11號之1,"23.48231,120.45187",1.0,21.0,
一般建築,,MNA00392,中央里,嘉義市東區中央里北榮街12巷9號,"23.48227,120.45183",1.0,21.0,
一般建築,,MNA00393,中央里,嘉義市東區中央里民權路331號,"23.48258,120.45172",1.0,26.0,
醫院,陽明醫院,MNA00394,中央里,嘉義市東區中央里民權路315號,"23.48265,120.45208",1.0,73.0,
一般建築,,MNA00395,中央里,嘉義市東區中央里中山路172號,"23.4813,120.4525",1.0,66.0,
大樓,,MNA00396,中央里,嘉義市東區中央里中山路214號,"23.48089,120.45156",1.0,86.0,
大樓,,MNA00397,中央里,嘉義市東區中央里中山路216號,"23.48087,120.4515",1.0,105.0,
大樓,,MNA00398,中央里,嘉義市東區中央里成仁街207巷3號,"23.48111,120.4514",1.0,324.0,
一般建築,,MNA00399,中央里,嘉義市東區中央里成仁街192號之1,"23.48124,120.4519",1.0,31.0,
一般建築,,MNA00400,中央里,嘉義市東區中央里成仁街226號,"23.48241,120.45134",1.0,75.0,
一般建築,,MNA00401,中央里,嘉義市東區中央里公明路362號,"23.47986,120.45182",1.0,13.0,
一般建築,,MNA00402,中央里,嘉義市東區中央里公明路384號,"23.47989,120.45104",1.0,8.0,
一般建築,,MNA00403,中央里,嘉義市東區中央里文化路186號,"23.4802,120.44963",1.0,26.0,
一般建築,,MNA00404,中央里,嘉義市東區中央里文化路218號,"23.48074,120.4495",1.0,23.0,
一般建築,,MNA00405,中央里,嘉義市東區中央里中山路237號,"23.4807,120.45169",1.0,3.0,
一般建築,,MNA00406,中央里,嘉義市東區中央里中山路241號,"23.48065,120.45158",1.0,6.0,
一般建築,,MNA00407,中央里,嘉義市東區中央里中山路243號,"23.48065,120.45158",1.0,6.0,
一般建築,,MNA00408,中央里,嘉義市東區中央里中山路253號,"23.4805,120.45134",1.0,31.0,
一般建築,,MNA00409,中央里,嘉義市東區中央里中山路234號,"23.48062,120.45096",1.0,23.0,
一般建築,,MNA00410,中央里,嘉義市東區中央里中山路264號,"23.48026,120.45012",1.0,55.0,
一般建築,,MNA00411,中央里,嘉義市東區中央里中山路266號,"23.48024,120.45008",1.0,16.0,
大樓,,MNA00412,中央里,嘉義市東區中央里中山路270號,"23.48022,120.45003",1.0,123.0,
一般建築,,MNA00413,中央里,嘉義市東區中央里中山路272號,"23.4802,120.44997",1.0,40.0,
一般建築,,MNA00414,中央里,嘉義市東區中央里中山路274號,"23.48017,120.44993",1.0,40.0,
學校,吳鳳幼稚園,MNA00416,中央里,嘉義市東區中央里中山路260號,"23.48033,120.45026",1.0,173.0,
大樓,,MNA00418,中央里,嘉義市東區中央里成仁街181號,"23.48026,120.45202",1.0,93.0,
大樓,,MNA00420,中央里,嘉義市東區中央里中山路262號,"23.48029,120.45018",1.0,195.0,
一般建築,,MNA00421,中央里,嘉義市東區中央里成仁街179號,"23.48019,120.45203",1.0,17.0,
一般建築,,MNA00422,中央里,嘉義市東區中央里公明路418號,"23.47995,120.45012",1.0,44.0,
一般建築,,MNA00423,中央里,嘉義市東區中央里公明路368號,"23.47986,120.4517",1.0,43.0,
一般建築,,MNA00424,中央里,嘉義市東區中央里中山路233號,"23.48074,120.45177",1.0,37.0,
一般建築,,MNA00426,中央里,嘉義市東區中央里成仁街191號,"23.4805,120.452",1.0,24.0,
大樓,,MNA00428,中央里,嘉義市東區中央里興中街148號,"23.4802,120.45119",1.0,101.0,
一般建築,,MNA00431,中央里,嘉義市東區中央里中山路282號,"23.48013,120.44981",1.0,77.0,
一般建築,,MNA00432,中央里,嘉義市東區中央里中山路284號,"23.48012,120.44978",1.0,44.0,
一般建築,,MNA00433,中央里,嘉義市東區中央里興中街138號,"23.48,120.45121",1.0,22.0,
大樓,,MNA00435,中央里,嘉義市東區中央里中山路293號,"23.48006,120.45023",1.0,137.0,
一般建築,,MNA00436,中央里,嘉義市東區中央里中山路242號,"23.48056,120.45081",1.0,76.0,
一般建築,,MNA00438,中央里,嘉義市東區中央里興中街137號,"23.48022,120.45107",1.0,71.0,
一般建築,,MNA00439,中央里,嘉義市東區中央里中山路280號,"23.48014,120.44985",1.0,77.0,
大樓,兄弟大樓,MNA00440,中央里,嘉義市東區中央里中山路271號,"23.48032,120.45081",1.0,270.0,
一般建築,,MNA00442,中央里,嘉義市東區中央里公明路374號,"23.47988,120.45141",1.0,67.0,
大樓,,MNA00443,中央里,嘉義市東區中央里公明路376號,"23.47989,120.45136",1.0,112.0,
大樓,,MNA00444,中央里,嘉義市東區中央里興中街152號,"23.48031,120.45116",1.0,203.0,
一般建築,,MNA00445,中央里,嘉義市東區中央里北榮街91號,"23.48092,120.44965",1.0,72.0,
公寓大廈,長春世家,MNA00446,中央里,嘉義市東區中央里公明路372號,"23.47987,120.45159",1.0,428.0,
大樓,,MNA00447,中央里,嘉義市東區中央里中山路263號,"23.48041,120.45102",1.0,114.0,
公寓大廈,美街大樓,MNA00448,中央里,嘉義市東區中央里成仁街171號,"23.48009,120.45202",1.0,389.0,
一般建築,,MNA00449,北門里,嘉義市東區北門里成仁街271號,"23.4837,120.45087",1.0,26.0,
一般建築,,MNA00450,北門里,嘉義市東區北門里興中街169號,"23.48273,120.45001",1.0,40.0,
一般建築,,MNA00451,北門里,嘉義市東區北門里興中街200號,"23.4836,120.44991",1.0,20.0,
一般建築,,MNA00452,北門里,嘉義市東區北門里文化路236號,"23.48239,120.44911",1.0,22.0,
一般建築,,MNA00453,北門里,嘉義市東區北門里北門街76號,"23.48425,120.45065",1.0,20.0,
一般建築,,MNA00454,北門里,嘉義市東區北門里北門街78號,"23.48424,120.4506",1.0,16.0,
一般建築,,MNA00455,北門里,嘉義市東區北門里北門街78號之1,"23.48423,120.45056",1.0,16.0,
一般建築,,MNA00456,北門里,嘉義市東區北門里北門街78號之2,"23.48422,120.45052",1.0,16.0,
一般建築,,MNA00457,北門里,嘉義市東區北門里興中街186號,"23.48298,120.45004",1.0,20.0,
一般建築,,MNA00458,北門里,嘉義市東區北門里成仁街261號,"23.48291,120.45106",1.0,12.0,
一般建築,,MNA00459,北門里,嘉義市東區北門里文化路256號之2,"23.48264,120.44926",1.0,14.0,
一般建築,,MNA00460,北門里,嘉義市東區北門里文化路256號之3,"23.48264,120.44926",1.0,16.0,
一般建築,,MNA00461,北門里,嘉義市東區北門里林森西路89號,"23.48455,120.44988",1.0,33.0,
一般建築,,MNA00462,北門里,嘉義市東區北門里林森西路93號,"23.48452,120.44979",1.0,21.0,
一般建築,,MNA00463,北門里,嘉義市東區北門里林森西路91號,"23.48454,120.44984",1.0,23.0,
一般建築,,MNA00464,北門里,嘉義市東區北門里北門街109號,"23.4839,120.44938",1.0,17.0,
一般建築,,MNA00465,北門里,嘉義市東區北門里北門街111號,"23.48389,120.44934",1.0,22.0,
大樓,,MNA00466,北門里,嘉義市東區北門里北門街89號,"23.48403,120.45008",1.0,103.0,
一般建築,,MNA00467,北門里,嘉義市東區北門里興中街198號,"23.48354,120.44993",1.0,24.0,
一般建築,,MNA00468,北門里,嘉義市東區北門里文化路242號,"23.48246,120.44909",1.0,50.0,
一般建築,,MNA00469,北門里,嘉義市東區北門里民權路318號,"23.48248,120.45049",1.0,27.0,
一般建築,,MNA00470,北門里,嘉義市東區北門里民權路322號,"23.48246,120.45035",1.0,57.0,
一般建築,,MNA00471,北門里,嘉義市東區北門里民權路322號之1,"23.48245,120.4503",1.0,57.0,
一般建築,,MNA00472,北門里,嘉義市東區北門里文化路294號,"23.48372,120.44882",1.0,76.0,
大樓,,MNA00473,北門里,嘉義市東區北門里興中街206號,"23.48377,120.44987",1.0,94.0,
大樓,,MNA00474,北門里,嘉義市東區北門里民權路352號,"23.48229,120.44943",1.0,104.0,
一般建築,,MNA00475,北門里,嘉義市東區北門里民權路322號之2,"23.48245,120.45027",1.0,60.0,
公有建築,檢驗局台南分局嘉義辦事處,MNA00476,北門里,嘉義市東區北門里民權路312號,"23.48253,120.4507",1.0,131.0,
公有建築,嘉義就業服務站,MNA00477,北門里,嘉義市東區北門里北門街92號,"23.48403,120.44957",1.0,36.0,
一般住宅,,MNA00478,北門里,嘉義市東區北門里成仁街255號,"23.48279,120.45109",1.0,26.0,
一般建築,,MNA00480,北門里,嘉義市東區北門里文化路238號,"23.48242,120.4491",1.0,107.0,
公有建築,北門聯合里辦公處,MNA00481,北門里,嘉義市東區北門里興中街185號之1,"23.48351,120.44982",1.0,137.0,
一般建築,,MNA00482,北門里,嘉義市東區北門里民權路332巷38號,"23.48256,120.44941",1.0,61.0,
一般建築,,MNA00483,北門里,嘉義市東區北門里長榮街180號,"23.48354,120.45077",1.0,57.0,
一般建築,,MNA00484,北門里,嘉義市東區北門里成仁街269號之1,"23.48358,120.45093",1.0,180.0,
一般建築,,MNA00485,北門里,嘉義市東區北門里長榮街186號,"23.48352,120.45065",1.0,56.0,
一般建築,,MNA00486,北門里,嘉義市東區北門里興中街190號,"23.48311,120.45002",1.0,38.0,
大樓,,MNA00487,北門里,嘉義市東區北門里興中街192號,"23.48315,120.45001",1.0,133.0,
大樓,,MNA00488,北門里,嘉義市東區北門里北門街119號之3,"23.48384,120.44904",1.0,88.0,
