電腦編號,建築物名稱,里別,緯度,經度,避難樓層,容量,轄管分局,備註
A0145,湧光禪寺,湧光里,24.893988,121.206129,B1,1426.0,平鎮分局,
A0146,三秀吉錦社區,湧安里,24.893722,121.203584,B1B2,1003.0,平鎮分局,
A0147,進化論社區,平安里,24.917783,121.210045,B1B2B3,1598.0,平鎮分局,
A0148,大清新世界社區,金星里,24.913491,121.20499,B1B2B3,2172.0,平鎮分局,
A0149,正旻工業股份有限公司負責人,平南里,24.908512,121.206559,B1,962.0,平鎮分局,
A0150,宜雄丰賦社區,平安里,24.921555,121.211393,B1B2,1869.0,平鎮分局,
A0151,誼山精機股份有限公司,平南里,24.907865,121.209326,B1,1764.0,平鎮分局,
A0152,厚陞禾社區,平鎮里,24.927679,121.196785,B1,801.0,平鎮分局,
A0153,寶欣里安社區,福林里,24.903123,121.215542,B1B2,1538.0,平鎮分局,
A0154,中華精測科技(股)公司,湧豐里,24.903853,121.199954,B1B2,6641.0,平鎮分局,
A0155,淘堡社區,鎮興里,24.902873,121.192252,B1B2,382.0,平鎮分局,
A0156,凱琦工業股份有限公司,鎮興里,24.921677,121.19259,B1,1047.0,平鎮分局,
A0157,威諾那社區,平南里,24.911289,121.20916,B1B2,2747.0,平鎮分局,
A0158,桃園市立圖書館山子頂圖書分館,莊敬里,24.901365,121.213244,B1,328.0,平鎮分局,
A0159,宜誠禾雅社區,湧安里,24.890586,121.202892,B1,636.0,平鎮分局,
A0160,鼎藏璞悅社區,莊敬里,24.903108,121.215262,B1B2,4157.0,平鎮分局,
A0161,宜雄丰疆社區,平安里,24.92089,121.211178,B1B2B3,1790.0,平鎮分局,
A0162,君品社區,金星里,24.916242,121.207643,B1B2,676.0,平鎮分局,
A0163,平鎮一號社會住宅,平南里,24.890586,121.202892,B1B2,1205.0,平鎮分局,
A0164,心擎天,湧豐里,24.900468,121.208582,B1B2,2043.0,平鎮分局,
A0165,大金囍一期,平安里,24.920327,121.20777,B1B2,764.0,平鎮分局,
A0166,大金囍二期社區,平安里,24.919653,121.20885,B1,404.0,平鎮分局,
B0002,私人住宅,義興里,24.951406,121.211205,B1,487.0,平鎮分局,
B0005,南山人壽大樓,復興里,24.955782,121.206726,B1B2,309.0,平鎮分局,
B0006,平鎮郵局,平鎮郵局,,,B1,597.0,平鎮分局,
B0008,金華社區,平興里,24.950501,121.214263,B1B2,1088.0,平鎮分局,
B0011,新竹物流,宋屋里,24.930882,121.1962,B1,98.0,平鎮分局,
B0014,瀧澤科技,宋屋里,24.930509,121.197163,B1,2068.0,平鎮分局,
B0015,元隆(力)汽車,宋屋里,24.931757,121.197195,B1,2543.0,平鎮分局,
B0017,私人住宅,復興里,24.954967,121.20339,B1,181.0,平鎮分局,
B0018,茉莉園社區,復旦里,24.949554,121.202026,B1,214.0,平鎮分局,
B0025,私人住宅,義興里,24.949251,121.211816,B1,125.0,平鎮分局,
B0026,曼哈頓社區,廣興里,24.951171,121.214052,B1B2,55.0,平鎮分局,
B0027,泛亞公司,廣仁里,24.937911,121.202669,B1,84.0,平鎮分局,
B0029,民宅,復興里,24.952526,121.203436,B1,54.0,平鎮分局,
B0030,文化國小,復興里,24.953189,121.203324,B1,2086.0,平鎮分局,
B0031,名門家園社區,復興里,24.953238,121.205186,B1,101.0,平鎮分局,
B0032,麗芝寶社區,平興里,24.945195,121.202535,B1B2,1113.0,平鎮分局,
B0040,私人住宅,義興里,24.95171,121.209892,B1,384.0,平鎮分局,
B0041,誠鴻有限公司,廣達里,24.952206,121.206994,B1,135.0,平鎮分局,
B0042,私人民宅,廣達里,24.952307,121.206948,B1,92.0,平鎮分局,
B0044,和陽汽車材料,義民里,24.945623,121.208823,B1,228.0,平鎮分局,
B0045,中新捲門材料行,廣達里,24.940254,121.221496,B1,53.0,平鎮分局,
B0047,名揚社區,復興里,24.956593,121.206636,B1B2,691.0,平鎮分局,
B0048,復旦中學,復旦里,24.94838,121.203094,B1,212.0,平鎮分局,
B0049,生活特區社區,廣興里,24.953264,121.212361,B1,717.0,平鎮分局,
B0053,私人住宅,義興里,24.950093,121.210724,B1,97.0,平鎮分局,
B0056,新光公司,廣仁里,24.937911,121.202669,B1,575.0,平鎮分局,
B0057,華廈,廣仁里,24.939611,121.206037,B1,601.0,平鎮分局,
B0060,天文公司,義民里,24.941012,121.210077,B1,423.0,平鎮分局,
B0061,中華郵政高雙郵局,高雙里,,,B1,3436.0,平鎮分局,
B0062,武田華廈,復旦里,24.950309,121.202431,B1,713.0,平鎮分局,
B0063,全航華廈,復興里,24.953862,121.205208,B1,111.0,平鎮分局,
B0064,永冠天廈社區,復旦里,24.953923,121.202835,B1,613.0,平鎮分局,
B0065,春虹大地社區,平興里,24.944238,121.201134,B1,343.0,平鎮分局,
B0067,文化宮園,復旦里,24.942274,121.190871,B1B2,6738.0,平鎮分局,
B0068,福運物流(股)公司,雙連里,24.959711,121.182225,B1,2666.0,平鎮分局,
B0069,育達高中,廣達里,24.951907,121.209573,B1,823.0,平鎮分局,
B0072,甜蜜家園社區,義民里,24.947799,121.204172,B1,282.0,平鎮分局,
B0073,采邑建設,復興里,24.950624,121.205221,B1,125.0,平鎮分局,
B0075,順林桂冠社區,廣興里,24.953852,121.21369,B1,1989.0,平鎮分局,
B0076,文化翰林社區,復興里,24.952889,121.205318,B1,278.0,平鎮分局,
B0077,長堤康橋社區,義民里,24.948065,121.203941,B1B2,706.0,平鎮分局,
B0078,城市之光社區,復旦里,24.956868,121.202697,B1B2B3,1691.0,平鎮分局,
B0079,宋俊宏婦幼醫院,廣達里,24.956885,121.203366,B1B2,878.0,平鎮分局,
B0080,春虹麗晶社區,義民里,24.944254,121.208994,B1B2B3,2032.0,平鎮分局,
B0081,士盛配管材料,復興里,24.953297,121.206477,B1,312.0,平鎮分局,
B0082,時代廣場社區,義興里,24.9501,121.213887,B1B2,2206.0,平鎮分局,
B0083,萬芳鵝肉,廣達里,24.956451,121.209197,B1,24.0,平鎮分局,
B0084,貳輪嶼,廣達里,24.956463,121.209252,B1,24.0,平鎮分局,
B0086,米蘭花園社區,復興里,24.951428,121.205236,B1,972.0,平鎮分局,
B0091,雲能百貨行-彭子君,廣達里,24.951816,121.2069,B1,63.0,平鎮分局,
B0096,名人居社區-葉思頡,義民里,24.946519,121.203441,B1B2,536.0,平鎮分局,
B0097,巴黎春天社區-張溢盛,平興里,24.942452,121.205775,B1B2B3,3034.0,平鎮分局,
B0098,春園藝術廣場社區-劉子興,復旦里,24.94715,121.201342,B1B2,1797.0,平鎮分局,
B0099,秉坤婦幼醫院-洪秉坤,義興里,24.948194,121.211437,B1B2,698.0,平鎮分局,
B0100,澤苑聖宅NO.6社區,復興里,24.956387,121.204596,B1B2,1120.0,平鎮分局,
B0102,私人住宅,平興里,24.94433,121.204526,B1,329.0,平鎮分局,
B0103,私人住宅,平興里,24.94433,121.204526,B1,366.0,平鎮分局,
B0104,文化帝寶透天社區,復旦里,24.955494,121.202915,B1,2492.0,平鎮分局,
B0105,私人住宅,廣達里,24.957052,121.207658,B1,133.0,平鎮分局,
B0106,群都2期社區,復興里,24.956414,121.204381,B1B2,380.0,平鎮分局,
B0107,極光社區-方正豪,義興里,24.950771,121.216427,B1B2B3B4,1049.0,平鎮分局,
B0108,城上水美社區,義民里,24.950255,121.21414,B1B2B3,1393.0,平鎮分局,
B0109,崇義七賢社區,平興里,24.944403,121.205588,B1B2,3263.0,平鎮分局,
B0110,六和高中,雙連里,24.945228,121.185949,B1,4104.0,平鎮分局,
B0111,鴻築吾江社區,廣興里,24.950324,121.213796,B1B2B3,2871.0,平鎮分局,
B0112,極品套房,雙連里,24.965628,121.188105,B1,588.0,平鎮分局,
B0113,大通宗教用品百貨,高雙里,24.956758,121.197231,B1,198.0,平鎮分局,
B0114,櫻花樸心匯社區,平興里,24.943693,121.201179,B1B2B3,1348.0,平鎮分局,
B0115,玉山社區-林秀玲,廣達里,24.956757,121.207647,B1B2B3B4B5,1854.0,平鎮分局,
B0116,天籟社區-游坤能,高雙里,24.956344,121.190068,B1B2B3,1038.0,平鎮分局,
B0117,壢新醫院-黃忠智,義民里,24.947184,121.206039,B1,290.0,平鎮分局,
B0118,三揚精品商旅,復興里,24.957091,121.204376,B1B2,417.0,平鎮分局,
B0119,合作金庫,廣達里,,,B1B2B3B4,455.0,平鎮分局,
B0120,易家大禾社區,平興里,24.943463,121.2042322,B1B2B3,1074.0,平鎮分局,
B0121,宜誠恆美社區,義民里,24.946854,121.207624,B1B2B3,1438.0,平鎮分局,
B0122,瑞旭奕居社區,義民里,24.946991,121.208125,B1B2,636.0,平鎮分局,
B0123,慕光社區,廣達里,24.95631,121.20798,B1B2B3B4,494.0,平鎮分局,
B0124,易家寬禾社區,宋屋里,24.942643,121.204026,B1B2,602.0,平鎮分局,
B0125,復旦上苑社區,義興里,24.947532,121.209186,B1B2,514.0,平鎮分局,
B0127,立益紡織股份有限公司,雙連里,24.963209,121.187077,B1,32.0,平鎮分局,
B0128,鉑晶悦社區,義興里,24.948657,121.208156,B1B2,1078.0,平鎮分局,
B0129,茂捷雲禮社區,宋屋里,24.943668,121.203228,B1B2B3,2888.0,平鎮分局,
B0130,央大麗景社區,高雙里,24.95831,121.191716,B1B2B3,1454.0,平鎮分局,
B0131,天之驕子社區,復旦里,24.951493,121.201977,B1B2,1079.0,平鎮分局,
B0132,早安小米社區,廣興里,24.952763,121.213805,B1B2,656.0,平鎮分局,
B0133,華廈,雙連里,24.955811,121.188438,B1,476.0,平鎮分局,
B0134,易家豐禾社區,宋屋里,24.942975,121.203945,B1B2,1649.0,平鎮分局,
B0135,立益紡織股份有限公司,雙連里,"24.961710
",121.187796,B1,47.0,平鎮分局,
B0136,桃園市余姓宗親會,高雙里,24.94381,121.196964,B1,582.0,平鎮分局,
B0137,京耀富達社區,廣達里,24.953549,121.209515,B1B2B3,1234.0,平鎮分局,
B0138,桃苗汽車股份有限公司,宋屋里,24.93125,121.1994,B1,717.0,平鎮分局,
B0139,天臻社區,復旦里,24.95426,121.20221,B1B2,932.0,平鎮分局,
B0140,私人住宅,復旦里,24.954158,121.203095,B1,278.0,平鎮分局,
B0141,群邑禾豐社區,廣達里,24.955693,121.208869,B1B2,548.0,平鎮分局,
B0142,義民社福館,義民里,24.948778,121.204042,B1,1092.0,平鎮分局,
B0143,立益物流開發股份有限公司,雙連里,24.961626,121.187826,B1,625.0,平鎮分局,
C0005,私人住宅,新勢里,24.948327,121.216249,B1,28.0,平鎮分局,
C0007,私人住宅,新榮里,24.942573,121.211485,B1,13.0,平鎮分局,
C0014,華廈,新勢里,24.949218,121.216035,B1,262.0,平鎮分局,
C0015,平鎮衛生所,新富里,24.945973,121.217849,B1,156.0,平鎮分局,
C0027,群英圍城社區,新勢里,24.947461,121.217305,B1,505.0,平鎮分局,
C0028,私人住宅,新勢里,24.949832,121.218191,B1,32.0,平鎮分局,
C0029,相知相惜社區,新英里,24.940104,121.213136,B1,584.0,平鎮分局,
C0032,凱旋門社區,北勢里,24.948516,121.220255,B1B2,338.0,平鎮分局,
C0033,合邦富貴社區,新榮里,24.943855,121.212665,B1,958.0,平鎮分局,
C0035,私人住宅,北安里,24.951563,121.221214,B1,37.0,平鎮分局,
C0036,私人住宅,新富里,24.9413,121.216775,B1,83.0,平鎮分局,
C0037,私人住宅,新富里,24.941431,121.216786,B1,87.0,平鎮分局,
C0039,私人住宅,新勢里,24.949293,121.218108,B1,140.0,平鎮分局,
