"建築物名稱the names of the buildings","電腦編號 serial number",村里別village,"地址 address","緯經度 latitude and longitude","地下樓層數number of basement levels",可容納人數capacity,轄管分局jurisdiction,"備駐 notes"
—,QMA00175,大同里,屏東縣屏東市大同里02鄰開封街43號,"22.677232372194204, 120.48706996808097",1,88.0,屏東分局,
屏東縣營造工會,QMA00219,維新里,屏東縣屏東市維新里22鄰重慶路159號,"22.67615997239321, 120.48299428157354",1,22.0,屏東分局,
—,QMA00218,維新里,屏東縣屏東市維新里22鄰重慶路161號,"22.676120374460993, 120.48305955458834",1,22.0,屏東分局,
—,QMA00222,維新里,屏東縣屏東市維新里22鄰重慶路175號,"22.67652927119973, 120.48300642575265",1,22.0,屏東分局,
—,QMA00372,維新里,屏東縣屏東市維新里21鄰公園西路46號,"22.675699372757794, 120.48187846808094",1,44.0,屏東分局,
—,QMA00226,維新里,屏東縣屏東市維新里15鄰公園西路53號,"22.67567417327023, 120.48172453924506",1,22.0,屏東分局,
—,QMA00224,維新里,屏東縣屏東市維新里15鄰公園西路147號,"22.67552337218189, 120.4793333815735",1,22.0,屏東分局,
—,QMA00259,維新里,屏東縣屏東市維新里10鄰成功路103號之3,"22.67397857944749, 120.48250735458834",1,22.0,屏東分局,
—,QMA00266,維新里,屏東縣屏東市維新里09鄰昆明街6號,"22.675178075457914, 120.482868668081",1,22.0,屏東分局,
—,QMA02375,楠樹里,屏東縣屏東市楠樹里07鄰中華路68號,"22.673430976720052, 120.49028433940599",1,58.0,屏東分局,
—,QMA02376,楠樹里,屏東縣屏東市楠樹里03鄰民權路54號,"22.67238027854251, 120.49199028358281",1,21.0,屏東分局,
—,QMA02434,楠樹里,屏東縣屏東市楠樹里07鄰自由路222號,"22.672220341105778, 120.49525294724202",1,85.0,屏東分局,
—,QMA02439,楠樹里,屏東縣屏東市楠樹里07鄰福建路2號之5,"22.671467881031344, 120.49460709707678",1,33.0,屏東分局,
瑞泰綜合大樓,QMA02095,楠樹里,屏東縣屏東市楠樹里07鄰福建路3-3號,"22.671474281020355, 120.49413023940605",1,364.0,屏東分局,
—,QMA00005,楠樹里,屏東縣屏東市楠樹里04鄰福建路7號,"22.67156138036469, 120.49388628173531",1,33.0,屏東分局,
商業娛樂樓,QMA02421,楠樹里,屏東縣屏東市楠樹里04鄰福建路78號,"22.672625078047517, 120.49111034125352",1,442.0,屏東分局,
—,QMA02422,楠樹里,屏東縣屏東市楠樹里07鄰福建路100號,"22.672910677206712, 120.49030806824143",1,42.0,屏東分局,
—,QMA02495,楠樹里,屏東縣屏東市楠樹里02鄰林森路87號,"22.673174077504754, 120.49172905289986",1,72.0,屏東分局,
瑞泰建設大樓,QMA02094,楠樹里,屏東縣屏東市楠樹里07鄰仁德路60號,"22.672216380168887, 120.49467226824136",1,894.0,屏東分局,
—,QMA00013,楠樹里,屏東縣屏東市楠樹里04鄰仁愛路27號,"22.669413084529204, 120.49160299707673",1,47.0,屏東分局,
中影大樓/屏東數位影城,QMA02099,楠樹里,屏東縣屏東市楠樹里07鄰民生路248號,"22.67061398211292, 120.49198623940606",1.2,2134.0,屏東分局,
屏東民生路郵局,QMA02100,楠樹里,屏東縣屏東市楠樹里07鄰民生路250號,"22.67069308248081, 120.49143908173532",1,293.0,屏東分局,
—,QMA02404,楠樹里,屏東縣屏東市楠樹里04鄰杭州街2-24號,"22.671215281324944, 120.49048148358271",1,24.0,屏東分局,
—,QMA00003,楠樹里,屏東縣屏東市楠樹里02鄰福州街11號,"22.67047468321548, 120.4931985835828",1,41.0,屏東分局,
—,QMA00007,楠樹里,屏東縣屏東市楠樹里04鄰福州街42號,"22.671036182176767, 120.49354354125352",1,41.0,屏東分局,
—,QMA00009,楠樹里,屏東縣屏東市楠樹里04鄰廈門街34號,"22.670818982624194, 120.49385864125348",1,24.0,屏東分局,
—,QMA00010,楠樹里,屏東縣屏東市楠樹里02鄰廈門街63號,"22.671007281829436, 120.49276625474742",1,33.0,屏東分局,
屏東縣議會,QMA02009,勝利里,屏東縣屏東市勝利里13鄰忠孝路223號,"22.68182106217851, 120.48869776824152",1,2779.0,屏東分局,
屏東縣立體停車場,QMA02008,勝利里,屏東縣屏東市勝利里13鄰忠孝路225號,"22.683365559389635, 120.48914068173558",1,2796.0,屏東分局,
屏東中學/人文樓,QMA01831,勝利里,屏東縣屏東市勝利里19鄰忠孝路231號,"22.68563244938232, 120.48853871057088",1,979.0,屏東分局,共有6處、總計可容納人數4805人
屏東中學/活動中心,QMA01832,勝利里,屏東縣屏東市勝利里19鄰忠孝路231號,"22.68563244938232, 120.48853871057088",1,1638.0,屏東分局,共有6處、總計可容納人數4805人
屏東中學/美工大樓,QMA01833,勝利里,屏東縣屏東市勝利里19鄰忠孝路231號,"22.68563244938232, 120.48853871057088",1,496.0,屏東分局,共有6處、總計可容納人數4805人
屏東中學/勝利大樓,QMA01834,勝利里,屏東縣屏東市勝利里19鄰忠孝路231號,"22.68563244938232, 120.48853871057088",1,792.0,屏東分局,共有6處、總計可容納人數4805人
