電腦編號,村里別,地址,經緯度,地下樓層數,可容納人數,轄管分局,備註
78.0,太平里,雲林縣斗六市太平里成功路46-1號,"23.70754, 120.54355",1.0,180.0,斗六分局,
79.0,太平里,雲林縣斗六市太平里城頂街57號,"23.70678, 120.54284",1.0,266.0,斗六分局,
80.0,四維里,雲林縣斗六市四維里中正路60號,"23.70876, 120.54389",1.0,266.0,斗六分局,
81.0,光興里,雲林縣斗六市光興里民生路128號,"23.71056, 120.5404",1.0,224.0,斗六分局,
82.0,光興里,雲林縣斗六市光興里民生路98號,"23.71019, 120.53978",1.0,485.0,斗六分局,
83.0,光興里,雲林縣斗六市光興里民生路121號,"23.7099, 120.53888",1.0,170.0,斗六分局,
84.0,光興里,雲林縣斗六市光興里愛國街78-4號,"23.70984, 120.54025",1.0,1665.0,斗六分局,
85.0,光興里,雲林縣斗六市光興里西平路80號,"23.7092, 120.5387",1.0,952.0,斗六分局,
86.0,光興里,雲林縣斗六市光興里大同路46至48號,"23.7101, 120.54198",1.0,254.0,斗六分局,
87.0,光興里,雲林縣斗六市光興里民生路119號,"23.70978, 120.53888",1.0,182.0,斗六分局,
88.0,光興里,雲林縣斗六市光興里雲林路1段60號,"23.70913, 120.53993",1.0,188.0,斗六分局,
89.0,成功里,雲林縣斗六市成功里榮譽路91號之93,"23.705, 120.55376",1.0,733.0,斗六分局,
90.0,成功里,雲林縣斗六市成功里五權路80號,"23.70612, 120.55358",1.0,517.0,斗六分局,
91.0,成功里,雲林縣斗六市成功里20鄰民族路50號,"23.70555, 120.55191",1.0,432.0,斗六分局,
92.0,成功里,雲林縣斗六市成功里成功路435巷127號,"23.70635, 120.55083",1.0,316.0,斗六分局,
93.0,成功里,雲林縣斗六市成功里鎮東路338號,"23.70637, 120.55168",1.0,1024.0,斗六分局,
94.0,成功里,雲林縣斗六市成功里鎮東路356巷68號、天祥街77號,"23.70599, 120.55158",1.0,458.0,斗六分局,
95.0,成功里,雲林縣斗六市成功里富強街37號,"23.70802, 120.55057",1.0,994.0,斗六分局,
96.0,成功里,雲林縣斗六市成功里復國街16號之32,"23.70734, 120.55161",1.0,1324.0,斗六分局,
97.0,成功里,雲林縣斗六市成功里榮譽路30號之1,"23.70511, 120.55207",1.0,112.0,斗六分局,
98.0,成功里,雲林縣斗六市成功里1鄰大學路540號,"23.70428, 120.55419",1.0,124.0,斗六分局,
99.0,成功里,雲林縣斗六市成功里4鄰鎮東路225號,"23.70729, 120.55234",1.0,2656.0,斗六分局,
100.0,成功里,雲林縣斗六市成功里4鄰鎮東路515號,"23.71129, 120.55231",1.0,1660.0,斗六分局,
101.0,江厝里,雲林縣斗六市江厝里瓦厝路159號,"23.66865, 120.51133",1.0,1013.0,斗六分局,
102.0,忠孝里,雲林縣斗六市忠孝里內環路661號,"23.71048, 120.54921",1.0,680.0,斗六分局,
103.0,忠孝里,雲林縣斗六市忠孝里文化路138號,"23.71083, 120.54881",1.0,408.0,斗六分局,
104.0,忠孝里,雲林縣斗六市忠孝里永安路72號,"23.70903, 120.54774",1.0,489.0,斗六分局,
105.0,忠孝里,雲林縣斗六市忠孝里內環路630號,"23.70977, 120.54958",1.0,148.0,斗六分局,
106.0,忠孝里,雲林縣斗六市忠孝里內環路1.3.5.7號,"23.7098, 120.54915",1.0,529.0,斗六分局,
107.0,忠孝里,雲林縣斗六市忠孝里永安路46號,"23.70978, 120.54776",1.0,1322.0,斗六分局,
108.0,忠孝里,雲林縣斗六市忠孝里大同路252號,"23.70939, 120.54886",1.0,286.0,斗六分局,
109.0,忠孝里,雲林縣斗六市忠孝里大同路123號,"23.70969, 120.54596",1.0,114.0,斗六分局,
110.0,忠孝里,雲林縣斗六市忠孝里中正路23號,"23.71004, 120.54464",1.0,128.0,斗六分局,
111.0,忠孝里,雲林縣斗六市忠孝里文化路38號,"23.71089, 120.54553",1.0,849.0,斗六分局,
112.0,忠孝里,雲林縣斗六市忠孝里文化路38號,"23.71089, 120.54553",1.0,966.0,斗六分局,
113.0,忠孝里,雲林縣斗六市忠孝里大同路109號,"23.70972, 120.54536",1.0,513.0,斗六分局,
114.0,林中村,雲林縣林內鄉林中村光復路2-3號,"23.75928, 120.61506",1.0,133.0,斗六分局,
115.0,林中村,雲林縣林內鄉林中村中正路340號,"23.75641, 120.61277",1.0,128.0,斗六分局,
116.0,林中村,雲林縣林內鄉林中村瑞農路65號,"23.76694, 120.60456",1.0,118.0,斗六分局,
117.0,林中村,雲林縣林內鄉林中村中西路21號,"23.7579, 120.61369",1.0,517.0,斗六分局,
118.0,林中村,雲林縣林內鄉林中村中正路42號,"23.76128, 120.61899",1.0,346.0,斗六分局,
119.0,林中村,雲林縣林內鄉林中村中正路382號,"23.75553, 120.61284",1.0,512.0,斗六分局,
120.0,林中村,雲林縣林內鄉林中村公園路3號,"23.75421, 120.61443",1.0,1810.0,斗六分局,
121.0,林頭里,雲林縣斗六市林頭里21鄰大學路1段599號,"23.70428, 120.55471",1.0,1294.0,斗六分局,
122.0,林頭里,雲林縣斗六市林頭里福德街43-49號,"23.70511, 120.55633",1.0,1173.0,斗六分局,
123.0,林頭里,雲林縣斗六市林頭里福德街46-52號,"23.7051, 120.5566",1.0,864.0,斗六分局,
124.0,林頭里,雲林縣斗六市林頭里南聖路45號,"23.70352, 120.55526",1.0,178.0,斗六分局,
125.0,林頭里,雲林縣斗六市林頭里3鄰南聖路301號,"23.70088, 120.55836",1.0,37.0,斗六分局,
126.0,林頭里,雲林縣斗六市林頭里3鄰南聖路301號,"23.70088, 120.55836",1.0,194.0,斗六分局,
127.0,林頭里,雲林縣斗六市林頭里榮譽路160號,"23.70401, 120.5589",1.0,188.0,斗六分局,
128.0,社口里,雲林縣斗六市社口里中山路173號,"23.70521, 120.53957",1.0,129.0,斗六分局,
129.0,社口里,雲林縣斗六市社口里4鄰六合街25號,"23.70381, 120.54153",1.0,841.0,斗六分局,
130.0,社口里,雲林縣斗六市社口里中山路171巷9-1號,"23.70523, 120.5397",1.0,433.0,斗六分局,
131.0,社口里,雲林縣斗六市社口里22鄰南揚街64至68號,"23.69833, 120.53875",1.0,458.0,斗六分局,
132.0,社口里,雲林縣斗六市社口里鎮南路100巷42號,"23.70213, 120.53981",1.0,172.0,斗六分局,
133.0,社口里,雲林縣斗六市社口里13鄰鎮南路100巷45號,"23.70177, 120.53959",1.0,657.0,斗六分局,
134.0,社口里,雲林縣斗六市社口里15鄰大智街58號,"23.70139, 120.53995",1.0,2694.0,斗六分局,
135.0,社口里,雲林縣斗六市社口里大智街11號,"23.70105, 120.54054",1.0,4053.0,斗六分局,
136.0,社口里,雲林縣斗六市社口里大智街82-1號,"23.70153, 120.5392",1.0,180.0,斗六分局,
137.0,社口里,雲林縣斗六市社口里13鄰鎮南路100巷45號,"23.70177, 120.53959",1.0,3464.0,斗六分局,
138.0,社口里,雲林縣斗六市社口里中山路171巷36號,"23.70519, 120.54",1.0,130.0,斗六分局,
139.0,社口里,雲林縣斗六市社口里5鄰府前街56號,"23.7052, 120.54137",1.0,254.0,斗六分局,
140.0,社口里,雲林縣斗六市社口里鎮南路67號,"23.70354, 120.54046",1.0,160.0,斗六分局,
141.0,社口里,雲林縣斗六市社口里中山路145號,"23.70583, 120.53959",1.0,414.0,斗六分局,
142.0,社口里,雲林縣斗六市社口里22鄰南揚街60號,"23.69837, 120.53936",1.0,3458.0,斗六分局,
143.0,社口里,雲林縣斗六市社口里22鄰南揚街60號,"23.69837, 120.53936",1.0,2258.0,斗六分局,
144.0,社口里,雲林縣斗六市社口里22鄰南揚街60號,"23.69837, 120.53936",1.0,1380.0,斗六分局,
145.0,社口里,雲林縣斗六市社口里22鄰南揚街60號,"23.69837, 120.53936",1.0,2370.0,斗六分局,
146.0,虎溪里,雲林縣斗六市虎溪里正心路70巷7號,"23.71512, 120.53044",1.0,141.0,斗六分局,
147.0,虎溪里,雲林縣斗六市虎溪里正心路70巷10號,"23.71505, 120.53006",1.0,112.0,斗六分局,
148.0,虎溪里,雲林縣斗六市虎溪里正心路70巷5號,"23.71502, 120.53041",1.0,141.0,斗六分局,
149.0,虎溪里,雲林縣斗六市虎溪里科工六路6號,"23.72316, 120.50412",1.0,150.0,斗六分局,
150.0,虎溪里,雲林縣斗六市虎溪里正心路1號,"23.71504, 120.52828",1.0,1042.0,斗六分局,
151.0,虎溪里,雲林縣斗六市虎溪里正心路1號,"23.71504, 120.52828",1.0,1418.0,斗六分局,
152.0,虎溪里,雲林縣斗六市虎溪里西平426路1號,"23.71888, 120.52767",1.0,104.0,斗六分局,
153.0,虎溪里,斗六市虎溪里23鄰雲科路三段128號,"23.72123, 120.50427",1.0,774.0,斗六分局,
154.0,虎溪里,斗六市虎溪里23鄰雲科路三段129號,"23.72123, 120.50427",1.0,452.0,斗六分局,
155.0,虎溪里,雲林縣斗六市虎溪里雲科路3段78號,"23.72601, 120.51839",1.0,502.0,斗六分局,
156.0,虎溪里,雲林縣斗六市虎溪里雲科路3段37號,"23.72588, 120.51917",1.0,705.0,斗六分局,
157.0,虎溪里,雲林縣斗六市虎溪里雲科路3段87號,"23.72562, 120.51624",1.0,234.0,斗六分局,
158.0,虎溪里,雲林縣斗六市虎溪里雲科路3段86號,"23.72564, 120.51668",1.0,472.0,斗六分局,
159.0,虎溪里,雲林縣斗六市虎溪里科工八路52號,"23.71723, 120.50549",1.0,2174.0,斗六分局,
160.0,虎溪里,雲林縣斗六市虎溪里雲科路3段82號,"23.72595, 120.51758",1.0,282.0,斗六分局,
161.0,虎溪里,雲林縣斗六市虎溪里科工八路56號,"23.74151, 120.54797",1.0,2572.0,斗六分局,
162.0,虎溪里,雲林縣斗六市虎溪里科工一路3號,"23.72772, 120.5176",1.0,242.0,斗六分局,
163.0,虎溪里,雲林縣斗六市虎溪里雲科路3段55號,"23.71974, 120.50357",1.0,113.0,斗六分局,
164.0,虎溪里,雲林縣斗六市虎溪里西平路666號,"23.7246, 120.52462",1.0,233.0,斗六分局,
165.0,虎溪里,雲林縣斗六市虎溪里西平路636號,"23.72415, 120.52481",1.0,124.0,斗六分局,
166.0,虎溪里,雲林縣斗六市虎溪里西平路600號,"23.72338, 120.52535",1.0,1092.0,斗六分局,
167.0,虎溪里,雲林縣斗六市虎溪里文生路10號,"23.71872, 120.52489",1.0,218.0,斗六分局,
168.0,虎溪里,雲林縣斗六市虎溪里西平路369號,"23.71779, 120.528",1.0,117.0,斗六分局,
169.0,長平里,雲林縣斗六市長平里長林路18號,"23.69333, 120.50792",1.0,248.0,斗六分局,
170.0,長平里,雲林縣斗六市長平里長林路18號,"23.69333, 120.50792",1.0,248.0,斗六分局,
171.0,長平里,雲林縣斗六市長平里長林路18號,"23.69333, 120.50792",1.0,120.0,斗六分局,
172.0,長平里,雲林縣斗六市長平里長林路18號,"23.69333, 120.50792",1.0,240.0,斗六分局,
173.0,長平里,雲林縣斗六市長平里9鄰科福三街87號,"23.70987, 120.50728",1.0,1851.0,斗六分局,
174.0,保庄里,雲林縣斗六市保庄里保長路60號,"23.70585, 120.52608",1.0,100.0,斗六分局,
175.0,保庄里,雲林縣斗六市保庄里保長路60號,"23.70585, 120.52608",1.0,1070.0,斗六分局,
176.0,保庄里,雲林縣斗六市保庄里1鄰廣西路16號,"23.70693, 120.5288",1.0,501.0,斗六分局,
177.0,保庄里,雲林縣斗六市保庄里保長路498號,"23.70475, 120.5126",1.0,1834.0,斗六分局,
178.0,信義里,雲林縣斗六市信義里愛國街11號,"23.71085, 120.54219",1.0,334.0,斗六分局,
179.0,信義里,雲林縣斗六市信義里愛國街2號,"23.7112, 120.54239",1.0,121.0,斗六分局,
180.0,信義里,"雲林縣斗六市信義里愛國街2號之2 ","23.71046, 120.54165",1.0,270.0,斗六分局,
181.0,信義里,"雲林縣斗六市信義里愛國街4號之2 ","23.70984, 120.54025",1.0,120.0,斗六分局,
182.0,信義里,"雲林縣斗六市信義里鎮北路19號 ","23.71176, 120.54306",1.0,142.0,斗六分局,
183.0,信義里,"雲林縣斗六市信義里大同路23號 ","23.71051, 120.54191",1.0,265.0,斗六分局,
184.0,信義里,"雲林縣斗六市信義里民生路170號 ","23.71173, 120.54232",1.0,378.0,斗六分局,
185.0,信義里,"雲林縣斗六市信義里大同路13號 ","23.71105, 120.54164",1.0,153.0,斗六分局,
186.0,信義里,"雲林縣斗六市信義里大同路156號 ","23.70955, 120.54573",1.0,3169.0,斗六分局,
187.0,信義里,"雲林縣斗六市信義里太平路7號 ","23.71069, 120.54349",1.0,913.0,斗六分局,
188.0,信義里,"雲林縣斗六市信義里民生路273號 ","23.71304, 120.54397",1.0,1398.0,斗六分局,
189.0,信義里,雲林縣斗六市信義里興華街2號,"23.71155, 120.54295",1.0,2593.0,斗六分局,
190.0,信義里,"雲林縣斗六市信義里文化路6號 ","23.71091, 120.5438",1.0,4421.0,斗六分局,
191.0,信義里,雲林縣斗六市信義里中山路6號之21,"23.71079, 120.54254",1.0,364.0,斗六分局,
192.0,信義里,雲林縣斗六市信義里民生路223號,"23.7121, 120.54243",1.0,456.0,斗六分局,
193.0,信義里,"雲林縣斗六市信義里民生路224號 ","23.71339, 120.54545",1.0,501.0,斗六分局,
194.0,信義里,"雲林縣斗六市信義里民生路172號 ","23.71174, 120.54225",1.0,309.0,斗六分局,
195.0,埔子村,雲林縣莿桐鄉埔子村和平路74號,"23.76096, 120.50287",1.0,213.0,斗六分局,
196.0,烏麻村,雲林縣林內鄉烏麻村16鄰長源路201號,"23.75533, 120.59611",1.0,1246.0,斗六分局,
197.0,崙峰里,雲林縣斗六市崙峰里崙南路41號,"23.67983, 120.54197",1.0,850.0,斗六分局,
198.0,湖山里,雲林縣斗六市湖山里岩山路88號,"23.70991, 120.60642",1.0,170.0,斗六分局,
199.0,莿桐村,雲林縣莿桐鄉莿桐村中正路75號,"23.75701, 120.50126",1.0,1066.0,斗六分局,
200.0,莿桐村,雲林縣莿桐村延平路275號,"23.76032, 120.49618",1.0,785.0,斗六分局,
201.0,莿桐村,雲林縣莿桐鄉莿桐村延平路50號,"23.74948, 120.49988",1.0,226.0,斗六分局,
202.0,溪州里,雲林縣斗六市溪州里萬年路700號,"23.73495, 120.55429",1.0,188.0,斗六分局,
203.0,溪州里,雲林縣斗六市溪州里科加路20號,"23.73673, 120.54723",1.0,2645.0,斗六分局,
204.0,溪洲里,雲林縣斗六市溪洲里13鄰科加二路8號,"23.73291, 120.54716",1.0,2866.0,斗六分局,
205.0,溪洲里,斗六市溪洲里科加路18號,"23.73691, 120.54768",1.0,660.0,斗六分局,
206.0,嘉東里,雲林縣斗六市嘉東里5鄰鎮南路1121號,"23.68415, 120.54995",1.0,5380.0,斗六分局,
207.0,嘉東里,雲林縣斗六市嘉東里5鄰鎮南路1122號,"23.68602, 120.54735",1.0,3732.0,斗六分局,
208.0,嘉東里,雲林縣斗六市嘉東里5鄰鎮南路1123號,"23.6841, 120.54998",1.0,1549.0,斗六分局,
209.0,嘉東里,雲林縣斗六市嘉東里5鄰鎮南路1124號,"23.68792, 120.54743",1.0,1752.0,斗六分局,
210.0,嘉東里,雲林縣斗六市嘉東里鎮南路1110號,"23.67924, 120.55253",1.0,196.0,斗六分局,
211.0,榴中里,雲林縣斗六市榴中里石榴路79號,"23.72262, 120.58298",1.0,501.0,斗六分局,
212.0,榴中里,雲林縣斗六市榴中里22鄰石榴路369巷133號,"23.73003, 120.59195",1.0,1517.0,斗六分局,
213.0,榴中里,雲林縣斗六市榴中里河南街319號,"23.71246, 120.57595",1.0,1074.0,斗六分局,
214.0,榴中里,雲林縣斗六市榴中里河南街319號,"23.71246, 120.57595",1.0,1313.0,斗六分局,
215.0,榴中里,雲林縣斗六市榴中里復興路56號,"23.7241, 120.5993",1.0,317.0,斗六分局,
216.0,榴中里,雲林縣斗六市榴中里民有街22號,"23.72026, 120.59394",1.0,168.0,斗六分局,
217.0,榴中里,雲林縣斗六市榴中里工業路79號,"23.72179, 120.58956",1.0,100.0,斗六分局,
218.0,榴中里,雲林縣斗六市榴中里工業路93號,"23.72258, 120.59127",1.0,140.0,斗六分局,
219.0,榴中里,雲林縣斗六市榴中里工業路115號,"23.72341, 120.59695",1.0,212.0,斗六分局,
220.0,榴中里,雲林縣斗六市榴中里工業路99號,"23.72253, 120.59286",1.0,106.0,斗六分局,
221.0,榴中里,雲林縣斗六市榴中里工業路115號,"23.72341, 120.59695",1.0,212.0,斗六分局,
222.0,榴中里,雲林縣斗六市榴中里工業路115號,"23.72341, 120.59695",1.0,212.0,斗六分局,
223.0,榴中里,雲林縣斗六市榴中里工業路109號,"23.72277, 120.59527",1.0,266.0,斗六分局,
224.0,榴中里,雲林縣斗六市榴中里民有街16號,"23.72044, 120.59191",1.0,200.0,斗六分局,
225.0,榴中里,雲林縣斗六市榴中里工業路122號,"23.72256, 120.598",1.0,330.0,斗六分局,
226.0,榴中里,雲林縣斗六市榴中里工業路109號,"23.72277, 120.59527",1.0,266.0,斗六分局,
227.0,榴中里,雲林縣斗六市榴中里石榴路317號,"23.7273, 120.58801",1.0,1204.0,斗六分局,
228.0,榴中里,雲林縣斗六市榴中里石榴路317號,"23.7273, 120.58801",1.0,830.0,斗六分局,
229.0,榴中里,雲林縣斗六市榴中里民有街35號,"23.72145, 120.59527",1.0,293.0,斗六分局,
230.0,榴中里,雲林縣斗六市榴中里石榴路307號,"23.72816, 120.58947",1.0,1042.0,斗六分局,
231.0,榴中里,雲林縣斗六市榴中里復興路287號,"23.72387, 120.59522",1.0,818.0,斗六分局,
232.0,榴中里,斗六市榴中里25鄰民有街36號,"23.72126, 120.59666",1.0,342.0,斗六分局,
233.0,榴南里,雲林縣斗六市榴南里榴南路123號,"23.71365, 120.58651",1.0,1204.0,斗六分局,
234.0,榴南里,雲林縣斗六市榴南里9鄰斗工十路152號,"23.71462, 120.59581",1.0,268.0,斗六分局,
235.0,榴南里,雲林縣斗六市榴南里9鄰斗工二路33號,"23.71899, 120.59222",1.0,178.0,斗六分局,
236.0,榴南里,雲林縣斗六市榴南里9鄰斗工十路150號,"23.71455, 120.59541",1.0,166.0,斗六分局,
237.0,榴南里,雲林縣斗六市榴南里9鄰斗工十二路15號,"23.71192, 120.59909",1.0,97.0,斗六分局,
238.0,榴南里,雲林縣斗六市榴南里9鄰斗工三路3號,"23.71889, 120.59854",1.0,322.0,斗六分局,
239.0,榴南里,雲林縣斗六市榴南里9鄰斗工十路148號,"23.71413, 120.58988",1.0,242.0,斗六分局,
240.0,榴南里,雲林縣斗六市榴南里9鄰斗工二路46號,"23.71899, 120.59222",1.0,170.0,斗六分局,
241.0,榴南里,雲林縣斗六市榴南里9鄰斗工二路148號,"23.71969, 120.59142",1.0,217.0,斗六分局,
242.0,榴南里,雲林縣斗六市榴南里9鄰斗工六路12號,"23.71761, 120.59385",1.0,109.0,斗六分局,
243.0,榴南里,雲林縣斗六市榴南里9鄰斗工十六路8號,"23.70989, 120.59659",1.0,324.0,斗六分局,
