編號,地址,可容納人數,經度,緯度,里別,避難所在之地下樓層數,轄管分局
25.0,臺中市潭子區頭家里2鄰頭張路一段40號,37.0,120.70048,24.1944,頭家里,1.0,大雅分局
26.0,臺中市潭子區頭家里2鄰頭張路一段42號,36.0,120.69912,24.19439,頭家里,1.0,大雅分局
27.0,臺中市潭子區頭家里2鄰頭張路一段44號,29.0,120.70048,24.1944,頭家里,1.0,大雅分局
28.0,臺中市潭子區頭家里2鄰頭張路一段22巷36號,24.0,120.70172,24.19521,頭家里,1.0,大雅分局
29.0,臺中市潭子區頭家里2鄰頭張路一段22巷34號,23.0,120.70178,24.19521,頭家里,1.0,大雅分局
30.0,臺中市潭子區頭家里2鄰得天街2號,38.0,120.70082,24.19545,頭家里,1.0,大雅分局
31.0,臺中市潭子區頭家里2鄰得天街4號,39.0,120.70087,24.19692,頭家里,1.0,大雅分局
32.0,臺中市潭子區頭家里2鄰得天街6號,39.0,120.70087,24.19692,頭家里,1.0,大雅分局
33.0,臺中市潭子區頭家里2鄰得天街8號,39.0,120.70126,24.19626,頭家里,1.0,大雅分局
34.0,臺中市潭子區頭家里2鄰得天街10號,39.0,120.70082,24.19545,頭家里,1.0,大雅分局
35.0,臺中市潭子區頭家里2鄰得天街12號,39.0,120.70015,24.19316,頭家里,1.0,大雅分局
36.0,臺中市潭子區福仁里17鄰中山路二段73巷109弄19號,42.0,120.70241,24.20389,福仁里,1.0,大雅分局
37.0,臺中市潭子區頭家里2鄰得天街28號,29.0,120.701606,24.194742,頭家里,1.0,大雅分局
38.0,臺中市潭子區頭家里2鄰頭張路一段22巷48號,24.0,120.70048,24.1944,頭家里,1.0,大雅分局
39.0,臺中市潭子區頭家里2鄰頭張路一段22巷46號,24.0,120.70048,24.1944,頭家里,1.0,大雅分局
40.0,臺中市潭子區頭家里2鄰頭張路一段22巷44號,23.0,120.70048,24.1944,頭家里,1.0,大雅分局
41.0,臺中市潭子區頭家里2鄰頭張路一段22巷42號,23.0,120.69912,24.19439,頭家里,1.0,大雅分局
42.0,臺中市潭子區頭家里2鄰頭張路一段22巷40號,23.0,120.70048,24.1944,頭家里,1.0,大雅分局
43.0,臺中市潭子區頭家里2鄰頭張路一段22巷38號,23.0,120.70048,24.1944,頭家里,1.0,大雅分局
44.0,臺中市潭子區福仁里17鄰中山路二段73巷99號,35.0,120.70241,24.20389,福仁里,1.0,大雅分局
45.0,臺中市潭子區福仁里18鄰中山路二段17號,46.0,120.703121,24.201722,福仁里,1.0,大雅分局
46.0,臺中市潭子區福仁里18鄰中山路二段77號,61.0,120.704583,24.205672,福仁里,1.0,大雅分局
47.0,臺中市潭子區頭家里7鄰中山路一段287號,100.0,120.70265,24.19773,頭家里,1.0,大雅分局
48.0,臺中市潭子區聚興里9鄰潭興路一段17巷11-6號,56.0,120.7254,24.19994,聚興里,1.0,大雅分局
49.0,臺中市潭子區聚興里8鄰豐興路一段66號,2771.0,120.720344,24.193856,聚興里,1.0,大雅分局
50.0,臺中市潭子區聚興里4鄰豐興路一段139號,1153.0,120.718165,24.193916,聚興里,1.0,大雅分局
51.0,臺中市潭子區家興里4鄰中山路一段17號,2561.0,120.70237,24.18994,家興里,2.0,大雅分局
52.0,臺中市潭子區頭家里7鄰中山路一段257號,1525.0,120.702195,24.197702,頭家里,1.0,大雅分局
53.0,臺中市潭子區福仁里25鄰合作街38巷18號,1422.0,120.70888,24.20432,福仁里,1.0,大雅分局
54.0,臺中市潭子區聚興里8鄰潭興路一段25號,321.0,120.725508,24.203885,聚興里,1.0,大雅分局
55.0,臺中市潭子區聚興里4鄰豐興路一段88號,12146.0,120.721945,24.195685,聚興里,1.0,大雅分局
56.0,臺中市潭子區福仁里22鄰圓通南路159號,1153.0,120.706247,24.207032,福仁里,2.0,大雅分局
57.0,臺中市潭子區頭家里3鄰頭張路一段86巷6號,626.0,120.70048,24.1944,頭家里,2.0,大雅分局
58.0,臺中市潭子區聚興里4鄰豐興路一段192巷66號,1127.0,120.723465,24.192829,聚興里,1.0,大雅分局
59.0,臺中市潭子區頭家里3鄰得才街136號,857.0,120.699869,24.195118,頭家里,2.0,大雅分局
60.0,臺中市潭子區家福里7鄰大通街167號,658.0,120.697444,24.192246,家福里,2.0,大雅分局
61.0,臺中市潭子區聚興里8鄰豐興路一段512號,1656.0,120.722927,24.203641,聚興里,1.0,大雅分局
62.0,臺中市潭子區聚興里8鄰豐興路一段500號,6808.0,120.722674,24.20163,聚興里,1.0,大雅分局
63.0,臺中市潭子區福仁里17鄰中山路二段68號,584.0,120.704188,24.202836,福仁里,3.0,大雅分局
64.0,臺中市潭子區福仁里30鄰興華一路159號,380.0,120.702699,24.206726,福仁里,3.0,大雅分局
65.0,臺中市潭子區家福里11鄰大通街188號,522.0,120.697451,24.192591,家福里,2.0,大雅分局
66.0,臺中市潭子區福仁里17鄰大新路161號,958.0,120.704359,24.202289,福仁里,3.0,大雅分局
67.0,臺中市潭子區福仁里18鄰興華一路142巷15號,316.0,120.70354,24.20685,福仁里,2.0,大雅分局
68.0,臺中市潭子區家福里17鄰頭張路二段97號,635.0,120.69532,24.19395,家福里,3.0,大雅分局
69.0,臺中市潭子區頭家里6鄰得天街77號,327.0,120.701162,24.196864,頭家里,2.0,大雅分局
70.0,臺中市潭子區家興里3鄰中山路一段9號,2288.0,120.70227,24.18849,家興里,2.0,大雅分局
71.0,臺中市潭子區家興里11鄰榮興街57巷5號,5712.0,120.70155,24.18885,家興里,1.0,大雅分局
72.0,臺中市潭子區頭家東里7鄰中興北路133號,120.0,120.7045,24.19429,頭家東里,1.0,大雅分局
73.0,臺中市潭子區聚興里12鄰潭興路一段168號,654.0,120.721665,24.206548,聚興里,1.0,大雅分局
74.0,臺中市潭子區家福里16鄰頭張路二段89巷5號,1332.0,120.69582,24.19381,家福里,1.0,大雅分局
75.0,臺中市潭子區家興里11鄰榮興街83巷8號,2544.0,120.70151,24.18963,家興里,1.0,大雅分局
76.0,臺中市潭子區聚興里8鄰豐興路一段36號,1208.0,120.71839,24.19169,聚興里,1.0,大雅分局
77.0,臺中市潭子區家福里10鄰頭張路一段117巷17弄23號,1452.0,120.69911,24.19363,家福里,1.0,大雅分局
78.0,臺中市潭子區家福里1鄰中山路一段77號,1896.0,120.70219,24.19275,家福里,3.0,大雅分局
79.0,臺中市潭子區福仁里27鄰復興路一段1巷6號,448.0,120.70541,24.20116,福仁里,1.0,大雅分局
80.0,臺中市潭子區福仁里23鄰福貴路1號,514.0,120.71123,24.2061,福仁里,2.0,大雅分局
81.0,臺中市潭子區家興里13鄰中山路一段1巷76號,2262.0,120.7005,24.18829,家興里,1.0,大雅分局
82.0,臺中市潭子區福仁里28鄰大新路102號,1011.0,120.70595,24.20248,福仁里,1.0,大雅分局
83.0,臺中市潭子區聚興里12鄰潭興路一段3號,452.0,120.72859,24.20335,聚興里,1.0,大雅分局
84.0,臺中市潭子區福仁里18鄰橋興一街三樓之6,1877.0,120.701406,24.204564,福仁里,1.0,大雅分局
85.0,臺中市潭子區大豐里9鄰大豐東三街37巷22號,511.0,120.69376,24.22079,大豐里,1.0,大雅分局
86.0,臺中市潭子區潭秀里1鄰中山路三段75號,500.0,120.70636,24.22207,潭秀里,1.0,大雅分局
87.0,臺中市潭子區栗林里9鄰中山路三段305巷63號,49.0,120.707989,24.228715,栗林里,1.0,大雅分局
88.0,臺中市潭子區潭秀里9鄰中山路二段384號,23.0,120.70536,24.21425,潭秀里,1.0,大雅分局
89.0,臺中市潭子區潭秀里8鄰中山路二段399號,83.0,120.70502,24.213536,潭秀里,1.0,大雅分局
90.0,臺中市潭子區大豐里9鄰大豐路二段122巷15弄2號,2400.0,120.69335,24.21878,大豐里,1.0,大雅分局
91.0,臺中市潭子區栗林里17鄰祥和路47號,647.0,120.713808,24.229315,栗林里,1.0,大雅分局
92.0,臺中市潭子區潭秀里10鄰中山路三段153號,150.0,120.705496,24.223873,潭秀里,1.0,大雅分局
93.0,臺中市潭子區大豐里11鄰潭富一街53號,101.0,120.69262,24.22224,大豐里,1.0,大雅分局
94.0,臺中市潭子區大豐里17鄰大豐路三段123號,9.0,120.692063,24.222435,大豐里,1.0,大雅分局
95.0,臺中市潭子區潭秀里10鄰中山路三段153號,5458.0,120.705496,24.223873,潭秀里,1.0,大雅分局
96.0,臺中市潭子區大豐里10鄰大豐東三街87巷1號,1202.0,120.69405,24.22074,大豐里,1.0,大雅分局
97.0,臺中市潭子區大豐里11鄰潭富二街59巷8號,1481.0,120.69271,24.22104,大豐里,1.0,大雅分局
98.0,臺中市潭子區潭秀里10鄰中山路三段153號,81.0,120.705496,24.223873,潭秀里,1.0,大雅分局
99.0,臺中市潭子區大豐里6鄰大豐路三段18611號,576.0,120.721665,24.206548,大豐里,1.0,大雅分局
100.0,臺中市潭子區栗林里2鄰豐栗路63巷8號,221.0,120.706689,24.230944,栗林里,1.0,大雅分局
101.0,臺中市潭子區栗林里6鄰祥和路133巷66號,833.0,120.711789,24.227782,栗林里,2.0,大雅分局
102.0,臺中市潭子區潭秀里1鄰中山路三段11號,635.0,120.705635,24.220421,潭秀里,1.0,大雅分局
103.0,臺中市潭子區栗林里11鄰中山路三段201號,552.0,120.707018,24.225155,栗林里,1.0,大雅分局
104.0,臺中市潭子區栗林里1鄰中山路三段493巷35號,863.0,120.707481,24.233356,栗林里,1.0,大雅分局
105.0,臺中市潭子區潭秀里8鄰中山路二段435號,507.0,120.705,24.21444,潭秀里,3.0,大雅分局
106.0,臺中市潭子區栗林里11鄰弘智街17巷70號,1029.0,120.707043,24.226776,栗林里,2.0,大雅分局
107.0,臺中市潭子區潭北里13鄰人和路39號,1520.0,120.707436,24.21684,潭北里,2.0,大雅分局
108.0,臺中市潭子區新田里6鄰潭興路一段258巷16號,384.0,120.71949,24.20941,新田里,1.0,大雅分局
109.0,臺中市潭子區大豐里17鄰大豐路三段125號,1811.0,120.69214,24.22351,大豐里,2.0,大雅分局
110.0,臺中市潭子區大豐里17鄰崇德路五段468號,1592.0,120.69007,24.22353,大豐里,2.0,大雅分局
111.0,臺中市潭子區栗林里11鄰弘文街100號,492.0,120.7046,24.22613,栗林里,1.0,大雅分局
112.0,臺中市潭子區栗林里11鄰弘文街100號,542.0,120.7046,24.22613,栗林里,1.0,大雅分局
113.0,臺中市潭子區潭北里3鄰潭子街三段56號,51.0,120.70674,24.21477,潭北里,1.0,大雅分局
114.0,臺中市潭子區潭秀里8鄰中山路二段399號,93.0,120.70504,24.21357,潭秀里,1.0,大雅分局
115.0,臺中市潭子區潭秀里8鄰中山路二段397號,166.0,120.70506,24.21345,潭秀里,1.0,大雅分局
116.0,臺中市潭子區潭秀里8鄰中山路二段435號,210.0,120.705,24.21444,潭秀里,1.0,大雅分局
117.0,臺中市潭子區潭秀里9鄰中山路二段384號之6,380.0,120.70537,24.21426,潭秀里,1.0,大雅分局
118.0,臺中市潭子區栗林里11鄰弘智街53號,1092.0,120.70535,24.22553,栗林里,2.0,大雅分局
119.0,臺中市潭子區大豐里14鄰大豐東二街125號,127.0,120.69336,24.22395,大豐里,1.0,大雅分局
120.0,臺中市潭子區大豐里13鄰大豐東一街37巷5號,1049.0,120.69274,24.22345,大豐里,1.0,大雅分局
121.0,臺中市潭子區栗林里18鄰祥和路106巷31號,1166.0,120.71242,24.23058,栗林里,1.0,大雅分局
122.0,臺中市潭子區栗林里13鄰祥和路60巷16號,967.0,120.71336,24.23006,栗林里,1.0,大雅分局
123.0,臺中市潭子區嘉仁里14鄰福潭路830巷18號,707.0,120.70842,24.21621,嘉仁里,1.0,大雅分局
124.0,臺中市潭子區潭北里14鄰人和路100巷1號,1526.0,120.70796,24.21754,潭北里,1.0,大雅分局
125.0,臺中市潭子區潭北里6鄰潭子街三段公廳巷59號,466.0,120.70896,24.21415,潭北里,1.0,大雅分局
126.0,臺中市潭子區嘉仁里14鄰福潭路798巷21號,653.0,120.70881,24.21601,嘉仁里,1.0,大雅分局
127.0,臺中市潭子區大豐里7鄰潭富路二段81巷11號,59.0,120.69671,24.22312,大豐里,1.0,大雅分局
128.0,臺中市潭子區大豐里7鄰潭富路二段81巷15號,177.0,120.69633,24.22273,大豐里,1.0,大雅分局
129.0,臺中市潭子區大豐里6鄰潭富路二段29號,71.0,120.69949,24.22303,大豐里,1.0,大雅分局
130.0,臺中市潭子區潭北里6鄰潭陽路76號,603.0,120.7091931,24.21333928,潭北里,1.0,大雅分局
131.0,臺中市潭子區大豐里14鄰大豐路三段196之9號,1237.0,120.6930105,24.22466707,大豐里,1.0,大雅分局
132.0,臺中市潭子區栗林里10鄰弘智一街91號,1329.0,120.703671,24.22468685,栗林里,1.0,大雅分局
133.0,臺中市潭子區栗林里10鄰弘仁街65巷26號,1193.0,120.7026449,24.22593636,栗林里,1.0,大雅分局
134.0,臺中市大雅區西寶里10鄰昌平路四段252號,166.0,120.67868,24.23342,西寶里,1.0,大雅分局
135.0,臺中市大雅區西寶里6鄰昌平路四段508號,2387.0,120.67142,24.22777,西寶里,1.0,大雅分局
136.0,臺中市大雅區西寶里11鄰雅潭路三段536號,54.0,120.66884,24.21448,西寶里,1.0,大雅分局
137.0,臺中市大雅區大楓里2鄰民權街39巷1號,2125.0,120.66815,24.23317,大楓里,1.0,大雅分局
138.0,臺中市大雅區雅楓里1鄰民生路三段182號,226.0,120.66059,24.23149,雅楓里,1.0,大雅分局
139.0,臺中市大雅區雅楓里2鄰民生路三段133號,426.0,120.65932,24.23158,雅楓里,1.0,大雅分局
140.0,臺中市大雅區雅楓里1鄰民生路三段180巷12號,70.0,120.66115,24.23103,雅楓里,1.0,大雅分局
141.0,臺中市大雅區雅楓里2鄰民生路三段111巷1號,29.0,120.65847,24.23153,雅楓里,1.0,大雅分局
142.0,臺中市大雅區雅楓里1鄰民生路三段180巷22號,56.0,120.66224,24.23048,雅楓里,1.0,大雅分局
143.0,臺中市大雅區大楓里12鄰民豐街154巷2號,722.0,120.66453,24.23195,大楓里,1.0,大雅分局
144.0,臺中市大雅區三和里6鄰雅潭路四段20號,39.0,120.66142,24.21983,三和里,1.0,大雅分局
145.0,臺中市大雅區四德里12鄰中清路三段758巷18號,52.0,120.65231,24.2132,四德里,1.0,大雅分局
146.0,臺中市大雅區四德里12鄰中清路三段758巷3號,373.0,120.65064,24.21285,四德里,1.0,大雅分局
147.0,臺中市大雅區四德里12鄰中清路三段758巷8號,113.0,120.65103,24.21307,四德里,1.0,大雅分局
148.0,臺中市大雅區雅楓里2鄰民生路三段267巷12號,266.0,120.65975,24.23349,雅楓里,1.0,大雅分局
149.0,臺中市大雅區大楓里17鄰前村路382巷78號,1877.0,120.66235,24.2217,大楓里,1.0,大雅分局
150.0,臺中市大雅區三和里21鄰建興路152巷7號,871.0,120.66664,24.21719,三和里,1.0,大雅分局
151.0,臺中市大雅區雅楓里3鄰德勝路123號,36.0,120.66094,24.22985,雅楓里,1.0,大雅分局
152.0,臺中市大雅區上楓里19鄰楓林街232號,702.0,120.666811,24.236395,上楓里,1.0,大雅分局
153.0,臺中市大雅區雅楓里2鄰民生路三段267巷10號,152.0,120.65975,24.23349,雅楓里,1.0,大雅分局
154.0,臺中市大雅區雅楓里2鄰民生路三段267巷12之1號,1040.0,120.65975,24.23349,雅楓里,1.0,大雅分局
155.0,臺中市大雅區二和里18鄰雅潭路四段370巷13號,701.0,120.66028,24.22085,二和里,1.0,大雅分局
156.0,臺中市大雅區四德里16鄰中清路三段735號,4400.0,120.6499,24.21195,四德里,1.0,大雅分局
157.0,臺中市大雅區上楓里25鄰民生路三段313巷45號,6103.0,120.660355,24.234203,上楓里,1.0,大雅分局
158.0,臺中市大雅區四德里12鄰中清路三段758巷11號,284.0,120.65084,24.21318,四德里,1.0,大雅分局
159.0,臺中市大雅區雅楓里1鄰民豐街117號,919.0,120.664972,24.231055,雅楓里,1.0,大雅分局
160.0,臺中市大雅區三和里1鄰雅潭路四段336號,1118.0,120.660431,24.220029,三和里,1.0,大雅分局
161.0,臺中市大雅區三和里1鄰雅潭路四段332號,2088.0,120.662102,24.219909,三和里,1.0,大雅分局
162.0,臺中市大雅區二和里10鄰學府路230號,518.0,120.650025,24.222083,二和里,1.0,大雅分局
163.0,臺中市大雅區二和里22鄰神林南路225巷23弄10號,503.0,120.658233,24.224129,二和里,1.0,大雅分局
164.0,臺中市大雅區上楓里19鄰楓林街232號,273.0,120.666811,24.236395,上楓里,1.0,大雅分局
165.0,臺中市大雅區四德里16鄰中清路三段739號,523.0,120.64964,24.21234,四德里,1.0,大雅分局
166.0,臺中市大雅區四德里2鄰中清路三段936號,1283.0,120.649089,24.21797,四德里,2.0,大雅分局
167.0,臺中市大雅區三和里4鄰建興路155號,1123.0,120.665937,24.217599,三和里,2.0,大雅分局
168.0,臺中市大雅區四德里16鄰中清路三段727號,714.0,120.649642,24.211359,四德里,2.0,大雅分局
169.0,臺中市大雅區三和里20鄰建興路112巷12弄6號,544.0,120.666274,24.215613,三和里,2.0,大雅分局
170.0,臺中市大雅區四德里2鄰學府路23巷5號3F,365.0,120.64979,24.21681,四德里,1.0,大雅分局
171.0,臺中市大雅區三和里13鄰港尾路133號,2122.0,120.667174,24.214292,三和里,1.0,大雅分局
172.0,臺中市大雅區四德里2鄰中清路三段930號,618.0,120.64913,24.217677,四德里,2.0,大雅分局
173.0,臺中市大雅區雅楓里4鄰民生路三段36北巷32號,359.0,120.658573,24.229775,雅楓里,2.0,大雅分局
174.0,臺中市大雅區上楓里26鄰民生路四段28號,984.0,120.667891,24.236008,上楓里,3.0,大雅分局
175.0,臺中市大雅區二和里12鄰雅潭路四段681號,1872.0,120.64942,24.22132,二和里,2.0,大雅分局
176.0,臺中市大雅區上楓里19鄰樹德街255巷5號,1012.0,120.66675,24.23762,上楓里,1.0,大雅分局
177.0,臺中市大雅區雅楓里1鄰民生路三段158號,1190.0,120.65957,24.23127,雅楓里,1.0,大雅分局
178.0,臺中市大雅區二和里10鄰學府路230號,149.0,120.650025,24.222083,二和里,1.0,大雅分局
179.0,臺中市大雅區二和里10鄰學府路230號,385.0,120.650025,24.222083,二和里,1.0,大雅分局
180.0,臺中市大雅區二和里10鄰學府路230號,752.0,120.650025,24.222083,二和里,1.0,大雅分局
181.0,臺中市大雅區四德里10鄰雅環路一段2號,594.0,120.65082,24.21623,四德里,1.0,大雅分局
182.0,臺中市大雅區四德里10鄰雅環路一段2號,975.0,120.65082,24.21623,四德里,1.0,大雅分局
183.0,臺中市大雅區四德里10鄰雅環路一段2號,85.0,120.65082,24.21623,四德里,1.0,大雅分局
184.0,臺中市大雅區西寶里11鄰雅潭路三段600號,35.0,120.66799,24.21603,西寶里,1.0,大雅分局
185.0,臺中市大雅區上楓里19鄰楓林街232號,162.0,120.66679,24.23615,上楓里,1.0,大雅分局
186.0,臺中市大雅區雅楓里10鄰神林南路182號,538.0,120.6567,24.22531,雅楓里,1.0,大雅分局
187.0,臺中市大雅區二和里13鄰雅潭路四段661巷7號,1481.0,120.652379,24.221409,二和里,3.0,大雅分局
188.0,臺中市大雅區四德里13鄰學府路76巷47號,3487.0,120.65184,24.21822,四德里,2.0,大雅分局
189.0,臺中市大雅區四德里5鄰學府路23巷18弄1號,2178.0,120.64997,24.21694,四德里,1.0,大雅分局
190.0,臺中市大雅區二和里8鄰雅潭路四段600巷37弄2號,766.0,120.65526,24.22217,二和里,1.0,大雅分局
191.0,臺中市大雅區大楓里5鄰雅楓街99巷4號,389.0,120.66683,24.23376,大楓里,1.0,大雅分局
192.0,臺中市大雅區二和里12鄰雅潭路四段661巷36號,1353.0,120.65241,24.22129,二和里,2.0,大雅分局
193.0,臺中市大雅區二和里20鄰學府路120巷31號,600.0,120.65164,24.22002,二和里,1.0,大雅分局
194.0,臺中市大雅區三和里20鄰建興路112巷19號,1720.0,120.66635,24.2153,三和里,2.0,大雅分局
195.0,臺中市大雅區二和里3鄰神林南路367號,101.0,120.65686,24.2217,二和里,1.0,大雅分局
196.0,臺中市大雅區上楓里25鄰民生路三段295號,68.0,120.65686,24.2217,上楓里,1.0,大雅分局
197.0,臺中市大雅區雅楓里2鄰民生路三段159號,242.0,120.66265,24.23304,雅楓里,1.0,大雅分局
198.0,臺中市大雅區雅潭路四段80號,1085.0,120.6663,24.21699,三和里,2.0,大雅分局
199.0,臺中市大雅區二和里20鄰神林南路620號,1709.0,120.6510423,24.21924732,二和里,1.0,大雅分局
200.0,臺中市大雅區六寶里13鄰中清路四段278號,447.0,120.64131,24.23021,六寶里,1.0,大雅分局
201.0,臺中市大雅區員林里8鄰神林路一段266號,4121.0,120.65662,24.23422,員林里,2.0,大雅分局
202.0,臺中市大雅區秀山里1鄰平和路238號,333.0,120.62599,24.23098,秀山里,1.0,大雅分局
203.0,臺中市大雅區大雅里20鄰大雅路50號,247.0,120.64909,24.22411,大雅里,1.0,大雅分局
204.0,臺中市大雅區文雅里1鄰中山北路117巷17號,1117.0,120.6469,24.21715,文雅里,1.0,大雅分局
205.0,臺中市大雅區大雅里16鄰中清東路196號,328.0,120.65662,24.23422,大雅里,1.0,大雅分局
206.0,臺中市大雅區橫山里8鄰永和路121號,397.0,120.63919,24.2181,橫山里,1.0,大雅分局
207.0,臺中市大雅區員林里28鄰雅環路三段19巷20號,1686.0,120.64546,24.22864,員林里,1.0,大雅分局
208.0,臺中市大雅區員林里8鄰神林路一段371號,455.0,120.65729,24.24143,員林里,1.0,大雅分局
209.0,臺中市大雅區橫山里14鄰通山路46號,419.0,120.62114,24.21052,橫山里,1.0,大雅分局
210.0,臺中市大雅區大雅里14鄰民興街35號,347.0,120.648,24.22532,大雅里,1.0,大雅分局
211.0,臺中市大雅區橫山里2鄰中山路56號,122.0,120.6445,24.20644,橫山里,1.0,大雅分局
212.0,臺中市大雅區員林里10鄰神林路一段121號,25.0,120.65399,24.23343,員林里,1.0,大雅分局
213.0,臺中市大雅區上雅里21鄰神林南路21巷34號,678.0,120.65439,24.22866,上雅里,1.0,大雅分局
214.0,臺中市大雅區忠義里24鄰東大路二段999號,836.0,120.61749,24.24206,忠義里,1.0,大雅分局
215.0,臺中市大雅區上雅里12鄰民生路一段175號,565.0,120.650011,24.227291,上雅里,3.0,大雅分局
216.0,臺中市大雅區大雅里14鄰民興街25號,257.0,120.64758,24.224892,大雅里,1.0,大雅分局
217.0,臺中市大雅區大雅里27鄰中清路三段1080號,317.0,120.64709,24.22219,大雅里,1.0,大雅分局
218.0,臺中市大雅區員林里8鄰神林路一段256號,1417.0,120.65662,24.23422,員林里,3.0,大雅分局
219.0,臺中市大雅區六寶里3鄰光復路15-2號,718.0,120.636219,24.238871,六寶里,1.0,大雅分局
220.0,臺中市大雅區文雅里20鄰中清路四段85號,2946.0,120.64391,24.22741,文雅里,1.0,大雅分局
221.0,臺中市大雅區六寶里3鄰光復路14號,781.0,120.636742,24.237282,六寶里,1.0,大雅分局
222.0,臺中市大雅區文雅里5鄰中山北路169巷2號,779.0,120.64706,24.21964,大雅里,1.0,大雅分局
223.0,臺中市大雅區秀山里16鄰秀山路387號,775.0,120.631237,24.220286,秀山里,2.0,大雅分局
224.0,臺中市大雅區上雅里17學府路467巷9號,373.0,120.647148,24.228145,上雅里,3.0,大雅分局
225.0,臺中市大雅區大雅里20鄰學府路280號,275.0,120.650447,24.224083,大雅里,1.0,大雅分局
226.0,臺中市大雅區上雅里17鄰學府路457號,1025.0,120.647395,24.228465,上雅里,2.0,大雅分局
227.0,臺中市大雅區橫山里9鄰永和路110號之31,447.0,120.63504,24.21438,橫山里,2.0,大雅分局
228.0,臺中市大雅區上雅里1鄰雅環路二段26巷39號,897.0,120.654725,24.224943,上雅里,2.0,大雅分局
229.0,臺中市大雅區秀山里16鄰秀山路365號,177.0,120.631951,24.22133,秀山里,1.0,大雅分局
230.0,臺中市大雅區秀山里7鄰平和一路15號,228.0,120.63325,24.228871,秀山里,1.0,大雅分局
231.0,臺中市大雅區上雅里13鄰雅環路三段2巷8號,680.0,120.64848,24.22919,上雅里,2.0,大雅分局
232.0,臺中市大雅區文雅里17鄰永和路145號,688.0,120.645686,24.222265,文雅里,3.0,大雅分局
233.0,臺中市大雅區大雅里20鄰學府路280號,502.0,120.650447,24.224083,大雅里,1.0,大雅分局
234.0,臺中市大雅區大雅里14鄰中清東路226號,1002.0,120.64715,24.224737,大雅里,2.0,大雅分局
235.0,臺中市大雅區上雅里17鄰學府路467巷8號,286.0,120.646989,24.22886,上雅里,2.0,大雅分局
236.0,臺中市大雅區文雅里17鄰永和路145之6,239.0,120.645968,24.222479,文雅里,2.0,大雅分局
237.0,臺中市大雅區文雅里17鄰永和路149巷1號,113.0,120.646064,24.222757,文雅里,1.0,大雅分局
238.0,臺中市大雅區員林里18鄰大林路140巷23號,961.0,120.646399,24.23574,員林里,1.0,大雅分局
239.0,臺中市大雅區大雅里20鄰學府路280號,1546.0,120.650447,24.224083,大雅里,1.0,大雅分局
