地址,可容納人數,經度,緯度,避難所在之地下樓層數,編號,村里別,轄區分局
臺中市太平區建興里20鄰鵬儀路342巷2號,41.0,120.729495,24.126379,B01,LA00091,建興里,太平分局
臺中市太平區建國里11鄰鵬儀路305巷2號,51.0,120.727169,24.125497,B01,LA00092,建國里,太平分局
臺中市太平區東平里9鄰東村路150號,1713.0,120.724367,24.136699,B01,LA00094,東平里,太平分局
臺中市太平區太平里29鄰太平路741號,88.0,120.709098,24.127758,B01,LA00095,太平里,太平分局
臺中市太平區中政里14鄰永平南路40巷1號,1574.0,120.721535,24.129383,B01,LA00096,中政里,太平分局
臺中市太平區建國里14鄰鵬儀路296巷6弄12號,94.0,120.726704,24.122449,B01,LA00097,建國里,太平分局
臺中市太平區中平里8鄰太平路300號,433.0,120.718271,24.123069,B01,LA00098,中平里,太平分局
臺中市太平區太平里16鄰永成路78號,542.0,120.708940,24.115942,B01,LA00099,太平里,太平分局
臺中市太平區太平里30鄰永平路3段85號,1239.0,120.707408,24.126279,B01,LA00100,太平里,太平分局
臺中市太平區中政里4鄰中興路35號,1239.0,120.717652,24.127823,B01,LA00101,中政里,太平分局
臺中市太平區太平里17鄰太平路483號,1131.0,120.714717,24.124583,B01,LA00102,太平里,太平分局
臺中市太平區中興里2鄰東平路769號,513.0,120.711553,24.133959,B01,LA00103,中興里,太平分局
臺中市太平區長億里17鄰太平三街295號,762.0,120.716082,24.113005,B01,LA00105,長億里,太平分局
臺中市太平區中平里8鄰太平路300號,159.0,120.718273,24.123067,B01,LA00106,中平里,太平分局
臺中市太平區東和里1鄰東平路18號,218.0,120.736949,24.137626,B01,LA00107,東和里,太平分局
臺中市太平區東和里1鄰東平路18號,1158.0,120.736949,24.137626,B01,LA00108,東和里,太平分局
臺中市太平區永平里5鄰永平路1段9號,1871.0,120.719725,24.131145,B01,LA00109,永平里,太平分局
臺中市太平區永平里5鄰大仁街7號,713.0,120.718676,24.130745,B01,LA00110,永平里,太平分局
臺中市太平區中興里11鄰中興路100號,360.0,120.715400,24.127276,B01,LA00111,中興里,太平分局
臺中市太平區中平里8鄰太平路300號,124.0,120.718271,24.123068,B01,LA00112,中平里,太平分局
臺中市太平區太平里12鄰永豐路133號,127.0,120.710264,24.122040,B01,LA00113,太平里,太平分局
臺中市太平區太平里12鄰永豐路90號,734.0,120.709995,24.122405,B01,LA00114,太平里,太平分局
臺中市太平區太平里16鄰永成路78號,2375.0,120.708938,24.115939,B01,LA00115,太平里,太平分局
臺中市太平區太平里12鄰永豐路78號,3743.0,120.710842,24.123026,B01,LA00116,太平里,太平分局
臺中市太平區永平里12鄰大仁街17號,264.0,120.718359,24.130756,B01,LA00117,永平里,太平分局
臺中市太平區中政里20鄰中興東路46號,170.0,120.719545,24.129614,B01,LA00118,中政里,太平分局
臺中市太平區太平里14鄰合利街24巷13號,1067.0,120.705585,24.123155,B02,LA00119,太平里,太平分局
臺中市太平區新福里14鄰中山路4段212巷12號,2971.0,120.702021,24.149654,B01,LB00001,新福里,太平分局
臺中市太平區新福里1鄰樹德路23號,18.0,120.710495,24.150148,B01,LB00002,新福里,太平分局
臺中市太平區新福里1鄰樹德路21號,18.0,120.710483,24.150109,B01,LB00003,新福里,太平分局
臺中市太平區新福里1鄰樹德路19號,18.0,120.710478,24.150068,B01,LB00004,新福里,太平分局
臺中市太平區新福里1鄰樹德路17號,18.0,120.710466,24.150029,B01,LB00005,新福里,太平分局
臺中市太平區新福里1鄰樹德路15號,18.0,120.710456,24.149994,B01,LB00006,新福里,太平分局
臺中市太平區新福里1鄰樹德路13號,36.0,120.710448,24.149952,B01,LB00007,新福里,太平分局
臺中市太平區新福里1鄰樹德路11號,18.0,120.710435,24.149912,B01,LB00008,新福里,太平分局
臺中市太平區新福里1鄰樹德路9號,18.0,120.710422,24.149871,B01,LB00009,新福里,太平分局
臺中市太平區新福里1鄰樹德路7號,18.0,120.710413,24.149827,B01,LB00010,新福里,太平分局
臺中市太平區新福里1鄰樹德路5號,18.0,120.710404,24.149794,B01,LB00011,新福里,太平分局
臺中市太平區新福里1鄰樹德路3號,18.0,120.710390,24.149756,B01,LB00012,新福里,太平分局
臺中市太平區新福里1鄰樹德路1號,34.0,120.710400,24.149733,B01,LB00013,新福里,太平分局
臺中市太平區新光里15鄰樹德一街136巷30號,88.0,120.706557,24.152354,B01,LB00014,新光里,太平分局
臺中市太平區新光里20鄰振英街15號,33.0,120.706578,24.153429,B01,LB00015,新光里,太平分局
臺中市太平區新光里20鄰振英街13號,33.0,120.706577,24.153390,B01,LB00016,新光里,太平分局
臺中市太平區新光里20鄰振英街11號,33.0,120.706579,24.153345,B01,LB00017,新光里,太平分局
臺中市太平區新光里20鄰振英街9號,33.0,120.706575,24.153295,B01,LB00018,新光里,太平分局
臺中市太平區宜佳里14鄰宜仁路19號,974.0,120.7144767,24.13780647,B01,LB00019,宜佳里,太平分局
臺中市太平區宜佳里24鄰市民大道一段49號,36.0,"120.714246 ","24.137470 ",B01,LB00020,宜佳里,太平分局
臺中市太平區宜佳里24鄰市民大道一段45號,36.0,"120.714257 ","24.137391 ",B01,LB00021,宜佳里,太平分局
臺中市太平區宜佳里14鄰新平路2段35號,22.0,120.715265,24.136969,B01,LB00022,宜佳里,太平分局
臺中市太平區新吉里8鄰新平路3段72號,71.0,120.720315,24.150469,B01,LB00023,新吉里,太平分局
臺中市太平區新高里16鄰中山路4段42號,171.0,120.711804,24.150038,B01,LB00024,新高里,太平分局
臺中市太平區新高里5鄰立德街78號,632.0,120.713644,24.153291,B01,LB00025,新高里,太平分局
臺中市太平區宜昌里6鄰中山路3段55號,21.0,120.718132,24.148703,B01,LB00026,宜昌里,太平分局
臺中市太平區宜昌里6鄰中山路3段57號,21.0,120.718060,24.148704,B01,LB00027,宜昌里,太平分局
臺中市太平區宜昌里6鄰中山路3段59號,21.0,120.718014,24.148701,B01,LB00028,宜昌里,太平分局
臺中市太平區宜昌里6鄰中山路3段61號,20.0,120.717962,24.148699,B01,LB00029,宜昌里,太平分局
臺中市太平區宜昌里6鄰中山路3段63號,20.0,120.717918,24.148698,B01,LB00030,宜昌里,太平分局
臺中市太平區宜昌里6鄰中山路3段67號,20.0,120.717832,24.148687,B01,LB00031,宜昌里,太平分局
臺中市太平區宜昌里6鄰中山路3段69號,36.0,120.717679,24.148661,B01,LB00032,宜昌里,太平分局
臺中市太平區宜欣里13鄰宜昌東路45號,227.0,120.718867,24.142048,B01,LB00033,宜欣里,太平分局
臺中市太平區宜欣里9鄰宜欣10街50號,2050.0,120.716197,24.14317,B01B02,LB00034,宜欣里,太平分局
臺中市太平區宜欣里14鄰溪州路120號,44.0,120.719754,24.142399,B01,LB00035,宜欣里,太平分局
臺中市太平區新興里6鄰新光路10號之7,19.0,120.709958,24.155848,B01,LB00036,新興里,太平分局
臺中市太平區新光里11鄰振福路445號,14.0,120.709089,24.154412,B01,LB00037,新光里,太平分局
臺中市太平區新光里11鄰振福路449號,14.0,120.709169,24.154438,B01,LB00038,新光里,太平分局
臺中市太平區新光里11鄰振福路451號,14.0,120.709207,24.154450 ,B01,LB00039,新光里,太平分局
臺中市太平區新光里11鄰振福路453號,14.0,120.709250,24.154461,B01,LB00040,新光里,太平分局
臺中市太平區新光里11鄰振福路457號,14.0,120.709332,24.154492,B01,LB00041,新光里,太平分局
臺中市太平區新興里2鄰怡林街2號,1052.0,120.711898,24.157844,B01,LB00042,新興里,太平分局
臺中市太平區新城里18鄰樹孝路274巷5號,21.0,120.718749,24.153636,B01,LB00043,新城里,太平分局
臺中市太平區新城里18鄰樹孝路274巷3號,21.0,120.718717,24.153663,B01,LB00044,新城里,太平分局
臺中市太平區新城里18鄰樹孝路274巷1號,21.0,120.718680,24.153673,B01,LB00045,新城里,太平分局
臺中市太平區新城里19鄰樹孝路304號,1131.0,120.718839,24.154319,B01,LB00046,新城里,太平分局
臺中市太平區新城里18鄰樹孝路274巷9弄3號,22.0,120.718928,24.153822,B01,LB00047,新城里,太平分局
臺中市太平區新城里18鄰樹孝路274巷9弄5號,22.0,120.718952,24.153862,B01,LB00048,新城里,太平分局
臺中市太平區新城里18鄰樹孝路288號,22.0,120.718636,24.154008,B01,LB00049,新城里,太平分局
臺中市太平區新城里18鄰樹孝路292號,22.0,120.718688,24.154088,B01,LB00050,新城里,太平分局
臺中市太平區新城里18鄰樹孝路296號,22.0,120.718729,24.154152,B01,LB00051,新城里,太平分局
臺中市太平區新城里18鄰樹孝路298號,22.0,120.718753,24.154195,B01,LB00052,新城里,太平分局
臺中市太平區新城里18鄰樹孝路300號,22.0,120.718779,24.154224,B01,LB00053,新城里,太平分局
臺中市太平區新城里18鄰樹孝路276號,22.0,120.718521,24.153767,B01,LB00054,新城里,太平分局
臺中市太平區新城里18鄰樹孝路278號,22.0,120.718532,24.153821,B01,LB00055,新城里,太平分局
臺中市太平區新城里18鄰樹孝路280號,22.0,120.718558,24.153860,B01,LB00056,新城里,太平分局
臺中市太平區新城里18鄰樹孝路282號,22.0,120.718576,24.153892,B01,LB00057,新城里,太平分局
臺中市太平區新城里18鄰樹孝路284號,22.0,120.718605,24.153926,B01,LB00058,新城里,太平分局
臺中市太平區新城里18鄰樹孝路388號,22.0,120.719831,24.155912,B01,LB00059,新城里,太平分局
臺中市太平區新城里18鄰樹孝路368號,22.0,120.719622,24.155558,B01,LB00060,新城里,太平分局
臺中市太平區新城里18鄰樹孝路366號,22.0,120.719598,24.155519,B01,LB00061,新城里,太平分局
臺中市太平區新城里18鄰樹孝路370號,22.0,120.719648,24.155595,B01,LB00062,新城里,太平分局
臺中市太平區新城里18鄰樹孝路350號,22.0,120.719421,24.155249,B01,LB00063,新城里,太平分局
臺中市太平區新城里18鄰樹孝路348號,22.0,120.719388,24.155212,B01,LB00064,新城里,太平分局
臺中市太平區新城里18鄰樹孝路346號,22.0,120.719375,24.155177,B01,LB00065,新城里,太平分局
臺中市太平區新城里18鄰樹孝路342號之1,22.0,120.719348,24.155151,B01,LB00066,新城里,太平分局
臺中市太平區新城里18鄰樹孝路342號,22.0,120.719323,24.155106,B01,LB00067,新城里,太平分局
臺中市太平區新城里18鄰樹孝路340號,22.0,120.719308,24.155070,B01,LB00068,新城里,太平分局
臺中市太平區新城里18鄰樹孝路354號,22.0,120.719460,24.155321,B01,LB00069,新城里,太平分局
臺中市太平區新城里18鄰樹孝路362號,21.0,120.719564,24.155449,B01,LB00070,新城里,太平分局
臺中市太平區新城里18鄰樹孝路360號,22.0,120.719539,24.155407,B01,LB00071,新城里,太平分局
臺中市太平區新城里18鄰樹孝路358號,22.0,120.719516,24.155380,B01,LB00072,新城里,太平分局
臺中市太平區新城里18鄰樹孝路384號,22.0,120.719795,24.155844,B01,LB00073,新城里,太平分局
臺中市太平區新城里18鄰樹孝路380號,22.0,120.719751,24.155772,B01,LB00074,新城里,太平分局
臺中市太平區新城里18鄰樹孝路378號,22.0,120.719727,24.155735,B01,LB00075,新城里,太平分局
臺中市太平區新城里18鄰樹孝路376號,22.0,120.719708,24.155701,B01,LB00076,新城里,太平分局
臺中市太平區新城里18鄰樹孝路372號,22.0,120.719668,24.155626,B01,LB00077,新城里,太平分局
臺中市太平區新城里21鄰樹孝路357號,22.0,120.719287,24.155440,B01,LB00078,新城里,太平分局
臺中市太平區新坪里21鄰樹孝路355號,22.0,120.719263,24.155404,B01,LB00079,新坪里,太平分局
臺中市太平區新城里21鄰樹孝路353號,22.0,120.719220,24.155352,B01,LB00080,新城里,太平分局
臺中市太平區新城里21鄰樹孝路349號,22.0,120.719164,24.155256,B01,LB00081,新城里,太平分局
臺中市太平區新城里21鄰樹孝路347號,22.0,120.719148,24.155216,B01,LB00082,新城里,太平分局
臺中市太平區新城里21鄰樹孝路345號,22.0,120.719120,24.155185,B01,LB00083,新城里,太平分局
臺中市太平區新城里18鄰樹孝路338號,29.0,120.719277,24.155028,B01,LB00084,新城里,太平分局
臺中市太平區新城里18鄰樹孝路336巷5號,21.0,120.719484,24.154860,B01,LB00087,新城里,太平分局
臺中市太平區新城里21鄰樹孝路363號,21.0,120.719361,24.155561,B01,LB00088,新城里,太平分局
臺中市太平區新坪里26鄰育德路12號,3374.0,120.722285,24.157195,B01,LB00089,新坪里,太平分局
臺中市太平區新坪里20鄰樹孝路336巷9號,1044.0,120.720120,24.154728,B01,LB00090,新坪里,太平分局
臺中市太平區新光里18鄰新福十六街53號,3347.0,120.705401,24.153177,B01,LB00091,新光里,太平分局
臺中市太平區宜昌里12鄰宜昌路420號,763.0,120.714083,24.145096,B01,LB00092,宜昌里,太平分局
臺中市太平區新坪里20鄰樹孝路336巷9號,838.0,120.720119,24.154717,B01,LB00093,新坪里,太平分局
臺中市太平區新城里5鄰樹孝路25號,1074.0,120.715997,24.149592,B01,LB00094,新城里,太平分局
臺中市太平區新坪里20鄰樹孝路336巷9號,1156.0,120.720118,24.154721,B01,LB00095,新坪里,太平分局
臺中市太平區新高里17鄰中山路4段27號,1112.0,120.712548,24.149757,B01,LB00096,新高里,太平分局
臺中市太平區新興里5鄰樹德九街139號,458.0,120.709321,24.157907,B01,LB00097,新興里,太平分局
臺中市太平區新光里15鄰樹德一街136巷30號,974.0,120.706562,24.152353,B01,LB00098,新光里,太平分局
臺中市太平區宜昌里12鄰宜昌路420號,733.0,120.714083,24.145097,B01,LB00099,宜昌里,太平分局
臺中市太平區新城里2鄰樹孝路36號,1318.0,120.717007,24.150853,B01,LB00100,新城里,太平分局
臺中市太平區宜佳里市民大道一段51號,36.0,"120.714236 ","24.137504 ",B01,LB00102,宜佳里,太平分局
臺中市太平區宜佳里市民大道一段47號,36.0,"120.714254 ","24.137426 ",B01,LB00103,宜佳里,太平分局
臺中市太平區宜昌里16鄰中山路3段131號,1303.0,120.715626,24.148689,B01,LB00104,宜昌里,太平分局
臺中市太平區新城里21鄰樹孝路361號,22.0,120.719341,24.155525,B01,LB00105,新城里,太平分局
臺中市太平區新城里21鄰樹孝路365號,21.0,120.719386,24.155602,B01,LB00106,新城里,太平分局
臺中市太平區新坪里31鄰樹孝路505號,1709.0,120.720361,24.158803,B01,LB00107,新坪里,太平分局
臺中市太平區新高里20鄰立智街100號,953.0,120.714637,24.158188,B01,LB00108,新高里,太平分局
臺中市太平區新興里5鄰樹德九街139號,381.0,120.709321,24.157904,B01,LB00109,新興里,太平分局
臺中市太平區新興里14鄰新興路168號,1396.0,120.708169,24.159454,B01,LB00110,新興里,太平分局
臺中市太平區新興里15鄰太興路18號,1709.0,120.705477,24.162660,B01,LB00111,新興里,太平分局
臺中市太平區新興里8鄰旱溪東路2段326號,1466.0,120.705162,24.160368,B01,LB00112,新興里,太平分局
臺中市太平區新高里19鄰育賢路286號,1193.0,120.716280,24.158560,B01,LB00113,新高里,太平分局
臺中市太平區新高里22鄰育賢路321號,788.0,120.715098,24.159206,B01,LB00114,新高里,太平分局
臺中市太平區新吉里18鄰育德路163號,3430.0,120.720966,24.153523,B02,LB00115,新吉里,太平分局
臺中市太平區新光里17鄰旱溪東路2段101號,2048.0,120.702139,24.151989,B01,LB00116,新光里,太平分局
臺中市太平區新興里8鄰新興路200號,485.0,120.706861,24.159719,B01,LB00117,新興里,太平分局
臺中市太平區新高里16鄰中山路4段2號,353.0,120.714108,24.149575,B01,LB00118,新高里,太平分局
臺中市太平區新城里1鄰樹孝路2之17號,629.0,120.716427,24.149900,B01,LB00119,新城里,太平分局
臺中市太平區新興里11鄰新安街111號之18,2061.0,120.710592,24.159780,B01,LB00120,新興里,太平分局
臺中市太平區宜昌里1鄰中山路3段25巷1號,603.0,120.719876,24.148702,B01,LB00121,宜昌里,太平分局
臺中市太平區新福里17鄰旱溪西路2段260號,2646.0,120.703427,24.156595,B01,LB00122,新福里,太平分局
臺中市太平區新高里16鄰環中東路3段788號,1590.0,120.714948,24.151958,B01,LB00123,新高里,太平分局
臺中市太平區新城里1鄰樹孝路2之7號,1007.0,120.716338,24.149453,B01,LB00124,新城里,太平分局
臺中市太平區新高里22鄰育賢路275號,1680.0,120.716286,24.158888,B01,LB00125,新高里,太平分局
臺中市太平區新高里22鄰育賢路348號,2125.0,120.715075,24.158762,B01,LB00126,新高里,太平分局
臺中市太平區新吉里19鄰新吉路58號,295.0,120.719586,24.151760,B01,LB00127,新吉里,太平分局
臺中市太平區新高里22鄰太順路375號,1915.0,120.717200,24.159725,B01,LB00128,新高里,太平分局
臺中市太平區新興里8鄰新興路200號,461.0,120.706859,24.159721,B01,LB00129,新興里,太平分局
臺中市太平區宜佳里15鄰環中東路4段627號,2228.0,120.710882,24.138283,B01,LB00130,宜佳里,太平分局
臺中市太平區新高里22鄰立文街217號,1585.0,120.714098,24.159689,B01,LB00131,新高里,太平分局
臺中市太平區新光里15鄰新福路120號,585.0,120.703459,24.151035,B01,LB00132,新光里,太平分局
臺中市太平區宜佳里23鄰環中東路4段369號,1232.0,120.711559,24.143002,B01,LB00133,宜佳里,太平分局
臺中市太平區新福里12鄰新福路110號,737.0,120.703453,24.150685,B01,LB00134,新福里,太平分局
臺中市太平區新坪里7鄰祥順路1段316號,1307.0,120.725183,24.153930,B01,LB00135,新坪里,太平分局
臺中市太平區新福里17鄰旱溪西路2段169號,4382.0,120.700929,24.152897,B01,LB00136,新福里,太平分局
臺中市太平區新光里16鄰新福十六街68號,448.0,120.704945,24.153012,B01,LB00137,新光里,太平分局
臺中市太平區新興里14鄰新興路172號,468.0,120.707840,24.159447,B01,LB00138,新興里,太平分局
臺中市太平區新高里4鄰立功路270號,1560.0,120.715365,24.156342,B02,LB00139,新高里,太平分局
臺中市太平區新光里17鄰新福路876號,1136.0,120.705411,24.156070,B03,LB00140,新光里,太平分局
臺中市太平區新城里13鄰新吉路101號,1648.0,120.717669,24.151082,B01,LB00141,新城里,太平分局
臺中市太平區新興里13鄰新安街30號之1,1552.0,120.711804,24.160466,B01,LB00142,新興里,太平分局
臺中市太平區新高里22鄰育賢路282號,2579.0,120.716794,24.158346,B02,LB00143,新高里,太平分局
臺中市太平區新高里16鄰立功路68號,693.0,120.713701,24.151362,B01,LB00144,新高里,太平分局
臺中市太平區宜欣里1鄰祥順路1段80號,689.0,120.717887,24.136869,B03,LB00145,宜欣里,太平分局
臺中市太平區宜欣里1鄰祥順路1段101號,710.0,120.718806,24.137781,B01,LB00146,宜欣里,太平分局
臺中市太平區宜昌里3鄰中山路3段21號之6,1207.0,120.720943,24.149032,B01,LB00147,宜昌里,太平分局
臺中市太平區新興里13鄰太順路571號,1555.0,120.711707,24.16093,B03,LB00148,新興里,太平分局
臺中市太平區宜昌里16鄰環中東路4段53之1號,1529.0,120.714391,24.147900,B03,LB00149,宜昌里,太平分局
臺中市太平區新坪里31鄰環中東路三段97號,893.0,120.718403,24.159065,B03,LB00150,新坪里,太平分局
臺中市太平區新興里11鄰新興路78號,3438.0,"120.711191 ","24.159245 ",B03,LB00151,新興里,太平分局
臺中市太平區新興里7鄰新福路1092號,230.0,"120.706817 ","24.158002 ",B01,LB00152,新興里,太平分局
