"unnamed (1)","unnamed (3)","unnamed (4)","unnamed (5)","unnamed (6)","unnamed (7)","unnamed (8)","unnamed (9)",placemark_address
SMA06030,國魂里,花蓮縣花蓮市國魂里中山路547號,23.986502,121.601722,B1,53.0,花蓮分局,花蓮縣花蓮市國魂里中山路547號
SMA06031,國華里,花蓮市國華里9鄰中山路455巷25號,23.982797,121.603801,B1,1243.0,花蓮分局,花蓮市國華里9鄰中山路455巷25號
SMA06032,國威里,花蓮縣花蓮市國威里博愛街176-1號,23.979161,121.605074,B1,74.0,花蓮分局,花蓮縣花蓮市國威里博愛街176-1號
SMA06033,國光里,花蓮市國光里2鄰大同街110號,23.982278,121.608954,B1,324.0,花蓮分局,花蓮市國光里2鄰大同街110號
SMA06034,國威里,花蓮市國威里17鄰大同街27巷1號,23.980294,121.605303,B1,79.0,花蓮分局,花蓮市國威里17鄰大同街27巷1號
SMA06035,國威里,花蓮市國威里17鄰大同街29號,23.980257,121.605579,B1,76.0,花蓮分局,花蓮市國威里17鄰大同街29號
SMA06036,國威里,花蓮市國威里35鄰大同街3號,23.979324,121.604111,B1,237.0,花蓮分局,花蓮市國威里35鄰大同街3號
SMA06037,國威里,花蓮市國威里8鄰中山路260號,23.980371,121.606872,B1,320.0,花蓮分局,花蓮市國威里8鄰中山路260號
SMA06038,國安里,花蓮市國安里14鄰中山路406之1號,23.983539,121.604494,B1,227.0,花蓮分局,花蓮市國安里14鄰中山路406之1號
SMA06039,國安里,花蓮市國安里15鄰中山路412巷16號,23.985306,121.603577,B1,850.0,花蓮分局,花蓮市國安里15鄰中山路412巷16號
SMA06040,國魂里,花蓮市國魂里17鄰建國路76號(共6樓)(與中山路467之1號同一建築物),23.983512,121.603809,B1,268.0,花蓮分局
SMA06041,國魂里,花蓮市國魂里3鄰中山路543號,23.98638,121.601822,B1,268.0,花蓮分局,花蓮市國魂里3鄰中山路543號
SMA06042,國安里,花蓮市國安里10鄰正義街6號(共7樓),23.983291,121.606184,B1,55.0,花蓮分局
SMA06043,國威里,花蓮市國威里5鄰民國路139之1號,23.979569,121.606532,B1,99.0,花蓮分局,花蓮市國威里5鄰民國路139之1號
SMA06044,國威里,花蓮市國威里18鄰光復街130號,23.980611,121.604782,B1,696.0,花蓮分局,花蓮市國威里18鄰光復街130號
SMA06045,國威里,花蓮市國威里30鄰光復街87號(共7樓),23.979158,121.605586,B1,638.0,花蓮分局
SMA06046,國威里,花蓮市國威里30鄰光復街97號,23.9797,121.605183,B1,244.0,花蓮分局,花蓮市國威里30鄰光復街97號
SMA06047,國威里,花蓮市國威里035鄰自由街142號(共5樓),23.97918,121.603926,B1,155.0,花蓮分局
SMA06048,國魂里,花蓮巿國魂里9鄰延平街88之1號,23.985157,121.600821,B1,79.0,花蓮分局,花蓮巿國魂里9鄰延平街88之1號
SMA06049,國防里,花蓮市國防里6鄰明心街1之16號(共8樓),23.985071,121.606129,B1,425.0,花蓮分局
SMA06050,國安里,花蓮市國安里14鄰明心街1之29號(共5樓),23.984753,121.605496,B1,739.0,花蓮分局
SMA06051,國防里,花蓮市國防里6鄰明智街150號,23.985731,121.606218,B1,58.0,花蓮分局,花蓮市國防里6鄰明智街150號
SMA06052,國安里,花蓮市國安里11鄰明禮路131號,23.984172,121.606236,B1,856.0,花蓮分局,花蓮市國安里11鄰明禮路131號
SMA06053,國光里,花蓮市國光里2鄰明禮路18之5號,23.981929,121.608896,B1,3817.0,花蓮分局,花蓮市國光里2鄰明禮路18之5號
SMA06054,國風里,花蓮市國風里9鄰國風街16號,23.97729,121.598007,B1,334.0,花蓮分局,花蓮市國風里9鄰國風街16號
SMA06055,國威里,花蓮市國威里34鄰林森路208號,23.980467,121.604209,B1,205.0,花蓮分局,花蓮市國威里34鄰林森路208號
SMA06056,國風里,花蓮市國風里24鄰林森路281號(地下二層),23.979519,121.602296,B1,53.0,花蓮分局,花蓮市國風里24鄰林森路281號(地下二層)
SMA06057,國華里,花蓮市國安里5鄰林森路391號,23.98214,121.606207,B1,1243.0,花蓮分局,花蓮市國安里5鄰林森路391號
SMA06058,國安里,花蓮市國安里9鄰林森路409號(共7樓),23.982582,121.606876,B1,74.0,花蓮分局
SMA06059,國魂里,花蓮縣花蓮市商校街193巷,23.986349,121.598508,B1,447.0,花蓮分局,花蓮縣花蓮市商校街193巷
SMA06060,國威里,花蓮縣花蓮市博愛街184之1號,23.980136,121.604326,B1,83.0,花蓮分局,花蓮縣花蓮市博愛街184之1號
SMA07001,國聯里,花蓮縣花蓮市國聯里商校街258號,23.986716,121.598821,B1、B2,479.0,花蓮分局,花蓮縣花蓮市國聯里商校街258號
SMA07002,國聯里,花蓮縣花蓮市國聯里國聯一路124號,23.99297,121.601824,B1,625.0,花蓮分局,花蓮縣花蓮市國聯里國聯一路124號
SMA07003,國聯里,花蓮縣花蓮市國聯里國聯五路69號,23.99086,121.60527,B1,895.0,花蓮分局,花蓮縣花蓮市國聯里國聯五路69號
SMA07004,國聯里,花蓮縣花蓮市國聯里國興二街19號,23.992569,121.604417,B1、B2,902.0,花蓮分局,花蓮縣花蓮市國聯里國興二街19號
SMA07005,國聯里,花蓮縣花蓮市國聯里國聯五路139號,23.993245,121.604688,B1,446.0,花蓮分局,花蓮縣花蓮市國聯里國聯五路139號
SMA07006,國聯里,花蓮縣花蓮市國聯里國聯五路101號,23.991371,121.605234,B1,1107.0,花蓮分局,花蓮縣花蓮市國聯里國聯五路101號
SMA07007,國聯里,花蓮縣花蓮市國聯里國聯一路93號,23.991191,121.602825,B1,132.0,花蓮分局,花蓮縣花蓮市國聯里國聯一路93號
