類別,電腦編號,里別,地址,地下樓層數,可容納人數,備註
心德教養院,OMA00150,五興里,臺南市新營區五興里14鄰五間厝156號,1.0,440人,"23.26924,120.270193"
鹽水區公所,OMA00151,月港里,臺南市鹽水區月港里7鄰中山路47號,1.0,131人,"23.319996,120.266129"
鹽水區民眾服務站,OMA00153,月港里,臺南市鹽水區月港里7鄰中山路26號,1.0,513人,"23.319914,120.266724"
鹽水區地政事務所,OMA00154,月港里,臺南市鹽水區月港里9鄰武廟路1之7號,1.0,513人,"23.320215,120.265114"
錫和醫院,OMA00155,津城里,臺南市鹽水區津城里9鄰武廟路31號之1,1.0,340人,"23.321749,120.26524"
新光人壽公司,OMA00156,津城里,臺南市鹽水區津城里9鄰三福路84號,1.0,472人,"23.321145,120.265496"
金玉滿堂大樓,OMA00157,津城里,臺南市鹽水區津城里8鄰武廟路80號,1.0,708人,"23.322882,120.265899"
鹽水公有市場,OMA00158,津城里,臺南市鹽水區津城里6鄰三福路14號,1.0,3779人,"23.321192,120.267424"
大學城,OMA00159,水秀里,臺南市鹽水區水秀里6鄰土庫83號,1.0,472人,"23.322386,120.27645"
麗園,OMA00160,水秀里,臺南市鹽水區水秀里2鄰土庫2之37號,1.0,3523人,"23.327938,120.283645"
仲群維公司,OMA00162,橋南里,臺南市鹽水區橋南里14鄰五福路152號,1.0,116人,"23.306117,120.273251"
旭鋐金屬公司,OMA00163,橋南里,臺南市鹽水區橋南里14鄰自強街2號,1.0,184人,"23.307668,120.274489"
杜漢企業公司,OMA00164,橋南里,臺南市鹽水區橋南里14鄰自立街6號,1.0,104人,"23.30714,120.274311"
優達樹脂公司,OMA00165,橋南里,臺南市鹽水區橋南里14鄰自立街1號,1.0,333人,"23.307728,120.274815"
台灣電力公司,OMA00166,岸內里,臺南市鹽水區岸內里14鄰蔦松路2巷25號,1.0,175人,"23.324362,120.273202"
欣和大樓,OMA00167,義中里,臺南市鹽水區義中里4鄰義稠110之25號,1.0,1408人,"23.326013,120.254636"
勇健公司,OMA00168,汫水里,臺南市鹽水區汫水里7鄰溪州寮3號之8,1.0,199人,"23.340482,120.294245"
一般住宅,OMA00169,汫水里,臺南市鹽水區汫水里7鄰溪州寮4號之3,1.0,96人,"23.329141,120.281239"
華新麗華,OMA00170,汫水里,臺南市鹽水區汫水里7鄰溪州寮4號之3,1.0,343人,"23.329141,120.281239"
利億建設公司,OMA00171,東昇里,臺南市柳營區東昇里4鄰康樂街246號,1.0,106人,"23.280602,120.316184"
新營副產加工廠,OMA00172,人和里,臺南市柳營區人和里7鄰義士路五段690號,1.0,228人,"23.292017,120.314418"
新營副產加工廠,OMA00173,人和里,臺南市柳營區人和里7鄰義士路五段690號,1.0,156人,"23.292017,120.314418"
私立鳳和中學,OMA00174,東昇里,臺南市柳營區東昇里18鄰中山東路二段1330號,1.0,200人,"23.279603,120.326008"
私立鳳和中學,OMA00175,東昇里,臺南市柳營區東昇里18鄰中山東路二段1330號,1.0,226人,"23.279603,120.326008"
私立鳳和中學,OMA00176,東昇里,臺南市柳營區東昇里18鄰中山東路二段1330號,1.0,200人,"23.279603,120.326008"
私立敏惠護專,OMA00177,東昇里,臺南市柳營區東昇里18鄰中山東路二段1116號,1.0,188人,"23.279881,120.329702"
私立敏惠護專,OMA00178,東昇里,臺南市柳營區東昇里18鄰中山東路二段1116號,1.0,135人,"23.279881,120.329702"
佛山觀音巖,OMA00179,旭山里,臺南市柳營區旭山里4鄰麻埔20號,1.0,1116人,"23.24761,120.387733"
松戶企業有限公司,OMA00180,新南里,臺南市新營區新南里20鄰民治路336號,1.0,683人,"23.306068,120.303279"
中台山佛教基金會,OMA00181,王公里,臺南市新營區王公里11鄰長榮路一段459號,1.0,1435人,"23.319649,120.320699"
臺南市立新東國民中學,OMA00182,新東里,臺南市新營區新東里3鄰民治東路30號,1.0,1335人,"23.311389,120.323871"
帝寶工業公司,OMA00183,嘉芳里,臺南市新營區嘉芳里3鄰復興路756號,1.0,5333人,"23.308789,120.286584"
生泰合成工業,OMA00184,土庫里,臺南市新營區土庫里7鄰開元路168號,1.0,165人,"23.320639,120.336398"
春昱建設,OMA00185,新南里,臺南市新營區新南里3鄰金華路二段159號,1.0,913人,"23.309754,120.302663"
太子建設,OMA00186,新南里,臺南市新營區新南里16鄰民治路332之2號,2.0,3264人,"23.306307,120.303337"
康睿健康事業公司,OMA00187,新南里,臺南市新營區新南里2鄰隋唐街218號,2.0,2177人,"23.308395,120.30014"
一般住宅,OMA00188,中營里,臺南市新營區中營里1鄰工業街41號,1.0,3221人,"23.304061,120.322947"
未來室(大樓),OMA00189,新北里,臺南市新營區新北里21鄰金華路一段278號,1.0,1794人,"23.313998,120.306848"
大樓,OMA00190,民權里,臺南市新營區民權里11鄰中華路18號,,1100人,"23.305125,120.314293"
恆大公司,OUA00002,庄內里,臺南市白河區庄內里7鄰中山路526號,1.0,168人,"23.359265,120.422656"
佑昇醫院,OUA00005,永安里,臺南市白河區永安里13鄰民安路1號,1.0,789人,"23.346285,120.411204"
白河國小,OUA00006,永安里,臺南市白河區永安里3鄰三民路448號,1.0,466人,"23.35245,120.413833"
國立白河商工職校,OUA00007,永安里,臺南市白河區永安里14鄰新興路528號,1.0,93人,"23.353013,120.416421"
國立白河商工職校,OUA00008,永安里,臺南市白河區永安里14鄰新興路528號,1.0,528人,"23.353013,120.416421"
國立白河商工職校,OUA00009,永安里,臺南市白河區永安里14鄰新興路528號,1.0,62人,"23.353013,120.416421"
大竹國小,OUA00010,大竹里,臺南市白河區大竹里1鄰大排竹3號,1.0,60人,"23.368019,120.41259"
崎內國小,OUA00011,崎內里,臺南市白河區崎內里5鄰內崎內38之8號,1.0,64人,"23.385608,120.467348"
內角國小,OUA00013,內角里,臺南市白河區內角里1鄰內角1號,1.0,92人,"23.397611,120.440869"
六溪國小,OUA00014,六溪里,臺南市白河區六溪里5鄰六重溪26號,1.0,32人,"23.309505,120.459101"
家銓建設大樓,OUA00015,河東里,臺南市白河區河東里10鄰糞箕湖135之20號,1.0,665人,"23.345109,120.42352"
豊貿實業公司,OUA00017,後壁里,臺南市後壁區後壁里2鄰後壁42號之13,1.0,256人,"23.362259,120.359404"
國立後壁高中,OUA00019,嘉苳里,臺南市後壁區嘉苳里6鄰下茄苳132號,1.0,134人,"23.355813,120.35903"
國立後壁高中,OUA00020,嘉苳里,臺南市後壁區嘉苳里6鄰下茄苳132號,1.0,172人,"23.355813,120.35903"
國立後壁高中,OUA00021,嘉苳里,臺南市後壁區嘉苳里6鄰下茄苳132號,1.0,212人,"23.355813,120.35903"
國立後壁高中,OUA00022,嘉苳里,臺南市後壁區嘉苳里6鄰下茄苳132號,1.0,80人,"23.355813,120.35903"
後壁區公所,OUA00023,後壁里,臺南市後壁區後壁里1鄰後壁129號,1.0,697人,"23.366067,120.361983"
東山區公所活動中心,OUA00024,東山里,臺南市東山區東山里4鄰東山225號,1.0,410人,"23.326217,120.404473"
東山區衛生所,OUA00027,東山里,臺南市東山區東山里4鄰東山236號,1.0,53人,"23.326329,120.404723"
東原菜市場,OUA00028,東原里,臺南市東山區東原里1鄰前大埔2號之14,1.0,297人,"23.266594,120.446196"
華濟中學,OUA00029,聖賢里,臺南市東山區聖賢里11鄰頂窩65號,1.0,1092人,"23.306801,120.339605"
