類別,電腦編號,里別,緯經度,地下層數位址,可容納人數,轄管分局,備註,停車場坡道,placemark_address
銀行,EOA00028,一心里,"24.878247,121.288436",1.0,229.0,大溪分局,,
公寓,EOA00029,一心里,"24.88065,121.290999",1.0,892.0,大溪分局,,O,桃園市大溪區文化路132巷33號
公寓,EOA00030,一心里,"24.881526,121.288936",1.0,204.0,大溪分局,,,桃園市大溪區慈湖路111號
公寓,EOA00031,一德里,"24.87846,121.289401",1.0,696.0,大溪分局,,O,桃園市大溪區文化路166巷16號
大樓,EOA00032,一心里,"24.882383,121.289107",1.0,1773.0,大溪分局,,O,桃園市大溪區慈湖路83號
公寓,EOA00033,一心里,"24.877967,121.291504",1.0,653.0,大溪分局,,,桃園市大溪區復興路148巷16號
公寓,EOA00034,一心里,"24.879987,121.290361",1.0,309.0,大溪分局,,,桃園市大溪區復興路61號
公寓,EOA00035,一心里,"24.879581,121.290574",1.0,946.0,大溪分局,,O,桃園市大溪區復興路80號
大樓,EOA00038,一德里,"24.876914,121.289128",1.0,1062.0,大溪分局,,,桃園市大溪區天祥街38巷57號
大樓,EOA00039,一心里,"24.88149,121.294549",1.0,1986.0,大溪分局,,,桃園市大溪區文化路59巷16號
大樓,EOA00040,一心里,"24.881171,121.294263",1.0,885.0,大溪分局,,O,桃園市大溪區文化路75巷26號
大樓,EOA00041,一心里,"24.879023,121.292544",1.0,489.0,大溪分局,,O,桃園市大溪區文化路129巷22號
銀行,EOA00043,一心里,"24.884571,121.290194",1.0,1272.0,大溪分局,,
公寓,EOA00044,南興里,"24.907571,121.259684",1.0,570.0,大溪分局,,,桃園市大溪區南興里仁和路2段412號
公寓,EOA00045,南興里,"24.903852,121.263218",1.0,300.0,大溪分局,,,桃園市大溪區仁和路2段255號
公寓,EOA00046,仁善里,"24.912419,121.289163",1.0,53.0,大溪分局,,,桃園市大溪區介壽路476號
公寓,EOA00048,南興里,"24.905363,121.262413",1.0,178.0,大溪分局,,,桃園市大溪區仁和路2段269號
公寓,EOA00050,南興里,"24.905363,121.262413",1.0,213.0,大溪分局,,,桃園市大溪區仁和路2段269號
公寓,EOA00051,南興里,"24.899307,121.267423",1.0,533.0,大溪分局,,,桃園市大溪區仁和路2段269號
公寓,EOA00052,仁善里,"24.919067,121.287612",1.0,276.0,大溪分局,,,桃園市大溪區仁善里新光東路76巷29號
公寓,EOA00053,仁愛里,"24.905497,121.272465",1.0,400.0,大溪分局,,,"桃園市大溪區儲蓄路 93 巷 39 弄 27 號"
大樓,EOA00054,仁武里,"24.906047,121.285208",1.0,1020.0,大溪分局,,,桃園市大溪區仁武里長興街二段189號
公寓,EOA00056,瑞源里,"24.886277,121.257164",1.0,168.0,大溪分局,,,桃園市大溪區瑞源里20鄰員東路511號
公寓,EOA00057,瑞源里,"24.877431,121.263465",1.0,25.0,大溪分局,,,桃園市大溪區石園路224號
大樓,EOA00059,瑞源里,"24.875853,121.258462",1.0,1568.0,大溪分局,,,桃園市大溪區員林路三段155巷168號
公寓,EOA00060,光明里,"24.885871,121.270757",1.0,130.0,大溪分局,,,桃園市大溪區齋明街1號
公寓,EOA00061,三元里,"24.884096,121.27052",1.0,476.0,大溪分局,,O,桃園市大溪區三元一街38號
公寓,EOA00062,光明里,"24.885636,121.270239",1.0,492.0,大溪分局,,O,桃園市大溪區齋明街2號
公寓,EOA00063,瑞源里,"24.880293,121.262172",1.0,420.0,大溪分局,,,桃園市大溪區員林路3段154巷4號
大樓,EOA00064,瑞源里,"24.868814,121.256791",1.0,1026.0,大溪分局,,,桃園市大溪區石園路560號
公寓,EOA00065,義和里,"24.850812,121.276229",1.0,24.0,大溪分局,,,桃園市大溪區康莊路3段417號
公寓,EOA00067,康安里,"24.861573,121.282791",1.0,644.0,大溪分局,,,桃園市大溪區1鄰康莊路3段1號
公寓,EOA00068,復興里,"24.8195756,121.2885224",1.0,184.0,大溪分局,,,桃園市大溪區環湖路二段88號
大樓,EOA00071,瑞興里,"24.8968531,121.2885412",1.0,1300.0,大溪分局,,,桃園市大溪區大鶯路179號
大樓,EOA00072,瑞興里,"24.8917289,121.2804156",1.0,2758.0,大溪分局,,O,桃園市大溪區大鶯路60巷232號
大樓,"EOA00073 ",美華里,"24.87367,121.304036",2.0,2464.0,大溪分局,,O,桃園市大溪區美山路一段601巷142弄1號
大樓,EOA00074,永福里,"24.880679,121.327131",1.0,1584.0,大溪分局,,O,桃園市大溪區15鄰日新路168號
大樓,EOA00075,永福里,"24.880679,121.327131",1.0,1584.0,大溪分局,,,桃園市大溪區15鄰日新路168號
公寓,EOA00076,澤仁里,"24.813089,121.350914",1.0,145.0,大溪分局,,,桃園市復興區中山路1號
公寓,EOA00077,興和里,"24.884477,121.285474",1.0,269.0,大溪分局,,,桃園市大溪區仁愛路1號
公寓,EOA00078,田心里,"24.883244,121.29116O",1.0,246.0,大溪分局,,,桃園市大溪區東一路38號
大樓,EOA00079,一德里,"24.877212,121.291653",1.0,996.0,大溪分局,,O,桃園市大溪區中華路314號
大樓,EOA00080,一德里,"24.876918,121.290915",1.0,906.0,大溪分局,,,桃園市大溪區天祥街76巷8號
大樓,EOA00081,一心里,"24.883802,121.291592",1.0,1688.0,大溪分局,,O,桃園市大溪區東二路22號
大樓,EOA00082,一心里,"24.879498,121.292931",1.0,253.0,大溪分局,,,桃園市大溪區文化路125巷30號
公寓,EOA00083,一德里,"24.876288,121.290815",1.0,1333.0,大溪分局,,,桃園市大溪區中華路346號
大樓,EOA00084,一德里,"24.876993,121.289428",1.0,1333.0,大溪分局,,,桃園市大溪區文化路210號
大樓,EOA00085,一德里,"24.877606,121.290306",1.0,600.0,大溪分局,,O,桃園市大溪區文化路171號
公寓,EOA00088,一心里,"24.883336,121.294131",1.0,1200.0,大溪分局,,O,桃園市大溪區中華路70巷17號
公寓,EOA00089,興和里,"24.881878,121.285970",1.0,570.0,大溪分局,,,桃園市大溪區登龍路11號
公寓,EOA00090,興和里,"24.882764,121.287525",1.0,40.0,大溪分局,,,桃園市大溪區中央路151號
公寓,EOA00091,瑞興里,"24.8968847,121.2885705",1.0,570.0,大溪分局,,,桃園市大溪區大鶯路181巷1號
公寓,EOA00092,田心里,"24.888186,121.297184",1.0,684.0,大溪分局,,,桃園市大溪區信義路283號
公寓,EOA00094,月眉里,"24.894517,121.303934",1.0,117.0,大溪分局,,,桃園市大溪區信義路621號
公寓,EOA00095,一德里,"24.871347,121.285699",1.0,56.0,大溪分局,,,桃園市大溪區康莊路536號
銀行,EOA00096,興和里,"24.881637,121.288237",1.0,276.0,大溪分局,,
公寓,EOA00097,一心里,"24.88551,121.293652",1.0,72.0,大溪分局,,,桃園市大溪區信義路180號
公寓,EOA00098,一德里,"24.86683,121.284171",1.0,178.0,大溪分局,,,桃園市大溪區康莊路695號
公寓,EOA00099,一德里,"24.875312,121.287423",1.0,221.0,大溪分局,,,桃園市大溪區文化路273巷18弄12號
電信,EOA00101,一心里,"24.881841,121.288806",1.0,573.0,大溪分局,,
大樓,EOA00102,仁義里,"24.923233,121.296252",1.0,6489.0,大溪分局,,,桃園市大溪區仁義里大綸街1之107號
公寓,EOA00103,一德里,"24.878244,121.288162",1.0,873.0,大溪分局,,,桃園市大溪區康莊路247號
公寓,EOA00104,興和里,"24.880981,121.288863",1.0,296.0,大溪分局,,,桃園市大溪區慈湖路151號
大樓,EOA00105,一心里,"24.872475,121.283776",1.0,1922.0,大溪分局,,O,桃園市大溪區勝利街97巷22號
大樓,EOA00106,義和里,"24.845895,121.272603",1.0,1001.0,大溪分局,,,桃園市大溪區10鄰康莊路3段666號
大樓,EOA00107,一德里,"24.876477,121.289601",1.0,5588.0,大溪分局,,O,桃園市大溪區大漢街41號
公寓,EOA00108,一心里,"24.880692,121.288798",1.0,318.0,大溪分局,,,桃園市大溪區復興路2號
大樓,EOA00110,一心里,"24.881746,121.289470",1.0,2109.0,大溪分局,,,桃園市大溪區中正東路22巷22號
公寓,EOA00111,永福里,"24.888076,121.323739",1.0,428.0,大溪分局,,,桃園市大溪區向榮路1巷7號
大樓,EOA00112,一德里,"24.876477,121.289601",1.0,2793.0,大溪分局,,,桃園市大溪區大漢街41號
大樓,EOA00113,一心里,"24.879919,121.291271",1.0,1597.0,大溪分局,,,桃園市大溪區和二路79巷45弄5號
大樓,EOA00114,瑞源里,"24.881029,121.26191",1.0,993.0,大溪分局,,,桃園市大溪區員林路3段152巷23號
大樓,EOA00116,仁善里,"24.906225,121.260901",1.0,12921.0,大溪分局,,O,桃園市大溪區仁和路2段349號
大樓,EOA00117,一心里,"24.880668,121.292334",1.0,1124.0,大溪分局,,O,桃園市大溪區文化路120號
大樓,EOA00118,一德里,"24.877519,121.288346",1.0,673.0,大溪分局,,,桃園市大溪區天祥街16巷24號
大樓,EOA00119,瑞興里,"24.9169155,121.2970572",2.0,1190.0,大溪分局,,,桃園市大溪區大鶯路848號
公寓,EOA00120,瑞興里,"24.9149054,121.2978427",2.0,318.0,大溪分局,,,桃園市大溪區大鶯路755號
大樓,EOA00121,福安里,"24.850352,121.288517",1.0,534.0,大溪分局,,,桃園市大溪區16鄰復興路一段755號
大樓,EOA00123,仁愛里,"24.903129,121.274861",1.0,4244.0,大溪分局,,O,桃園市大溪區仁愛里埔頂路1段357巷21號
大樓,EOA00124,僑愛里,"24.921793,121.292695",1.0,2909.0,大溪分局,,O,桃園市大溪區僑愛里僑愛一街9號
大樓,EOA00125,福仁里,"24.884169,121.286798",1.0,1610.0,大溪分局,,O,桃園市大溪區登龍路19號
大樓,"EOA00126 ",美華里,"24.86962,121.302481",1.0,893.0,大溪分局,,,桃園市大溪區美山路二段1巷98弄51號
大樓,EOA00127,光明里,"24.88562,121.270409",1.0,2960.0,大溪分局,,O,桃園市大溪區齋明街8號
大樓,EOA00128,仁善里,"24.917266,121.287943",1.0,3341.0,大溪分局,,O,桃園市大溪區新光東路80號
大樓,EOA00129,美華里,"24.86302,121.305216",3.0,4596.0,大溪分局,,,桃園市大溪區7鄰美和路265號
大樓,EOA00130,仁和里,"24.892753,121.274186",1.0,808.0,大溪分局,,O,桃園市大溪區仁和里13鄰員林路1段390號
大樓,EOA00131,仁愛里,"24.903129,121.274861",1.0,3438.0,大溪分局,,O,桃園市大溪區仁愛里9鄰埔頂路1段357巷139號
公寓,EOA00132,澤仁里,"24.815101,121.350999",1.0,70.0,大溪分局,,,桃園市復興區中正路25號
大樓,EOA00133,仁和里,"24.894367,121.274929",1.0,1598.0,大溪分局,,O,桃園市大溪區仁和里13鄰仁和七街30號
大樓,EOA00135,一德里,"24.879056,121.287779",1.0,726.0,大溪分局,,,桃園市大溪區中央路27號
大樓,EOA00136,一德里,"24.869162,121.285033",1.0,3495.0,大溪分局,,O,桃園市大溪區一德里康莊路641號
大樓,EOA00138,美華里,"121.30202,24.885266",2.0,541.0,大溪分局,,,桃園市大溪區美華里14鄰美山路一段151巷36弄50號
大樓,EOA00139,仁善里,"24.908774,121.28621",1.0,1514.0,大溪分局,,,桃園市大溪區仁善里26鄰介壽路566巷25弄189號
大樓,EOA00140,一德里,"24.869162,121.285033",1.0,1204.0,大溪分局,,,桃園市大溪區天祥街32巷5號
大樓,EOA00141,仁善里,"24.919008,121.288772",1.0,7179.0,大溪分局,,,桃園市大溪區仁善里15鄰新光東路76巷22-2號
大樓,EOA00142,南興里,"24.89923,121.260617",1.0,2457.0,大溪分局,,O,桃園市大溪區南興里21鄰快速路162號
公寓,EOA00143,光明里,"24.883934,121.270397",1.0,547.0,大溪分局,,,桃園市大溪區三元一街67巷12之1號
大樓,EOA00144,仁善里,"24.915049,121.281136",1.0,1230.0,大溪分局,,O,桃園市大溪區光仁善里5鄰埔頂路二段350號
大樓,EOA00145,仁武里,"24.906584,121.284869",1.0,3577.0,大溪分局,,O,桃園市大溪區仁善一街106巷1號
大樓,EOA00146,一德里,"24.874922,121.288105",1.0,752.0,大溪分局,,,桃園市大溪區22鄰文化路273巷52號
大樓,EOA00147,仁愛里,"24.90195,121.277677",1.0,619.0,大溪分局,,,桃園市大溪區仁愛里2鄰埔仁路216號
大樓,EOA00148,仁和里,"24.894449,121.2709133",2.0,2030.0,大溪分局,,,桃園市大溪區仁和里20鄰仁和東街96號
大樓,EOA00149,一心里,"24.8789285,121.2912157",1.0,1595.0,大溪分局,,,桃園市大溪區一心里37鄰文化路138號
大樓,EOA00150,仁善里,"24.913996,121.2794493",3.0,11979.0,大溪分局,,O,桃園市大溪區仁善里仁善街202號
大樓,EOA00152,瑞興里,"24.8882938,121.2790736",2.0,985.0,大溪分局,,O,桃園市大溪區瑞安路一段168號
大樓,EOA00153,仁武里,"24.8995371,121.2790992",1.0,272.0,大溪分局,,,桃園市大溪區仁武里8鄰員林路一段142巷82號
公寓,EOA00154,光明里,"24.8911558,121.2706323",1.0,1429.0,大溪分局,,O,桃園市大溪區光明里1鄰員林路二段173巷27號
大樓,EOA00157,一心里,"24.880577,121.290396",1.0,626.0,大溪分局,,,桃園市大溪區一心里34鄰文化路151號
大樓,EOA00158,一心里,"24.877893,121.291428",2.0,788.0,大溪分局,,,桃園市大溪區一心里34鄰文化路153巷36號
大樓,EOA00159,仁文里,"24.899717,121.2855718",2.0,817.0,大溪分局,,O,桃園市大溪區仁文里19鄰華興街62號
大樓,EOA00160,僑愛里,"24.9216536,121.290169",1.0,1481.0,大溪分局,,O,桃園市大溪區34鄰介壽路212巷58號
大樓,EOA00161,員林里,"24.885912,121.2675805",2.0,1447.0,大溪分局,,,桃園市大溪區員林里1鄰員林路二段228-2號
大樓,EOA00162,仁和里,"24.8970193,121.2793891",2.0,3387.0,大溪分局,,O,桃園市大溪區仁和里1鄰福居街72號
文化會館,EOA00002,興和里,"24.883466,121.287068",1.0,2256.0,大溪分局,,O,桃園市大溪區登龍路22號
地政事務所,EOA00015,興和里,"24.882139,121.288331",1.0,573.0,大溪分局,,,桃園市大溪區康莊路95號
郵局,EOA00026,一德里,"24.879435,121.288379",1.0,724.0,大溪分局,,
區公所,EOA00036,興和里,"24.880508,121.28715",1.0,414.0,大溪分局,,,桃園市大溪區普濟路11號
學校,EOA00037,福仁里,"24.883759,121.286851",1.0,40.0,大溪分局,,,桃園市大溪區登龍路20號
農會,EOA00042,福仁里,"24.883633,121.287802",1.0,173.0,大溪分局,,
警察機關,EOA00122,一心里,"24.879598,121.288627",1.0,734.0,大溪分局,,
學校,EOA00134,仁和里,"24.898273,121.276764",1.0,2224.0,大溪分局,,O,桃園市大溪區仁和里7鄰仁和二街50號
學校,EOA00137,員林里,"24.882895,121.265943",1.0,1430.0,大溪分局,,,桃園市大溪區員林路二段450號
警察機關,EOA00155,仁和里,"24.8960663,121.2758144",1.0,620.0,大溪分局,,
學校,EOA00156,光明里,"24.883759,121.286851",1.0,4225.0,大溪分局,,,桃園市大溪區福仁里8鄰登龍路19號
警察機關,EOA00151,福安里,"24.857942,121.29501",2.0,2202.0,大溪分局,,O
區公所,EOA00109,澤仁里,"24.814771,121.351098",2.0,809.0,大溪分局,,,桃園市復興區中正路20號
大樓,EOA00163,南興里,"24.9068649,121.2583208",1.0,972.0,大溪分局,,,桃園市大溪區南興里9鄰仁和路二段365號
大樓,EOA00164,員林里,"24.8841156,121.2655507",2.0,1230.0,大溪分局,,O,桃園市大溪區員林里8鄰員林路二段392巷58號
大樓,EOA00165,南興里,"24.9078597,121.2649617",2.0,2366.0,大溪分局,,O,桃園市大溪區南興里3鄰仁和路二段190巷300號
