電腦編號,里別,經緯度,"地下 層數",可容納人數,轄管分局,停車場坡道
EQA00072,光華里,"24.916831,121.181021",1.0,28.0,楊梅分局,
EQA00074,光華里,"24.909368,121.180712",1.0,24.0,楊梅分局,○
EQA00076,光華里,"24.910348,121.180652",1.0,381.0,楊梅分局,○
EQA00077,光華里,"24.913455,121.182315",1.0,74.0,楊梅分局,○
EQA00079,青山里,"24.922604,121.180618",1.0,149.0,楊梅分局,
EQA00083,仁美里,"24.920460,121.183685",1.0,240.0,楊梅分局,○
EQA00084,仁美里,"24.920472,121.183743",1.0,186.0,楊梅分局,○
EQA00086,永寧里,"24.900530,121.146050",3.0,2869.0,楊梅分局,○
EQA00087,瑞坪里,"24.904067,121.180278",1.0,602.0,楊梅分局,○
EQA00089,瑞塘里,"24.905710,121.175536",1.0,946.0,楊梅分局,
EQA00090,瑞坪里,"24.895299,121.181103",1.0,160.0,楊梅分局,
EQA00091,瑞坪里,"24.901567,121.179172",1.0,725.0,楊梅分局,○
EQA00093,瑞坪里,"24.902807,121.178508",1.0,528.0,楊梅分局,○
EQA00096,瑞坪里,"24.898768,121.181710",1.0,442.0,楊梅分局,○
EQA00097,三民里,"24.904609,121.174139",1.0,1925.0,楊梅分局,○
EQA00098,瑞塘里,"24.906534,121.175916",1.0,1145.0,楊梅分局,○
EQA00103,瑞塘里,"24.912341,121.173741",1.0,425.0,楊梅分局,○
EQA00105,埔心里,"24.915500,121.183793",1.0,1817.0,楊梅分局,○
EQA00107,瑞塘里,"24.913826,121.177110",1.0,1037.0,楊梅分局,○
EQA00109,仁美里,"24.918527,121.185611",1.0,862.0,楊梅分局,○
EQA00112,楊明里,"24.911665,121.157485",1.0,2108.0,楊梅分局,○
EQA00116,楊梅里,"24.912069,121.140793",1.0,673.0,楊梅分局,○
EQA00117,金溪里,"24.882453,121.170568",1.0,1681.0,楊梅分局,○
EQA00118,金溪里,"24.884647,121.169131",1.0,184.0,楊梅分局,○
EQA00119,金溪里,"24.884179,121.169002",1.0,994.0,楊梅分局,○
EQA00120,梅溪里,"24.908535,121.166816",1.0,133.0,楊梅分局,
EQA00121,三民里,"24.908541,121.165578",2.0,1764.0,楊梅分局,○
EQA00122,三民里,"24.905383,121.173391",1.0,1893.0,楊梅分局,○
EQA00123,金溪里,"24.885170,121.169094",1.0,1653.0,楊梅分局,○
EQA00125,金溪里,"24.884992,121.169202",1.0,1172.0,楊梅分局,○
EQA00127,梅溪里,"24.909362,121.169432",1.0,917.0,楊梅分局,○
EQA00128,三民里,"24.908087,121.168113",1.0,104.0,楊梅分局,
EQA00130,永平里,"24.915067,121.177203",1.0,734.0,楊梅分局,
EQA00131,青山里,"24.919665,121.168549",1.0,3606.0,楊梅分局,○
EQA00132,瑞塘里,"24.908060,121.180013",1.0,450.0,楊梅分局,○
EQA00133,永平里,"24.918577,121.170510",1.0,260.0,楊梅分局,○
EQA00134,仁美里,"24.897630,121.159284",1.0,310.0,楊梅分局,○
EQA00135,永平里,"24.918834,121.171189",1.0,40.0,楊梅分局,○
EQA00136,永平里,"24.913314,121.168521",1.0,192.0,楊梅分局,○
EQA00137,永平里,"24.916400,121.180429",1.0,858.0,楊梅分局,○
EQA00139,永平里,"24.919023,121.172076",1.0,1030.0,楊梅分局,○
EQA00140,永平里,"24.919334,121.172615",1.0,3898.0,楊梅分局,○
EQA00141,富岡里,"24.929906,121.069371",3.0,245.0,楊梅分局,○
EQA00142,富豐里,"24.925037,121.066232",1.0,1781.0,楊梅分局,
EQA00143,富岡里,"24.935315,121.080430",1.0,32.0,楊梅分局,
EQA00144,富岡里,"24.935310,121.080403",1.0,33.0,楊梅分局,
EQA00145,富岡里,機敏單位,1.0,106.0,楊梅分局,
EQA00146,富岡里,"24.935283,121.080184",1.0,32.0,楊梅分局,
EQA00147,富岡里,"24.935937,121.079019",1.0,990.0,楊梅分局,○
EQA00148,豐野里,"24.938997,121.073712",1.0,536.0,楊梅分局,
EQA00149,豐野里,"24.943338,121.071030",1.0,172.0,楊梅分局,
EQA00150,員本里,機敏單位,1.0,965.0,楊梅分局,
EQA00152,富岡里,"24.938726,121.073264",1.0,32.0,楊梅分局,
EQA00156,頭湖里,"24.900887,121.105873",1.0,258.0,楊梅分局,
EQA00159,永寧里,"24.896960,121.147600",1.0,329.0,楊梅分局,○
EQA00161,三湖里,"24.913298,121.104151",1.0,125.0,楊梅分局,
EQA00163,上湖里,"24.907775,121.067341",1.0,712.0,楊梅分局,
EQA00164,上湖里,"24.913297,121.097585",1.0,365.0,楊梅分局,
EQA00165,上湖里,"24.896282,121.103232",1.0,97.0,楊梅分局,
EQA00166,上湖里,"24.916213,121.059960",1.0,460.0,楊梅分局,
EQA00167,上湖里,"24.899779,121.094537",1.0,93.0,楊梅分局,
EQA00169,瑞原里,"24.924216,121.110213",1.0,53.0,楊梅分局,
EQA00173,瑞原里,"24.931486,121.115304",1.0,1600.0,楊梅分局,
EQA00175,瑞原里,"24.928698,121.107380",1.0,241.0,楊梅分局,
EQA00176,新屋里,"24.972894,121.104184",2.0,544.0,楊梅分局,○
EQA00177,石磊里,"24.988785,121.101247",1.0,857.0,楊梅分局,
EQA00178,清華里,"24.983668,121.106143",1.0,2133.0,楊梅分局,○
EQA00179,新生里,"24.973461,121.099747",1.0,982.0,楊梅分局,
EQA00180,新榮里,機敏單位,1.0,1880.0,楊梅分局,○
EQA00181,新榮里,"24.955407,121.154746",1.0,2171.0,楊梅分局,
EQA00182,石磊里,"24.993251,121.098471",1.0,97.0,楊梅分局,
EQA00183,高上里,"24.930459,121.160603",1.0,48.0,楊梅分局,
EQA00184,青山里,"24.924940,121.170550",1.0,444.0,楊梅分局,○
EQA00185,高上里,"24.931892,121.162836",1.0,4677.0,楊梅分局,
EQA00186,高上里,"24.931562,121.160665",1.0,972.0,楊梅分局,
EQA00187,高上里,"24.931206,121.160707",1.0,50.0,楊梅分局,
EQA00188,高上里,"24.923946,121.164719",1.0,86.0,楊梅分局,
EQA00189,高上里,"24.923143,121.164719",1.0,42.0,楊梅分局,
EQA00190,高上里,"24.923545,121.164365",1.0,61.0,楊梅分局,
EQA00192,高上里,"24.928712,121.160297",1.0,41.0,楊梅分局,
EQA00193,高上里,"24.923837,121.149190",1.0,1749.0,楊梅分局,
EQA00195,高上里,"24.922320,121.147380",1.0,316.0,楊梅分局,
EQA00196,高上里,"24.926780,121.161512",1.0,262.0,楊梅分局,
EQA00198,埔頂里,"24.958359,121.112798",1.0,4936.0,楊梅分局,
EQA00199,埔頂里,"24.957558,121.113866",1.0,174.0,楊梅分局,
EQA00201,埔頂里,"24.963202,121.093296",1.0,2133.0,楊梅分局,
EQA00202,清華里,"24.984170,121.103944",1.0,12286.0,楊梅分局,○
EQA00213,頭洲里,"24.968581,121.136524",1.0,1110.0,楊梅分局,○
EQA00215,頭洲里,"24.948044,121.140898",1.0,96.0,楊梅分局,
EQA00216,永安里,"24.986071,121.027668",1.0,329.0,楊梅分局,○
EQA00217,永安里,"24.979694,121.036971",1.0,269.0,楊梅分局,○
EQA00218,頭洲里,"24.964934,121.139899",1.0,633.0,楊梅分局,○
EQA00220,楊明里,"24.912167,121.159964",3.0,3215.0,楊梅分局,
EQA00221,永安里,"24.983231,121.033350",1.0,139.0,楊梅分局,○
EQA00222,永安里,"24.985989,121.028428",1.0,427.0,楊梅分局,○
EQA00223,永安里,"24.985532,121.028936",1.0,186.0,楊梅分局,○
EQA00224,永安里,"24.981036,121.040010",1.0,1069.0,楊梅分局,○
EQA00225,永安里,"24.985967,121.026837",1.0,332.0,楊梅分局,○
EQA00226,金龍里,"24.911856,121.184816",2.0,4609.0,楊梅分局,
EQA00227,永安里,"24.981916,121.040223",1.0,8822.0,楊梅分局,○
EQA00228,永安里,機敏單位,1.0,425.0,楊梅分局,○
EQA00229,永安里,"24.983720,121.031792",1.0,71.0,楊梅分局,○
EQA00230,永安里,"24.983656,121.031747",1.0,150.0,楊梅分局,○
EQA00231,永安里,"24.979723,121.039154",1.0,269.0,楊梅分局,○
EQA00232,永安里,"24.983311,121.034414",1.0,145.0,楊梅分局,○
EQA00233,笨港里,"24.981772,121.024339",1.0,327.0,楊梅分局,○
EQA00234,赤欄里,"24.979364,121.070520",1.0,81.0,楊梅分局,○
EQA00235,赤欄里,"24.984915,121.075033",1.0,70.0,楊梅分局,○
EQA00236,永寧里,"24.898483,121.146343",1.0,304.0,楊梅分局,
EQA00238,後庄里,"24.954831,121.027299",1.0,262.0,楊梅分局,
EQA00241,裕新里,"24.899555, 121.156934",2.0,12371.0,楊梅分局,○
EQA00242,永平里,"24.917532,121.169974",1.0,446.0,楊梅分局,○
EQA00243,楊明里,"24.911221,121.154124",1.0,5064.0,楊梅分局,○
EQA00244,瑞塘里,"24.909217,121.172792",1.0,357.0,楊梅分局,○
EQA00246,高山里,"24.923814,121.149218",1.0,3652.0,楊梅分局,
EQA00247,高上里,"24.923143,121.164719",1.0,338.0,楊梅分局,
EQA00248,高山里,"24.921743,121.146790",1.0,2830.0,楊梅分局,
EQA00249,高上里,"24.928637,121.158797",1.0,114.0,楊梅分局,
EQA00250,員本里,"24.930980,121.099045",1.0,88.0,楊梅分局,
EQA00251,豐野里,"24.937422,121.078509",1.0,658.0,楊梅分局,
EQA00252,上湖里,"24.899779,121.094537",1.0,492.0,楊梅分局,
EQA00253,瑞原里,"24.923597,121.114055",1.0,436.0,楊梅分局,
EQA00254,瑞原里,"24.926466,121.116333",1.0,614.0,楊梅分局,
EQA00255,頭湖里,"24.899342,121.110218",1.0,934.0,楊梅分局,
EQA00256,三湖里,"24.914593,121.098419",1.0,52.0,楊梅分局,
EQA00257,九斗里,"24.962244,121.138412",1.0,229.0,楊梅分局,
EQA00258,四維里,"24.914322,121.180967",3.0,3882.0,楊梅分局,○
EQA00260,富岡里,機敏單位,1.0,392.0,楊梅分局,
EQA00261,員本里,"24.930708,121.099036",1.0,81.0,楊梅分局,
EQA00262,員本里,"24.932491,121.099137",12.0,339.0,楊梅分局,
EQA00263,楊梅里,"24.915999,121.143560",3.0,2084.0,楊梅分局,
EQA00264,大平里,"24.911565,121.133105",1.0,3772.0,楊梅分局,
EQA00265,光華里,"24.913078,121.181956",1.0,774.0,楊梅分局,
EQA00266,高山里,"24.923837,121.149190",1.0,509.0,楊梅分局,
EQA00269,高上里,"24.926739,121.163442",1.0,73.0,楊梅分局,
EQA00270,高上里,"24.927858,121.158718",1.0,114.0,楊梅分局,
EQA00271,高上里,"24.928868,121.159907",1.0,704.0,楊梅分局,○
EQA00272,三湖里,"24.913974,121.102503",1.0,605.0,楊梅分局,
EQA00274,東明里,"24.965291,121.088505",1.0,3108.0,楊梅分局,○
EQA00275,東流里,"24.891486,121.114144",1.0,10192.0,楊梅分局,○
EQA00276,高上里,"24.927530,121.158358",1.0,1942.0,楊梅分局,
EQA00277,高上里,"24.928858,121.158399",1.0,1313.0,楊梅分局,
EQA00278,高上里,"24.927767,121.161378",1.0,70.0,楊梅分局,
EQA00279,四維里,"24.915093,121.182254",1.0,134.0,楊梅分局,
EQA00280,員本里,"24.932874,121.099009",1.0,202.0,楊梅分局,
EQA00281,新屋里,"24.972264,121.101256",1.0,464.0,楊梅分局,
EQA00283,富岡里,"24.932727,121.083722",1.0,352.0,楊梅分局,
EQA00285,富豐里,"24.926079,121.101350",1.0,108.0,楊梅分局,
EQA00287,九斗里,"24.96974, 121.13526",1.0,1898.0,楊梅分局,○
EQA00288,高上里,"24.936647,121.161535",1.0,332.0,楊梅分局,
EQA00289,高上里,"24.925946,121.154309",1.0,1526.0,楊梅分局,○
EQA00290,高上里,"24.924799,121.164868",1.0,153.0,楊梅分局,
EQA00291,楊梅里,"24.910091,121.144800",1.0,852.0,楊梅分局,○
EQA00293,梅新里,"24.903215,121.148437",1.0,3643.0,楊梅分局,○
EQA00294,梅溪里,機敏單位,2.0,1872.0,楊梅分局,○
EQA00295,永平里,"24.916532,121.173066",1.0,196.0,楊梅分局,○
EQA00296,青山里,"24.923214,121.172022",1.0,180.0,楊梅分局,○
EQA00297,高上里,"24.930327,121.159224",1.0,270.0,楊梅分局,○
EQA00298,高上里,"24.923143,121.164719",1.0,32.0,楊梅分局,
EQA00301,三民里,"24.906191,121.171783",1.0,1122.0,楊梅分局,○
EQA00302,瑞坪里,"24.902934,121.174967",1.0,225.0,楊梅分局,○
EQA00303,高上里,"24.926351,121.163556",1.0,230.0,楊梅分局,○
EQA00304,高上里,"24.930054,121.157686",1.0,230.0,楊梅分局,
EQA00305,高上里,"24.925165,121.156528",2.0,4381.0,楊梅分局,○
EQA00308,員本里,"24.934707,121.097702",1.0,93.0,楊梅分局,
EQA00309,三民里,"24.907787,121.165300",2.0,5080.0,楊梅分局,○
EQA00310,三民里,"24.908519,121.165242",2.0,3597.0,楊梅分局,○
EQA00311,埔心里,"24.918203,121.182697",1.0,393.0,楊梅分局,○
EQA00312,水美里,"24.911167,121.135680",1.0,210.0,楊梅分局,
EQA00314,中山里,"24.909858,121.154420",2.0,1686.0,楊梅分局,
EQA00316,高上里,"24.927974,121.160841",1.0,178.0,楊梅分局,
EQA00317,員本里,"24.935265,121.097790",1.0,2597.0,楊梅分局,
EQA00318,永平里,"24.917489,121.170840",1.0,1473.0,楊梅分局,
EQA00319,瑞塘里,"24.908016,121.177541",1.0,1869.0,楊梅分局,○
EQA00321,員本里,"24.932850,121.099536",1.0,3516.0,楊梅分局,
EQA00323,清華里,"24.971633,121.121138",1.0,1142.0,楊梅分局,
EQA00325,中山里,"24.908272,121.148675",1.0,2112.0,楊梅分局,○
EQA00326,秀才里,"24.888284,121.131544",1.0,4133.0,楊梅分局,○
EQA00327,梅溪里,"24.905337,121.174193",3.0,1130.0,楊梅分局,○
EQA00328,青山里,"24.922387,121.173324",1.0,7913.0,楊梅分局,○
EQA00329,高上里,"24.926583,121.165025",1.0,61.0,楊梅分局,
EQA00330,九斗里,"24.969742,121.133078",1.0,2105.0,楊梅分局,○
EQA00331,仁美里,"24.915713,121.186455",1.0,2612.0,楊梅分局,○
EQA00333,高榮里,"24.924238,121.180863",1.0,316.0,楊梅分局,○
EQA00334,新屋里,"24.970544,121.099537",1.0,4273.0,楊梅分局,○
EQA00335,三湖里,"24.912787,121.122040",1.0,193.0,楊梅分局,
EQA00336,四維里,"24.916212,121.179944",1.0,185.0,楊梅分局,
EQA00337,望間里,"24.945272,121.062129",1.0,468.0,楊梅分局,
EQA00338,光華里,"24.917123,121.182518",2.0,8792.0,楊梅分局,○
EQA00339,高上里,"24.927895,121.168530",2.0,606.0,楊梅分局,
EQA00340,瑞原里,"24.924862,121.117512",1.0,622.0,楊梅分局,
EQA00341,高上里,"24.929079,121.159322",1.0,1680.0,楊梅分局,○
EQA00342,梅溪里,"24.907107,121.174262",1.0,8792.0,楊梅分局,○
EQA00343,永寧里,"24.900530,121.146050",2.0,1232.0,楊梅分局,○
EQA00346,楊明里,"24.912806,121.159534",1.0,2050.0,楊梅分局,○
EQA00347,梅溪里,"24.905446,121.174829",1.0,3852.0,楊梅分局,○
EQA00348,水美里,"24.918278,121.142262",1.0,520.0,楊梅分局,
EQA00349,中山里,機敏單位,3.0,3052.0,楊梅分局,
EQA00352,中山里,"24.903239,121.151131",1.0,237.0,楊梅分局,○
EQA00353,新屋里,"24.972328,121.105398",1.0,1099.0,楊梅分局,○
EQA00354,四維里,"24.909276,121.180217",1.0,2265.0,楊梅分局,○
EQA00355,紅梅里,"24.903329,121.146060",1.0,332.0,楊梅分局,○
EQA00356,三民里,"24.906990,121.168193",1.0,3643.0,楊梅分局,○
EQA00357,瑞坪里,"24.907008,121.178447",1.0,619.0,楊梅分局,○
EQA00358,梅溪里,"24.906510,121.174649",2.0,4683.0,楊梅分局,○
EQA00361,青山里,"24.922399,121.174760",1.0,7173.0,楊梅分局,○
EQA00362,永寧里,"24.888078,121.159069",1.0,667.0,楊梅分局,○
EQA00363,永寧里,"24.886937,121.159998",1.0,1451.0,楊梅分局,○
EQA00364,永寧里,"24.887016,121.159834",2.0,2525.0,楊梅分局,○
EQA00367,瑞坪里,"24.906592,121.180910",1.0,2892.0,楊梅分局,○
EQA00369,金溪里,"24.902762,121.170248",1.0,6473.0,楊梅分局,○
EQA00370,四維里,"24.911710,121.180297",2.0,3268.0,楊梅分局,○
EQA00371,埔心里,"24.919303,121.181355",1.0,99.0,楊梅分局,○
EQA00372,永寧里,"24.886941,121.160043",1.0,1052.0,楊梅分局,○
EQA00373,楊梅里,"24.915280,121.144160",2.0,1975.0,楊梅分局,○
EQA00376,金溪里,"24.884737,121.168897",1.0,334.0,楊梅分局,
EQA00377,楊梅里,"24.911009,121.142833",3.0,989.0,楊梅分局,
EQA00378,永安里,"24.986031,121.032162",1.0,2256.0,楊梅分局,○
EQA00379,高上里,"24.924486,121.163705",1.0,1369.0,楊梅分局,
EQA00381,大同里,"24.910993,121.146123",1.0,233.0,楊梅分局,○
EQA00382,永寧里,"24.902047,121.145717",2.0,2684.0,楊梅分局,○
EQA00385,楊梅里,"24.912851,121.142270",2.0,1508.0,楊梅分局,○
EQA00386,梅溪里,"24.912727,121.166821",2.0,6428.0,楊梅分局,○
EQA00387,員本里,"24.929302,121.099243",1.0,1501.0,楊梅分局,○
EQA00388,楊明里,"24.912238,121.155814",2.0,846.0,楊梅分局,○
EQA00389,瑞溪里,"24.905618,121.174934",3.0,6019.0,楊梅分局,○
EQA00390,楊明里,"24.912999,121.161862",3.0,1766.0,楊梅分局,○
EQA00391,梅溪里,"24.912150,121.166608",8.0,1808.0,楊梅分局,○
EQA00392,頭洲里,"24.961231,121.156703",2.0,2957.0,楊梅分局,○
EQA00393,社子里,"24.959959,121.086896",1.0,1446.0,楊梅分局,
EQA00395,豐野里,"24.935666,121.084610",1.0,903.0,楊梅分局,○
EQA00396,瑞塘里,"24.909237,121.176759",1.0,2089.0,楊梅分局,○
EQA00397,楊明里,"24.911856,121.160185",3.0,4049.0,楊梅分局,○
EQA00398,雙榮里,"24.955607,121.171275",2.0,3189.0,楊梅分局,○
EQA00399,大同里,"24.911816,121.151211",2.0,1639.0,楊梅分局,○
EQA00400,大平里,"24.905628,121.129008",1.0,621.0,楊梅分局,○
EQA00401,楊明里,"24.911784,121.159915",,4048.0,楊梅分局,
EQA00404,富豐里,"24.932454,121.070466",,138.0,楊梅分局,
EQA00405,上湖里,"24.917063,121.067054",1.0,845.0,楊梅分局,○
EQA00406,中山里,"24.905757,121.156532",1.0,708.0,楊梅分局,
EQA00408,新榮里,"24.949639,121.161461",,1994.0,楊梅分局,
EQA00409,高榮里,"24.945788,121.171440",,3817.0,楊梅分局,
EQA00410,瑞塘里,"24.909119,121.176037",,1572.0,楊梅分局,
EQA00411,瑞塘里,"24.910932,121.176917",,1089.0,楊梅分局,
EQA00412,瑞塘里,"24.908937,121.174018",,551.0,楊梅分局,
EQA00413,楊江里,"24.909118,121.141282",,375.83,楊梅分局,
EQA00414,瑞溪里,"24.909325,121.172887",,3690.0,楊梅分局,
EQA00415,中山里,"24.906888,121.157880",,2195.59,楊梅分局,
EQA00416,四維里,"24.916015,121.178867",,4800.0,楊梅分局,
EQA00417,楊明里,"24.911623,121.159200",,2967.0,楊梅分局,
EQA00418,楊明里,"24.912532,121.154641",,2537.0,楊梅分局,
EQA00419,青山里,"24.921116,121.171030",,1381.0,楊梅分局,
EQA00420,瑞塘里,"24.908702,121.177390",,3804.0,楊梅分局,
EQA00421,楊梅里,"24.915282,121.143951",,2216.946667,楊梅分局,
EQA00422,楊梅里,"24.911882,121.144217",,1082.306667,楊梅分局,
EQA00423,中山里,"24.906047,121.152149",,7164.0,楊梅分局,
EQA00424,永寧里,"24.901253,121.146678",,2125.0,楊梅分局,
EQA00425,永寧里,"24.901263,121.148092",,356.0,楊梅分局,
EQA00426,瑞塘里,"24.909495,121.173333",,2236.0,楊梅分局,
EQA00427,梅溪里,"24.910713,121.168009",,991.0,楊梅分局,
EQA00428,楊明里,"24.912367,121.161100",,7226.0,楊梅分局,
EQA00429,梅溪里,"24.910047,121.168627",,1245.0,楊梅分局,
EQA00430,高上里,"24.927530,121.158358",,697.0,楊梅分局,
EQA00432,豐野里,"24.936337,121.084264",,475.0,楊梅分局,
EQA00433,富岡里,"24.934692,121.078956",,887.0,楊梅分局,
EQA00434,石磊里,"24.991010,121.097464",,1825.0,楊梅分局,
EQA00435,社子里,"24.956797,121.079488",,105.0,楊梅分局,
EQA00437,楊江里,"24.908539,121.144180",,1496.0,楊梅分局,
EQA00438,東流里,"24.903860,121.124907",,1756.0,楊梅分局,
EQA00439,青山里,"24.925047,121.171736",,1025.0,楊梅分局,
EQA00440,青山里,"24.921293,121.171267",,6032.0,楊梅分局,
EQA00441,青山里,"24.925844,121.170774",,1144.0,楊梅分局,
EQA00442,金溪里,"24.898041,121.174494",,6369.0,楊梅分局,
EQA00443,梅溪里,"24.912095,121.169416",,6307.0,楊梅分局,
EQA00444,頭洲里,"24.961861,121.158317",2.0,1976.0,楊梅分局,○
EQA00445,石磊里,"24.985890,121.103196",,370.0,楊梅分局,
EQA00446,青山里,"24.921707,121.172582",,4341.0,楊梅分局,
EQA00447,瑞塘里,"24.908807,121.173518",,2299.0,楊梅分局,
EQA00448,永寧里,"24.873363,121.169921",,1462.0,楊梅分局,
EQA00449,豐野里,"24.936426,121.084177",,416.0,楊梅分局,
EQA00450,高上里,"24.925466,121.168265",,981.0,楊梅分局,
EQA00451,楊明里,"24.911154,121.158243",3.0,4908.0,楊梅分局,
EQA00452,中山里,"24.906696,121.152093",,11357.0,楊梅分局,
EQA00454,大同里,"24.912664,121.150508",,12569.0,楊梅分局,
EQA00455,楊明里,"24.908493,121.156257",,291.0,楊梅分局,
EQA00456,清華里,"24.983510,121.104409",,1226.0,楊梅分局,
EQA00457,楊梅里,"24.911976,121.143470",2.0,216.0,楊梅分局,○
EQA00458,四維里,"24.915120,121.178228",,7767.0,楊梅分局,
EQA00459,清華里,"24.984211,121.121701",,854.0,楊梅分局,
EQA00460,瑞塘里,"24.913118,121.177593",,4575.0,楊梅分局,
EQA00479,上田里,"24.940672,121.126795",1.0,227.0,楊梅分局,○
EQA00480,瑞坪里,"24.905594,121.175430",3.0,4396.0,楊梅分局,○
EQA00481,永平里,"24.921130,121.178449",1.0,1663.0,楊梅分局,○
EQA00482,永寧里,"24.902318,121.142606",2.0,2738.0,楊梅分局,○
EQA00483,永平里,"24.920915,121.178111",1.0,2168.0,楊梅分局,○
EQA00484,仁美里,"24.921456,121.179386",1.0,1569.0,楊梅分局,○
EQA00485,永平里,"24.917431,121.174921",1.0,3477.0,楊梅分局,○
EQA00486,梅溪里,"24.909647,121.170099",1.0,714.0,楊梅分局,○
EQA00487,新榮里,機敏單位,1.0,2075.0,楊梅分局,○
EQA00488,瑞坪里,"24.908738,121.181259",3.0,1638.0,楊梅分局,
EQA00489,楊梅里,"24.91320,121.14696",2.0,308.0,楊梅分局,
EQA00490,中山里,"24.90699,121.15864",1.0,1221.0,楊梅分局,
EQA00491,上田里,"24.94100,121.12720",2.0,1976.0,楊梅分局,
EQA00492,金龍里,"24.91190,121.186060",2.0,4661.0,楊梅分局,
EQA00493,石磊里,"24.984803,121.105271",3.0,2847.0,楊梅分局,○
EQA00494,永平里,"24.912365,121.172734",2.0,973.0,楊梅分局,
EQA00495,中山里,"24.907797,121.151537",1.0,311.0,楊梅分局,
