類別,電腦編號,行政區,村里別,地址,緯經度,地下樓層數,可容納人數,轄管分局,備註,"unnamed (1)","unnamed (2)","unnamed (3)","unnamed (4)","unnamed (5)","unnamed (6)"
一般建築,FS3643,區海洋里,海洋里,高雄市鳳山區海洋里海洋二路157巷37號,"22.61353,120.347827",1,202.0,鳳山分局,,,,,,,
一般建築,FS5805,區興仁里,興仁里,高雄市鳳山區興仁里中山路183號,"22.623431,120.35715",1,206.0,鳳山分局,,,,,,,
一般建築,FS1122,區文山里,文山里,高雄市鳳山區文山里文勇街74號,"22.639845,120.35861",1,214.0,鳳山分局,,,,,,,
一般建築,FS5889,區興仁里,興仁里,高雄市鳳山區興仁里中山路101號,"22.62176896,120.35952172563",1,221.0,鳳山分局,,,,,,,
一般建築,FS1436,區文華里,文華里,高雄市鳳山區文華里文武街146巷9弄1號,"22.63509269,120.344878096183",1,229.0,鳳山分局,,,,,,,
一般建築,FS4113,區曹公里,曹公里,高雄市鳳山區曹公里17鄰曹公路111號,"22.630184,120.357229",1,231.0,鳳山分局,,,,,,,
一般建築,FS3463,區南成里,南成里,高雄市鳳山區南成里林森路120號,"22.593464,120.333197",1,232.0,鳳山分局,,,,,,,
一般建築,FS1585,區文德里,文德里,高雄市鳳山區文德里文學街88號,"22.635715,120.345702",1,235.0,鳳山分局,,,,,,,
一般建築,FS1586,區文德里,文德里,高雄市鳳山區文德里文學街90號,"22.635677,120.345674",1,235.0,鳳山分局,,,,,,,
一般建築,FS0833,區天興里,天興里,高雄市鳳山區天興里天興街19號,"22.593979,120.330177",1,237.0,鳳山分局,,,,,,,
一般建築,FS1924,區正義里,正義里,高雄市鳳山區正義里五甲三路84號,"22.59236199,120.326615782675",1,244.0,鳳山分局,,,,,,,
一般建築,FS6403,區鎮東里,鎮東里,高雄市鳳山區鎮東里光遠路77號,"22.623919,120.365965",1,246.0,鳳山分局,,,,,,,
一般建築,FS1566,區文德里,文德里,高雄市鳳山區文德里八德路2段212巷53號,"22.645802,120.351919",1,248.0,鳳山分局,,,,,,,
一般建築,FS1267,區文英里,文英里,高雄市鳳山區文英里八德路2段212巷71號,"22.645265,120.351716",1,262.0,鳳山分局,,,,,,,
一般建築,FS2728,區忠孝里,忠孝里,高雄市鳳山區忠孝里光復路2段150巷12號,"22.631104,120.34318",1,263.0,鳳山分局,,,,,,,
一般建築,FS3782,區國泰里,國泰里,高雄市鳳山區國泰里五甲一路364號,"22.612848,120.35072",1,263.0,鳳山分局,,,,,,,
一般建築,FS0457,區南興里,南興里,高雄市鳳山區南興里中山路70巷10號等,"22.622177,120.359922",1,278.0,鳳山分局,,,,,,,
一般建築,FS1582,區文德里,文德里,高雄市鳳山區文德里文學街65號,"22.635698,120.345892",1,298.0,鳳山分局,,,,,,,
一般建築,FS1130,區文山里,文山里,高雄市鳳山區文山里文中街186號,"22.641603,120.354125",1,299.0,鳳山分局,,,,,,,
一般建築,FS5883,區興仁里,興仁里,高雄市鳳山區興仁里五甲一路173號,"22.618953,120.355681",1,312.0,鳳山分局,,,,,,,
一般建築,FS6375,區鎮西里,鎮西里,高雄市鳳山區鎮西里中山西路10號,"22.626418,120.355064",1,312.0,鳳山分局,,,,,,,
一般建築,FS1263,區文英里,文英里,高雄市鳳山區文英里八德路2段198號,"22.645465,120.353821",1,324.0,鳳山分局,,,,,,,
一般建築,FS5628,區福興里,福興里,高雄市鳳山區福興里五福二路136號,"22.587503,120.32735",1,327.0,鳳山分局,,,,,,,
一般建築,FS2956,區忠誠里,忠誠里,高雄市鳳山區忠誠里鳳松路25巷7號,"22.63276,120.360749",1,328.0,鳳山分局,,,,,,,
一般建築,FS2865,區忠義里,忠義里,高雄市鳳山區忠義里光復路2段243號,"22.62932,120.343301",1,332.0,鳳山分局,,,,,,,
一般建築,FS3558,區南興里,南興里,高雄市鳳山區南興里大東一路127號,"22.621832,120.361172",1,339.0,鳳山分局,,,,,,,
一般建築,FS5629,區福興里,福興里,高雄市鳳山區福興里自強一路9號,"22.588346,120.330263",1,348.0,鳳山分局,,,,,,,
一般建築,FS6561,區鎮南里,鎮南里,高雄市鳳山區鎮南里南正二路31號,"22.59785,120.333864",1,348.0,鳳山分局,,,,,,,
一般建築,FS2323,區協和里,協和里,高雄市鳳山區協和里平等路165號,"22.620913,120.351639",1,350.0,鳳山分局,,,,,,,
一般建築,FS5757,區縣衙里,縣衙里,高雄市鳳山區縣衙里14鄰光遠路372巷1弄6號,"22.626377,120.358312",1,355.0,鳳山分局,,,,,,,
一般建築,FS0532,區中和里,中和里,高雄市鳳山區中和里自由路164號,"22.62578256,120.350055727238",1,363.0,鳳山分局,,,,,,,
一般建築,FS5738,區鳳崗里,鳳崗里,高雄市鳳山區鳳崗里光遠路360號,"22.626208,120.35883",1,363.0,鳳山分局,,,,,,,
