電腦編號,里別,防空疏散避難設施地址,地下層數,可容納人數,轄管分局,備註
QPA00007,永樂村,屏東縣林邊鄉永樂村05鄰榮農路2號,1.0,576.0,東港分局,
QPA00112,永樂村,屏東縣林邊鄉永樂村04鄰榮農路5巷3～10號,1.0,1230.0,東港分局,
QPA00004,林邊村,屏東縣林邊鄉林邊村10鄰忠福巷8號,1.0,37.0,東港分局,
QPA00005,仁和村,屏東縣林邊鄉仁和村17鄰中山路279號,1.0,504.0,東港分局,
QPA00006,仁和村,屏東縣林邊鄉仁和村13鄰中山路303號,1.0,159.0,東港分局,
QPA00108,仁和村,屏東縣林邊鄉仁和村仁和路126號,1.0,2065.0,東港分局,
QQA00001,溪南村,屏東縣南州鄉溪南村04鄰人和路三巷15號,1.0,155.0,東港分局,
QQA00002,溪北村,屏東縣南州鄉溪北村糖廠路8號,1.0,265.0,東港分局,
QQA00006,溪州村,屏東縣南州鄉溪州村21鄰人和路186號,1.0,224.0,東港分局,
QQA00003,仁里村,屏東縣南州鄉仁里村01鄰仁里路11號,1.0,154.0,東港分局,
QQA00004,仁里村,屏東縣南州鄉仁里村02鄰仁里路27號,1.0,100.0,東港分局,
QPA00117,仁里村,屏東縣南州鄉仁里村04鄰仁里路86號,1.0,460.0,東港分局,
QQA00005,壽元村,屏東縣南州鄉壽元村10鄰大同路105號,1.0,45.0,東港分局,
QPA00116,七塊村,屏東縣南州鄉七塊村05鄰文化路50號,1.0,2154.0,東港分局,
QQA00007,七塊村,屏東縣南州鄉七塊村02鄰三民路367號,1.0,2154.0,東港分局,共有2處、總計可容納人數5684人
QQA00008,七塊村,屏東縣南州鄉七塊村02鄰三民路367號,1.0,3530.0,東港分局,共有2處、總計可容納人數5684人
QPA00072,五房村,屏東縣新園鄉五房村09鄰五房路898巷145號,1.0,173.0,東港分局,
QPA00071,五房村,屏東縣新園鄉五房村15鄰龍洲路50號,1.0,302.0,東港分局,
QPA00075,港西村,屏東縣新園鄉港西村01鄰興安路12號,1.0,414.0,東港分局,
QPA00069,興龍村,屏東縣新園鄉興龍村17鄰臥龍路165號,1.0,466.0,東港分局,
QPA00056,仙吉村,屏東縣新園鄉仙吉村05鄰仙吉路225號,1.0,146.0,東港分局,
QPA00057,仙吉村,屏東縣新園鄉仙吉村05鄰仙吉路227號,1.0,141.0,東港分局,
QPA00058,仙吉村,屏東縣新園鄉仙吉村04鄰仙吉路418號,1.0,432.0,東港分局,
QPA00067,新園村,屏東縣新園鄉新園村16鄰媽祖路392號,1.0,150.0,東港分局,
QPA00064,新園村,屏東縣新園鄉新園村16鄰媽祖路398-1號,1.0,56.0,東港分局,
QPA00059,新園村,屏東縣新園鄉新園村16鄰媽祖路400號,1.0,189.0,東港分局,
QPA00062,新園村,屏東縣新園鄉新園村16鄰媽祖路404號,1.0,32.0,東港分局,
QPA00061,新園村,屏東縣新園鄉新園村16鄰媽祖路408號,1.0,40.0,東港分局,
QPA00092,新園村,屏東縣新園鄉新園村16鄰媽祖路409號,1.0,149.0,東港分局,
QPA00074,崁頂村,屏東縣崁頂鄉崁頂村1鄰中正路1-1號,1.0,789.0,東港分局,
QPA00072,崁頂村,屏東縣崁頂鄉崁頂村4鄰中正路230號,1.0,277.0,東港分局,
QPA00111,崁頂村,屏東縣崁頂鄉崁頂村12鄰興農路29-9號,1.0,472.0,東港分局,
QPA00073,越溪村,屏東縣崁頂鄉越溪村06鄰民權路1號,1.0,118.0,東港分局,
QPA00108,越溪村,屏東縣崁頂鄉越溪村08鄰中正路881號,1.0,130.0,東港分局,
QPA00113,本福村,屏東縣琉球鄉本福村19鄰中山路51-1號,1.0,569.0,東港分局,
QQA00124,上福村,屏東縣琉球鄉上福村02鄰中興路39號,1.0,690.0,東港分局,
