電腦編號,建築物名稱,里別,緯度,經度,避難樓層,容量,轄管分局,備註,placemark_address
B020,一般大樓,中正里,24.848969,"121.223704 ",B1,1190.0,龍潭分局,,桃園市龍潭區中正里富華街315巷6號之1
B022,金融機構,中正里,,,B1,568.0,龍潭分局,,(機敏單位)桃園市龍潭區中正里東龍路112號
B024,一般民宅,中山里,24.868947,"121.213429 ",B2,25.0,龍潭分局,,桃園市龍潭區中山里中豐路中山段9號
B025,一般民宅,中山里,24.865911,"121.210306 ",B3,414.0,龍潭分局,,桃園市龍潭區中山里中豐路中山段209號
B026,一般民宅,中山里,24.867629,"121.213816 ",B2,32.0,龍潭分局,,桃園市龍潭區中山里東龍路350號
B027,一般民宅,中山里,24.867749,"121.213857 ",B3,40.0,龍潭分局,,桃園市龍潭區中山里東龍路356號
B028,一般民宅,中山里,24.865552,"121.210707 ",B1,186.0,龍潭分局,,桃園市龍潭區中山里北龍路15巷26號
B029,一般民宅,中山里,24.865787,"121.210719 ",B2,158.0,龍潭分局,,桃園市龍潭區中山里北龍路15巷36號
B030,一般民宅,中山里,24.865681,"121.211925 ",B1,35.0,龍潭分局,,桃園市龍潭區中山里北龍路39號
B031,一般民宅,中山里,24.866555,"121.212414 ",B2,35.0,龍潭分局,,桃園市龍潭區中山里北龍路59巷13弄8號
B032,一般民宅,中山里,24.868166,"121.217614 ",B2,19.0,龍潭分局,,桃園市龍潭區中山里北龍路283號
B033,一般民宅,中山里,24.868435,"121.218072 ",B2,19.0,龍潭分局,,桃園市龍潭區中山里北龍路299號
B034,一般民宅,中山里,24.868327,"121.215414 ",B3,27.0,龍潭分局,,桃園市龍潭區中山里中正路83號
B035,一般民宅,中山里,24.868257,"121.215407 ",B1,56.0,龍潭分局,,桃園市龍潭區中山里中正路85號
B036,一般民宅,中山里,24.868144,"121.215538 ",B1,32.0,龍潭分局,,桃園市龍潭區中山里中正路87號
B037,金融機構,中山里,,,B1,756.0,龍潭分局,,(機敏單位)桃園市龍潭區中山里中正路151號
B038,一般民宅,中山里,24.866129,"121.217037 ",B1,36.0,龍潭分局,,桃園市龍潭區中山里中正路169號
B039,一般民宅,中山里,24.864413,"121.217273 ",B1,27.0,龍潭分局,,桃園市龍潭區中山里中正路215號
B040,一般民宅,中山里,24.864121,"121.217188 ",B1,64.0,龍潭分局,,桃園市龍潭區中山里中正路221號
B041,學校,中山里,24.862684,"121.217660 ",B1,997.0,龍潭分局,,桃園市龍潭區中山里中正路269號
B042,一般民宅,中山里,24.869373,"121.216249 ",B1,76.0,龍潭分局,,桃園市龍潭區中山里華南路一段43號
B043,一般大樓,中山里,24.857258,"121.216644 ",B1,1412.0,龍潭分局,,桃園市龍潭區中山里神龍路403巷2弄1號 
B044,學校,上林里,24.858689,"121.202078 ",B1,509.0,龍潭分局,,桃園市龍潭區上林里中豐路上林段418號
B045,一般民宅,中正里,24.864091,"121.215869 ",B1,45.0,龍潭分局,,桃園市龍潭區中正里龍華路111號
B046,一般大樓,中山里,24.867444,"121.215773 ",B1,200.0,龍潭分局,,桃園市龍潭區中山里中正路106號
B047,一般大樓,中山里,24.865131,"121.219002 ",B1,3029.0,龍潭分局,,桃園市龍潭區中山里五福街68號
B048,一般大樓,中山里,24.869931,"121.216768 ",B1,887.0,龍潭分局,,桃園市龍潭區中山里華南路一段63巷12弄1號 
B049,金融機構,中正里,,,B1,535.0,龍潭分局,,(機敏單位)桃園市龍潭區中正里東龍路100號
B050,一般民宅,龍潭里,24.865026,"121.215119 ",B1,289.0,龍潭分局,,桃園市龍潭區龍潭里龍華路64號
B051,一般大樓,龍星里,24.862407,"121.219289 ",B3,1800.0,龍潭分局,,桃園市龍潭區龍星里大同路213巷15號 
B052,一般民宅,上林里,24.847915,"121.215404 ",B1,282.0,龍潭分局,,桃園市龍潭區上林里金龍路476巷66號
B053,一般民宅,中正里,24.859389,"121.218359 ",B1,549.0,龍潭分局,,桃園市龍潭區中正里中正路398號
