地址,緯經度,地下樓層數,分配容量,轄管分局,備註,類別,電腦編號
南投市光明里光榮東路二街34、36號,"23.944812,120.698539",1.0,1657.0,中興分局,,役政署,KNA00007
南投市光明里光榮東路二街38、40,"23.944811,120.698963",1.0,562.0,中興分局,,國家發展委員會,KNA00016
南投市光明里光榮東路二街42號至48號,"23.946131,120.699581",1.0,1364.0,中興分局,,國家發展委員會,KNA00020
南投市光明里光明路1號,"23.937508,120.703507",1.0,1815.0,中興分局,,公務人力發展學院,KNA00040
南投市內興里光明一路67號,"23.941974,120.702511",1.0,330.0,中興分局,,光復國小,KNA00038
南投市光明里光榮東路二街4巷1號至8號,"23.944472,120.701936",1.0,224.0,中興分局,,國家發展委員會,KNA00039
南投市內興里光明一路301號,"23.933738,120.699987",1.0,198.0,中興分局,,南投監理站,KNA00002
南投市內興里中興路309號,"23.919845,120.696214",1.0,694.0,中興分局,,中興國中,KNA00035
南投市內興里中興路182巷32號,"23.937650,120.693485",1.0,504.0,中興分局,,集合式住宅,KNA00036
南投市內興里中興路182巷26號,"23.937456,120.693608",1.0,369.0,中興分局,,集合式住宅,KNA00037
南投市內興里光明一路256號,"23.936205,120.700907",1.0,1148.0,中興分局,,文獻委員會,KNA00024
南投市內興里中興路200號,"23.932289,120.693930",1.0,1494.0,中興分局,,德興國小,KNA00030
南投市內興里南新路159巷1號,"23.931874,120.699445",1.0,227.0,中興分局,,社區管理委員會,KNA00021
南投市內興里南新路360號一樓之2,"23.928484,120.699312",1.0,207.0,中興分局,,集合式住宅,KNA00027
南投市營南里營盤路136號,"23.945244,120.675023",1.0,357.0,中興分局,,營盤國小,KNA00034
草屯鎮上林里太平路1段351巷141號,"23.964809,120.678225",1.0,1675.0,草屯分局,,環隆電子公司,KRA00281
草屯鎮上林里太平路1段351巷153號,"23.964806,120.682298",1.0,847.0,草屯分局,,環隆電子公司,KRA00381
草屯鎮上林里太平路1段537號,"23.968813,120.682535",1.0,458.0,草屯分局,,舜邦建設,KRA00294
草屯鎮上林里太平路1段307號,"23.963304,120.681984",1.0,1192.0,草屯分局,,上毅建設,KRA00230
草屯鎮上林里太平路1段351巷153號,"23.964963,120.682212",1.0,7098.0,草屯分局,,環隆電子公司,KRA00318
草屯鎮上林里太平路1段443巷53號,"23.966857,120.679306",1.0,228.0,草屯分局,,一般住宅-星航企業,KRA00357
"草屯鎮山腳里虎山路332巷23號 ","23.965007,120.686925",1.0,2222.0,草屯分局,,美慶建設-秀山佳園二期,KRA00308
草屯鎮山腳里虎山路438號,"23.967371,120.687353",1.0,661.0,草屯分局,,一般住宅,KRA00238
草屯鎮山腳里虎山路256號,"23.963597,120.685835",1.0,293.0,草屯分局,,"漢鯨建設-水稻之歌第三期 ",KRA00257
草屯鎮山腳里虎山路437號,"23.967371,120.687201",1.0,515.0,草屯分局,,鴻銘建設,KRA00322
"草屯鎮山腳里虎山路494號 ","23.968456,120.687264",1.0,52.0,草屯分局,,一般住宅,KRA00215
"草屯鎮山腳里富林路1段658號 ","23.969770,120.688454",1.0,757.0,草屯分局,,"水稻之歌  第二期",KRA00251
"草屯鎮山腳里嘉興街51號 ","23.968171,120.685960",1.0,184.0,草屯分局,,和康6期,KRA00298
草屯鎮山腳里正氣街78號,"23.968004,120.686222",1.0,300.0,草屯分局,,甜蜜家庭,KRA00293
草屯鎮山腳里太平路1段200號,"23.960817,120.681765",1.0,938.0,草屯分局,,佑民醫院-A棟醫療大樓,KRA00094
"草屯鎮山腳里太平路1段200號 ","23.960817,120.681765",1.0,302.0,草屯分局,,佑民醫院-B棟婦幼大樓,KRA00246
草屯鎮山腳里太平路1段202號,"23.961063,120.681649",1.0,560.0,草屯分局,,佑民醫院-A棟醫療大樓,KRA00249
草屯鎮山腳里正興街245號,"23.965638,120.682876",1.0,757.0,草屯分局,,一般住宅,KRA00239
草屯鎮山腳里正興街187號,"23.964171,120.682565",1.0,375.0,草屯分局,,宏柱建設,KRA00286
"草屯鎮山腳里民生二街43號 ","23.967936,120.684028",1.0,1676.0,草屯分局,,孟慎建設（陽光大地）,KRA00278
草屯鎮山腳里虎山路153號,"23.960979,120.685087",1.0,691.0,草屯分局,,"水稻之歌 第六期",KRA00289
草屯鎮山腳里民權東街106號,"23.964396,120.686957",1.0,1067.0,草屯分局,,養慧樓,KRA00345
草屯鎮山腳里民權東街102巷6號2樓,"23.964088,120.686573",1.0,838.0,草屯分局,,光慧文教-教學樓,KRA00366
草屯鎮中山里草溪路1048號,"23.977471,120.682644",1.0,46.0,草屯分局,,一般住宅,KRA00118
草屯鎮中山里中山街2號,"23.975123,120.683614",1.0,158.0,草屯分局,,台灣聖教會,KRA00126
草屯鎮中山里中山街25號,"23.974983,120.682692",1.0,23.0,草屯分局,,一般住宅,KRA00180
草屯鎮中山里中山街21號,"23.974970,120.682883",1.0,23.0,草屯分局,,一般住宅,KRA00181
草屯鎮中山里太平路2段99號,"23.971814,120.683206",1.0,55.0,草屯分局,,一般住宅-如憶新貴,KRA00313
草屯鎮中山里太平路2段67號,"23.971121,120.683082",1.0,40.0,草屯分局,,一般住宅,KRA00183
草屯鎮中山里太平路2段69號,"23.971199,120.682903",1.0,53.0,草屯分局,,一般住宅-清雄漆料公司,KRA00184
草屯鎮中山里成功路1段194號,"23.979995,120.681186",1.0,356.0,草屯分局,,草屯菸葉廠配銷處,KRA00192
草屯鎮中山里明賢街112號,"23.976095,120.681798",2.0,579.0,草屯分局,,一般住宅,KRA00361
草屯鎮中山里草溪路1070號1樓之1,"23.977642,120.682062",2.0,312.0,草屯分局,,一般住宅-幸福天空,KRA00360
草屯鎮中山里草鞋墩一街8號,"23.973939,120.680539",2.0,2811.0,草屯分局,,草屯鎮公所,KRA00347
草屯鎮中山里草鞋墩一街8號,"23.973939,120.680539",1.0,2811.0,草屯分局,,草屯鎮公所,KRA00349
草屯鎮中原里坪腳巷20號,"23.985036,120.721637",1.0,1600.0,草屯分局,,中原國小,KRA00356
草屯鎮北投里北投路文教巷43號,"23.986945,120.658846",1.0,138.0,草屯分局,,一般住宅,KRA00355
中寮鄉永平村初中巷16號,"23.880073,120.764945",1.0,137.0,草屯分局,,中寮國中,KRA00034
草屯鎮玉峰里玉屏路210號,"23.981806,120.686962",1.0,846.0,草屯分局,,草屯國小,KRA00124
草屯鎮玉峰里自由街55號,"23.983795,120.686065",1.0,1022.0,草屯分局,,廣大天下,KRA00304
草屯鎮玉峰里儒林街112號,"23.984432,120.687850",1.0,572.0,草屯分局,,鼎山建設公司天下王朝,KRA00253
草屯鎮和平里太平路二段287號,"23.976517,120.683393",1.0,88.0,草屯分局,,惠德宮,KRA00015
草屯鎮和平里太平路二段339號,"23.978057,120.684090",1.0,98.0,草屯分局,,一般住宅,KRA00213
草屯鎮和平里太平路二段231號,"23.974974,120.683449",1.0,14.0,草屯分局,,王外科,KRA00006
草屯鎮和平里碧山路80號,"23.978195,120.685082",2.0,2572.0,草屯分局,,草屯公有市場,KRA00346
草屯鎮和平里虎山路819號,"23.976358,120.685628",2.0,2756.0,草屯分局,,草屯公有立體停車場,KRA00348
草屯鎮明正里平等街140號,"23.984935,120.686165",1.0,657.0,草屯分局,,中國醫藥學院草屯院區,KRA00195
草屯鎮明正里博愛路451號,"23.985815,120.684416",1.0,191.0,草屯分局,,華麗大樓,KRA00198
草屯鎮明正里中正路889號,"23.984839,120.686278",1.0,30.0,草屯分局,,一般住宅,KRA00154
