類別,電腦編號,村里別,地址,地下樓層數,可容納人數,轄管分局,備註
公寓,41.0,公正里,雲林縣斗六市公正里1鄰莊敬路347巷30弄11號,1.0,6880,斗六分局,
公寓,42.0,公正里,雲林縣斗六市公正里11鄰中正路137巷22號,1.0,162,斗六分局,
公寓,43.0,公正里,雲林縣斗六市公正里15鄰中正路217巷19弄2號,1.0,309,斗六分局,
公寓,44.0,公正里,雲林縣斗六市公正里12鄰中正路137巷20號,1.0,198,斗六分局,
公寓,45.0,公正里,雲林縣斗六市公正里17鄰平等街30至36號,1.0,540,斗六分局,
公寓,46.0,公正里,雲林縣斗六市公正里18鄰中正路217巷37號,1.0,134,斗六分局,
公寓,47.0,公正里,雲林縣斗六市公正里城頂街11號,1.0,2137,斗六分局,
公寓,48.0,公正里,雲林縣斗六市公正里17鄰平等街19至33號,1.0,1264,斗六分局,
公寓,49.0,公正里,雲林縣斗六市公正里16鄰莊敬路216號,1.0,1974,斗六分局,
公寓,50.0,公正里,雲林縣斗六市公正里中正路212號,1.0,238,斗六分局,
公寓,51.0,公正里,雲林縣斗六市公正里中正路173號,1.0,1737,斗六分局,
公寓,52.0,公正里,雲林縣斗六市公正里10鄰中正路21巷52-60號,1.0,1001,斗六分局,
公寓,53.0,公正里,雲林縣斗六市公正里林北街1號,1.0,1754,斗六分局,
大樓,54.0,公正里,雲林縣斗六市公正里10鄰利民街16號,1.0,1758,斗六分局,
成大醫院,55.0,公正里,雲林縣斗六市公正里1鄰莊敬路345號,1.0,5480,斗六分局,
雲林國小,56.0,公正里,雲林縣斗六市公正里9鄰莊敬路111號,1.0,1606,斗六分局,
成大醫院,57.0,公正里,雲林縣斗六市公正里莊敬路345號,1.0,5480,斗六分局,
公寓,58.0,公誠里,雲林縣斗六市公誠里上海路206號、長春路22至26號,1.0,1008,斗六分局,
公寓,59.0,公誠里,雲林縣斗六市上海路243至251號、西安街21至23號,1.0,893,斗六分局,
公寓,60.0,公誠里,雲林縣斗六市南京路373至377號、長春路48至50號,1.0,765,斗六分局,
公寓,61.0,公誠里,雲林縣斗六市公誠里漢口路216號,1.0,308,斗六分局,
公寓,62.0,公誠里,雲林縣斗六市公誠里漢口路199號,1.0,266,斗六分局,
公寓,63.0,公誠里,雲林縣斗六市公誠里上海路217號,1.0,484,斗六分局,
公寓,64.0,公誠里,雲林縣斗六市公誠里上海路260巷1-3號,1.0,1702,斗六分局,
公寓,65.0,公誠里,雲林縣斗六市鎮北路105號,1.0,1088,斗六分局,
公寓,66.0,公誠里,雲林縣斗六市公誠里西安街11號之2,1.0,911,斗六分局,
公寓,67.0,公誠里,雲林縣斗六市公誠里西安街36至42號,1.0,563,斗六分局,
公寓,68.0,公誠里,雲林縣斗六市公誠里漢口路196號,1.0,382,斗六分局,
公寓,69.0,公誠里,雲林縣斗六市公誠里22鄰內環路495號,1.0,476,斗六分局,
公誠國小(忠孝樓),70.0,公誠里,雲林縣斗六市公誠里北平路95號,1.0,429,斗六分局,
承龍幼稚園,71.0,公誠里,雲林縣斗六市公誠里北平路177號,1.0,678,斗六分局,
公誠國小(育英樓),72.0,公誠里,雲林縣斗六市公誠里北平路95號,1.0,920,斗六分局,
公誠國小(信義樓),73.0,公誠里,雲林縣斗六市公誠里北平路95號,1.0,1225,斗六分局,
大山電纜,74.0,公誠里,雲林縣斗六市公誠里上海路222號之1,1.0,566,斗六分局,
公寓,75.0,太平里,雲林縣斗六市成功路42巷14號,1.0,222,斗六分局,
公寓,76.0,太平里,雲林縣斗六市城頂街90號,1.0,122,斗六分局,
公寓,77.0,太平里,雲林縣斗六市城頂街47號,1.0,316,斗六分局,
公寓,78.0,太平里,雲林縣斗六市成功路46-1號,1.0,180,斗六分局,
公寓,79.0,太平里,雲林縣斗六市城頂街57號,1.0,266,斗六分局,
新興宮,80.0,四維里,雲林縣斗六市中正路60號,1.0,266,斗六分局,
公寓,81.0,光興里,雲林縣斗六市光興里民生路128號,1.0,224,斗六分局,
公寓,82.0,光興里,雲林縣斗六市光興里民生路98號,1.0,485,斗六分局,
公寓,83.0,光興里,雲林縣斗六市光興里民生路121號,1.0,170,斗六分局,
公寓,84.0,光興里,雲林縣斗六市愛國街78-4號,1.0,1665,斗六分局,
公寓,85.0,光興里,雲林縣斗六市光興里西平路80號,1.0,952,斗六分局,
公寓,86.0,光興里,雲林縣斗六市光興里大同路46至48號,1.0,254,斗六分局,
公寓,87.0,光興里,雲林縣斗六市光興里民生路119號,1.0,182,斗六分局,
公寓,88.0,光興里,雲林縣斗六市光興里雲林路1段60號,1.0,188,斗六分局,
公寓,89.0,成功里,雲林縣斗六市成功里榮譽路91號之93,1.0,733,斗六分局,
公寓,90.0,成功里,雲林縣斗六市成功里五權路80號,1.0,517,斗六分局,
公寓,91.0,成功里,雲林縣斗六市成功里20鄰民族路50號,1.0,432,斗六分局,
公寓,92.0,成功里,雲林縣斗六市成功里成功路435巷127號,1.0,316,斗六分局,
公寓,93.0,成功里,雲林縣斗六市成功里鎮東路338號,1.0,1024,斗六分局,
公寓,94.0,成功里,雲林縣斗六市鎮東路356巷68號、天祥街77號,1.0,458,斗六分局,
公寓,95.0,成功里,雲林縣斗六市成功里富強街37號,1.0,994,斗六分局,
公寓,96.0,成功里,雲林縣斗六市成功里復國街16號之32,1.0,1324,斗六分局,
慈德工業社,97.0,成功里,雲林縣斗六市榮譽路30號之1,1.0,112,斗六分局,
瑞興工業社,98.0,成功里,雲林縣斗六市成功里大學路540號,1.0,124,斗六分局,
斗六國小,99.0,成功里,雲林縣斗六市成功里4鄰鎮東路225號,1.0,2656,斗六分局,
斗六國小,100.0,成功里,雲林縣斗六市成功里鎮東路515號,1.0,1660,斗六分局,
信安醫院,101.0,江厝里,雲林縣斗六市江厝里瓦厝路159號,1.0,1013,斗六分局,
公寓,102.0,忠孝里,雲林縣斗六市忠孝里內環路661號,1.0,680,斗六分局,
公寓,103.0,忠孝里,雲林縣斗六市忠孝里文化路138號,1.0,408,斗六分局,
公寓,104.0,忠孝里,雲林縣斗六市忠孝里永安路72號,1.0,489,斗六分局,
公寓,105.0,忠孝里,雲林縣斗六市內環路630號,1.0,148,斗六分局,
公寓,106.0,忠孝里,雲林縣斗六市內環路1.3.5.7號,1.0,529,斗六分局,
公寓,107.0,忠孝里,雲林縣斗六市忠孝里永安路46號,1.0,1322,斗六分局,
公寓,108.0,忠孝里,雲林縣斗六市忠孝里大同路252號,1.0,286,斗六分局,
公寓,109.0,忠孝里,雲林縣斗六市忠孝里大同路123號,1.0,114,斗六分局,
公寓,110.0,忠孝里,雲林縣斗六市忠孝里中正路23號,1.0,128,斗六分局,
不公開,111.0,忠孝里,雲林縣斗六市忠孝里文化路38號,1.0,849,斗六分局,
不公開,112.0,忠孝里,雲林縣斗六市忠孝里文化路38號,1.0,966,斗六分局,
不公開,113.0,忠孝里,雲林縣斗六市忠孝里大同路109號,1.0,513,斗六分局,
公寓,114.0,林中村,雲林縣林內鄉林中村光復路2-3號,1.0,133,斗六分局,
林內鄉公所,115.0,林中村,雲林縣林內鄉林中村中正路340號,1.0,128,斗六分局,
合眾紙業公司,116.0,林中村,雲林縣林內鄉林中村瑞農路65號,1.0,118,斗六分局,
不公開,117.0,林中村,雲林縣林內鄉林中村中西路21號,1.0,517,斗六分局,
不公開,118.0,林中村,雲林縣林內鄉林中村中正路42號,1.0,346,斗六分局,
不公開,119.0,林中村,雲林縣林內鄉林中村中正路382號,1.0,512,斗六分局,
淵明國中,120.0,林中村,雲林縣林內鄉林中村公園路3號,1.0,1810,斗六分局,
公寓,121.0,林頭里,雲林縣斗六市林頭里21鄰大學路1段599號,1.0,1294,斗六分局,
公寓,122.0,林頭里,雲林縣斗六市林頭里福德街43-49號,1.0,1173,斗六分局,
公寓,123.0,林頭里,雲林縣斗六市林頭里福德街46-52號,1.0,864,斗六分局,
菸酒公賣局,124.0,林頭里,雲林縣斗六市林頭里南聖路45號,1.0,178,斗六分局,
南聖宮管理委員會(左),125.0,林頭里,雲林縣斗六市林頭里3鄰南聖路301號,1.0,37,斗六分局,
南聖宮管理委員會(右),126.0,林頭里,雲林縣斗六市林頭里3鄰南聖路301號,1.0,194,斗六分局,
榮民服務處,127.0,林頭里,雲林縣斗六市林頭里榮譽路160號,1.0,188,斗六分局,
公寓,128.0,社口里,雲林縣斗六市社口里中山路173號,1.0,129,斗六分局,
公寓,129.0,社口里,雲林縣斗六市社口里六合街25號,1.0,841,斗六分局,
公寓,130.0,社口里,雲林縣斗六市中山路171巷9-1號,1.0,433,斗六分局,
大樓,131.0,社口里,雲林縣斗六市社口里22鄰南揚街64至68號,1.0,458,斗六分局,
公寓,132.0,社口里,雲林縣斗六市鎮南路100巷42號,1.0,172,斗六分局,
公寓,133.0,社口里,雲林縣斗六市社口里鎮南路100巷45號,1.0,657,斗六分局,
公寓,134.0,社口里,雲林縣斗六市社口里15鄰大智街58號,1.0,2694,斗六分局,
公寓,135.0,社口里,雲林縣斗六市社口里大智街11號,1.0,4053,斗六分局,
公寓,136.0,社口里,雲林縣斗六市社口里大智街82-1號,1.0,180,斗六分局,
公寓,137.0,社口里,雲林縣斗六市社口里鎮南路100巷45號,1.0,3464,斗六分局,
公寓,138.0,社口里,雲林縣斗六市中山路171巷36號,1.0,130,斗六分局,
雲林縣消防局,139.0,社口里,雲林縣斗六市社口里府前街56號,1.0,254,斗六分局,
不公開,140.0,社口里,雲林縣斗六市社口里鎮南路67號,1.0,160,斗六分局,
"V-MAX KTV",141.0,社口里,雲林縣斗六市社口里中山路145號,1.0,414,斗六分局,
鎮南國小健身館,142.0,社口里,雲林縣斗六市社口里南揚街60號,1.0,3458,斗六分局,
鎮南國小力學樓,143.0,社口里,雲林縣斗六市社口里南揚街60號,1.0,2258,斗六分局,
鎮南國小敦品樓,144.0,社口里,雲林縣斗六市社口里南揚街60號,1.0,1380,斗六分局,
鎮南國小,145.0,社口里,雲林縣斗六市社口里22鄰南揚街60號,1.0,2370,斗六分局,
公寓,146.0,虎溪里,雲林縣斗六市虎溪里正心路70巷7號,1.0,141,斗六分局,
公寓,147.0,虎溪里,雲林縣斗六市虎溪里正心路70巷10號,1.0,112,斗六分局,
公寓,148.0,虎溪里,雲林縣斗六市虎溪里正心路70巷5號,1.0,141,斗六分局,
經濟部工業局,149.0,虎溪里,雲林縣斗六市虎溪里科工六路6號,1.0,150,斗六分局,
正心中學(行政樓),150.0,虎溪里,雲林縣斗六市虎溪里正心路1號,1.0,1042,斗六分局,
正心中學(教室),151.0,虎溪里,雲林縣斗六市虎溪里正心路1號,1.0,1418,斗六分局,
裕源紡織廠,152.0,虎溪里,雲林縣斗六市虎溪里西平426路1號,1.0,104,斗六分局,
上銀科技股份有限公司B棟,153.0,虎溪里,斗六市虎溪里23鄰雲科路三段128號,1.0,774,斗六分局,
上銀科技股份有限公司C棟,154.0,虎溪里,斗六市虎溪里23鄰雲科路三段129號,1.0,452,斗六分局,
不公開,155.0,虎溪里,雲林縣斗六市虎溪里雲科路3段78號,1.0,502,斗六分局,
常陽興業,156.0,虎溪里,雲林縣斗六市虎溪里雲科路3段37號,1.0,705,斗六分局,
佑升公司,157.0,虎溪里,雲林縣斗六市虎溪里雲科路3段87號,1.0,234,斗六分局,
凱韋公司,158.0,虎溪里,雲林縣斗六市雲科路3段86號,1.0,472,斗六分局,
豐泰公司,159.0,虎溪里,雲林縣斗六市虎溪里科工八路52號,1.0,2174,斗六分局,
巧新公司,160.0,虎溪里,雲林縣斗六市虎溪里雲科路3段82號,1.0,282,斗六分局,
金居開發銅箔公司,161.0,虎溪里,雲林縣斗六市虎溪里科工八路56號,1.0,2572,斗六分局,
華鮮食品,162.0,虎溪里,雲林縣斗六市虎溪里科工一路3號,1.0,242,斗六分局,
光壁企業股份有限公司,163.0,虎溪里,雲林縣斗六市虎溪里雲科路3段55號,1.0,113,斗六分局,
豐泰公司,164.0,虎溪里,雲林縣斗六市虎溪里西平路666號,1.0,233,斗六分局,
賜芳公司,165.0,虎溪里,雲林縣斗六市虎溪里西平路636號,1.0,124,斗六分局,
豐泰公司,166.0,虎溪里,雲林縣斗六市虎溪里西平路600號,1.0,1092,斗六分局,
豐瑞公司,167.0,虎溪里,雲林縣斗六市虎溪里文生路10號,1.0,218,斗六分局,
大山電纜,168.0,虎溪里,雲林縣斗六市虎溪里西平路369號,1.0,117,斗六分局,
味全公司(一廠),169.0,長平里,雲林縣斗六市長林路18號,1.0,248,斗六分局,
味全公司(二廠),170.0,長平里,雲林縣斗六市長平里長林路18號,1.0,248,斗六分局,
味全公司(三廠),171.0,長平里,雲林縣斗六市長林路18號,1.0,120,斗六分局,
味全公司(四廠),172.0,長平里,雲林縣斗六市長平里長林路18號,1.0,240,斗六分局,
上銀科技公司,173.0,長平里,雲林縣斗六市長平里9鄰科福三街87號,1.0,1851,斗六分局,
欣欣生技(輔導會食品廠),174.0,保庄里,雲林縣斗六市保庄里保長路60號,1.0,100,斗六分局,
欣欣生技,175.0,保庄里,雲林縣斗六市保庄里保長路60號,1.0,1070,斗六分局,
上久工業,176.0,保庄里,雲林縣斗六市保庄里1鄰廣西路16號,1.0,501,斗六分局,
安生醫院,177.0,保庄里,雲林縣斗六市保庄里保長路498號,1.0,1834,斗六分局,
公寓,178.0,信義里,雲林縣斗六市愛國街11號,1.0,334,斗六分局,
公寓,179.0,信義里,雲林縣斗六市愛國街2號,1.0,121,斗六分局,
公寓,180.0,信義里,"雲林縣斗六市愛國街2號之2 ",1.0,270,斗六分局,
公寓,181.0,信義里,"雲林縣斗六市信義里愛國街4號之2 ",1.0,120,斗六分局,
公寓,182.0,信義里,"雲林縣斗六市鎮北路19號 ",1.0,142,斗六分局,
公寓,183.0,信義里,"雲林縣斗六市大同路23號 ",1.0,265,斗六分局,
公寓,184.0,信義里,"雲林縣斗六市信義里民生路170號 ",1.0,378,斗六分局,
公寓,185.0,信義里,"雲林縣斗六市大同路13號 ",1.0,153,斗六分局,
公寓,186.0,信義里,"雲林縣斗六市大同路156號 ",1.0,3169,斗六分局,
公寓,187.0,信義里,"雲林縣斗六市太平路7號 ",1.0,913,斗六分局,
不公開,188.0,信義里,"雲林縣斗六市信義里民生路273號 ",1.0,1398,斗六分局,
農田水利會,189.0,信義里,雲林縣斗六市信義里興華街2號,1.0,2593,斗六分局,
斗六市公所停車場,190.0,信義里,"雲林縣斗六市信義里文化路6號 ",1.0,4421,斗六分局,
緻儷伯爵酒店,191.0,信義里,雲林縣斗六市信義里中山路6號之21,1.0,364,斗六分局,
不公開,192.0,信義里,雲林縣斗六市信義里民生路223號,1.0,456,斗六分局,
斗六高中,193.0,信義里,"雲林縣斗六市信義里民生路224號 ",1.0,501,斗六分局,
雲林縣商業會,194.0,信義里,"雲林縣斗六市信義里民生路172號 ",1.0,309,斗六分局,
不公開,195.0,埔子村,雲林縣莿桐鄉埔子村和平路74號,1.0,213,斗六分局,
私立義峰高中,196.0,烏麻村,雲林縣林內鄉烏麻村16鄰長源路201號,1.0,1246,斗六分局,
永洪建設公司,197.0,崙峰里,雲林縣斗六市崙峰里崙南路41號,1.0,850,斗六分局,
福智文教湖山院區,198.0,湖山里,雲林縣斗六市湖山里岩山路88號,1.0,170,斗六分局,
莿桐鄉農會大樓,199.0,莿桐村,雲林縣莿桐鄉莿桐村中正路75號,1.0,1066,斗六分局,
清水建設公司,200.0,莿桐村,雲林縣莿桐村延平路275號,1.0,785,斗六分局,
建大輪胎公司,201.0,莿桐村,雲林縣莿桐鄉莿桐村延平路50號,1.0,226,斗六分局,
德欣公司,202.0,溪州里,雲林縣斗六市溪州里萬年路700號,1.0,188,斗六分局,
財團法人紡織研究所,203.0,溪州里,雲林縣斗六市溪州里科加路20號,1.0,2645,斗六分局,
"正新橡膠工業  羅結",204.0,溪洲里,雲林縣斗六市溪洲里13鄰科加二路8號,1.0,2866,斗六分局,
日益和股份有限公司,205.0,溪洲里,斗六市科加路18號,1.0,660,斗六分局,
環球科技大學,206.0,嘉東里,雲林縣斗六市嘉東里5鄰鎮南路1121號,1.0,5380,斗六分局,
環球科技大學,207.0,嘉東里,雲林縣斗六市嘉東里5鄰鎮南路1122號,1.0,3732,斗六分局,
環球科技大學,208.0,嘉東里,雲林縣斗六市嘉東里鎮南路1123號,1.0,1549,斗六分局,
環球科技大學,209.0,嘉東里,雲林縣斗六市嘉東里5鄰鎮南路1124號,1.0,1752,斗六分局,
私立維多利亞中學,210.0,嘉東里,雲林縣斗六市嘉東里鎮南路1110號,1.0,196,斗六分局,
公寓,211.0,榴中里,雲林縣斗六市榴中里石榴路79號,1.0,501,斗六分局,
公寓,212.0,榴中里,雲林縣斗六市榴中里22鄰石榴路369巷133號,1.0,1517,斗六分局,
福懋公司(一廠),213.0,榴中里,雲林縣斗六市榴中里河南街319號,1.0,1074,斗六分局,
福懋公司(二廠),214.0,榴中里,雲林縣斗六市榴中里河南街319號,1.0,1313,斗六分局,
順晉實業,215.0,榴中里,雲林縣斗六市榴中里復興路56號,1.0,317,斗六分局,
惠洋工業,216.0,榴中里,雲林縣斗六市榴中里民有街22號,1.0,168,斗六分局,
雲乳食品,217.0,榴中里,雲林縣斗六市榴中里工業路79號,1.0,100,斗六分局,
茂一電子,218.0,榴中里,雲林縣斗六市工業路93號,1.0,140,斗六分局,
大成企業,219.0,榴中里,雲林縣斗六市工業路115號,1.0,212,斗六分局,
大勝公司,220.0,榴中里,雲林縣斗六市工業路99號,1.0,106,斗六分局,
大成企業一廠,221.0,榴中里,雲林縣斗六市榴中里工業路115號,1.0,212,斗六分局,
大成企業二廠,222.0,榴中里,雲林縣斗六市榴中里工業路115號,1.0,212,斗六分局,
眾鉅公司,223.0,榴中里,雲林縣斗六市工業路109號,1.0,266,斗六分局,
綠世紀公司,224.0,榴中里,雲林縣斗六市榴中里民有街16號,1.0,200,斗六分局,
彰源公司,225.0,榴中里,雲林縣斗六市榴中里工業路122號,1.0,330,斗六分局,
眾鉅公司,226.0,榴中里,雲林縣斗六市工業路109號,1.0,266,斗六分局,
建樹(福懋)(一廠),227.0,榴中里,雲林縣斗六市榴中里石榴路317號,1.0,1204,斗六分局,
建樹(福懋)(二廠),228.0,榴中里,雲林縣斗六市榴中里石榴路317號,1.0,830,斗六分局,
彰源公司,229.0,榴中里,雲林縣斗六市榴中里民有街35號,1.0,293,斗六分局,
建旺(福懋)(二廠),230.0,榴中里,雲林縣斗六市榴中里石榴路307號,1.0,1042,斗六分局,
東峰公司,231.0,榴中里,雲林縣斗六市榴中里復興路287號,1.0,818,斗六分局,
久泰精業股份有限公司,232.0,榴中里,斗六市榴中里25鄰民有街36號,1.0,342,斗六分局,
公寓,233.0,榴南里,雲林縣斗六市榴南里榴南路123號,1.0,1204,斗六分局,
集隆公司,234.0,榴南里,雲林縣斗六市榴南里9鄰斗工十路152號,1.0,268,斗六分局,
億霖公司,235.0,榴南里,雲林縣斗六市榴南里9鄰斗工二路33號,1.0,178,斗六分局,
聚隆公司,236.0,榴南里,雲林縣斗六市榴南里9鄰斗工十路150號,1.0,166,斗六分局,
豪傑公司,237.0,榴南里,雲林縣斗六市榴南里9鄰斗工十二路15號,1.0,97,斗六分局,
權茗金屬(玉鑫金屬),238.0,榴南里,雲林縣斗六市榴南里9鄰斗工三路3號,1.0,322,斗六分局,
述睦喜公司,239.0,榴南里,雲林縣斗六市榴南里9鄰斗工十路148號,1.0,242,斗六分局,
鋼藝工業,240.0,榴南里,雲林縣斗六市榴南里9鄰斗工二路46號,1.0,170,斗六分局,
台日古河銅箔公司,241.0,榴南里,雲林縣斗六市榴南里9鄰斗工二路148號,1.0,217,斗六分局,
國山石材企業,242.0,榴南里,雲林縣斗六市榴南里9鄰斗工六路12號,1.0,109,斗六分局,
富喬工業(一廠),243.0,榴南里,雲林縣斗六市榴南里9鄰斗工十六路8號,1.0,324,斗六分局,
永寬化學,244.0,榴南里,雲林縣斗六市榴南里9鄰斗工六路36號,1.0,424,斗六分局,
星美行鋼鐵,245.0,榴南里,雲林縣斗六市榴南里9鄰斗工八路29號,1.0,234,斗六分局,
展頌公司,246.0,榴南里,雲林縣斗六市榴南里9鄰斗工十路156號,1.0,7894,斗六分局,
富喬工業(二廠),247.0,榴南里,雲林縣斗六市榴南里9鄰斗工十六路8號,1.0,1350,斗六分局,
永寬化學,248.0,榴南里,雲林縣斗六市榴南里斗工六路47號,1.0,986,斗六分局,
台日古河銅箔公司,249.0,榴南里,雲林縣斗六市榴南里斗工二路8號,1.0,431,斗六分局,
義美食品公司,250.0,榴南里,雲林縣斗六市榴南里18鄰斗工八路1號,1.0,1424,斗六分局,
公寓,251.0,龍潭里,雲林縣斗六市龍潭里忠孝路155號,1.0,3041,斗六分局,
公寓,252.0,龍潭里,雲林縣斗六市忠孝路125號,1.0,1856,斗六分局,
雲林科技大學(行政樓),253.0,龍潭里,雲林縣斗六市龍潭里9鄰大學路3段123號,1.0,4034,斗六分局,
雲林科技大學(資訊樓),254.0,龍潭里,雲林縣斗六市龍潭里9鄰大學路3段123號,1.0,1358,斗六分局,
雲林科技大學(技職樓),255.0,龍潭里,雲林縣斗六市龍潭里9鄰大學路3段123號,1.0,2865,斗六分局,
雲林科技大學(禮堂),256.0,龍潭里,雲林縣斗六市龍潭里9鄰大學路3段123號,1.0,2865,斗六分局,
雲林科技大學(圖書館),257.0,龍潭里,雲林縣斗六市龍潭里9鄰大學路3段123號,1.0,1358,斗六分局,
雲林科技大學(體育館),258.0,龍潭里,雲林縣斗六市龍潭里9鄰大學路3段123號,1.0,6072,斗六分局,
雲林科技大學(教室),259.0,龍潭里,雲林縣斗六市龍潭里9鄰大學路3段123號,1.0,4034,斗六分局,
公寓,260.0,鎮北里,雲林縣斗六市東興街168至170號,1.0,401,斗六分局,
公寓,261.0,鎮北里,雲林縣斗六市育英北街117號,1.0,954,斗六分局,
公寓,262.0,鎮北里,雲林縣斗六市鎮北里鎮北路138號,1.0,200,斗六分局,
公寓,263.0,鎮北里,雲林縣斗六市鎮北路68號,1.0,102,斗六分局,
公寓,264.0,鎮北里,雲林縣斗六市鎮英北街111巷45號,1.0,354,斗六分局,
公寓,265.0,鎮北里,雲林縣斗六市鎮英北街111巷45-49號,1.0,354,斗六分局,
公寓,266.0,鎮西里,雲林縣斗六市鎮西里建成路41至43號、同心街1至5號,1.0,845,斗六分局,
公寓,267.0,鎮西里,雲林縣斗六市鎮西里雲林路1段223至227號,1.0,153,斗六分局,
公寓,268.0,鎮西里,雲林縣斗六市鎮西里建成路105號,1.0,1593,斗六分局,
公寓,269.0,鎮西里,雲林縣斗六市鎮西里同德街15號,1.0,557,斗六分局,
公寓,270.0,鎮西里,雲林縣斗六市鎮西里建成路275至287號、安和街2號,1.0,876,斗六分局,
公寓,271.0,鎮西里,雲林縣斗六市鎮西里安和街73號,1.0,152,斗六分局,
公寓,272.0,鎮西里,雲林縣斗六市建成路269至273號、安和街1號,1.0,189,斗六分局,
公寓,273.0,鎮西里,雲林縣斗六市鎮西里雲林路2段203號,1.0,460,斗六分局,
公寓,274.0,鎮西里,雲林縣斗六市鎮西里雲林路2段221號,1.0,826,斗六分局,
公寓,275.0,鎮西里,雲林縣斗六市鎮西里11鄰樂利街53號,1.0,991,斗六分局,
公寓,276.0,鎮西里,雲林縣斗六市鎮西里雲林路2段6巷59號,1.0,584,斗六分局,
公寓,277.0,鎮西里,雲林縣斗六市鎮西里雲林路2段180巷11號,1.0,484,斗六分局,
雲林縣政府,278.0,鎮西里,雲林縣斗六市鎮西里雲林路2段445號,1.0,600,斗六分局,
斗六市公所,279.0,鎮西里,雲林縣斗六市鎮西里府文路38號,1.0,1260,斗六分局,
雲林監理站,280.0,鎮西里,雲林縣斗六市鎮西里雲林路2段367號,1.0,168,斗六分局,
雲林監理站,281.0,鎮西里,雲林縣斗六市鎮西里雲林路2段411號,1.0,429,斗六分局,
雲林縣稅務局,282.0,鎮西里,雲林縣斗六市鎮西里府文路35號,1.0,5022,斗六分局,
