類別,電腦編號,村里別,地址,緯經度,地下樓層數,可容納人數,轄管分局,備註,"unnamed (1)"
一般建築,XG1447,廈莊里,高雄市小港區廈莊里10鄰廈莊二街53號,"22.581851,120.359763",1.0,13.0,小港分局,,
一般建築,XG1446,廈莊里,高雄市小港區廈莊里10鄰廈莊二街55號,"22.581851,120.359725",1.0,13.0,小港分局,,
一般建築,XG1445,廈莊里,高雄市小港區廈莊里10鄰廈莊二街57號,"22.581851,120.359688",1.0,13.0,小港分局,,
一般建築,XG1444,廈莊里,高雄市小港區廈莊里10鄰廈莊二街59號,"22.581849,120.359652",1.0,13.0,小港分局,,
一般建築,XG1443,廈莊里,高雄市小港區廈莊里10鄰廈莊二街61號,"22.581849,120.359613",1.0,13.0,小港分局,,
一般建築,XG1442,廈莊里,高雄市小港區廈莊里10鄰廈莊二街63號,"22.581849,120.359576",1.0,13.0,小港分局,,
一般建築,XG1441,廈莊里,高雄市小港區廈莊里10鄰廈莊二街65號,"22.581849,120.359539",1.0,13.0,小港分局,,
一般建築,XG1440,廈莊里,高雄市小港區廈莊里10鄰廈莊二街67號,"22.581849,120.359504",1.0,13.0,小港分局,,
一般建築,XG1439,廈莊里,高雄市小港區廈莊里10鄰廈莊二街69號,"22.581849,120.359469",1.0,13.0,小港分局,,
一般建築,XG1438,廈莊里,高雄市小港區廈莊里10鄰廈莊二街71號,"22.581859,120.359427",1.0,13.0,小港分局,,
一般建築,XG1143,廈莊里,高雄市小港區廈莊里9鄰孔鳳路420號,"22.58153,120.360915",1.0,13.0,小港分局,,
一般建築,XG1144,廈莊里,高雄市小港區廈莊里9鄰孔鳳路422號,"22.58153,120.360873",1.0,13.0,小港分局,,
一般建築,XG1432,廈莊里,高雄市小港區廈莊里9鄰孔鳳路474號,"22.581544,120.359725",1.0,13.0,小港分局,,
一般建築,XG1431,廈莊里,高雄市小港區廈莊里9鄰孔鳳路476號,"22.581544,120.359689",1.0,13.0,小港分局,,
一般建築,XG1430,廈莊里,高雄市小港區廈莊里9鄰孔鳳路478號,"22.581551,120.359652",1.0,13.0,小港分局,,
一般建築,XG1429,廈莊里,高雄市小港區廈莊里9鄰孔鳳路480號,"22.581551,120.359612",1.0,13.0,小港分局,,
一般建築,XG1426,廈莊里,高雄市小港區廈莊里9鄰孔鳳路481號,"22.58208,120.358541",1.0,13.0,小港分局,,
一般建築,XG1428,廈莊里,高雄市小港區廈莊里9鄰孔鳳路482號,"22.581551,120.359573",1.0,13.0,小港分局,,
一般建築,XG1427,廈莊里,高雄市小港區廈莊里9鄰孔鳳路484號,"22.581551,120.359534",1.0,13.0,小港分局,,
一般建築,XG1425,廈莊里,高雄市小港區廈莊里9鄰孔鳳路488號,"22.581551,120.359452",1.0,13.0,小港分局,,
一般建築,XG1530,鳳興里,高雄市小港區鳳興里10鄰鳳西街18號,"22.524463,120.345142",1.0,13.0,小港分局,,
一般建築,XG1763,六苓里,高雄市小港區六苓里漢民路690號,"22.567308,120.361395",1.0,14.0,小港分局,,
一般建築,XG1717,正苓里,高雄市小港區正苓里金府路37號,"22.566026,120.35456",1.0,14.0,小港分局,,
一般建築,XG1709,正苓里,高雄市小港區正苓里金府路43巷11號,"22.566043,120.354273",1.0,14.0,小港分局,,
一般建築,XG1737,店鎮里,高雄市小港區店鎮里下橫路37巷1號,"22.560269,120.353641",1.0,14.0,小港分局,,
一般建築,XG1736,店鎮里,高雄市小港區店鎮里下橫路37巷2號,"22.560305,120.353629",1.0,14.0,小港分局,,
一般建築,XG1735,店鎮里,高雄市小港區店鎮里下橫路37巷3號,"22.560338,120.353618",1.0,14.0,小港分局,,
一般建築,XG1734,店鎮里,高雄市小港區店鎮里下橫路37巷4號,"22.560374,120.353607",1.0,14.0,小港分局,,
一般建築,XG1733,店鎮里,高雄市小港區店鎮里下橫路37巷5號,"22.560407,120.353592",1.0,14.0,小港分局,,
一般建築,XG1732,店鎮里,高雄市小港區店鎮里下橫路37巷6號,"22.560441,120.353577",1.0,14.0,小港分局,,
一般建築,XG1730,店鎮里,高雄市小港區店鎮里下橫路43巷2號,"22.560478,120.353785",1.0,14.0,小港分局,,
一般建築,XG1729,店鎮里,高雄市小港區店鎮里下橫路43巷3號,"22.560445,120.35381",1.0,14.0,小港分局,,
一般建築,XG1669,店鎮里,高雄市小港區店鎮里紹興街38巷4號,"22.56236,120.357118",1.0,14.0,小港分局,,
一般建築,XG1566,店鎮里,高雄市小港區店鎮里紹興街38巷5號,"22.562467,120.356958",1.0,14.0,小港分局,,
一般建築,XG1567,店鎮里,高雄市小港區店鎮里紹興街42號,"22.562503,120.356773",1.0,14.0,小港分局,,
一般建築,XG1815,店鎮里,高雄市小港區店鎮里紹興街70號,"22.562918,120.356435",1.0,14.0,小港分局,,
一般建築,XG1295,港正里,高雄市小港區港正里平和二路54巷10號,"22.56031,120.335003",1.0,14.0,小港分局,,
一般建築,XG1294,港正里,高雄市小港區港正里平和二路54巷1號,"22.560048,120.334916",1.0,14.0,小港分局,,
一般建築,XG1299,港正里,高雄市小港區港正里平和二路54巷2號,"22.560193,120.335117",1.0,14.0,小港分局,,
一般建築,XG1293,港正里,高雄市小港區港正里平和二路54巷3號,"22.560065,120.334878",1.0,14.0,小港分局,,
一般建築,XG1298,港正里,高雄市小港區港正里平和二路54巷4號,"22.560238,120.3351",1.0,14.0,小港分局,,
一般建築,XG1292,港正里,高雄市小港區港正里平和二路54巷5號,"22.560092,120.334861",1.0,14.0,小港分局,,
一般建築,XG1297,港正里,高雄市小港區港正里平和二路54巷6號,"22.560275,120.335075",1.0,14.0,小港分局,,
一般建築,XG1291,港正里,高雄市小港區港正里平和二路54巷7號,"22.56013,120.33485",1.0,14.0,小港分局,,
一般建築,XG1296,港正里,高雄市小港區港正里平和二路54巷8號,"22.560283,120.335029",1.0,14.0,小港分局,,
一般建築,XG1289,港正里,高雄市小港區港正里平和二路54巷9號,"22.560165,120.334846",1.0,14.0,小港分局,,
一般建築,XG0699,港后里,高雄市小港區港后里豐登街12號,"22.569303,120.334447",1.0,14.0,小港分局,,
一般建築,XG0698,港后里,高雄市小港區港后里豐登街14號,"22.56934,120.334438",1.0,14.0,小港分局,,
一般建築,XG0697,港后里,高雄市小港區港后里豐登街16號,"22.569375,120.334419",1.0,14.0,小港分局,,
一般建築,XG0696,港后里,高雄市小港區港后里豐登街18號,"22.569403,120.334407",1.0,14.0,小港分局,,
一般建築,XG0695,港后里,高雄市小港區港后里豐登街20號,"22.569438,120.334389",1.0,14.0,小港分局,,
一般建築,XG0694,港后里,高雄市小港區港后里豐登街22號,"22.569475,120.33438",1.0,14.0,小港分局,,
一般建築,XG1679,港后里,高雄市小港區港后里豐登街72號,"22.570466,120.333966",1.0,14.0,小港分局,,
一般建築,XG1678,港后里,高雄市小港區港后里豐登街74號,"22.570502,120.333951",1.0,14.0,小港分局,,
一般建築,XG1677,港后里,高雄市小港區港后里豐登街76號,"22.570539,120.333937",1.0,14.0,小港分局,,
一般建築,XG1676,港后里,高雄市小港區港后里豐登街78號,"22.570565,120.333924",1.0,14.0,小港分局,,
一般建築,XG1675,港后里,高雄市小港區港后里豐登街80號,"22.570602,120.333913",1.0,14.0,小港分局,,
一般建築,XG1674,港后里,高雄市小港區港后里豐登街82號,"22.570629,120.333895",1.0,14.0,小港分局,,
一般建築,XG1673,港后里,高雄市小港區港后里豐登街84號,"22.570665,120.333881",1.0,14.0,小港分局,,
一般建築,XG1672,港后里,高雄市小港區港后里豐登街86號,"22.570701,120.333869",1.0,14.0,小港分局,,
一般建築,XG1671,港后里,高雄市小港區港后里豐登街88號,"22.570727,120.333856",1.0,14.0,小港分局,,
一般建築,XG1793,港明里,高雄市小港區港明里平和路158號,"22.56745,120.332021",1.0,14.0,小港分局,,
一般建築,XG2348,港興里,高雄市小港區港興里小港路68巷1弄9號,"22.565891,120.343613",1.0,14.0,小港分局,,
一般建築,XG1450,廈莊里,高雄市小港區廈莊里10鄰廈莊二街47號,"22.581842,120.359934",1.0,14.0,小港分局,,
一般建築,XG1449,廈莊里,高雄市小港區廈莊里10鄰廈莊二街49號,"22.581842,120.359885",1.0,14.0,小港分局,,
一般建築,XG1448,廈莊里,高雄市小港區廈莊里10鄰廈莊二街51號,"22.581842,120.359806",1.0,14.0,小港分局,,
一般建築,XG1437,廈莊里,高雄市小港區廈莊里10鄰廈莊二街73號,"22.581858,120.359378",1.0,14.0,小港分局,,
一般建築,XG0934,廈莊里,高雄市小港區廈莊里1鄰廈莊六街26號,"22.584334,120.362222",1.0,14.0,小港分局,,
一般建築,XG0936,廈莊里,高雄市小港區廈莊里1鄰廈莊六街30號,"22.584334,120.362151",1.0,14.0,小港分局,,
一般建築,XG0937,廈莊里,高雄市小港區廈莊里1鄰廈莊六街32號,"22.584334,120.362116",1.0,14.0,小港分局,,
一般建築,XG0911,廈莊里,高雄市小港區廈莊里5鄰新昌街3之15號,"22.582554,120.362075",1.0,14.0,小港分局,,
一般建築,XG0910,廈莊里,高雄市小港區廈莊里5鄰新昌街3之16號,"22.582556,120.362112",1.0,14.0,小港分局,,
一般建築,XG1436,廈莊里,高雄市小港區廈莊里9鄰孔鳳路464號,"22.581544,120.360009",1.0,14.0,小港分局,,
一般建築,XG1435,廈莊里,高雄市小港區廈莊里9鄰孔鳳路466號,"22.581544,120.359967",1.0,14.0,小港分局,,
一般建築,XG1454,廈莊里,高雄市小港區廈莊里9鄰孔鳳路470巷2號,"22.581679,120.359906",1.0,14.0,小港分局,,
一般建築,XG1453,廈莊里,高雄市小港區廈莊里9鄰孔鳳路470巷4號,"22.581716,120.359904",1.0,14.0,小港分局,,
一般建築,XG1529,鳳興里,高雄市小港區鳳興里10鄰鳳西街18之1號,"22.52449,120.345114",1.0,14.0,小港分局,,
一般建築,XG1528,鳳興里,高雄市小港區鳳興里10鄰鳳西街18之2號,"22.524508,120.345074",1.0,14.0,小港分局,,
一般建築,XG1527,鳳興里,高雄市小港區鳳興里10鄰鳳西街18之3號,"22.524526,120.345034",1.0,14.0,小港分局,,
一般建築,XG1573,鳳興里,高雄市小港區鳳興里10鄰鳳西街18之4號,"22.524543,120.345",1.0,14.0,小港分局,,
一般建築,XG0701,山明里,高雄市小港區山明里9鄰水秀路88號,"22.563517,120.366624",1.0,15.0,小港分局,,
一般建築,XG0702,山明里,高雄市小港區山明里9鄰水秀路90號,"22.563482,120.366628",1.0,15.0,小港分局,,
一般建築,XG0703,山明里,高雄市小港區山明里9鄰水秀路92號,"22.563445,120.36663",1.0,15.0,小港分局,,
一般建築,XG1649,六苓里,高雄市小港區六苓里華盛街76巷33號,"22.567715,120.36051",1.0,15.0,小港分局,,
一般建築,XG1560,六苓里,高雄市小港區六苓里新豐街53號,"22.566714,120.361759",1.0,15.0,小港分局,,
一般建築,XG1561,六苓里,高雄市小港區六苓里新豐街55號,"22.566749,120.361744",1.0,15.0,小港分局,,
一般建築,XG1761,六苓里,高雄市小港區六苓里漢民路683號,"22.567506,120.361112",1.0,15.0,小港分局,,
一般建築,XG1762,六苓里,高雄市小港區六苓里漢民路692號,"22.567318,120.361431",1.0,15.0,小港分局,,
一般建築,XG1319,宏亮里,高雄市小港區宏亮里漢民路710巷17號,"22.56705,120.362444",1.0,15.0,小港分局,,
一般建築,XG1320,宏亮里,高雄市小港區宏亮里漢民路710巷19號,"22.567015,120.362461",1.0,15.0,小港分局,,
一般建築,XG1321,宏亮里,高雄市小港區宏亮里漢民路710巷21號,"22.566987,120.362478",1.0,15.0,小港分局,,
一般建築,XG2452,店鎮里,高雄市小港區店鎮里紹興街79號,"22.563113,120.355941",1.0,15.0,小港分局,,
一般建築,XG2331,松金里,高雄市小港區松金里3鄰高松路78之1號,"22.572955,120.370751",1.0,15.0,小港分局,,
一般建築,XG2332,松金里,高雄市小港區松金里3鄰高松路78之2號,"22.572956,120.370715",1.0,15.0,小港分局,,
一般建築,XG2333,松金里,高雄市小港區松金里3鄰高松路78之3號,"22.572956,120.370673",1.0,15.0,小港分局,,
一般建築,XG2334,松金里,高雄市小港區松金里3鄰高松路78之4號,"22.572956,120.370634",1.0,15.0,小港分局,,
一般建築,XG2335,松金里,高雄市小港區松金里3鄰高松路78之5號,"22.572956,120.370594",1.0,15.0,小港分局,,
一般建築,XG2114,桂林里,高雄市小港區桂林里15鄰桂陽路2號,"22.581675,120.358552",1.0,15.0,小港分局,,
一般建築,XG1193,港后里,高雄市小港區港后里天順街26號,"22.569337,120.333913",1.0,15.0,小港分局,,
一般建築,XG1192,港后里,高雄市小港區港后里天順街28號,"22.569372,120.333901",1.0,15.0,小港分局,,
一般建築,XG1191,港后里,高雄市小港區港后里天順街30號,"22.5694,120.333887",1.0,15.0,小港分局,,
一般建築,XG1190,港后里,高雄市小港區港后里天順街32號,"22.569437,120.333872",1.0,15.0,小港分局,,
一般建築,XG1189,港后里,高雄市小港區港后里天順街34號,"22.569472,120.333862",1.0,15.0,小港分局,,
一般建築,XG1188,港后里,高雄市小港區港后里天順街36號,"22.5695,120.333851",1.0,15.0,小港分局,,
一般建築,XG1187,港后里,高雄市小港區港后里天順街38號,"22.569535,120.333836",1.0,15.0,小港分局,,
一般建築,XG1186,港后里,高雄市小港區港后里天順街40號,"22.569562,120.333821",1.0,15.0,小港分局,,
一般建築,XG1185,港后里,高雄市小港區港后里天順街42號,"22.569599,120.333806",1.0,15.0,小港分局,,
一般建築,XG1183,港后里,高雄市小港區港后里天順街46號,"22.569671,120.333771",1.0,15.0,小港分局,,
一般建築,XG1182,港后里,高雄市小港區港后里天順街48號,"22.569707,120.333758",1.0,15.0,小港分局,,
一般建築,XG1181,港后里,高雄市小港區港后里天順街50號,"22.569734,120.333744",1.0,15.0,小港分局,,
一般建築,XG1180,港后里,高雄市小港區港后里天順街52號,"22.569769,120.333735",1.0,15.0,小港分局,,
一般建築,XG2089,港后里,高雄市小港區港后里崇明街14號,"22.570989,120.333547",1.0,15.0,小港分局,,
一般建築,XG2090,港后里,高雄市小港區港后里崇明街16號,"22.570979,120.333506",1.0,15.0,小港分局,,
一般建築,XG2091,港后里,高雄市小港區港后里崇明街18號,"22.570969,120.333473",1.0,15.0,小港分局,,
一般建築,XG2092,港后里,高雄市小港區港后里崇明街20號,"22.570969,120.333434",1.0,15.0,小港分局,,
一般建築,XG2093,港后里,高雄市小港區港后里崇明街22號,"22.570961,120.333398",1.0,15.0,小港分局,,
一般建築,XG1670,港后里,高雄市小港區港后里崇明街6號,"22.571034,120.333753",1.0,15.0,小港分局,,
一般建築,XG0760,港興里,高雄市小港區港興里小港路48巷1弄23號,"22.565939,120.344183",1.0,15.0,小港分局,,
一般建築,XG0942,廈莊里,高雄市小港區廈莊里1鄰新昌街21之8號,"22.584485,120.36214",1.0,15.0,小港分局,,
一般建築,XG2391,鳳鳴里,高雄市小港區鳳鳴里3鄰丹山二路20之1號,"22.511358,120.360204",1.0,15.0,小港分局,,
一般建築,XG2390,鳳鳴里,高雄市小港區鳳鳴里3鄰丹山二路20之2號,"22.511319,120.360175",1.0,15.0,小港分局,,
一般建築,XG0881,鳳鳴里,高雄市小港區鳳鳴里9鄰丹山二路95之8號,"22.511115,120.358569",1.0,15.0,小港分局,,
一般建築,XG0882,鳳鳴里,高雄市小港區鳳鳴里9鄰丹山二路95之9號,"22.511096,120.3586",1.0,15.0,小港分局,,
一般建築,XG0871,鳳鳴里,高雄市小港區鳳鳴里9鄰丹山二路96之3號,"22.51096,120.35842",1.0,15.0,小港分局,,
一般建築,XG1525,鳳興里,高雄市小港區鳳興里10鄰鳳興路89之1號,"22.524574,120.345264",1.0,15.0,小港分局,,
一般建築,XG1524,鳳興里,高雄市小港區鳳興里10鄰鳳興路89之2號,"22.524549,120.345239",1.0,15.0,小港分局,,
一般建築,XG1526,鳳興里,高雄市小港區鳳興里10鄰鳳興路89號,"22.524605,120.345287",1.0,15.0,小港分局,,
一般建築,XG1394,鳳興里,高雄市小港區鳳興里11鄰鳳華路98號,"22.523326,120.347522",1.0,15.0,小港分局,,
一般建築,XG1749,三苓里,高雄市小港區三苓里民益路17號,"22.566268,120.347759",1.0,16.0,小港分局,,
一般建築,XG1748,三苓里,高雄市小港區三苓里民益路19號,"22.566305,120.347758",1.0,16.0,小港分局,,
一般建築,XG1747,三苓里,高雄市小港區三苓里民益路21號,"22.566333,120.347756",1.0,16.0,小港分局,,
一般建築,XG1746,三苓里,高雄市小港區三苓里民益路23號,"22.566378,120.347752",1.0,16.0,小港分局,,
一般建築,XG0718,三苓里,高雄市小港區三苓里永義街221號,"22.566852,120.347032",1.0,16.0,小港分局,,
一般建築,XG0719,三苓里,高雄市小港區三苓里永義街223號,"22.566852,120.346991",1.0,16.0,小港分局,,
一般建築,XG0720,三苓里,高雄市小港區三苓里永義街225號,"22.566852,120.346951",1.0,16.0,小港分局,,
一般建築,XG0721,三苓里,高雄市小港區三苓里永義街227號,"22.566852,120.346912",1.0,16.0,小港分局,,
一般建築,XG0722,三苓里,高雄市小港區三苓里永義街229號,"22.566852,120.34687",1.0,16.0,小港分局,,
一般建築,XG1636,大苓里,高雄市小港區大苓里民益路64巷23弄14號,"22.568441,120.348822",1.0,16.0,小港分局,,
一般建築,XG1633,大苓里,高雄市小港區大苓里民益路64巷23弄20號,"22.568557,120.348822",1.0,16.0,小港分局,,
一般建築,XG0711,大苓里,高雄市小港區大苓里永義街192號,"22.56708,120.347258",1.0,16.0,小港分局,,
一般建築,XG0712,大苓里,高雄市小港區大苓里永義街194號,"22.56708,120.347213",1.0,16.0,小港分局,,
一般建築,XG0713,大苓里,高雄市小港區大苓里永義街196號,"22.56708,120.347183",1.0,16.0,小港分局,,
一般建築,XG0714,大苓里,高雄市小港區大苓里永義街198號,"22.567088,120.34714",1.0,16.0,小港分局,,
一般建築,XG0715,大苓里,高雄市小港區大苓里永義街200號,"22.567087,120.347106",1.0,16.0,小港分局,,
一般建築,XG0716,大苓里,高雄市小港區大苓里永義街202號,"22.567087,120.347061",1.0,16.0,小港分局,,
一般建築,XG0717,大苓里,高雄市小港區大苓里永義街204號,"22.567087,120.347024",1.0,16.0,小港分局,,
一般建築,XG1247,山明里,高雄市小港區山明里18鄰敬業路59巷16號,"22.564326,120.367631",1.0,16.0,小港分局,,
一般建築,XG1248,山明里,高雄市小港區山明里18鄰敬業路59巷18號,"22.564288,120.367635",1.0,16.0,小港分局,,
一般建築,XG1249,山明里,高雄市小港區山明里18鄰敬業路59巷20號,"22.564253,120.367633",1.0,16.0,小港分局,,
一般建築,XG1250,山明里,高雄市小港區山明里18鄰敬業路59巷22號,"22.564216,120.367638",1.0,16.0,小港分局,,
一般建築,XG1251,山明里,高雄市小港區山明里18鄰敬業路59巷24號,"22.564181,120.367635",1.0,16.0,小港分局,,
一般建築,XG1252,山明里,高雄市小港區山明里18鄰敬業路59巷26號,"22.564145,120.367638",1.0,16.0,小港分局,,
一般建築,XG1826,正苓里,高雄市小港區正苓里永順街180號,"22.569195,120.352239",1.0,16.0,小港分局,,
一般建築,XG1827,正苓里,高雄市小港區正苓里永順街182號,"22.569195,120.3522",1.0,16.0,小港分局,,
一般建築,XG1828,正苓里,高雄市小港區正苓里永順街184號,"22.569195,120.352157",1.0,16.0,小港分局,,
一般建築,XG1830,正苓里,高雄市小港區正苓里永順街186之1號,"22.569195,120.352036",1.0,16.0,小港分局,,
一般建築,XG1829,正苓里,高雄市小港區正苓里永順街186號,"22.569195,120.352119",1.0,16.0,小港分局,,
一般建築,XG2018,正苓里,高雄市小港區正苓里金府路43巷23號,"22.566042,120.354037",1.0,16.0,小港分局,,
一般建築,XG1833,正苓里,高雄市小港區正苓里崇文路122巷10號,"22.569331,120.352228",1.0,16.0,小港分局,,
一般建築,XG1832,正苓里,高雄市小港區正苓里崇文路122巷12號,"22.56933,120.352271",1.0,16.0,小港分局,,
一般建築,XG1836,正苓里,高雄市小港區正苓里崇文路122巷4號,"22.56933,120.352112",1.0,16.0,小港分局,,
一般建築,XG1835,正苓里,高雄市小港區正苓里崇文路122巷6號,"22.569331,120.352152",1.0,16.0,小港分局,,
一般建築,XG1834,正苓里,高雄市小港區正苓里崇文路122巷8號,"22.569331,120.352192",1.0,16.0,小港分局,,
一般建築,XG1503,宏亮里,高雄市小港區宏亮里宏平路337號,"22.569642,120.36013",1.0,16.0,小港分局,,
一般建築,XG1622,宏亮里,高雄市小港區宏亮里宏平路339號,"22.569642,120.360089",1.0,16.0,小港分局,,
一般建築,XG1621,宏亮里,高雄市小港區宏亮里宏平路341號,"22.569642,120.360049",1.0,16.0,小港分局,,
