類別,電腦編號,村里別,地址,緯經度,可容納人數,轄管分局,備註
一般住宅,FOA00150,福德里,新竹市東區福德里中華路2段650號,"24.798701,120.9660398",32.0,第三分局,
一般住宅,FOA00151,福德里,新竹市東區福德里福德街16號,"24.7988672,120.9647761",33.0,第三分局,
一般住宅,FOA00152,福德里,新竹市東區福德里德成街3號,"24.8009378,120.9646957",28.0,第三分局,
一般住宅,FOA00153,福德里,新竹市東區福德里德成街17號,"24.8006052,120.9645232",17.0,第三分局,
一般住宅,FOA00154,福德里,新竹市東區福德里中華路2段716號,"24.7976681,120.9643836",24.0,第三分局,
一般住宅,FOA00155,福德里,新竹市東區福德里中華路2段710號,"24.7977401,120.9644961",28.0,第三分局,
一般住宅,FOA00156,福德里,新竹市東區福德里中華路2段708巷16號,"24.7982301,120.9644264",25.0,第三分局,
一般住宅,FOA00157,寺前里,新竹市東區寺前里南大路370號,"24.798108,120.970054",26.0,第三分局,
一般住宅,FOA00158,寺前里,新竹市東區寺前里南大路366號,"24.7981701,120.970119",26.0,第三分局,
一般住宅,FOA00160,寺前里,新竹市東區寺前里西大路262號,"24.7987685,120.9681449",374.0,第三分局,
一般住宅,FOA00161,寺前里,新竹市東區寺前里南大路382號,"24.7980341,120.969825",28.0,第三分局,
一般住宅,FOA00162,寺前里,新竹市東區寺前里南大路394號,"24.797862,120.969624",53.0,第三分局,
一般住宅,FOA00163,寺前里,新竹市東區寺前里南大路396號,"24.797821,120.969586",40.0,第三分局,
一般住宅,FOA00164,寺前里,新竹市東區寺前里南大路398號,"24.797778,120.969556",30.0,第三分局,
一般住宅,FOA00165,寺前里,新竹市東區寺前里南大路374巷1號,"24.798159,120.969917",25.0,第三分局,
公有建築物,FOA00166,寺前里,新竹市東區寺前里竹蓮街101巷10號,"24.7984416,120.9696152",20.0,第三分局,
一般住宅,FOA00167,寺前里,新竹市東區寺前里南大路372號,"24.797999,120.9701022",24.0,第三分局,
一般住宅,FOA00168,寺前里,新竹市東區寺前里西大路182號,"24.7975591,120.9692051",14.0,第三分局,
一般住宅,FOA00169,寺前里,新竹市東區寺前里1鄰竹蓮街183號,"24.7990374,120.9685375",26.0,第三分局,
一般住宅,FOA00170,寺前里,新竹市東區寺前里南大路408巷29-35號,"24.7983115,120.9690405",166.0,第三分局,
一般住宅,FOA00171,寺前里,新竹市東區寺前里西大路192號,"24.797691,120.9690484",45.0,第三分局,
一般住宅,FOA00172,寺前里,新竹市東區寺前里竹蓮街101巷31號,"24.798073,120.9692463",20.0,第三分局,
一般住宅,FOA00173,寺前里,新竹市東區寺前里西大路156號地下第1層,"24.7970875,120.9698459",28.0,第三分局,
一般住宅,FOA00174,南大里,新竹市東區南大里西大路154號,"24.7970639,120.9698814",28.0,第三分局,
一般住宅,FOA00175,南大里,新竹市東區南大里南大路349號,"24.7973143,120.9694762",160.0,第三分局,
一般住宅,FOA00176,南大里,新竹市東區南大里南大路337號,"24.7975607,120.9697664",29.0,第三分局,
一般住宅,FOA00177,南大里,新竹市東區南大里南大路343號,"24.797477,120.9696406",32.0,第三分局,
一般住宅,FOA00178,南大里,新竹市東區南大里南大路345號,"24.7974355,120.9695032",190.0,第三分局,
一般住宅,FOA00179,南大里,新竹市東區南大里西大路168號,"24.7972471,120.9696365",90.0,第三分局,
一般住宅,FOA00180,南大里,新竹市東區南大里西大路168號,"24.7972471,120.9696365",25.0,第三分局,
一般住宅,FOA00181,南大里,新竹市東區南大里西大路164號,"24.7971964,120.9697094",28.0,第三分局,
一般住宅,FOA00182,南大里,新竹市東區南大里西大路158號,"24.7970409,120.9697361",28.0,第三分局,
一般住宅,FOA00183,南大里,新竹市東區南大里西大路118號,"24.796542,120.9703944",45.0,第三分局,
一般住宅,FOA00184,南大里,新竹市東區南大里南大路313號,"24.7978505,120.9703964",26.0,第三分局,
一般住宅,FOA00185,南大里,新竹市東區南大里南大路327號,"24.7976341,120.970115",49.0,第三分局,
一般住宅,FOA00186,南大里,新竹市東區南大里南大路325號,"24.7976591,120.970158",17.0,第三分局,
一般住宅,FOA00187,南大里,新竹市東區南大里西大路87號,"24.7960071,120.970825",112.0,第三分局,
一般住宅,FOA00188,南大里,新竹市東區南大里西大路89號,"24.7960321,120.97079",84.0,第三分局,
一般住宅,FOA00189,南大里,新竹市東區南大里西大路95號,"24.7961069,120.9706672",90.0,第三分局,
一般住宅,FOA00190,南大里,新竹市東區南大里西大路102巷1號,"24.7964352,120.9707757",192.0,第三分局,
一般住宅,FOA00191,南大里,新竹市東區南大里西大路102巷4號,"24.7963957,120.9710036",202.0,第三分局,
一般住宅,FOA00192,南門里,新竹市東區南門里林森路60號,"24.8013984,120.9677267",226.0,第三分局,
一般住宅,FOA00193,南門里,新竹市東區南門里林森路64號,"24.80131,120.9676415",124.0,第三分局,
一般住宅,FOA00194,南門里,新竹市東區南門里林森路59號,"24.8013346,120.9681102",28.0,第三分局,
一般住宅,FOA00195,南門里,新竹市東區南門里林森路78號,"24.8010296,120.9671939",44.0,第三分局,
一般住宅,FOA00196,南門里,新竹市東區南門里林森路81號,"24.8008758,120.9673892",170.0,第三分局,
公有建築物,FOA00197,南門里,新竹市東區南門里勝利路85號,"24.8002287,120.9675408",42.0,第三分局,
一般住宅,FOA00198,南門里,新竹市東區南門里勝利路17號,"24.8011504,120.9693281",26.0,第三分局,
一般住宅,FOA00199,南門里,新竹市東區南門里勝利路3號,"24.8012031,120.968716",20.0,第三分局,
一般住宅,FOA00200,南門里,新竹市東區南門里勝利路5號,"24.8014187,120.9695275",26.0,第三分局,
一般住宅,FOA00201,南門里,新竹市東區南門里勝利路41號,"24.8008818,120.9689731",24.0,第三分局,
一般住宅,FOA00202,南門里,新竹市東區南門里勝利路37號,"24.8008911,120.969063",22.0,第三分局,
一般住宅,FOA00203,南門里,新竹市東區南門里勝利路9號,"24.801279,120.969609",58.0,第三分局,
一般住宅,FOA00204,南門里,新竹市東區南門里勝利路126號,"24.8007192,120.9683524",1497.0,第三分局,
一般住宅,FOA00205,南門里,新竹市東區南門里勝利路65號,"24.800466,120.9682232",26.0,第三分局,
一般住宅,FOA00206,南門里,新竹市東區南門里勝利路49號,"24.8006856,120.9686227",52.0,第三分局,
一般住宅,FOA00208,南門里,新竹市東區南門里南門街47號,"24.8012453,120.96707",37.0,第三分局,
一般住宅,FOA00209,南門里,新竹市東區南門里南門街30號,"24.8007507,120.9676438",32.0,第三分局,
一般住宅,FOA00210,南門里,新竹市東區南門里南門街49-51號,"24.8013451,120.9670676",37.0,第三分局,
一般住宅,FOA00211,南門里,新竹市東區南門里南門街14號,"24.80042,120.967911",20.0,第三分局,
一般住宅,FOA00212,南門里,新竹市東區南門里南門街43-45號,"24.801218,120.9672001",26.0,第三分局,
一般住宅,FOA00213,南門里,新竹市東區南門里南門街32號,"24.8007555,120.9676332",56.0,第三分局,
一般住宅,FOA00214,南門里,新竹市東區南門里南門街18號,"24.8018591,120.9671085",28.0,第三分局,
一般住宅,FOA00215,南門里,新竹市東區南門里南門街16號,"24.8004551,120.9678469",22.0,第三分局,
一般住宅,FOA00216,南門里,"新竹市東區南門里南城街10-1 3號","24.8002392,120.9665113",36.0,第三分局,
一般住宅,FOA00217,南門里,新竹市東區南門里武昌街23號,"24.8011295,120.9682716",46.0,第三分局,
一般住宅,FOA00218,南門里,新竹市東區南門里西大路338號,"24.8013036,120.9662754",33.0,第三分局,
一般住宅,FOA00219,南門里,新竹市東區南門里西大路336號,"24.8012652,120.9663393",18.0,第三分局,
一般住宅,FOA00220,南門里,新竹市東區南門里西大路320號,"24.8008567,120.9666107",60.0,第三分局,
一般住宅,FOA00222,南門里,新竹市東區南門里武昌街29號,"24.8012408,120.9682437",17.0,第三分局,
一般住宅,FOA00223,南門里,新竹市東區南門里武昌街25號,"24.8011708,120.9682638",28.0,第三分局,
一般住宅,FOA00224,南門里,新竹市東區南門里中華路2段538號,"24.8003909,120.9687293",13.0,第三分局,
一般住宅,FOA00225,南門里,新竹市東區南門里中華路2段554號,"24.8001631,120.9683805",25.0,第三分局,
供公眾使用建築物,FOA00226,南門里,新竹市東區南門里中華路2段560號,"24.8000593,120.9682212",248.0,第三分局,
一般住宅,FOA00227,南門里,新竹市東區南門里中華路2段593號,"24.7993039,120.9674914",1585.0,第三分局,
一般住宅,FOA00228,南門里,新竹市東區南門里中華路2段536號,"24.8004067,120.9687379",65.0,第三分局,
一般住宅,FOA00229,南門里,新竹市東區南門里中華路2段518號,"24.8006223,120.9690998",34.0,第三分局,
供公眾使用建築物,FOA00230,南門里,新竹市東區南門里9鄰中華路二段502號,"24.8008638,120.9694173",250.0,第三分局,
供公眾使用建築物,FOA00231,南門里,新竹市東區南門里勝利路13-15號,"24.8012699,120.9694662",384.0,第三分局,
一般住宅,FOA00232,南門里,新竹市東區南門里勝利路39號,"24.8008703,120.9690306",33.0,第三分局,
一般住宅,FOA00234,振興里,新竹市東區振興里南大路550巷37號,"24.795622,120.9634831",18.0,第三分局,
一般住宅,FOA00235,振興里,新竹市東區振興里振興路58號地下第1層,"24.79502,120.9623973",4840.0,第三分局,
一般住宅,FOA00236,振興里,新竹市東區振興里振興路90號地下第1層,"24.7950751,120.9615152",370.0,第三分局,
一般住宅,FOA00237,振興里,新竹市東區振興里振興路104號地下第1層,"24.7951231,120.9611963",945.0,第三分局,
一般住宅,FOA00238,振興里,新竹市東區振興里南大路632號,"24.793402,120.962754",88.0,第三分局,
一般住宅,FOA00239,振興里,新竹市東區振興里南大路612號,"24.793758,120.963174",66.0,第三分局,
一般住宅,FOA00240,振興里,新竹市東區振興里振興路86號,"24.7950632,120.9616136",1316.0,第三分局,
一般住宅,FOA00241,竹蓮里,新竹市東區竹蓮里南大路256號,"24.7995072,120.9728176",565.0,第三分局,
一般住宅,FOA00243,竹蓮里,新竹市東區竹蓮里南大路278號,"24.7993037,120.9721996",49.0,第三分局,
一般住宅,FOA00244,竹蓮里,新竹市東區竹蓮里南大路296號,"24.7991191,120.9719311",40.0,第三分局,
一般住宅,FOA00245,竹蓮里,新竹市東區竹蓮里南大路276號,"24.7993052,120.9722596",49.0,第三分局,
一般住宅,FOA00246,竹蓮里,新竹市東區竹蓮里東南街2巷5號,"24.7987321,120.97381",18.0,第三分局,
一般住宅,FOA00247,竹蓮里,新竹市東區竹蓮里南大路270號,"24.799489,120.9722579",580.0,第三分局,
一般住宅,FOA00248,竹蓮里,新竹市東區竹蓮里東南街28巷23-24號,"24.800108,120.971687",66.0,第三分局,
一般住宅,FOA00249,竹蓮里,新竹市東區竹蓮里竹蓮街110號,"24.79901,120.9697213",17.0,第三分局,
一般住宅,FOA00250,下竹里,新竹市東區下竹里南大路149號,"24.8002109,120.9740605",289.0,第三分局,
一般住宅,FOA00251,下竹里,新竹市東區下竹里南大路173號,"24.7998099,120.973583",38.0,第三分局,
一般住宅,FOA00252,下竹里,新竹市東區下竹里南大路240號,"24.7997982,120.9730275",57.0,第三分局,
一般住宅,FOA00253,下竹里,新竹市東區下竹里東南街53巷5弄19號,"24.7998767,120.9742302",53.0,第三分局,
一般住宅,FOA00254,下竹里,新竹市東區下竹里南大路177號,"24.7998226,120.9734262",32.0,第三分局,
一般住宅,FOA00255,下竹里,新竹市東區下竹里南大路157號,"24.800048,120.9738761",26.0,第三分局,
