電腦編號,里別,地址,緯度,經度,避難樓層,可容納人數,轄管分局,備註
EQA00034,楊梅里,桃園市楊梅區楊梅里新成路48號,"24.912155 ","121.146739 ",B01,176.0,楊梅分局,C
EQA00036,大同里,桃園市楊梅區大同里楊新北路321巷30號,"24.917019 ","121.155562 ",B01,6355.0,楊梅分局,B
EQA00037,裕新里,桃園市楊梅區裕新里裕成南路159號,"24.901535 ","121.161069 ",B01,841.0,楊梅分局,B
EQA00038,裕新里,桃園市楊梅區裕新里裕成南路313號,"24.898905 ","121.157943 ",B02,1947.0,楊梅分局,C
EQA00040,大同里,桃園市楊梅區大同里自立街170號,"24.910270 ","121.153046 ",B01,152.0,楊梅分局,C
EQA00041,中山里,桃園市楊梅區中山里中山北路一段159號,"24.907237 ","121.153689 ",B01,566.0,楊梅分局,B
EQA00043,中山里,桃園市楊梅區中山里新農街138號,"24.909577 ","121.150392 ",B01,188.0,楊梅分局,C
EQA00044,中山里,桃園市楊梅區中山里新農街280號,"24.909928 ","121.154003 ",B01,884.0,楊梅分局,C
EQA00045,中山里,桃園市楊梅區中山里行善路32巷12號,"24.905743 ","121.151288 ",B01,1437.0,楊梅分局,B
EQA00047,中山里,桃園市楊梅區中山里中山北路一段12巷4弄12號,"24.908754 ","121.149753 ",B01,647.0,楊梅分局,C
EQA00048,大同里,桃園市楊梅區大同里自立街65巷12號,"24.911745 ","121.150971 ",B01,117.0,楊梅分局,C
EQA00051,埔心里,桃園市楊梅區埔心里新興街56巷12號,"24.918844 ","121.184923 ",B01,42.0,楊梅分局,C
EQA00052,埔心里,桃園市楊梅區埔心里日新街2-1號,"24.919353 ","121.184761 ",B01,30.0,楊梅分局,C
EQA00053,埔心里,桃園市楊梅區埔心里新興街56巷20號,"24.918984 ","121.184860 ",B01,12.0,楊梅分局,C
EQA00057,埔心里,桃園市楊梅區埔心里中興路133號,"24.916435 ","121.186040 ",B01,464.0,楊梅分局,B
EQA00058,埔心里,桃園市楊梅區埔心里中興路40號,"24.918313 ","121.184128 ",B01,13.0,楊梅分局,C
EQA00059,埔心里,桃園市楊梅區埔心里中興路38號,"24.918414 ","121.184076 ",B01,38.0,楊梅分局,C
EQA00062,埔心里,桃園市楊梅區埔心里永美路187號,"24.919847 ","121.184681 ",B01,20.0,楊梅分局,C
EQA00063,埔心里,桃園市楊梅區埔心里永美路197號,"24.919844 ","121.184684 ",B01,21.0,楊梅分局,C
EQA00066,埔心里,桃園市楊梅區埔心里永美路262號,"24.918486 ","121.182839 ",B01,21.0,楊梅分局,C
EQA00067,埔心里,桃園市楊梅區埔心里永美路221號,"24.919277 ","121.184123 ",B01,26.0,楊梅分局,C
EQA00069,光華里,桃園市楊梅區光華里中興路80巷6號,"24.917431 ","121.184644 ",B01,177.0,楊梅分局,C
EQA00070,光華里,桃園市楊梅區光華里中興路80巷6號之7,"24.917420 ","121.184648 ",B01,347.0,楊梅分局,C
EQA00072,光華里,桃園市楊梅區光華里新興街127號,"24.916710 ","121.183093 ",B01,23.0,楊梅分局,C
EQA00074,光華里,桃園市楊梅區光華里文化街295巷4弄31號,"24.909366 ","121.182892 ",B01,12.0,楊梅分局,C
EQA00076,光華里,桃園市楊梅區光華里文化街283號,"24.910399 ","121.182849 ",B01,198.0,楊梅分局,C
EQA00077,光華里,桃園市楊梅區光華里文化街123巷4弄16號,"24.913046 ","121.184397 ",B01,38.0,楊梅分局,C
EQA00079,仁美里,桃園市楊梅區仁美里3鄰永平路6號,"24.922480 ","121.185605 ",B01,124.0,楊梅分局,B
EQA00083,仁美里,桃園市楊梅區仁美里10鄰福德街9巷26號,"24.920487 ","121.185882 ",B01,125.0,楊梅分局,C
EQA00084,仁美里,桃園市楊梅區仁美里10鄰福德街9巷28號之30,"24.920510 ","121.185937 ",B01,97.0,楊梅分局,C
EQA00086,永寧里,桃園市楊梅區永寧里環南路75巷1弄17號,"24.901963 ","121.148895 ",B01,1494.0,楊梅分局,C
EQA00087,瑞坪里,桃園市楊梅區梅獅路二段349巷3號,"24.904099 ","121.182451 ",B01,313.0,楊梅分局,B
EQA00089,瑞塘里,桃園市楊梅區瑞塘里文化街656號,24.90572155,121.1777252,B01,788.0,楊梅分局,B
EQA00090,瑞坪里,桃園市楊梅區瑞坪里梅獅路二段688號,"24.895343 ","121.183273 ",B01,133.0,楊梅分局,B
EQA00091,瑞坪里,桃園市楊梅區瑞坪里梅獅路二段460號,"24.901890 ","121.180934 ",B01,377.0,楊梅分局,B
EQA00093,瑞坪里,桃園市楊梅區瑞坪里梅獅路二段385號,"24.902610 ","121.181030 ",B01,275.0,楊梅分局,B
EQA00096,瑞坪里,桃園市楊梅區瑞坪里梅獅路二段577號,"24.899114 ","121.183978 ",B01,277.0,楊梅分局,B
EQA00097,三民里,桃園市楊梅區三民里瑞坪路18巷17號,"24.904732 ","121.176214 ",B01,1002.0,楊梅分局,C
EQA00098,瑞塘里,桃園市楊梅區瑞塘里文化街568巷1號,"24.906575 ","121.178099 ",B01,596.0,楊梅分局,C
EQA00103,瑞塘里,桃園市楊梅區瑞塘里中山北路二段355號,"24.912351 ","121.176007 ",B01,221.0,楊梅分局,C
EQA00105,埔心里,桃園市楊梅區埔心里中興路137號,"24.915907 ","121.187364 ",B01,1360.0,楊梅分局,B
EQA00107,瑞塘里,桃園市楊梅區瑞塘里永美路445巷28號,"24.910443 ","121.179952 ",B01,540.0,楊梅分局,C
EQA00109,仁美里,桃園市楊梅區仁美里29鄰福德街87巷50號,"24.918541 ","121.187801 ",B01,449.0,楊梅分局,C
EQA00112,楊明里,桃園市楊梅區楊明里中山北路一段390巷50號,"24.911474 ","121.159065 ",B01,1097.0,楊梅分局,B
EQA00116,楊梅里,桃園市楊梅區楊梅里金華街100號,"24.912087 ","121.142923 ",B01,350.0,楊梅分局,B
EQA00117,金溪里,桃園市楊梅區金溪里三民路二段200號,"24.882179 ","121.174812 ",B01,875.0,楊梅分局,B
EQA00118,金溪里,桃園市楊梅區金溪里三民路二段127號,"24.884653 ","121.171360 ",B01,95.0,楊梅分局,C
EQA00119,三民里,桃園市楊梅區三民里7鄰三民路43巷106號,"24.905851 ","121.173977 ",B01,193.0,楊梅分局,C
EQA00120,梅溪里,桃園市楊梅區梅溪里中山北路二段72號,"24.908681 ","121.169015 ",B01,111.0,楊梅分局,C
EQA00121,三民里,桃園市楊梅區三民里中山北路二段23巷11號,"24.907785 ","121.168211 ",B01,918.0,楊梅分局,C
EQA00122,三民里,桃園市楊梅區三民里瑞坪路18巷65號,"24.905362 ","121.175556 ",B01,986.0,楊梅分局,C
EQA00123,金溪里,桃園市楊梅區金溪里三民路二段94巷1號,"24.885820 ","121.170737 ",B01,1132.0,楊梅分局,C
EQA00125,金溪里,桃園市楊梅區金溪里三民路二段119巷2號,"24.886028 ","121.171021 ",B01,2033.0,楊梅分局,C
EQA00127,梅溪里,桃園市楊梅區梅溪里中山北路二段192號,"24.909501 ","121.171515 ",B01,477.0,楊梅分局,C
EQA00128,三民里,桃園市楊梅區三民里三民路7號,"24.908114 ","121.170300 ",B01,86.0,楊梅分局,C
EQA00130,永平里,桃園市楊梅區永平里3鄰永美路470號,"24.914130 ","121.175630 ",B01,622.0,楊梅分局,B
EQA00131,青山里,桃園市楊梅區青山里青山三街79號,"24.919654 ","121.170811 ",B03,3069.0,楊梅分局,C
EQA00132,瑞塘里,桃園市楊梅區瑞塘里福羚路207號,"24.908121 ","121.182191 ",B01,141.0,楊梅分局,C
EQA00133,永平里,桃園市楊梅區永平里11鄰永平路555號,"24.918439 ","121.172492 ",B01,41.0,楊梅分局,B
EQA00134,永平里,桃園市楊梅區永平里3鄰梅獅路一段193號,"24.917670 ","121.179359 ",B01,161.0,楊梅分局,B
EQA00135,永平里,桃園市楊梅區永平里11鄰永平路541號,"24.919005 ","121.173424 ",B01,20.0,楊梅分局,B
EQA00136,永平里,桃園市楊梅區永平里10鄰新農街二段209巷62弄29號,"24.914020 ","121.172060 ",B01,100.0,楊梅分局,B
EQA00137,永平里,桃園市楊梅區永平里18鄰漢昌街25號,"24.916646 ","121.182648 ",B01,1177.0,楊梅分局,C
EQA00139,永平里,桃園市楊梅區永平里11鄰永平路523號,"24.919078 ","121.174656 ",B01,536.0,楊梅分局,B
EQA00140,永平里,桃園市楊梅區永平里11鄰永平路480號,"24.919592 ","121.175007 ",B01,2011.0,楊梅分局,B
EQA00141,富豐里,桃園市楊梅區富豐里9鄰新明街525號,"24.929968 ","121.071641 ",B01,179.0,楊梅分局,B
EQA00142,富豐里,桃園市楊梅區富豐里16鄰富裕街659號,"24.925790 ","121.066665 ",B01,1484.0,楊梅分局,B
EQA00143,富岡里,桃園市楊梅區富岡里中華街34號,"24.935404 ","121.082543 ",B01,26.0,楊梅分局,C
EQA00144,富岡里,桃園市楊梅區富岡里中華街36號,"24.935407 ","121.082501 ",B01,27.0,楊梅分局,C
EQA00145,富岡里,桃園市楊梅區富岡里成功路37號,"24.934383 ","121.083090 ",B01,88.0,楊梅分局,A
EQA00146,富岡里,桃園市楊梅區富岡里中華街38號,"24.935402 ","121.082434 ",B01,26.0,楊梅分局,C
EQA00147,富岡里,桃園市楊梅區富岡里新明街78號,"24.935902 ","121.081296 ",B01,603.0,楊梅分局,C
EQA00148,豐野里,桃園市楊梅區豐野里富聯路155號,"24.939013 ","121.075900 ",B01,325.0,楊梅分局,B
EQA00149,豐野里,桃園市楊梅區豐野里中正路549巷8號,"24.943534 ","121.072128 ",B01,364.0,楊梅分局,C
EQA00152,富岡里,桃園市楊梅區富岡里富聯路156號,"24.938621 ","121.075565 ",B01,26.0,楊梅分局,B
EQA00156,頭湖里,桃園市楊梅區頭湖里中山南路800巷98弄12號,"24.901100 ","121.108604 ",B01,263.0,楊梅分局,B
EQA00159,永寧里,桃園市楊梅區永寧里校前路409號,"24.897030 ","121.149674 ",B01,1713.0,楊梅分局,B
EQA00161,三湖里,桃園市楊梅區三湖里楊湖路二段645號,"24.913038 ","121.105859 ",B01,94.0,楊梅分局,B
EQA00163,上湖里,桃園市楊梅區上湖里1鄰中山南路800巷202號,"24.898698 ","121.104086 ",B01,171.0,楊梅分局,B
EQA00164,上湖里,桃園市楊梅區上湖里鄰泰圳路1440號,"24.896636 ","121.088992 ",B01,303.0,楊梅分局,B
EQA00165,上湖里,桃園市楊梅區上湖里中山南路800巷108號,"24.897281 ","121.106176 ",B01,80.0,楊梅分局,B
EQA00166,上湖里,桃園市楊梅區上湖里１鄰中山南路800巷188號,"24.896899 ","121.103487 ",B01,383.0,楊梅分局,B
EQA00167,上湖里,桃園市楊梅區上湖里泰圳路1442號,"24.895175 ","121.090402 ",B01,27.0,楊梅分局,B
EQA00169,瑞原里,"桃園市楊梅區瑞原里民富路二段199巷18號 ","24.924333 ","121.110339 ",B01,496.0,楊梅分局,B
EQA00175,瑞原里,桃園市楊梅區瑞原里民豐路641號,"24.928725 ","121.109555 ",B01,401.0,楊梅分局,B
EQA00176,新屋里,桃園市新屋區新屋里中山路296號,"24.972893 ","121.106185 ",B01,386.0,楊梅分局,B
EQA00177,石磊里,桃園市新屋區石磊里中華路996號,"24.988830 ","121.103412 ",B01,714.0,楊梅分局,B
EQA00178,清華里,桃園市新屋區清華里中華路830號,"24.983887 ","121.108026 ",B01,1566.0,楊梅分局,C
EQA00179,新生里,桃園市新屋區新生里中正路196號,"24.974063 ","121.101993 ",B01,511.0,楊梅分局,B
EQA00181,新榮里,桃園市楊梅區新榮里新榮路339號,"24.955460 ","121.157102 ",B01,1808.0,楊梅分局,B
EQA00182,石磊里,桃園市新屋區石磊里中華路1245號,"24.993313 ","121.100648 ",B01,81.0,楊梅分局,B
EQA00183,高上里,桃園市楊梅區高上里高青路10巷7號,"24.930267 ","121.162530 ",B01,40.0,楊梅分局,B
EQA00184,青山里,桃園市楊梅區青山里獅二路8號,"24.924868 ","121.172874 ",B01,231.0,楊梅分局,B
EQA00185,高上里,桃園市楊梅區高上里青年路二段269號,"24.931762 ","121.164534 ",B01,3897.0,楊梅分局,B
EQA00186,高上里,桃園市楊梅區高上里高青路10巷21號,"24.931661 ","121.162609 ",B01,810.0,楊梅分局,B
EQA00187,高上里,桃園市楊梅區高上里高青路10巷14號,"24.931157 ","121.162762 ",B01,42.0,楊梅分局,B
EQA00188,高上里,桃園市楊梅區高上里1鄰高獅路822巷10號,"24.922256 ","121.167074 ",B01,72.0,楊梅分局,B
EQA00189,高上里,桃園市楊梅區高上里高獅路822巷12號,"24.921967 ","121.167028 ",B01,35.0,楊梅分局,B
EQA00190,高上里,桃園市楊梅區高上里高獅路820-1號,"24.923178 ","121.166972 ",B01,51.0,楊梅分局,B
EQA00192,高上里,桃園市楊梅區高上里高青路11號,"24.928733 ","121.162492 ",B01,34.0,楊梅分局,B
EQA00195,高上里,桃園市楊梅區高山里3鄰高獅路5號,"24.921234 ","121.148708 ",B01,264.0,楊梅分局,B
EQA00196,高上里,桃園市楊梅區高獅路813巷20號,"24.926920 ","121.163689 ",B01,218.0,楊梅分局,B
EQA00198,埔頂里,桃園市新屋區埔頂里埔頂路6號,"24.966575 ","121.098025 ",B01,4113.0,楊梅分局,B
EQA00199,埔頂里,桃園市新屋區埔頂里9鄰中華南路二段75號,"24.957577 ","121.116089 ",B01,145.0,楊梅分局,B
EQA00201,埔頂里,桃園市新屋區埔頂里12鄰中興路480號,"24.963200 ","121.094669 ",B01,1777.0,楊梅分局,B
EQA00202,清華里,桃園市新屋區清華里中華路810-1號,"24.984583 ","121.107580 ",B01,290.0,楊梅分局,B
EQA00213,頭洲里,桃園市新屋區頭洲里中山東路二段309號,"24.968845 ","121.138641 ",B01,578.0,楊梅分局,B
EQA00215,頭洲里,桃園市新屋區頭洲里高上路二段156巷280號,"24.949757 ","121.146498 ",B01,80.0,楊梅分局,B
EQA00216,永安里,桃園市新屋區永安里永福路786號,"24.986601 ","121.029671 ",B01,171.0,楊梅分局,B
EQA00217,永安里,桃園市新屋區永安里永福路380號,"24.980832 ","121.038156 ",B01,140.0,楊梅分局,B
EQA00218,頭洲里,桃園市新屋區頭洲里中山東路二段535巷10號2樓,"24.965047 ","121.142423 ",B01,737.0,楊梅分局,C
EQA00220,楊明里,桃園市楊梅區楊明里金山街363號六樓,"24.912170 ","121.161651 ",B01,1674.0,楊梅分局,C
EQA00221,永安里,桃園市新屋區永安里永三街20號,"24.983033 ","121.035363 ",B01,72.0,楊梅分局,B
EQA00222,永安里,桃園市新屋區永安里永福路756號,"24.986016 ","121.030618 ",B01,222.0,楊梅分局,B
EQA00223,永安里,桃園市新屋區永安里永福路625號,"24.984686 ","121.031030 ",B01,96.0,楊梅分局,B
EQA00224,永安里,桃園市新屋區永安里永福路281號,"24.980695 ","121.040727 ",B01,556.0,楊梅分局,B
EQA00225,永安里,桃園市新屋區永安里永福路550號,"24.983662 ","121.034768 ",B01,172.0,楊梅分局,B
EQA00226,金龍里,桃園市楊梅區金龍里金龍三路19號八樓,"24.912291 ","121.186526 ",B01,3841.0,楊梅分局,C
EQA00227,永安里,桃園市新屋區永安里永福路260號,"24.981051 ","121.039707 ",B01,4595.0,楊梅分局,B
EQA00229,永安里,桃園市新屋區永安里永福路600號,"24.983949 ","121.034123 ",B01,36.0,楊梅分局,B
EQA00230,永安里,桃園市新屋區永安里永福路500號,"24.982831 ","121.035837 ",B01,77.0,楊梅分局,B
EQA00231,永安里,桃園市新屋區永安里永福路388號,"24.981366 ","121.037212 ",B01,140.0,楊梅分局,B
EQA00232,永安里,桃園市新屋區永安里永一路135號,"24.983216 ","121.036667 ",B01,75.0,楊梅分局,B
EQA00233,笨港里,桃園市新屋區笨港里文化路二段1631號,"24.981568 ","121.026102 ",B01,170.0,楊梅分局,B
EQA00234,赤欄里,桃園市新屋區赤欄里中山西路二段207巷42號,"24.978101 ","121.072822 ",B01,42.0,楊梅分局,B
EQA00235,赤欄里,桃園市新屋區東興路一段576號,"24.984836 ","121.077925 ",B01,36.0,楊梅分局,B
EQA00236,永寧里,桃園市楊梅永寧里校前路324巷105號,"24.898301 ","121.148726 ",B01,253.0,楊梅分局,B
EQA00238,後庄里,桃園市新屋區後庄里東福路二段139號,"24.952520 ","121.028675 ",B01,218.0,楊梅分局,B
EQA00239,後庄里,桃園市新屋區後庄里東福路二段139號,"24.952269 ","121.028665 ",B01,13.0,楊梅分局,B
EQA00241,裕新里,桃園市楊梅區裕新里裕成南路354號,"24.898936 ","121.156904 ",B01,6443.0,楊梅分局,C
EQA00242,永平里,桃園市楊梅區永平里11鄰永平路607巷7號,"24.917433 ","121.172564 ",B01,264.0,楊梅分局,B
EQA00243,楊明里,桃園市楊梅區楊明里新農街354號,"24.911214 ","121.156420 ",B01,2637.0,楊梅分局,C
EQA00244,瑞塘里,桃園市楊梅區瑞塘里瑞梅街186號,"24.909102 ","121.175026 ",B01,186.0,楊梅分局,C
EQA00246,高山里,桃園市楊梅區高山里高獅路156號,"24.922924 ","121.152416 ",B01,3043.0,楊梅分局,B
EQA00247,高上里,桃園市楊梅區高上里高獅路822巷26號,"24.922049 ","121.167498 ",B01,282.0,楊梅分局,B
EQA00248,高山里,桃園市楊梅區高山里3鄰高獅路5號,"24.921892 ","121.148555 ",B01,2359.0,楊梅分局,B
EQA00249,高上里,桃園市楊梅區高上里高青路32巷2號,"24.928712 ","121.161011 ",B01,93.0,楊梅分局,B
EQA00250,員本里,桃園市楊梅區員本里民隆路7號,"24.931011 ","121.100932 ",B01,73.0,楊梅分局,B
EQA00251,豐野里,桃園市楊梅區豐野里19鄰中正路147號,"24.938340 ","121.080659 ",B01,548.0,楊梅分局,B
EQA00252,上湖里,桃園市楊梅區上湖里鄰泰圳路1440號,"24.897218 ","121.089388 ",B01,75.0,楊梅分局,B
EQA00253,瑞原里,桃園市楊梅區瑞原里民富路二段40號,"24.923970 ","121.116130 ",B01,363.0,楊梅分局,B
EQA00254,瑞原里,桃園市楊梅區瑞原里民富路一段796巷25號,"24.926390 ","121.118697 ",B01,511.0,楊梅分局,B
EQA00255,頭湖里,桃園市楊梅區頭湖里中山南路800巷66號,"24.899503 ","121.112367 ",B01,778.0,楊梅分局,B
EQA00256,三湖里,桃園市楊梅區三湖里楊湖路二段859號,"24.913696 ","121.101157 ",B01,42.0,楊梅分局,B
EQA00257,九斗里,桃園市新屋區九斗里九洲路1號,"24.962263 ","121.140592 ",B01,191.0,楊梅分局,B
EQA00258,四維里,桃園市楊梅區四維里益新三街1號,"24.914160 ","121.183037 ",B01,2022.0,楊梅分局,B
EQA00261,員本里,桃園市楊梅區員本里民隆路5號,"24.930749 ","121.101160 ",B01,67.0,楊梅分局,B
EQA00262,員本里,桃園市楊梅區員本里民隆路19號,"24.932441 ","121.100734 ",B01B02,197.0,楊梅分局,B
EQA00263,楊梅里,桃園市楊梅區楊梅里新梅八街65號,"24.915828 ","121.146545 ",B01,1737.0,楊梅分局,C
EQA00264,大平里,桃園市楊梅區大平里楊湖路一段279號,"24.911247 ","121.135418 ",B01,3143.0,楊梅分局,B
EQA00265,光華里,桃園市楊梅區金龍三路95號,"24.912045 ","121.185010 ",B01,645.0,楊梅分局,B
EQA00269,高上里,桃園市楊梅區高獅路863巷13號,"24.926718 ","121.165561 ",B01,61.0,楊梅分局,B
EQA00270,高上里,桃園市楊梅區高青路40號,"24.927988 ","121.160713 ",B01,95.0,楊梅分局,B
EQA00271,高上里,桃園市楊梅區高青路26號,"24.928932 ","121.162096 ",B01,366.0,楊梅分局,B
EQA00273,富豐里,桃園市楊梅區富豐里16鄰富裕街675巷11號,"24.926069 ","121.066375 ",B01,454.0,楊梅分局,B
EQA00274,東明里,桃園市新屋區東明里2鄰東勢12-5號,"24.965138 ","121.091166 ",B01,1618.0,楊梅分局,B
EQA00275,東流里,楊梅區甡甡路902巷111號B1,"24.890839 ","121.115560 ",B01,5308.0,楊梅分局,C
EQA00276,高上里,桃園市楊梅區高上里高青路42號之1,"24.927550 ","121.160505 ",B01,1617.0,楊梅分局,B
EQA00277,高上里,桃園市楊梅區高上里高青路32巷5號之1,"24.928767 ","121.160440 ",B01,1094.0,楊梅分局,B
EQA00278,高上里,桃園市楊梅區高上里高獅路813巷22弄5號,"24.927835 ","121.163620 ",B01,58.0,楊梅分局,B
EQA00279,四維里,桃園市楊梅區四維里文化街80號,"24.915105 ","121.184429 ",B01,112.0,楊梅分局,C
EQA00280,員本里,桃園市楊梅區員本里民隆路21號,"24.932877 ","121.101133 ",B01,168.0,楊梅分局,B
EQA00281,新屋里,桃園市新屋區新屋里中興路31號,"24.972301 ","121.103438 ",B01,386.0,楊梅分局,B
EQA00283,富豐里,桃園市楊梅區富豐里21鄰富豐南路18號,"24.933378 ","121.085726 ",B01,293.0,楊梅分局,B
EQA00284,富豐里,桃園市楊梅區富豐里21鄰富豐南路18號,"24.932890 ","121.085091 ",B01,2298.0,楊梅分局,B
EQA00285,富豐里,桃園市楊梅區富豐里民安路2巷136號,"24.914971 ","121.103058 ",B01,90.0,楊梅分局,B
EQA00286,上湖里,桃園市楊梅區上湖里鄰泰圳路1440號,"24.897193 ","121.090487 ",B01,5790.0,楊梅分局,B
EQA00287,九斗里,桃園市新屋區九斗里中山東路二段130巷12號,"24.968928 ","121.135559 ",B01,988.0,楊梅分局,B
EQA00288,高上里,桃園市楊梅區高上里高上路一段1號,"24.936452 ","121.163785 ",B01,276.0,楊梅分局,B
EQA00289,高上里,桃園市楊梅區高獅路560號,"24.925002 ","121.155878 ",B01,795.0,楊梅分局,B
EQA00290,高上里,桃園市楊梅區高獅路863巷1號,"24.924783 ","121.167050 ",B01,127.0,楊梅分局,B
EQA00293,梅新里,桃園市楊梅區梅新里貴山街1號,"24.903185 ","121.150698 ",B01,1340.0,楊梅分局,B
EQA00295,永平里,桃園市楊梅區永平里3鄰梅獅路一段165號,"24.918874 ","121.180110 ",B01,102.0,楊梅分局,B
EQA00296,青山里,桃園市楊梅區青山里獅四路1號,"24.923138 ","121.174323 ",B01,93.0,楊梅分局,B
EQA00297,高上里,桃園市楊梅區高上里高青路22巷13號,"24.930116 ","121.161287 ",B01,140.0,楊梅分局,B
EQA00298,高上里,桃園市楊梅區高上里高獅路822巷2號,"24.922979 ","121.167118 ",B01,26.0,楊梅分局,B
EQA00299,秀才里,桃園市楊梅區秀才里秀才路851號,"24.887357 ","121.134890 ",B01,984.0,楊梅分局,B
EQA00301,三民里,桃園市楊梅區三民里瑞溪路一段256巷26號,"24.906252 ","121.173855 ",B01,584.0,楊梅分局,C
EQA00302,瑞坪里,桃園市楊梅區瑞坪里18鄰梅獅路二段525號,"24.899842 ","121.183623 ",B01,116.0,楊梅分局,B
EQA00303,高上里,桃園市楊梅區高獅路863巷9號,"24.926336 ","121.165701 ",B01,120.0,楊梅分局,B
EQA00304,高上里,桃園市楊梅區高青路32巷14號,"24.930108 ","121.159868 ",B01,192.0,楊梅分局,B
EQA00305,高上里,桃園市楊梅區高上里8鄰高獅路566之1號,"24.925430 ","121.159340 ",B01,2281.0,楊梅分局,B
EQA00306,瑞原里,桃園市楊梅區瑞原里民豐路277號,"24.931414 ","121.117451 ",B01,167.0,楊梅分局,B
EQA00307,上湖里,桃園市楊梅區上湖里鄰泰圳路1440號,"24.896147 ","121.089991 ",B01,118.0,楊梅分局,B
EQA00308,員本里,桃園市楊梅區員本里15鄰民隆路37號,"24.934628 ","121.099846 ",B01,77.0,楊梅分局,B
EQA00309,三民里,桃園市楊梅區三民里中山北路二段23巷6號,"24.908240 ","121.167245 ",B01,2645.0,楊梅分局,C
EQA00310,三民里,桃園市楊梅區三民里中山北路二段23巷2號,"24.908264 ","121.167586 ",B01,1873.0,楊梅分局,C
EQA00311,埔心里,桃園市楊梅區埔心里15鄰新興街51號,"24.919243 ","121.184070 ",B01,204.0,楊梅分局,B
EQA00312,水美里,桃園市楊梅區楊湖路一段194巷3號,"24.911236 ","121.137809 ",B01,175.0,楊梅分局,B
EQA00313,高上里,桃園市楊梅區高獅路580號,"24.925160 ","121.160648 ",B01,690.0,楊梅分局,B
EQA00314,中山里,桃園市楊梅區中山里21鄰環東路455號,"24.909928 ","121.156620 ",B01,1405.0,楊梅分局,C
EQA00316,高上里,桃園市楊梅區高獅路813巷26弄3號,"24.928067 ","121.163061 ",B01,148.0,楊梅分局,B
EQA00317,員本里,桃園市楊梅區員本里15鄰民隆路26號,"24.935293 ","121.099980 ",B01,2164.0,楊梅分局,B
EQA00318,永平里,桃園市楊梅區永平里11鄰永平路607巷11號,"24.917951 ","121.172700 ",B01,1227.0,楊梅分局,B
EQA00319,瑞塘里,桃園市楊梅區瑞塘里23鄰瑞溪路二段100號,"24.907911 ","121.179860 ",B01,973.0,楊梅分局,B
EQA00321,員本里,桃園市楊梅區員本里15鄰民隆路8號,"24.931234 ","121.101805 ",B01,2930.0,楊梅分局,B
EQA00322,三湖里,桃園市楊梅區三湖里楊湖路二段718號,"24.914651 ","121.104166 ",B01,381.0,楊梅分局,B
