建築物名稱,類別,村里別,地址,緯經度,地下樓層數,可容納人數,轄管分局,轄管所別,備註
公寓,公寓,照南里,苗栗縣竹南鎮照南里12鄰博愛街54號,"24.687047500997124, 120.87818428241194",1.0,22.0,竹南分局,竹南,
公寓,公寓,照南里,苗栗縣竹南鎮民族街95號,"24.687296990099814, 120.87832832658782",1.0,32.0,竹南分局,竹南,
公寓,公寓,照南里,苗栗縣竹南鎮照南里15鄰自由街157號,"24.68791775150907, 120.87412557076375",1.0,28.0,竹南分局,竹南,
公寓,公寓,照南里,苗栗縣竹南鎮照南里15鄰博愛街106之1號,"24.687141849112617, 120.8765036265879",1.0,33.0,竹南分局,竹南,
悠雅美學館,公司企業,竹南里,苗栗縣竹南鎮竹南里17鄰敦化街1號,"24.686989101083775, 120.87540774008232",1.0,29.0,竹南分局,竹南,
南光醫院,醫院,竹南里,苗栗縣竹南鎮竹南里16鄰延平路11號,"24.686383181817032, 120.87659889590645",1.0,248.0,竹南分局,竹南,
全國電子,公司企業,竹南里,苗栗縣竹南鎮竹南里17鄰博愛街133號,"24.68686644610062, 120.87528799775278",1.0,753.0,竹南分局,竹南,
公寓,公寓,竹南里,苗栗縣竹南鎮竹南里20鄰大營路166之3號,"24.68627274712248, 120.87301515357665",1.0,22.0,竹南分局,竹南,
公寓,公寓,竹南里,苗栗縣竹南鎮竹南里20鄰大營路164號,"24.68616590898639, 120.87307179775273",1.0,30.0,竹南分局,竹南,
公寓,公寓,竹南里,苗栗縣竹南鎮竹南里20鄰大營路160號,"24.6864213468667, 120.87296934008235",1.0,37.0,竹南分局,竹南,
公寓,公寓,竹南里,苗栗縣竹南鎮竹南里20鄰大營路150號,"24.68595378614477, 120.87311108241195",1.0,32.0,竹南分局,竹南,
公寓,公寓,竹南里,苗栗縣竹南鎮竹南里20鄰大營路48之1號,"24.682642878520173, 120.87319174008226",1.0,64.0,竹南分局,竹南,
國泰人壽保險,公司企業,竹南里,苗栗縣竹南鎮竹南里博愛街217號,"24.686920069295407, 120.8730238521029",1.0,266.0,竹南分局,竹南,
公寓,公寓,竹南里,苗栗縣竹南鎮康德街50號,"24.686671056683192, 120.87532178425838",1.0,240.0,竹南分局,竹南,
張耳鼻喉科,公司企業,竹南里,苗栗縣竹南鎮竹南里17鄰博愛街123號,"24.68692469082797, 120.8755911842583",1.0,248.0,竹南分局,竹南,
公寓,公寓,聖福里,苗栗縣竹南鎮聖福里9鄰公教路148號,"24.69559258829327, 120.87242118425834",1.0,101.0,竹南分局,竹南,
正昕鐵工廠,公司企業,聖福里,苗栗縣竹南鎮聖福里11鄰公教路189巷6號,"24.695526797998838, 120.87119648241195",1.0,41.0,竹南分局,竹南,
公寓,公寓,聖福里,苗栗縣竹南鎮聖福里12鄰建國路288巷7號,"24.690964651307997, 120.869973626588",1.0,36.0,竹南分局,竹南,
公寓,公寓,聖福里,苗栗縣竹南鎮聖福里12鄰建國路288巷79弄17號,"24.692617892716086, 120.86935249590654",1.0,33.0,竹南分局,竹南,
公寓,公寓,照南里,苗栗縣竹南鎮照南里15鄰博愛街132號,"24.68722163850136, 120.87590637076386",1.0,34.0,竹南分局,竹南,
公寓,公寓,照南里,苗栗縣竹南鎮照南里16鄰博愛街140巷50號,"24.68742750396746, 120.87591259775272",1.0,28.0,竹南分局,竹南,
公寓,公寓,照南里,苗栗縣竹南鎮照南里11鄰博愛街46號,"24.68711044916171, 120.87872834192856",1.0,140.0,竹南分局,竹南,
湯圓冰站,公司企業,照南里,苗栗縣竹南鎮民族街93號,"24.687207149010504, 120.87831129775262",1.0,34.0,竹南分局,竹南,
公寓,公寓,正南里,苗栗縣竹南鎮正南里14鄰中正路52號,"24.684270347534557, 120.87805628610447",1.0,26.0,竹南分局,竹南,
逢源大樓,公司企業,正南里,苗栗縣竹南鎮正南里10鄰中山路49號,"24.684930449432372, 120.87970381309327",1.0,60.0,竹南分局,竹南,
公寓,公寓,正南里,苗栗縣竹南鎮正南里9鄰中正路28號（10號）,"24.684309350501305, 120.87901475726939",1.0,10.0,竹南分局,竹南,
慈佑醫院,醫院,正南里,苗栗縣竹南鎮正南里16鄰民治街17之1號,"24.684713241996803, 120.87884281124715",1.0,1161.0,竹南分局,竹南,
大千傢飾,公司企業,正南里,苗栗縣竹南鎮正南里15鄰光復路6之6號,"24.682911684622105, 120.87921251309346",1.0,213.0,竹南分局,竹南,
公寓,公寓,營盤里,苗栗縣竹南鎮營盤里20鄰營盤邊53之6號,"24.68901659051147, 120.86889495542317",1.0,60.0,竹南分局,竹南,
公寓,公寓,營盤里,苗栗縣竹南鎮營盤里17鄰建國路291號,"24.694003033816593, 120.90010784008237",1.0,53.0,竹南分局,竹南,
公寓,公寓,營盤里,苗栗縣竹南鎮營盤里17鄰建國路277號,"24.69025921215404, 120.87029272658799",1.0,30.0,竹南分局,竹南,
美麗家園老人長期照顧中心,公司企業,營盤里,苗栗縣竹南鎮營盤里14鄰環市路三段69號,"24.69032589213786, 120.87078915542313",1.0,1409.0,竹南分局,竹南,
大樓,大樓,營盤里,苗栗縣竹南鎮營盤里15鄰博愛街340巷30號,"24.688585939432187, 120.8682936842582",1.0,804.0,竹南分局,竹南,
營盤里民眾活動中心,公寓,營盤里,苗栗縣竹南鎮營盤里19鄰營盤邊64之1號,"24.688834598340534, 120.867971355423",1.0,62.0,竹南分局,竹南,
公寓,公寓,營盤里,苗栗縣竹南鎮營盤里19鄰營盤邊64之3號,"24.689032101833327, 120.8688051554233",1.0,22.0,竹南分局,竹南,
公寓,公寓,營盤里,苗栗縣竹南鎮營盤里19鄰營盤邊64之4號,"24.689071094199768, 120.86879442658808",1.0,22.0,竹南分局,竹南,
公寓,公寓,營盤里,苗栗縣竹南鎮營盤里19鄰營盤邊64之5號,"24.689032101833327, 120.86871932474176",1.0,22.0,竹南分局,竹南,
公寓,公寓,營盤里,苗栗縣竹南鎮營盤里19鄰營盤邊64之6號,"24.689032101833327, 120.8686978670714",1.0,22.0,竹南分局,竹南,
公寓,公寓,竹南里,苗栗縣竹南鎮竹南里4鄰民權街12號,"24.686094460736314, 120.8795447265879",1.0,57.0,竹南分局,竹南,
公寓,公寓,竹南里,苗栗縣竹南鎮竹南里7鄰光復路74號,"24.685292555205844, 120.87923105542298",1.0,22.0,竹南分局,竹南,
公寓,公寓,竹南里,苗栗縣竹南鎮民權街9號,"24.685843947860374, 120.87965134192872",1.0,32.0,竹南分局,竹南,
群益大樓,公司企業,竹南里,苗栗縣竹南鎮竹南里11鄰博愛街49號,"24.686891894334405, 120.87812938425823",1.0,66.0,竹南分局,竹南,
公寓,公寓,竹南里,苗栗縣竹南鎮竹南里6鄰光復路90號,"24.68572193829675, 120.87945245542308",1.0,40.0,竹南分局,竹南,
公寓,公寓,竹南里,苗栗縣竹南鎮竹南里11鄰和平街106號,"24.68679154622948, 120.8779720995989",1.0,18.0,竹南分局,竹南,
玉山銀行,銀行,竹南里,苗栗縣竹南鎮竹南里9鄰民族街83號,"24.68667484643035, 120.87835562658785",1.0,173.0,竹南分局,竹南,
竹信合作社,銀行,竹南里,苗栗縣竹南鎮竹南里11鄰光復路88號,"24.685620944998977, 120.87948164192868",1.0,292.0,竹南分局,竹南,
大樓,大樓,竹南里,苗栗縣竹南鎮竹南里12鄰民權街69號,"24.685894757654932, 120.8771126130933",1.0,7098.0,竹南分局,竹南,
"WORLD GYM",公司企業,竹南里,苗栗縣竹南鎮竹南里12鄰民權街51巷51號,"24.685887667569943, 120.87793722474156",1.0,7098.0,竹南分局,竹南,
公寓,公寓,竹南里,苗栗縣竹南鎮和平街100號,"24.686640201602398, 120.8778889977527",1.0,90.0,竹南分局,竹南,
公寓,公寓,竹南里,苗栗縣竹南鎮竹南里5鄰中山路61號,"24.685481438823558, 120.87944548241192",1.0,180.0,竹南分局,竹南,
公寓,公寓,竹南里,苗栗縣竹南鎮竹南里5鄰中山路83號,"24.685863451112823, 120.87984019959897",1.0,20.0,竹南分局,竹南,
公寓,公寓,竹南里,苗栗縣竹南鎮竹南里4鄰民權街14號,"24.68598706085401, 120.8796487861046",1.0,40.0,竹南分局,竹南,
聯泰豐塑膠有限公司,公司企業,大山里,苗栗縣後龍鎮大山里12鄰下大山腳1之2號,"24.623638424628176, 120.79085798012397",1.0,298.0,竹南分局,大山,
儒鴻有限公司,公司企業,大山里,苗栗縣後龍鎮大山里1鄰龍山路50號,"24.64032410133357, 120.80450436067458",1.0,214.0,竹南分局,大山,
邰莫電機公司,公司企業,埔頂里,苗栗縣後龍鎮埔頂里15鄰中華路711號,"24.620887831808194, 120.80495823373553",1.0,168.0,竹南分局,新港,
耀順公司,公司企業,龍坑里,苗栗縣後龍鎮龍坑里15鄰十班坑153之9號,"24.59228387558204, 120.773056184257",1.0,157.0,竹南分局,聯港,
儒鴻實業公司,公司企業,龍津里,苗栗縣後龍鎮公司寮90號,"24.610844856095934, 120.7617601619849",1.0,57.0,竹南分局,聯港,
坤龍紡織廠,公司企業,龍津里,苗栗縣後龍鎮龍津里16鄰169之4號,"24.60368888360089, 120.77534659123263",1.0,340.0,竹南分局,聯港,
冠軍建材公司,公司企業,豐湖村,苗栗縣造橋鄉豐湖村1鄰乳姑山2號,"24.625719463444995, 120.85249082474081",1.0,187.0,竹南分局,造橋,
造橋鄉公所,政府機關,造橋村,苗栗縣造橋鄉造橋村1鄰2之1號,"24.639072682930394, 120.86521093285117",1.0,193.0,竹南分局,造橋,
造橋鄉農會,大樓,造橋村,苗栗縣造橋鄉造橋村1鄰平仁路34號,"24.64103716932866, 120.86627654192802",1.0,61.0,竹南分局,造橋,
造橋分駐所,政府機關,造橋村,苗栗縣造橋鄉造橋村3鄰平仁路51號,"24.642235178152003, 120.86681931309285",1.0,98.0,竹南分局,造橋,
"強安威勝
股份有限公司",公司企業,造橋村,苗栗縣造橋鄉東興6之6號,"24.639968655928303, 120.86650289350906",1.0,62.0,竹南分局,造橋,
公寓,公寓,大西村,苗栗縣造橋鄉大西村8鄰十字路70之3號,"24.62030713270665, 120.89245361493899",1.0,122.0,竹南分局,造橋,
宜銳紡織公司,公司企業,造橋村,苗栗縣造橋鄉造橋村13鄰東興路5號,"24.63986233473909, 120.8670869130929",1.0,53.0,竹南分局,造橋,
竹南鎮農會信用部中港分部,大樓,中港里,苗栗縣竹南鎮中港里7鄰中正路535號,"24.683076671643168, 120.8646606044523",1.0,36.0,竹南分局,中港海口,
許宅,公寓,中港里,苗栗縣竹南鎮中港里12鄰中正路435號,"24.683300200796417, 120.86829126891736",1.0,14.0,竹南分局,中港海口,
莊宅,公寓,中港里,苗栗縣竹南鎮中港里5鄰八德街39號,"24.68234965660996, 120.86479919959903",1.0,72.0,竹南分局,中港海口,
聯順造紙,公司企業,中美里,苗栗縣竹南鎮中美里8鄰6之1號,"24.681576606511236, 120.85896511309349",1.0,109.0,竹南分局,中港海口,
耶蘇基督聖教會,大樓,中美里,苗栗縣竹南鎮中美里7鄰21號,"24.685699154633333, 120.86000501124705",1.0,36.0,竹南分局,中港海口,
金天地建設,公司企業,中華里,苗栗縣竹南鎮中華里1鄰新生路159號,"24.6843836442733, 120.86752671309355",1.0,89.0,竹南分局,中港海口,
永昱建設,公司企業,中華里,苗栗縣竹南鎮中華里15鄰新生路258號,"24.686240547177675, 120.86717915542302",1.0,421.0,竹南分局,中港海口,
信暉建設,公司企業,中華里,苗栗縣竹南鎮中華里16鄰萬大街88號,"24.686887456412244, 120.86853462658786",1.0,305.0,竹南分局,中港海口,
昱盟建設,公司企業,中華里,苗栗縣竹南鎮中華里15鄰萬大街48號,"24.686405595209486, 120.8685037130936",1.0,1465.0,竹南分局,中港海口,
張宅,公寓,中華里,苗栗縣竹南鎮中華里15鄰萬壽街69號,"24.68678969794778, 120.86754454008224",1.0,941.0,竹南分局,中港海口,
蕭宅,公寓,中華里,苗栗縣竹南鎮中華里16鄰萬壽街56號,"24.68632244703681, 120.86751791309362",1.0,33.0,竹南分局,中港海口,
張宅,公寓,中華里,苗栗縣竹南鎮中華里16鄰萬大街74號,"24.686585698282915, 120.86837243823608",1.0,33.0,竹南分局,中港海口,
公寓,公寓,中華里,苗栗縣竹南鎮中華里16鄰萬大街70號,"24.68653104329044, 120.86850691309333",1.0,33.0,竹南分局,中港海口,
竹建瓦斯,公司企業,中華里,苗栗縣竹南鎮中華里15鄰環市路三段107號,"24.690410543997807, 120.87155356891756",1.0,368.0,竹南分局,中港海口,
李宅,公寓,中華里,苗栗縣竹南鎮新生路260號,"24.68459933767927, 120.867310655423",1.0,30.0,竹南分局,中港海口,
台灣聖教會,大樓,中華里,苗栗縣竹南鎮中華里1鄰中正路212號,"24.683706751538296, 120.86766521124717",1.0,81.0,竹南分局,中港海口,
南龍區漁會,大樓,中華里,苗栗縣竹南鎮中華里13鄰民生路52號,"24.68376515462879, 120.8648240606769",1.0,56.0,竹南分局,中港海口,
三泰福興大樓,大樓,中華里,苗栗縣竹南鎮中華里18鄰環市路41號,"24.692256081310326, 120.87448236977943",1.0,3757.0,竹南分局,中港海口,
三泰金鑽大樓,大樓,中華里,苗栗縣竹南鎮中華里16鄰環市路二段259號,"24.687673696495423, 120.86945164192858",1.0,6336.0,竹南分局,中港海口,
公寓,公寓,龍鳯里,苗栗縣竹南鎮龍鳯里7鄰後厝路26號,"24.694176854793373, 120.86647898935624",1.0,124.0,竹南分局,竹南,
公寓,公寓,龍鳯里,苗栗縣竹南鎮龍鳯里5鄰山寮56之3號,"24.702613099399017, 120.87227730480403",1.0,33.0,竹南分局,竹南,
大樓,大樓,照南里,苗栗縣竹南鎮照南里10鄰三泰街18號,"24.69284487924871, 120.88025465542314",1.0,1196.0,竹南分局,竹南,
公寓,公寓,照南里,苗栗縣竹南鎮照南里9鄰光復路290號,"24.690661791585974, 120.87969445542319",1.0,16.0,竹南分局,竹南,
公寓,公寓,照南里,苗栗縣竹南鎮照南里3鄰光復路184巷8號,"24.68826855651864, 120.87933583454335",1.0,40.0,竹南分局,竹南,
惠双房屋,公司企業,照南里,苗栗縣竹南鎮照南里20鄰光復路344號,"24.69168633361081, 120.87959134008238",1.0,64.0,竹南分局,竹南,
大眾醫院,醫院,照南里,苗栗縣竹南鎮照南里9鄰光復路304號,"24.690892511608766, 120.87951894008232",1.0,66.0,竹南分局,竹南,
公寓,公寓,聖福里,苗栗縣竹南鎮聖福里20鄰建國路288巷79弄44之2號,"24.69302749210715, 120.86904781309354",1.0,197.0,竹南分局,竹南,
公寓,公寓,聖福里,苗栗縣竹南鎮聖福里20鄰建國路288巷79弄44之15號,"24.69305673544555, 120.86901562658802",1.0,190.0,竹南分局,竹南,
公寓,公寓,聖福里,苗栗縣竹南鎮聖福里20鄰建國路288巷79弄44之1號,"24.692847670744175, 120.86900481863195",1.0,197.0,竹南分局,竹南,
公寓,公寓,聖福里,苗栗縣竹南鎮聖福里20鄰建國路288巷79弄44之17號,"24.692883727130944, 120.86901562866143",1.0,329.0,竹南分局,竹南,
公寓,公寓,聖福里,苗栗縣竹南鎮聖福里20鄰建國路288巷79弄44之7號,"24.692881290182978, 120.86901831087022",1.0,94.0,竹南分局,竹南,
公寓,公寓,聖福里,苗栗縣竹南鎮聖福里15鄰建國路288巷197號,"24.694659889680114, 120.87230772658798",1.0,56.0,竹南分局,竹南,
公寓,公寓,聖福里,苗栗縣竹南鎮聖福里15鄰建國路288巷201號,"24.69471429427444, 120.8724031689176",1.0,33.0,竹南分局,竹南,
公寓,公寓,聖福里,苗栗縣竹南鎮聖福里21鄰建國路79弄19號,"24.69264143616048, 120.86939181124738",1.0,309.0,竹南分局,竹南,
公寓,公寓,聖福里,苗栗縣竹南鎮聖福里20鄰建國路288巷79弄42之13號,"24.692495962398095, 120.87002640940096",1.0,124.0,竹南分局,竹南,
公寓,公寓,聖福里,苗栗縣竹南鎮聖福里20鄰建國路288巷79弄42之17號,"24.6928575533274, 120.86915425542315",1.0,130.0,竹南分局,竹南,
公寓,公寓,聖福里,苗栗縣竹南鎮聖福里20鄰建國路288巷79弄44之5號,"24.69302749210715, 120.86899416891762",1.0,197.0,竹南分局,竹南,
公寓,公寓,聖福里,苗栗縣竹南鎮聖福里20鄰建國路288巷79弄44之13號,"24.69300799654439, 120.86913364377507",1.0,197.0,竹南分局,竹南,
公寓,公寓,聖福里,苗栗縣竹南鎮聖福里20鄰建國路288巷79弄44之9號,"24.69305673544555, 120.86907999959912",1.0,197.0,竹南分局,竹南,
公寓,公寓,聖福里,苗栗縣竹南鎮聖福里20鄰建國路288巷79弄44之3號,"24.692988500978583, 120.86901562658802",1.0,194.0,竹南分局,竹南,
公寓,公寓,聖福里,苗栗縣竹南鎮聖福里20鄰建國路288巷79弄42之11號,"24.69283805773805, 120.86915425542315",1.0,94.0,竹南分局,竹南,
公寓,公寓,聖福里,苗栗縣竹南鎮聖福里二20建國路288巷79弄42之1號,"24.69293553565423, 120.86914352658795",1.0,124.0,竹南分局,竹南,
公寓,公寓,聖福里,苗栗縣竹南鎮聖福里20鄰建國路288巷79弄42之5號,"24.69288679670567, 120.8691006112472",1.0,124.0,竹南分局,竹南,
公寓,公寓,聖福里,苗栗縣竹南鎮聖福里20鄰建國路288巷79弄42之9號,"24.69296477901423, 120.8691113400824",1.0,124.0,竹南分局,竹南,
公寓,公寓,聖福里,苗栗縣竹南鎮聖福里20鄰建國路288巷79弄42之3號,"24.69296477901423, 120.86918644192872",1.0,124.0,竹南分局,竹南,
公寓,公寓,聖福里,苗栗縣竹南鎮聖福里30鄰建國路288巷79弄42之15號,"24.692925787866045, 120.86907915357683",1.0,124.0,竹南分局,竹南,
公寓,公寓,新南里,苗栗縣竹南鎮新南里12鄰29之1號,"24.669475739048977, 120.84745221940429",1.0,24.0,竹南分局,竹南,
公寓,公寓,新南里,苗栗縣竹南鎮新南里14鄰崁頂街58號,"24.692673183931323, 120.88405085542314",1.0,33.0,竹南分局,竹南,
公寓,公寓,新南里,苗栗縣竹南鎮新南里15鄰崁頂街46號,"24.691020786904883, 120.88420325173051",1.0,110.0,竹南分局,竹南,
公寓,公寓,新南里,苗栗縣竹南鎮新南里16鄰崁頂街24號,"24.69104258686576, 120.88475608241207",1.0,21.0,竹南分局,竹南,
友鴻觀光開發,公司企業,新南里,苗栗縣竹南鎮新南里17鄰公園路106號,"24.69101747873848, 120.89071636891755",1.0,4136.0,竹南分局,竹南,
公寓,公寓,新南里,苗栗縣竹南鎮新南里18鄰崁頂街22號,"24.690348892100214, 120.8848293670712",1.0,28.0,竹南分局,竹南,
公寓,公寓,新南里,苗栗縣竹南鎮新南里18鄰崁頂街22號,"24.690348892100214, 120.8848293670712",1.0,21.0,竹南分局,竹南,
竹南信用合作社,銀行,新南里,苗栗縣竹南鎮新南里19鄰東平路18之6號,"24.682945109928657, 120.88094101309338",1.0,292.0,竹南分局,竹南,
公寓,公寓,新南里,苗栗縣竹南鎮新南里1鄰東平路23號,"24.684094965947963, 120.88080326891745",1.0,34.0,竹南分局,竹南,
中油天然氣竹南服務處,公寓,新南里,苗栗縣竹南鎮新南里20鄰東平路101之8號,"24.685002110352094, 120.88320392658792",1.0,62.0,竹南分局,竹南,
邸雅企業,公司企業,新南里,苗栗縣竹南鎮新南里五谷王22鄰92號之2,"24.688313443402823, 120.88352078056572",1.0,1490.0,竹南分局,竹南,
公寓,公寓,新南里,苗栗縣竹南鎮新南里22鄰五谷王75號,"24.688329299091603, 120.88360147076385",1.0,37.0,竹南分局,竹南,
公寓,公寓,正南里,苗栗縣竹南鎮正南里6鄰中山路4之1號,"24.685931610158175, 120.8800074054232",1.0,25.0,竹南分局,竹南,
公寓,公寓,正南里,苗栗縣竹南鎮正南里10鄰中山路45號,"24.68494473686872, 120.87975884192852",1.0,6.0,竹南分局,竹南,
公寓,公寓,正南里,苗栗縣竹南鎮正南里15鄰福德路29號,"24.683109658279573, 120.87943981124721",1.0,110.0,竹南分局,竹南,
公寓,公寓,正南里,苗栗縣竹南鎮正南里4鄰中山路46號,"24.684385814140885, 120.87984236891765",1.0,20.0,竹南分局,竹南,
公寓,公寓,正南里,苗栗縣竹南鎮正南里10鄰中山路35號,"24.684491065576157, 120.87961785357676",1.0,28.0,竹南分局,竹南,
公寓,公寓,正南里,苗栗縣竹南鎮正南里13鄰43號,"24.68358951067562, 120.87644781366366",1.0,60.0,竹南分局,竹南,
公寓,公寓,正南里,苗栗縣竹南鎮正南里6鄰中山路6號,"24.683754194079505, 120.88023982843403",1.0,22.0,竹南分局,竹南,
公寓,公寓,正南里,苗栗縣竹南鎮正南里6鄰中山路8號,"24.683685708943788, 120.88013799775261",1.0,20.0,竹南分局,竹南,
公寓,公寓,正南里,苗栗縣竹南鎮正南里19鄰和平街43號,"24.684534310901057, 120.87717645542307",1.0,89.0,竹南分局,竹南,
公寓,公寓,營盤里,苗栗縣竹南鎮營盤里14鄰建國路100號,"24.69032969213177, 120.87504799775272",1.0,113.0,竹南分局,竹南,
公寓,公寓,營盤里,苗栗縣竹南鎮營盤里17鄰建國路84巷20號,"24.690621359819765, 120.87589915542313",1.0,36.0,竹南分局,竹南,
公寓,公寓,營盤里,苗栗縣竹南鎮營盤里17鄰建國路84巷22號,"24.69076733938643, 120.87586814008233",1.0,36.0,竹南分局,竹南,
公寓,公寓,營盤里,苗栗縣竹南鎮營盤里8鄰建智街25號,"24.68868720602729, 120.874045811247",1.0,36.0,竹南分局,竹南,
公寓,公寓,營盤里,苗栗縣竹南鎮營盤里8鄰建智街27號,"24.6887444503447, 120.8740078112472",1.0,37.0,竹南分局,竹南,
公寓,公寓,營盤里,苗栗縣竹南鎮營盤里5鄰建國路100號,"24.690232212177264, 120.87504799775272",1.0,76.0,竹南分局,竹南,
公寓,公寓,營盤里,苗栗縣竹南鎮營盤里14鄰建國路84巷21之3號,"24.69067564358309, 120.87556184192881",1.0,80.0,竹南分局,竹南,
公寓,公寓,營盤里,苗栗縣竹南鎮營盤里8鄰自由街184號,"24.688390687960908, 120.87329832658793",1.0,401.0,竹南分局,竹南,
公寓,公寓,營盤里,苗栗縣竹南鎮營盤里8鄰忠勤街56號,"24.688907409541727, 120.87336484008226",1.0,222.0,竹南分局,竹南,
公寓,公寓,營盤里,苗栗縣竹南鎮營盤里8鄰大營路304號建智街60號,"24.689817948832875, 120.87377649775284",1.0,602.0,竹南分局,竹南,
公寓,公寓,營盤里,苗栗縣竹南鎮營盤里2鄰自由街104號,"24.688236040089148, 120.87543861309344",1.0,66.0,竹南分局,竹南,
公寓,公寓,營盤里,苗栗縣竹南鎮營盤里14鄰建國路80巷21之4號,"24.690002188737804, 120.87564071493973",1.0,53.0,竹南分局,竹南,
公寓,公寓,大厝里,苗栗縣竹南鎮大厝里9鄰61之1號,"24.678965164346963, 120.87599910328441",1.0,26.0,竹南分局,竹南,
公寓,公寓,大厝里,苗栗縣竹南鎮大厝里13鄰獅山75之3號,"24.678316247218458, 120.87212113548063",1.0,73.0,竹南分局,竹南,
公寓,公寓,大厝里,苗栗縣竹南鎮大厝里13鄰獅山76之1號,"24.674622570227527, 120.87593792474132",1.0,138.0,竹南分局,竹南,
公寓,公寓,大厝里,苗栗縣竹南鎮大厝里14鄰國泰路19號,"24.67732441349495, 120.87700961124706",1.0,50.0,竹南分局,竹南,
公寓,公寓,大厝里,苗栗縣竹南鎮大厝里14鄰國泰路89之1號,"24.677614999119317, 120.87784801550981",1.0,94.0,竹南分局,竹南,
