電腦編號,村里別,地址,緯經度,地下樓層數,可容納人數,轄管分局,備駐
QNA00074,山腳里,屏東縣恆春鎮山腳里恆南路4巷3-1號,"21.99937891302961, 120.74690284721012",1,300.0,恆春分局,
QNA00062,山腳里,屏東縣恆春鎮山腳里恆南路11巷2弄2號,"22.000866986690767, 120.74382276770687",1,2417.0,恆春分局,
QNA00017,山腳里,屏東縣恆春鎮山腳里恆南路38號,"21.991951736957073, 120.74722861333896",1,437.0,恆春分局,共有3處、總計可容納人數1713人
QNA00019,山腳里,屏東縣恆春鎮山腳里恆南路38號,"21.99297646075326, 120.74750259982699",1,304.0,恆春分局,共有3處、總計可容納人數1713人
QNA00040,山腳里,屏東縣恆春鎮山腳里恆南路38號,"21.993185382598625, 120.74771272828467",1,972.0,恆春分局,共有3處、總計可容納人數1713人
QNA00014,山腳里,屏東縣恆春鎮山腳里恆南路117巷18號,"21.996493414759705, 120.74442678235832",1,1500.0,恆春分局,
QNA00015,山腳里,屏東縣恆春鎮山腳里恆南路123號,"21.997209342956808, 120.74485647348358",1,305.0,恆春分局,
QNA00073,山腳里,屏東縣恆春鎮山腳里恆南路125巷32號,"21.9967834819118, 120.74352120952206",1,420.0,恆春分局,
QNA00018,山腳里,屏東縣恆春鎮山腳里恆南路210號,"21.999812030301538, 120.74459413523289",1,14.0,恆春分局,
QNA00077,山腳里,屏東縣恆春鎮山腳里恆西路1巷32號,"22.001759629397576, 120.74251144773012",1,450.0,恆春分局,
QNA00016,山腳里,屏東縣恆春鎮山腳里恆西路21號,"22.00233672841957, 120.7410539528295",1,168.0,恆春分局,
QNA00052,山腳里,屏東縣恆春鎮山腳里恆公路16號,"21.991793666761623, 120.74650613630672",1,1733.0,恆春分局,
QNA00020,山腳里,屏東縣恆春鎮山腳里恆公路22號,"21.99213736853485, 120.74637800593051",1,214.0,恆春分局,
QNA00053,山腳里,屏東縣恆春鎮山腳里恆公路30號,"21.992397361052923, 120.7459926504487",1,522.0,恆春分局,
QNA00078,山腳里,屏東縣恆春鎮山腳里恆公路78號,"21.994654461189615, 120.74427609638936",1,520.0,恆春分局,
QNA00022,網紗里,屏東縣恆春鎮網紗里恆公路968號,"22.00862366889951, 120.74071157107548",1,2342.0,恆春分局,
QNA00026,網紗里,屏東縣恆春鎮網紗里恆公路998號,"22.009527502570823, 120.74150256946665",1.2,3804.0,恆春分局,
QNA00025,網紗里,屏東縣恆春鎮網紗里恆公路1180號,"22.013498559547397, 120.74332533250133",1,600.0,恆春分局,
QNA00023,網紗里,屏東縣恆春鎮網紗里省北路40巷69號,"22.00968548420214, 120.74629027464348",1,248.0,恆春分局,
QNA00021,網紗里,屏東縣恆春鎮網紗里省北路64號,"22.010535049431642, 120.74423053401166",1,200.0,恆春分局,
QNA00024,網紗里,屏東縣恆春鎮網紗里省北路102巷6號,"22.011445850472377, 120.744787661646",1,605.0,恆春分局,
QNA00081,頭溝里,屏東縣恆春鎮頭溝里頭溝路161號,"22.02332585868512, 120.72097035747807",1,249.0,恆春分局,
QNA00034,龍水里,屏東縣恆春鎮龍水里草潭路171號,"21.97009754695815, 120.73463736571055",1,200.0,恆春分局,
QNA00049,大光里,屏東縣恆春鎮大光里大光路8-6號,"21.95125177661585, 120.7405843973141",1,200.0,恆春分局,
QNA00035,大光里,屏東縣恆春鎮大光里大光路79-64號,"21.948032495645073, 120.74427558348334",1,1120.0,恆春分局,
QNA00056,山海里,"屏東縣恆春鎮山海里山海路86號 ","21.98351900785427, 120.7152873852131",1,426.0,恆春分局,
QNA00063,山海里,屏東縣恆春鎮山海里萬里路27-8號,"21.997701053409145, 120.70526717859772",1.2,4333.0,恆春分局,共有5處、總計可容納人數21647人
QNA00064,山海里,屏東縣恆春鎮山海里萬里路27-8號,"21.99801991093376, 120.70497341245087",1.2,4228.0,恆春分局,共有5處、總計可容納人數21647人
QNA00065,山海里,屏東縣恆春鎮山海里萬里路27-8號,"21.99821089492084, 120.70501896572979",1.2,4453.0,恆春分局,共有5處、總計可容納人數21647人
QNA00066,山海里,屏東縣恆春鎮山海里萬里路27-8號,"21.99837433293021, 120.70511403347332",1.2,4068.0,恆春分局,共有5處、總計可容納人數21647人
QNA00067,山海里,屏東縣恆春鎮山海里萬里路27-8號,"21.997158639428562, 120.70582639802599",1.2,4565.0,恆春分局,共有5處、總計可容納人數21647人
QNA00054,墾丁里,屏東縣恆春鎮墾丁里墾丁路2號,"21.941662513663793, 120.80727358341014",1.2.3.4,44149.0,恆春分局,
QNA00029,墾丁里,屏東縣恆春鎮墾丁里墾丁路6號,"21.94231192159871, 120.80542624294606",1,6649.0,恆春分局,
QNA00030,墾丁里,屏東縣恆春鎮墾丁里墾丁路65號,"21.943311527668904, 120.8006221428411",1,516.0,恆春分局,
QNA00031,墾丁里,屏東縣恆春鎮墾丁里墾丁路271號,"21.945993577032585, 120.79613808215932",1,410.0,恆春分局,
QNA00068,墾丁里,屏東縣恆春鎮墾丁里墾丁路451號,"21.945026109295267, 120.79232022490227",1,5294.0,恆春分局,共有2處、總計可容納人數7524人
QNA00069,墾丁里,屏東縣恆春鎮墾丁里墾丁路451號,"21.94518227702587, 120.79183830750529",1,2230.0,恆春分局,共有2處、總計可容納人數7524人
QNA00032,墾丁里,屏東縣恆春鎮墾丁里墾丁路文化巷2-1號,"21.94322398969892, 120.79933539147642",1,600.0,恆春分局,
QNA00057,墾丁里,屏東縣恆春鎮墾丁里墾丁路文化巷4號,"21.943394171174916, 120.79956949099878",1,990.0,恆春分局,
QNA00082,墾丁里,屏東縣恆春鎮墾丁里公園路101號,"21.95553883801649, 120.8090893685797",1,1105.0,恆春分局,
QNA00026,南灣里,屏東縣恆春鎮南灣里南灣路387號,"21.967670030520264, 120.75489493800836",1,50.0,恆春分局,共有2處、總計可容納人數1032人
QNA00027,南灣里,屏東縣恆春鎮南灣里南灣路387號,"21.966672173601992, 120.75431998985653",1,982.0,恆春分局,共有2處、總計可容納人數1032人
QNA00075,鵝鑾里,屏東縣恆春鎮鵝鑾里船帆路1000號,"21.936975178717205, 120.81803650666635",1,3444.0,恆春分局,
QNA00058,鵝鑾里,屏東縣恆春鎮鵝鑾里鵝鑾路230號,"21.905991502097947, 120.85162614127982",1,430.0,恆春分局,共有2處、總計可容納人數5791人
QNA00055,鵝鑾里,屏東縣恆春鎮鵝鑾里鵝鑾路230號,"21.90602505009298, 120.8515099993928",1,5361.0,恆春分局,共有2處、總計可容納人數5791人
QNA00036,福興村,屏東縣車城鄉福興村仁愛路26號,"22.072699620101574, 120.71507657775231",1,80.0,恆春分局,
QNA00039,福興村,屏東縣車城鄉福興村仁愛路36號,"22.07352275689863, 120.71498601105982",1,500.0,恆春分局,
QNA00077,福興村,屏東縣車城鄉福興村中山路15號,"22.07245261557748, 120.7141302500213",1,328.0,恆春分局,
QNA00060,福興村,屏東縣車城鄉福興村新興路42號,"22.07273113347695, 120.71746638406854",1,272.0,恆春分局,
QNA00037,福安村,屏東縣車城鄉福安村福興路75號,"22.073945295125963, 120.71427116551328",1,69.0,恆春分局,
QNA00050,福安村,屏東縣車城鄉福安村忠孝路199號,"22.069785076135993, 120.71063037528101",1,6509.0,恆春分局,
QNA00051,福安村,屏東縣車城鄉福安村福安路51號,"22.07090598311292, 120.71141201543261",1,449.0,恆春分局,
QNA00038,田中村,屏東縣車城鄉田中村中山路185號,"22.07890005425991, 120.71380358813593",1,177.0,恆春分局,
QNA00033,海口村,屏東縣車城鄉海口村海口路6-5號,"22.0893114960955, 120.71672403608085",1,3093.0,恆春分局,
QNA00041,溫泉村,屏東縣車城鄉溫泉村溫泉路253號,"22.095795611717406, 120.750673377627",1,641.0,恆春分局,
QNA00076,保力村,屏東縣車城鄉保力村保力路6-20號,"22.05466656833047, 120.73099065404305",1,2040.0,恆春分局,
QNA00070,後灣村,屏東縣車城鄉後灣村後灣路2號,"22.046227092293076, 120.69942772301492",1,16064.0,恆春分局,共有3處、總計可容納人數28814人
QNA00071,後灣村,屏東縣車城鄉後灣村後灣路2號,"22.04621740553075, 120.6990238670645",1,10684.0,恆春分局,共有3處、總計可容納人數28814人
QNA00072,後灣村,屏東縣車城鄉後灣村後灣路2號,"22.047225154905604, 120.69853911884157",1,2066.0,恆春分局,共有3處、總計可容納人數28814人
QNA00042,滿州村,屏東縣滿州鄉滿州村中山路31號,"22.0186305492698, 120.83802182958482",1,213.0,恆春分局,
QMA00059,滿州村,屏東縣滿州鄉滿州村中山路152號,"22.02432819755282, 120.83769864373234",1,157.0,恆春分局,
QNA00045,滿州村,屏東縣滿州鄉滿州村中山路205號,"22.026338506828996, 120.83224402962158",1,4928.0,恆春分局,
QNA00061,石門村,屏東縣牡丹鄉石門村石門路35-2號,"22.123853579061752, 120.76991594665473",1,149.0,恆春分局,
