編號,村里別,地址,避難所在之地下樓層數,可容納人數,轄區分局,經度,緯度,"unnamed (1)"
1071.0,何南里,臺中市西屯區何南里大墩十九街98號,1.0,846.0,第六分局,"120.652683 ","24.158020 ",
1072.0,何南里,臺中市西屯區何南里大墩二十街51號,1.0,1103.0,第六分局,"120.654478 ","24.158442 ",
1073.0,何南里,臺中市西屯區何南里大墩十九街82號,1.0,937.0,第六分局,"120.653370 ","24.157819 ",
1074.0,何南里,臺中市西屯區何南里大安西街30號,1.0,191.0,第六分局,"120.653595 ","24.158398 ",
1075.0,何成里,臺中市西屯區何成里文心路2段594號,1.0,5897.0,第六分局,"120.648167 ","24.160487 ",
1076.0,何南里,臺中市西屯區何南里大墩二十街89號,1.0,304.0,第六分局,"120.653414 ","24.158985 ",
1077.0,何成里,臺中市西屯區何成里大容東一街15號,1.0,1571.0,第六分局,"120.648517 ","24.156438 ",
1078.0,何成里,臺中市西屯區何成里大恩街38號,1.0,437.0,第六分局,"120.650075 ","24.160193 ",
1079.0,何南里,臺中市西屯區何南里大墩二十街63號,1.0,467.0,第六分局,"120.654000 ","24.158709 ",
1080.0,惠來里,臺中市西屯區惠來里惠文七街127號,1.0,1851.0,第六分局,"120.637018 ","24.158988 ",
1081.0,惠來里,臺中市西屯區惠來里惠來路1段429號,1.0,707.0,第六分局,"120.638045 ","24.156455 ",
1082.0,何仁里,臺中市西屯區何仁里西屯路2段208巷16號之17,1.0,630.0,第六分局,"120.651360 ","24.169354 ",
1083.0,惠來里,臺中市西屯區惠來里臺灣大道3段32號,1.0,97.0,第六分局,"120.649230 ","24.163284 ",
1084.0,西安里,臺中市西屯區惠來里西屯路二段297號之8,1.0,1877.0,第六分局,"120.648400 ","24.168785 ",
1085.0,上德里,臺中市西屯區上德里青海路二段155號,1.0,2237.0,第六分局,"120.646621 ","24.169013 ",
1086.0,惠來里,臺中市西屯區惠來里惠中路一段2號,1.0,3371.0,第六分局,"120.645640 ","24.163934 ",
1087.0,何成里,臺中市西屯區何成里大恩街150號,1.0,737.0,第六分局,"120.649243 ","24.158963 ",
1088.0,惠來里,臺中市西屯區惠來里西屯路二段203號,1.0,110.0,第六分局,"120.648131 ","24.169298 ",
1089.0,潮洋里,臺中市西屯區潮洋里朝馬二街31號,1.0,407.0,第六分局,"120.636499 ","24.167788 ",
1090.0,潮洋里,臺中市西屯區潮洋里龍門路2號,1.0,1791.0,第六分局,"120.634877 ","24.163428 ",
1091.0,何成里,臺中市西屯何成里臺灣大道二段895號,1.0,309.0,第六分局,"120.651212 ","24.161339 ",
1092.0,潮洋里,臺中市西屯區潮洋里河南路三段109號,1.0,938.0,第六分局,"120.638024 ","24.164283 ",
1093.0,惠來里,臺中市西屯區惠來里河南路四段79號,1.0,163.0,第六分局,"120.636596 ","24.158387 ",
1094.0,何成里,臺中市西屯何成里大墩十八街151巷2號,1.0,1541.0,第六分局,"120.648852 ","24.157046 ",
1095.0,惠來里,臺中市西屯區惠來里惠文五街65號,1.0,2510.0,第六分局,"120.639741 ","24.157755 ",
1096.0,惠來里,臺中市西屯區惠來里文心一路168號,1.0,975.0,第六分局,"120.641403 ","24.154928 ",
1097.0,惠來里,臺中市西屯區惠來里惠中一街26號,1.0,1057.0,第六分局,"120.644023 ","24.162293 ",
1098.0,惠來里,臺中市西屯區惠來里河南路四段191號,1.0,593.0,第六分局,"120.636787 ","24.155564 ",
1099.0,何成里,臺中市西屯何成里大墩十九街206號,1.0,703.0,第六分局,"120.648867 ","24.160128 ",
1100.0,惠來里,臺中市西屯區惠來里惠中路一段98號,1.0,956.0,第六分局,"120.644481 ","24.162109 ",
1101.0,何成里,臺中市西屯何成里大容西街31號,1.0,336.0,第六分局,"120.647443 ","24.156278 ",
1102.0,潮洋里,臺中市西屯區潮洋里朝馬一街30號,1.0,1492.0,第六分局,"120.636985 ","24.169657 ",
1103.0,潮洋里,臺中市西屯區潮洋里朝馬一街32號之38,1.0,824.0,第六分局,"120.636641 ","24.169611 ",
1104.0,惠來里,臺中市西屯區惠來里政和路160號,1.0,2475.0,第六分局,"120.640497 ","24.157169 ",
1105.0,惠來里,臺中市西屯惠來里洛陽路111巷36號,1.0,1413.0,第六分局,"120.650567 ","24.168257 ",
1106.0,惠來里,臺中市西屯區惠來里惠民路2號,1.0,3020.0,第六分局,"120.639039 ","24.161721 ",
